SED_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
SED24904,136,34,44,3,219,48,10,12,4,76,50,16,46,3,116,29,11,82,7,136,215,29,166,4,418,120,66,258,8,456,967,132,297,24,1419,602,195,347,37,1178,662,363,392,38,1450,720,487,286,31,1522,370,482,214,12,1077,502,501,156,28,1183,905,1064,217,39,2220,570,795,80,15,1463,349,599,46,0,999,152,360,14,5,534,316,696,45,10,1058,318,619,197,14,1146,231,76,81,7,403,7252,6541,2983,289,17065
SED25003,198,74,58,3,339,63,15,15,3,98,33,20,32,0,84,39,27,66,9,138,133,52,116,3,301,123,74,198,3,398,691,213,251,18,1172,371,310,323,15,1012,407,495,330,20,1261,494,678,287,32,1494,329,673,268,31,1302,344,729,220,24,1322,774,1694,311,40,2818,549,1414,169,30,2167,334,1163,94,14,1598,192,782,69,10,1050,272,1451,68,8,1802,161,574,188,10,930,93,106,58,4,253,5600,10548,3128,267,19539
SED25102,108,20,28,7,156,53,8,11,0,74,34,8,26,0,65,25,3,31,6,59,115,12,70,0,197,106,26,114,7,250,439,54,166,6,668,437,91,232,10,773,488,191,222,8,911,542,303,238,15,1098,312,339,174,15,839,357,391,145,10,899,748,1183,251,21,2210,606,1179,126,7,1923,513,1053,87,3,1662,320,747,38,3,1110,610,1939,80,0,2636,195,548,156,11,912,73,65,23,0,153,6071,8163,2210,137,16579
SED25205,138,14,49,3,202,41,5,18,3,64,33,13,17,0,63,19,8,42,0,74,121,15,68,3,208,104,29,129,13,266,506,46,146,9,711,379,84,235,26,718,455,160,292,21,934,486,261,276,22,1040,301,287,244,18,845,327,332,193,15,864,748,1024,353,29,2158,632,1145,149,17,1940,500,1144,104,17,1771,349,882,54,5,1291,782,3035,155,12,3976,164,467,204,3,839,86,56,31,4,181,6163,9025,2754,230,18170
SED25302,132,25,23,0,179,74,9,14,0,92,42,8,20,5,75,24,12,41,3,80,202,15,66,5,283,126,14,124,6,271,698,33,143,9,890,594,61,210,9,879,767,146,238,19,1166,776,206,239,17,1239,341,266,192,10,813,410,331,159,8,902,788,905,280,14,1988,574,983,143,13,1709,471,979,82,4,1539,257,793,37,4,1090,891,2707,114,5,3718,218,614,201,5,1037,146,63,33,6,249,7541,8168,2351,131,18195
SED25402,139,34,51,10,230,52,9,27,0,84,55,12,43,8,114,32,7,103,4,150,224,33,189,12,448,156,39,317,5,518,987,118,355,18,1473,703,176,474,46,1401,657,290,388,37,1368,710,428,346,25,1506,394,405,225,15,1034,461,478,163,16,1113,856,1060,249,16,2176,592,891,100,17,1599,418,696,54,8,1175,199,396,21,7,616,438,1091,54,6,1595,322,600,220,12,1151,168,71,75,3,315,7561,6820,3450,240,18077
SED25501,337,68,162,18,584,98,24,42,3,170,58,39,56,0,159,33,30,74,3,145,224,51,82,9,360,133,78,125,10,345,562,116,128,19,828,410,183,205,22,827,518,309,202,25,1054,546,408,214,27,1191,294,410,153,20,882,299,419,143,25,884,589,1071,262,31,1954,406,995,135,16,1552,335,1045,92,7,1470,213,722,48,6,987,591,2901,130,18,3640,202,616,162,4,982,77,65,27,0,173,5916,9543,2442,275,18174
SED25605,301,45,84,14,441,78,14,28,0,125,55,33,39,5,130,36,29,49,6,117,225,45,113,6,398,137,77,127,4,343,834,167,150,21,1169,506,245,266,39,1060,501,373,284,45,1211,567,514,284,52,1412,310,483,191,39,1023,375,526,154,24,1077,648,1156,295,47,2146,426,900,145,30,1500,312,830,88,20,1239,155,554,32,10,756,399,1677,85,7,2174,216,502,162,12,886,107,68,41,9,221,6195,8245,2602,373,17418
SED25704,166,30,33,3,231,80,13,13,0,101,34,7,36,0,78,44,13,87,4,151,297,18,131,8,459,168,33,257,6,463,1148,89,277,19,1525,735,167,359,35,1296,720,296,321,26,1363,834,486,253,26,1597,437,483,166,20,1104,518,484,128,26,1158,955,1119,170,16,2259,531,870,68,11,1481,345,559,42,3,948,167,334,16,0,509,297,684,34,3,1011,329,587,178,14,1107,212,79,74,14,380,8018,6329,2645,233,17224
SED25802,173,35,28,3,242,88,6,23,4,118,62,10,46,0,114,45,5,80,3,136,254,31,179,7,471,177,53,283,6,519,1123,107,313,14,1560,792,181,392,41,1409,814,309,387,31,1542,861,500,318,20,1701,447,544,214,27,1226,557,666,169,23,1406,1065,1424,267,20,2780,704,1129,97,16,1936,479,904,66,12,1459,222,507,27,3,764,545,1196,55,10,1807,331,712,227,9,1285,208,106,74,7,389,8937,8423,3252,252,20858
SED25905,197,63,64,4,327,56,12,18,0,87,36,25,46,0,103,51,32,55,6,139,172,44,117,9,342,130,79,184,6,398,727,179,213,12,1129,431,285,286,12,1017,418,477,297,23,1216,526,656,310,34,1521,296,628,215,16,1157,385,658,196,27,1272,789,1472,303,37,2603,544,1214,140,23,1912,307,931,77,16,1332,192,627,43,6,870,281,1267,70,8,1630,180,638,180,5,1004,99,97,46,0,244,5803,9388,2866,249,18316
SED26005,243,85,89,0,416,36,15,25,3,74,40,33,47,0,129,44,30,72,0,146,144,79,111,0,341,89,119,211,6,430,601,259,266,8,1132,393,416,339,25,1169,403,657,388,28,1484,476,983,352,26,1840,306,875,272,18,1476,376,961,212,17,1560,771,2143,408,40,3359,532,1699,221,30,2478,340,1440,143,13,1933,197,903,49,3,1152,279,1906,83,12,2279,179,795,210,15,1204,97,95,53,5,250,5551,13506,3545,256,22856
SED26102,196,17,27,5,243,98,3,20,0,120,55,10,33,5,105,39,9,64,0,109,297,17,119,8,439,149,31,177,8,365,1117,56,223,14,1410,803,98,328,25,1259,899,216,354,26,1495,1006,351,275,18,1646,430,354,201,18,1004,540,371,168,15,1091,935,923,233,24,2121,691,764,94,14,1552,499,643,48,7,1201,225,394,30,3,652,988,1063,72,6,2140,349,531,258,12,1152,214,50,55,3,323,9517,5912,2769,212,18411
SED26207,212,29,44,3,289,66,13,20,0,103,45,17,29,0,91,29,15,45,0,90,192,30,74,5,299,108,43,99,14,263,862,61,150,12,1085,456,124,231,26,843,460,229,287,34,1009,478,314,268,28,1094,250,344,228,21,846,243,342,186,16,783,587,991,336,35,1941,475,971,188,20,1660,381,956,111,21,1471,268,795,57,12,1130,619,2598,141,17,3370,184,420,179,6,786,130,90,34,6,264,6042,8380,2711,276,17406
SED26303,91,18,38,4,145,46,3,6,0,56,18,3,26,5,61,20,7,42,0,76,122,23,83,11,241,88,21,106,11,223,447,57,112,18,626,252,72,199,25,550,282,146,188,34,657,356,193,193,40,780,274,187,187,29,673,339,248,165,19,770,835,627,294,37,1791,773,651,106,31,1557,671,769,109,19,1561,543,600,34,16,1192,1429,3391,161,25,5008,225,362,165,4,758,42,34,18,0,100,6852,7410,2227,324,16815
SED26406,212,43,67,18,348,75,9,22,7,105,43,14,37,3,102,30,11,39,7,82,193,34,63,14,301,127,48,127,12,312,566,83,141,29,815,364,142,202,39,747,430,238,245,38,961,542,306,242,66,1162,382,302,192,41,923,406,352,174,37,960,991,909,284,82,2265,719,836,133,45,1735,583,833,119,20,1546,354,675,44,12,1083,965,2790,113,26,3896,220,406,143,14,791,93,39,22,3,161,7306,8059,2417,524,18298
SED26504,148,21,26,0,201,54,10,9,0,65,39,12,29,3,82,39,17,60,5,123,255,17,108,0,392,158,41,213,3,413,1122,79,249,15,1464,715,139,316,32,1202,713,230,315,20,1275,830,382,253,24,1489,413,412,155,9,989,503,431,128,12,1069,954,949,193,15,2104,546,787,63,7,1407,353,597,30,9,989,155,350,9,0,516,339,659,40,0,1041,314,550,191,9,1062,196,60,36,9,293,7851,5732,2419,170,16177
SED26603,164,52,68,14,301,57,7,14,0,84,23,20,38,0,85,23,15,71,4,113,164,44,124,12,339,98,69,176,8,353,680,153,204,35,1068,357,207,298,39,893,434,353,354,46,1182,543,428,308,46,1329,333,462,272,44,1108,416,551,200,31,1204,985,1223,376,72,2650,876,1081,181,38,2170,709,1147,114,33,2004,516,774,53,22,1361,944,2406,93,28,3468,255,421,178,11,864,125,94,38,10,268,7690,9498,3154,491,20835
SED26708,151,27,25,0,204,69,5,12,0,88,48,6,25,0,78,32,6,44,4,89,247,17,98,10,364,147,40,192,0,376,852,94,209,15,1173,694,159,270,27,1144,707,267,288,21,1282,775,467,189,18,1450,416,482,167,23,1081,526,516,109,7,1174,964,1128,173,32,2294,584,935,84,7,1620,440,720,46,0,1210,199,434,11,3,659,541,987,62,9,1600,309,668,193,4,1177,192,89,40,4,329,7892,7045,2240,220,17396
SED26806,89,23,74,12,199,31,8,17,6,59,24,10,23,10,64,20,4,29,3,63,91,12,61,14,181,84,23,105,11,212,247,31,95,15,385,199,57,125,32,411,345,76,158,38,616,444,135,135,61,775,363,92,106,45,614,458,99,100,50,708,1240,356,227,71,1889,1241,280,74,68,1665,1057,333,82,40,1513,848,256,25,17,1146,2922,1939,183,48,5092,361,284,130,15,787,88,28,23,0,143,10160,4042,1775,551,16524
SED26903,166,59,63,10,294,72,14,27,4,117,44,27,48,6,123,29,18,90,0,143,163,43,111,14,330,99,71,207,8,380,742,141,216,24,1123,367,231,333,55,999,365,308,336,50,1056,484,444,327,59,1316,322,432,226,45,1026,357,456,193,54,1061,921,972,286,81,2260,764,863,150,41,1817,569,852,82,23,1519,401,604,37,21,1062,601,1406,84,17,2109,215,368,188,17,790,104,57,54,8,227,6767,7375,3065,547,17755
SED27003,69,17,52,13,144,25,6,26,6,59,26,11,65,6,110,18,14,89,4,123,94,41,127,16,277,77,28,130,13,245,289,72,167,25,555,198,98,212,54,557,251,104,170,26,545,394,119,145,53,708,263,134,123,29,549,374,126,120,32,661,1110,356,220,60,1745,1172,359,81,55,1667,1137,409,84,45,1673,921,352,27,21,1331,3155,2474,170,52,5846,300,256,149,9,710,37,40,36,9,120,9904,5006,2185,525,17626
SED27101,220,36,71,7,335,67,15,23,0,96,46,16,35,3,103,24,13,45,0,89,151,39,75,6,268,88,53,103,9,257,452,120,166,13,752,427,162,225,12,822,466,272,260,23,1025,563,372,285,36,1265,294,394,194,28,908,368,404,163,17,956,792,1053,298,46,2179,643,1001,133,20,1802,494,1072,98,11,1675,368,771,38,9,1184,703,2359,107,8,3180,199,409,190,8,807,70,53,35,6,163,6442,8611,2539,271,17859
SED27208,127,16,39,0,186,74,3,15,0,98,45,9,37,5,102,47,7,69,3,131,282,25,150,14,477,208,31,253,11,510,1367,125,284,25,1794,862,169,389,39,1456,802,344,361,39,1547,824,532,276,25,1658,407,493,190,18,1102,540,495,136,14,1185,916,1076,167,23,2180,565,755,70,8,1394,333,540,26,9,908,164,338,13,0,508,318,621,32,4,979,349,600,200,14,1172,227,71,61,14,367,8465,6264,2772,269,17768
SED27305,187,17,34,4,238,59,9,9,0,78,35,14,14,0,63,31,14,40,0,85,134,24,71,3,234,97,44,91,7,238,525,82,116,4,719,389,115,150,11,671,433,228,222,20,901,485,339,213,14,1057,256,358,148,13,776,283,441,130,10,870,601,1171,237,28,2040,496,1130,145,11,1780,374,1102,83,5,1570,198,785,61,6,1047,447,2226,103,5,2782,128,488,137,4,757,80,56,21,5,162,5238,8651,2013,163,16062
SED27406,107,28,45,0,177,55,7,10,0,73,44,11,30,6,83,30,5,34,4,75,140,18,66,0,223,82,13,88,9,194,369,45,108,9,525,329,56,177,19,586,481,101,218,10,817,553,158,181,25,922,325,154,162,8,651,404,188,160,9,760,814,595,282,24,1714,694,630,112,22,1453,604,828,111,9,1551,422,618,44,3,1090,1361,4295,194,8,5866,217,502,195,5,920,83,39,26,0,144,7107,8288,2250,172,17816
SED27504,173,59,55,6,284,76,11,14,0,101,34,19,42,0,90,38,18,97,0,150,218,49,171,11,448,153,65,282,8,512,1013,171,343,16,1547,663,218,442,39,1366,669,371,421,31,1496,772,578,328,37,1719,374,583,215,17,1187,510,603,187,22,1329,960,1254,254,35,2497,642,1014,90,11,1754,357,719,46,4,1132,190,455,12,0,660,390,934,42,8,1367,286,581,230,12,1109,183,93,95,11,384,7716,7785,3369,270,19142
SED27608,136,33,34,0,204,75,6,17,0,99,50,15,36,4,95,31,8,32,0,80,189,14,98,3,306,157,30,180,5,375,785,69,197,11,1068,663,122,307,23,1121,769,241,363,20,1386,864,469,349,31,1713,498,495,261,16,1265,557,637,209,17,1420,1238,1725,350,50,3363,989,1691,136,30,2847,708,1639,99,10,2459,419,1062,30,10,1526,930,2743,107,13,3792,311,733,218,9,1277,129,73,24,4,228,9498,11802,3054,273,24625
SED27708,123,15,33,0,174,54,0,12,0,77,37,12,23,3,76,33,6,75,0,122,225,19,142,9,384,163,34,234,4,439,898,69,273,10,1253,688,113,375,45,1222,709,269,331,42,1340,817,465,293,24,1604,425,449,199,15,1096,498,504,164,20,1180,1038,1190,194,25,2447,660,959,96,12,1727,416,708,58,9,1192,204,447,15,5,679,458,891,41,11,1396,305,609,188,15,1108,169,63,57,10,291,7919,6820,2818,257,17805
SED27807,321,104,185,21,626,76,16,48,4,147,59,52,114,7,239,57,42,178,8,287,301,112,220,18,651,148,159,303,9,622,1021,299,343,43,1699,540,451,470,69,1527,452,605,438,54,1552,578,740,456,59,1834,285,609,303,39,1231,287,598,224,43,1159,573,1158,324,71,2127,354,875,201,28,1460,237,580,111,26,957,149,364,69,13,589,234,717,81,16,1047,188,465,226,32,915,157,81,101,14,340,6005,8044,4377,579,19009
SED27907,149,33,50,7,237,54,9,16,0,78,22,3,38,0,68,32,22,51,3,110,158,28,103,8,298,113,47,174,12,342,665,120,208,17,1010,501,168,324,28,1019,486,263,363,27,1141,531,462,333,42,1366,323,508,275,13,1118,400,506,232,20,1162,878,1439,357,40,2713,715,1261,183,20,2185,526,973,126,13,1636,290,684,51,8,1032,469,1478,65,8,2026,175,539,207,12,931,88,71,37,10,207,6578,8610,3196,276,18655
SED28007,240,76,69,0,382,62,19,22,0,94,42,24,41,0,115,38,30,55,5,126,190,70,104,0,364,108,89,206,3,409,726,172,233,8,1140,386,274,251,25,936,371,465,319,14,1177,447,705,346,20,1520,249,677,264,15,1209,307,798,212,18,1335,704,1863,424,46,3039,544,1684,193,21,2439,378,1492,154,19,2042,212,1056,63,6,1339,364,2357,112,14,2847,160,768,199,15,1137,96,142,50,8,295,5624,12757,3318,249,21947
SED28107,476,102,140,10,726,77,18,36,5,142,60,42,80,0,183,58,44,112,0,213,164,129,156,13,458,140,234,281,15,673,601,405,360,28,1384,487,719,378,44,1626,545,1154,478,47,2228,648,1660,421,80,2816,515,1550,324,52,2438,552,1569,269,53,2440,1269,3626,432,100,5430,857,2620,187,48,3712,540,2012,145,28,2725,377,1214,47,21,1659,576,2460,114,16,3168,289,1078,231,15,1615,140,172,86,13,411,8360,20811,4285,595,34056
SED28203,339,115,127,12,595,87,22,19,0,132,55,59,65,4,183,56,39,102,0,203,267,125,166,12,565,154,139,260,9,565,1236,345,266,29,1875,542,466,429,39,1484,480,794,432,45,1754,540,995,416,46,1995,331,922,298,37,1592,288,867,241,30,1430,749,1915,371,60,3103,524,1316,173,45,2054,300,949,90,26,1358,174,558,51,7,789,210,927,67,3,1204,195,567,175,20,949,175,121,73,19,387,6702,11251,3821,441,22216
SED28301,237,67,109,4,418,94,17,24,0,140,42,20,35,3,96,26,26,39,3,93,201,43,61,8,308,139,68,86,4,303,570,123,119,9,823,394,177,160,15,747,492,271,206,11,979,538,360,190,21,1111,254,411,153,22,834,338,409,153,11,908,654,984,216,18,1876,463,920,137,17,1531,349,980,87,9,1424,211,734,42,3,986,803,3272,158,7,4240,185,659,146,4,991,96,60,19,3,178,6080,9602,2146,173,17999
SED28408,87,11,39,3,145,38,4,12,5,56,28,5,34,5,69,23,4,65,0,98,132,16,157,7,311,122,23,263,9,412,744,86,320,20,1178,518,116,424,26,1081,570,247,407,36,1254,699,384,342,43,1473,388,391,237,20,1036,475,420,168,15,1072,850,906,254,29,2037,538,813,101,19,1474,383,740,57,6,1190,229,448,28,7,710,481,1199,58,0,1736,214,432,211,6,858,94,41,65,7,206,6610,6281,3243,266,16403
SED28507,217,72,98,12,388,32,13,19,0,65,40,22,64,0,118,30,23,105,10,174,140,78,196,16,430,157,105,355,14,625,613,242,414,19,1289,425,366,539,35,1367,511,595,476,37,1612,599,859,460,69,1984,434,866,336,41,1671,453,872,245,35,1597,1078,2209,400,52,3737,760,1464,167,45,2427,536,1197,95,17,1845,307,752,47,6,1109,480,1530,63,9,2078,247,680,261,19,1197,122,122,90,6,345,7155,12046,4417,443,24066
SED28607,138,31,59,4,235,68,8,18,4,91,36,12,31,8,81,23,13,48,0,87,144,32,84,4,270,92,49,119,12,271,497,96,174,25,791,288,99,221,42,648,305,194,248,37,787,412,289,250,50,999,266,265,228,16,777,281,301,206,29,817,753,787,353,45,1941,730,850,154,40,1776,684,1017,134,18,1848,573,843,54,16,1481,1690,4283,172,32,6174,229,495,203,13,943,81,43,26,6,156,7297,9713,2766,396,20166
SED28704,209,56,92,5,359,71,12,20,4,102,46,22,48,0,117,40,17,77,6,142,168,56,147,5,386,130,65,306,4,499,636,157,302,17,1109,493,243,442,17,1199,588,491,450,26,1555,652,800,442,25,1914,387,888,353,17,1639,492,1029,265,14,1796,1218,2664,465,44,4387,918,2226,211,35,3393,687,1896,142,14,2739,383,1180,56,7,1631,649,2782,109,9,3549,273,942,328,11,1550,110,147,63,5,329,8128,15666,4325,274,28397
SED28803,396,198,137,10,738,60,41,29,10,136,57,85,88,6,226,51,81,111,0,242,157,245,198,7,612,164,351,315,7,835,759,620,434,16,1820,490,845,490,43,1867,480,1340,523,43,2384,617,1760,485,62,2924,455,1601,359,27,2437,511,1594,276,29,2405,1253,3315,478,64,5110,825,2375,284,37,3526,513,1832,142,22,2519,305,1136,79,14,1541,445,2255,137,16,2857,265,1135,246,14,1655,143,248,75,3,470,7938,21053,4874,423,34296
SED29494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
