SED_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
SED26903,3910,5464,1982,315,11671,3820,1045,16535,1110,810,496,99,2512,2512,335,5358,1110,800,348,84,2343,1000,286,3625,2221,1609,839,183,4851,3512,616,8983,169,98,73,15,362,540,72,976,83,43,26,8,158,212,34,409,105,49,39,11,207,258,39,506,21,10,4,3,35,29,8,78,4,4,0,0,10,8,0,17,378,207,143,45,773,1052,155,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,18,16,7,68,70,24,161,28,18,16,7,68,74,24,166,0,6,3,0,5,14,3,20,6537,7301,2994,549,17372,8474,1840,27690
SED27003,1173,1202,312,53,2746,786,545,4072,2018,1316,373,103,3807,1793,985,6585,1683,1140,362,104,3281,1298,932,5513,3699,2455,734,201,7089,3094,1918,12097,629,155,85,29,899,1251,253,2396,895,261,183,45,1383,2072,319,3778,2007,408,210,83,2703,3170,547,6423,1335,473,618,105,2527,2595,351,5470,9,3,0,0,14,4,8,24,4866,1294,1101,268,7522,9096,1475,18097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,36,9,3,141,106,49,299,87,36,9,3,141,106,49,299,5,5,0,0,12,27,5,42,9834,4990,2152,524,17500,13107,3996,34610
SED27101,4690,7368,1946,204,14215,4239,611,19062,691,585,280,37,1585,1328,145,3059,352,467,162,7,982,327,78,1389,1042,1045,438,45,2570,1659,223,4446,51,32,19,0,111,99,14,216,106,36,30,9,178,189,14,390,217,78,48,14,359,429,39,819,22,4,5,0,27,40,0,74,0,4,3,0,10,8,0,20,404,150,113,24,685,764,71,1522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,4,3,3,13,3,0,4,0,4,3,3,13,0,4,0,0,4,17,0,23,6141,8566,2504,274,17479,6678,911,25065
SED27208,7986,6114,2607,252,16957,7453,681,25082,161,45,67,14,285,669,29,979,11,7,6,0,27,34,0,63,177,47,71,14,309,703,33,1043,41,12,14,0,68,275,3,341,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,41,12,16,0,68,283,3,354,34,4,4,0,44,117,4,164,19,4,0,0,25,49,0,78,0,0,0,0,3,8,0,14,24,27,7,0,59,40,7,102,73,34,18,0,133,213,7,354,20,6,3,0,29,32,6,67,8297,6218,2719,268,17499,8684,725,26908
SED27305,4414,8410,1862,152,14832,2232,292,17354,323,41,20,0,384,419,5,808,95,129,67,7,295,127,19,442,414,167,85,9,671,548,30,1251,4,3,4,0,7,8,0,17,11,4,3,0,19,31,5,51,10,0,0,0,9,19,0,28,0,0,0,0,0,0,0,0,0,3,3,0,9,12,0,22,25,13,10,5,49,66,4,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,4,0,4,0,3,0,0,6,4,0,4,0,0,5,0,5,8,0,7,4850,8585,1958,168,15564,2852,326,18743
SED27406,3734,6363,1140,82,11320,2319,161,13802,1072,641,393,34,2136,1863,108,4104,913,855,290,25,2093,592,59,2738,1986,1499,684,55,4229,2453,163,6843,396,145,150,3,705,864,57,1626,301,78,74,14,460,456,41,960,387,117,114,8,628,793,41,1468,117,35,39,0,202,219,9,427,4,3,6,0,12,9,0,13,1207,383,386,31,2003,2341,146,4485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,19,24,0,96,72,7,175,48,19,24,0,96,74,7,178,7,5,0,0,11,7,0,18,6977,8270,2236,176,17657,7196,482,25334
SED27504,6869,7474,3048,235,17622,5876,727,24224,397,197,172,32,800,1440,90,2329,28,11,14,0,50,42,10,104,421,208,189,31,852,1481,101,2431,6,6,5,0,18,38,5,54,0,0,0,0,0,16,0,13,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,7,3,0,7,10,5,5,0,18,56,5,76,38,4,11,0,52,150,3,205,16,0,6,0,27,58,5,86,3,0,0,0,6,4,0,10,60,3,3,4,78,147,4,233,118,10,29,3,163,355,11,530,14,12,4,0,31,19,0,46,7435,7713,3266,277,18686,7787,840,27308
SED27608,8527,11427,2740,251,22950,5204,1245,29404,489,222,169,12,895,1272,75,2237,152,95,80,3,337,230,31,600,647,316,250,13,1229,1496,108,2833,10,3,0,0,14,34,9,61,13,3,0,0,14,26,0,43,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,23,4,5,0,35,67,12,115,8,0,0,0,9,15,3,26,0,3,0,0,8,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,13,4,3,0,15,19,6,39,12,13,3,0,24,14,6,41,9218,11759,3005,270,24253,6809,1373,32436
SED27708,7185,6573,2489,218,16461,5595,596,22656,310,106,157,27,594,1124,59,1776,106,45,48,9,208,182,13,404,416,155,205,28,804,1309,75,2186,84,28,49,4,172,427,20,622,14,0,3,0,16,36,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,6,97,34,55,11,190,466,20,682,14,0,0,0,16,26,0,42,26,0,8,0,29,57,4,103,3,0,0,0,4,0,0,6,13,5,9,4,31,14,0,40,51,13,15,4,79,103,7,193,16,8,0,0,21,19,0,39,7766,6780,2761,261,17556,7499,699,25757
SED27807,4257,6436,3250,417,14354,4042,902,19299,400,517,328,51,1304,701,108,2108,429,529,278,53,1295,381,133,1808,834,1046,605,108,2595,1081,244,3914,322,330,229,46,930,771,95,1794,14,9,4,3,26,35,4,64,0,0,0,0,5,10,0,14,11,6,6,4,27,53,14,91,7,9,4,0,16,10,0,36,356,349,247,50,1006,877,110,1991,0,0,0,0,0,0,0,0,0,0,0,0,4,30,0,29,0,0,0,0,0,0,0,0,12,12,3,0,27,17,3,47,16,11,4,0,31,48,3,81,13,4,6,3,23,11,0,34,5467,7855,4111,577,18012,6050,1258,25327
SED27907,5547,8115,2696,234,16597,3876,416,20893,383,215,193,23,816,963,57,1837,156,131,103,5,397,176,26,598,535,346,300,28,1209,1145,81,2434,185,70,128,17,397,608,44,1054,6,0,0,0,6,27,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,3,0,11,193,69,134,17,408,640,44,1090,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,5,0,6,0,6,4,0,9,0,0,11,6286,8538,3131,276,18227,5664,540,24432
SED28007,4281,11502,2533,178,18497,2241,258,20992,509,585,340,34,1467,734,35,2236,237,410,284,33,971,286,51,1304,744,995,623,64,2431,1019,89,3541,24,25,21,0,75,164,7,246,14,12,6,0,32,40,3,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,35,41,27,0,108,207,7,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,7,0,0,7,4,4,0,0,10,7,0,12,5068,12547,3189,248,21049,3474,351,24875
SED28107,6480,18889,3481,521,29373,3816,1276,34464,570,1166,327,38,2100,532,111,2738,164,294,103,19,580,194,48,821,735,1455,427,51,2670,729,158,3561,135,122,107,21,379,381,25,789,0,0,0,0,0,0,0,0,47,16,10,4,80,101,11,193,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,7,182,143,115,23,467,487,33,986,0,0,0,0,0,8,0,6,0,0,3,0,11,30,0,38,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,11,0,12,36,0,50,5,13,6,0,21,9,0,34,7404,20503,4042,597,32549,5073,1466,39093
SED28203,5312,10155,3194,363,19025,4092,608,23732,235,260,141,23,651,423,45,1120,327,393,201,28,952,345,78,1374,566,646,339,53,1605,763,120,2487,179,217,109,24,529,348,50,933,14,0,5,0,20,47,0,65,42,0,4,0,43,79,0,119,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,6,234,230,116,25,601,472,50,1127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,4,0,16,3,0,15,6,9,4,0,21,6,0,23,6,3,4,0,14,13,0,24,6120,11041,3655,443,21260,5349,784,27393
SED28301,4606,8152,1555,124,14435,2164,219,16819,278,302,132,11,724,589,27,1339,332,751,219,13,1311,227,30,1575,607,1048,352,31,2039,815,59,2916,165,197,72,11,450,296,9,754,63,48,38,6,151,117,8,272,157,84,70,5,312,219,20,545,31,3,6,0,31,34,0,70,4,3,0,0,4,5,0,11,416,338,181,21,954,664,37,1654,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,7,0,14,5,0,18,5630,9540,2093,175,17442,3650,311,21403
SED28408,5784,5963,2802,231,14784,5580,792,21159,496,214,260,24,997,1651,101,2748,84,38,63,3,183,180,32,400,583,251,320,25,1184,1828,133,3148,82,28,60,0,173,555,29,760,21,3,3,0,29,37,3,76,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,104,27,70,4,208,603,32,839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,0,11,7,3,29,6,5,4,0,11,7,3,29,14,7,0,0,22,20,3,43,6495,6259,3190,265,16209,8045,973,25225
SED28507,6032,11222,3781,395,21428,4812,790,27032,397,433,282,32,1145,1080,92,2310,147,149,106,11,411,184,59,656,549,583,387,42,1557,1259,147,2969,60,46,43,7,156,128,11,296,0,3,0,0,10,11,7,23,50,14,11,6,80,114,7,201,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,15,114,63,60,8,249,263,23,532,13,0,0,0,8,19,0,33,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,14,0,0,0,16,18,0,39,0,3,0,0,8,6,0,16,6710,11873,4234,448,23261,6360,968,30587
SED28607,4572,7346,1782,267,13969,3519,614,18101,659,495,245,30,1423,1134,79,2642,1278,1593,456,47,3378,943,180,4495,1939,2088,703,73,4802,2077,259,7137,300,143,129,33,600,964,100,1668,156,43,41,14,257,348,35,637,70,22,16,0,111,170,12,289,44,17,26,7,91,154,11,253,0,9,0,0,4,0,0,13,572,218,214,53,1065,1639,157,2859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,15,17,0,73,58,11,151,44,15,17,0,73,62,11,150,15,5,7,3,22,15,0,41,7139,9678,2717,396,19934,7316,1040,28288
SED28704,7109,15061,3811,243,26227,4206,441,30876,308,262,179,8,765,482,27,1275,154,173,154,14,497,206,32,729,468,440,332,21,1261,686,52,2004,19,14,18,0,49,50,4,103,11,7,14,0,22,29,3,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,7,0,13,28,23,30,5,84,92,10,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,0,0,6,0,0,6,6,9,0,0,14,7,0,22,7609,15525,4178,276,27587,4993,497,33080
SED28803,6423,19660,4126,363,30572,3879,624,35074,234,414,182,21,852,342,31,1224,313,459,254,40,1065,391,71,1521,551,875,436,60,1919,733,98,2748,37,55,32,8,133,55,10,197,0,0,0,0,0,0,0,0,0,3,6,0,10,3,4,16,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,15,46,69,41,8,156,66,9,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,6,0,0,0,0,3,4,0,12,0,12,8,0,25,11,0,35,7022,20606,4608,431,32667,4691,729,38092
SED29494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
