SED_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SED26903,6498,1211,166,20,0,7903,5067,2475,450,27,0,8018,3084,3673,931,74,3,7767,449,657,202,0,0,1313,41,58,46,0,0,152,773,461,104,23,0,1359,97,64,16,10,0,190,25,30,8,0,0,58,4472,4941,1307,106,10,10840,242,175,30,4,0,447,260,177,36,6,7,479,16535,8983,1984,166,20,27690
SED27003,1539,3328,1598,33,3,6497,1260,3216,3824,71,6,8373,874,3744,8520,139,16,13292,23,415,2291,0,0,2734,19,73,309,0,0,404,253,949,1036,39,4,2288,10,41,43,3,5,106,5,16,42,0,0,58,1184,5240,12247,183,29,18884,53,212,226,7,0,500,41,100,208,3,5,358,4072,12097,18097,299,42,34610
SED27101,6753,929,230,0,5,7914,7260,1282,444,0,7,8994,3653,1526,677,6,0,5866,192,234,19,0,0,446,49,89,29,0,4,168,710,214,79,4,4,1002,58,26,6,0,0,89,15,16,7,0,0,37,4680,2096,822,12,11,7610,202,59,15,0,0,279,164,78,15,0,0,265,19062,4446,1522,13,23,25065
SED27208,11635,272,53,192,28,12179,8465,61,18,23,14,8593,2042,301,96,21,6,2473,278,162,78,0,0,522,42,50,33,0,0,131,1349,73,23,28,0,1473,207,9,6,50,5,285,28,10,4,0,0,41,3956,612,243,102,13,4927,519,53,23,15,0,617,507,39,22,14,5,588,25082,1043,354,354,67,26908
SED27305,6283,434,18,0,0,6737,8166,274,43,0,0,8485,2021,170,35,0,0,2228,166,4,0,0,0,166,17,5,0,0,0,26,373,28,12,0,0,421,11,7,0,0,0,25,13,0,0,0,0,13,2600,215,50,3,0,2874,139,291,6,0,5,443,169,35,0,0,0,209,17354,1251,124,4,7,18743
SED27406,6294,2300,939,36,3,9571,5489,2120,1232,39,8,8878,1316,1710,1823,80,3,4926,66,188,86,0,0,339,0,11,64,0,0,79,327,340,199,25,0,886,28,14,19,3,0,55,8,8,12,0,0,23,1744,2269,2199,98,6,6312,147,89,66,3,0,303,134,68,52,6,0,258,13802,6843,4485,178,18,25334
SED27504,8878,454,9,231,13,9581,8833,173,3,21,13,9045,3058,1098,23,10,0,4201,632,240,10,4,0,889,119,63,25,14,0,219,1396,161,3,25,9,1591,291,55,0,84,3,435,58,25,0,4,0,88,5562,1639,68,137,17,7422,453,82,0,95,0,626,502,86,3,39,5,633,24224,2431,76,530,46,27308
SED27608,9540,683,29,13,15,10277,13017,513,27,0,10,13575,4770,820,46,0,6,5640,165,103,3,0,0,271,61,87,0,0,0,150,1085,158,6,0,6,1268,83,22,0,17,0,132,16,8,0,0,0,29,6198,1195,52,18,9,7480,383,365,7,0,4,764,265,76,0,0,0,347,29404,2833,115,39,41,32436
SED27708,9576,538,86,93,15,10308,8011,251,69,26,5,8364,2306,771,256,26,3,3371,546,224,78,0,0,848,76,45,42,0,0,159,1155,186,59,10,8,1421,171,30,26,26,3,256,24,9,8,0,0,43,4283,1264,475,68,13,6098,433,77,43,7,0,564,347,51,19,3,5,417,22656,2186,682,193,39,25757
SED27807,7972,756,311,10,5,9061,5401,1141,332,0,7,6879,2855,1246,868,12,7,4993,361,160,123,0,0,643,68,39,37,0,0,148,1366,336,176,16,7,1903,352,81,55,36,5,526,51,16,21,0,0,85,5062,1877,1282,61,25,8303,360,52,22,0,0,442,500,85,54,3,0,647,19299,3914,1991,81,34,25327
SED27907,7017,515,274,4,0,7804,9888,673,211,0,5,10776,2675,887,407,0,0,3973,115,52,47,0,0,216,26,15,16,0,0,53,664,124,73,4,0,863,55,7,4,0,6,65,17,5,3,0,0,21,3545,1095,553,4,6,5198,182,111,30,0,0,321,263,44,18,0,0,325,20893,2434,1090,6,11,24432
SED28007,6954,795,48,0,9,7798,10890,1212,72,0,4,12174,2014,1028,83,0,0,3122,31,14,32,0,0,78,9,7,68,0,0,83,550,169,10,0,3,735,66,37,0,0,0,107,12,9,0,0,0,27,2684,1267,198,0,3,4152,163,173,7,0,0,347,311,86,4,0,0,401,20992,3541,326,7,12,24875
SED28107,5634,552,165,13,3,6356,18298,1477,174,0,15,19970,7972,1127,465,0,13,9578,113,11,25,0,0,152,69,16,23,0,0,107,1128,148,42,5,0,1327,214,20,12,21,0,271,55,3,3,0,0,64,9550,1336,572,29,15,11497,317,126,57,0,4,508,666,70,25,4,0,763,34464,3561,986,50,34,39093
SED28203,8256,321,235,8,4,8821,9418,704,204,4,4,10340,3912,1155,491,4,7,5573,188,47,31,0,0,261,37,33,21,0,0,88,910,110,61,5,9,1097,221,32,28,0,0,282,35,10,3,0,0,50,5302,1380,639,10,15,7344,287,34,20,3,0,345,468,42,23,0,0,538,23732,2487,1127,23,24,27393
SED28301,7786,913,427,0,0,9133,6684,894,502,0,6,8084,1563,709,521,0,4,2795,34,53,20,0,0,109,5,3,14,0,0,21,360,123,76,0,0,560,20,10,5,0,0,42,9,5,0,0,0,12,1995,900,638,0,8,3542,218,161,60,0,0,436,138,48,14,0,0,204,16819,2916,1654,0,18,21403
SED28408,7603,755,137,9,10,8524,7129,422,63,8,6,7630,4357,1244,470,9,11,6087,543,279,34,0,0,859,72,87,22,0,5,185,875,163,68,3,3,1113,65,30,13,0,0,110,23,14,0,0,0,37,5940,1812,603,16,23,8395,230,85,14,0,0,324,253,72,22,0,3,351,21159,3148,839,29,43,25225
SED28507,6197,534,74,25,3,6832,12366,725,107,0,0,13202,6235,1236,277,4,0,7755,349,95,19,0,0,462,56,44,7,0,0,101,981,176,32,0,0,1195,128,14,0,3,0,152,46,10,0,0,0,54,7797,1580,337,6,4,9723,268,69,9,3,0,346,406,68,5,3,0,486,27032,2969,532,39,16,30587
SED28607,6681,1446,328,19,11,8493,7011,2610,646,26,10,10302,3044,2171,1312,74,13,6607,119,331,234,0,0,691,69,61,76,0,0,208,703,313,157,20,0,1197,69,28,19,4,3,121,13,11,8,0,0,28,4016,2918,1802,101,19,8852,192,89,40,5,0,318,196,78,44,0,4,321,18101,7137,2859,150,41,28288
SED28704,7236,405,28,0,5,7669,17571,685,37,0,11,18307,4538,611,89,0,0,5233,63,45,8,0,0,115,44,4,9,0,0,61,723,72,9,0,0,806,98,8,0,0,0,105,15,5,0,0,0,22,5479,751,113,0,0,6350,230,126,3,0,4,360,364,28,0,0,0,398,30876,2004,177,6,22,33080
SED28803,6593,301,24,0,5,6920,20281,931,59,0,11,21280,5602,1183,109,0,9,6902,158,21,12,0,0,187,59,18,6,0,0,75,1090,128,13,5,0,1234,344,37,3,5,0,387,60,5,0,0,0,64,7301,1392,142,6,19,8859,339,52,0,0,0,394,556,66,4,0,0,637,35074,2748,230,12,35,38092
SED29494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
