SED_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
SED24207,4,15,0,7,4,0,32,0,19,0,0,5,3,26,10,82,14,32,16,3,157,20,59,12,55,36,5,186,21,32,17,43,27,0,140,60,46,28,89,20,0,242,781,40,23,348,66,8,1270,2825,20,9,336,49,14,3260,681,7,0,92,25,0,802,95,4,0,15,3,0,114,26,0,0,7,3,0,33,20,0,0,6,0,0,25,7,0,0,0,0,0,7,34,0,0,0,0,0,43,125,24,5,114,37,18,320,4712,349,113,1147,284,50,6652
SED24308,5,90,0,10,0,4,117,3,68,8,8,7,0,99,25,544,27,42,10,3,656,114,214,76,96,31,6,541,183,87,27,101,13,0,406,796,143,38,214,18,7,1219,1932,78,47,329,49,11,2440,1694,35,9,200,24,3,1961,457,6,0,39,5,0,498,81,0,0,10,0,0,93,36,5,0,8,0,0,47,11,0,0,0,0,0,12,10,0,0,3,0,0,9,17,0,0,4,0,0,26,94,82,14,71,40,17,322,5459,1344,248,1139,199,54,8446
SED24408,12,41,6,54,36,0,148,11,45,4,41,16,0,129,121,219,22,219,65,13,659,392,91,30,322,40,0,886,359,38,8,217,27,0,649,538,32,11,175,20,9,781,519,12,10,127,18,8,701,275,9,5,56,11,0,359,45,4,0,19,0,0,69,4,0,0,8,0,0,12,5,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,3,0,0,3,0,0,0,6,0,0,11,47,32,11,103,73,10,286,2340,529,115,1353,312,49,4701
SED24504,0,6,0,9,5,0,31,0,13,6,6,5,0,31,5,72,26,46,14,5,166,14,30,30,73,6,0,157,18,18,9,60,7,0,110,73,18,14,90,8,0,206,272,22,6,218,8,0,526,674,8,6,209,17,3,918,408,0,0,103,0,0,510,172,0,0,15,0,0,187,55,0,0,13,0,0,70,20,0,0,0,0,0,19,6,0,0,0,0,0,6,18,0,0,12,0,0,30,39,18,11,72,22,6,159,1761,196,113,943,103,17,3132
SED24606,8,12,9,8,0,0,36,0,15,3,10,0,0,28,17,69,46,26,4,0,157,47,17,56,61,7,0,199,52,12,30,38,3,0,138,213,8,28,63,7,0,317,1011,10,7,135,6,0,1164,1914,7,0,197,18,3,2144,1129,4,0,150,9,0,1294,685,0,0,77,3,3,772,407,0,0,51,0,0,462,321,0,0,51,0,0,377,182,0,0,30,4,0,211,417,0,0,58,4,0,479,121,7,5,86,20,11,247,6532,171,181,1029,84,22,8024
SED24703,32,63,5,24,5,0,130,10,193,8,15,0,0,230,82,740,38,100,20,12,992,340,294,120,206,35,3,1003,501,149,74,198,27,0,959,1529,168,74,347,48,6,2171,6574,159,54,637,87,10,7527,10860,88,54,864,110,13,11995,5502,25,22,604,40,7,6190,2336,12,0,302,18,4,2674,1274,9,0,173,19,0,1477,714,4,5,117,3,0,847,370,0,0,74,3,0,445,715,0,0,121,11,0,854,446,144,24,330,49,41,1034,31296,2046,475,4106,494,97,38516
SED24808,7,23,3,7,4,0,46,4,30,0,4,5,0,41,26,171,9,35,4,5,245,33,102,52,68,16,7,277,44,42,21,86,3,0,192,429,52,32,166,14,3,689,2981,45,34,471,71,17,3609,2582,12,19,289,63,14,2979,156,0,0,42,8,6,210,39,0,0,14,0,0,56,14,0,0,3,6,0,26,10,0,0,0,3,0,13,4,0,0,0,0,0,9,17,0,0,13,0,0,27,139,32,18,98,24,19,326,6493,504,181,1288,215,62,8747
SED24904,4,37,13,40,52,9,156,8,57,17,28,30,4,138,70,283,50,179,122,13,722,263,185,51,269,73,15,858,334,74,15,252,38,6,713,723,75,32,304,66,6,1204,1237,35,28,316,60,11,1691,758,7,11,180,35,4,999,126,3,0,49,11,0,199,19,0,3,14,5,0,42,8,0,0,13,4,0,21,4,0,0,5,8,0,21,0,0,0,3,0,0,7,0,0,0,10,5,0,24,69,50,10,106,89,43,359,3628,810,221,1779,601,111,7154
SED25003,6,10,0,3,0,0,19,4,9,0,8,0,0,14,4,53,0,22,3,0,91,9,46,6,26,7,0,93,10,19,4,16,0,0,54,23,14,7,57,20,0,123,897,20,12,193,33,7,1164,2728,33,4,201,47,13,3026,405,8,0,39,7,0,456,50,0,0,3,0,0,60,17,0,0,4,0,0,20,4,0,0,0,0,0,9,8,0,0,0,0,0,8,36,0,0,3,3,0,41,98,17,4,63,9,8,204,4310,225,49,634,137,32,5380
SED25102,3,4,0,13,0,0,19,0,5,3,4,0,0,16,4,43,8,32,4,0,87,12,13,6,36,6,0,73,12,6,0,56,3,0,80,47,6,4,64,9,0,125,169,9,3,148,12,0,349,562,5,0,175,6,5,748,300,0,0,70,5,0,382,100,0,0,10,0,0,115,27,0,0,5,0,0,35,13,0,0,0,0,0,13,3,0,0,0,0,0,5,6,0,0,9,0,0,15,29,6,0,34,14,4,85,1293,93,32,648,60,10,2139
SED25205,7,18,3,7,0,0,27,0,25,3,4,0,0,41,5,176,17,28,6,4,240,29,63,30,43,8,0,170,21,35,17,57,0,0,125,139,23,8,66,3,0,243,629,22,7,148,3,3,814,1433,17,3,172,4,4,1633,1023,5,0,116,0,0,1150,483,3,0,36,0,0,525,273,0,0,17,0,0,292,108,0,0,13,0,0,121,35,0,0,3,0,0,43,56,0,0,9,0,0,70,79,43,10,56,14,8,202,4336,424,91,772,48,20,5700
SED25302,5,15,3,8,0,0,26,0,16,0,5,3,0,28,11,157,4,16,7,5,196,4,39,0,27,3,5,90,10,25,0,30,5,0,74,36,15,0,52,21,0,123,223,19,0,101,12,0,357,699,16,0,177,10,0,896,688,3,0,105,0,0,802,354,0,0,39,3,3,406,181,0,0,19,0,0,206,87,0,0,11,0,0,102,65,0,0,0,0,0,71,94,0,0,10,0,0,113,54,21,6,50,16,3,155,2523,331,19,653,82,19,3627
SED25402,11,57,7,18,7,3,107,7,65,18,13,6,0,111,123,347,29,95,12,8,612,465,165,47,197,23,3,901,535,88,19,233,19,8,901,912,75,33,271,24,5,1323,1027,17,23,191,24,4,1283,591,6,6,100,5,5,710,139,3,5,22,6,0,170,7,0,0,0,0,0,12,5,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,4,0,0,8,6,0,0,0,0,0,12,59,64,12,72,23,12,240,3899,885,194,1213,154,56,6403
SED25501,0,3,0,5,0,0,10,0,7,0,5,0,0,13,14,56,6,33,6,0,114,16,24,9,55,5,0,111,15,12,10,41,3,0,79,16,13,4,52,0,0,86,114,7,5,91,8,0,216,1378,5,3,197,15,0,1601,1527,5,3,194,23,6,1750,901,0,0,96,11,0,1009,399,0,0,37,0,0,441,169,0,0,15,0,0,189,57,0,0,10,0,0,69,86,0,0,15,0,3,107,71,13,8,99,24,12,222,4750,142,44,949,104,23,6010
SED25605,3,16,0,4,0,0,27,9,21,0,4,4,0,42,14,133,3,47,7,0,207,29,54,7,54,49,0,191,64,27,3,34,21,0,147,239,32,0,72,23,0,365,745,30,8,166,33,0,980,1585,31,6,236,47,3,1905,836,5,0,98,15,0,950,288,0,0,27,5,0,312,100,0,0,8,3,0,109,24,0,0,10,3,0,34,11,0,0,5,0,0,16,37,0,0,8,0,0,43,120,31,9,90,21,13,284,4093,379,41,848,218,20,5607
SED25704,7,26,5,37,22,0,98,11,76,22,20,22,0,149,101,312,29,164,69,10,683,400,161,32,282,73,12,952,317,73,15,264,48,8,714,641,62,4,268,47,8,1032,651,30,16,224,37,7,962,458,12,3,119,17,0,613,116,4,0,29,3,0,152,7,0,0,7,0,0,12,7,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,9,0,3,12,61,53,10,125,67,17,342,2765,805,140,1555,416,58,5728
SED25802,6,33,4,19,6,0,66,7,33,4,12,4,0,60,61,258,21,84,36,9,470,242,101,26,165,27,6,558,203,42,15,169,31,4,464,461,54,14,206,24,7,768,1063,25,7,287,18,4,1406,1221,7,5,187,20,5,1447,181,6,0,37,5,0,226,38,0,0,10,0,0,48,11,0,0,5,0,0,14,0,0,0,4,0,0,8,0,0,0,0,0,0,0,8,0,0,5,0,0,19,76,49,7,85,33,16,262,3576,597,94,1283,205,48,5809
SED25905,0,13,0,3,0,0,20,0,20,0,0,0,0,24,14,122,5,28,0,0,172,6,71,6,24,6,0,118,7,34,4,39,16,0,96,41,22,0,65,54,0,186,793,35,3,226,37,3,1095,2178,49,6,234,52,3,2521,299,0,0,48,11,3,363,47,0,0,0,0,0,51,19,0,0,5,0,0,20,7,6,0,0,0,0,11,8,0,0,0,0,0,8,24,0,0,8,3,0,33,82,38,0,83,21,10,236,3522,404,25,776,202,26,4967
SED26005,3,14,0,0,0,0,25,0,5,0,4,3,0,17,5,75,0,19,11,0,116,10,42,4,23,5,0,90,13,16,3,30,4,0,70,19,28,3,59,0,0,120,690,31,4,205,27,4,960,2749,21,6,321,67,9,3171,783,0,0,82,15,0,884,111,0,0,19,6,0,140,23,0,0,5,0,0,25,17,0,0,0,0,0,22,4,0,0,0,0,0,8,42,0,0,3,0,0,51,115,15,0,64,18,20,231,4596,253,36,839,155,30,5909
SED26102,12,3,0,19,8,0,37,4,10,0,5,0,0,18,9,94,3,49,15,5,167,31,33,8,59,23,0,154,29,12,10,67,14,0,125,164,15,4,139,12,3,333,894,11,8,270,35,9,1234,1612,8,4,250,13,9,1890,649,0,0,122,3,8,784,260,0,0,39,4,0,306,151,0,0,20,0,0,169,38,0,0,11,0,0,49,28,0,0,10,0,0,32,57,0,0,11,4,6,74,58,19,5,82,26,14,207,3993,202,37,1149,161,46,5592
SED26207,6,0,0,5,0,0,16,0,8,0,9,0,0,14,6,57,9,21,0,0,94,17,24,8,32,0,0,75,12,17,0,24,4,0,62,49,10,4,47,7,0,117,448,8,3,144,13,0,613,1596,17,0,218,13,3,1846,908,4,0,97,5,0,1014,344,0,0,24,0,0,368,137,3,0,10,0,0,154,56,0,0,7,0,0,61,31,0,0,0,0,0,34,38,0,0,10,0,0,52,81,20,0,65,20,9,194,3735,155,30,709,65,21,4708
SED26303,5,43,3,6,6,0,65,0,54,17,3,0,0,84,16,360,33,38,3,3,453,54,88,48,61,9,0,259,87,47,16,49,5,0,209,446,43,19,93,8,5,611,1516,29,15,209,11,7,1787,2095,28,16,292,10,0,2443,1576,10,6,216,8,6,1816,1189,5,0,137,7,0,1336,656,3,0,87,0,0,747,312,0,0,36,0,0,350,166,0,0,15,0,0,178,182,0,0,26,5,0,205,111,70,14,78,16,18,310,8423,776,192,1350,83,34,10858
SED26406,12,25,6,16,4,0,59,0,18,6,5,0,0,35,43,191,25,57,10,3,333,77,54,20,110,16,3,278,79,24,22,69,14,0,204,502,25,21,117,18,0,683,1499,13,15,225,21,3,1777,3160,15,8,330,21,5,3538,1967,5,3,208,21,0,2203,859,0,0,74,3,0,943,367,0,0,30,4,0,397,162,0,0,26,0,0,188,65,0,0,6,4,0,70,86,0,0,25,3,0,117,138,25,9,106,18,22,317,9019,401,135,1399,153,42,11151
SED26504,0,37,3,12,11,4,63,4,26,9,4,4,0,44,47,261,24,96,32,6,468,209,139,47,179,38,0,612,237,53,10,196,25,0,526,621,55,15,256,25,3,974,805,16,10,253,35,0,1112,702,3,0,153,17,0,881,127,0,0,34,4,0,168,16,0,0,5,0,0,19,3,0,0,3,0,0,9,5,0,0,0,0,0,5,0,0,0,0,0,0,4,11,0,0,14,4,0,25,55,51,12,72,22,17,234,2851,633,127,1282,213,35,5145
SED26603,9,29,3,7,0,0,40,5,29,7,3,0,0,45,18,230,13,52,6,3,318,62,85,15,69,3,0,239,58,27,14,69,0,0,165,140,48,12,101,25,0,331,1217,25,7,284,44,9,1572,3711,23,6,374,51,3,4170,1640,7,0,173,10,5,1837,537,0,0,53,0,5,599,169,0,0,21,0,0,191,61,0,0,12,0,0,70,26,8,0,3,0,0,31,64,0,0,6,4,0,74,139,56,11,98,26,19,343,7855,556,75,1309,181,38,10017
SED26708,5,14,6,27,33,0,77,6,21,0,22,10,4,56,41,160,28,146,72,10,446,87,53,25,172,44,5,388,134,27,10,216,42,0,433,389,47,15,237,48,6,743,584,6,8,223,28,0,849,480,7,5,147,16,0,660,147,3,0,45,0,0,197,57,0,0,16,0,0,66,7,0,0,9,0,0,16,0,0,0,3,0,0,7,6,0,0,5,0,0,8,0,0,0,10,5,0,15,32,37,4,107,102,12,291,1981,373,96,1379,389,43,4258
SED26806,17,51,0,13,0,0,77,3,92,5,11,0,0,119,23,524,27,64,0,8,648,73,165,53,70,9,0,375,145,69,26,77,4,0,319,674,101,32,180,10,0,996,2961,57,23,374,15,3,3435,5261,35,7,508,27,8,5845,3550,17,3,405,13,0,3990,1839,0,0,206,3,0,2054,1027,0,0,132,0,0,1158,574,0,0,63,4,0,647,327,0,0,50,0,0,374,606,0,0,84,0,0,690,227,103,12,113,22,30,510,17307,1210,193,2355,118,60,21248
SED26903,12,67,6,12,4,4,99,0,73,3,12,3,0,95,15,540,27,47,17,0,650,56,180,32,91,15,4,374,81,82,22,68,11,0,273,271,87,16,106,25,3,504,1764,75,17,301,41,3,2207,3495,86,3,384,45,6,4019,1297,11,13,143,8,5,1477,402,0,0,55,0,0,467,115,0,4,17,0,0,135,46,4,0,8,0,0,51,15,3,0,0,0,0,20,54,0,0,18,3,0,79,137,99,7,96,22,28,394,7767,1313,152,1359,190,58,10840
SED27003,11,94,13,9,0,0,128,3,263,9,14,0,5,283,28,959,85,58,10,8,1155,52,495,105,74,11,3,742,34,223,68,74,13,0,410,263,206,47,111,7,3,636,1293,166,22,266,8,0,1756,3230,125,14,398,7,0,3780,2770,41,0,400,12,0,3221,2223,10,0,306,7,0,2545,1339,8,0,201,3,0,1552,848,0,0,138,3,0,998,434,4,5,54,0,0,490,587,0,0,92,5,3,687,183,154,23,106,13,32,507,13292,2734,404,2288,106,58,18884
SED27101,7,21,3,7,0,0,39,5,20,6,3,0,0,35,16,191,21,40,4,4,269,37,71,71,58,5,6,243,13,28,17,55,0,0,111,85,26,19,78,3,0,213,939,24,14,230,19,0,1236,2862,19,10,292,32,7,3222,1234,3,5,114,11,0,1367,402,0,0,28,4,0,432,95,0,0,10,0,0,108,27,0,0,6,0,0,34,11,0,0,0,0,0,19,36,0,0,11,0,0,48,93,47,8,70,11,18,247,5866,446,168,1002,89,37,7610
SED27208,0,33,9,32,17,0,84,5,35,9,37,10,0,99,68,225,39,180,58,7,580,267,97,38,268,39,7,719,248,32,10,257,30,0,584,637,36,12,259,27,4,974,585,11,6,212,25,9,844,519,6,0,86,18,5,630,68,0,0,16,10,0,99,24,0,0,0,0,0,25,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,8,4,0,23,40,44,9,104,48,20,262,2473,522,131,1473,285,41,4927
SED27305,0,5,4,6,0,0,17,0,5,3,0,0,0,15,3,40,0,15,0,0,66,3,31,9,27,0,0,70,4,6,3,21,0,0,32,12,13,4,15,0,0,49,94,17,5,72,3,0,184,982,29,0,148,4,0,1161,817,5,0,67,7,0,891,200,0,0,16,0,0,211,31,0,0,3,0,0,38,9,0,0,6,0,0,18,8,0,0,0,0,0,10,21,0,0,4,0,0,21,45,5,0,21,4,9,89,2228,166,26,421,25,13,2874
SED27406,9,23,3,6,0,0,39,6,14,0,8,0,0,25,9,142,12,25,3,0,192,7,61,19,41,10,0,123,13,30,8,36,0,0,91,109,20,19,59,6,0,210,549,16,4,135,5,0,713,1506,12,4,202,11,0,1736,988,5,0,137,7,0,1141,537,4,0,60,6,0,596,351,0,0,42,0,0,389,252,0,0,39,0,0,294,205,0,0,12,0,0,219,306,0,0,35,5,0,344,84,21,4,62,15,13,203,4926,339,79,886,55,23,6312
SED27504,11,36,0,16,3,0,66,7,43,0,20,4,0,70,75,292,30,150,57,8,607,355,180,63,203,51,12,874,375,125,32,230,48,3,824,997,83,33,328,74,4,1521,1289,42,40,320,69,17,1781,807,12,4,169,46,12,1048,168,0,0,40,15,0,226,12,0,0,3,7,0,29,7,0,0,6,0,0,19,6,0,0,7,5,0,8,5,0,0,4,0,0,3,5,0,0,4,0,0,14,82,62,8,86,53,34,324,4201,889,219,1591,435,88,7422
SED27608,8,18,3,13,5,0,32,3,18,5,4,3,0,34,35,92,10,60,5,3,209,63,39,51,98,8,4,262,46,22,4,70,16,0,159,116,24,23,99,7,0,273,577,18,19,240,7,0,866,2469,15,26,345,23,0,2879,1467,6,4,161,12,0,1651,512,0,0,64,3,0,584,156,0,0,24,0,0,183,54,0,0,10,0,0,70,23,0,0,0,0,0,20,30,0,0,6,0,0,34,84,20,0,76,27,14,222,5640,271,150,1268,132,29,7480
SED27708,3,50,6,23,18,0,100,9,44,6,17,9,0,83,66,328,35,122,21,7,574,176,155,33,193,32,12,606,258,86,5,188,30,0,574,578,83,21,230,23,0,936,972,31,19,316,23,10,1371,976,4,15,179,24,0,1209,220,0,3,54,3,0,283,40,0,5,9,6,0,58,7,0,0,5,0,0,15,0,0,0,5,4,0,5,0,0,0,0,0,0,6,0,0,0,3,0,0,10,57,64,11,78,61,15,280,3371,848,159,1421,256,43,6098
SED27807,10,42,4,10,4,0,67,10,33,7,18,5,0,61,37,211,14,77,25,0,359,53,110,39,145,36,0,379,121,49,14,87,29,7,300,418,56,33,203,63,8,780,1684,44,18,689,183,21,2646,2123,40,8,398,110,7,2683,277,0,4,71,15,0,371,39,0,0,21,3,0,74,17,0,0,9,0,0,31,21,0,0,0,0,0,23,6,0,0,0,0,0,11,40,0,0,16,11,0,71,130,56,14,164,53,37,454,4993,643,148,1903,526,85,8303
SED27907,11,4,4,4,0,0,27,0,8,0,3,0,0,14,14,80,9,26,0,0,124,18,36,23,48,0,0,122,17,12,0,53,0,0,82,117,23,4,82,3,0,226,878,12,4,269,14,0,1188,2170,25,10,240,27,6,2472,521,0,0,50,6,0,589,81,0,0,16,0,0,90,26,0,0,4,0,0,29,10,0,0,3,0,0,16,12,0,0,0,0,0,12,35,0,0,3,0,0,37,75,18,5,61,11,11,175,3973,216,53,863,65,21,5198
SED28007,9,0,4,7,0,0,17,3,3,0,3,3,0,15,4,4,7,17,4,0,31,10,31,61,25,0,0,123,6,9,3,24,4,0,42,24,6,7,63,0,0,101,469,5,5,182,19,4,685,1843,9,0,278,45,3,2181,561,0,0,48,9,5,623,67,0,0,13,0,0,81,14,0,0,4,0,0,15,10,0,0,3,0,0,15,4,0,0,0,0,0,4,18,0,0,7,0,0,27,81,11,7,71,21,12,200,3122,78,83,735,107,27,4152
SED28107,7,3,0,11,0,0,19,8,4,3,8,0,0,24,46,33,7,52,11,6,156,46,45,15,53,18,0,170,19,12,7,36,9,0,77,82,15,31,103,21,0,245,1729,17,17,378,48,4,2196,6330,10,7,471,104,14,6937,793,5,8,74,23,0,899,105,3,0,25,5,0,135,41,0,0,5,5,0,45,30,0,0,4,0,0,38,14,0,0,0,0,0,23,99,0,0,9,3,0,114,235,11,13,102,20,39,416,9578,152,107,1327,271,64,11497
SED28203,8,12,5,13,0,0,32,3,4,0,3,3,0,25,20,51,7,32,6,6,117,24,46,8,51,4,0,135,22,37,11,37,10,0,119,92,31,26,76,19,4,249,1501,26,14,342,73,10,1968,3117,18,7,342,102,9,3599,493,0,0,51,22,0,575,49,0,0,11,6,0,69,13,0,0,10,0,0,29,18,4,0,0,0,0,20,11,0,0,0,0,0,14,53,0,0,7,7,0,65,144,21,9,112,26,21,331,5573,261,88,1097,282,50,7344
SED28301,4,7,0,4,0,0,12,0,6,3,0,0,0,12,3,56,9,12,0,0,75,11,9,3,26,4,0,56,5,12,4,24,3,0,41,10,0,0,34,5,0,54,98,7,3,74,3,0,183,846,4,0,139,12,4,1009,834,0,0,91,3,3,935,470,0,0,42,4,0,519,253,0,0,20,0,0,270,99,0,0,11,0,0,115,36,0,0,0,0,0,41,64,0,0,11,0,0,79,56,13,0,71,9,5,153,2795,109,21,560,42,12,3542
SED28408,8,48,0,9,0,0,68,5,49,0,7,6,0,67,61,343,49,62,10,6,526,365,138,41,118,6,7,669,291,92,26,117,9,3,545,995,95,32,241,9,4,1372,2132,35,15,294,11,3,2494,1746,7,4,149,13,0,1928,323,3,0,28,9,0,365,29,3,0,17,0,0,50,12,0,0,3,0,0,23,10,0,0,3,0,0,14,0,6,0,0,0,0,3,11,0,0,10,3,0,17,93,54,13,60,26,14,259,6087,859,185,1113,110,37,8395
SED28507,14,25,4,7,0,0,53,4,18,0,0,0,0,25,29,151,14,52,9,0,249,32,84,20,61,8,0,201,36,35,16,73,6,0,162,287,29,27,147,7,0,501,3481,52,22,481,51,13,4099,3419,27,3,236,44,9,3739,184,3,0,25,3,0,214,36,0,0,12,0,0,48,12,0,0,4,0,0,24,24,0,0,4,0,0,29,12,0,0,0,0,0,11,40,0,0,8,0,0,46,150,30,3,83,16,29,315,7755,462,101,1195,152,54,9723
SED28607,4,32,3,14,0,0,53,5,49,8,9,0,0,65,3,268,19,36,5,0,327,27,122,66,57,0,0,283,63,59,30,46,4,0,201,266,33,36,106,13,5,456,805,27,23,202,21,0,1079,1615,26,14,259,44,0,1964,1769,7,3,185,7,0,1976,1018,0,0,100,7,0,1128,552,4,0,55,0,0,612,207,0,0,15,0,0,227,79,0,0,9,0,0,90,100,0,0,16,4,0,119,85,62,10,92,17,16,290,6607,691,208,1197,121,28,8852
SED28704,5,5,0,0,0,0,12,3,4,0,0,0,0,18,9,38,4,16,3,0,80,15,19,8,36,0,0,79,16,8,5,35,3,0,76,62,15,16,53,23,0,160,762,6,12,214,17,0,1014,3453,9,6,268,30,6,3764,575,0,0,75,12,0,660,128,0,0,17,0,0,151,44,0,0,15,0,3,59,22,0,0,6,0,0,29,11,0,0,4,0,0,15,30,0,0,0,0,0,34,111,4,5,63,9,6,207,5233,115,61,806,105,22,6350
SED28803,6,4,0,6,4,0,26,5,3,0,6,4,0,24,21,35,0,21,4,0,82,13,24,10,38,15,0,101,8,26,9,41,3,0,89,33,23,19,64,21,0,157,995,23,27,289,76,7,1410,4606,26,7,509,177,19,5349,810,4,0,114,46,0,977,111,3,0,21,4,0,139,34,0,0,9,0,0,40,24,0,0,9,0,0,37,13,0,0,4,0,0,12,53,0,0,9,3,0,64,175,21,3,99,34,33,365,6902,187,75,1234,387,64,8859
SED29494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
