SED_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
SED22404,0,0,0,0,0,0,0,0,0,4,0,3,0,10,7,7,13,12,8,69,0,0,0,10,0,21,47,33,9,124,0,5,0,3,8,0,0,3,0,14,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,10,0,3,0,9,13,12,6,0,0,44,0,0,0,0,0,9,11,8,0,27,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,3,0,0,0,13,15,32,72,59,18,210,0,5,12,75,85,101,81,26,7,386,0,0,0,0,3,7,7,0,0,18,0,0,0,9,0,0,0,0,0,12,0,0,0,4,5,4,0,0,0,12,0,6,7,16,0,4,0,0,0,32,0,0,0,11,3,3,7,5,0,31,0,0,0,0,0,0,0,0,0,0,0,0,6,14,6,41,43,13,11,140
SED22501,0,0,0,9,3,3,3,0,0,13,0,3,3,32,25,21,15,11,8,119,0,0,0,13,24,61,169,77,26,370,0,3,3,0,6,4,0,0,0,13,0,0,5,12,7,0,3,6,0,30,0,0,0,3,4,6,4,6,0,24,0,7,8,39,12,21,38,7,0,138,0,0,0,0,5,14,28,15,4,54,0,0,0,3,0,14,10,3,0,28,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,3,0,8,16,9,20,26,6,93,6,19,27,99,64,68,32,15,0,332,0,0,0,4,13,19,17,8,0,69,0,0,0,8,9,0,0,0,0,15,0,0,0,0,3,3,0,0,0,12,0,0,3,21,7,0,12,0,0,41,0,0,0,11,8,5,6,3,0,33,0,0,0,0,0,0,0,0,0,0,0,3,7,26,30,39,44,28,0,179
SED22607,0,0,0,24,18,13,3,0,0,56,0,3,6,68,17,18,13,6,4,141,0,3,9,77,33,128,202,195,112,759,0,5,4,28,16,5,3,0,0,63,0,3,10,52,6,0,0,0,0,72,0,0,0,14,12,27,15,12,0,78,0,6,21,125,36,14,19,5,0,231,0,0,0,0,8,20,27,21,13,97,0,0,0,27,0,4,4,6,0,44,0,0,0,7,5,3,4,0,0,16,0,0,188,166,3,0,0,0,0,361,0,3,0,16,7,13,20,7,6,74,3,17,39,230,117,54,31,10,0,507,0,0,0,10,10,11,7,4,0,37,0,4,10,50,3,4,6,0,0,76,0,0,0,3,0,7,0,3,0,16,0,19,15,111,19,9,7,0,0,185,0,0,0,18,3,16,16,4,5,56,0,0,0,0,0,0,0,0,0,5,0,4,0,28,26,29,24,9,0,119
SED22704,0,0,0,3,3,0,0,0,0,4,0,5,3,28,10,14,20,9,4,97,0,0,0,5,7,26,50,53,14,158,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,8,0,0,0,8,4,3,6,0,0,23,0,6,3,11,11,15,0,0,0,44,0,0,0,0,10,7,25,15,3,54,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,4,17,0,0,0,0,0,28,0,0,0,5,12,18,58,34,8,136,0,14,14,54,66,75,85,28,5,341,0,0,0,3,0,3,9,5,0,20,4,0,0,15,0,0,0,0,0,20,0,0,0,6,8,5,0,0,0,21,0,18,17,45,13,3,0,0,0,96,0,0,0,4,0,3,7,5,4,18,0,0,0,3,5,0,0,0,0,4,0,0,0,5,8,29,32,19,7,116
SED22802,0,0,0,0,0,0,3,0,0,5,0,8,0,20,7,9,16,12,0,74,0,0,0,8,8,31,88,85,43,264,0,0,3,0,0,0,0,0,0,7,0,0,4,8,8,0,0,0,0,18,0,0,0,6,3,4,4,7,0,24,4,17,9,21,5,9,7,5,0,76,0,0,0,0,0,8,8,3,0,20,0,0,0,10,0,7,4,0,0,18,0,8,59,131,35,14,8,0,0,258,0,0,5,10,3,0,0,0,0,20,0,4,3,8,16,25,74,69,18,229,0,15,23,96,81,54,36,11,4,322,0,0,0,6,5,6,4,0,0,16,0,0,0,17,0,0,0,0,0,21,0,0,0,0,6,3,0,0,0,21,0,3,16,38,23,17,5,0,0,102,0,0,0,6,7,17,13,4,0,50,0,0,0,0,0,0,0,0,0,6,0,0,3,12,21,43,49,30,10,168
SED22901,0,0,0,10,3,3,3,0,0,21,0,0,0,17,11,7,13,14,7,74,0,0,0,10,14,26,73,35,16,181,0,0,10,0,4,0,0,0,0,21,0,5,22,59,48,15,3,0,0,155,0,0,0,3,9,3,8,4,0,29,0,47,95,299,139,148,137,54,5,926,0,0,0,0,0,3,11,4,0,25,0,0,0,6,0,10,7,3,0,33,0,0,13,17,11,0,0,0,0,40,0,5,7,17,6,4,0,0,0,37,0,0,3,6,0,10,53,39,23,136,3,29,59,91,64,56,37,19,3,365,0,0,0,0,4,0,7,3,0,11,0,0,12,48,5,7,3,0,0,81,0,0,0,0,5,5,0,0,0,9,0,11,25,73,49,18,25,6,0,209,0,0,0,17,3,13,20,0,5,54,0,0,0,0,3,0,0,0,0,3,0,0,3,15,13,20,36,20,7,117
SED23007,0,0,3,31,10,9,3,0,0,55,0,7,4,55,20,10,7,5,0,101,0,0,6,58,15,55,73,124,74,409,6,5,5,32,6,3,0,0,0,49,3,3,3,59,12,3,4,0,0,88,0,0,0,16,12,15,11,0,0,62,5,33,40,303,57,30,28,8,0,509,0,0,0,10,5,33,136,96,37,317,0,0,4,43,4,12,6,0,0,74,0,15,47,164,22,13,7,0,0,267,0,6,133,245,6,3,0,0,0,395,0,0,4,16,7,12,8,8,4,50,4,25,67,403,117,53,27,10,0,705,0,0,3,35,27,54,105,48,13,275,4,13,49,296,23,7,0,0,0,391,0,0,4,8,10,0,0,0,0,29,3,37,47,346,89,77,64,17,5,680,0,0,3,34,23,24,30,14,4,133,0,0,5,14,14,5,7,0,0,45,0,0,4,32,15,24,18,10,6,102
SED23101,0,4,0,3,3,0,3,0,0,16,0,0,3,11,3,10,7,11,0,48,0,3,7,12,8,28,80,78,53,273,4,6,8,11,13,3,9,0,0,43,0,9,24,72,46,25,10,7,0,193,0,0,0,5,11,15,0,0,3,33,4,35,122,351,187,158,150,70,16,1090,0,0,0,0,0,8,4,7,5,27,0,0,7,25,5,3,12,6,0,57,0,0,0,11,0,6,0,4,4,22,0,0,3,35,8,0,0,0,0,45,0,0,0,3,8,3,12,16,17,66,9,28,41,81,57,59,28,22,5,331,0,0,0,0,3,0,3,7,0,7,0,16,22,98,10,10,4,0,0,160,0,0,0,5,4,0,0,0,0,10,0,18,11,76,29,23,13,5,0,178,0,0,0,6,9,10,26,6,8,64,0,0,0,0,0,0,0,0,0,0,0,0,4,8,11,12,19,28,11,93
SED23205,0,0,0,5,4,0,0,0,0,10,0,14,0,33,21,13,22,15,3,123,0,0,0,15,12,26,30,42,13,152,0,3,5,0,6,0,0,0,0,17,0,0,8,15,3,0,0,0,0,24,0,0,0,6,6,7,3,3,0,33,0,3,4,26,19,9,8,3,0,78,0,0,0,0,0,0,7,9,6,26,0,0,3,14,7,6,14,0,0,50,0,0,0,8,0,0,0,0,0,4,0,4,0,24,0,0,0,0,0,28,0,0,4,0,7,11,47,36,17,120,0,38,67,239,139,101,78,20,7,691,0,0,0,6,5,0,0,0,0,15,0,0,0,14,3,4,0,0,0,22,0,0,3,8,3,4,0,0,0,22,5,14,21,55,12,12,3,0,0,120,0,0,0,12,14,24,24,10,0,90,0,0,0,9,4,0,0,0,0,17,0,3,15,28,39,62,46,59,12,270
SED23308,0,6,3,9,7,0,0,0,0,23,0,8,6,41,15,18,6,6,5,105,0,0,3,24,6,24,65,73,46,241,0,0,0,10,4,0,0,0,0,14,0,0,4,24,3,0,0,0,0,35,0,0,0,3,0,3,0,3,0,15,0,5,21,50,14,4,0,3,0,105,0,0,0,0,0,4,10,3,0,24,0,0,4,6,4,0,0,0,0,14,0,0,0,9,0,0,0,0,0,14,0,0,8,74,3,0,0,0,0,84,0,0,0,4,3,12,43,43,14,136,0,9,27,120,73,59,28,9,0,327,0,0,0,4,0,12,5,7,0,37,4,8,12,99,9,0,0,0,0,130,0,0,0,0,7,0,0,0,0,18,3,10,19,79,20,0,6,0,0,136,0,0,0,3,6,0,12,0,0,22,0,0,0,0,0,0,0,0,0,6,0,0,0,21,25,35,44,20,10,157
SED23402,0,0,5,8,5,6,0,0,0,26,0,5,0,30,18,22,13,8,3,105,0,5,3,19,15,41,59,51,18,207,0,0,4,6,5,0,0,0,0,14,0,0,4,23,10,0,0,0,0,44,0,0,0,14,6,4,3,0,0,26,0,26,17,37,25,11,12,0,0,125,0,0,0,0,4,7,14,7,5,42,0,0,8,57,21,45,21,6,3,161,0,0,5,34,8,0,0,0,0,53,0,0,0,28,4,0,0,0,0,28,0,0,9,11,5,22,94,60,17,219,6,74,72,215,129,110,54,26,9,685,0,0,0,7,3,3,3,0,0,23,3,33,16,133,20,17,7,0,0,228,0,0,0,6,5,8,0,0,0,21,3,20,50,122,73,20,9,0,0,299,0,0,0,12,22,12,14,0,0,67,0,4,7,12,7,0,3,0,0,39,0,10,9,37,42,68,66,44,13,278
SED23502,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,9,12,14,0,43,0,0,0,4,0,16,27,30,15,94,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,29,8,0,4,0,0,49,0,0,0,0,3,3,22,11,0,35,0,0,0,0,0,0,10,0,0,17,0,0,0,5,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,10,0,0,5,4,5,24,100,62,16,205,0,9,10,61,53,66,80,33,0,322,0,0,0,0,0,0,0,0,0,0,0,4,3,9,0,0,0,0,0,16,0,0,3,0,5,0,0,0,0,8,5,13,15,61,22,0,6,0,0,119,0,0,0,4,0,0,10,5,0,23,0,0,0,0,0,0,0,0,0,0,0,0,3,17,4,27,47,34,3,140
SED23602,0,3,0,8,0,0,0,0,0,16,0,9,0,11,10,11,17,8,5,69,0,0,5,7,3,15,60,41,15,144,0,0,0,0,0,0,0,0,0,5,0,0,0,13,0,0,0,0,0,10,0,0,0,0,6,4,0,0,0,7,0,0,9,36,7,8,7,4,0,64,0,0,0,0,0,8,11,3,0,24,0,0,0,3,4,0,3,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,10,0,0,3,11,15,28,87,69,17,224,5,17,13,92,61,81,71,28,7,371,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,17,0,0,0,0,3,6,0,0,0,15,0,6,16,35,10,8,0,0,0,79,0,0,0,4,0,7,5,6,0,22,0,0,0,4,0,0,0,0,0,4,0,3,0,15,13,20,34,28,8,116
SED23702,0,0,0,3,0,0,0,0,0,6,0,7,9,26,24,11,24,14,5,120,0,0,0,9,10,17,57,36,17,148,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,3,0,0,26,0,0,0,9,15,6,8,0,0,41,0,0,0,0,3,5,10,6,0,36,0,0,0,10,3,8,3,7,0,34,0,0,0,8,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,4,0,8,4,4,8,21,82,62,18,190,3,19,33,125,105,111,75,26,5,508,0,0,0,3,0,0,0,0,0,9,0,0,0,3,0,0,3,0,0,13,0,0,0,6,10,7,0,0,0,20,0,8,19,55,18,5,5,0,0,106,0,0,0,9,0,11,13,10,6,44,0,0,0,6,0,6,0,0,0,9,0,10,15,37,51,70,68,53,15,312
SED23806,0,4,0,16,0,0,0,0,0,17,0,5,3,37,16,19,12,6,0,87,0,4,0,33,11,22,55,36,39,205,4,9,0,13,5,3,6,0,0,41,0,10,9,54,8,5,3,0,0,90,0,0,0,0,0,6,0,0,0,16,0,7,51,169,77,75,77,28,8,498,0,0,0,0,0,4,9,0,0,12,0,0,4,17,3,0,3,0,0,32,0,0,4,4,0,4,0,0,0,13,0,0,28,45,0,0,0,0,0,73,0,0,3,15,10,12,15,8,4,70,0,18,57,221,76,73,52,18,8,521,0,0,0,0,0,0,6,0,0,16,0,3,13,50,0,3,4,0,0,81,0,0,3,5,3,0,0,0,0,15,0,0,8,47,6,3,4,0,0,76,0,0,0,8,6,0,15,10,3,46,0,0,0,0,0,0,0,0,0,0,0,0,6,24,21,18,29,18,9,132
SED23901,0,0,0,9,6,6,5,0,0,28,0,6,3,43,30,17,8,9,0,113,0,0,3,41,32,73,180,147,118,586,0,6,4,16,13,5,7,0,0,51,0,0,8,33,10,4,0,0,0,55,0,0,0,19,22,37,32,19,0,128,0,15,24,117,40,52,39,23,0,320,0,0,0,0,3,11,16,11,3,40,0,0,0,8,0,9,3,4,0,28,0,0,6,4,0,3,0,0,0,13,0,0,29,37,3,0,0,0,0,69,0,3,4,8,14,0,13,7,6,60,0,16,36,171,100,80,30,19,5,445,0,0,0,12,12,19,25,17,0,96,0,4,9,44,7,4,4,0,0,71,0,0,0,8,6,0,0,0,0,15,0,15,11,89,26,14,9,0,0,160,0,0,0,13,0,16,13,3,3,52,0,0,0,0,0,0,0,0,0,5,0,6,8,44,17,18,27,17,11,137
SED24006,0,0,0,3,3,3,0,0,0,16,3,3,6,35,11,10,14,3,3,88,0,3,0,23,17,46,100,91,58,350,0,4,11,12,5,7,0,6,0,44,0,10,22,33,26,15,5,0,0,110,0,0,0,4,7,7,7,7,0,38,0,30,88,180,174,140,146,69,14,837,0,0,0,0,0,0,0,0,0,10,0,0,0,6,0,8,4,0,4,24,0,0,0,3,0,3,0,0,0,7,0,0,10,14,0,0,3,0,0,30,0,3,6,9,8,3,13,12,3,54,4,28,49,127,72,68,35,25,8,416,0,0,5,4,4,6,12,0,0,33,0,8,13,33,6,13,8,0,0,78,0,0,0,0,11,9,3,0,0,26,0,7,14,29,16,4,3,0,0,78,0,0,0,7,0,12,4,10,3,43,0,0,0,0,0,0,0,0,0,0,0,0,3,13,8,18,21,12,4,71
SED24105,0,4,5,12,8,14,3,3,0,39,0,5,0,21,10,9,11,11,3,66,0,6,0,18,15,37,74,68,42,262,0,0,7,10,4,8,4,0,0,28,6,4,7,43,11,8,0,0,0,85,0,0,4,6,31,19,11,9,0,82,9,60,104,550,69,41,40,12,0,882,0,0,0,0,3,0,16,29,3,62,0,4,7,65,29,53,62,46,9,269,0,5,15,118,45,18,4,3,4,215,0,0,5,38,0,0,0,0,0,52,0,0,0,3,0,5,11,19,0,48,0,66,114,194,66,38,30,15,3,526,0,0,0,7,10,9,12,0,0,49,0,21,48,126,28,10,5,3,0,247,0,0,0,0,4,0,0,0,0,0,5,24,60,216,92,58,24,6,0,490,0,0,0,6,13,17,38,10,5,99,0,5,3,18,14,7,3,0,0,53,0,0,4,12,12,19,22,22,6,90
SED24207,4,121,102,232,92,46,34,10,0,634,0,4,3,20,5,5,4,3,0,50,0,0,3,36,25,63,113,87,26,349,0,0,4,4,5,0,0,0,0,15,0,0,4,27,7,0,4,0,0,48,0,3,5,40,28,22,14,5,5,126,3,76,26,128,38,21,17,4,0,318,0,0,6,28,33,123,337,198,24,755,0,0,4,34,12,9,8,3,0,74,0,21,95,268,75,26,6,0,0,489,0,0,11,95,12,4,3,0,0,122,0,0,0,3,3,7,11,9,5,39,23,155,240,354,93,79,21,4,0,961,0,0,14,132,105,132,201,69,12,659,7,76,64,548,63,23,17,5,0,811,0,0,0,3,0,0,0,0,0,7,0,70,260,764,484,348,197,44,7,2167,0,0,0,34,27,42,42,14,4,167,0,12,25,68,50,37,17,0,0,211,0,0,0,10,15,11,9,11,3,67
SED24308,0,12,15,31,12,12,4,0,0,80,0,5,0,27,13,16,11,5,10,89,0,0,5,14,12,49,71,56,50,257,0,0,0,6,0,0,0,0,0,7,0,0,4,8,0,0,0,0,0,14,0,0,4,8,9,9,4,0,0,36,0,6,6,29,13,6,0,0,0,62,0,0,0,0,0,14,26,20,5,66,0,3,4,12,6,3,0,0,0,24,0,0,32,127,39,21,16,10,0,244,0,0,3,22,0,0,0,0,0,30,0,3,0,0,3,20,84,57,22,190,4,15,31,142,67,53,29,21,0,363,0,0,0,17,30,59,96,39,17,251,7,42,51,145,14,0,6,0,0,260,0,0,0,4,3,0,0,0,0,10,3,23,48,139,75,37,17,3,0,346,0,0,4,8,12,18,29,9,7,82,0,4,0,9,0,4,0,0,0,19,0,0,7,17,17,45,57,39,10,199
SED24408,0,0,0,0,0,0,0,0,0,0,0,3,3,11,0,0,3,4,4,29,0,0,0,7,3,4,13,13,5,43,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,20,0,0,0,0,0,4,3,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,6,39,22,7,3,3,0,87,0,3,4,33,0,0,0,0,0,40,0,0,0,11,4,8,33,19,5,77,4,10,22,66,47,61,43,8,5,260,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,14,0,0,0,0,9,5,0,0,0,11,0,11,17,37,13,5,0,0,0,81,0,0,0,3,0,0,4,7,0,12,0,0,0,5,0,0,0,0,0,9,0,0,0,3,3,19,17,11,3,63
SED24504,0,0,0,4,0,4,0,0,0,9,0,0,3,33,20,14,3,8,4,87,0,3,0,14,9,34,56,38,6,165,0,0,0,3,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,8,0,0,0,3,0,0,3,0,0,14,0,0,5,16,8,10,11,0,0,45,0,0,0,0,6,17,64,22,0,113,0,0,0,3,4,3,0,3,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,24,0,0,0,0,0,25,0,0,0,16,10,13,29,35,8,119,0,13,18,103,121,106,55,25,3,452,0,0,0,0,0,8,9,0,5,21,0,0,0,6,0,0,0,0,0,12,0,0,0,3,6,7,0,0,0,12,0,8,10,21,9,0,0,0,0,55,0,0,0,9,8,4,12,3,0,39,0,0,0,0,0,0,0,0,0,0,0,0,3,31,39,40,36,32,7,189
SED24606,0,0,0,6,7,0,0,0,0,16,0,0,0,46,13,16,21,11,4,109,0,0,5,23,16,19,51,45,19,180,0,4,5,27,9,0,9,0,0,63,0,4,8,40,14,6,0,0,0,67,0,0,0,4,4,6,5,0,0,24,0,10,34,123,35,43,36,19,5,309,0,0,0,0,0,5,4,7,0,17,0,0,0,17,7,3,9,0,0,42,0,0,3,0,7,6,0,0,0,12,0,3,45,54,0,0,0,0,0,96,0,0,3,15,12,3,12,8,3,58,4,10,28,154,83,76,42,32,4,431,0,0,0,0,0,9,0,0,0,8,0,0,3,27,0,3,0,0,0,42,0,0,0,0,6,0,0,0,3,9,0,3,6,99,18,3,0,0,0,137,0,0,0,14,8,14,27,22,19,94,0,0,0,0,0,0,0,0,0,0,0,0,8,27,19,23,15,21,3,111
SED24703,0,0,3,40,0,4,3,0,0,54,0,9,15,121,32,18,19,3,3,211,0,6,34,268,29,53,72,55,55,566,3,7,63,127,24,9,3,0,0,238,9,13,101,681,41,11,0,0,0,862,0,0,4,30,18,9,12,3,0,74,5,20,708,1471,144,64,57,17,0,2496,0,0,0,0,0,11,17,7,0,41,0,4,24,69,3,0,4,3,0,109,0,0,94,71,6,4,0,0,0,170,0,0,237,181,5,0,0,0,0,427,0,7,16,46,12,15,21,7,3,119,8,24,230,742,148,107,51,16,3,1326,0,0,6,18,7,6,5,0,0,37,0,3,43,152,8,3,0,0,0,208,0,0,4,10,11,4,0,0,0,24,3,17,126,564,55,25,9,0,0,803,0,0,5,44,8,15,3,8,0,78,0,0,0,3,0,0,0,0,0,6,0,0,11,67,34,38,25,11,3,188
SED24808,0,15,16,34,15,4,5,0,0,77,0,0,0,17,10,20,15,15,0,81,0,0,0,14,16,59,70,43,4,211,0,0,3,4,3,0,3,0,0,13,0,0,5,13,3,3,3,0,0,34,0,0,0,19,20,11,10,5,0,67,0,41,11,45,11,17,8,3,0,143,0,6,20,33,31,71,187,97,14,454,0,3,0,36,6,6,4,0,0,63,3,18,50,183,52,18,3,0,0,315,0,4,18,49,0,0,0,0,0,68,0,0,0,6,9,11,46,27,6,115,26,206,200,384,173,127,60,20,9,1203,0,0,0,37,24,22,38,3,0,123,9,52,29,224,36,16,7,0,0,371,0,0,0,0,4,0,0,0,0,7,3,67,126,296,156,68,25,7,0,757,0,0,3,17,10,11,25,4,4,71,0,37,41,111,74,49,21,4,0,336,0,0,7,30,15,58,57,31,11,212
SED24904,0,0,0,8,9,4,0,0,0,30,0,0,0,3,0,5,0,0,3,18,0,0,0,19,3,23,98,84,54,284,0,0,0,0,0,0,0,0,0,4,0,0,0,18,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,5,26,126,632,123,32,7,0,0,953,0,0,0,0,0,0,0,0,0,10,0,0,0,7,3,0,5,0,0,10,0,0,4,14,0,0,0,0,0,18,0,0,3,40,5,0,0,0,0,44,0,0,0,12,3,8,16,10,3,59,6,22,22,63,54,39,35,10,6,250,0,0,0,0,0,5,0,0,0,9,0,6,8,14,3,4,0,0,0,36,0,0,0,0,0,0,0,0,0,7,5,14,22,96,13,8,0,0,0,158,0,0,0,0,0,5,5,0,0,11,0,3,13,58,8,6,5,0,0,88,0,0,0,7,8,14,17,16,4,62
SED25003,3,30,41,148,90,81,33,9,0,442,0,3,0,22,5,16,13,5,0,71,0,4,15,58,64,207,289,178,79,886,0,3,0,5,4,0,0,0,0,14,0,0,6,29,10,3,3,0,0,54,5,5,14,95,77,81,44,11,3,331,0,6,18,71,20,36,39,5,6,190,0,0,0,4,10,35,57,41,3,151,0,0,4,29,8,17,14,7,0,79,0,0,0,5,0,0,0,0,0,11,0,5,16,144,11,7,0,0,0,180,0,0,4,8,0,3,12,8,5,34,3,44,62,136,54,44,18,0,0,363,0,7,27,170,150,263,272,88,28,1001,0,28,28,153,28,22,0,3,0,264,0,0,0,0,0,0,0,0,0,9,0,24,61,151,64,65,49,7,3,432,0,0,0,11,7,6,20,6,3,46,0,0,4,18,15,19,5,4,0,74,0,0,0,13,4,24,20,11,0,67
SED25102,0,0,0,0,0,0,0,0,0,3,0,4,5,22,19,12,11,10,0,86,0,0,0,10,9,16,36,31,7,119,0,5,6,0,4,0,0,0,0,11,0,3,0,3,7,4,0,0,0,17,0,0,0,3,0,0,4,0,0,15,0,10,5,17,15,9,10,0,0,67,0,0,0,0,0,6,13,5,0,22,0,0,0,0,0,0,4,0,0,9,0,8,10,52,18,3,4,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,5,18,27,38,101,70,29,293,0,12,13,102,89,83,47,10,0,365,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,5,0,0,0,6,6,3,0,0,0,19,0,6,8,14,8,5,3,0,0,46,0,0,0,16,6,7,19,7,4,46,0,0,0,0,0,0,0,0,0,3,0,0,0,15,28,33,35,29,10,151
