SED_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
SED22404,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,3,9,23,16,10,20,13,0,5,7,3,0,0,0,106,0,4,4,0,3,3,28,24,6,9,4,9,0,3,13,121,0,6,22,0,3,0,0,0,0,0,0,0,0,0,0,38,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,12,0,4,0,0,6,0,0,3,0,0,0,0,0,0,0,27,47,130,71,31,40,29,23,13,5,0,0,4,0,0,14,416,0,14,29,12,0,0,0,5,0,0,0,0,0,0,7,63,0,0,0,6,6,0,4,6,0,3,0,10,4,0,0,36,9,6,14,18,9,8,26,28,7,3,9,10,9,0,4,153,0,4,0,8,8,0,4,3,0,0,0,0,5,0,0,41,0,0,0,0,5,0,4,0
SED22501,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,13,0,0,8,24,16,19,25,14,13,4,5,3,0,0,4,136,3,9,6,0,32,61,358,178,32,30,38,48,26,0,9,835,0,9,75,11,9,6,0,0,0,0,0,0,0,0,3,118,6,17,25,8,11,6,8,8,0,0,0,0,0,0,0,82,0,0,0,4,6,6,4,5,0,0,0,0,0,0,0,22,49,71,31,26,23,28,37,14,4,0,3,0,0,3,5,301,3,68,120,33,4,4,3,5,0,0,0,0,0,0,7,250,0,5,4,11,24,29,24,18,0,3,0,5,4,0,0,121,0,0,24,32,34,42,171,76,12,21,9,5,3,0,14,448,0,3,3,3,7,14,24,7,0,0,0,3,0,0,0,75,0,0,0,0,27,16,93,154
SED22607,0,0,0,0,5,4,4,3,0,0,0,0,5,0,0,21,0,0,0,3,6,8,14,10,5,4,12,4,0,0,5,67,0,0,11,19,14,22,35,46,3,5,10,4,4,4,0,179,0,9,7,18,141,149,272,201,48,33,31,29,17,3,40,1000,4,11,62,27,5,18,4,6,0,0,0,0,0,0,0,137,4,51,29,18,19,11,14,21,0,5,3,3,3,0,5,181,3,0,0,11,19,7,3,3,0,0,0,3,0,0,0,56,48,32,22,14,25,13,38,14,3,4,6,0,4,0,7,221,8,139,326,60,17,8,6,9,0,3,0,0,0,0,11,591,0,10,7,25,60,56,36,26,12,3,8,3,7,3,3,245,0,3,63,67,63,94,320,283,139,142,229,220,59,15,15,1710,0,4,0,13,11,37,38,27,7,3,5,16,5,0,5,167,0,0,0,6,13,11,35,78
SED22704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,6,12,9,10,10,9,0,0,4,0,4,0,3,62,0,0,0,0,3,3,63,17,18,9,25,105,7,0,6,258,0,10,19,8,5,0,0,0,0,0,0,0,0,0,5,41,4,3,4,0,0,0,0,0,0,0,0,0,0,0,4,23,0,0,0,3,6,5,8,7,0,0,0,0,0,0,0,33,59,109,52,23,25,13,16,9,0,7,0,4,8,0,9,337,0,23,30,8,5,3,0,0,0,0,0,0,0,0,3,75,0,0,0,4,0,3,7,3,0,0,0,0,0,0,0,19,4,9,9,6,0,16,108,75,20,34,30,35,14,0,14,358,0,7,4,0,0,5,7,6,6,7,3,0,0,0,0,46,0,0,0,0,4,0,4,4
SED22802,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,10,3,0,0,0,0,0,0,0,16,0,0,8,10,14,16,20,15,3,0,3,0,0,0,3,91,0,3,0,4,15,43,211,144,31,24,30,27,29,7,8,587,0,9,27,9,5,3,0,0,0,0,0,0,0,0,0,57,0,9,3,0,5,0,4,13,0,0,0,0,0,0,0,45,0,0,0,3,12,15,10,5,0,0,0,0,0,0,0,43,28,95,70,10,38,9,25,5,0,0,0,0,0,0,4,288,0,15,32,13,4,0,0,0,0,0,0,0,0,0,0,67,0,0,4,0,10,20,25,9,0,0,0,5,7,0,0,87,5,4,22,34,37,43,269,111,31,23,29,20,16,6,7,646,0,5,0,8,6,14,17,15,4,0,0,0,5,0,0,75,0,0,0,3,10,8,34,100
SED22901,0,0,0,0,6,36,20,0,0,0,0,0,0,0,6,62,0,0,0,0,4,11,16,0,4,4,0,0,0,0,0,44,0,4,0,6,11,7,13,7,0,0,3,0,0,0,0,61,3,9,9,34,224,333,1855,1037,180,171,175,250,52,9,40,4392,0,15,38,12,3,5,0,0,0,0,0,0,0,0,5,76,4,12,29,16,9,14,17,26,0,0,5,0,0,0,0,133,0,0,0,6,25,13,21,8,0,0,0,0,0,0,0,78,41,120,68,35,34,10,14,12,0,0,0,0,0,0,6,342,0,54,130,42,18,0,0,5,0,3,0,0,0,0,11,249,3,3,7,58,177,224,197,75,13,20,17,20,12,4,11,834,11,0,38,75,161,252,876,368,83,84,75,103,29,5,26,2173,0,9,3,17,29,111,111,33,14,3,3,4,8,0,8,350,0,0,0,3,17,34,91,145
SED23007,0,0,0,0,0,9,35,125,9,8,10,3,5,12,0,229,0,0,0,0,11,11,126,101,39,39,40,35,11,3,4,427,0,0,5,6,13,16,28,43,0,6,3,3,6,0,0,126,0,3,8,23,240,278,545,310,71,80,114,100,21,0,35,1827,0,13,223,53,32,50,19,9,4,0,0,0,0,0,19,421,0,21,32,23,20,21,28,20,0,0,4,0,4,0,5,173,0,0,4,18,53,34,27,10,0,4,8,8,0,0,7,182,58,45,26,13,19,19,36,27,4,3,4,7,0,0,6,270,0,170,440,103,20,14,3,19,3,0,0,0,0,0,29,816,0,0,3,10,117,105,70,59,10,9,6,5,3,0,5,400,0,0,33,37,43,100,622,638,238,371,556,609,125,24,68,3461,0,0,3,12,33,88,120,58,19,13,14,29,14,0,8,421,0,0,0,3,4,11,26,122
SED23101,0,0,0,0,8,28,4,14,4,0,0,0,0,0,0,59,0,0,0,4,8,23,28,18,0,0,6,3,4,0,0,93,0,0,3,15,18,13,19,12,0,0,0,0,0,0,0,89,5,14,22,47,471,838,2856,1832,358,408,332,439,136,36,126,7919,0,29,37,11,5,6,6,0,0,0,0,0,0,0,6,97,4,41,42,19,13,11,0,5,0,0,0,0,0,0,6,139,0,0,0,9,56,16,13,8,3,0,0,0,0,0,0,115,58,68,25,13,25,21,16,16,0,0,7,0,0,0,3,262,7,203,512,85,33,7,0,11,0,0,0,0,8,0,22,892,0,9,24,64,292,253,187,92,26,40,36,22,33,9,24,1101,5,4,41,61,158,276,817,474,114,123,190,211,68,18,49,2615,0,5,12,14,49,127,124,14,3,0,3,16,14,4,8,391,0,0,0,4,26,40,72,168
SED23205,0,0,0,0,11,3,5,4,0,0,0,0,0,0,0,31,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,18,0,0,13,13,16,18,28,19,10,3,3,4,0,0,6,134,4,0,0,3,31,62,227,151,43,39,36,75,17,8,14,712,0,12,38,17,10,28,3,0,0,0,0,0,0,0,4,114,4,12,17,3,4,5,11,0,0,0,3,0,0,0,3,69,0,0,0,4,16,11,29,6,3,0,0,0,0,0,4,87,38,94,62,30,49,23,51,18,0,6,0,0,8,0,15,390,0,52,94,40,14,8,6,15,0,0,3,0,0,0,15,253,0,5,0,10,14,15,20,14,4,12,35,14,13,0,0,148,0,3,28,25,29,20,235,95,33,26,27,41,14,4,18,602,0,3,0,11,6,19,24,13,0,3,0,4,0,0,3,88,0,0,0,0,5,6,17,20
SED23308,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,25,0,0,0,0,0,0,9,8,0,5,0,3,0,0,0,33,0,3,8,8,13,6,35,26,5,3,0,9,3,7,0,126,0,4,7,4,11,32,131,116,47,58,47,61,12,8,13,544,3,23,45,10,6,11,4,0,0,0,0,0,0,0,15,123,0,3,3,0,4,3,5,5,0,0,8,8,9,8,0,63,0,0,0,0,7,10,17,12,6,0,0,4,0,0,0,49,58,104,25,7,13,11,26,10,0,9,0,0,0,0,10,279,0,30,69,17,3,5,0,0,6,5,0,0,0,0,10,146,0,0,3,7,10,12,19,17,0,6,6,7,5,0,0,86,0,0,12,9,10,7,196,224,108,145,183,276,113,8,28,1315,0,4,0,0,0,20,29,18,4,5,9,6,12,0,5,117,0,0,0,0,9,9,10,58
SED23402,0,0,0,0,24,63,86,70,13,12,13,5,6,5,5,293,0,0,0,0,0,10,68,46,5,5,0,6,4,0,0,145,0,0,4,13,17,16,29,15,9,4,4,0,0,0,0,115,0,4,22,5,39,34,292,224,74,50,50,58,19,6,13,877,0,4,77,30,15,23,4,3,0,0,0,0,0,0,6,167,0,14,18,8,7,5,72,61,5,0,5,0,0,0,0,192,0,0,0,0,34,22,48,20,4,8,5,4,0,0,0,157,37,108,58,27,42,18,22,15,0,0,0,0,0,0,10,337,0,15,32,8,3,6,8,20,0,0,0,0,0,0,5,94,0,0,0,8,16,16,21,11,0,5,10,4,0,5,0,100,5,3,28,37,71,126,1221,761,195,190,152,201,73,23,37,3126,0,4,0,3,8,15,43,17,3,0,0,7,0,0,3,106,0,0,0,0,0,3,15,35
SED23502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,8,17,10,13,12,10,0,0,0,9,0,0,5,87,0,0,0,0,7,10,31,24,6,3,3,3,0,0,9,108,0,4,3,0,4,0,0,0,0,0,0,0,0,0,0,19,0,11,7,0,0,0,5,4,0,0,0,0,0,3,0,33,0,0,4,7,9,0,6,3,0,0,0,0,0,0,0,40,50,114,64,23,33,8,24,6,4,0,0,3,0,0,14,339,0,10,18,7,0,0,0,0,0,0,0,0,0,0,6,46,0,3,0,0,3,0,0,4,0,0,0,0,0,0,4,16,10,0,5,7,5,11,64,49,16,13,17,9,6,0,4,231,7,0,0,0,5,6,11,10,0,0,0,5,0,0,0,41,0,0,0,0,0,0,0,7
SED23602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,10,0,0,10,15,3,7,13,6,0,3,7,6,0,0,0,70,0,0,3,0,7,6,39,23,5,3,0,3,4,0,24,118,0,3,31,15,3,0,0,0,0,0,0,0,0,0,5,58,0,6,5,0,0,0,3,0,0,4,0,0,0,0,3,29,0,0,0,4,11,0,13,0,0,0,0,0,0,0,0,35,46,98,44,29,31,19,13,5,0,3,0,3,3,0,6,300,4,10,22,4,3,0,0,0,0,0,0,0,0,0,3,44,0,0,0,0,3,3,6,0,0,0,0,0,0,0,14,24,3,0,6,3,17,14,106,65,11,14,18,27,6,3,14,312,0,0,4,0,5,0,10,0,0,5,0,0,4,0,0,29,0,0,0,0,0,0,0,0
SED23702,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,14,14,14,28,3,0,0,0,5,0,0,0,92,0,0,5,3,12,12,49,39,8,14,10,8,0,3,3,164,0,8,22,16,0,11,5,6,0,0,0,0,0,0,0,74,3,9,11,0,3,0,14,5,0,0,0,0,0,0,3,46,0,0,0,4,10,7,4,10,0,6,0,0,0,0,0,35,39,94,63,28,31,19,24,13,5,0,0,0,0,0,11,327,5,26,50,17,5,0,0,7,0,0,0,0,0,0,3,111,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,18,3,8,34,28,15,12,50,27,7,6,4,13,6,0,4,208,0,0,0,0,0,0,9,10,0,0,0,4,0,0,0,44,0,0,0,0,3,0,6,3
SED23806,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,6,12,23,9,6,3,0,4,0,0,72,0,0,9,20,25,18,44,31,10,10,6,7,4,0,0,187,5,13,21,26,311,414,862,726,203,176,159,205,78,31,41,3277,3,13,19,7,0,11,4,0,0,0,0,0,0,0,3,68,3,19,18,0,7,7,7,5,0,0,0,0,0,0,0,78,0,3,9,3,18,13,6,0,0,0,0,0,0,0,0,55,49,42,20,13,25,19,39,24,0,8,6,5,0,0,0,259,8,118,237,33,11,3,6,5,4,0,0,0,3,0,9,443,3,10,27,68,123,83,60,55,15,19,31,12,9,11,13,539,7,8,45,53,85,142,367,272,127,128,190,240,86,19,14,1780,3,0,9,13,29,61,79,32,15,11,13,18,11,0,4,287,0,0,5,4,27,20,45,66
SED23901,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,21,0,0,0,5,0,3,16,16,0,0,6,3,0,0,0,48,0,4,8,10,18,23,33,36,5,7,4,4,0,5,0,153,0,11,13,11,255,321,814,452,92,98,92,88,43,8,34,2337,0,26,108,26,5,28,4,3,0,0,0,0,0,0,4,203,0,19,31,12,9,14,11,12,0,0,0,0,0,0,4,119,0,0,4,8,16,10,11,8,0,0,0,3,0,0,0,56,50,64,31,9,7,24,33,14,0,8,7,0,0,0,10,258,13,155,309,72,28,3,4,23,0,11,4,6,0,0,22,655,0,9,14,34,69,84,55,28,11,8,6,9,15,0,4,343,7,5,25,45,67,128,424,323,74,125,132,145,57,15,21,1596,0,4,3,3,24,40,65,13,9,9,4,3,16,0,0,202,0,0,0,7,25,27,69,167
SED24006,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,4,3,15,3,0,0,0,4,0,0,0,37,0,0,7,16,24,19,27,19,9,5,0,9,0,0,4,136,11,29,40,62,685,811,1898,1493,431,339,379,436,258,45,126,7035,0,16,46,8,5,10,0,0,0,0,0,0,0,0,0,79,0,17,28,16,27,11,23,14,0,4,0,3,0,0,6,148,3,0,6,10,23,8,11,3,0,0,0,0,0,0,0,71,47,30,20,19,23,11,29,12,3,0,0,3,4,0,4,202,13,265,391,70,14,14,7,19,6,5,0,0,0,0,18,814,3,12,31,124,297,250,119,93,20,29,23,26,46,12,22,1110,5,4,52,87,105,163,447,192,66,116,96,103,50,9,22,1522,0,0,13,14,45,99,68,36,4,9,17,7,8,3,0,324,0,0,5,7,95,20,93,113
SED24105,0,0,0,0,7,32,101,113,11,17,12,20,13,6,4,343,0,0,0,4,7,26,69,35,7,8,6,15,0,0,0,182,0,4,0,3,0,12,18,0,4,0,0,7,0,0,0,50,0,3,5,15,226,312,1000,548,125,79,116,119,24,5,50,2637,0,4,86,33,18,53,4,5,0,0,0,0,0,0,7,211,0,14,39,20,17,9,21,5,5,0,0,0,0,0,3,134,0,0,3,9,81,49,45,31,6,0,5,3,0,0,0,242,28,68,39,17,14,18,18,8,0,0,0,0,0,0,3,212,9,62,353,108,26,16,3,39,3,5,0,3,0,0,12,636,0,0,4,18,69,70,48,42,5,8,0,3,3,0,6,265,3,0,124,146,287,453,1508,642,198,194,384,354,119,26,71,4507,0,4,4,17,32,46,110,85,15,30,33,34,15,0,14,439,0,0,0,0,0,5,15,68
SED24207,0,0,0,0,11,37,92,128,18,27,17,33,0,5,17,377,0,0,0,0,8,26,108,51,5,8,4,7,3,0,3,232,0,0,0,3,5,4,20,7,0,3,0,5,0,0,8,52,0,0,4,9,82,147,455,174,36,31,21,39,6,4,39,1047,0,16,217,80,47,129,31,13,0,0,0,4,0,0,15,558,0,18,37,42,42,63,160,103,18,18,18,20,0,0,13,570,0,0,0,6,90,104,156,48,12,14,20,23,4,0,15,492,57,76,16,15,11,41,15,9,0,0,0,3,0,0,12,266,0,42,161,72,26,5,7,29,6,0,0,0,0,0,17,372,0,0,0,10,79,87,47,21,4,0,4,10,4,0,6,269,0,0,44,81,117,314,3058,1633,380,389,553,571,179,40,126,7490,0,0,0,7,33,100,94,43,11,16,8,14,10,0,10,340,0,0,0,0,11,9,35,127
SED24308,0,0,0,0,0,5,54,319,53,31,7,48,17,10,3,536,0,0,0,0,0,0,11,15,0,4,7,0,0,0,0,44,0,0,8,6,8,12,10,8,3,4,3,5,0,0,8,75,0,0,66,8,11,13,84,51,8,12,12,27,5,0,15,313,4,141,453,137,45,122,47,12,0,0,0,3,0,0,28,992,0,3,7,5,0,5,9,10,3,0,3,0,8,0,4,49,0,0,0,4,10,4,8,15,0,0,0,4,0,0,3,42,95,170,47,11,17,8,22,7,0,0,7,3,3,0,16,407,0,22,69,20,4,8,4,0,0,0,0,0,0,0,9,142,0,0,0,0,5,0,12,9,3,0,7,0,7,0,0,50,0,3,4,7,8,16,315,399,123,132,193,179,68,6,21,1491,0,8,0,0,8,7,21,13,0,7,3,0,0,0,0,75,0,0,0,0,3,3,15,94
SED24408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,9,10,0,4,0,0,0,0,0,27,0,0,3,6,4,6,17,7,7,0,0,0,0,0,5,49,4,0,0,0,4,11,23,14,4,0,3,0,0,0,0,59,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,6,0,0,7,0,0,0,0,0,0,0,15,25,42,17,5,14,12,17,5,0,0,0,0,0,4,3,142,0,8,15,8,5,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,7,0,0,11,6,3,4,97,78,28,34,52,47,20,0,14,400,0,0,0,0,0,3,6,5,0,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0
SED24504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,5,0,0,0,0,7,0,3,5,26,16,24,41,16,7,0,3,0,0,0,0,146,5,0,3,0,13,11,33,14,8,4,4,8,5,0,3,115,3,16,45,25,5,11,0,0,0,0,0,0,0,0,0,107,6,10,10,4,0,0,3,0,0,0,0,0,0,0,0,36,0,0,3,9,4,5,0,0,0,0,0,0,0,0,0,17,55,118,44,32,26,25,27,12,0,0,0,0,0,0,13,358,0,19,34,6,0,0,0,0,0,0,0,0,0,0,7,76,0,0,3,5,6,4,6,8,0,0,0,0,0,0,0,40,8,3,15,15,13,13,64,32,4,12,13,13,0,0,12,219,3,0,9,0,0,6,10,0,0,0,0,0,0,0,0,34,0,0,0,0,3,0,0,0
SED24606,0,0,0,0,6,3,7,10,0,0,0,0,0,0,0,28,0,0,0,3,4,0,12,7,7,4,15,4,3,0,0,57,0,0,13,25,23,11,46,28,0,0,4,3,5,5,0,174,5,20,13,28,241,330,569,518,153,164,146,231,85,22,39,2559,0,12,28,9,8,20,0,0,0,0,0,0,0,0,0,76,3,18,36,12,4,0,10,7,3,0,0,3,0,0,0,103,0,3,4,5,17,5,8,3,0,0,0,0,0,0,0,40,55,56,29,22,15,18,34,11,0,0,4,3,0,5,11,261,4,191,471,74,13,3,7,7,5,4,3,0,0,0,30,810,0,7,20,34,96,69,56,60,15,21,15,15,15,5,3,437,8,6,48,51,68,104,315,242,111,156,228,271,88,18,16,1731,0,3,9,13,18,80,55,24,3,13,12,14,11,0,3,261,0,0,0,4,24,16,25,45
SED24703,0,0,0,0,0,9,25,21,0,0,0,0,0,14,0,68,0,0,0,0,0,9,36,47,15,26,29,36,17,3,0,236,0,0,4,18,17,44,67,57,10,24,31,57,37,13,7,404,8,6,26,45,281,565,2170,3260,1401,1716,1743,1964,723,83,212,14200,0,12,43,3,7,20,12,9,0,0,0,5,0,0,5,116,5,9,23,13,17,32,26,22,8,10,14,8,9,3,3,189,0,0,0,10,23,19,15,28,5,6,4,17,5,5,0,145,32,39,23,15,34,49,79,70,18,12,28,31,23,12,5,468,0,58,78,18,9,14,9,26,10,6,4,4,0,0,6,244,0,10,17,38,182,204,266,289,108,108,112,134,96,39,23,1615,0,0,28,35,52,142,629,1057,583,876,1296,1831,856,195,86,7682,0,0,5,11,34,153,366,446,209,334,387,464,191,13,25,2635,0,0,3,4,17,17,76,154
SED24808,0,0,0,0,0,0,21,40,3,5,5,3,0,0,0,91,0,0,0,0,3,32,231,132,25,25,19,10,4,0,6,479,0,0,0,9,9,9,24,12,0,6,0,3,0,0,0,75,0,0,0,3,20,29,113,70,15,16,10,16,0,0,6,299,0,16,95,37,7,46,18,5,3,0,0,0,0,0,5,226,0,20,19,22,18,15,53,31,0,0,0,0,0,0,4,185,0,0,0,0,23,57,85,62,18,15,27,11,6,3,0,311,96,93,50,19,20,20,22,6,0,0,0,0,0,0,8,332,0,26,74,24,6,6,3,5,0,0,0,0,0,0,9,158,0,0,0,5,7,10,11,9,4,0,0,0,0,0,0,42,0,0,26,33,41,105,2439,1358,370,293,361,488,148,33,71,5764,0,0,0,5,12,24,52,24,12,12,4,7,0,0,0,148,0,0,0,0,0,3,17,36
SED24904,0,0,0,0,0,6,67,113,10,18,31,12,12,7,4,288,0,0,0,0,0,4,18,0,0,4,0,3,0,0,0,29,0,0,0,5,6,8,12,6,0,3,0,0,0,0,0,38,0,0,3,3,8,10,45,46,24,28,35,40,13,0,7,258,3,21,31,12,9,0,0,0,0,0,0,0,0,0,6,80,0,5,0,5,0,0,0,3,0,0,6,5,0,0,0,28,0,0,0,6,16,13,33,9,9,4,9,6,5,0,4,116,26,38,12,15,15,5,9,8,0,0,0,3,0,0,4,141,0,42,70,11,0,3,0,0,0,0,0,0,0,0,4,138,0,0,0,4,3,0,4,19,3,3,9,19,7,0,0,77,0,0,8,3,3,23,202,140,48,60,47,80,37,9,9,678,0,3,4,0,4,3,6,24,5,8,10,19,0,0,4,79,0,0,0,0,4,5,4,17
SED25003,0,0,0,0,7,12,15,18,7,4,0,3,0,0,0,71,0,0,0,0,4,12,74,49,5,5,0,4,0,0,0,156,0,0,0,3,5,9,16,19,0,0,6,0,0,0,0,55,0,3,0,11,58,88,551,247,54,43,47,40,14,0,18,1178,0,5,103,30,15,27,13,0,0,0,0,0,0,0,5,191,0,17,41,24,46,71,73,46,9,0,10,3,3,0,8,359,0,0,0,6,73,60,45,21,4,6,6,9,0,0,4,235,21,12,18,7,11,13,15,12,5,0,5,0,0,0,3,126,15,139,506,162,68,23,17,87,8,0,0,0,0,0,20,1054,0,0,8,4,34,30,24,15,0,3,3,0,0,0,0,115,0,3,8,40,113,249,1717,861,212,230,348,345,96,14,49,4284,0,0,0,3,15,44,69,26,10,9,4,0,6,0,0,189,0,0,0,0,26,45,171,464
SED25102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,7,20,19,17,31,17,5,3,0,0,0,0,0,127,0,0,0,8,18,38,99,60,9,5,9,22,3,0,0,278,0,6,21,6,0,12,0,3,0,0,0,0,0,0,0,53,6,0,13,0,0,0,5,0,0,0,0,0,0,0,0,21,0,0,4,3,11,6,4,3,0,0,0,0,0,0,0,29,52,134,63,29,48,25,41,18,0,0,0,0,7,0,7,428,0,15,27,10,0,0,0,0,0,0,0,0,0,0,0,69,0,0,6,4,14,17,14,0,7,3,3,0,0,0,0,65,3,0,23,22,20,30,101,47,14,12,10,7,0,0,9,294,0,4,3,6,0,13,18,4,0,4,0,3,0,0,0,62,0,0,0,0,14,3,22,32
