SED_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
SED22404,0,0,0,3,3,0,3,0,0,11,0,8,10,25,12,18,9,0,3,83,0,0,0,0,0,12,3,4,0,17,0,0,0,0,0,0,0,0,0,0,4,6,27,115,163,386,394,227,94,1407,0,0,0,4,0,4,0,0,0,15,0,0,0,9,4,6,6,0,0,25,0,0,0,28,23,38,73,45,24,230,0,0,0,4,6,5,3,5,0,28,0,6,7,3,3,9,0,4,0,27,0,9,4,28,10,9,11,12,6,82,0,0,0,10,4,0,11,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,13,5,12,9,10,6,53,0,0,0,5,5,13,26,12,9,64,0,0,0,8,12,9,7,0,0,35,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,5,10,9,8,8,3,0,49
SED22501,0,0,0,7,8,6,3,0,3,29,0,20,29,268,86,40,35,8,0,487,0,0,0,0,7,26,21,16,4,64,0,0,0,7,4,9,22,6,3,51,8,66,54,156,171,231,198,148,49,1086,0,0,0,3,4,0,0,0,0,9,0,0,0,18,5,5,13,0,0,38,0,4,0,25,21,19,41,41,16,169,0,0,0,0,16,25,36,26,7,115,0,13,3,27,9,8,4,0,0,70,0,11,5,127,15,26,22,7,3,218,0,0,0,31,4,6,5,0,0,54,0,9,13,116,16,10,13,0,0,168,0,0,0,3,0,6,9,0,0,16,0,4,6,23,15,23,11,13,3,94,0,0,0,13,10,81,136,56,21,322,0,0,5,23,13,5,4,0,0,55,0,0,0,28,9,9,3,3,0,45,0,0,0,3,6,16,0,0,0,33,0,9,3,56,21,28,42,9,0,173
SED22607,0,0,0,31,9,7,10,5,0,60,0,15,45,253,95,81,55,39,24,614,0,0,0,15,8,16,13,8,4,67,0,4,4,19,12,12,19,21,7,100,9,30,35,208,121,134,78,48,31,698,0,0,0,13,3,5,7,0,0,33,0,0,3,26,4,3,4,5,0,44,0,0,3,35,16,18,25,18,10,121,0,0,0,10,13,41,72,121,47,310,0,0,8,67,21,20,16,0,0,128,13,47,45,487,53,44,41,21,11,760,0,0,10,57,16,4,14,4,0,99,0,4,8,62,6,6,0,0,0,85,0,0,6,17,9,11,5,0,0,47,0,0,3,52,24,21,15,7,6,120,0,0,3,54,22,98,232,274,195,879,6,3,8,66,34,11,6,0,0,126,0,0,7,75,12,4,3,0,0,99,0,0,3,9,18,18,13,9,0,73,0,6,23,184,32,24,47,9,0,315
SED22704,0,0,0,0,0,4,0,0,0,6,0,6,6,39,21,15,6,0,0,97,0,0,0,0,0,5,10,3,0,18,0,0,0,0,3,0,3,0,0,4,0,16,14,88,98,214,253,201,76,947,0,0,0,11,3,3,0,0,0,22,0,0,0,5,6,0,3,0,0,17,0,0,4,23,6,28,61,32,13,173,0,0,0,3,0,3,14,3,6,29,0,0,0,5,0,3,0,0,0,11,0,15,19,102,11,5,4,7,0,156,0,0,5,14,7,0,0,0,0,33,0,0,0,6,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,6,0,3,0,23,9,8,8,16,0,73,0,0,0,0,6,17,31,21,23,107,0,0,0,5,7,4,4,0,0,15,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,7,0,0,0,9,0,10,9,16,12,10,0,0,0,53
SED22802,0,0,0,3,7,6,5,0,0,24,0,12,24,165,61,36,22,10,0,328,0,0,0,0,3,9,9,8,0,26,0,0,7,5,6,0,6,4,0,22,0,13,50,133,184,342,309,241,96,1365,0,0,0,4,7,6,0,0,0,25,0,3,0,10,0,0,7,4,0,28,0,0,0,14,12,26,43,42,12,140,0,0,0,0,3,0,15,7,0,27,0,0,0,27,5,11,5,0,0,45,0,25,13,172,45,30,21,9,9,330,0,0,4,17,11,6,4,4,0,48,0,3,6,58,13,10,4,0,0,92,0,0,0,4,0,3,0,0,0,4,0,4,4,15,7,10,10,10,3,53,0,0,0,7,9,35,82,61,43,238,0,0,4,3,5,0,3,0,0,18,0,0,3,22,3,4,0,0,0,37,0,0,0,5,4,10,0,0,0,14,0,15,6,34,16,15,5,7,0,97
SED22901,0,0,0,5,7,7,7,0,0,36,9,96,118,1201,347,297,196,68,34,2377,0,0,0,0,3,8,8,13,3,37,0,0,6,10,4,14,16,12,0,63,0,14,30,96,107,172,218,205,107,951,0,0,6,5,15,9,7,0,0,46,0,0,0,0,4,5,5,6,0,17,0,0,4,22,16,20,49,57,21,187,0,0,0,0,12,22,30,33,13,126,6,20,28,136,69,114,65,13,7,452,4,53,92,500,184,148,65,36,21,1093,0,7,13,88,47,17,22,12,0,206,0,6,11,96,23,18,11,4,0,169,0,3,7,9,9,3,8,4,0,41,0,3,0,9,0,14,23,13,6,68,0,0,0,0,0,25,64,46,30,172,0,0,0,14,13,5,0,0,0,37,0,5,35,79,48,14,9,0,0,185,0,0,0,5,6,8,9,3,0,32,0,41,107,293,191,210,166,45,17,1074
SED23007,4,0,3,39,24,18,32,11,0,139,7,6,52,431,176,161,106,49,24,1001,0,0,0,18,14,34,68,62,24,222,0,3,8,23,0,13,21,16,6,83,3,22,24,221,81,89,57,42,22,565,0,0,6,39,15,24,15,4,0,99,0,3,0,20,7,5,5,0,0,44,0,4,5,33,17,5,39,24,8,147,0,0,8,12,16,39,122,185,76,461,0,0,7,149,17,17,21,0,0,213,17,69,158,792,53,39,35,16,10,1181,0,5,16,169,20,14,10,3,0,243,0,6,10,51,10,6,0,0,0,87,0,0,9,22,0,6,0,0,0,41,0,0,3,40,13,6,11,8,0,80,0,0,4,37,12,41,110,156,117,490,0,0,10,72,27,8,3,0,0,108,0,0,7,96,7,6,4,0,0,117,0,0,0,15,12,10,4,3,0,45,14,34,34,314,46,32,33,6,0,509
SED23101,0,0,0,6,10,5,10,5,0,30,11,192,285,1976,657,601,383,140,69,4320,0,0,0,5,0,4,18,16,10,57,0,0,0,5,0,4,30,21,11,75,0,25,28,52,85,104,120,123,68,604,0,0,4,16,16,15,13,6,4,72,0,0,0,0,5,4,6,3,0,23,0,5,0,7,16,14,34,46,19,142,0,0,0,8,16,42,126,210,76,487,9,45,42,158,92,110,96,17,8,572,9,101,100,599,150,122,87,43,28,1241,0,4,15,91,44,20,31,14,0,226,0,12,25,91,38,10,11,5,8,198,0,0,0,6,0,0,4,0,0,12,0,6,4,0,6,9,11,20,5,46,0,0,0,6,13,17,91,96,43,272,3,9,5,27,35,4,13,5,0,100,0,14,34,92,65,26,10,0,0,240,0,0,0,12,9,9,8,4,4,43,3,37,105,332,200,204,185,66,25,1163
SED23205,0,0,5,14,8,4,7,7,0,38,0,17,50,160,79,66,38,8,5,416,0,0,0,7,9,15,10,12,3,58,0,0,3,5,4,8,14,10,5,33,6,52,69,248,254,333,353,307,177,1793,0,0,3,15,8,9,8,0,0,46,0,4,0,14,6,11,11,0,3,47,0,0,5,28,20,34,53,42,17,211,0,0,3,0,12,20,23,44,15,126,0,0,47,21,11,4,7,3,0,93,3,19,35,133,51,26,15,7,11,297,0,0,4,25,11,10,3,0,0,55,0,0,0,12,3,6,0,0,0,30,0,0,0,5,0,4,0,0,0,6,0,0,0,22,13,18,25,16,0,104,0,0,0,13,5,18,35,39,13,123,0,0,4,12,13,9,3,0,0,41,0,0,0,24,8,3,0,0,0,41,0,0,0,5,9,8,7,0,0,35,0,0,16,32,18,17,21,0,0,106
SED23308,0,0,0,7,5,0,4,0,0,11,3,25,36,155,41,32,13,5,0,317,0,0,4,7,0,11,10,14,5,58,4,3,4,16,0,6,0,0,0,29,4,29,32,145,112,199,201,154,71,947,0,0,0,16,4,3,0,0,0,30,4,0,0,18,0,3,0,0,0,31,0,4,4,21,3,16,55,30,23,155,0,4,0,5,4,10,14,36,12,83,0,5,9,22,3,4,5,0,0,50,7,25,62,365,13,10,18,0,5,498,0,3,12,38,12,0,9,0,0,76,0,5,0,46,9,3,0,0,0,68,0,0,0,12,3,0,0,0,0,19,0,11,0,32,12,10,9,7,3,92,0,0,4,11,4,25,68,80,47,247,0,5,3,22,10,0,0,0,0,41,0,3,4,32,5,0,0,0,0,44,0,0,0,0,0,3,4,0,0,15,0,3,11,53,17,24,8,0,0,118
SED23402,0,0,0,26,25,16,13,6,0,89,0,39,23,254,83,67,34,7,0,501,0,0,0,9,11,13,24,9,4,68,0,5,14,30,14,5,17,13,0,99,6,44,94,247,260,389,342,248,92,1719,0,3,3,40,14,11,4,4,0,85,0,0,0,8,4,8,5,0,0,27,0,0,4,23,25,24,48,43,15,177,0,0,5,6,10,6,7,12,3,40,0,0,7,19,10,5,4,0,0,55,4,98,88,1027,121,80,57,25,11,1509,0,0,7,29,13,8,6,4,0,71,0,0,0,18,4,8,0,0,0,29,0,0,0,7,5,0,0,0,0,20,0,4,5,24,15,17,16,17,6,104,0,0,0,8,15,20,43,38,15,145,0,0,8,17,5,5,6,0,0,43,0,0,9,31,18,4,9,0,0,61,0,0,0,6,6,6,0,5,0,37,0,13,14,52,30,25,16,4,3,157
SED23502,0,0,0,0,0,4,0,0,0,8,0,0,3,27,13,10,3,0,0,62,0,0,0,0,0,4,0,6,0,9,0,0,0,7,0,0,9,0,0,9,0,4,17,67,100,272,361,254,90,1169,0,0,0,3,3,0,5,0,0,17,0,0,0,6,3,3,0,4,0,21,0,0,0,20,6,21,61,45,10,168,0,0,0,0,0,6,8,3,0,14,0,0,0,3,0,5,0,0,0,7,0,14,9,62,3,5,9,0,0,108,0,3,0,11,6,3,4,0,0,28,0,0,0,6,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,3,0,0,3,6,0,8,18,9,6,45,0,0,0,5,0,8,28,31,11,79,0,0,0,0,0,0,0,0,0,8,0,0,3,12,4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,8,27,7,7,0,0,0,56
SED23602,0,0,0,0,0,3,5,0,0,19,0,0,4,21,15,17,0,0,0,65,0,0,0,0,3,3,5,10,5,30,0,0,0,5,0,0,5,0,0,9,0,11,13,74,103,270,308,217,79,1081,0,0,0,4,0,3,4,0,0,19,0,0,0,0,0,0,3,0,0,15,0,0,4,21,12,19,54,33,20,157,0,0,0,0,0,5,8,3,0,19,0,0,0,3,3,0,0,0,0,10,3,4,14,84,20,9,8,0,0,146,0,0,0,8,3,0,5,0,0,20,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,5,0,13,5,8,9,8,7,53,0,0,0,3,0,9,41,45,21,123,0,0,0,3,3,3,0,0,0,17,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,12,13,15,14,4,0,52
SED23702,0,0,0,5,7,4,0,0,0,17,0,3,6,36,24,21,7,0,0,100,0,0,0,7,3,9,5,3,3,31,0,0,0,9,0,6,0,7,0,27,3,23,88,225,338,526,506,400,131,2239,0,0,3,6,3,8,0,0,0,17,0,0,0,5,4,3,4,0,0,23,0,0,5,18,19,28,40,38,18,155,0,0,6,3,0,6,16,17,8,52,0,0,0,8,3,6,0,0,0,16,0,6,6,28,14,16,13,7,0,98,0,0,0,18,5,0,0,0,0,29,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,15,19,15,22,17,5,98,0,0,5,5,7,17,31,27,14,106,0,6,0,6,5,5,0,0,0,22,0,0,0,3,0,0,0,0,0,3,0,0,0,9,9,5,8,0,0,29,0,4,0,10,13,7,15,0,0,51
SED23806,0,5,0,14,3,3,0,4,0,27,11,116,214,824,342,259,125,44,25,1970,0,3,0,9,0,6,5,4,5,37,0,0,4,12,0,7,9,7,5,39,5,79,82,201,126,135,147,99,33,910,0,0,0,12,10,9,0,5,0,37,0,16,9,38,8,12,6,4,0,87,0,4,7,39,11,10,32,22,12,142,0,0,0,7,10,35,59,94,47,256,4,30,28,97,52,42,32,15,4,293,10,49,73,482,71,55,40,20,7,802,0,0,25,102,13,16,18,8,0,181,0,4,11,75,14,3,7,0,0,117,0,0,0,11,0,0,0,0,0,16,0,3,4,37,10,17,15,8,9,97,0,5,3,20,19,22,52,64,56,233,0,3,9,48,36,14,3,7,0,127,3,9,18,76,20,6,6,0,0,140,0,0,0,3,0,3,9,5,0,17,0,13,45,221,133,109,92,36,8,653
SED23901,0,4,5,10,3,6,0,0,0,28,0,56,72,603,202,223,111,28,17,1314,0,0,0,6,14,23,28,24,11,108,0,0,0,15,0,3,17,13,3,59,3,43,51,195,133,142,142,113,56,882,0,0,0,12,0,4,0,0,0,21,0,0,7,16,8,4,6,3,0,46,0,0,0,34,11,11,31,41,15,141,0,5,9,17,13,42,95,95,44,322,5,17,15,75,24,29,21,7,0,185,10,50,57,428,63,49,29,16,10,715,0,4,11,66,21,15,4,0,4,133,0,5,9,127,22,14,8,5,0,189,0,0,0,12,6,0,5,0,0,21,0,7,4,34,19,19,17,11,5,116,0,10,0,30,13,63,136,195,184,631,0,10,4,56,42,13,12,0,0,137,0,6,5,44,13,5,7,0,0,77,0,0,4,15,17,37,22,20,6,132,0,14,26,142,65,75,72,26,0,426
SED24006,0,0,0,12,3,3,0,0,5,23,23,321,466,1362,852,553,270,106,54,4012,0,0,0,4,6,13,8,16,6,52,0,4,7,12,8,13,14,5,9,70,4,54,65,123,112,136,91,81,38,704,0,0,5,7,5,10,9,0,0,35,0,0,0,10,10,7,6,0,3,35,0,4,4,17,18,9,29,26,11,117,0,0,8,11,18,59,89,184,83,442,8,64,50,138,112,115,104,9,16,603,0,57,55,315,112,61,59,36,7,705,0,5,16,92,34,15,25,6,5,200,0,13,23,81,44,23,15,9,0,201,0,0,0,6,3,0,0,0,0,16,0,9,0,19,14,14,18,8,4,89,0,0,8,26,13,34,109,111,65,366,0,3,3,38,26,14,11,11,4,109,0,15,18,68,42,14,9,4,0,158,0,0,0,3,8,12,3,4,4,33,4,37,44,239,186,190,191,67,18,977
SED24105,0,0,0,14,27,20,36,19,0,113,0,45,85,652,260,209,125,53,33,1471,0,0,0,8,8,12,32,29,3,96,0,0,8,11,4,10,19,12,14,75,3,18,29,52,65,93,109,115,43,523,0,0,8,47,29,26,11,6,4,140,0,0,0,13,0,4,0,0,3,20,0,0,3,13,9,11,30,26,14,106,0,6,18,12,19,53,97,108,32,339,0,8,7,76,16,25,8,0,0,138,17,50,254,1054,258,169,181,97,37,2123,0,7,16,127,44,12,11,3,0,220,0,7,8,21,3,4,3,0,0,49,0,3,8,8,9,10,0,0,0,45,0,0,0,17,3,6,14,9,3,56,0,0,4,12,12,44,74,72,42,255,0,0,0,22,14,5,5,0,0,51,3,7,8,42,19,6,7,0,0,84,0,3,4,23,19,20,17,3,0,84,10,48,97,421,60,51,35,10,0,735
SED24207,0,0,7,48,57,55,61,23,0,253,0,8,31,256,110,84,67,18,3,580,0,0,0,43,29,68,69,42,17,280,0,23,42,89,29,32,45,16,8,281,0,22,38,59,53,68,67,46,19,375,0,8,20,93,70,38,27,9,0,263,0,0,0,4,4,0,7,0,0,17,0,0,5,16,3,9,39,31,11,123,0,6,3,17,14,31,55,39,12,181,0,3,6,95,15,20,10,0,0,152,26,190,246,2341,270,175,148,50,7,3444,0,10,17,104,33,16,10,3,0,193,0,5,11,49,6,6,4,3,0,89,5,126,103,225,51,48,42,12,0,614,0,11,0,7,3,4,4,5,5,34,0,0,9,15,13,66,122,76,37,337,0,0,5,39,12,0,0,0,0,54,0,6,8,40,11,3,6,0,0,67,0,3,8,34,23,24,14,4,0,108,0,72,18,172,37,32,16,5,0,345
SED24308,0,0,0,0,0,0,4,0,0,3,0,8,9,57,27,17,20,14,4,156,0,0,0,34,45,85,146,151,58,527,0,5,3,9,0,0,5,0,0,26,0,26,31,85,94,213,217,144,65,877,0,0,3,13,0,5,3,0,0,21,0,0,0,0,3,3,0,0,0,16,0,0,5,19,8,20,84,47,38,219,0,0,0,4,0,7,15,18,10,61,0,3,4,15,0,0,0,0,0,24,7,35,57,454,23,16,8,6,0,613,0,0,0,20,9,7,5,3,0,47,0,11,25,19,5,5,0,0,0,68,0,10,9,21,7,9,3,0,0,65,0,4,9,14,7,13,9,4,10,66,0,0,3,10,8,31,77,82,55,269,0,0,4,8,11,5,0,0,0,27,0,0,3,6,3,0,6,0,0,14,0,3,0,9,3,13,0,0,0,26,0,4,4,30,6,13,9,0,0,77
SED24408,0,0,0,0,0,0,0,0,0,5,0,0,0,16,10,3,0,0,0,41,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,4,8,17,51,62,134,147,90,35,550,0,0,0,3,3,3,0,0,0,8,0,0,0,8,0,0,0,3,0,18,0,0,0,15,13,7,23,18,8,75,0,0,0,0,0,3,0,4,0,14,0,0,0,5,0,0,0,0,0,0,3,18,9,136,12,8,3,4,0,199,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,20,0,0,0,3,0,4,4,13,5,33,0,0,0,5,3,0,0,0,0,11,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,7,3,4,3,0,0,17
SED24504,0,0,0,5,4,0,0,4,0,14,0,6,8,32,18,9,3,6,0,69,0,0,0,0,9,7,20,7,4,49,0,0,0,0,0,0,7,4,0,16,5,36,39,191,239,349,299,198,43,1402,0,0,0,0,0,0,6,0,0,9,0,0,0,18,6,3,6,6,0,43,0,0,0,25,14,27,78,31,13,184,0,0,0,0,3,7,9,4,5,31,0,0,0,6,4,3,0,0,0,12,0,3,14,47,10,13,8,10,0,108,0,0,7,3,0,0,8,0,3,22,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,3,0,0,0,6,0,0,0,25,20,15,18,6,6,91,0,0,0,5,4,30,33,16,7,96,0,0,0,21,5,3,8,0,0,43,0,0,0,9,3,0,0,0,0,12,0,0,0,0,3,0,0,0,0,6,0,6,0,13,7,16,4,0,0,57
SED24606,0,0,4,12,0,9,3,6,0,30,11,91,245,638,254,203,92,37,28,1593,0,0,0,0,5,13,6,8,8,40,0,0,3,4,4,9,12,16,10,54,8,66,65,181,123,153,107,88,56,856,0,0,0,16,0,9,0,0,0,24,0,6,7,32,7,6,14,6,0,80,0,0,6,24,14,8,55,25,13,139,0,0,0,12,25,40,98,205,74,446,0,32,30,89,22,39,29,6,0,244,6,34,77,468,58,46,41,19,5,752,0,8,19,72,23,13,15,3,0,159,0,0,0,52,12,3,3,7,0,81,0,0,0,9,3,0,0,0,0,12,0,5,0,40,19,16,20,11,5,107,0,4,4,15,10,23,63,54,39,212,0,4,21,43,25,8,12,7,0,108,0,0,8,51,16,10,3,4,0,92,0,0,0,5,0,4,0,0,0,21,0,5,33,168,52,80,60,30,12,442
SED24703,0,0,4,117,9,8,11,8,0,155,12,68,3073,3929,460,374,165,88,42,8202,0,0,0,16,6,13,12,12,3,65,3,9,13,28,3,10,19,4,0,89,11,29,185,424,134,139,119,59,18,1120,0,0,9,38,10,6,9,3,0,79,0,7,23,128,17,11,5,4,0,190,0,0,21,108,19,18,27,18,0,217,0,0,8,26,9,15,27,29,21,135,4,12,230,463,69,55,32,11,3,887,79,145,603,2340,66,59,32,7,4,3337,4,9,771,563,32,24,34,5,3,1444,4,3,16,206,15,11,4,0,0,256,0,0,3,23,4,0,0,0,0,39,0,0,12,126,13,23,8,0,0,181,0,4,24,148,16,27,60,57,94,431,0,6,81,394,63,11,8,4,0,574,3,11,168,780,70,19,3,0,0,1052,0,0,0,9,7,3,6,4,5,35,3,20,753,1424,134,121,82,28,6,2567
SED24808,0,0,3,24,22,13,17,9,0,86,0,0,9,84,39,32,22,7,0,190,0,0,0,20,16,30,30,24,3,127,0,7,27,15,11,8,25,0,6,99,0,13,29,120,139,288,288,168,71,1129,6,4,12,90,36,17,5,0,0,168,0,0,0,5,0,8,8,0,0,27,0,0,0,20,11,22,86,30,16,179,0,0,0,10,6,9,18,29,7,74,0,3,0,15,0,0,4,0,0,23,21,152,181,2015,111,126,83,24,4,2718,0,4,4,53,24,7,0,0,0,97,0,3,4,10,3,3,0,3,0,25,0,9,9,26,7,3,6,3,0,66,0,3,0,19,16,8,16,6,5,77,0,0,4,7,18,37,50,25,12,143,0,0,0,11,3,3,0,0,0,29,0,7,0,21,6,3,4,0,0,45,0,0,0,23,6,12,5,3,0,51,0,48,13,54,18,17,13,4,0,155
SED24904,0,0,0,8,0,0,0,0,0,11,0,5,17,90,23,8,5,4,0,152,0,0,0,0,0,5,12,10,14,45,0,0,0,10,0,0,6,5,0,10,0,5,9,48,62,91,98,55,32,408,0,6,3,15,16,7,5,3,0,55,0,0,5,9,0,3,3,0,0,19,0,0,0,18,0,10,33,14,0,78,0,0,0,0,0,8,20,27,14,74,0,0,4,26,0,7,0,0,0,40,0,23,16,201,26,13,13,4,0,298,0,0,0,20,7,0,0,0,0,35,0,3,0,8,0,0,0,0,0,12,0,8,0,10,7,0,0,0,0,19,0,5,0,16,0,8,0,5,0,32,0,0,0,12,3,31,73,102,76,300,0,0,0,24,3,0,0,0,0,27,0,0,4,24,3,0,0,0,0,36,0,0,0,0,0,0,0,0,0,3,3,16,70,422,89,36,5,3,0,643
SED25003,0,4,0,9,13,10,5,0,0,49,0,8,13,368,74,94,54,13,0,635,0,0,0,8,10,34,27,20,5,100,0,6,8,38,25,35,45,11,10,181,3,20,27,57,51,100,74,36,14,374,0,0,10,42,30,30,13,8,0,127,0,0,0,0,5,5,0,4,0,15,0,0,0,26,7,6,18,9,3,66,0,8,18,38,47,124,151,113,37,535,0,0,6,26,0,20,8,3,0,61,20,103,188,1203,222,139,70,19,11,1983,0,3,10,58,24,11,6,0,0,105,0,35,38,230,50,24,10,3,0,391,0,20,32,174,91,70,22,18,0,424,0,0,0,16,3,13,7,8,4,54,0,7,15,30,52,227,296,184,150,959,0,4,3,13,12,10,3,0,0,44,0,3,3,28,12,0,0,0,0,56,0,4,17,65,83,93,30,11,0,309,0,4,18,75,26,46,52,8,3,236
SED25102,0,0,0,0,9,5,4,3,0,17,0,8,17,73,32,27,10,6,0,162,0,0,0,3,4,4,3,5,0,26,0,0,0,0,0,6,3,0,0,7,7,35,60,215,255,375,339,200,75,1565,0,0,0,6,0,6,0,0,0,20,0,6,0,20,7,4,0,4,0,44,0,4,5,21,25,29,73,34,18,218,0,0,0,4,4,6,6,11,3,26,0,0,3,12,11,0,0,0,0,33,4,8,10,58,27,16,18,3,3,148,0,0,6,22,12,0,3,0,8,47,0,5,0,23,3,4,3,0,0,39,0,0,0,0,0,0,0,0,0,4,0,0,5,18,10,16,13,11,3,71,0,0,0,10,6,21,25,18,17,102,0,0,0,21,21,7,0,0,0,48,0,0,0,13,3,3,0,0,0,28,0,0,0,5,0,3,0,0,0,9,0,6,3,26,17,19,9,3,0,92
SED25205,0,0,0,8,8,8,10,5,0,35,3,22,44,278,104,102,45,21,7,622,0,0,3,15,12,18,14,5,9,79,0,0,0,4,3,16,14,14,10,66,5,97,104,337,287,248,215,171,69,1530,0,0,0,17,12,17,4,6,0,58,0,0,4,26,8,4,10,4,0,58,0,7,8,50,25,21,30,34,17,184,0,4,3,14,25,52,96,102,42,342,0,6,4,37,12,12,18,0,0,89,5,22,15,233,78,87,50,17,22,536,0,0,4,18,10,5,8,0,0,53,0,0,0,17,3,3,5,4,0,34,0,0,0,0,3,0,3,0,0,7,0,13,11,81,33,26,17,21,8,207,0,0,6,17,18,41,62,74,43,255,0,3,6,38,25,12,5,0,4,83,0,0,0,22,5,3,0,0,0,28,0,0,0,3,3,16,8,6,0,35,0,5,4,50,24,27,13,11,3,135
