SED_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
SED22901,10131,6697,7214,8462,7525,7319,6488,3457,1545,58837,0,0,0,3,0,8,11,7,8,46,0,3,3,0,0,0,0,0,0,15,144,152,157,140,101,106,116,121,84,1123,0,4,5,5,0,4,3,0,0,15,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,164,165,146,101,114,124,121,84,1171,151,172,171,146,106,120,129,129,97,1219,10280,6868,7387,8611,7634,7438,6611,3590,1640,60057
SED23007,12217,9313,18482,13523,9774,7941,5780,3222,1419,81668,11,4,15,11,16,14,19,12,3,113,0,8,8,0,14,4,0,0,0,40,159,248,340,224,188,179,84,45,29,1494,0,9,9,5,6,11,9,0,0,50,0,3,5,0,0,0,5,0,0,24,0,0,0,0,0,3,0,0,0,8,0,0,5,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,159,273,371,239,211,200,102,55,29,1635,168,274,386,258,225,214,125,65,28,1750,12388,9588,18871,13781,10001,8152,5899,3292,1450,83423
SED23101,9964,7308,6448,8009,8213,6904,6215,4847,2183,60100,3,6,0,6,4,9,11,3,5,36,3,5,3,5,3,3,3,0,0,21,114,127,159,117,94,105,83,81,62,942,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,116,133,170,130,104,108,97,86,65,1000,119,133,170,130,112,116,101,87,67,1037,10085,7449,6621,8138,8323,7024,6317,4936,2255,61140
SED23205,10663,6730,8413,8198,8116,7366,6078,3753,1703,61015,8,7,6,8,3,16,19,8,4,80,0,0,0,0,0,0,7,5,0,18,207,235,266,185,159,151,180,130,112,1627,0,6,8,0,5,4,3,0,0,24,5,0,0,0,3,0,6,0,0,7,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,3,4,0,12,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,212,240,272,193,170,169,205,135,112,1711,214,253,280,201,170,187,224,146,114,1785,10879,6977,8695,8398,8290,7554,6296,3894,1816,62804
SED23308,10763,7613,10232,8440,8134,7780,6366,3670,1587,64589,21,3,6,13,14,14,16,10,0,99,8,6,15,5,12,13,4,0,0,57,220,369,391,257,258,252,189,159,88,2187,0,6,11,11,14,3,7,0,0,58,0,0,0,4,0,7,0,0,0,23,9,0,0,7,0,4,0,0,0,24,0,0,3,0,0,5,3,3,0,14,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,392,421,283,293,283,199,169,88,2359,249,400,434,299,303,293,219,183,93,2462,11016,8008,10663,8737,8437,8075,6581,3852,1681,67052
SED23402,17682,10077,11884,11919,10698,8761,6298,3533,1248,82097,6,4,4,4,9,13,17,5,3,63,0,0,9,0,5,0,5,0,4,25,211,282,280,164,150,167,135,103,61,1549,3,3,7,3,5,0,3,0,0,33,0,0,7,0,3,3,0,0,0,14,0,0,0,0,0,3,4,0,0,9,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,294,301,171,161,183,145,100,62,1644,222,302,305,178,167,196,160,110,66,1704,17900,10374,12186,12095,10866,8953,6463,3641,1316,83801
SED23502,9840,5438,5764,5941,6996,9254,9963,5459,1727,60387,15,17,18,13,16,32,52,24,10,200,4,9,4,0,7,9,15,7,0,66,249,324,304,278,281,439,403,169,57,2497,4,6,8,7,5,12,7,0,0,54,0,3,0,5,4,3,7,0,0,23,0,4,0,0,0,0,0,4,0,14,0,4,0,0,0,4,0,0,0,8,0,3,0,0,0,3,4,0,0,14,0,0,3,0,0,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,258,349,322,293,304,491,434,184,59,2690,278,363,338,304,319,525,482,206,66,2886,10121,5804,6107,6239,7319,9777,10448,5661,1796,63273
SED23602,9717,5533,5757,6329,7307,8564,8274,4231,1499,57205,18,13,14,12,15,29,28,22,12,160,5,25,21,11,11,3,7,4,0,82,246,307,287,197,277,407,291,125,55,2188,0,13,28,9,13,11,4,0,0,80,0,3,3,0,5,0,5,0,0,15,0,0,11,0,3,4,3,0,0,29,0,0,0,0,3,10,0,0,0,11,0,3,6,0,0,0,0,0,0,6,3,5,0,6,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,254,349,359,229,306,436,311,129,54,2432,265,365,366,241,319,468,340,156,65,2597,9987,5897,6128,6571,7627,9033,8615,4387,1562,59805
SED23702,13136,8442,8890,8760,9222,9108,7112,3868,1243,69786,10,19,9,9,18,7,15,13,0,104,0,57,20,12,3,3,3,0,0,102,190,263,209,141,152,134,100,93,50,1332,0,66,14,8,8,10,7,0,0,107,0,6,0,0,0,3,5,0,0,15,0,22,20,6,5,0,0,0,0,53,0,6,0,0,0,0,0,0,0,13,0,8,4,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,193,432,275,168,166,146,112,101,53,1645,203,448,286,179,178,159,129,112,51,1742,13341,8887,9171,8940,9400,9272,7240,3979,1299,71532
SED23806,9247,8791,10334,8216,8091,6792,5505,3378,1493,61841,3,9,0,0,4,7,3,4,4,33,10,14,13,4,4,3,10,9,0,68,84,259,230,143,114,147,118,93,39,1224,0,5,5,5,4,5,9,0,0,30,0,3,0,0,0,0,0,0,5,8,0,0,3,0,0,0,0,0,0,12,0,10,8,5,0,0,0,0,0,19,0,5,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,89,296,251,158,130,162,138,102,42,1369,90,301,256,163,133,162,144,107,47,1401,9339,9088,10586,8378,8227,6952,5649,3486,1545,63248
SED23901,11442,7458,9149,9504,8695,7780,6015,3731,1956,65719,7,5,6,7,8,14,17,10,0,84,9,8,15,11,5,5,5,0,0,50,136,210,283,227,203,219,242,204,176,1895,3,21,23,13,0,11,0,0,5,74,0,13,7,0,0,0,0,0,0,24,0,4,8,0,0,0,4,0,0,14,4,0,4,7,0,0,5,0,0,21,0,5,3,5,0,0,0,0,0,4,0,0,3,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,146,260,336,254,207,231,268,211,181,2092,153,265,352,261,218,244,280,213,179,2174,11599,7725,9496,9769,8907,8021,6292,3947,2132,67891
SED24006,10290,9176,6490,7095,9141,8213,5895,3711,1942,61956,3,3,5,6,3,3,4,11,7,43,5,22,3,5,4,6,0,0,0,46,117,150,196,151,129,149,134,93,61,1179,4,3,0,3,5,3,0,4,0,24,0,0,0,0,0,0,0,0,0,13,0,0,3,0,0,0,4,0,0,9,0,0,7,0,5,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,124,174,215,157,143,161,148,98,70,1291,126,183,216,164,149,165,155,104,77,1337,10420,9354,6709,7260,9286,8378,6051,3814,2016,63294
SED24105,13396,9787,10949,10742,9537,8293,6602,3734,1432,74473,12,4,10,3,3,7,9,8,0,64,0,0,5,3,3,0,0,0,0,24,129,121,190,128,118,93,64,46,16,906,0,0,4,0,0,3,0,0,0,5,4,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,128,197,135,127,101,72,49,23,961,142,132,206,141,131,107,82,58,22,1022,13527,9915,11156,10886,9667,8406,6684,3794,1457,75493
SED24207,22579,12618,15861,17296,12782,9023,6656,2725,714,100261,7,3,13,9,8,12,18,10,4,91,0,5,3,7,0,10,0,0,0,24,170,171,221,199,159,107,71,56,14,1161,3,0,8,0,3,3,4,0,0,22,4,0,0,3,0,0,3,0,0,12,0,0,4,0,3,6,0,0,0,19,0,0,0,0,3,5,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,182,232,207,171,127,82,56,14,1244,181,183,243,213,179,145,102,69,21,1337,22768,12807,16109,17511,12960,9167,6757,2796,733,101600
SED24308,12214,8463,10422,8706,8727,7925,6577,3720,1573,68329,9,21,11,9,26,29,28,16,7,161,7,29,6,0,5,0,0,0,0,58,163,320,234,147,153,121,113,72,46,1373,3,5,0,4,0,0,6,0,0,22,4,6,0,0,0,0,5,0,0,13,6,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,370,241,164,161,137,119,77,46,1490,186,389,258,172,185,160,150,93,56,1649,12397,8857,10683,8881,8921,8086,6722,3814,1624,69983
SED24408,9686,5493,6016,5749,6787,8353,7318,4488,1972,55862,17,26,12,11,16,22,26,19,10,159,0,15,4,4,8,7,16,0,0,50,161,388,311,201,221,310,223,112,76,1997,0,4,3,0,13,6,5,0,0,41,6,32,5,8,21,10,9,3,0,101,0,0,3,0,8,5,3,0,0,23,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,437,330,215,272,344,263,118,77,2227,186,460,340,231,292,362,286,143,85,2385,9874,5957,6363,5972,7077,8712,7611,4630,2059,58245
SED24504,11845,6176,5234,7915,9666,9028,7669,3797,1151,62485,12,3,8,10,7,3,21,12,3,77,8,10,0,6,5,11,8,3,6,56,157,279,210,203,200,257,196,102,31,1626,0,4,3,0,4,7,10,0,0,35,0,5,0,0,0,0,0,0,0,14,0,0,8,0,3,3,7,0,0,15,5,0,0,5,0,0,0,0,0,3,0,0,3,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,301,224,210,214,281,223,104,34,1758,181,300,233,220,220,286,246,116,42,1832,12021,6479,5461,8134,9892,9309,7913,3917,1187,64319
SED24606,8366,7439,8798,7348,7794,6531,5596,3827,1766,57473,29,0,9,6,10,9,16,18,46,142,0,13,21,0,6,8,3,7,0,65,110,200,258,166,150,126,173,147,92,1422,0,8,3,0,3,7,12,0,0,31,0,0,3,0,0,5,0,0,0,16,0,0,4,0,0,6,0,0,0,8,0,0,4,0,0,4,0,4,0,12,0,0,3,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,116,232,293,169,169,151,193,154,100,1572,149,233,302,176,174,162,206,170,143,1715,8512,7673,9100,7528,7969,6693,5799,4003,1912,59186
SED24703,8455,26933,41682,17704,9264,7174,4997,2350,836,119387,20,72,42,38,25,12,3,11,7,220,39,158,142,81,93,83,41,15,0,652,451,1203,1425,1019,704,584,427,226,119,6151,16,115,87,39,44,45,19,0,0,369,17,34,31,22,16,17,7,0,0,136,3,38,26,14,35,19,17,0,0,146,10,39,25,21,15,19,15,0,4,165,14,19,9,0,0,3,0,0,0,56,7,27,4,10,3,4,0,0,0,55,0,0,0,0,0,0,0,0,0,0,558,1639,1750,1211,908,778,526,244,121,7729,574,1707,1791,1249,929,792,529,255,125,7950,9030,28644,43474,18945,10195,7962,5526,2603,957,127337
SED24808,23397,11125,14953,14742,10957,8801,7334,3209,984,95511,20,7,10,15,9,13,26,10,6,122,9,5,10,0,5,8,6,3,0,47,289,274,311,196,135,117,98,38,16,1480,0,0,3,5,0,5,0,0,0,22,0,0,6,0,0,0,5,0,0,10,4,0,0,0,0,0,0,0,0,10,3,0,3,8,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,303,290,335,206,146,129,116,41,16,1589,321,299,353,219,154,147,138,54,25,1712,23723,11423,15305,14956,11113,8953,7472,3265,1010,97223
SED24904,11920,7003,8451,7604,7878,8495,6978,3949,1745,64026,8,14,17,16,20,20,26,16,9,145,30,32,37,22,34,24,17,8,0,198,215,280,359,222,261,426,334,140,61,2302,0,5,13,4,13,21,9,0,0,60,7,29,12,15,14,15,16,3,0,103,0,3,0,3,4,5,6,0,0,23,0,0,3,0,0,5,4,3,0,15,0,3,5,0,0,0,5,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,342,424,270,328,491,387,153,60,2713,263,359,441,278,346,519,412,165,73,2858,12185,7358,8891,7885,8224,9009,7391,4114,1817,66883
SED25003,13536,9090,10245,10321,9470,8529,5424,2498,1090,70206,0,6,5,3,5,6,0,0,0,32,3,4,4,5,0,7,4,0,0,29,137,130,157,88,77,72,56,33,29,777,8,0,0,0,0,0,5,0,0,13,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,5,0,0,7,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,143,141,168,105,82,80,66,37,27,850,147,149,173,103,82,85,72,37,31,876,13678,9237,10416,10424,9553,8619,5493,2538,1124,71086
SED25102,10789,6442,5999,7631,8406,7634,5910,2717,868,56380,6,3,4,5,6,12,14,9,0,56,0,4,4,0,6,0,3,0,0,16,124,210,161,107,90,100,68,48,25,932,0,6,3,3,3,4,7,3,0,29,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,224,171,111,101,107,84,48,25,991,131,223,172,113,105,117,94,63,30,1053,10924,6665,6164,7746,8508,7750,6001,2771,898,57429
SED25205,12015,7047,6896,9382,9934,7934,5662,3491,1648,64015,3,0,3,4,3,9,12,17,11,52,3,0,4,7,0,5,3,0,0,18,120,166,154,123,110,104,58,30,33,888,0,0,0,0,0,9,6,0,0,25,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,3,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,165,160,126,109,120,70,40,34,959,126,165,160,127,116,129,86,54,38,1015,12144,7217,7062,9515,10051,8068,5747,3549,1686,65033
SED25302,11429,6793,4036,6936,9437,7901,7777,5795,2405,62506,6,0,3,0,5,6,21,10,9,62,4,7,7,3,9,6,9,5,0,38,204,244,177,143,171,152,173,112,101,1482,5,0,0,6,4,17,4,0,0,33,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,3,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,214,256,187,155,182,181,199,113,103,1586,217,257,188,160,189,184,217,124,117,1648,11652,7048,4222,7090,9628,8084,7992,5918,2517,64153
SED25402,12027,7435,8397,7723,7927,8857,7472,4075,1608,65523,24,9,6,14,16,15,27,23,6,148,0,3,3,7,4,4,6,4,0,43,290,380,382,276,252,271,259,219,163,2490,5,0,0,12,3,15,7,0,0,35,0,0,0,0,0,0,7,0,0,15,3,0,0,0,0,3,0,0,0,12,0,4,0,0,0,0,0,0,0,10,0,3,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,395,389,303,263,297,281,225,164,2615,324,406,399,316,279,312,311,249,175,2760,12349,7844,8797,8038,8204,9168,7783,4317,1780,68279
SED25501,10992,8705,7608,8923,8645,7454,5616,4318,2156,64419,3,0,7,0,4,3,3,11,0,36,4,11,22,4,5,3,4,7,0,57,115,188,233,176,132,116,99,76,53,1189,9,9,7,0,4,6,0,0,0,38,0,0,3,0,0,3,0,0,0,13,0,0,3,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,205,269,183,143,134,104,85,54,1306,129,207,273,190,141,137,110,96,62,1344,11121,8910,7882,9106,8787,7588,5723,4412,2220,65763
SED25605,10039,7113,8562,8406,7858,6865,6505,4768,2183,62299,0,3,6,4,8,9,12,13,4,61,0,4,9,4,3,4,0,0,0,32,105,115,148,125,98,100,78,76,71,910,0,0,5,0,0,6,0,0,0,17,3,0,3,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,122,174,133,102,110,79,71,74,982,118,124,184,136,114,122,95,86,81,1050,10156,7234,8746,8541,7969,6982,6601,4857,2259,63348
SED25704,11113,6419,6606,6556,7565,8860,7804,4880,2116,61919,32,19,21,14,22,34,36,27,14,213,12,28,36,12,13,22,7,13,5,149,145,333,315,212,252,317,281,129,58,2044,5,9,3,3,11,19,9,0,0,51,0,3,4,0,0,11,0,0,0,25,6,0,4,3,0,0,6,0,0,15,3,5,3,0,9,4,0,0,0,20,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,166,376,366,233,281,378,318,137,64,2321,196,400,380,244,303,405,350,166,79,2537,11313,6817,6988,6803,7867,9269,8158,5046,2194,64456
SED25802,14141,7923,9018,8500,9171,9884,8850,4929,1709,74136,6,10,8,12,17,26,18,28,5,127,4,7,10,4,0,7,8,0,5,38,230,321,342,168,174,163,145,70,39,1646,0,0,4,5,14,3,6,0,0,39,0,4,0,0,0,6,0,3,0,14,0,3,0,0,5,5,4,0,0,12,0,3,3,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,236,337,365,178,189,192,159,71,41,1770,248,348,375,187,209,212,173,102,43,1894,14382,8271,9392,8686,9381,10104,9024,5034,1757,76030
SED25905,12610,8811,9493,8764,8603,8685,5730,2776,1221,66694,4,4,8,4,7,4,12,12,0,53,0,0,3,4,8,0,0,0,0,18,120,148,191,90,86,77,53,49,20,836,0,0,0,3,4,4,0,0,0,23,0,4,0,3,0,3,0,0,0,11,0,0,3,0,0,6,3,0,0,15,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,161,202,102,94,92,56,53,22,909,129,160,206,110,99,105,67,60,22,966,12740,8974,9699,8871,8707,8786,5805,2833,1241,67655
SED26005,19316,12889,11079,12920,12302,8940,4936,2112,573,85064,5,11,10,4,8,3,3,3,0,55,3,7,3,5,8,0,5,3,0,32,147,202,175,112,77,72,46,42,5,882,8,0,0,0,0,3,5,0,0,16,6,0,3,0,0,4,0,0,0,12,0,0,0,5,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,162,215,184,123,85,77,53,47,5,956,170,223,190,127,93,77,64,54,5,1009,19478,13110,11274,13051,12391,9022,5000,2166,576,86074
SED26102,9067,5299,5205,6157,8049,9301,10324,6625,2548,62577,7,3,4,14,14,25,30,24,24,145,9,9,10,4,8,6,9,0,0,61,542,492,462,420,567,706,633,312,83,4214,5,0,3,3,11,3,12,6,0,40,4,0,5,0,0,9,0,0,0,11,3,0,3,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,561,503,487,433,581,724,658,323,81,4351,562,506,493,451,603,747,688,350,109,4498,9632,5802,5697,6609,8648,10053,11016,6979,2654,67079
SED26207,10293,6728,6858,8072,8459,7135,6110,4673,2040,60370,11,0,3,7,7,0,15,22,9,72,3,10,0,0,0,0,0,0,0,13,116,102,138,121,126,99,74,44,23,836,0,0,5,3,0,7,3,0,0,19,0,4,4,0,0,0,0,0,0,8,0,0,0,4,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,118,110,143,122,130,106,88,43,23,896,125,110,147,130,140,106,100,64,35,970,10424,6841,7011,8205,8597,7246,6212,4736,2071,61338
SED26303,9780,6430,12747,10943,9515,6801,4348,2760,1377,64696,4,5,13,3,10,5,3,0,3,52,0,11,9,7,3,9,5,0,0,47,113,175,299,166,165,102,55,29,24,1135,5,5,4,3,3,7,6,0,0,32,0,0,3,0,0,3,3,0,0,12,0,0,6,6,0,6,0,0,0,19,0,0,4,4,0,0,4,0,0,18,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,197,329,183,174,128,75,37,24,1259,120,200,340,184,189,132,85,36,32,1313,9897,6630,13086,11125,9701,6938,4434,2796,1407,66013
SED26406,10216,10990,14385,10313,8550,6824,4905,3378,1765,71332,3,7,5,9,11,9,11,12,0,64,0,21,7,4,5,5,4,0,0,51,115,316,219,153,146,112,65,35,27,1182,0,13,3,8,5,4,13,0,0,43,0,5,0,0,3,0,0,0,0,18,3,15,0,5,3,0,3,0,0,28,3,15,3,0,0,0,4,0,0,23,0,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,122,398,243,166,160,120,89,39,32,1359,122,406,248,174,167,125,96,50,29,1424,10341,11389,14633,10495,8717,6951,5000,3425,1794,72752
