SED_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SED24808,1004,342,185,111,35,4,2644,55,317,380,237,134,144,18,0,1287,463,2434,2595,1212,590,436,148,26,7910,417,1909,2039,1214,822,517,200,44,7166,1347,3686,3228,2500,1928,1234,416,73,14409,186,247,217,162,116,60,7,6,997,96,201,270,225,191,153,49,14,1192,1630,4131,3707,2886,2239,1448,477,88,16602,18,82,111,48,44,41,18,12,370,913,1299,1155,858,684,637,432,141,6114,3533,11106,10992,6794,4697,3328,1328,316,42093
SED24904,250,169,126,72,25,4,953,10,173,182,227,179,122,19,3,907,226,1412,1105,853,642,410,141,44,4828,190,721,802,840,794,561,202,33,4148,887,2239,1913,1848,1680,990,349,80,9980,140,181,135,119,104,40,16,0,738,61,94,113,164,133,98,41,8,715,1094,2514,2159,2131,1922,1132,400,86,11437,15,46,43,38,32,38,23,12,255,755,926,862,823,939,945,701,403,6350,2311,6081,5395,5084,4642,3268,1508,585,28884
SED25003,1226,451,227,108,22,4,3280,31,298,336,244,166,73,21,0,1167,803,2596,2485,1299,818,455,96,19,8571,419,1330,1483,1268,895,381,105,16,5906,859,1906,1650,1862,1515,748,241,56,8833,112,107,101,78,87,43,10,0,540,76,118,173,254,230,110,24,0,989,1048,2129,1925,2198,1827,900,277,62,10363,28,59,71,63,64,33,10,3,327,447,611,582,462,459,442,444,408,3862,2875,8168,8103,5990,4458,2395,984,507,33484
SED25102,751,612,416,328,95,7,2656,14,186,369,449,380,295,78,3,1773,368,1639,2000,1679,1239,886,306,55,8176,262,752,1132,1318,1021,780,283,66,5594,713,1601,1786,1950,1773,1113,375,83,9378,101,63,75,84,85,49,15,0,473,48,60,129,177,194,172,73,16,874,868,1722,1986,2213,2056,1334,464,94,10735,19,20,27,36,47,55,38,6,242,230,292,345,387,373,358,285,212,2477,1762,5049,6609,6684,5525,4042,1537,453,31656
SED25205,1222,835,472,240,94,11,3647,25,211,481,510,365,213,51,8,1860,591,2519,3212,2499,1436,737,279,74,11348,294,834,1265,1597,1048,679,289,117,6119,555,1215,1419,1681,1417,861,436,163,7746,72,59,83,92,99,52,22,0,475,34,72,175,214,233,161,69,51,1009,658,1340,1682,1986,1751,1076,531,218,9232,24,38,48,52,57,54,44,21,338,206,355,370,410,367,388,394,278,2766,1827,6033,8275,7899,5493,3390,1672,725,35311
SED25302,559,643,542,440,174,47,2704,15,118,366,443,415,354,129,13,1861,327,1199,2113,2314,1462,1264,797,200,9678,247,485,1062,1509,1195,1139,689,197,6532,468,1030,1461,1831,1623,1151,740,210,8513,86,39,65,80,87,72,34,13,471,44,49,127,211,194,232,159,62,1077,597,1110,1659,2122,1905,1458,934,283,10062,8,16,43,49,55,73,85,42,382,285,210,330,492,420,626,713,562,3639,1501,3425,6122,7586,5994,5363,3515,1347,34860
SED25402,323,225,209,151,43,13,1279,32,173,205,197,208,147,43,3,1014,309,1365,1072,821,733,530,211,38,5081,161,828,854,878,877,613,263,40,4516,1082,2781,2356,2204,2335,1445,611,156,12969,122,155,160,110,93,64,20,3,735,41,93,108,130,146,163,44,15,745,1246,3025,2626,2448,2580,1665,678,176,14451,14,27,29,37,45,56,28,7,246,710,764,719,726,834,858,673,464,5748,2502,6478,5829,5338,5485,4022,1936,740,32335
SED25501,2549,1580,1070,524,236,50,7949,27,201,329,381,380,282,119,27,1740,1240,2994,3375,2936,2096,1243,615,226,14725,351,641,847,1034,956,710,567,188,5289,323,508,449,656,664,419,330,189,3538,53,39,30,41,57,52,19,11,301,44,41,65,149,157,146,112,59,766,412,587,545,852,879,616,460,255,4609,22,50,92,65,61,70,63,29,451,382,484,433,415,342,271,365,319,3009,2585,6750,8177,7269,5780,3710,2420,1086,37778
SED25605,1364,766,471,291,153,20,4559,23,219,298,260,190,162,50,14,1214,756,2872,2575,1779,1175,845,371,132,10504,323,967,1073,995,761,605,348,119,5195,440,842,847,1096,874,731,544,143,5522,57,65,79,72,53,38,13,0,381,41,92,105,182,189,130,104,24,870,533,1005,1027,1350,1113,906,656,168,6766,39,73,67,67,35,69,46,25,406,406,601,459,430,416,465,594,529,3893,2167,7140,6859,5649,4171,3342,2219,1004,32543
SED25704,164,151,111,72,19,0,786,6,148,166,178,199,123,55,4,879,211,1085,1087,810,605,515,172,44,4527,173,584,730,824,812,639,261,72,4097,923,2104,1914,1996,2137,1338,490,118,11003,131,114,116,81,94,53,23,0,621,53,80,124,130,158,132,46,17,726,1107,2303,2154,2200,2390,1521,556,136,12355,12,23,33,28,31,36,37,15,214,605,550,614,700,871,965,841,549,5705,2142,4936,4953,4893,5016,3864,1940,815,28552
SED25802,354,322,290,211,86,11,1639,30,206,266,258,301,269,75,6,1416,316,1590,1372,1061,976,852,331,59,6550,209,982,1130,1102,1052,878,364,85,5792,1087,3095,2586,2591,2475,1575,660,170,14244,178,143,146,109,110,111,22,0,816,64,127,132,187,201,193,104,25,1033,1326,3364,2868,2890,2789,1883,786,195,16096,17,34,42,37,59,66,63,12,329,618,703,687,751,865,898,736,315,5591,2536,7228,6730,6417,6324,5052,2441,684,37415
SED25905,827,452,309,143,43,10,2596,43,208,206,197,167,94,23,5,934,719,2402,1912,1207,943,528,160,25,7895,413,1150,1296,1183,977,508,152,65,5745,807,1727,1528,1776,1717,939,307,111,8913,122,116,91,87,99,47,15,0,588,51,113,144,210,247,110,54,15,934,977,1961,1769,2073,2058,1099,373,128,10440,21,56,64,52,53,62,26,11,355,556,747,616,535,509,430,330,209,3933,2771,7290,6690,5704,5017,2864,1110,451,31896
SED26005,1449,698,269,135,38,0,3527,45,219,357,308,169,66,31,7,1201,788,2604,2879,1856,969,430,147,20,9698,537,1356,1889,1752,1029,449,135,17,7164,1129,1991,2084,2351,1740,747,239,51,10324,212,110,141,131,102,35,12,4,746,97,134,220,287,239,113,41,11,1143,1440,2235,2444,2776,2084,898,292,60,12217,35,65,77,80,66,49,22,0,391,648,758,719,664,502,377,221,63,3948,3533,8115,9817,8138,5088,2398,886,172,38148
SED26102,321,392,482,484,224,26,2211,18,96,206,281,373,374,121,13,1480,212,1237,1389,1411,1550,1670,740,163,8375,172,624,862,1096,1227,1353,693,179,6211,528,1459,1561,1909,2044,1614,824,258,10190,68,80,84,98,100,102,38,9,586,32,95,100,153,212,251,149,41,1035,628,1632,1745,2157,2356,1962,1019,311,11806,14,25,28,33,59,86,74,36,352,548,457,554,762,892,1190,1114,599,6116,1604,4352,5103,6132,6931,7117,3979,1332,36559
SED26207,926,547,335,177,43,9,2861,23,217,354,383,257,165,39,9,1443,795,2354,2628,1962,1172,692,210,48,9861,225,744,985,1127,859,528,253,57,4774,440,1145,1217,1509,1167,820,561,186,7040,58,80,65,70,77,36,20,3,403,41,70,133,219,213,121,89,26,916,538,1294,1415,1796,1451,978,670,212,8367,9,29,51,45,34,54,41,8,269,244,396,386,384,340,416,454,286,2908,1896,5799,6741,6244,4458,3010,1706,629,30482
SED26303,2384,1785,1073,490,116,19,8312,25,620,818,863,631,348,51,6,3357,977,5765,4435,3148,1644,795,205,54,17026,293,1061,1049,991,714,363,122,41,4637,410,1071,888,785,671,344,154,57,4375,78,70,60,60,33,35,0,0,341,30,87,94,148,133,77,26,16,616,515,1230,1041,992,838,450,183,77,5327,13,58,64,57,35,33,16,10,267,252,570,498,398,329,283,283,220,2844,2147,11674,10285,8234,5261,2759,971,421,41771
SED26406,2354,1140,647,325,101,23,8680,42,408,457,500,382,182,58,9,2041,1916,5625,3899,2614,1575,801,326,103,16866,651,1204,1108,1086,895,522,240,77,5791,565,1005,827,998,905,518,270,123,5202,92,57,59,67,47,33,14,0,372,52,79,106,179,156,108,60,39,780,698,1141,996,1248,1102,655,340,162,6349,52,97,78,57,60,47,22,18,435,654,971,506,378,306,346,308,249,3716,4306,13254,9409,7018,4970,2882,1402,638,43874
SED26504,260,231,222,139,41,10,1190,11,148,220,245,296,222,67,6,1219,179,1099,1197,1005,760,703,256,69,5258,160,606,762,958,863,793,329,86,4549,762,1753,1795,1897,1955,1304,564,138,10175,95,78,109,114,109,74,29,4,612,49,73,78,148,161,151,99,18,774,910,1902,1982,2166,2227,1540,688,156,11559,13,25,27,27,38,50,38,17,228,488,468,485,555,696,899,838,444,4862,1766,4522,4924,5182,5093,4340,2252,787,28870
SED26603,2234,935,451,167,48,5,6476,38,526,701,528,318,149,32,7,2299,1076,5261,4327,2250,1080,500,159,48,14699,589,1535,1591,1285,785,363,128,56,6330,626,1710,1368,1360,1147,556,276,169,7221,73,104,93,77,53,40,7,5,446,71,127,159,215,180,88,47,28,913,770,1940,1626,1654,1378,681,328,203,8580,32,101,101,53,50,34,28,14,413,515,979,668,563,453,422,442,452,4495,3131,12855,11245,7274,4515,2312,1164,779,43292
SED26708,321,305,372,291,93,5,1640,20,169,250,254,273,249,68,3,1289,209,1316,1328,1155,1047,988,341,68,6450,157,682,863,958,1040,880,329,78,4989,854,2106,2082,2146,2068,1181,424,103,10966,110,105,118,96,90,69,14,5,616,41,80,100,131,166,147,72,12,749,1010,2287,2300,2376,2324,1404,510,115,12330,6,37,26,32,38,59,31,12,242,516,518,590,665,795,915,676,403,5086,1935,5266,5678,5744,5894,4788,2053,689,32038
SED26806,2702,1212,928,598,312,62,10238,62,862,590,456,346,269,91,10,2684,1934,10224,4780,2442,1770,1346,677,175,23335,495,1774,1253,928,729,586,323,113,6198,443,1539,845,597,476,276,137,50,4365,60,107,64,46,37,25,4,7,351,41,154,129,139,149,127,67,14,816,536,1801,1039,781,653,430,219,72,5528,33,139,76,54,49,48,42,16,452,528,1571,956,655,547,501,507,423,5685,3784,20596,11395,6526,5029,3774,2165,865,54123
SED26903,1647,683,331,126,28,6,5003,38,418,575,423,237,98,24,3,1812,835,4553,3507,1839,836,417,125,38,12144,422,1417,1416,1125,712,335,90,29,5553,547,1567,1311,1282,978,553,257,103,6600,77,105,90,80,78,28,11,5,463,44,100,139,192,171,88,41,9,779,668,1772,1540,1553,1222,662,309,120,7842,24,75,77,50,44,36,18,11,341,433,889,679,565,490,495,444,407,4398,2539,11184,9436,6244,3871,2171,1032,607,37097
SED27003,2695,1440,1078,717,245,32,10682,49,994,683,586,493,343,93,7,3244,1945,10998,5070,2543,1663,1078,418,106,23826,364,1600,1168,829,612,439,206,39,5260,410,1515,893,644,533,238,123,43,4399,62,112,68,68,48,30,3,0,401,38,142,104,136,115,76,34,15,667,513,1775,1070,852,694,339,168,55,5468,22,130,72,38,36,26,17,6,357,477,1296,811,578,529,397,270,127,4484,3525,21121,11576,6875,5100,3341,1411,376,53319
SED27101,1841,898,444,256,92,23,5282,33,359,523,491,360,237,95,7,2100,715,3361,3800,2262,1225,875,365,101,12710,361,942,1163,1208,961,666,370,112,5783,590,1165,1089,1328,1137,589,369,133,6396,59,79,72,59,50,34,14,0,361,62,74,114,169,178,128,80,28,829,714,1309,1273,1556,1363,748,465,168,7594,11,44,72,43,46,52,42,20,327,223,413,446,373,312,314,351,201,2632,2103,8112,9115,6829,4715,3151,1782,633,36436
SED27208,272,226,199,183,56,8,1246,21,175,192,215,215,237,50,3,1102,228,1070,1067,896,792,698,265,45,5065,150,606,760,945,972,810,319,65,4633,794,2026,1813,2156,2256,1594,628,125,11399,115,137,123,108,130,100,37,7,766,34,86,106,116,177,178,47,22,772,949,2257,2046,2384,2567,1867,716,152,12937,13,33,25,24,34,53,33,11,223,578,573,641,848,1005,1160,942,473,6220,1949,4982,5007,5545,5780,5013,2385,756,31428
SED27305,919,583,450,185,51,0,2910,33,157,290,265,221,95,39,5,1100,734,2013,2194,1733,1239,602,188,46,8753,328,703,973,1291,1029,550,224,51,5141,596,1086,1079,1634,1539,726,378,71,7099,90,52,77,75,49,34,17,5,396,35,79,114,173,199,113,61,14,790,721,1213,1265,1881,1789,874,449,90,8287,15,33,40,52,51,37,24,9,266,221,263,266,266,290,262,253,104,1938,2108,5030,5945,6082,5075,2609,1222,320,28393
SED27406,1328,1397,872,515,227,43,5240,29,231,394,565,495,384,112,21,2230,737,2582,3171,3440,2272,1467,663,162,14494,222,639,992,1301,1152,954,554,186,6001,369,744,696,982,1091,635,390,148,5057,51,44,52,53,73,48,29,9,350,20,55,99,213,215,210,114,40,970,440,842,845,1246,1379,895,530,192,6369,3,23,51,71,57,74,54,35,372,180,284,368,382,338,405,420,349,2720,1656,5424,7150,8403,6565,4697,2562,986,37430
SED27504,403,253,184,113,34,7,1533,22,248,288,301,224,159,38,5,1289,309,1726,1341,926,743,562,181,45,5836,277,970,1039,980,916,630,266,59,5151,1097,2275,1994,2038,1892,1125,470,109,11004,167,151,131,120,71,72,17,0,734,74,115,126,170,144,118,58,16,817,1336,2533,2261,2326,2111,1311,550,130,12554,21,56,58,24,39,36,17,11,263,803,926,804,837,887,848,844,506,6461,2821,6955,6194,5659,5100,3664,1932,764,33087
SED27608,1308,887,536,346,144,15,4815,47,502,667,543,417,342,119,11,2654,1106,4178,4165,2562,1589,1309,476,119,15498,507,1449,1811,1680,1310,1059,553,158,8522,1191,2667,2526,2217,1931,1216,565,191,12505,136,110,135,90,93,62,20,3,652,87,129,190,201,188,214,104,42,1151,1414,2907,2855,2503,2213,1494,690,244,14310,25,52,69,39,59,54,70,17,393,600,648,546,499,446,581,559,371,4257,3821,11202,11420,8714,6573,5176,2610,932,50449
SED27708,351,302,296,219,60,9,1599,26,183,276,304,287,223,52,11,1358,232,1440,1444,1188,951,818,271,66,6405,136,727,873,947,968,829,323,73,4873,953,2131,2126,2166,1964,1166,421,100,11021,148,127,98,97,100,73,17,9,669,55,66,104,181,169,138,62,21,799,1157,2326,2329,2446,2238,1377,502,128,12497,9,22,23,22,38,36,32,12,204,546,527,605,593,687,816,678,420,4878,2115,5570,5911,5791,5465,4320,1912,720,31808
SED27807,663,264,158,81,27,0,2837,37,263,215,157,96,62,13,5,851,955,3311,1932,955,565,401,119,25,8266,523,1427,1149,779,549,357,113,18,4917,631,1410,1381,1172,1157,775,340,118,6986,93,134,127,98,106,44,6,0,610,71,136,155,187,201,98,50,11,905,794,1679,1662,1455,1466,922,401,127,8503,30,96,68,29,52,42,19,0,337,839,1403,1063,782,730,715,570,407,6518,3327,9677,6750,4426,3616,2586,1253,591,32226
SED27907,586,310,217,129,30,10,1871,34,315,294,233,191,138,38,6,1256,504,2202,1797,1159,727,486,161,40,7070,324,1222,1304,1116,917,597,201,40,5719,772,2495,2120,1994,1747,1059,460,115,10760,113,121,126,91,91,61,7,0,625,76,132,175,205,177,143,64,13,984,954,2745,2427,2294,2013,1265,534,134,12368,13,44,41,58,50,54,27,21,299,398,572,533,483,471,457,413,173,3499,2272,7656,6981,5659,4581,3132,1402,407,32092
SED28007,980,542,251,111,21,6,2861,52,278,357,303,168,61,10,0,1233,1101,3059,2752,2040,1018,476,109,25,10579,449,1313,1623,1520,950,327,109,27,6304,843,1762,2026,2232,1590,697,269,44,9473,122,91,130,120,91,49,3,0,601,88,154,252,349,247,112,34,10,1247,1052,2009,2413,2696,1934,858,307,60,11331,26,67,78,75,64,48,17,0,378,479,642,647,541,475,364,224,93,3461,3250,8234,8847,7707,4865,2243,802,208,36157
SED28107,5456,1117,364,171,46,0,11923,62,537,808,345,172,86,24,0,2038,1335,6696,7568,2331,1099,633,131,15,19816,830,3280,3528,1634,965,458,129,19,10841,1341,2693,2609,2015,1468,698,259,50,11131,142,168,172,112,77,54,8,0,736,108,241,366,261,208,110,37,7,1332,1589,3101,3141,2395,1752,863,296,59,13195,64,250,312,82,72,52,23,0,854,1260,2348,1922,873,623,452,222,85,7780,5423,20693,22747,8781,5047,2715,863,178,66449
SED28203,1590,388,137,66,18,5,4091,39,315,354,175,85,38,10,0,1021,834,3426,3027,1089,518,286,76,12,9275,498,1735,2014,1017,536,284,88,9,6174,810,1995,1823,1304,937,588,286,66,7812,86,124,122,94,77,33,3,0,548,73,159,224,204,151,104,27,10,948,969,2274,2167,1605,1166,733,319,75,9305,42,105,125,56,41,45,14,0,434,618,1031,863,620,516,488,374,141,4657,3129,10647,10144,4950,3004,1943,907,244,34957
SED28301,1550,1074,745,432,151,25,5053,27,186,330,452,405,278,98,14,1792,889,2139,3099,2853,1961,1212,522,138,12821,283,533,896,1187,1133,843,478,109,5468,479,641,722,1215,1121,624,471,153,5421,73,32,45,63,70,47,22,8,359,45,28,94,158,187,191,96,34,846,599,703,863,1436,1384,858,589,188,6626,19,36,61,78,74,58,52,22,388,228,245,307,346,307,340,383,242,2391,2115,4842,7105,7423,6008,4025,2265,746,34531
SED28408,661,575,420,293,125,14,2774,22,229,364,367,361,291,100,18,1753,439,1969,1894,1443,972,805,345,76,7938,230,780,840,890,845,672,309,90,4659,899,2038,1617,1556,1414,933,408,133,9004,135,161,88,75,78,64,14,4,614,44,97,100,120,130,120,81,29,717,1077,2295,1801,1755,1620,1121,509,165,10335,18,30,27,38,33,41,41,20,243,464,508,424,463,510,546,512,377,3802,2294,6459,6012,5531,4749,3761,1928,763,31507
SED28507,2188,534,253,132,41,3,4971,51,370,464,254,198,100,25,0,1464,678,3636,3589,1339,688,426,121,21,10498,483,1811,1839,1173,875,471,157,29,6837,1186,2911,2366,2076,1592,879,320,71,11397,175,190,156,111,116,39,12,0,798,96,180,241,204,181,125,38,12,1073,1455,3285,2756,2391,1886,1043,363,83,13267,26,118,124,66,60,54,26,7,476,782,1262,1048,689,541,542,408,276,5542,3529,12234,12005,6439,4501,2769,1152,420,43050
SED28607,1883,1378,823,334,94,11,5953,33,426,715,668,542,234,45,6,2655,770,4075,4736,3172,1635,691,210,52,15343,282,1028,1340,1390,894,474,185,37,5624,429,1311,1319,1258,1131,639,273,136,6489,70,69,74,81,68,36,18,0,420,42,90,136,210,191,99,41,18,829,542,1469,1526,1552,1388,777,329,156,7737,13,61,64,47,50,42,18,3,291,331,665,551,506,388,349,319,272,3379,2030,9085,10814,8710,5720,2894,1188,537,40978
SED28704,1599,709,362,207,63,11,4169,41,427,618,444,303,172,39,6,2064,696,3356,3876,2072,1052,687,187,37,11961,513,1942,2574,1918,1140,656,211,38,8986,1368,3658,3588,3047,2155,1122,426,86,15444,209,171,183,158,104,50,15,4,898,105,202,291,316,216,161,48,14,1353,1681,4036,4060,3520,2480,1331,489,103,17695,21,72,117,73,64,43,34,6,429,579,735,758,628,517,484,316,99,4118,3585,11722,13600,9364,5930,3567,1343,306,49425
SED28803,2641,718,301,147,24,6,6064,88,546,539,313,154,74,21,0,1744,1251,5384,4816,1943,1066,468,87,18,15031,783,3174,3291,1801,1071,437,97,16,10671,1459,3583,3021,2305,1883,743,233,35,13271,191,240,232,145,99,45,8,0,962,152,340,359,319,254,87,27,4,1546,1806,4157,3616,2774,2241,875,276,40,15783,56,139,218,99,70,50,19,0,655,1002,1599,1437,913,682,452,237,119,6441,5132,17081,16549,8563,5582,2510,761,201,56387
SED29494,77,37,26,13,0,0,239,4,20,25,17,21,9,0,0,98,44,280,153,107,71,37,8,0,701,25,95,66,56,79,42,7,0,372,100,227,210,170,141,83,20,0,949,29,26,20,17,13,7,0,0,112,3,13,17,25,11,11,0,0,90,131,270,243,211,161,104,20,0,1148,9,8,8,8,8,0,0,0,37,397,694,879,659,422,207,45,15,3316,608,1458,1448,1099,779,411,85,18,5907
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,3,9,0,0,0,29,0,6,16,3,15,4,0,0,40
