SED_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SED25003,41,34,210,223,81,752,42,334,30,1736,146,419,575,535,362,734,182,394,84,3435,672,2006,1333,947,1063,598,518,601,208,7947,1068,2029,1055,857,1175,484,586,554,178,7975,978,1152,975,807,1366,531,682,675,140,7314,589,658,708,641,990,458,629,678,106,5458,89,146,144,128,175,81,156,146,22,1090,7,11,4,4,8,4,8,13,9,64,4,0,0,0,0,0,0,0,0,9,3582,6458,5002,4133,5226,3650,2786,3401,777,35022
SED25102,20,33,279,360,49,574,45,405,21,1780,98,231,548,481,226,401,123,283,43,2434,528,1415,1123,626,542,268,194,327,99,5126,1197,2034,1098,592,768,284,200,333,108,6612,1443,1795,1049,673,1046,352,355,392,134,7236,988,1253,804,570,919,319,298,393,86,5627,290,428,201,134,260,86,100,134,25,1659,47,52,18,6,26,13,10,20,7,190,4,6,0,0,0,0,0,0,4,7,4603,7245,5119,3447,3830,2289,1318,2293,530,30670
SED25205,24,33,164,339,82,732,48,374,22,1821,111,374,484,486,289,525,84,207,29,2599,746,2187,943,582,676,391,153,253,84,6006,1729,2960,927,635,1052,422,169,230,124,8241,1841,2356,930,740,1390,540,297,355,135,8589,963,1287,655,589,1062,373,292,351,63,5628,209,350,192,112,263,93,97,116,19,1447,24,37,16,14,22,11,6,12,17,153,0,0,3,0,0,5,0,0,0,12,5644,9576,4317,3493,4845,3082,1142,1891,501,34496
SED25302,23,32,243,512,71,687,54,478,29,2124,94,211,463,561,204,429,92,233,39,2325,420,994,702,417,324,273,74,224,49,3480,1389,1829,818,520,707,334,123,223,97,6045,1882,2123,963,725,1072,597,195,367,137,8057,1195,1464,647,540,904,411,185,356,64,5765,400,553,177,133,353,146,65,109,41,1980,85,78,21,9,42,16,11,23,16,296,9,7,0,0,0,3,0,0,7,27,5489,7295,4029,3416,3674,2893,802,2002,476,30087
SED25402,30,10,265,293,73,758,40,394,35,1901,111,281,579,482,314,392,107,302,41,2604,487,1374,1211,868,824,456,383,625,125,6348,664,1204,971,674,870,326,458,590,116,5881,712,919,824,739,930,385,526,673,107,5812,600,786,816,572,789,305,529,586,96,5082,230,224,155,123,175,86,132,140,45,1303,53,22,9,12,17,10,8,15,12,153,5,0,0,0,0,0,0,0,0,14,2896,4826,4838,3754,3989,2725,2175,3322,582,29100
SED25501,16,68,63,250,103,490,35,259,29,1308,118,715,261,427,408,577,126,287,64,2985,655,2435,635,458,686,400,208,353,153,5980,1453,2868,557,444,856,398,178,245,163,7161,1422,2292,572,506,890,396,204,297,130,6711,841,1617,461,373,742,266,190,298,72,4849,191,421,115,77,219,67,52,89,27,1271,37,58,11,4,34,13,3,10,8,179,4,0,0,0,4,0,0,0,6,16,4730,10483,2688,2539,3945,2604,992,1847,650,30470
SED25605,16,34,78,163,54,453,33,250,20,1100,110,411,336,415,311,500,184,309,58,2636,533,2063,855,635,802,437,513,684,190,6708,1071,1966,789,598,818,350,367,503,153,6618,926,1362,700,545,874,386,452,543,118,5900,552,825,498,397,604,236,405,502,82,4103,180,328,145,107,247,72,103,142,22,1351,37,43,23,5,35,5,0,32,19,206,5,0,4,0,0,0,6,0,3,14,3421,7039,3430,2871,3735,2448,2055,2970,659,28634
SED25704,59,30,316,294,52,594,39,406,37,1826,173,228,583,392,155,295,100,405,31,2360,644,1033,984,640,431,348,304,768,98,5255,956,983,758,551,548,338,312,727,87,5258,1214,836,712,735,680,413,481,808,94,5972,1307,736,616,699,716,385,604,852,101,6017,647,254,174,156,204,140,161,245,51,2033,174,23,13,7,23,8,17,44,41,349,24,0,0,0,0,5,0,0,11,38,5187,4124,4155,3485,2810,2533,2018,4249,551,29106
SED25802,32,29,354,313,86,637,60,534,37,2080,160,256,711,518,311,377,146,468,54,2990,710,1461,1484,890,775,431,419,886,146,7206,944,1344,1131,786,826,396,422,672,130,6652,1185,1200,1050,885,909,450,563,825,122,7189,1042,1034,886,691,894,388,613,710,104,6363,511,350,187,162,231,97,183,219,41,1990,160,43,16,15,35,12,15,34,29,361,26,0,0,0,0,0,0,3,14,43,4763,5721,5831,4261,4070,2781,2427,4359,677,34878
SED25905,16,26,159,192,75,569,79,309,25,1453,118,435,618,423,378,613,198,417,96,3291,675,1714,1268,707,972,455,475,635,196,7105,862,1451,1090,664,954,386,504,527,158,6599,845,1011,989,737,1012,399,657,613,125,6377,661,719,813,565,953,381,706,636,95,5535,142,208,196,99,221,86,152,181,15,1301,18,21,13,6,16,14,6,17,5,110,0,0,0,0,0,0,0,0,0,7,3344,5583,5141,3392,4585,2901,2771,3330,722,31779
SED26005,29,67,289,302,105,929,103,595,35,2448,182,484,835,610,475,773,337,570,123,4394,644,1740,1437,918,1015,580,696,828,237,8080,1301,2327,1490,1023,1291,587,814,823,201,9863,1317,1625,1457,1069,1502,561,930,967,205,9628,645,728,853,627,985,290,843,738,112,5824,119,164,126,93,172,55,138,154,19,1042,10,3,8,8,9,8,6,7,3,56,0,0,0,0,0,0,0,0,0,4,4255,7135,6500,4641,5554,3776,3863,4679,936,41339
SED26102,22,12,222,320,24,520,26,283,38,1468,80,141,497,431,121,331,40,227,36,1890,530,954,1042,539,339,289,115,356,77,4248,904,1157,933,509,476,332,120,353,84,4867,1188,1289,1013,677,733,482,253,546,137,6314,1095,1322,822,595,847,494,252,500,119,6049,509,620,264,127,395,230,96,173,73,2502,125,103,28,12,69,29,15,21,38,436,7,6,0,0,0,0,0,0,3,22,4459,5611,4819,3215,3003,2710,917,2457,609,27795
SED26207,15,41,125,250,74,621,55,302,33,1513,118,459,390,361,345,489,137,237,55,2579,681,1974,833,518,764,333,220,276,128,5728,1417,2132,765,485,990,354,217,286,155,6797,1379,1672,811,608,1261,458,307,404,117,7006,835,1065,521,423,1006,340,325,309,90,4914,175,316,165,83,258,102,110,108,32,1344,24,28,18,5,30,16,7,26,9,167,0,0,0,0,0,3,0,0,3,9,4645,7677,3625,2735,4731,2717,1364,1944,616,30060
SED26303,12,43,48,291,55,391,20,290,12,1164,117,527,318,639,344,454,83,215,38,2734,1390,5361,1094,1111,1153,565,229,375,169,11441,2170,4581,669,519,923,323,141,212,127,9665,1839,3397,584,501,949,328,183,236,95,8117,808,1907,363,350,644,222,156,220,68,4732,153,491,85,92,146,38,36,80,21,1144,13,31,4,5,10,7,6,13,3,90,3,0,0,0,4,0,0,0,0,8,6507,16342,3164,3501,4227,2334,862,1642,536,39103
SED26406,23,86,70,335,103,562,36,255,17,1487,187,939,452,829,573,854,211,477,98,4619,1135,4759,1161,1038,1265,814,424,687,231,11500,1695,3533,810,520,1003,438,227,313,169,8714,1479,2293,616,538,1048,375,216,324,130,7015,790,1293,492,398,790,283,212,317,68,4647,122,331,136,114,198,68,77,82,17,1145,17,28,9,14,20,13,12,18,9,127,0,4,0,0,0,0,0,0,4,17,5448,13276,3739,3779,5000,3405,1423,2473,741,39269
SED26504,30,16,245,328,55,537,38,483,49,1791,106,147,473,365,129,226,97,315,27,1883,493,992,914,664,365,291,250,608,73,4662,864,1117,765,563,510,310,281,557,87,5052,1084,1005,714,721,757,425,439,710,90,5941,983,892,609,645,665,423,506,789,74,5580,567,281,151,140,190,117,157,218,44,1874,187,14,18,12,18,12,12,35,15,331,19,0,0,0,0,0,0,8,4,30,4325,4468,3901,3448,2688,2344,1771,3716,477,27146
SED26603,10,33,141,208,53,538,37,295,15,1337,137,475,649,712,412,574,161,586,78,3794,1229,4339,1599,1335,1406,701,454,868,240,12164,1940,4111,1066,778,1338,476,333,434,194,10664,1315,2227,879,646,1202,427,356,404,148,7602,616,1068,579,467,864,297,316,387,78,4674,90,185,108,104,161,64,78,106,14,913,6,12,9,0,6,5,8,22,11,85,4,0,0,0,0,0,0,0,0,3,5354,12456,5028,4260,5444,3079,1748,3099,774,41242
SED26708,87,10,288,289,40,594,59,568,47,1984,189,163,484,385,125,254,139,487,31,2252,740,999,1049,658,419,314,321,938,98,5548,1165,1153,902,596,611,303,373,701,96,5898,1469,1031,857,750,716,381,517,814,104,6643,1424,978,670,661,678,345,552,745,110,6164,832,366,169,141,231,133,164,255,60,2348,288,40,17,5,30,19,14,37,16,468,34,0,0,0,3,3,0,0,8,55,6226,4738,4436,3496,2845,2344,2151,4549,575,31367
SED26806,13,42,30,190,51,193,9,102,7,623,280,1128,305,825,597,632,118,253,64,4204,2878,9218,1468,1488,2122,1256,297,587,320,19639,2603,4498,615,540,1078,570,98,235,178,10414,1567,2254,310,328,755,314,95,154,106,5885,979,1600,209,279,491,229,62,134,59,4047,338,739,66,74,253,125,23,38,52,1713,83,170,8,6,37,24,3,9,21,367,8,11,0,0,3,0,0,0,4,27,8748,19660,3011,3730,5389,3341,699,1522,817,46917
SED26903,9,20,85,138,52,432,20,163,26,932,116,407,415,610,307,504,160,392,81,2991,1010,3600,1328,1260,1169,700,437,789,238,10516,1423,3183,1019,777,1085,376,345,459,165,8833,1024,1677,783,607,997,383,400,518,120,6519,420,814,484,406,655,230,359,478,71,3923,79,149,109,84,125,60,81,120,15,823,12,14,4,5,6,3,3,17,11,72,0,0,0,0,0,0,0,0,3,5,4101,9875,4218,3876,4391,2691,1804,2935,725,34618
SED27003,13,21,32,181,50,282,25,147,19,767,216,1220,270,841,553,587,77,227,66,4045,3015,10679,1419,1489,1952,1008,200,425,263,20459,2714,5054,684,533,952,412,142,260,201,10956,1756,2607,377,365,674,240,117,216,102,6462,921,1760,265,252,514,191,120,195,56,4275,230,649,82,64,156,60,17,47,17,1323,28,93,11,4,26,13,3,10,0,186,0,3,0,0,0,0,0,0,4,7,8893,22084,3142,3731,4877,2802,704,1516,725,48476
SED27101,35,37,151,288,59,536,33,325,20,1483,127,447,464,507,328,491,125,325,58,2859,781,3070,996,779,920,521,268,437,132,7911,1594,3381,838,652,1082,353,211,352,139,8595,1335,2181,788,625,1074,392,237,382,107,7129,697,1118,521,480,805,262,193,365,78,4522,130,335,135,121,197,71,82,129,25,1224,19,51,10,7,15,15,9,9,5,142,0,0,4,0,0,3,0,0,3,16,4725,10616,3909,3465,4480,2639,1158,2324,573,33878
SED27208,52,8,242,234,37,570,44,456,40,1680,127,170,452,397,154,286,106,437,32,2157,521,924,893,731,460,350,327,835,107,5143,829,974,708,661,617,299,339,607,72,5104,1062,926,775,892,695,349,473,726,109,6014,1095,781,614,786,687,342,536,801,102,5732,666,295,162,180,173,107,161,214,51,2004,199,20,18,9,24,12,4,30,21,350,20,0,0,0,0,0,0,4,7,37,4576,4090,3853,3892,2842,2321,1996,4111,537,28218
SED27305,25,33,196,283,84,697,55,375,31,1776,148,485,553,390,346,592,160,282,58,3008,563,1603,859,493,691,388,169,280,105,5142,1108,1810,772,473,841,334,224,260,105,5922,1364,1434,937,649,1296,502,351,399,111,7041,916,1114,795,467,1105,406,427,457,82,5769,151,264,159,77,201,90,104,116,26,1199,4,18,9,10,12,13,4,12,0,83,0,0,0,0,6,0,0,0,0,3,4279,6762,4280,2835,4577,3018,1491,2178,521,29943
SED27406,20,51,116,493,123,597,43,324,20,1781,116,474,317,532,325,542,85,184,39,2615,763,2085,621,470,634,341,118,185,107,5332,1886,2551,532,427,769,356,76,136,106,6831,2477,2811,567,508,1146,499,112,191,127,8448,1548,1872,484,431,920,379,130,182,85,6031,350,646,140,111,379,151,52,101,24,1949,56,83,20,3,49,23,7,12,9,272,3,6,0,0,0,0,0,0,6,16,7227,10571,2811,2975,4339,2892,627,1323,530,33284
SED27504,46,32,288,251,86,782,40,508,49,2076,173,305,595,493,240,358,144,469,55,2840,725,1610,1159,853,613,441,375,1014,140,6919,1002,1382,828,737,663,368,402,851,124,6365,1162,1116,737,766,882,462,519,922,118,6690,1011,886,644,593,817,377,531,796,104,5773,391,297,157,144,240,99,190,240,43,1796,95,28,11,3,24,17,14,19,10,236,20,0,0,0,0,0,0,0,9,30,4622,5660,4431,3846,3566,2914,2211,4814,661,32725
SED27608,30,33,305,611,85,1090,83,653,27,2910,223,586,873,1143,382,837,257,570,60,4928,1122,3515,1771,1529,1067,682,450,728,140,11005,1935,3819,1481,1192,1299,575,362,553,177,11405,1755,2567,1083,1107,1283,588,359,500,143,9376,983,1520,748,729,1000,455,358,418,82,6296,290,474,157,143,257,149,109,138,28,1747,49,48,10,14,19,9,12,19,7,176,7,0,3,0,0,0,0,0,0,18,6392,12565,6433,6469,5396,4374,1984,3587,671,47863
SED27708,49,17,304,298,77,810,58,526,53,2185,145,199,487,442,185,324,138,410,56,2379,530,1345,1087,816,486,403,341,799,100,5906,870,1410,943,705,605,339,364,658,91,5994,1130,1294,808,823,837,429,496,731,135,6683,1017,1050,581,714,735,416,620,799,96,6020,557,302,147,151,207,112,140,241,47,1900,152,25,14,7,11,13,17,24,23,296,18,0,0,0,4,0,4,3,7,35,4467,5643,4376,3954,3137,2851,2166,4191,608,31391
SED27807,22,25,77,133,49,371,42,232,23,970,123,421,490,536,362,553,320,503,109,3413,618,1982,1299,1051,1106,596,978,1003,291,8922,662,1218,957,717,782,352,691,857,191,6429,477,623,735,575,633,280,831,963,162,5284,315,354,577,438,496,194,706,778,97,3963,80,110,119,96,128,45,147,212,32,969,9,11,3,0,9,3,4,13,4,67,0,0,0,0,0,0,0,0,4,0,2302,4744,4269,3550,3566,2403,3724,4564,907,30023
SED27907,34,22,235,232,72,601,58,331,24,1608,141,290,597,449,325,420,208,354,41,2816,763,1866,1584,907,1115,480,485,536,159,7890,1079,1648,1143,714,1131,419,525,452,159,7268,992,1085,925,832,1223,451,572,524,153,6760,662,776,647,592,1025,404,565,420,72,5164,146,200,152,140,265,102,135,131,36,1313,18,20,11,11,19,9,8,20,3,118,0,5,0,0,4,0,0,0,3,6,3834,5914,5292,3877,5166,2881,2558,2770,647,32936
SED28007,44,44,246,298,111,1062,97,488,50,2433,186,596,696,534,521,807,261,403,98,4106,747,2275,1222,762,1246,597,636,588,205,8276,1342,2012,1206,848,1527,558,773,582,224,9067,1374,1560,1190,947,1707,664,944,860,191,9418,677,761,815,573,1091,430,782,679,123,5939,123,142,123,93,170,71,137,160,18,1038,8,6,4,7,9,3,5,11,0,54,0,0,0,0,0,0,0,0,0,0,4501,7405,5501,4056,6380,4184,3639,3762,904,40335
SED28107,24,69,181,224,98,898,126,461,57,2137,198,490,913,733,541,871,917,887,180,5742,1249,3889,2159,2035,2121,1134,2873,1599,557,17614,2489,5504,2033,2343,2800,1103,2453,1283,478,20480,1086,1703,1112,1183,1394,486,1371,905,203,9439,508,674,657,592,918,360,823,605,97,5230,97,146,101,85,141,71,143,117,22,917,10,9,3,4,3,6,8,7,3,47,0,0,0,0,0,0,0,0,0,3,5664,12477,7163,7201,8013,4923,8711,5860,1590,61610
SED28203,17,28,107,139,43,511,42,245,28,1166,146,364,594,509,402,554,266,479,96,3408,792,2259,1555,1237,1171,678,921,1007,254,9870,1087,2060,1332,1259,1362,524,1069,901,261,9846,583,783,808,674,809,372,771,789,122,5720,266,324,506,399,524,238,584,636,76,3552,83,74,105,79,106,44,138,212,14,861,5,0,10,0,13,6,5,19,17,75,0,0,0,0,0,0,0,0,0,6,2980,5899,5020,4299,4432,2929,3804,4288,861,34515
SED28301,17,51,153,376,97,661,44,329,30,1752,139,561,420,494,350,607,79,235,47,2927,546,1687,565,417,579,346,87,220,109,4560,1447,2391,592,403,850,378,127,170,112,6471,1715,2238,755,584,1076,472,161,274,126,7405,1162,1523,606,474,935,384,212,328,81,5715,335,480,163,113,290,102,67,107,34,1675,64,73,12,11,33,19,8,16,7,255,8,10,0,0,3,4,0,0,5,22,5436,9015,3265,2872,4205,2970,785,1690,542,30778
SED28408,43,35,215,337,87,662,45,411,29,1861,140,318,552,622,279,474,97,318,48,2845,596,1806,1071,914,682,472,281,531,95,6457,811,1869,748,651,740,322,245,412,67,5854,946,1535,572,699,865,377,313,503,85,5896,640,1105,529,575,753,320,310,468,58,4756,167,303,121,123,171,96,107,144,22,1255,32,36,9,3,8,7,3,13,11,128,4,0,0,0,5,0,0,0,5,18,3379,7004,3824,3934,3591,2731,1389,2801,426,29079
SED28507,37,26,199,201,62,722,86,403,33,1772,181,364,726,575,395,589,385,518,100,3842,905,2720,1608,1378,1444,766,1195,1047,279,11331,1348,2984,1320,1332,1604,557,1095,866,250,11361,849,1127,934,939,1201,414,912,728,162,7267,539,652,586,559,882,306,723,598,76,4926,136,166,138,98,177,61,144,149,30,1104,19,12,8,9,14,0,9,18,0,96,4,0,0,0,0,0,0,4,5,10,4028,8055,5514,5087,5777,3413,4553,4335,944,41710
SED28607,11,27,94,293,59,557,40,323,10,1427,114,423,328,501,322,447,127,239,39,2542,1225,3449,977,769,1035,519,307,402,165,8852,2665,4147,876,568,1211,413,247,290,163,10587,2232,2984,742,610,1218,474,302,304,140,8999,1067,1766,526,403,883,275,290,327,85,5614,195,327,111,80,182,55,80,101,28,1167,19,34,8,0,12,8,4,11,9,106,5,0,0,0,0,0,0,0,3,7,7546,13150,3664,3221,4943,2758,1391,1998,637,39304
SED28704,38,43,420,405,107,1044,82,608,49,2795,209,440,1044,741,451,723,245,508,88,4447,1028,2753,2324,1545,1465,742,749,873,234,11705,2022,3335,2107,1711,1964,768,915,818,269,13899,1800,2077,1560,1287,1764,713,758,714,163,10835,980,1100,897,743,1212,453,553,515,92,6536,220,260,188,116,285,107,138,141,30,1482,59,14,21,9,16,17,16,23,11,174,5,3,0,0,0,0,0,0,0,15,6359,10021,8551,6550,7265,4558,3440,4193,931,51874
SED28803,46,50,294,262,129,1052,93,599,64,2589,229,626,1067,828,707,1024,494,730,172,5880,1400,3466,2477,2001,2125,1031,1635,1427,442,16005,1944,3358,2071,2026,2068,857,1814,1217,353,15708,1240,1454,1355,1202,1394,599,1188,1095,211,9729,703,687,859,690,1077,449,894,769,115,6243,135,175,134,102,171,87,145,157,12,1121,12,13,13,0,9,6,0,4,0,64,0,0,0,0,0,0,0,0,0,0,5707,9825,8277,7103,7679,5112,6265,5996,1369,57338
SED29494,4,0,17,14,4,26,9,10,0,82,7,18,32,45,16,30,15,35,3,217,41,143,83,80,47,36,45,117,14,600,45,89,48,24,29,16,21,53,13,341,34,40,37,32,18,15,38,60,6,277,30,39,28,27,24,10,31,29,5,227,4,7,10,4,3,4,5,6,3,47,5,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,174,334,250,227,143,129,177,308,49,1797
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,15
