LGA_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
LGA26730,4635,392,69,45,9,5147,4199,199,63,20,4,4486,1538,585,226,24,3,2370,369,124,73,0,0,567,49,31,42,0,0,127,547,129,55,3,4,733,49,16,18,9,0,99,16,5,8,0,0,24,2558,893,424,35,6,3920,121,71,43,3,0,239,147,29,14,0,4,199,11658,1589,622,107,19,13993
LGA26810,7000,167,135,94,13,7410,5635,81,38,10,5,5774,1604,230,300,11,3,2137,228,65,88,0,0,379,34,16,23,0,0,79,664,25,29,4,7,736,232,5,8,18,0,268,18,3,0,0,0,28,2788,337,448,29,12,3620,368,17,16,3,0,404,297,12,20,4,6,337,16090,617,661,142,34,17538
LGA26890,918,0,6,0,4,929,327,0,0,5,0,325,38,3,0,0,0,43,3,11,6,0,0,20,0,3,0,0,0,4,111,0,3,0,0,119,43,0,3,0,0,48,0,0,0,0,0,0,198,19,10,0,0,233,114,0,0,0,0,115,34,0,0,0,0,36,1584,27,21,6,5,1643
LGA26980,17429,4147,968,0,11,22558,14558,4021,1396,6,4,19987,5696,4441,3449,9,13,13608,363,564,124,0,5,1058,93,145,99,0,5,345,1430,772,488,8,5,2711,208,120,147,0,0,479,33,42,33,0,6,102,7825,6080,4339,24,24,18291,591,693,212,0,4,1505,377,277,100,0,6,756,40779,15216,7018,29,48,63094
LGA27070,19243,1540,348,3,6,21148,30597,2586,428,3,11,33632,10948,2977,1041,4,10,14980,504,122,41,0,0,668,109,49,45,0,0,205,2000,327,114,0,8,2455,439,58,31,4,0,530,61,22,11,0,0,95,14065,3565,1279,8,18,18936,673,318,59,3,4,1054,1025,132,40,0,3,1201,65609,8132,2156,20,48,75971
LGA27170,4525,204,23,8,5,4763,5528,133,22,4,9,5691,2598,668,146,6,4,3422,591,202,53,0,0,854,45,15,6,0,0,67,583,94,17,3,0,706,249,15,0,0,0,263,20,12,0,0,0,30,4088,1010,224,13,4,5339,180,17,3,0,7,209,241,78,5,35,7,371,14559,1445,280,61,26,16372
LGA27260,14360,1399,398,33,8,16195,39898,3056,382,0,20,43354,19309,2964,852,4,17,23148,485,110,39,0,0,643,130,58,31,0,0,219,2480,372,94,11,0,2956,457,49,13,25,3,544,117,15,3,0,0,139,22980,3576,1038,36,23,27648,718,235,192,6,4,1149,1265,153,37,4,4,1472,79221,8421,2045,87,53,89823
LGA27350,2042,4312,1804,41,7,8207,1577,3933,4125,78,4,9716,987,4735,9397,162,15,15303,23,485,2515,0,0,3024,19,77,320,0,0,415,307,1243,1175,53,4,2782,10,52,46,7,5,119,5,14,43,0,0,66,1353,6605,13500,220,31,21709,67,255,273,7,0,607,45,124,228,6,5,417,5086,15229,19928,353,48,40646
LGA27450,18553,852,87,115,21,19627,26115,694,64,12,21,26908,4278,714,48,8,11,5065,260,155,10,0,0,424,85,39,18,0,0,146,1702,136,17,5,10,1864,161,11,4,62,3,244,33,9,4,0,0,47,6524,1058,96,75,27,7791,580,263,60,9,5,909,552,45,7,3,4,615,52325,2919,313,216,71,55842
LGA27630,1514,5,0,16,0,1543,591,0,0,6,0,594,134,18,3,0,0,161,12,17,0,0,0,27,10,7,0,0,0,16,167,8,4,0,0,179,41,3,5,3,0,54,0,0,0,0,0,0,373,45,14,4,0,438,86,0,0,0,0,89,64,4,0,4,0,70,2632,56,15,36,0,2740
LGA29399,42,3,23,0,0,75,9,0,9,0,0,19,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,16,6,0,11,0,3,22,0,0,0,0,0,0,18,0,23,0,7,50,4,0,4,0,0,8,3,0,0,0,0,3,80,3,64,0,8,156
LGA29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
