LGA_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
LGA22750,886,12,0,14,903,98,8,1007,9127,1387,211,49,10771,136,38,178,10946,580,22,11545,16929,2297,370,96,19690,152,36,190,19879,536,21,20438,2063,285,273,16,2639,27,0,26,2665,69,0,2731,147,20,0,154,327,5,0,4,335,4,16,361,28279,3986,854,307,33431,317,74,397,33825,1188,61,35076,153,41,17,0,212,19,0,19,232,23,0,259,485,71,3,12,570,32,11,41,609,20,0,631,633,116,19,12,779,51,13,64,839,41,0,888,28912,4104,874,318,34206,373,89,460,34664,1230,62,35954,5745,993,172,152,7063,130,41,167,7231,1123,23,8373,43,4,0,20,67,0,0,0,67,3,85,159,34693,5104,1047,493,41340,497,128,628,41966,2352,165,44490
LGA22830,120,3,0,3,118,28,0,154,2382,324,40,11,2760,35,21,51,2811,126,6,2947,3563,492,84,19,4155,34,18,49,4208,141,5,4347,358,71,77,6,514,0,0,5,513,28,5,544,32,6,0,63,99,0,0,0,102,10,4,111,6337,895,196,99,7526,72,37,104,7633,303,16,7947,46,0,0,0,46,3,5,14,59,10,0,71,56,17,0,5,76,9,5,16,90,25,0,114,107,17,0,5,126,16,11,25,152,34,0,186,6438,914,196,97,7651,87,45,136,7787,332,16,8138,1462,378,60,55,1956,122,51,169,2128,992,16,3138,18,8,0,17,46,0,0,0,46,0,63,106,7920,1295,260,173,9654,209,94,306,9959,1331,91,11382
LGA22910,14,0,0,0,14,0,0,18,370,78,0,7,451,10,8,11,468,19,3,486,668,199,11,9,886,3,0,6,897,54,0,946,85,28,10,0,126,0,0,0,127,4,0,131,14,0,0,9,32,0,0,0,32,0,0,32,1140,296,22,30,1493,18,7,25,1515,76,3,1595,9,0,0,0,8,3,0,3,13,0,0,13,10,8,0,0,12,0,0,0,12,0,0,12,15,14,0,0,27,3,0,3,28,0,0,28,1157,308,22,30,1516,21,7,25,1545,76,3,1620,278,74,9,7,370,5,0,5,374,55,0,425,0,0,0,6,6,0,0,0,6,0,0,5,1426,381,36,45,1885,28,7,32,1920,130,4,2051
LGA22980,7,0,0,0,7,0,0,7,128,11,5,0,141,0,0,0,143,7,0,145,300,24,0,0,320,0,3,3,327,8,0,338,47,0,0,0,45,0,0,0,45,0,0,45,3,0,0,8,7,0,0,0,7,0,0,7,476,34,5,8,517,0,8,8,523,21,0,537,3,0,0,0,3,3,0,3,3,0,0,3,10,0,0,0,10,0,0,0,10,0,0,10,6,0,0,0,6,3,0,3,12,0,0,12,483,34,5,8,527,3,8,10,532,21,0,546,165,13,4,3,184,3,0,6,189,56,3,242,0,0,0,0,0,0,0,0,0,0,5,5,644,48,9,11,702,10,7,14,721,72,10,799
LGA23110,467,12,0,17,478,79,3,557,4509,542,81,13,5138,87,22,110,5247,233,6,5486,5043,723,95,16,5878,54,10,65,5947,224,3,6175,781,89,101,6,971,15,0,15,985,26,0,1013,42,9,0,54,106,4,0,4,110,0,13,125,10381,1359,275,86,12095,163,36,195,12289,479,26,12793,99,21,0,3,119,28,0,28,151,11,0,160,173,34,9,0,210,5,0,11,222,6,3,230,267,55,8,3,328,33,0,32,367,18,3,389,10643,1416,286,87,12424,197,31,227,12656,501,32,13183,2239,534,120,74,2967,112,27,139,3105,599,12,3726,8,6,0,17,31,0,0,0,31,7,50,85,12891,1950,404,180,15427,311,56,366,15794,1107,89,16984
LGA23190,22,0,0,0,22,3,0,26,718,73,17,6,808,0,0,0,808,33,0,841,1328,147,23,19,1516,9,3,9,1530,42,3,1568,155,14,7,0,183,0,0,0,183,0,0,185,9,0,0,13,25,0,0,0,25,0,0,26,2210,240,47,35,2521,15,3,16,2538,76,3,2618,3,4,0,0,7,0,0,0,7,0,0,11,22,7,0,0,29,0,4,5,33,0,0,33,28,12,0,0,37,0,4,5,39,0,0,48,2235,247,47,35,2565,10,5,24,2584,78,3,2662,392,60,28,7,489,0,0,4,495,71,0,567,3,3,0,6,14,0,0,0,14,0,3,15,2626,316,73,44,3061,20,8,30,3087,154,10,3247
LGA23270,1360,61,34,93,1454,551,10,2010,8874,1313,151,62,10397,259,74,340,10733,795,29,11554,11033,2255,260,121,13667,288,89,376,14039,749,37,14829,1507,292,168,24,1997,31,5,35,2032,102,8,2141,180,43,4,240,469,16,0,16,485,58,58,608,21592,3898,587,446,26528,599,167,767,27291,1707,129,29131,429,139,13,26,601,137,20,157,757,70,0,829,768,258,11,30,1069,137,85,216,1288,160,9,1453,1192,398,27,57,1670,273,102,367,2042,232,9,2285,22789,4295,609,503,28196,871,269,1140,29337,1939,140,31407,9768,4255,441,578,15042,851,351,1202,16240,6838,114,23189,99,61,4,178,340,3,0,3,340,47,274,657,32656,8613,1051,1256,43575,1718,621,2337,45909,8816,530,55256
LGA23350,21,0,0,0,19,0,0,26,761,73,19,8,862,0,0,0,861,38,0,899,1083,163,29,5,1286,0,3,3,1284,29,3,1320,130,11,11,0,161,0,0,0,161,3,0,163,11,0,0,17,28,0,0,0,28,3,0,31,1987,249,65,24,2333,0,3,6,2337,73,3,2413,18,0,0,0,16,0,0,0,23,3,0,20,15,10,0,0,22,0,0,0,22,4,0,27,33,6,0,0,42,0,0,0,42,6,0,50,2021,257,65,24,2371,8,3,8,2378,81,3,2466,284,40,15,0,347,0,0,3,345,40,0,383,0,0,0,5,5,0,0,0,5,0,4,10,2308,298,81,32,2713,7,3,13,2726,116,10,2857
LGA23430,969,10,6,24,987,129,3,1115,8000,943,155,20,9111,142,29,172,9284,370,13,9665,10344,1243,202,54,11842,103,22,130,11971,338,6,12322,1337,153,149,15,1657,17,4,21,1678,51,0,1729,98,5,6,89,203,0,0,0,203,3,22,226,19778,2346,517,177,22822,260,57,321,23135,763,46,23941,168,12,3,0,187,8,0,8,200,13,0,212,288,44,8,5,343,10,11,19,358,20,0,385,460,56,10,4,527,20,11,29,560,34,0,593,20237,2401,525,181,23346,281,67,351,23699,797,44,24538,3422,477,94,79,4071,73,16,96,4165,545,9,4717,28,7,0,37,71,0,0,0,71,0,57,131,23686,2884,624,297,27489,351,87,443,27935,1345,105,29382
LGA23670,1188,27,0,28,1220,133,0,1355,7531,901,112,21,8567,106,35,138,8709,352,15,9070,10108,1445,162,56,11766,110,40,151,11922,352,5,12274,1187,152,174,9,1524,9,8,17,1540,56,0,1595,95,17,3,129,245,0,0,0,247,14,19,279,18919,2521,450,212,22107,222,83,309,22416,769,37,23224,205,28,0,0,233,17,0,17,244,6,0,251,322,53,8,3,392,23,8,30,420,12,3,441,528,82,13,3,623,32,8,42,667,22,3,689,19447,2601,463,219,22730,258,95,350,23081,796,42,23916,4146,668,131,73,5023,77,14,88,5114,688,3,5805,37,6,0,45,84,0,0,0,82,3,50,143,23629,3272,592,337,27838,334,104,438,28278,1484,98,29858
LGA23810,119,0,0,0,122,13,0,139,2022,282,43,13,2366,41,12,55,2424,122,0,2543,3776,481,86,42,4390,78,20,99,4487,192,6,4683,518,62,53,9,650,12,0,16,659,28,0,689,44,4,8,40,97,3,0,3,102,4,11,116,6362,836,191,108,7495,134,32,172,7664,350,23,8040,40,15,0,7,64,9,0,9,76,7,0,86,100,10,6,5,121,19,3,26,147,4,0,156,141,28,4,10,191,25,3,36,222,15,0,244,6500,861,199,119,7684,165,38,202,7886,363,28,8279,1387,244,56,70,1755,80,25,109,1863,458,24,2348,23,4,0,7,34,0,0,0,34,3,42,79,7910,1110,259,197,9472,246,69,315,9788,828,92,10707
LGA23940,10,0,0,0,10,0,0,10,210,5,3,5,229,0,0,0,225,12,0,239,402,49,0,12,464,0,0,0,464,7,0,475,41,9,13,0,63,0,0,0,63,0,0,63,13,0,0,12,27,0,0,0,27,3,0,32,671,64,16,28,777,0,0,0,778,22,0,805,0,0,0,0,0,0,0,0,0,3,0,3,3,5,0,0,8,0,0,0,8,3,0,13,5,5,0,0,10,0,0,0,13,8,0,25,674,66,16,28,787,0,0,6,787,33,0,828,123,22,4,8,160,7,0,7,164,52,0,214,4,0,0,5,9,0,0,0,9,0,9,18,804,89,24,45,954,11,0,14,961,86,9,1056
LGA24130,181,0,4,3,189,21,0,206,2605,278,93,20,2999,32,4,38,3033,149,6,3187,3989,554,81,39,4650,37,11,41,4696,94,0,4797,464,76,52,9,601,3,0,3,600,13,0,615,56,7,6,40,107,4,0,4,109,0,0,110,7111,917,229,107,8355,66,13,86,8442,259,9,8709,33,3,5,0,40,0,0,0,41,3,0,45,90,9,0,0,98,8,0,10,108,0,0,109,126,9,5,0,134,12,0,12,147,7,0,156,7235,924,227,107,8497,79,17,98,8587,265,9,8866,1249,160,41,49,1498,12,13,26,1528,111,5,1647,19,0,0,3,20,0,0,0,20,0,16,37,8501,1084,270,155,10017,94,27,123,10140,379,31,10551
LGA24210,1176,31,16,42,1218,173,0,1390,6104,716,109,22,6949,134,29,160,7107,416,8,7529,6934,1403,146,38,8524,90,49,142,8667,355,6,9034,629,116,116,4,866,12,4,12,878,52,4,932,51,18,4,83,163,5,0,5,164,4,16,182,13718,2251,372,150,16495,239,80,323,16813,821,39,17677,155,23,6,3,189,18,4,21,204,23,0,227,244,38,4,12,301,45,16,57,359,32,0,387,401,63,8,14,480,64,21,79,560,58,0,618,14120,2310,379,163,16977,297,102,399,17376,874,39,18288,3546,714,100,75,4434,145,44,186,4618,766,15,5399,33,15,0,30,72,0,0,0,73,0,48,119,17698,3032,481,270,21478,443,138,589,22071,1640,102,23813
LGA24250,3,0,0,0,3,0,0,6,301,41,12,3,359,0,0,0,356,29,3,387,551,94,24,6,673,0,0,0,674,35,0,707,38,14,10,0,58,0,0,0,58,0,0,58,4,6,0,17,25,0,0,0,25,0,0,25,886,159,39,24,1114,6,0,6,1118,61,3,1181,0,0,0,0,0,0,0,0,5,0,0,5,5,0,0,0,5,0,0,0,5,0,0,5,3,0,0,0,3,0,0,0,5,0,0,5,892,159,39,24,1116,6,0,6,1128,61,3,1193,121,19,6,0,147,3,0,3,150,23,0,169,5,0,0,0,5,0,0,0,5,0,4,9,1015,180,42,27,1265,9,0,9,1278,85,5,1363
LGA24330,311,5,8,19,329,70,0,394,3579,539,73,13,4204,66,23,87,4297,243,3,4538,3537,696,61,14,4317,38,25,62,4384,187,6,4576,611,81,109,5,800,7,5,19,824,23,0,843,19,8,3,23,54,0,0,0,49,4,0,56,7751,1325,254,52,9374,115,60,170,9551,460,15,10015,74,34,9,0,110,14,0,19,127,13,0,135,127,40,8,4,181,11,11,19,197,17,0,216,200,70,20,4,292,28,11,33,329,26,0,355,7946,1392,275,55,9663,141,67,211,9875,485,15,10369,1577,345,72,37,2034,48,22,74,2104,426,22,2550,16,7,0,14,37,0,4,5,40,4,25,70,9542,1744,346,111,11733,186,96,285,12016,909,57,12992
LGA24410,622,3,0,6,635,77,7,718,5009,590,106,11,5723,75,23,93,5815,279,6,6105,8327,1003,139,26,9497,74,10,88,9578,239,13,9825,1003,108,108,15,1224,8,0,9,1230,35,3,1268,54,3,0,70,123,0,0,0,124,5,11,142,14390,1695,347,122,16559,152,40,188,16746,552,36,17335,95,10,3,6,112,8,3,8,124,9,0,132,249,19,0,6,275,9,9,15,291,18,0,306,341,29,3,15,386,18,15,30,416,31,0,441,14732,1724,353,139,16945,168,50,213,17156,584,36,17780,3157,402,62,60,3681,62,14,75,3752,451,12,4219,23,5,0,26,48,0,0,0,48,0,55,105,17905,2131,412,218,20669,225,62,288,20963,1033,109,22101
LGA24600,170,10,3,10,185,44,0,225,2288,306,50,6,2653,75,7,79,2730,175,7,2910,1718,468,36,10,2230,34,12,40,2275,108,3,2380,382,73,69,0,528,10,0,10,539,12,0,552,5,4,0,24,40,0,0,0,43,9,4,56,4401,849,166,41,5450,120,12,136,5587,306,15,5903,129,9,5,0,147,17,8,18,162,12,0,172,127,19,0,0,144,16,24,35,183,29,0,213,256,31,5,0,291,27,28,59,350,40,0,387,4655,878,169,41,5745,148,44,191,5932,339,15,6289,1386,331,72,49,1847,72,18,91,1938,442,0,2383,12,4,3,18,38,0,0,0,38,0,12,50,6049,1220,243,106,7624,226,63,286,7904,781,31,8717
LGA24650,1016,30,6,32,1053,163,4,1224,9447,1177,194,60,10887,219,73,292,11183,596,28,11800,10006,1882,240,116,12246,185,43,231,12478,617,21,13114,1450,210,161,28,1848,30,0,34,1883,72,11,1968,157,16,9,193,379,6,3,8,387,27,49,462,21063,3298,610,397,25357,447,120,566,25923,1310,109,27346,382,107,9,23,519,98,4,104,628,61,6,691,648,165,30,19,858,59,23,87,944,46,4,996,1029,268,36,43,1379,161,27,190,1566,112,11,1689,22093,3563,644,434,26739,605,148,750,27490,1422,112,29032,7591,1863,283,325,10060,370,82,445,10503,1977,60,12541,80,28,0,121,230,0,0,0,230,26,214,465,29759,5457,926,884,37020,977,228,1203,38227,3427,383,42035
LGA24780,70,0,0,0,75,8,0,84,2053,254,42,8,2358,26,6,38,2390,118,5,2511,2579,380,50,38,3044,41,12,60,3102,117,14,3228,301,58,40,9,402,0,0,0,402,26,0,429,32,7,0,69,108,0,0,0,107,21,4,133,4970,694,130,117,5915,72,23,91,6006,276,21,6304,22,4,0,0,27,32,0,32,56,15,0,70,45,13,8,8,73,6,9,15,83,16,0,102,65,16,8,7,96,43,9,46,143,26,0,174,5034,714,141,123,6010,115,24,137,6146,309,21,6472,1088,211,30,47,1385,51,15,62,1446,431,14,1884,17,3,0,7,33,0,0,0,33,6,49,89,6143,927,170,185,7420,164,39,197,7621,743,79,8448
LGA24850,137,0,0,0,137,18,0,155,2111,215,71,32,2429,20,9,33,2459,135,8,2602,2878,331,52,32,3295,20,9,28,3332,111,4,3443,418,47,53,5,520,6,0,6,527,31,0,557,44,13,0,38,93,4,0,4,100,7,11,111,5451,605,176,107,6335,55,17,69,6408,288,13,6710,61,4,4,0,70,15,0,15,77,7,0,86,126,14,3,12,161,3,0,3,165,15,0,179,187,26,8,12,230,16,0,16,250,18,0,260,5641,630,183,119,6564,70,17,88,6655,297,13,6972,1520,236,64,78,1900,35,4,42,1945,287,4,2234,7,0,0,13,24,0,0,0,24,0,21,50,7170,874,244,207,8494,103,25,135,8626,584,41,9252
LGA24900,26,0,0,0,26,0,0,36,1014,81,33,13,1147,0,3,3,1149,33,0,1187,1601,159,16,13,1790,10,5,13,1799,57,5,1862,193,12,23,4,233,0,0,0,235,3,0,242,46,0,0,20,72,0,0,0,72,0,5,73,2851,254,75,50,3235,15,6,15,3252,99,6,3362,12,0,0,0,12,3,0,3,20,4,0,17,42,10,7,0,57,0,4,7,57,0,0,61,52,12,7,0,68,3,4,7,76,3,0,84,2910,270,84,53,3306,17,7,26,3331,102,13,3443,437,96,12,13,564,36,0,37,601,172,0,770,6,0,0,5,7,0,0,0,7,0,23,32,3349,366,96,70,3878,52,16,69,3944,271,32,4248
LGA24970,1512,31,12,48,1553,255,0,1816,10245,1188,157,45,11638,223,48,270,11908,552,14,12476,8987,1863,146,40,11037,110,33,139,11174,450,10,11647,1127,169,141,6,1440,5,0,7,1450,64,0,1516,90,11,0,118,221,3,3,8,226,17,34,277,20444,3236,451,210,24337,343,85,426,24764,1089,62,25914,338,45,10,0,387,45,7,49,438,28,0,462,428,80,9,8,527,26,13,42,570,31,0,596,765,122,14,9,913,76,25,92,1007,54,0,1061,21214,3358,463,217,25252,414,106,522,25768,1147,62,26975,4418,967,136,98,5616,124,60,178,5799,968,22,6786,37,7,0,66,108,0,0,0,110,6,70,183,25666,4334,599,381,30974,537,169,700,31679,2119,153,33953
LGA25060,868,10,0,19,888,98,3,984,6239,683,138,13,7068,105,26,129,7195,271,13,7481,7234,903,116,46,8305,87,21,111,8421,227,7,8655,949,115,110,4,1177,9,5,10,1193,28,4,1219,92,3,4,75,174,0,0,0,174,11,8,194,14516,1706,364,143,16725,206,54,256,16981,538,32,17551,124,20,6,4,154,15,0,20,173,8,0,176,172,36,8,0,213,6,17,26,240,17,0,252,295,57,6,3,369,23,18,43,407,21,0,432,14809,1762,371,145,17093,230,72,297,17394,560,29,17986,2680,417,84,51,3229,42,31,78,3299,433,14,3757,28,0,0,32,61,4,0,4,67,5,60,127,17517,2184,454,227,20382,274,99,375,20761,1001,110,21866
LGA25150,113,0,0,3,118,13,0,135,1677,216,52,19,1958,19,3,22,1979,119,0,2099,2354,248,57,26,2691,13,4,17,2705,65,6,2770,338,36,46,4,429,8,0,8,433,14,0,453,59,0,5,51,109,4,0,4,114,10,11,134,4424,503,153,100,5186,33,8,42,5232,208,19,5454,34,4,3,4,50,11,0,11,61,0,0,61,79,9,0,0,88,4,0,4,93,5,0,106,114,16,3,4,144,9,0,14,157,5,0,165,4544,523,162,105,5328,46,6,56,5383,214,19,5616,1057,99,41,46,1246,13,6,25,1267,126,9,1405,3,3,5,9,21,0,0,0,21,0,24,39,5601,621,205,162,6594,65,15,78,6673,343,54,7061
LGA25250,702,15,6,21,722,137,0,868,6008,942,114,8,7072,148,29,177,7252,430,6,7687,7673,1425,179,52,9327,152,29,186,9511,372,27,9911,1255,185,153,16,1610,9,3,12,1623,35,6,1665,92,15,5,81,195,0,0,0,195,12,14,220,15030,2567,459,158,18208,310,61,371,18584,845,48,19478,163,31,4,0,198,21,5,25,224,12,3,236,282,59,7,0,351,25,8,39,386,32,3,423,448,92,17,4,548,48,13,59,606,46,9,659,15474,2658,469,156,18759,357,75,429,19191,889,61,20138,3934,1241,153,135,5464,181,55,237,5702,1176,27,6906,35,18,0,40,98,0,0,0,98,8,87,193,19436,3926,626,335,24314,539,136,669,24991,2080,176,27240
LGA25340,646,0,0,0,650,54,3,704,5664,767,140,27,6597,55,17,73,6671,354,15,7041,10401,1325,200,111,12036,69,9,80,12115,351,19,12485,1264,201,188,15,1667,0,0,3,1677,51,0,1721,130,16,8,114,273,10,0,10,285,17,15,309,17450,2312,540,271,20576,136,30,167,20739,769,46,21554,63,10,4,4,77,11,0,10,89,11,0,99,213,22,8,8,253,6,0,6,258,10,0,270,281,31,11,9,328,18,0,21,351,22,0,374,17731,2343,549,280,20906,148,28,183,21087,793,46,21925,3294,452,154,89,3987,49,12,61,4052,515,10,4578,19,11,0,23,53,0,0,0,53,9,90,154,21050,2807,704,390,24948,199,44,244,25191,1315,153,26659
LGA25430,23,0,0,0,23,5,0,29,378,121,6,6,514,3,7,9,528,52,0,579,842,280,34,13,1165,8,0,9,1173,66,0,1244,93,33,10,0,137,0,0,0,137,7,0,132,6,0,0,12,22,0,0,0,22,0,0,30,1321,435,56,30,1837,11,10,20,1859,126,0,1989,7,7,0,0,14,0,0,0,14,0,0,14,12,7,0,0,18,0,0,0,18,0,0,18,21,13,0,0,31,0,0,0,31,0,0,31,1341,443,60,30,1869,11,10,20,1890,126,0,2019,254,75,26,12,370,7,0,8,379,50,0,427,6,0,0,0,5,0,0,0,5,0,6,15,1597,520,82,49,2247,18,11,29,2277,177,9,2460
LGA25490,28,0,0,0,28,0,0,27,711,85,21,3,823,4,0,4,828,22,0,849,1296,150,22,17,1489,4,0,10,1493,32,5,1528,152,11,23,10,192,0,0,0,192,9,0,196,28,3,0,30,60,0,0,0,60,0,0,61,2186,244,64,65,2560,8,0,8,2572,61,5,2635,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,18,0,0,0,18,0,0,18,17,10,0,0,22,0,0,0,22,0,0,22,2204,253,64,65,2584,8,0,8,2592,61,5,2656,318,54,0,25,393,4,0,4,396,55,3,460,5,0,0,0,5,0,0,0,5,0,5,12,2525,309,61,85,2983,12,0,12,2994,117,11,3126
LGA25620,18,0,0,0,19,3,0,24,437,35,0,0,479,3,0,3,482,24,0,501,668,117,27,8,818,8,4,9,831,20,0,851,107,20,18,0,148,0,0,0,148,6,0,157,7,7,0,13,27,0,0,0,27,0,0,28,1220,181,51,25,1474,11,4,15,1489,48,3,1539,6,0,0,0,14,0,0,0,14,4,0,15,18,4,0,3,22,0,0,0,22,10,0,29,26,4,0,3,33,0,0,0,33,10,0,41,1247,183,53,27,1509,11,4,15,1522,59,3,1586,225,49,18,4,311,8,0,8,322,58,0,380,4,0,0,0,4,0,0,0,4,0,0,6,1477,237,76,34,1826,14,4,22,1844,122,4,1977
LGA25710,549,3,0,7,560,50,0,605,3705,359,73,16,4153,44,9,50,4206,174,3,4384,5352,679,78,23,6139,27,13,39,6176,133,8,6318,598,72,64,5,736,0,0,0,740,19,0,757,37,4,0,39,78,0,0,0,82,8,4,91,9686,1114,217,87,11108,73,21,93,11208,334,10,11551,35,18,0,0,49,3,0,3,55,0,0,55,139,13,9,0,156,9,0,9,165,8,0,168,174,26,9,0,203,9,0,9,214,8,0,224,9858,1145,220,87,11311,85,21,108,11421,340,10,11778,1701,181,56,24,1961,11,3,10,1976,134,7,2117,11,4,0,7,23,0,0,0,23,0,34,53,11574,1329,276,119,13296,100,27,120,13418,471,53,13943
LGA25810,13,0,0,0,13,0,0,11,324,33,5,0,370,0,0,0,373,13,0,388,516,74,8,3,606,0,0,0,607,17,0,624,71,10,19,0,97,0,0,0,97,7,0,105,4,0,0,9,12,0,0,0,12,0,0,15,914,118,38,10,1085,0,0,5,1090,46,3,1132,0,3,0,0,3,0,0,0,3,0,0,5,5,0,5,0,9,5,0,5,14,0,0,19,5,5,5,0,10,5,0,5,16,3,0,20,919,127,44,10,1099,5,0,9,1105,45,3,1153,193,51,16,11,266,3,0,3,273,56,0,337,3,0,0,0,3,0,0,0,3,0,9,6,1117,175,58,23,1368,15,0,17,1379,109,11,1497
LGA25900,276,4,11,10,287,44,0,327,3336,381,52,10,3781,78,25,93,3872,219,0,4095,3245,546,51,19,3859,51,7,62,3915,128,7,4055,542,92,49,9,697,7,0,15,704,21,4,730,46,4,0,32,79,0,0,0,79,0,0,83,7167,1024,153,64,8415,136,30,166,8577,370,16,8962,78,7,0,0,86,13,0,15,98,5,0,110,89,18,0,0,108,3,5,12,113,8,0,119,166,23,0,6,192,21,3,23,217,15,0,225,7341,1051,153,67,8607,153,28,187,8792,382,16,9189,1461,227,44,24,1760,43,3,46,1810,218,4,2025,12,7,0,13,28,0,0,0,28,0,32,60,8804,1279,202,102,10398,201,30,231,10624,599,47,11275
LGA25990,9,0,0,0,9,3,0,11,245,23,0,0,264,0,0,0,264,8,0,272,320,39,12,6,372,4,0,4,370,4,0,380,52,0,6,0,60,7,0,7,65,0,0,65,0,0,0,3,3,0,0,0,3,0,0,3,608,60,13,16,698,8,0,8,706,18,0,721,0,6,0,0,4,0,0,0,4,0,0,4,0,0,0,0,3,0,0,0,3,0,0,3,7,6,0,0,16,0,0,0,16,0,0,16,614,65,13,12,714,8,0,8,712,18,0,735,121,25,10,11,166,0,0,0,171,46,0,217,0,0,0,0,0,0,0,0,0,0,3,8,734,88,28,28,877,7,0,10,886,61,3,951
