LGA_CODE_2021,MOL_SAL_Filipin_UOLSE_NWorNAA,MOL_SAL_Filipin_UOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_UOLSE_VWorW,MOL_SAL_Indon_UOLSE_NWorNAA,MOL_SAL_Indon_UOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_UOLSE_VWorW,MOL_SAL_Tagalog_UOLSE_NWorNAA,MOL_SAL_Tagalog_UOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_UOLSE_VWorW,MOL_SAL_Oth_UOLSE_NWorNAA,MOL_SAL_Oth_UOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_UOLSE_VWorW,MOL_SAL_Tot_UOLSE_NWorNAA,MOL_SAL_Tot_UOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_UOLSE_VWorW,MOL_Spanish_UOLSE_NWorNAA,MOL_Spanish_UOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_UOLSE_VWorW,MOL_Tamil_UOLSE_NWorNAA,MOL_Tamil_UOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_UOLSE_VWorW,MOL_Thai_UOLSE_NWorNAA,MOL_Thai_UOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_UOLSE_VWorW,MOL_Turkish_UOLSE_NWorNAA,MOL_Turkish_UOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_UOLSE_VWorW,MOL_Vietnamese_UOLSE_NWorNAA,MOL_Vietnamese_UOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_UOLSE_VWorW,MOL_Oth_UOLSE_NWorNAA,MOL_Oth_UOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_UOLSE_VWorW,MOL_Tot_UOLSE_NWorNAA,MOL_Tot_UOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LUatH_NS_SEO,M_LUatH_NS_UOLSE_VWorW,M_LUatH_NS_UOLSE_NWorNAA,M_LUatH_NS_UOLSE_Tot,M_LUatH_NS_NS,M_LUatH_NS_Tot,M_Tot_SEO,M_Tot_UOLSE_VWorW,M_Tot_UOLSE_NWorNAA,M_Tot_UOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_UOLSE_VWorW,FSEO_UOLSE_NWorNAA,FSEO_UOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_UOLSE_VWorW,FOL_Afrikaans_UOLSE_NWorNAA,FOL_Afrikaans_UOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_UOLSE_VWorW,FOL_Arabic_UOLSE_NWorNAA,FOL_Arabic_UOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_UOLSE_VWorW,FOL_AIndLng_UOLSE_NWorNAA,FOL_AIndLng_UOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Canton_SEO,FOL_CL_Canton_UOLSE_VWorW,FOL_CL_Canton_UOLSE_NWorNAA,FOL_CL_Canton_UOLSE_Tot,FOL_CL_Canton_NS,FOL_CL_Canton_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_UOLSE_VWorW,FOL_CL_Mandarin_UOLSE_NWorNAA,FOL_CL_Mandarin_UOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_UOLSE_VWorW,FOL_CL_Oth_UOLSE_NWorNAA,FOL_CL_Oth_UOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_UOLSE_VWorW,FOL_CL_Tot_UOLSE_NWorNAA,FOL_CL_Tot_UOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_UOLSE_VWorW,FOL_Croatian_UOLSE_NWorNAA,FOL_Croatian_UOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_French_SEO,FOL_French_UOLSE_VWorW,FOL_French_UOLSE_NWorNAA,FOL_French_UOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_UOLSE_VWorW,FOL_German_UOLSE_NWorNAA,FOL_German_UOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_UOLSE_VWorW,FOL_Greek_UOLSE_NWorNAA,FOL_Greek_UOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_UOLSE_VWorW,FOL_IAL_Bengali_UOLSE_NWorNAA,FOL_IAL_Bengali_UOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Guj_SEO,FOL_IAL_Guj_UOLSE_VWorW,FOL_IAL_Guj_UOLSE_NWorNAA,FOL_IAL_Guj_UOLSE_Tot,FOL_IAL_Guj_NS,FOL_IAL_Guj_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_UOLSE_VWorW,FOL_IAL_Hindi_UOLSE_NWorNAA,FOL_IAL_Hindi_UOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Nepali_SEO,FOL_IAL_Nepali_UOLSE_VWorW,FOL_IAL_Nepali_UOLSE_NWorNAA,FOL_IAL_Nepali_UOLSE_Tot,FOL_IAL_Nepali_NS,FOL_IAL_Nepali_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_UOLSE_VWorW,FOL_IAL_Punjabi_UOLSE_NWorNAA,FOL_IAL_Punjabi_UOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhal_SEO,FOL_IAL_Sinhal_UOLSE_VWorW,FOL_IAL_Sinhal_UOLSE_NWorNAA,FOL_IAL_Sinhal_UOLSE_Tot,FOL_IAL_Sinhal_NS,FOL_IAL_Sinhal_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_UOLSE_VWorW,FOL_IAL_Urdu_UOLSE_NWorNAA,FOL_IAL_Urdu_UOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_UOLSE_VWorW,FOL_IAL_Oth_UOLSE_NWorNAA,FOL_IAL_Oth_UOLSE_Tot
LGA23430,3,167,0,167,..,87,3,97,3,95,..,229,5,227,4,231,..,93,8,96,0,96,..,568,21,585,3,592,..,485,47,533,8,547,..,364,5,370,4,377,..,101,29,128,0,128,..,317,62,380,0,382,..,629,165,793,3,801,..,1744,191,1936,43,1980,..,16563,2684,19247,201,19449,..,270,39,307,2408,2715,54487,16835,2718,19555,2610,76656,57053,..,..,..,..,57053,..,135,4,136,0,136,..,460,88,550,0,550,..,0,0,0,0,0,..,665,222,880,8,887,..,2127,809,2941,21,2959,..,196,112,307,0,307,..,2988,1141,4127,30,4158,..,247,35,275,0,279,..,390,17,402,8,410,..,275,4,279,3,278,..,2727,739,3466,38,3502,..,121,10,129,0,129,..,250,26,277,3,278,..,688,32,717,0,722,..,119,7,128,0,125,..,382,29,409,6,415,..,307,12,322,0,317,..,99,11,105,0,105,..,140,10,152
LGA23670,5,205,4,211,..,284,16,299,5,301,..,258,11,265,3,270,..,126,6,125,0,125,..,862,30,900,9,909,..,299,32,333,4,335,..,710,24,732,6,732,..,91,8,91,0,92,..,78,15,89,0,89,..,476,126,601,4,602,..,1410,247,1657,52,1702,..,18638,2913,21552,236,21788,..,254,40,291,2211,2506,53648,18890,2949,21843,2445,77940,54509,..,..,..,..,54509,..,99,0,99,0,99,..,525,59,582,4,584,..,7,3,8,0,8,..,2215,672,2886,25,2910,..,4456,1558,6014,79,6092,..,345,78,426,3,423,..,7018,2306,9321,104,9426,..,129,15,142,0,142,..,145,3,155,0,155,..,444,14,456,3,466,..,744,105,850,3,853,..,97,9,105,0,105,..,432,47,477,6,483,..,709,34,746,3,748,..,119,13,132,4,137,..,475,36,510,3,513,..,1266,84,1350,6,1359,..,148,11,157,0,157,..,220,7,228
LGA23810,8,61,0,58,..,15,0,15,0,20,..,66,3,65,0,69,..,11,4,17,0,17,..,150,13,161,0,168,..,55,10,67,0,67,..,21,0,22,0,22,..,21,7,26,0,26,..,10,0,10,0,10,..,51,13,60,5,62,..,495,100,598,13,618,..,2033,296,2328,38,2369,..,112,16,135,2719,2850,32599,2151,314,2463,2756,37817,33905,..,..,..,..,33905,..,29,0,30,0,30,..,53,11,63,3,70,..,11,0,11,0,11,..,39,21,59,0,64,..,139,38,170,0,170,..,5,7,13,0,13,..,177,59,237,0,240,..,30,5,35,0,35,..,31,0,31,0,31,..,89,0,95,0,95,..,123,31,152,0,154,..,15,0,23,0,23,..,4,0,9,0,9,..,45,3,49,0,49,..,20,0,22,0,22,..,69,7,77,0,77,..,51,0,51,0,51,..,34,9,38,0,38,..,9,0,9
LGA23940,0,29,0,29,..,0,0,0,0,0,..,16,0,11,0,11,..,13,0,13,0,13,..,48,5,52,0,52,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,14,0,14,0,14,..,105,3,106,0,106,..,6,0,6,418,428,3395,108,3,117,418,3923,3299,..,..,..,..,3299,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,4,4,0,4,..,0,0,0,0,0,..,0,4,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
LGA24130,0,15,0,15,..,9,0,9,0,9,..,20,0,20,0,20,..,3,3,9,0,9,..,40,3,45,0,45,..,61,3,60,0,60,..,4,0,4,0,4,..,14,0,14,0,14,..,22,0,22,0,22,..,12,4,14,0,14,..,197,17,217,0,212,..,954,110,1065,9,1070,..,47,3,45,1231,1279,23000,1000,111,1111,1240,25353,23535,..,..,..,..,23535,..,29,0,29,0,29,..,26,4,33,0,33,..,10,0,10,0,10,..,14,9,20,0,20,..,57,27,84,3,85,..,7,0,7,0,7,..,82,34,110,3,110,..,35,4,38,0,40,..,71,0,67,0,70,..,92,4,90,0,95,..,65,6,74,5,79,..,7,0,7,0,7,..,3,0,3,0,3,..,14,0,17,0,17,..,7,0,12,0,12,..,32,6,34,5,36,..,4,0,4,0,4,..,5,0,5,0,3,..,0,0,0
LGA24210,0,53,0,58,..,221,15,234,0,232,..,72,0,72,0,69,..,63,0,60,0,62,..,408,13,423,4,426,..,211,12,224,7,225,..,207,7,218,0,218,..,38,5,43,0,43,..,117,25,141,0,141,..,315,50,368,4,370,..,874,110,988,39,1026,..,22764,4104,26866,263,27126,..,215,37,249,1578,1825,31371,22976,4139,27114,1839,60324,31821,..,..,..,..,31821,..,119,0,119,0,119,..,1067,96,1164,0,1163,..,0,0,0,0,0,..,4325,1227,5555,46,5596,..,6727,2455,9177,81,9264,..,368,108,473,4,478,..,11416,3787,15208,129,15332,..,171,12,189,0,191,..,94,0,94,0,94,..,177,3,180,0,180,..,3067,571,3640,20,3661,..,58,5,65,0,65,..,121,8,129,0,129,..,502,25,531,0,531,..,23,0,23,0,23,..,270,22,296,0,296,..,220,9,229,0,229,..,281,22,300,0,302,..,99,3,106
LGA24250,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,9,0,9,0,9,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,11,0,11,0,11,..,25,6,31,0,31,..,162,13,183,3,184,..,8,0,8,362,373,4456,178,13,194,368,5012,4553,..,..,..,..,4553,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,3,9,0,9,..,41,4,42,0,42,..,0,0,0,0,0,..,40,8,51,0,51,..,11,0,11,0,7,..,13,0,13,0,13,..,40,0,40,0,40,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,4,0,4,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,7,0,8,0,7,..,0,0,0
LGA24330,3,130,5,132,..,122,14,132,0,129,..,238,8,242,5,243,..,47,10,54,0,54,..,529,28,558,7,564,..,674,84,753,11,760,..,123,3,134,0,134,..,67,11,81,0,81,..,155,27,179,0,179,..,3427,1110,4541,41,4583,..,1988,266,2247,49,2293,..,12938,2743,15673,171,15849,..,187,42,233,2204,2430,24434,13121,2781,15905,2373,42713,23808,..,..,..,..,23808,..,13,0,13,0,13,..,292,57,346,6,349,..,15,0,15,0,15,..,879,426,1308,10,1310,..,791,286,1075,8,1092,..,128,38,170,0,170,..,1790,761,2549,18,2570,..,199,52,246,0,246,..,117,3,121,8,126,..,125,3,129,8,126,..,640,220,865,0,869,..,173,26,201,3,204,..,114,13,134,0,133,..,228,19,247,0,245,..,222,12,231,7,234,..,118,7,119,3,121,..,58,0,58,0,62,..,143,19,157,6,166,..,45,0,47
LGA24410,5,73,0,76,..,100,0,99,0,99,..,91,6,94,0,97,..,35,3,35,0,35,..,290,16,302,0,307,..,237,20,254,4,260,..,132,4,135,0,139,..,76,13,87,0,92,..,28,0,30,0,30,..,206,47,253,0,251,..,1476,679,2155,60,2220,..,8673,1860,10528,132,10662,..,206,64,271,1615,1888,43138,8877,1921,10796,1755,55688,45289,..,..,..,..,45289,..,112,0,116,0,116,..,188,36,217,3,225,..,7,0,7,0,7,..,760,226,985,12,997,..,2177,803,2978,33,3004,..,100,36,136,0,136,..,3035,1060,4095,38,4139,..,58,3,63,0,63,..,100,0,101,0,102,..,206,0,212,0,212,..,295,28,321,0,324,..,58,3,54,0,54,..,154,12,167,0,167,..,364,17,384,0,387,..,60,3,59,0,59,..,264,25,294,9,295,..,256,18,271,6,277,..,56,5,63,0,67,..,97,4,100
LGA24600,0,360,0,359,..,1156,41,1192,5,1192,..,297,3,304,0,304,..,284,10,293,0,294,..,2088,52,2141,11,2152,..,1835,147,1988,11,1997,..,598,27,628,5,633,..,498,136,631,0,635,..,223,31,260,0,258,..,1158,164,1317,7,1328,..,2460,221,2684,62,2744,..,28571,3374,31940,201,32144,..,293,45,337,5536,5872,36410,28861,3419,32280,5739,74423,32954,..,..,..,..,32954,..,50,0,50,0,50,..,684,123,809,7,813,..,11,0,12,0,12,..,2408,413,2819,11,2828,..,10151,1854,12009,37,12046,..,338,67,409,0,409,..,12894,2332,15226,54,15279,..,71,5,82,0,82,..,419,14,431,0,435,..,236,0,235,6,244,..,338,29,369,0,373,..,252,9,266,0,268,..,179,8,179,0,179,..,1602,43,1644,12,1653,..,313,3,315,0,322,..,213,11,223,0,223,..,287,3,288,0,291,..,154,5,162,5,164,..,425,15,441
LGA24650,24,946,10,955,..,132,8,142,3,144,..,1332,33,1361,8,1372,..,176,19,191,3,193,..,2561,78,2642,24,2666,..,838,107,943,9,957,..,593,47,642,10,648,..,86,17,97,0,97,..,576,68,642,5,655,..,1555,549,2108,12,2116,..,5728,933,6663,115,6785,..,30127,3579,33705,399,34106,..,530,118,647,6095,6741,48435,30654,3701,34357,6491,89280,48826,..,..,..,..,48826,..,45,0,45,0,45,..,1620,219,1847,10,1860,..,7,0,7,0,13,..,325,103,432,5,433,..,559,182,741,6,744,..,262,78,336,0,339,..,1138,366,1509,11,1518,..,647,85,726,4,737,..,119,7,124,0,126,..,104,5,113,0,113,..,731,84,817,4,822,..,430,63,492,6,498,..,273,24,301,3,303,..,1634,111,1748,14,1763,..,194,51,245,3,242,..,4381,547,4931,81,5009,..,698,55,750,5,753,..,1069,130,1199,9,1212,..,236,13,248
LGA24780,4,45,0,41,..,10,10,20,0,20,..,52,6,53,0,53,..,126,58,184,0,193,..,236,72,304,4,307,..,17,0,24,0,24,..,35,11,50,3,49,..,21,45,66,5,74,..,157,67,222,0,222,..,108,91,199,7,207,..,558,186,739,13,754,..,2552,971,3523,67,3589,..,105,16,121,2183,2307,22140,2655,988,3647,2252,28040,23371,..,..,..,..,23371,..,36,0,36,0,36,..,28,9,39,0,39,..,15,0,15,0,15,..,51,25,75,0,75,..,227,196,423,3,425,..,8,7,7,0,7,..,278,226,504,3,510,..,36,7,41,0,41,..,14,7,21,0,17,..,37,0,40,0,40,..,122,26,153,0,149,..,18,0,18,0,18,..,19,0,20,0,21,..,32,0,29,0,29,..,29,6,33,0,33,..,160,28,180,3,187,..,23,0,24,0,24,..,9,0,9,0,9,..,3,0,3
LGA24850,0,20,0,20,..,11,0,13,0,13,..,54,4,58,0,58,..,32,4,34,0,34,..,114,7,121,0,121,..,43,0,43,0,43,..,34,0,36,0,39,..,27,0,26,0,25,..,89,10,99,0,99,..,21,9,29,0,29,..,435,72,508,12,515,..,2525,266,2791,39,2828,..,76,6,85,1439,1523,20574,2594,274,2877,1476,24921,20311,..,..,..,..,20311,..,34,0,32,0,34,..,105,19,124,0,122,..,7,0,7,0,7,..,13,3,20,0,20,..,73,32,109,0,109,..,8,0,7,0,7,..,100,39,135,0,135,..,19,0,19,0,19,..,22,0,22,0,22,..,61,0,65,0,64,..,100,3,103,0,104,..,4,0,4,0,4,..,14,4,15,0,15,..,128,13,135,3,139,..,17,0,19,0,19,..,489,58,547,7,554,..,66,3,71,0,72,..,54,0,56,0,56,..,8,0,8
LGA24900,0,23,0,23,..,3,0,5,0,5,..,29,0,29,0,32,..,49,15,63,4,70,..,105,15,118,5,124,..,9,0,13,0,13,..,10,0,10,0,10,..,10,9,19,0,19,..,0,0,5,0,5,..,4,3,10,0,10,..,86,17,97,0,103,..,620,167,785,12,798,..,51,3,51,1088,1136,13302,668,168,833,1101,15234,13412,..,..,..,..,13412,..,3,0,3,0,3,..,17,5,31,0,31,..,8,0,8,0,8,..,12,9,21,0,21,..,49,53,104,0,105,..,0,3,5,0,5,..,64,64,132,0,131,..,11,0,9,0,9,..,6,0,6,0,6,..,23,0,23,0,23,..,8,0,7,0,11,..,0,0,3,0,3,..,4,0,4,0,4,..,3,0,3,0,3,..,5,0,5,0,5,..,60,7,71,0,70,..,10,0,12,0,12,..,10,0,10,0,10,..,0,0,0
LGA24970,7,222,0,222,..,708,45,753,9,762,..,244,5,254,8,255,..,213,11,224,3,226,..,1378,70,1446,16,1466,..,477,44,517,0,524,..,1563,32,1601,8,1605,..,134,21,149,3,154,..,144,16,157,0,157,..,1368,219,1582,8,1592,..,2856,268,3129,54,3184,..,41317,6636,47955,385,48342,..,349,71,420,3664,4081,42422,41664,6704,48373,4053,94841,41126,..,..,..,..,41126,..,72,0,72,0,72,..,634,54,687,4,694,..,3,0,3,0,3,..,3578,961,4545,28,4571,..,11049,3992,15040,111,15153,..,606,167,774,6,780,..,15237,5123,20361,141,20502,..,218,36,250,3,254,..,378,19,389,0,395,..,250,5,258,0,258,..,4247,1134,5379,31,5409,..,500,23,528,0,528,..,657,47,707,3,711,..,1874,75,1949,15,1960,..,277,13,288,0,288,..,770,58,826,7,834,..,2396,117,2511,12,2529,..,333,23,352,3,356,..,563,11,574
LGA25060,0,125,3,126,..,82,3,84,0,84,..,115,6,120,0,119,..,42,5,48,0,48,..,354,15,369,0,377,..,587,62,656,6,666,..,134,4,145,4,143,..,64,13,74,0,74,..,374,44,418,8,424,..,1077,237,1318,8,1328,..,1646,191,1839,43,1883,..,13922,1853,15773,188,15964,..,226,37,262,2071,2338,40891,14146,1894,16036,2259,59191,41889,..,..,..,..,41889,..,21,0,21,0,21,..,824,137,956,3,960,..,7,0,7,0,7,..,660,320,975,6,987,..,938,213,1146,7,1154,..,86,35,114,3,116,..,1678,564,2247,9,2258,..,450,60,513,9,520,..,148,7,153,0,155,..,146,6,146,5,150,..,1482,325,1811,12,1820,..,64,6,63,0,63,..,79,3,81,0,85,..,378,19,396,4,400,..,246,4,252,0,248,..,139,9,152,3,154,..,190,11,204,0,198,..,114,8,119,0,119,..,66,3,76
LGA25150,0,14,0,12,..,3,0,3,0,3,..,18,3,19,0,19,..,6,0,6,0,6,..,40,3,41,0,46,..,51,0,56,0,56,..,24,0,22,0,22,..,3,0,6,0,6,..,16,0,14,0,14,..,24,8,30,0,30,..,292,29,323,4,332,..,1290,119,1410,19,1428,..,58,7,65,908,969,16241,1346,132,1474,919,18641,16619,..,..,..,..,16619,..,22,0,21,0,21,..,32,0,32,0,30,..,3,0,3,0,3,..,7,3,8,0,8,..,39,13,50,0,50,..,5,0,5,0,5,..,53,14,66,0,66,..,39,5,44,0,44,..,13,0,13,0,14,..,45,0,45,0,40,..,31,7,43,0,43,..,14,0,18,0,18,..,9,6,13,0,13,..,55,8,64,0,65,..,0,0,0,0,0,..,243,29,272,8,277,..,10,0,13,0,13,..,21,5,28,0,29,..,7,0,7
LGA25250,7,166,0,162,..,190,19,210,5,217,..,216,5,221,3,223,..,102,10,110,0,117,..,663,47,707,9,719,..,918,57,979,16,992,..,201,11,218,0,217,..,96,15,106,0,106,..,1224,259,1486,18,1501,..,570,123,692,3,695,..,1988,288,2278,71,2348,..,24755,3417,28171,334,28502,..,357,62,416,3395,3812,51134,25109,3479,28589,3726,83446,53420,..,..,..,..,53420,..,35,0,35,0,30,..,3197,633,3823,24,3845,..,17,0,17,0,17,..,486,113,598,4,602,..,1220,341,1566,13,1575,..,80,15,96,0,92,..,1784,468,2257,21,2275,..,236,46,283,6,286,..,341,11,354,11,363,..,323,8,325,3,326,..,2663,937,3595,17,3615,..,321,48,367,5,371,..,106,3,112,0,112,..,465,25,490,0,495,..,1501,92,1592,9,1604,..,230,12,245,3,244,..,352,17,366,3,366,..,1398,191,1584,21,1607,..,139,10,147
LGA25340,0,54,0,54,..,34,0,34,0,41,..,44,0,48,0,48,..,14,0,14,0,14,..,147,5,151,0,152,..,197,11,211,0,212,..,25,0,25,0,25,..,53,5,60,0,61,..,32,9,41,0,41,..,42,7,53,0,53,..,546,74,619,11,623,..,3844,382,4229,66,4293,..,200,10,207,4218,4429,72957,4044,395,4436,4285,81681,77708,..,..,..,..,77708,..,75,3,73,0,72,..,83,7,91,0,87,..,6,0,10,0,10,..,77,14,89,3,88,..,212,62,273,0,281,..,11,0,8,0,8,..,296,73,375,6,378,..,139,23,158,0,159,..,187,7,196,0,198,..,321,4,322,0,323,..,533,112,641,17,657,..,0,0,0,0,0,..,9,0,9,0,9,..,39,5,44,0,44,..,13,0,13,0,13,..,52,0,54,0,54,..,19,0,19,0,19,..,0,0,0,0,0,..,9,0,9
LGA25430,0,3,0,3,..,10,0,10,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,16,0,16,0,14,..,28,0,23,0,23,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,72,18,88,0,88,..,285,27,317,8,320,..,34,0,34,1163,1189,8587,317,27,348,1171,10105,9021,..,..,..,..,9021,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,10,0,10,0,10,..,11,0,9,0,9,..,0,0,0,0,0,..,14,0,14,0,14,..,0,0,6,0,6,..,19,3,23,0,23,..,34,3,39,0,39,..,24,3,29,0,29,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,8,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
LGA25490,0,20,0,20,..,3,0,3,0,3,..,12,0,12,0,12,..,7,0,4,0,4,..,40,0,41,0,39,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,30,3,36,4,41,..,153,16,168,8,175,..,14,0,17,533,557,7862,174,17,193,540,8592,8036,..,..,..,..,8036,..,10,0,10,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,6,15,0,12,..,0,0,0,0,0,..,13,6,13,0,17,..,4,0,4,0,4,..,7,0,7,0,7,..,15,0,15,0,21,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,3,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
LGA25620,0,5,0,5,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,9,0,9,0,9,..,15,0,15,0,15,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,4,0,4,..,7,0,7,0,7,..,55,3,61,0,59,..,263,22,285,6,284,..,8,6,10,697,707,6826,273,23,293,695,7822,6501,..,..,..,..,6501,..,6,0,6,0,6,..,0,0,0,0,0,..,5,0,5,0,5,..,8,0,8,0,8,..,14,0,14,0,14,..,0,0,0,0,0,..,18,0,23,0,23,..,7,0,7,0,7,..,11,0,12,0,12,..,21,0,21,0,21,..,10,3,12,0,12,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,3,11,0,11,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0
LGA25710,0,8,0,8,..,21,0,21,0,21,..,14,0,14,0,14,..,7,0,7,0,7,..,52,0,52,0,52,..,91,6,97,3,98,..,24,0,28,0,28,..,9,0,14,0,14,..,52,6,63,0,63,..,34,3,34,0,34,..,286,41,330,11,343,..,2495,224,2720,34,2759,..,71,3,81,784,861,27484,2571,224,2797,818,31101,27664,..,..,..,..,27664,..,48,0,54,0,54,..,103,23,125,0,132,..,0,0,0,0,0,..,87,21,105,0,105,..,338,67,404,3,408,..,18,3,21,0,21,..,442,91,532,3,532,..,66,4,74,0,74,..,86,0,86,0,89,..,137,4,141,0,143,..,287,19,307,0,307,..,9,4,4,0,4,..,4,0,4,0,4,..,67,4,66,0,66,..,0,0,0,0,0,..,36,0,36,0,36,..,59,3,64,0,64,..,23,0,21,0,21,..,11,0,11
LGA25810,0,19,0,19,..,4,0,4,0,4,..,15,0,20,0,20,..,5,0,4,0,4,..,38,5,43,0,43,..,8,0,8,0,8,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,5,0,3,..,77,5,88,0,88,..,257,63,319,0,323,..,16,0,16,525,547,5120,276,64,339,533,5989,5143,..,..,..,..,5143,..,7,0,8,0,8,..,0,0,0,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,31,34,67,0,67,..,5,0,5,0,5,..,38,34,74,0,74,..,0,0,0,0,0,..,3,0,3,0,3,..,9,0,13,0,13,..,5,0,5,0,5,..,3,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,18,0,21,0,21,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0
