LGA_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
LGA24330,5,93,9,9,0,0,120,10,114,9,20,6,0,151,39,592,39,88,17,4,781,96,247,66,119,8,0,534,176,110,36,73,13,0,417,633,100,40,173,30,10,977,2063,81,38,391,48,4,2628,3528,54,20,391,50,0,4045,2260,16,8,265,17,0,2562,947,0,0,113,8,0,1063,376,9,0,35,5,0,420,128,4,0,8,4,0,141,36,0,0,8,0,0,45,85,0,0,13,0,0,112,127,112,18,124,26,37,450,10506,1530,280,1829,228,68,14440
LGA24410,10,28,3,9,0,0,52,4,36,5,8,4,0,56,15,291,21,48,7,3,384,23,125,92,72,8,5,327,14,52,28,81,4,0,186,98,56,40,107,5,0,308,1279,53,36,358,20,3,1747,3837,42,12,476,34,5,4403,1617,11,0,165,13,0,1808,452,5,0,24,0,0,484,141,6,0,15,0,0,157,44,0,0,6,0,0,53,26,0,0,0,0,0,21,44,0,0,12,0,0,59,142,75,18,118,19,15,388,7748,786,258,1496,117,35,10437
LGA24600,45,58,3,29,10,0,146,8,175,8,18,0,0,215,100,699,36,120,14,12,980,374,279,124,227,38,3,1048,523,147,85,223,29,9,1016,1648,166,83,410,51,6,2367,8062,167,80,749,97,6,9160,14167,93,60,1027,126,21,15496,7371,26,21,740,55,7,8223,2970,12,4,348,22,4,3363,1539,9,3,177,21,0,1740,828,4,5,119,3,0,955,471,0,0,74,3,0,551,924,0,0,146,18,0,1093,560,141,28,386,71,48,1230,39601,1978,533,4784,563,116,47582
LGA24650,15,16,4,9,9,0,48,6,17,0,8,6,0,40,21,107,5,41,8,6,187,45,66,34,79,42,5,263,35,23,18,82,27,0,189,352,45,17,164,23,5,602,2966,24,30,542,61,15,3643,4858,15,22,520,100,16,5531,993,0,0,119,22,5,1143,139,0,0,27,3,0,161,37,0,0,7,7,0,50,20,0,0,6,3,0,30,14,0,0,0,0,0,10,51,0,0,11,0,0,59,215,24,13,143,38,23,464,9760,343,147,1764,332,78,12424
LGA24780,4,26,13,21,26,8,102,8,46,11,14,10,4,89,59,258,40,121,67,13,567,243,152,31,214,53,14,712,316,64,10,222,27,6,640,692,61,24,270,47,5,1102,1226,33,20,294,61,11,1634,752,7,10,154,30,4,958,126,3,0,37,11,0,179,20,0,0,16,0,0,37,8,0,0,9,0,0,18,4,0,0,5,0,0,15,0,0,0,3,0,0,7,0,0,0,12,4,0,18,62,45,6,76,46,32,264,3526,698,176,1470,381,96,6347
LGA24850,0,17,0,5,5,0,29,0,17,0,3,0,0,29,8,110,13,36,14,7,187,43,43,3,44,7,3,149,60,19,4,75,7,0,167,195,36,6,104,131,3,483,676,25,3,148,71,0,927,1052,5,5,116,33,3,1208,112,0,0,25,9,0,143,26,0,0,5,7,0,34,9,0,0,0,0,0,11,7,0,0,0,0,0,6,0,0,0,0,0,0,3,9,0,0,0,0,0,13,45,26,6,46,28,5,155,2251,303,43,626,310,20,3550
LGA24900,9,10,3,7,3,0,28,0,11,0,9,0,0,16,60,114,12,58,38,0,285,159,62,20,100,26,3,370,124,23,5,118,12,0,281,333,12,4,119,19,0,482,327,3,0,127,21,3,479,251,0,0,57,5,0,316,31,0,0,10,0,0,39,4,0,0,0,0,0,8,3,0,0,4,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,5,0,0,6,27,13,4,41,24,10,132,1330,254,44,660,160,21,2467
LGA24970,10,54,9,22,3,0,95,14,47,5,11,5,0,76,67,420,39,116,19,5,660,115,150,56,223,35,5,585,73,99,56,122,19,0,374,146,94,54,180,18,0,487,1149,58,38,347,34,5,1638,5364,64,27,689,63,8,6218,4393,28,10,518,60,8,5014,2254,0,11,208,21,0,2493,916,0,5,92,11,0,1032,356,0,0,43,8,0,408,96,0,0,17,4,0,121,174,0,0,43,4,0,233,292,73,22,278,61,49,776,15420,1081,341,2913,357,89,20201
LGA25060,17,88,4,17,0,0,126,12,133,7,9,0,0,155,26,627,32,59,7,3,756,71,255,42,95,9,8,469,84,142,34,73,8,4,338,476,134,25,160,13,0,803,2121,137,28,352,25,7,2672,4144,69,18,469,36,9,4735,2273,13,0,247,15,3,2558,1071,3,0,94,7,0,1174,496,3,0,36,3,0,542,241,0,0,28,0,0,273,103,0,0,17,0,0,126,141,0,0,13,0,0,164,200,107,17,140,33,28,526,11472,1713,212,1802,146,58,15408
LGA25150,0,7,0,3,3,0,20,0,14,0,3,0,0,20,12,83,7,21,9,0,139,16,44,20,23,7,5,116,29,18,5,44,3,0,95,124,12,21,78,10,0,244,403,24,8,142,23,5,595,695,3,0,113,6,0,819,78,0,0,19,0,0,97,14,0,0,4,0,0,20,6,0,0,5,0,0,9,4,0,0,0,0,0,0,0,0,0,6,0,0,6,5,0,0,5,0,0,4,36,12,0,47,13,7,122,1418,220,73,507,80,21,2320
LGA25250,11,65,13,8,0,0,103,14,96,8,20,0,0,140,42,584,34,112,15,5,793,137,185,49,163,21,3,561,159,79,28,154,5,3,434,641,95,27,249,46,0,1060,3200,77,29,654,78,15,4043,7934,49,10,927,86,3,9012,4134,11,3,555,30,4,4730,1935,0,3,258,5,6,2214,960,0,0,112,7,0,1079,426,0,0,83,3,0,510,194,3,0,36,0,0,235,261,0,0,41,4,0,303,310,120,15,220,59,50,766,20348,1361,217,3588,371,90,25980
LGA25340,15,29,5,25,17,0,85,4,45,0,14,7,0,69,26,358,14,75,26,12,514,50,130,17,118,43,3,358,49,53,16,124,32,0,273,280,68,16,261,157,3,792,1559,60,19,506,91,15,2248,3082,30,9,557,36,3,3717,1601,5,4,250,14,6,1884,657,0,0,82,8,6,750,345,0,0,46,0,0,387,139,3,0,26,0,0,166,100,0,0,16,0,0,112,163,0,0,24,9,6,201,152,74,12,174,58,22,494,8216,858,108,2299,485,81,12048
LGA25430,0,11,0,4,4,0,18,0,11,4,0,0,0,18,6,77,3,29,0,0,114,7,12,13,53,5,0,90,18,3,9,39,4,0,67,66,8,3,55,5,0,138,233,8,3,113,0,4,362,195,3,6,78,4,0,285,53,0,0,30,0,0,79,17,0,0,4,0,0,16,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,15,0,21,8,0,56,606,146,36,432,29,6,1259
LGA25490,0,0,0,17,14,0,32,0,3,0,14,0,0,17,10,21,10,55,16,0,111,18,10,3,66,13,0,115,32,0,0,68,19,0,114,72,4,0,55,13,0,144,102,0,0,59,9,0,175,120,0,0,34,9,0,157,20,0,0,13,0,0,30,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,6,0,33,42,4,84,394,47,10,409,130,5,999
LGA25620,0,3,0,9,6,0,20,0,0,0,0,3,0,8,4,19,0,23,13,0,60,28,3,3,35,3,0,70,32,3,0,44,10,0,87,89,0,0,51,10,0,147,130,3,0,60,4,0,204,98,0,0,28,4,0,134,14,0,0,0,0,0,16,4,0,0,4,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,10,6,5,3,7,14,0,44,413,45,13,270,65,11,808
LGA25710,0,6,0,3,0,0,14,0,8,0,3,0,0,9,7,41,0,16,4,0,73,5,8,8,27,5,0,57,7,10,0,24,0,0,43,18,3,0,33,5,0,61,94,5,0,76,6,0,181,379,9,0,104,8,0,500,347,0,0,68,4,0,421,220,0,0,36,0,0,260,90,0,0,10,0,0,101,29,0,0,7,0,0,41,8,0,0,5,0,0,16,19,0,0,3,0,0,17,18,11,0,33,7,3,77,1237,100,14,458,37,7,1858
LGA25810,0,6,0,10,4,0,20,5,11,3,6,0,0,22,25,47,17,36,6,0,133,113,27,20,63,18,0,239,70,9,0,46,12,0,136,136,10,3,44,5,0,198,80,0,3,28,12,0,123,29,0,0,7,0,0,40,4,0,0,0,0,0,9,3,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,4,6,12,6,24,9,3,62,471,115,45,265,79,6,984
LGA25900,27,66,11,8,6,0,108,9,123,14,11,0,0,153,49,851,54,74,0,3,1032,85,222,142,108,8,7,567,134,142,162,101,6,0,544,734,112,104,184,12,3,1151,3090,81,48,410,23,6,3656,5693,48,26,601,21,6,6397,4014,16,8,471,20,8,4532,2125,3,0,270,6,3,2417,1248,3,0,148,3,4,1400,755,4,0,81,0,0,843,490,0,0,62,4,0,554,856,0,0,116,4,3,978,311,161,24,184,27,35,736,19614,1811,590,2831,141,76,25066
LGA25990,0,0,0,10,5,0,12,0,0,0,3,0,0,9,0,12,0,30,8,0,54,14,4,0,38,3,3,59,17,0,0,34,3,0,49,35,0,0,22,5,0,56,26,0,0,25,3,0,53,8,0,0,6,0,0,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,8,6,22,111,18,0,183,40,3,349
LGA26080,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,5,4,3,0,7,0,0,13,0,0,0,3,0,0,6,3,0,0,5,0,0,10,27,0,0,15,0,0,44,52,0,0,18,0,0,73,21,0,0,8,0,0,28,3,0,0,0,0,0,3,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,6,0,0,4,6,0,9,117,9,0,68,3,0,207
LGA26170,0,7,0,14,0,0,29,4,14,8,6,8,0,34,15,57,13,49,19,5,161,38,19,27,64,17,0,171,65,4,0,80,8,0,162,218,10,11,115,22,0,380,338,8,0,97,23,3,474,184,0,0,41,4,4,231,18,0,0,15,0,0,36,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,11,3,0,19,7,7,0,62,33,4,118,905,136,65,553,144,23,1828
LGA26260,0,12,4,9,13,0,40,0,12,4,9,7,0,30,31,79,9,52,19,8,205,94,31,5,82,10,0,225,69,9,0,80,15,3,179,148,17,11,69,11,7,260,149,5,9,55,8,5,229,70,0,0,20,3,0,93,11,0,0,7,0,0,23,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,5,10,4,24,23,0,74,595,172,45,429,101,23,1357
LGA26350,18,44,9,13,0,0,85,7,85,3,11,0,0,114,35,430,63,61,4,8,596,94,155,79,100,11,0,449,130,65,37,78,5,0,323,563,79,32,166,17,0,861,2764,48,10,368,17,4,3200,5104,43,5,479,32,14,5665,3216,18,0,402,14,0,3655,1911,0,6,218,6,3,2138,1112,0,0,140,3,3,1260,734,0,0,99,5,3,845,424,0,0,65,4,0,490,856,0,0,108,4,0,971,245,78,10,157,31,24,546,17210,1043,250,2487,152,62,21204
LGA26430,0,4,10,5,3,7,25,0,0,0,3,3,0,9,9,27,7,23,10,0,75,25,11,10,28,18,0,92,30,9,0,21,8,0,71,81,4,0,48,8,0,148,146,0,0,38,5,0,190,95,0,3,19,0,0,115,21,0,0,4,0,0,26,4,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,6,0,23,16,5,65,432,61,28,218,70,9,822
LGA26490,5,4,0,5,6,0,16,0,0,0,0,0,0,8,8,24,8,33,6,0,80,15,5,8,37,8,0,73,8,5,0,53,13,0,77,32,9,0,66,4,0,117,109,0,0,94,10,0,219,299,0,3,127,3,0,437,552,0,0,106,3,0,665,382,0,0,44,6,0,428,108,0,0,11,0,0,121,49,0,0,3,0,0,53,17,0,0,0,0,0,15,9,0,0,0,0,0,11,24,5,0,41,19,4,95,1619,46,24,628,76,15,2403
LGA26610,0,17,4,12,17,0,48,0,27,8,20,29,0,83,42,105,7,63,55,5,280,148,85,26,77,30,3,364,105,31,8,76,21,3,250,245,29,8,104,32,6,421,214,11,5,97,28,0,360,105,3,4,64,19,0,188,20,0,0,20,0,0,45,0,0,0,9,6,0,14,0,0,0,0,0,0,5,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,5,3,0,4,15,16,8,55,49,13,162,903,324,75,591,293,28,2214
LGA26670,0,0,0,3,5,0,13,0,0,3,0,0,0,3,8,13,0,22,3,0,53,17,7,0,40,9,0,65,14,0,0,25,3,0,48,38,0,0,26,0,0,66,26,0,0,36,0,0,71,10,0,0,3,0,0,15,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,20,128,19,9,175,26,0,349
LGA26700,0,21,0,6,3,0,29,0,17,0,5,0,0,25,15,148,9,40,12,4,223,128,65,24,78,16,0,314,138,29,6,99,9,0,285,325,39,9,130,13,0,520,414,10,10,129,13,0,569,351,4,0,69,6,0,437,58,0,0,13,0,0,70,4,0,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,34,34,4,41,16,9,141,1477,371,69,614,86,14,2631
LGA26730,3,31,4,13,4,0,55,3,30,3,3,7,0,41,45,215,22,45,5,8,331,78,97,30,69,11,3,287,150,48,5,86,6,0,307,381,70,13,114,8,0,584,706,17,17,205,18,3,976,739,0,15,122,12,0,893,181,0,3,39,3,0,229,36,0,0,7,6,0,48,11,0,0,4,0,0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,7,35,43,11,34,17,6,151,2370,567,127,733,99,24,3920
LGA26810,4,23,0,14,13,0,50,0,19,0,14,3,0,41,24,152,20,84,24,5,300,185,63,16,120,24,0,417,207,34,16,113,17,0,382,520,47,12,128,67,0,764,617,11,17,121,67,5,824,436,4,0,67,15,3,523,93,0,0,8,4,0,107,11,0,0,0,0,0,15,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,13,35,29,0,62,40,12,181,2137,379,79,736,268,28,3620
LGA26890,0,4,0,6,9,0,14,0,7,7,8,0,0,22,5,0,0,39,17,0,65,9,0,0,28,4,0,47,11,0,0,16,0,0,32,9,0,0,10,0,0,15,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,0,27,43,20,4,119,48,0,233
LGA26980,13,44,9,32,0,0,106,10,50,27,19,3,0,105,40,444,50,110,32,4,678,129,149,65,202,44,4,577,159,76,32,132,31,5,425,297,71,37,186,43,5,644,1339,41,37,415,43,5,1884,5369,61,31,669,110,10,6257,3443,12,18,416,54,9,3942,1486,7,4,145,19,5,1659,655,0,0,75,13,3,742,240,4,0,22,5,0,274,96,3,0,12,3,0,112,126,0,0,26,12,0,161,221,91,27,260,72,53,722,13608,1058,345,2711,479,102,18291
LGA27070,24,22,7,22,3,0,71,12,16,8,14,4,0,54,32,138,15,83,17,5,293,49,126,24,112,21,3,334,51,67,24,75,15,4,231,164,61,49,174,58,8,520,3137,61,42,727,116,18,4099,9188,74,20,784,175,20,10263,1507,18,9,157,39,4,1728,216,3,0,26,8,0,257,54,0,0,24,4,0,82,42,4,0,4,0,0,48,29,0,0,3,0,0,35,119,0,0,11,6,0,145,358,74,21,248,49,36,789,14980,668,205,2455,530,95,18936
LGA27170,3,49,0,0,0,0,51,6,56,0,0,0,0,69,27,315,12,30,4,0,382,147,151,22,64,7,3,398,197,65,7,110,10,4,382,590,108,10,157,160,9,1036,988,35,8,186,46,4,1261,1146,7,0,89,10,5,1264,215,0,0,18,3,0,240,33,0,0,0,0,0,33,6,0,0,0,0,0,12,3,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,6,68,62,7,36,14,7,197,3422,854,67,706,263,30,5339
LGA27260,25,29,0,25,0,0,83,27,24,3,17,0,0,72,79,175,24,116,24,4,428,83,129,32,127,33,0,411,71,52,24,122,13,6,284,387,60,56,261,67,5,832,5419,70,35,919,125,20,6598,13729,36,14,882,162,25,14848,2058,6,10,156,37,6,2278,382,3,0,46,5,0,439,103,0,0,21,5,0,127,70,0,7,9,0,0,82,38,0,0,0,0,0,39,176,0,0,16,3,0,200,485,44,16,246,58,71,923,23148,643,219,2956,544,139,27648
LGA27350,11,113,13,9,0,0,147,3,285,9,15,0,5,314,31,1106,89,63,14,8,1314,64,534,111,87,9,3,811,49,234,70,87,13,0,449,319,218,47,134,10,3,734,1512,166,27,342,9,0,2062,3643,134,14,472,11,0,4275,3141,38,0,475,15,0,3670,2530,10,0,372,6,0,2929,1565,4,0,245,3,0,1832,1008,0,0,161,3,0,1183,514,4,5,70,0,0,592,707,0,0,116,5,3,826,210,170,23,123,22,34,581,15303,3024,415,2782,119,66,21709
LGA27450,8,17,3,23,4,0,50,4,23,10,12,4,0,55,20,167,26,81,15,0,314,56,66,31,111,29,0,294,48,30,16,152,26,0,270,191,29,13,172,25,5,432,778,28,10,396,49,0,1261,2414,19,6,552,29,5,3031,1042,3,5,168,11,0,1234,246,0,5,44,0,0,294,67,3,0,12,0,0,83,32,0,0,7,0,0,36,13,0,3,0,0,0,18,32,0,0,22,0,0,58,111,42,15,128,39,26,360,5065,424,146,1864,244,47,7791
LGA27630,0,9,0,18,17,0,38,0,5,0,8,0,0,16,25,8,3,38,11,0,91,59,3,5,55,11,0,139,39,0,0,24,5,0,70,22,0,0,10,0,0,35,3,0,0,4,0,0,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,19,9,0,39,161,27,16,179,54,0,438
LGA29399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,4,0,9,0,0,0,5,3,0,8,5,0,0,16,22,0,50
LGA29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
