LGA_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
LGA22310,6,3,0,0,4267,4276,78,0,6,0,4689,4766,2796,72,99,5,8063,11037,6967,237,441,15,2926,10579,6653,335,785,52,1927,9747,5241,293,913,93,1219,7756,4175,210,813,207,729,6133,2190,81,311,306,247,3136,821,17,84,415,64,1396,28920,1240,3452,1093,24132,58836,0,0,0,0,4060,4062,166,3,4,0,4520,4695,3702,115,193,4,7378,11399,7434,317,701,39,2828,11322,6849,489,1278,123,1894,10630,4995,380,1414,309,1239,8338,3878,251,1254,815,705,6896,1681,71,622,1450,261,4084,422,15,162,1861,111,2577,29124,1644,5627,4610,23001,64003,6,3,0,0,8325,8338,240,9,8,0,9201,9462,6501,184,296,9,15448,22436,14401,552,1137,55,5757,21899,13501,828,2064,170,3821,20378,10233,669,2326,408,2459,16099,8047,450,2066,1019,1434,13025,3871,149,929,1757,511,7220,1238,37,250,2280,176,3979,58038,2882,9077,5698,47136,122840
LGA22410,0,0,0,0,578,578,6,0,0,0,455,471,229,15,8,0,663,910,450,37,63,5,441,990,678,78,153,6,378,1288,967,81,267,34,321,1668,1025,75,267,71,140,1587,486,18,110,108,43,762,117,0,11,74,13,222,3963,298,885,298,3036,8470,0,0,0,0,515,519,21,0,0,0,359,386,311,16,27,3,602,959,555,56,78,13,365,1066,747,89,210,35,290,1377,1007,86,311,94,174,1659,880,49,263,200,86,1480,384,11,75,283,20,781,62,6,17,287,6,375,3970,317,970,914,2413,8590,0,0,0,0,1092,1091,29,0,0,0,819,852,541,30,29,3,1264,1865,1004,96,136,10,804,2050,1426,168,362,45,669,2667,1973,162,573,124,490,3330,1907,122,530,266,229,3059,868,29,190,392,66,1545,176,6,29,367,16,594,7930,614,1851,1212,5453,17065
LGA22490,4,0,0,0,876,875,8,0,0,0,603,614,463,10,11,0,799,1290,1069,50,78,6,394,1603,1265,91,168,13,344,1875,1079,88,200,28,223,1617,973,44,216,63,82,1379,379,17,52,76,20,545,57,0,3,27,5,96,5294,300,729,222,3347,9891,0,0,0,0,803,802,16,0,0,0,504,516,575,20,24,4,636,1258,1208,62,88,5,386,1750,1257,82,189,36,262,1818,1115,68,208,80,149,1626,818,26,172,133,42,1197,265,6,36,135,10,462,30,0,11,124,5,161,5277,270,730,517,2799,9589,5,0,0,0,1674,1681,21,0,0,0,1108,1129,1039,32,35,4,1439,2547,2278,111,168,9,787,3348,2520,171,351,46,606,3693,2189,152,405,109,375,3234,1786,69,390,202,125,2568,645,29,88,213,32,1007,86,3,19,147,7,258,10567,575,1461,729,6146,19477
LGA22620,0,0,0,0,3520,3525,63,9,4,4,3523,3601,2044,136,99,12,5258,7547,3959,295,371,20,2336,6981,4020,401,855,49,1737,7072,4340,395,1201,150,1110,7199,4353,300,992,309,556,6518,2439,106,367,438,170,3527,681,17,65,410,44,1212,21899,1661,3959,1396,18254,47166,0,0,0,0,3492,3492,117,12,0,8,3508,3650,2676,220,164,17,5071,8147,4243,444,587,45,2372,7693,4066,452,1290,147,1641,7605,4585,465,1708,413,929,8098,3975,301,1390,954,414,7032,1935,69,486,1326,156,3970,362,12,112,1333,67,1886,21960,1975,5735,4234,17657,51561,6,0,0,3,7011,7017,180,27,6,9,7032,7245,4718,354,262,28,10332,15687,8202,740,964,62,4707,14674,8094,854,2149,193,3383,14673,8927,859,2901,562,2047,15299,8325,596,2385,1264,974,13545,4374,173,852,1763,330,7499,1037,30,174,1747,109,3097,43859,3635,9690,5632,35912,98733
LGA22670,16,3,3,3,4385,4412,282,17,6,0,5706,6008,5361,224,328,12,8864,14783,7599,432,755,40,3016,11844,5881,471,1029,66,1887,9338,5259,456,1266,128,1227,8340,4233,354,949,262,549,6356,2590,147,418,465,195,3811,776,28,95,406,42,1346,32004,2123,4841,1392,25874,66239,25,3,0,3,4151,4188,709,39,26,5,4603,5378,6601,328,497,48,5523,12996,7338,560,1031,140,2125,11202,5388,526,1561,291,1367,9133,4735,424,1705,632,811,8304,3781,311,1148,1360,411,7013,1805,92,472,1790,126,4288,353,27,123,1521,35,2061,30740,2315,6572,5792,19148,64563,42,5,5,7,8539,8601,988,53,31,3,10313,11392,11961,546,826,58,14383,27782,14938,988,1788,183,5141,23041,11271,1000,2589,358,3255,18472,9998,885,2968,763,2033,16646,8014,670,2101,1630,959,13369,4394,240,890,2252,321,8102,1130,54,212,1927,81,3400,62738,4440,11413,7188,45024,130795
LGA22750,12,7,0,0,7688,7711,126,6,4,3,8605,8754,5167,217,208,10,13559,19168,9824,604,909,42,5290,16663,9349,859,1857,89,3703,15855,9520,798,2287,262,2211,15080,9895,532,1900,611,976,13910,5481,187,724,913,276,7589,1454,49,128,902,84,2619,50827,3263,8024,2847,42391,107346,7,5,3,0,7362,7379,247,23,3,3,8179,8452,6478,391,311,20,11838,19032,10196,876,1301,115,5257,17750,9556,1143,2673,304,3449,17127,9747,920,3610,854,1953,17086,9372,530,2942,2046,885,15775,4269,152,1175,3225,300,9113,757,28,208,3130,104,4228,50623,4071,12225,9697,39332,115941,21,9,3,5,15054,15088,374,27,10,7,16783,17203,11647,609,515,33,25399,38200,20018,1480,2207,158,10539,34409,18904,2007,4528,394,7153,32985,19267,1713,5900,1112,4166,32161,19265,1067,4845,2649,1862,29684,9748,339,1897,4143,572,16706,2208,80,334,4037,188,6844,101445,7335,20247,12543,81721,223284
LGA22830,3,0,0,0,2179,2187,56,0,3,3,1903,1961,1365,92,61,6,2829,4353,2385,155,207,7,1206,3967,2486,262,515,43,983,4288,2555,265,645,89,602,4157,2397,149,526,161,286,3524,1400,67,205,263,106,2044,378,14,32,204,22,645,13025,1006,2199,774,10123,27123,6,0,0,0,1930,1933,125,6,5,5,1734,1881,1728,122,83,11,2590,4540,2444,267,308,40,1148,4207,2479,269,673,93,726,4245,2504,292,820,236,485,4344,2210,132,625,533,190,3694,1099,34,232,798,55,2217,181,0,61,737,25,1004,12772,1128,2819,2465,8875,28064,10,0,0,4,4109,4124,182,11,10,11,3633,3838,3092,211,149,21,5419,8899,4826,423,516,47,2360,8176,4959,532,1193,132,1710,8527,5064,559,1470,326,1083,8503,4609,284,1147,697,477,7214,2503,96,436,1059,160,4255,556,17,89,945,47,1649,25799,2137,5020,3235,19000,55188
LGA22910,0,0,0,0,379,379,5,0,0,0,236,244,161,9,8,0,457,635,414,33,58,0,344,844,562,55,141,8,422,1188,756,58,234,19,332,1397,840,73,249,67,200,1426,432,21,92,58,49,651,89,4,18,62,14,183,3252,252,799,212,2426,6943,0,0,0,0,353,353,11,0,0,0,207,219,213,12,9,0,428,661,439,37,60,9,366,901,621,51,185,18,368,1242,767,76,318,46,323,1529,775,50,311,147,172,1451,316,8,89,207,36,656,42,3,19,204,11,284,3180,231,995,632,2262,7309,0,0,0,0,724,724,12,0,0,0,446,462,370,21,21,0,885,1297,849,66,119,9,708,1748,1181,102,325,22,791,2432,1522,134,554,66,652,2927,1612,121,564,214,368,2881,751,33,178,262,82,1311,134,3,39,266,28,467,6432,488,1794,845,4690,14251
LGA22980,0,0,0,0,173,178,0,0,0,0,119,119,98,3,5,0,194,298,153,11,18,0,91,270,177,13,32,0,83,303,302,20,79,10,66,474,259,21,73,25,50,418,174,7,22,24,22,248,62,3,3,39,6,115,1213,82,236,98,801,2435,0,0,0,0,131,131,5,0,0,0,96,101,121,8,5,0,177,309,163,16,17,0,65,259,222,21,41,11,66,355,274,18,74,22,50,438,246,12,42,48,17,360,134,6,22,120,11,290,42,0,4,112,9,165,1206,71,196,320,619,2417,0,0,0,0,306,303,5,0,0,0,210,214,219,12,12,0,373,610,318,30,36,0,149,533,396,33,76,14,144,664,573,35,157,35,116,918,500,36,113,75,68,784,307,13,41,148,27,537,104,3,13,147,21,282,2424,152,434,417,1419,4851
LGA23110,0,0,0,0,2274,2278,31,0,0,0,2347,2378,1636,49,67,5,4372,6136,4298,189,363,15,2093,6963,3657,296,681,32,1553,6215,3291,256,789,83,997,5420,2436,197,581,160,438,3815,1430,62,188,238,122,2040,449,12,39,258,33,790,17235,1064,2715,789,14226,36029,5,0,0,0,2196,2202,117,8,0,0,2054,2180,2276,102,128,6,3776,6293,4449,276,465,32,2060,7283,3719,375,945,93,1555,6685,3174,317,984,288,886,5651,2271,186,758,688,334,4241,1037,44,278,1058,93,2515,247,4,77,956,29,1322,17300,1311,3639,3125,12981,38359,5,0,0,0,4472,4474,147,12,0,0,4392,4555,3914,156,197,13,8149,12426,8753,466,829,41,4149,14248,7372,670,1623,122,3107,12897,6468,570,1773,369,1883,11063,4708,380,1338,856,773,8051,2475,101,466,1296,215,4548,701,15,119,1218,64,2115,34535,2372,6348,3915,27210,74390
LGA23190,0,0,0,5,645,644,11,0,0,5,554,571,364,32,12,0,857,1265,615,50,63,6,362,1098,710,58,139,12,239,1150,875,59,195,12,218,1360,759,38,168,56,86,1101,480,8,56,72,25,641,148,0,4,89,11,251,3950,249,642,251,2991,8090,0,0,0,0,549,549,16,3,0,0,552,575,456,34,34,0,765,1287,668,56,83,4,352,1171,751,73,187,27,222,1266,862,75,264,73,125,1395,713,36,177,174,63,1166,397,5,71,291,18,782,75,0,10,296,18,401,3940,294,829,869,2663,8603,0,0,0,5,1190,1196,29,10,0,4,1111,1149,820,62,47,0,1620,2557,1288,112,152,8,715,2267,1460,134,335,38,460,2421,1733,134,456,89,341,2759,1463,75,344,227,150,2266,872,18,129,365,45,1425,221,0,17,388,23,656,7892,545,1475,1120,5652,16691
LGA23270,13,0,3,0,7826,7839,284,8,4,0,8323,8621,7669,314,326,15,11560,19882,13302,691,836,35,3848,18708,9580,745,1428,74,2202,14034,8552,663,1533,224,1247,12222,5760,347,874,340,407,7727,2758,128,295,424,120,3715,563,17,34,342,29,989,48480,2919,5333,1450,35565,93744,23,3,0,4,7353,7385,772,50,28,0,7118,7961,10813,586,501,29,8286,20214,12904,990,1279,102,3200,18474,9334,975,2110,317,1947,14686,7743,742,2105,873,1028,12498,4922,344,1252,1665,342,8531,1683,104,414,1874,95,4173,258,7,67,1125,23,1481,48464,3801,7761,5987,29396,95401,32,3,3,6,15184,15225,1059,55,31,0,15441,16584,18478,902,828,42,19846,40097,26208,1686,2112,138,7048,37187,18918,1719,3538,394,4148,28715,16292,1407,3639,1098,2278,24719,10685,692,2128,2003,748,16262,4443,230,705,2297,216,7891,828,24,104,1460,55,2473,96942,6722,13094,7437,64959,189145
LGA23350,0,0,0,0,492,492,9,0,0,0,283,293,223,11,8,0,488,733,528,34,43,4,304,918,706,63,138,7,267,1180,855,50,236,23,189,1366,820,52,200,55,114,1239,439,18,71,85,44,660,73,3,7,47,10,146,3657,230,708,227,2201,7022,0,0,0,0,488,493,11,0,0,0,287,294,273,15,15,5,420,730,623,46,79,13,270,1025,744,65,207,26,228,1276,893,65,249,69,155,1430,776,34,213,146,61,1227,289,12,66,181,31,574,51,3,12,170,8,251,3653,231,846,605,1961,7297,0,0,0,0,984,985,15,0,0,0,574,592,493,19,25,3,912,1463,1152,79,124,15,571,1945,1451,125,342,35,499,2453,1753,116,492,88,351,2796,1601,85,414,203,175,2468,728,31,131,266,75,1232,127,8,28,223,24,394,7316,460,1556,831,4159,14324
LGA23430,4,0,0,0,4357,4365,43,4,0,0,4294,4345,2601,83,95,5,7153,9933,6976,297,511,21,3132,10934,7043,501,1074,52,2307,10981,5853,436,1342,156,1403,9188,4946,262,976,297,602,7082,2994,105,480,486,185,4253,934,19,110,506,62,1629,31390,1699,4593,1529,23501,62717,4,0,0,0,4228,4234,109,8,5,0,3871,3998,3505,139,167,9,6097,9916,7498,469,780,47,3024,11819,7270,677,1647,158,2116,11867,5838,504,2013,466,1200,10018,4588,310,1653,1169,582,8305,2260,116,773,1913,227,5287,472,14,193,2008,87,2773,31547,2236,7224,5772,21431,68202,9,0,0,0,8582,8594,155,14,13,4,8167,8339,6109,220,259,16,13247,19848,14474,770,1288,72,6156,22756,14317,1173,2721,207,4425,22848,11691,939,3356,621,2601,19205,9535,569,2628,1466,1189,15387,5256,219,1255,2403,412,9541,1401,33,305,2513,150,4401,62940,3935,11817,7304,44928,130919
LGA23670,8,5,0,0,4837,4843,42,5,0,0,4987,5036,2819,73,97,5,7043,10030,7257,324,460,17,2820,10879,6921,459,915,55,2010,10352,7082,397,1192,130,1029,9838,5767,240,819,314,382,7519,3011,89,374,467,117,4047,734,23,79,453,37,1333,33647,1596,3934,1443,23255,63878,8,3,0,0,4470,4472,104,9,4,3,4512,4627,3830,156,221,13,5982,10190,7817,444,695,35,2418,11402,7218,620,1487,155,1719,11196,7044,487,1898,441,819,10687,5212,289,1466,1189,333,8477,2278,78,609,1777,108,4851,399,21,121,1621,47,2203,33891,2101,6487,5228,20404,68114,14,4,0,0,9302,9314,144,10,3,3,9499,9661,6643,227,315,20,13019,20219,15079,767,1154,53,5234,22280,14139,1070,2403,212,3729,21548,14130,883,3084,574,1850,20530,10979,529,2282,1501,711,15998,5286,163,984,2236,222,8898,1126,46,203,2073,85,3540,67538,3701,10426,6673,43659,131987
LGA23810,0,0,0,4,2230,2234,31,0,0,4,2102,2141,1160,92,63,4,3443,4756,2125,217,261,11,1659,4277,2220,320,592,40,1328,4501,2872,288,963,109,886,5111,2881,241,797,236,412,4572,1596,87,270,315,113,2389,389,13,55,269,28,752,13280,1260,3004,991,12197,30738,0,0,0,0,2108,2110,67,14,0,0,2071,2157,1533,156,121,19,3226,5052,2282,293,391,46,1588,4592,2428,374,873,101,1038,4819,3057,317,1191,353,621,5544,2652,228,875,803,199,4750,1180,49,313,1086,46,2678,186,12,41,920,32,1193,13389,1448,3797,3327,10924,32889,3,0,0,0,4341,4347,101,18,6,4,4171,4299,2692,244,185,18,6673,9809,4404,507,650,61,3245,8868,4647,697,1468,142,2363,9314,5931,606,2152,466,1504,10657,5529,470,1673,1039,607,9321,2782,138,583,1398,162,5066,578,23,91,1196,62,1947,26673,2706,6802,4320,23128,63627
LGA23940,0,0,0,0,188,189,3,0,0,0,135,137,75,6,4,0,208,287,200,12,15,0,115,349,250,24,58,4,158,499,364,61,129,11,159,719,422,42,131,29,79,693,210,11,49,49,31,351,59,9,0,53,4,127,1588,162,384,143,1068,3348,0,0,0,0,200,200,7,0,0,0,115,126,105,18,4,0,206,332,220,12,15,4,96,344,290,35,45,16,109,491,387,37,124,40,79,670,379,23,89,88,28,602,152,5,25,111,10,303,30,0,3,142,6,180,1564,127,306,392,851,3251,0,0,0,0,387,387,10,0,0,0,256,264,183,13,6,0,415,618,423,26,33,4,211,694,541,62,102,14,267,988,751,100,254,45,237,1388,794,67,215,118,98,1299,362,17,74,157,38,651,91,7,6,197,14,308,3156,293,693,539,1922,6602
LGA24130,0,0,0,0,1703,1703,11,0,0,0,1122,1131,640,17,17,0,1485,2166,2073,85,130,8,853,3142,2483,161,369,21,738,3763,2387,143,448,63,426,3463,2063,109,355,132,219,2881,1095,46,162,163,67,1532,181,6,23,137,14,365,10929,565,1507,521,6619,20143,0,0,0,0,1567,1566,14,4,0,0,987,1011,861,40,42,5,1359,2299,2326,123,207,10,863,3533,2604,201,535,58,673,4072,2344,143,579,106,383,3547,1951,100,499,327,185,3061,744,26,171,456,65,1466,99,9,31,388,8,531,10942,641,2066,1358,6084,21092,0,0,0,0,3272,3268,26,4,5,0,2109,2138,1499,61,64,5,2840,4469,4396,209,337,20,1714,6672,5083,370,908,78,1410,7838,4729,281,1026,167,800,7007,4017,205,854,465,398,5937,1839,73,331,618,132,2999,282,7,53,529,24,893,21866,1212,3575,1881,12700,41232
LGA24210,4,3,0,0,3881,3883,33,0,0,0,3866,3900,1989,38,97,3,4522,6652,5473,186,285,8,1652,7610,5842,296,623,29,1174,7963,5892,238,709,67,604,7507,4903,151,452,204,228,5943,3770,71,233,457,91,4619,1296,16,55,545,20,1930,29205,1004,2449,1322,16040,50015,0,0,0,0,3469,3476,60,5,0,0,3376,3442,2719,66,148,7,3801,6739,6169,298,550,22,1407,8454,6271,415,971,91,1003,8751,6065,258,1190,312,587,8406,4982,165,797,881,299,7122,3004,70,406,1928,115,5528,599,17,118,1849,45,2630,29878,1301,4170,5096,14104,54541,5,3,0,0,7350,7356,96,5,3,0,7237,7339,4707,104,241,9,8317,13388,11644,484,832,33,3059,16055,12115,708,1591,124,2178,16718,11960,492,1899,378,1191,15921,9881,318,1250,1085,530,13063,6777,148,641,2381,201,10148,1899,30,170,2391,65,4558,59082,2297,6622,6414,30139,104556
LGA24250,0,0,0,0,258,258,4,0,0,0,163,170,91,10,7,0,320,418,307,17,24,0,194,545,345,36,60,4,169,609,490,41,128,21,139,818,584,39,137,36,55,849,263,20,57,37,17,390,53,0,8,34,3,92,2136,155,414,134,1317,4152,0,0,0,8,293,300,7,0,0,0,136,138,123,8,0,3,322,453,336,34,37,8,173,582,347,40,101,6,128,624,570,31,168,30,84,884,536,26,136,64,41,796,188,5,37,130,16,370,13,0,7,115,0,139,2110,136,484,354,1191,4277,0,0,0,8,554,557,5,0,0,0,295,304,214,13,4,3,637,870,637,54,61,7,369,1127,695,75,157,10,297,1229,1057,68,290,51,229,1703,1120,60,268,98,95,1645,451,24,97,158,35,762,69,0,11,148,7,239,4242,294,903,487,2510,8430
LGA24330,0,0,0,0,1718,1723,48,0,0,0,2794,2853,2041,88,124,12,7486,9751,3974,228,397,14,3097,7715,2842,235,596,31,1739,5444,2131,230,649,36,998,4048,1416,157,438,117,430,2551,739,54,151,122,128,1197,248,8,31,182,28,500,13440,1005,2386,519,18421,35770,4,0,0,0,1699,1707,123,17,9,0,2578,2725,2618,132,196,4,6554,9507,3900,316,569,33,2738,7546,2728,299,846,85,1532,5489,1930,250,855,251,892,4179,1198,135,557,450,353,2702,540,33,196,612,96,1476,110,6,47,643,42,846,13156,1184,3277,2063,16488,36173,4,0,0,0,3422,3426,167,15,11,0,5379,5577,4660,220,316,15,14038,19257,7871,541,966,45,5833,15258,5568,533,1441,120,3268,10931,4062,477,1501,289,1891,8225,2612,294,997,565,788,5253,1276,88,343,730,225,2669,363,17,75,823,70,1348,26593,2193,5661,2585,34909,71946
LGA24410,10,0,0,0,3404,3409,51,4,0,0,3284,3342,2335,81,64,3,4802,7285,5470,203,318,11,2162,8167,4779,354,753,29,1480,7398,4278,307,903,86,906,6480,3466,167,694,209,332,4877,2136,74,286,291,89,2878,606,9,62,351,23,1055,23128,1189,3083,980,16495,44880,3,0,0,0,3067,3074,85,3,0,0,3005,3102,3109,134,135,12,4364,7750,5800,330,522,38,2002,8700,4754,464,1187,109,1447,7964,4254,344,1463,303,758,7135,3297,238,1211,809,328,5890,1676,66,581,1265,117,3699,322,5,134,1326,41,1829,23303,1578,5250,3872,15139,49138,5,0,0,3,6470,6483,133,4,0,0,6296,6438,5445,211,204,14,9170,15033,11269,536,838,51,4171,16863,9536,817,1941,139,2930,15364,8534,645,2368,392,1666,13610,6765,399,1907,1022,667,10760,3814,138,867,1554,211,6580,925,17,199,1675,63,2883,46438,2767,8334,4851,31640,94018
LGA24600,9,0,0,0,2802,2817,150,9,10,6,11618,11789,4568,239,294,9,21459,26571,5033,373,778,9,6155,12351,2579,361,818,32,2161,5948,2256,302,861,72,1072,4562,1919,160,573,122,432,3205,972,56,239,106,173,1553,212,6,52,119,67,464,17694,1506,3629,479,45948,69256,21,0,0,0,3470,3493,286,30,15,4,13056,13392,5412,319,497,10,20146,26393,4399,383,975,50,5013,10818,2600,331,1037,73,1745,5790,2297,237,1073,225,847,4679,1672,143,764,436,370,3384,639,40,241,520,155,1590,102,0,57,496,73,726,17428,1477,4660,1813,44884,70262,29,0,0,4,6273,6310,436,35,29,11,24668,25180,9981,557,794,24,41608,52962,9434,752,1755,57,11172,23170,5178,691,1854,109,3905,11740,4557,533,1935,299,1921,9236,3585,304,1333,554,805,6589,1613,94,480,625,330,3141,312,6,114,615,141,1188,35122,2982,8292,2292,90829,139515
LGA24650,15,4,0,0,5865,5878,155,0,9,5,5695,5868,5243,197,239,13,8077,13765,10721,525,687,19,3344,15299,7703,613,1105,61,1821,11301,5134,398,980,141,716,7369,3711,292,615,269,234,5121,1518,83,216,266,71,2153,228,6,31,163,9,441,34418,2126,3890,932,25836,67200,12,0,0,0,5677,5685,301,24,0,4,4918,5252,7358,346,333,21,6497,14564,10504,743,1032,91,2861,15237,6984,735,1638,214,1614,11187,4727,502,1455,519,546,7737,3185,272,959,1046,166,5629,876,58,258,946,35,2168,124,3,47,515,20,714,34068,2686,5722,3349,22334,68167,18,4,0,0,11541,11568,453,28,11,9,10622,11121,12598,550,565,35,14574,28329,21232,1268,1725,115,6208,30533,14689,1349,2743,276,3433,22490,9857,897,2435,656,1259,15104,6893,568,1574,1315,402,10748,2384,142,477,1205,101,4321,358,12,77,678,27,1154,68492,4812,9612,4282,48171,135368
LGA24780,0,0,0,0,1680,1680,35,6,0,0,1611,1650,1093,40,56,3,2575,3774,1783,162,174,5,1106,3238,1938,214,388,35,861,3438,2157,226,612,81,540,3618,1991,139,469,139,281,3016,1136,54,206,191,92,1677,314,6,24,200,26,568,10451,847,1935,658,8769,22661,0,0,0,0,1592,1600,84,5,0,0,1438,1526,1335,109,77,7,2323,3851,1910,227,251,20,1084,3481,2025,285,572,81,680,3636,2183,212,746,222,392,3765,1872,116,527,468,132,3121,812,27,184,767,43,1834,154,7,42,736,16,956,10382,986,2391,2298,7701,23768,0,0,0,0,3279,3279,116,5,0,0,3049,3176,2437,148,133,17,4894,7619,3688,395,425,30,2183,6720,3963,500,956,110,1537,7076,4337,442,1356,310,931,7383,3865,251,997,610,416,6137,1948,79,384,960,137,3505,477,11,68,931,42,1526,20832,1832,4323,2962,16472,46427
LGA24850,0,0,0,0,1604,1610,29,4,4,0,1573,1605,1090,45,41,0,2234,3412,1963,134,177,8,985,3263,1824,176,386,18,706,3114,1748,174,508,62,457,2951,1499,118,347,122,181,2266,713,43,139,148,39,1077,149,10,18,89,11,269,9018,692,1615,450,7797,19567,0,0,0,0,1391,1392,68,5,0,0,1208,1280,1467,76,83,8,1960,3603,1962,135,229,19,933,3278,1839,214,482,55,661,3253,1746,167,575,162,336,2973,1306,91,414,327,82,2216,520,30,147,391,27,1111,79,3,29,341,3,459,8981,723,1957,1302,6601,19566,0,0,0,0,2997,3002,96,7,0,0,2781,2886,2559,120,125,11,4200,7015,3922,268,405,30,1909,6535,3666,392,867,78,1363,6369,3492,336,1081,224,797,5923,2803,213,765,442,265,4491,1232,74,280,535,66,2186,226,13,47,432,16,730,17995,1421,3574,1751,14398,39135
LGA24900,0,0,0,0,867,867,20,0,0,0,656,677,384,28,20,0,1074,1508,802,82,108,3,491,1490,960,103,185,15,544,1812,1274,138,353,57,357,2173,1514,123,360,122,159,2274,946,45,169,170,70,1393,233,10,34,138,23,441,6143,533,1222,505,4232,12635,0,0,0,0,776,777,31,0,0,0,589,625,521,44,35,0,947,1549,852,81,109,11,491,1548,1068,135,259,41,347,1852,1393,137,396,119,186,2230,1476,85,378,288,73,2302,660,20,146,482,31,1342,137,0,16,442,16,614,6141,507,1346,1382,3468,12834,0,0,0,0,1644,1644,51,3,3,0,1248,1307,903,71,56,0,2024,3055,1658,165,216,19,984,3039,2033,240,447,55,892,3661,2666,269,752,170,546,4402,2997,205,736,407,231,4581,1606,66,308,652,96,2735,371,10,52,581,33,1050,12284,1033,2573,1888,7695,25470
