LGA_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
LGA23670,77940,81164,159103,4291,4146,8428,9777,8911,18684,4843,4472,9314,5036,4627,9661,10030,10190,20219,10879,11402,22280,10352,11196,21548,9838,10687,20530,7519,8477,15998,4047,4851,8898,1333,2203,3540,76177,79412,155584,1760,1755,3522,463,508,974,17,17,29,15,7,22,492,527,1022,50800,51021,101819,24806,27778,52582,53648,54509,108159,21788,23943,45732,67203,68941,136136,1356,1308,2667,9366,8521,17888,4070,3888,7961,2180,2244,4429,2303,3493,5796,37838,42282,80120,8280,7873,16156,9054,8382,17439,3582,3489,7073,2156,2718,4873,440,620,1063,74801,77699,152501,2740,3164,5903
LGA23810,37817,39510,77318,2174,2120,4295,4903,4497,9404,2234,2110,4347,2141,2157,4299,4756,5052,9809,4277,4592,8868,4501,4819,9314,5111,5544,10657,4572,4750,9321,2389,2678,5066,752,1193,1947,36224,38026,74256,1590,1478,3063,761,768,1531,39,47,91,12,22,41,816,843,1659,30110,31277,61386,4672,5205,9880,32599,33905,66500,2369,2761,5134,33316,34837,68146,568,567,1140,4425,4068,8492,1482,1519,3003,451,607,1057,762,1512,2270,10774,13460,24236,5498,5277,10778,6788,6053,12844,2712,2798,5510,1973,2091,4061,196,215,408,34465,35935,70404,3324,3514,6837
LGA23940,3923,3836,7759,162,153,317,416,428,842,189,200,387,137,126,264,287,332,618,349,344,694,499,491,988,719,670,1388,693,602,1299,351,303,651,127,180,308,3751,3661,7419,170,165,338,72,84,154,5,7,14,0,5,5,74,93,170,3148,3038,6187,319,352,666,3395,3299,6692,106,129,241,3414,3318,6733,36,39,74,364,388,758,126,152,283,18,37,58,35,107,144,891,1221,2116,592,516,1109,790,593,1384,383,281,664,257,212,468,5,4,16,3437,3344,6780,468,464,932
LGA24130,25353,26111,51458,1437,1418,2854,3769,3601,7371,1703,1566,3268,1131,1011,2138,2166,2299,4469,3142,3533,6672,3763,4072,7838,3463,3547,7007,2881,3061,5937,1532,1466,2999,365,531,893,24395,25231,49628,954,875,1834,250,194,444,17,13,25,10,5,12,267,208,481,20625,21380,42003,3361,3361,6727,23000,23535,46536,1070,1271,2340,23081,23850,46927,464,433,895,3557,3411,6970,1365,1289,2659,406,419,828,461,980,1441,10456,12763,23219,2991,2694,5688,3286,2552,5831,1415,1099,2510,740,684,1420,43,53,94,23577,24421,48001,1417,1378,2802
LGA24210,60324,64374,124700,2777,2778,5556,7530,7058,14586,3883,3476,7356,3900,3442,7339,6652,6739,13388,7610,8454,16055,7963,8751,16718,7507,8406,15921,5943,7122,13063,4619,5528,10148,1930,2630,4558,58901,62895,121790,1422,1481,2907,158,123,280,6,10,12,3,4,11,164,134,297,33089,33672,66760,25465,28790,54258,31371,31821,63188,27126,30555,57685,49583,52318,101904,972,948,1922,7234,6815,14052,3502,3172,6671,2163,2042,4208,2014,2800,4818,34602,36981,71582,4431,4625,9057,4309,4600,8909,1997,2272,4271,2219,3112,5326,520,767,1285,57899,61383,119285,1933,2505,4438
LGA24250,5012,5165,10178,188,211,397,672,673,1344,258,300,557,170,138,304,418,453,870,545,582,1127,609,624,1229,818,884,1703,849,796,1645,390,370,762,92,139,239,4615,4780,9395,402,382,781,41,63,103,5,4,6,0,0,0,47,63,111,4073,4133,8201,526,625,1156,4456,4553,9011,184,235,418,4472,4585,9055,59,64,128,618,623,1244,190,231,417,39,41,79,72,169,237,1630,2118,3747,721,639,1363,824,616,1441,365,291,659,215,198,418,16,12,30,4269,4418,8687,779,849,1627
LGA24330,42713,42498,85209,2550,2395,4942,4387,3930,8321,1723,1707,3426,2853,2725,5577,9751,9507,19257,7715,7546,15258,5444,5489,10931,4048,4179,8225,2551,2702,5253,1197,1476,2669,500,846,1348,41548,41312,82850,1164,1185,2355,322,280,600,9,14,23,9,4,14,338,295,639,24462,24127,48593,16002,16398,32400,24434,23808,48241,15849,16587,32435,33598,34168,67767,734,730,1458,4118,3724,7844,1458,1499,2953,1430,1377,2809,2707,3255,5959,25186,25773,50958,2476,2097,4568,2675,2314,4986,1121,1160,2282,1341,1817,3158,593,843,1435,39790,39821,79604,2646,2274,4918
LGA24410,55688,59351,115043,3504,3359,6862,7309,6851,14162,3409,3074,6483,3342,3102,6438,7285,7750,15033,8167,8700,16863,7398,7964,15364,6480,7135,13610,4877,5890,10760,2878,3699,6580,1055,1829,2883,54111,57725,111831,1582,1631,3211,359,333,687,15,12,31,6,8,17,383,351,734,40382,42247,82633,13665,15429,29091,43138,45289,88426,10662,12088,22750,48392,51261,99651,1199,1102,2301,7038,6608,13652,2881,2666,5550,1407,1392,2795,1725,2773,4494,26614,30857,57468,6101,5790,11892,6082,5628,11709,2363,2366,4734,1589,2013,3600,387,487,872,53070,56352,109418,2083,2424,4509
LGA24600,74423,75195,149615,2238,2116,4354,2928,2815,5742,2817,3493,6310,11789,13392,25180,26571,26393,52962,12351,10818,23170,5948,5790,11740,4562,4679,9236,3205,3384,6589,1553,1590,3141,464,726,1188,71649,72203,143852,2776,2987,5765,395,315,707,9,6,24,22,16,37,430,339,772,29633,27206,56842,39296,42633,81927,36410,32954,69367,32144,36738,68881,40731,38978,79702,563,503,1065,2642,2506,5153,2388,3018,5410,7549,8732,16287,8360,9983,18342,55890,57440,113324,3188,2970,6156,2613,2166,4778,882,814,1696,631,825,1452,441,601,1037,64210,64988,129202,12521,11571,24093
LGA24650,89280,89678,178960,7342,7119,14460,14738,14392,29126,5878,5685,11568,5868,5252,11121,13765,14564,28329,15299,15237,30533,11301,11187,22490,7369,7737,15104,5121,5629,10748,2153,2168,4321,441,714,1154,87767,88224,175992,1515,1456,2965,1081,945,2027,25,16,44,23,30,57,1135,993,2123,53494,53013,106510,31460,32388,63852,48435,48826,97261,34106,35621,69725,71917,72834,144747,1939,2010,3951,13663,13335,26996,4559,4661,9214,2055,2139,4198,2379,4188,6565,36940,41114,78053,7407,6735,14145,11002,8446,19442,3958,3506,7471,2814,3255,6069,782,1139,1918,83180,85032,168214,5893,4403,10287
LGA24780,28040,28932,56972,1638,1617,3260,3743,3547,7288,1680,1600,3279,1650,1526,3176,3774,3851,7619,3238,3481,6720,3438,3636,7076,3618,3765,7383,3016,3121,6137,1677,1834,3505,568,956,1526,26760,27917,54674,1278,1014,2293,1168,1324,2494,26,20,46,45,35,79,1239,1378,2621,21688,22770,44464,3891,3873,7772,22140,23371,45513,3589,3413,7004,23493,24619,48117,474,457,926,3329,3189,6524,1082,1129,2212,305,390,698,531,1112,1643,8000,9831,17825,3407,3399,6804,4822,4261,9090,2111,2001,4113,1682,1707,3393,323,328,651,25396,26285,51678,2698,2668,5363
LGA24850,24921,24536,49460,1821,1682,3505,3534,3289,6821,1610,1392,3002,1605,1280,2886,3412,3603,7015,3263,3278,6535,3114,3253,6369,2951,2973,5923,2266,2216,4491,1077,1111,2186,269,459,730,24134,23828,47958,788,714,1501,504,530,1032,13,12,23,7,8,18,527,548,1073,19741,19404,39145,3622,3623,7246,20574,20311,40885,2828,2811,5640,21977,21589,43575,539,457,1004,3271,3018,6290,1105,1060,2163,409,403,810,504,1077,1576,8171,9875,18047,3044,2770,5814,4099,3248,7349,1797,1345,3141,959,902,1869,100,98,199,22966,22871,45838,2024,1484,3509
LGA24900,15234,15286,30522,755,725,1478,1842,1728,3570,867,777,1644,677,625,1307,1508,1549,3055,1490,1548,3039,1812,1852,3661,2173,2230,4402,2274,2302,4581,1393,1342,2735,441,614,1050,14448,14571,29020,784,718,1507,310,296,599,11,17,21,12,12,24,331,316,647,12477,12530,25003,1483,1536,3018,13302,13412,26713,798,801,1601,13393,13475,26872,207,204,415,1666,1555,3220,568,602,1167,123,163,285,212,498,707,3682,4998,8675,2143,2082,4228,3133,2628,5763,1420,1115,2534,1012,814,1826,76,52,124,13695,13825,27520,1412,1347,2763
LGA24970,94841,95556,190397,4359,4091,8458,10963,10172,21130,5701,5372,11078,8773,7411,16188,15805,13448,29254,12677,13214,25886,11436,12299,23735,9621,10309,19929,7458,8817,16273,5542,6732,12266,2518,3687,6204,92900,93487,186391,1945,2065,4003,247,239,491,10,10,13,6,11,18,263,262,522,43942,43024,86968,47026,49012,96041,42422,41126,83546,48342,50655,98988,69141,70462,139597,1520,1386,2907,10454,9726,20182,5119,4968,10087,5464,4782,10245,5006,5415,10416,57184,57636,114824,5824,5504,11329,5836,5870,11702,2769,2913,5686,2900,4150,7049,836,1239,2073,88959,89427,178384,5959,6038,12002
LGA25060,59191,62666,121851,3163,2979,6133,6917,6516,13433,3350,3132,6483,3911,3823,7732,9029,9462,18488,8521,9016,17538,8196,8694,16887,6745,7352,14095,5051,5821,10867,3050,3869,6913,1276,2003,3274,57459,60875,118339,1726,1790,3517,268,244,516,17,12,32,13,14,23,294,273,571,41102,42322,83422,15836,18038,33873,40891,41889,82779,15964,18388,34350,51615,54479,106097,990,1023,2011,6624,6236,12861,2927,2821,5748,1938,1969,3903,2216,3129,5347,32507,35577,68082,4945,4607,9556,4610,4309,8922,1970,2047,4015,2221,3254,5472,496,873,1371,56040,59264,115303,2589,2689,5278
LGA25150,18641,18991,37632,1201,1170,2370,2725,2484,5215,1123,1034,2165,970,932,1905,2310,2456,4763,2525,2598,5124,2477,2592,5068,2262,2376,4642,1920,1971,3898,894,968,1861,222,403,628,18017,18405,36427,621,582,1199,275,246,518,13,13,19,6,8,13,290,268,558,14992,15280,30266,2621,2743,5365,16241,16619,32863,1428,1487,2918,16628,16994,33621,341,393,731,2544,2350,4894,819,820,1632,280,342,618,370,827,1194,6259,8075,14335,2376,2238,4617,3088,2377,5471,1359,1019,2377,688,687,1377,59,54,114,17482,17835,35311,952,973,1924
LGA25250,83446,87909,171357,4961,4772,9731,8537,8238,16772,3653,3478,7137,6229,6275,12501,18217,18947,37163,14249,14374,28624,10195,10561,20756,7619,8193,15806,4835,5761,10596,3157,4422,7581,1784,2899,4682,81178,85330,166503,2270,2578,4855,484,531,1019,16,14,25,23,22,44,518,566,1086,52448,55275,107728,27367,29058,56428,51134,53420,104555,28502,30618,59123,67882,72635,140524,1490,1404,2893,8105,7758,15858,3037,3044,6077,3099,3355,6460,4800,6547,11350,48450,52809,101255,5398,4662,10068,5493,4771,10267,2399,2385,4787,3377,4942,8319,989,1513,2498,78836,82788,161625,3976,4104,8088
LGA25340,81681,87267,168948,4130,3794,7922,10039,9552,19591,5022,4592,9616,4046,3595,7640,7167,7390,14555,8398,9433,17834,10675,11941,22616,10959,12245,23203,11310,12807,24115,7383,8453,15833,2561,3467,6029,77406,83104,160511,4275,4165,8437,848,747,1597,39,34,80,21,27,46,915,805,1724,62788,66566,129352,14138,15699,29838,72957,77708,150667,4293,4884,9177,73430,78401,151839,1346,1223,2566,9389,8924,18318,3773,3634,7409,1404,1438,2843,1435,2941,4374,33425,39884,73310,10173,10278,20453,11952,10935,22885,4641,4608,9251,2612,2966,5579,250,259,514,74264,79974,154240,6625,6820,13446
LGA25430,10105,10150,20253,430,377,808,1067,976,2046,506,434,935,363,250,617,949,781,1730,1119,1139,2258,1353,1454,2808,1580,1719,3292,1652,1707,3353,834,924,1755,259,393,644,9763,9757,19523,342,386,726,143,114,254,5,0,7,0,4,4,148,114,267,8097,8206,16303,1322,1193,2521,8587,9021,17612,320,336,660,8659,9121,17782,120,92,212,986,897,1876,365,329,697,74,82,158,219,479,695,3992,4900,8889,1132,1143,2274,1833,1139,2969,569,461,1030,321,342,662,20,16,36,8849,9305,18153,1188,835,2019
LGA25490,8592,8780,17374,463,502,963,1208,1128,2333,527,525,1048,366,358,721,832,898,1729,903,974,1879,1140,1134,2273,1252,1356,2606,1237,1143,2377,529,536,1062,142,236,381,8174,8411,16584,420,372,791,137,157,292,0,0,3,8,0,8,143,155,300,7307,7475,14784,624,667,1287,7862,8036,15903,175,205,381,7772,7947,15722,128,127,248,1122,1052,2175,369,416,783,72,111,185,130,304,431,2556,3565,6122,1289,1190,2478,1457,1068,2525,660,477,1141,389,289,679,17,7,21,7863,8072,15936,582,631,1220
LGA25620,7822,7378,15197,357,298,651,829,720,1555,424,357,783,318,275,599,636,660,1291,788,790,1579,1074,1071,2145,1336,1310,2650,1260,1150,2410,658,546,1204,154,196,346,7422,7042,14469,398,335,730,122,110,235,9,7,14,0,0,7,136,120,259,6185,5838,12020,850,853,1712,6826,6501,13328,284,279,567,6842,6511,13349,102,78,180,727,653,1378,295,267,563,61,88,155,109,268,378,2313,3048,5360,1105,967,2072,1494,1059,2552,708,420,1128,313,223,538,23,17,42,6927,6624,13549,867,762,1635
LGA25710,31101,31794,62895,1614,1604,3221,4330,4119,8447,2357,2223,4572,2035,1791,3823,2791,2781,5573,3634,4023,7660,4747,5129,9874,4551,4747,9297,3255,3390,6646,1456,1452,2909,340,539,880,30126,30889,61012,975,906,1883,178,179,355,13,4,17,0,4,3,192,190,380,25222,25695,50919,5021,5277,10300,27484,27664,55147,2759,3284,6039,28938,29487,58429,566,575,1144,4186,3986,8171,1986,1945,3936,968,942,1908,692,1263,1953,15183,17356,32543,3726,3289,7017,3389,2671,6062,1320,1159,2482,623,708,1334,75,53,128,29737,30381,60122,864,1023,1883
LGA25810,5989,5963,11948,283,297,582,653,564,1214,271,291,559,305,257,566,679,668,1348,573,550,1117,696,757,1458,950,941,1891,927,882,1804,497,519,1022,148,242,384,5705,5703,11409,284,262,541,107,105,204,9,5,15,3,4,7,113,116,229,4856,4841,9702,529,565,1098,5120,5143,10258,323,322,643,5197,5196,10390,82,83,164,587,518,1106,174,203,372,59,61,116,74,176,250,1740,2100,3844,876,806,1687,988,911,1902,511,401,910,334,308,641,41,24,59,5301,5361,10665,684,625,1311
LGA25900,49702,52238,101942,2112,2070,4177,3782,3668,7452,1659,1631,3289,2654,2898,5551,10991,12130,23118,8944,9335,18287,7182,7499,14681,5799,5808,11604,3935,4123,8050,2052,2212,4268,597,876,1468,47581,49770,97354,2123,2471,4589,234,242,476,7,8,14,11,6,15,252,257,514,30148,31701,61848,16305,17436,33737,36299,37592,73895,10041,11417,21461,38453,40700,79149,625,652,1278,3570,3445,7012,1414,1418,2834,1293,1450,2741,2762,3990,6755,32776,35895,68671,3013,2887,5899,2682,2461,5140,979,854,1830,790,899,1689,191,245,442,44868,47487,92355,4510,3762,8271
LGA25990,4000,3671,7671,145,167,311,403,408,810,209,183,387,158,140,295,325,319,645,402,369,778,589,532,1123,651,579,1228,708,594,1302,322,278,602,88,103,195,3817,3512,7335,178,156,337,73,68,140,0,0,0,0,0,3,74,72,144,3248,2972,6223,384,340,733,3297,3258,6558,80,84,167,3273,3213,6483,42,51,93,359,340,704,132,127,259,20,53,68,46,113,159,946,1276,2225,510,512,1029,995,552,1546,367,266,633,236,177,409,17,9,21,3321,3284,6610,627,348,978
LGA26080,1550,1725,3276,40,47,86,111,114,226,82,45,129,51,43,96,81,71,153,101,124,226,138,172,311,251,319,574,396,404,798,229,279,512,75,95,175,1408,1588,2995,141,141,281,6,4,11,0,0,0,0,0,0,6,4,11,1237,1435,2673,178,170,352,1389,1558,2943,48,66,113,1388,1587,2970,14,18,26,104,107,210,66,44,111,17,22,42,30,52,82,843,984,1827,177,220,401,164,159,324,63,48,105,29,29,63,0,0,0,1362,1553,2924,203,200,408
LGA26170,15117,15455,30577,757,684,1437,1943,1755,3697,854,831,1690,617,512,1127,1253,1379,2628,1513,1612,3123,1888,2030,3917,2332,2511,4840,2396,2415,4817,1225,1228,2454,350,505,857,14331,14710,29041,786,745,1532,162,162,324,10,6,24,6,4,9,181,177,358,12323,12411,24736,1638,1880,3524,13574,13809,27388,541,646,1185,13608,13900,27507,223,191,416,1761,1621,3378,616,629,1245,134,158,292,178,489,665,4492,6063,10560,2319,2214,4535,2654,2169,4826,1194,911,2105,723,622,1347,36,43,80,13718,14136,27855,1230,1234,2465
LGA26260,8126,8457,16588,440,428,868,1013,936,1953,504,453,956,395,366,763,849,810,1660,796,908,1700,980,1028,2006,1156,1246,2398,1156,1183,2342,628,724,1349,211,380,585,7731,8079,15806,395,380,780,175,199,376,9,4,7,4,0,7,186,202,389,7031,7168,14204,568,710,1276,7414,7696,15109,229,274,501,7435,7684,15125,125,129,254,945,875,1820,364,333,695,56,77,137,121,242,362,2453,3190,5642,1208,1209,2422,1406,1138,2549,653,543,1200,425,420,842,20,28,45,7465,7765,15231,616,656,1271
LGA26350,49893,54806,104703,2008,1939,3950,4095,3963,8061,2205,2405,4609,3690,4501,8189,11498,12247,23743,7510,7524,15042,6036,6593,12626,5102,5582,10682,3996,4985,8975,2721,3351,6073,1030,1714,2749,47573,52235,99807,2323,2573,4892,176,157,342,8,3,18,8,7,13,193,168,363,32232,34657,66886,15332,17641,32970,37087,39457,76544,10417,12789,23205,40595,44206,84799,695,597,1298,3888,3776,7665,1974,2197,4166,2095,2537,4634,2645,3523,6167,35090,38748,73837,2422,2942,5368,2041,2263,4306,880,901,1777,789,1066,1853,175,304,481,45986,50457,96439,3112,3478,6587
LGA26430,5687,5771,11455,270,257,532,577,521,1088,267,253,520,242,164,404,431,474,911,523,610,1137,629,699,1337,930,1017,1947,1094,988,2090,537,531,1068,178,257,433,5386,5542,10929,297,232,526,107,84,194,4,7,11,0,7,12,112,97,207,4577,4632,9209,520,600,1126,4970,5038,10011,192,232,419,5018,5089,10110,81,80,163,515,463,975,166,179,348,51,39,84,69,190,265,1746,2194,3936,755,784,1541,1023,847,1870,439,368,802,313,261,571,29,22,48,5053,5181,10228,565,584,1147
LGA26490,18604,19087,37694,1158,1139,2301,2724,2413,5133,1065,1032,2093,838,718,1556,1756,1906,3662,2548,2829,5371,2521,2655,5178,2385,2555,4936,2302,2322,4628,1026,1070,2099,284,455,738,17359,17954,35310,1250,1138,2386,115,104,221,6,4,10,5,0,7,125,107,239,15476,15783,31262,2128,2312,4439,16897,17287,34184,732,830,1562,16908,17312,34221,380,359,738,2536,2281,4824,869,856,1721,340,363,693,466,813,1276,8667,10073,18738,2148,1991,4142,1941,1569,3514,704,592,1290,348,323,674,25,22,47,16852,17498,34350,1519,1585,3102
LGA26610,10748,10652,21403,650,648,1298,1377,1332,2704,616,503,1120,607,573,1180,1537,1535,3074,1342,1337,2672,1172,1164,2335,1476,1376,2852,1158,1093,2250,604,713,1321,213,385,597,10257,10227,20487,491,425,915,433,475,904,19,12,29,11,24,29,459,508,967,7901,8009,15912,1852,1714,3567,7961,8071,16030,1834,1667,3504,8473,8662,17137,158,157,314,1238,1180,2416,390,354,748,97,165,257,162,374,543,3062,3827,6887,1335,1292,2629,1713,1369,3084,817,650,1467,679,524,1206,186,149,335,9617,9547,19163,1190,1124,2314
LGA26670,3166,3059,6223,150,134,278,353,330,684,164,133,294,98,99,199,245,237,484,297,325,625,381,387,772,569,543,1116,544,486,1031,276,257,533,87,131,217,2950,2868,5818,216,188,404,49,58,112,0,0,0,0,3,3,51,65,112,2614,2513,5126,251,275,527,2797,2724,5516,86,84,175,2815,2720,5533,43,45,84,317,308,624,111,103,212,13,33,48,35,100,131,857,1114,1975,457,425,882,674,495,1168,257,188,439,148,123,279,0,6,11,2736,2659,5392,327,289,618
LGA26700,14384,15425,29808,738,796,1535,1893,1780,3670,904,878,1775,632,658,1291,1462,1580,3051,1575,1723,3303,1813,2045,3859,1964,2166,4135,1919,1940,3858,1107,1271,2379,372,578,952,13712,14827,28539,671,598,1266,259,263,528,10,7,15,10,8,24,276,282,559,12196,13026,25218,1269,1428,2700,12832,13701,26531,719,838,1551,13095,13981,27070,215,234,450,1743,1655,3400,618,655,1277,127,191,313,270,551,815,4490,5940,10430,2024,2092,4111,2584,2239,4828,1075,912,1994,667,655,1320,49,58,101,13244,14184,27431,1015,1158,2172
LGA26730,17033,18369,35406,970,858,1828,2274,2080,4352,1063,1045,2107,917,926,1835,2235,2271,4509,2035,2200,4233,2083,2356,4444,2115,2480,4592,1918,2160,4080,1041,1318,2362,387,680,1065,16289,17661,33954,746,710,1457,359,328,683,7,0,11,6,0,13,375,329,699,14396,15630,30025,1642,1755,3401,15108,16408,31517,938,959,1900,15139,16552,31691,258,271,527,2092,1945,4039,745,798,1542,205,310,512,476,751,1220,5859,7600,13459,2332,2482,4812,2565,2347,4910,1219,1098,2315,793,800,1597,79,54,130,15658,16965,32625,1309,1350,2659
LGA26810,22995,22653,45639,1226,1169,2397,2771,2589,5358,1292,1228,2514,1174,1006,2180,2741,2431,5166,2643,2564,5206,2662,2905,5565,3291,3377,6671,3285,3150,6433,1488,1614,3105,418,622,1038,21723,21661,43386,1266,988,2252,445,438,885,14,5,23,9,12,24,470,454,923,18700,18384,37082,2519,2525,5044,19725,20083,39808,837,960,1801,19781,20150,39931,340,312,649,2541,2383,4919,864,872,1729,191,266,463,320,869,1186,6143,8072,14220,3178,3172,6353,4844,3481,8324,1869,1473,3344,1103,967,2075,67,71,133,19883,20583,40467,2858,1876,4735
LGA26890,2012,1997,4006,110,129,238,219,210,428,84,79,162,86,50,139,182,178,358,192,201,393,246,267,513,358,333,693,328,288,621,151,169,319,52,91,141,1914,1895,3801,95,103,198,21,22,45,0,0,0,0,0,0,21,27,46,1704,1660,3365,127,143,269,1809,1776,3592,39,51,96,1797,1773,3571,33,42,75,201,187,391,50,47,96,11,11,22,11,44,52,505,690,1193,336,300,642,404,298,704,148,102,255,119,88,208,0,8,9,1792,1789,3574,196,190,384
LGA26980,81917,87430,169346,4030,3753,7787,9699,9470,19164,5091,4897,9984,6700,6040,12736,11947,11683,23627,11230,12074,23300,10765,11911,22674,8897,9818,18721,6941,8316,15256,4557,6071,10629,2067,3405,5471,79950,85215,165165,1970,2209,4180,236,250,489,11,13,17,6,11,15,252,274,523,45902,47483,93383,33215,37079,70292,46526,48084,94609,32414,36178,68588,63038,67106,130146,1477,1351,2828,9324,9137,18460,4599,4520,9120,3894,3631,7528,3888,5027,8916,48445,52340,100787,5731,5821,11551,5294,5642,10939,2631,2842,5476,2174,3032,5205,703,967,1670,77684,82602,160283,3956,4415,8374
LGA27070,113834,115556,229396,8606,7910,16508,16564,15630,32198,6780,6342,13122,7557,6890,14445,17692,18182,35876,18630,18605,37234,13729,14122,27849,10754,11876,22630,8029,9163,17191,4183,4818,9006,1322,2014,3332,111713,113514,225221,2126,2047,4170,1037,1104,2144,31,31,64,32,37,71,1097,1171,2270,66303,67138,133440,42689,43648,86334,57316,57803,115115,51161,52289,103445,93539,95508,189045,2570,2327,4899,15573,14649,30228,5453,5435,10883,3129,3220,6353,4061,5866,9925,51701,55690,107389,9364,8672,18038,11354,9810,21160,4939,4659,9596,5023,6443,11467,1571,2068,3642,108920,110386,219306,4671,4945,9620
LGA27170,21064,22183,43253,1305,1396,2702,3035,2949,5982,1485,1312,2797,1362,1213,2574,2887,2959,5849,2576,2865,5438,2502,2694,5198,2388,2647,5034,2153,2336,4491,1045,1291,2334,326,519,846,20187,21347,41535,878,837,1717,663,733,1398,20,28,48,12,22,31,699,781,1479,17591,18588,36174,2399,2515,4910,18537,19561,38096,1448,1542,2989,19112,20206,39320,396,451,844,2830,2751,5583,1031,968,1994,388,423,815,608,1074,1680,6864,8473,15334,2688,2560,5249,4001,3683,7680,1259,1190,2447,806,787,1594,112,107,218,19274,20574,39849,1621,1374,2989
LGA27260,147444,144566,292011,13464,12633,26099,24703,23321,48025,8356,7661,16018,9771,8262,18034,24543,26471,51014,29524,27561,57085,15991,15395,31385,10655,11359,22013,6936,7480,14415,2847,3220,6061,659,1189,1852,145027,142448,287478,2423,2111,4531,1195,1203,2399,24,25,42,35,30,67,1248,1260,2511,69014,67848,136855,70654,69468,140117,64736,63820,128559,72999,72396,145394,104797,102919,207715,3648,3333,6983,22683,21483,44166,6633,6340,12973,4233,3850,8081,5935,8745,14678,70030,71708,141741,9598,8968,18561,13018,10976,23993,4972,4647,9616,3267,4017,7288,1323,1743,3066,138866,137461,276330,8198,6914,15107
