LGA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
LGA25810,5051,5101,10147,1883,1036,2913,633,1205,1837,199,220,414,112,87,199,2826,2548,5372,1738,2096,3831,4,3.5,3.8,55.9,49.9,52.9,53.7,48.2,50.9,93,92,180,44,121,167,308,559,864,300,512,808,1278,718,1994,62,79,140,59,79,143,1394,878,2269,4746,4771,9516,585,589,1170,3462,3419,6884,1634,1684,3311
LGA25900,43814,46502,90312,22014,18417,40428,6669,10328,16998,1518,2074,3589,1538,1303,2840,31744,32117,63854,8875,11318,20189,4.8,4.1,4.5,72.4,69.1,70.7,68.9,66.3,67.6,5862,6778,12639,1325,2469,3791,12879,14870,27750,4079,4901,8981,4545,2563,7104,225,300,528,525,746,1267,5296,3604,8897,34611,36337,70943,11275,12236,23512,19190,20461,39654,24952,26367,51315
LGA25990,3447,3097,6546,1118,562,1681,345,730,1074,140,138,273,67,54,119,1671,1480,3154,1495,1346,2844,3.9,3.6,3.8,48.4,47.9,48.2,46.5,46.1,46.3,51,76,127,42,95,127,181,361,540,197,332,531,871,417,1292,23,62,84,34,55,88,932,531,1464,3017,2950,5961,303,327,628,2217,2103,4321,972,1027,1999
LGA26080,1403,1560,2965,362,221,581,224,343,562,57,82,134,15,23,41,653,670,1327,639,791,1430,2.4,3.6,3,46.8,42.9,44.7,45.6,41.3,43.4,140,115,250,42,104,151,325,408,736,150,219,368,223,91,315,6,11,16,25,35,56,255,140,391,1236,1421,2659,183,173,359,848,973,1823,535,577,1108
LGA26170,12428,13017,25444,4756,2375,7127,1748,3565,5304,518,653,1172,245,200,448,7266,6785,14053,4324,5378,9705,3.4,3,3.2,58.5,52.1,55.2,56.5,50.6,53.5,295,435,735,174,452,624,1047,1793,2840,859,1463,2321,3611,1694,5306,116,224,339,170,268,429,3891,2180,6079,12274,12468,24742,1613,1753,3365,8352,8389,16736,4938,5294,10229
LGA26260,6672,7094,13766,2900,1518,4418,857,1874,2732,246,323,572,142,98,233,4143,3819,7958,2142,2847,4998,3.3,2.6,3,62.1,53.8,57.8,60,52.4,56.1,155,190,341,101,203,308,486,994,1481,485,746,1228,1861,914,2775,73,128,206,73,114,185,2003,1156,3155,6559,6752,13319,953,1068,2020,4704,4741,9450,2451,2719,5175
LGA26350,43790,48902,92690,22510,17653,40160,6762,11012,17771,1418,2015,3438,1377,1264,2645,32068,31944,64012,9495,14566,24055,4.3,4,4.1,73.2,65.3,69.1,70.1,62.7,66.2,6581,6786,13366,1349,2495,3840,15221,16759,31981,3585,4772,8360,3175,1911,5087,192,271,463,461,748,1209,3826,2930,6757,36156,39622,75771,10869,12083,22959,21292,23889,45180,24107,26246,50351
LGA26430,4838,4998,9835,1789,1017,2805,571,1133,1699,182,239,419,99,72,173,2639,2467,5100,1740,2087,3832,3.8,2.9,3.4,54.5,49.3,51.9,52.5,47.8,50.1,105,153,253,59,160,217,390,626,1019,353,584,941,1235,658,1891,32,92,124,58,92,149,1331,833,2163,4500,4576,9075,591,613,1208,3102,3078,6184,1762,1900,3663
LGA26490,14726,15530,30258,6615,3571,10183,2289,4774,7072,655,856,1513,296,249,544,9859,9455,19316,4074,5251,9327,3,2.6,2.8,67,60.9,63.8,64.9,59.3,62,935,1133,2061,403,884,1289,2983,3820,6802,1513,2006,3517,3469,1413,4883,74,144,220,201,278,477,3745,1832,5579,14651,14992,29648,2728,2872,5600,8861,8948,17812,7556,7917,15473
LGA26610,8722,8673,17396,3979,1950,5928,1012,2194,3208,320,402,726,213,149,357,5523,4694,10223,2370,3235,5606,3.8,3.2,3.5,63.3,54.1,58.7,60.9,52.4,56.7,76,159,240,73,207,284,465,957,1420,505,763,1268,1968,1105,3069,67,125,201,106,150,257,2144,1381,3529,8480,8361,16841,1165,1239,2404,5812,5784,11592,3280,3295,6580
LGA26670,2665,2592,5258,1115,540,1654,301,675,974,99,129,228,61,39,104,1579,1381,2960,846,978,1826,4,2.9,3.5,59.1,53.4,56.3,56.7,51.8,54.3,52,58,111,44,90,132,161,332,490,184,299,482,781,392,1168,21,50,76,47,57,98,849,497,1344,2523,2469,4986,325,303,627,1864,1768,3631,872,886,1752
LGA26700,11752,12844,24603,4970,2930,7902,1631,3473,5099,425,616,1044,242,180,422,7267,7204,14467,3793,4866,8660,3.3,2.5,2.9,61.8,56.1,58.8,59.8,54.6,57.1,254,428,684,211,499,714,1055,1809,2860,881,1516,2405,3331,1770,5100,104,200,306,161,210,376,3593,2177,5773,11772,12504,24276,1611,1802,3418,8298,8661,16964,4438,4964,9403
LGA26730,13788,15433,29229,6163,3399,9563,1960,4578,6538,505,699,1209,296,259,556,8921,8945,17863,4051,5612,9664,3.3,2.9,3.1,64.7,57.9,61.1,62.5,56.2,59.2,456,554,1009,258,564,818,1426,2417,3839,1024,1662,2684,3523,2177,5698,127,211,335,150,260,410,3804,2641,6444,13741,14860,28602,2070,2287,4356,9055,9780,18836,5967,6637,12612
LGA26810,18996,18895,37887,7231,3786,11017,1947,4796,6743,718,832,1550,547,405,951,10447,9821,20265,7166,7702,14866,5.3,4.1,4.7,55,52,53.5,52.1,49.8,51,335,492,831,228,545,768,1296,2327,3626,1187,1980,3168,5534,2715,8250,188,306,495,222,321,540,5946,3342,9285,17325,17808,35128,2894,2898,5794,11747,11936,23679,7429,7764,15192
LGA26890,1678,1653,3333,804,340,1148,171,437,605,50,79,129,34,22,61,1056,877,1932,472,621,1094,3.1,2.9,3,63,53.1,58.1,61.1,51.5,56.3,14,28,50,16,41,59,75,220,292,103,177,270,401,206,603,21,27,48,15,22,36,436,252,692,1626,1589,3219,171,178,343,1224,1174,2402,472,487,958
LGA26980,68197,74202,142397,29051,18741,47792,11427,19226,30650,2105,2784,4887,2521,2192,4714,45105,42937,88045,20272,28238,48509,5.6,5.1,5.4,66.1,57.9,61.8,62.4,54.9,58.5,8724,8609,17330,2000,3361,5359,17114,19547,36660,6524,7876,14395,7795,3940,11736,367,522,890,788,1203,1990,8948,5666,14612,66263,71543,137805,12052,12111,24161,44058,48678,92732,30748,31643,62392
LGA27070,88666,92021,180685,41098,22946,64046,12678,23206,35884,3100,4020,7122,3622,3126,6747,60504,53300,113804,23851,34448,58300,6,5.9,5.9,68.2,57.9,63,64.2,54.5,59.2,5601,5560,11155,1112,2505,3615,11865,15588,27456,8312,10373,18683,17434,9529,26960,684,1023,1708,1151,1803,2956,19273,12352,31626,93261,95228,188492,14251,14124,28374,59356,61273,120631,41010,41521,82533
LGA27170,16729,17840,34569,7961,4584,12545,2001,4793,6794,568,781,1351,495,411,902,11021,10572,21594,4857,6427,11283,4.5,3.9,4.2,65.9,59.2,62.5,62.9,56.9,59.8,374,536,908,278,611,888,1364,2344,3707,1442,2076,3516,4930,3067,7993,177,307,484,223,371,593,5324,3742,9069,16401,17457,33862,3276,3320,6598,9896,10540,20438,8697,9086,17785
LGA27260,109284,108604,217884,53976,30585,84564,16401,25693,42099,4350,4811,9166,4775,5142,9913,79507,66235,145739,23333,36275,59612,6,7.8,6.8,72.8,61,66.9,68.4,56.3,62.3,12381,11249,23632,1709,3083,4791,19399,22794,42194,10803,11866,22668,17203,10296,27493,790,1046,1839,1293,1740,3030,19288,13075,32363,111968,111522,223495,24466,23719,48185,58927,59378,118303,66444,65439,131881
LGA27350,39249,41333,80584,21155,17588,38748,6024,9243,15271,1308,1850,3153,1211,1042,2255,29703,29727,59435,7327,9600,16931,4.1,3.5,3.8,75.7,71.9,73.8,72.6,69.4,71,6024,7018,13044,1540,2398,3939,13601,14624,28226,2897,3268,6168,3268,1825,5096,209,259,466,324,440,760,3800,2517,6317,30081,31654,61738,11042,11756,22803,16692,17985,34676,22952,24023,46973
LGA27450,62089,64947,127036,30294,15491,45782,8512,19678,28190,2432,3495,5925,1515,1425,2941,42756,40083,82842,16772,22479,39255,3.5,3.5,3.5,68.9,61.7,65.2,66.4,59.5,62.9,2288,2949,5237,1104,2600,3705,7290,10975,18266,5544,8623,14168,18616,8599,27209,499,931,1430,864,1374,2243,19985,10902,30882,66363,67979,134340,6811,7175,13987,47378,48113,95491,21802,23383,45183
LGA27630,2769,2765,5538,1040,455,1499,289,667,952,90,124,213,51,29,79,1471,1276,2745,1069,1245,2314,3.3,2.3,2.8,53.1,46,49.6,51.4,45,48.2,22,47,64,25,67,90,123,270,393,169,292,454,685,374,1060,29,34,59,28,45,79,739,457,1197,2763,2660,5428,249,253,502,2112,2008,4119,761,788,1553
LGA29399,456,418,869,149,102,249,110,123,236,28,11,42,0,4,10,299,238,536,44,54,99,0.7,2.1,1.3,65,57.6,61.4,64.5,56.4,60.6,8,20,27,10,9,20,64,89,149,22,39,61,94,23,118,3,4,10,4,0,7,105,30,136,233,197,432,150,145,286,138,116,254,227,224,451
LGA29499,4576,3373,7946,621,302,919,281,367,646,125,103,231,298,191,485,1324,961,2281,1218,1228,2447,22.6,19.6,0,28.9,28.4,0,22.4,22.9,0,114,129,239,35,69,98,337,365,701,161,208,372,614,336,949,54,54,112,50,41,90,715,435,1148,847,576,1426,2008,1884,3889,538,340,876,2171,2008,4180
LGA29799,36,6,38,7,0,8,0,0,0,0,0,0,0,0,0,7,0,15,0,0,0,0,0,0,28.6,25,28.2,28.6,25,28.2,0,0,0,0,0,0,3,0,3,4,0,4,4,0,4,0,0,0,0,0,0,4,0,4,7,0,7,0,0,0,5,0,5,7,0,9
