LGA_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
LGA22250,40,209,140,4279,79,4745,0,3,0,238,4,253,29,0,0,25,0,55,8,0,0,0,0,12,62,21,16,47,0,145,301,214,162,3850,94,4626,63,0,4,0,0,74,4,0,0,18,0,21,51,18,15,346,4,429,11,3,0,16,0,39,12,4,0,4,0,16,38,0,0,0,0,44,47,45,45,1052,12,1201,37,13,0,156,4,211,0,0,0,0,0,0,8,0,0,0,0,9,3,0,0,0,0,3,23,0,4,8,0,33,7,0,0,0,0,15,20,9,3,7,0,36,16,0,4,8,0,26,4,3,0,0,0,6,0,0,0,0,0,3,63,68,43,1019,5,1204,5,0,0,5,0,5,13,8,0,0,0,18,6,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,23,0,26,129,24,9,65,4,239,14,5,0,118,725,865,828,397,263,8294,902,10683
LGA22310,2018,6011,4688,21854,211,34787,37,44,18,309,3,411,12575,208,461,323,62,13632,520,110,72,189,4,894,826,276,202,542,6,1851,8917,4037,2917,19105,196,35173,1028,39,146,18,4,1243,981,155,126,294,4,1562,1952,562,379,2132,19,5041,4941,723,359,2167,41,8237,921,209,139,355,16,1638,6772,155,129,91,20,7164,2742,988,742,8824,49,13344,3078,842,425,2672,30,7046,847,15,26,8,0,898,259,62,32,112,3,467,152,25,24,53,0,255,261,98,67,205,0,630,256,41,26,12,0,341,605,244,150,71,10,1072,3660,718,534,1287,37,6226,3507,261,261,307,32,4365,52,14,8,0,0,75,2090,943,693,6399,40,10169,564,52,35,66,0,723,2375,254,242,49,7,2920,558,47,50,85,0,744,760,119,121,92,5,1096,1319,42,71,24,3,1452,226,64,58,284,0,634,21871,2817,2477,3191,149,30503,1184,144,127,432,4682,6569,74051,12052,9259,48064,5474,148908
LGA22410,70,497,360,7443,131,8503,0,15,17,505,18,550,38,3,3,30,0,79,24,4,0,12,0,43,182,52,42,133,0,417,828,504,351,6767,124,8587,111,3,30,5,0,149,19,0,4,29,0,59,122,51,38,811,4,1031,34,3,0,17,0,58,15,3,0,0,0,17,73,9,3,10,0,90,160,99,74,1865,31,2233,73,40,4,157,5,277,0,0,0,0,0,0,0,3,0,0,0,3,7,0,0,0,0,9,59,7,10,58,0,140,49,9,5,11,0,78,61,20,25,18,0,127,26,3,0,30,0,61,10,0,0,5,0,17,10,0,0,6,0,18,227,152,97,1965,29,2481,10,0,0,5,0,17,27,6,3,0,0,39,16,6,0,13,4,36,7,0,0,3,0,16,25,0,0,0,0,23,33,9,6,62,0,114,388,88,68,159,6,713,27,17,22,219,1215,1498,2226,954,688,14782,1497,20152
LGA22490,106,838,723,9335,125,11123,4,17,5,345,0,371,60,7,11,47,0,117,109,26,16,87,3,240,288,123,91,326,0,827,1352,804,627,7437,93,10315,34,0,18,3,0,59,32,6,12,67,0,111,254,98,70,759,3,1188,52,18,12,53,0,138,54,19,8,31,0,107,44,10,0,8,0,65,261,153,126,2530,20,3088,188,96,32,491,6,801,5,0,0,0,0,4,6,4,0,0,0,10,24,10,3,13,0,47,133,50,29,138,0,357,24,0,0,10,0,43,72,38,22,11,0,147,89,36,13,63,0,199,31,11,0,15,0,60,8,0,0,0,0,7,361,208,167,2297,17,3041,30,9,4,5,0,55,25,12,4,5,0,50,36,10,5,42,3,93,13,15,0,5,0,25,18,3,6,3,0,23,42,9,13,93,5,156,471,123,121,299,13,1022,29,9,4,232,1084,1358,3383,1579,1238,17473,1308,24985
LGA22620,471,3139,2127,43264,537,49540,7,92,38,2474,44,2659,898,59,84,606,20,1662,109,34,17,110,0,279,565,315,177,787,8,1855,3756,3009,2108,42246,566,51684,733,20,148,27,3,934,105,44,32,278,0,464,574,320,186,4216,40,5340,191,73,28,229,6,522,82,38,19,67,0,210,1273,65,27,47,0,1415,804,744,440,14518,135,16643,548,338,134,2731,19,3778,77,8,6,4,0,96,30,12,4,35,0,88,27,6,6,20,0,58,155,80,34,201,4,468,109,43,35,63,0,254,172,119,104,105,0,500,161,51,24,207,4,452,81,12,14,62,0,171,27,25,0,5,0,61,1022,773,552,11901,90,14336,55,9,11,34,0,118,167,45,18,29,0,265,117,20,22,115,6,272,159,29,11,14,0,211,150,9,22,7,4,194,147,90,48,408,0,692,4927,566,409,1472,71,7444,230,45,37,1120,6242,7676,14975,5918,3946,89129,7505,121470
LGA22670,4732,1905,1539,7835,268,16281,50,55,45,427,13,590,18637,152,277,157,149,19377,1019,65,31,85,16,1210,778,102,63,172,20,1142,7529,1353,1087,7097,270,17327,3036,65,185,51,16,3352,615,23,13,51,0,697,852,138,92,651,24,1751,3019,403,228,733,33,4415,512,37,23,40,5,622,10299,88,72,38,30,10529,917,316,206,2331,35,3802,2834,427,224,1042,39,4569,678,0,15,0,4,700,775,107,58,65,12,1011,543,27,40,31,6,642,417,50,33,117,8,623,507,79,46,19,10,658,324,70,37,26,7,468,879,51,49,67,11,1062,561,34,17,24,3,642,734,55,26,11,20,848,965,293,239,1969,39,3494,2136,69,55,52,30,2348,316,21,35,28,3,396,638,18,19,32,4,716,3182,96,73,48,23,3428,16976,145,303,143,75,17653,115,13,20,79,0,233,52885,1214,1146,975,405,56628,3369,75,77,196,7861,11579,123278,4658,3908,17142,9218,158208
LGA22750,1889,9772,7007,77002,1058,96732,46,158,114,3009,49,3375,3413,143,240,599,15,4413,2775,439,223,1074,41,4558,2843,1069,655,2671,45,7283,14946,8700,6279,73062,1008,104004,2240,88,374,114,27,2839,430,126,90,588,4,1240,2655,993,643,7642,94,12032,1254,311,137,872,8,2590,618,139,85,323,0,1171,4542,136,76,117,19,4885,3579,2247,1501,27449,228,35001,4227,1332,556,5940,88,12143,209,5,25,13,0,250,228,79,37,148,8,503,1173,201,93,400,13,1874,1019,273,157,873,17,2340,441,161,89,93,7,792,684,411,299,202,12,1611,1456,318,207,881,20,2877,472,89,69,177,8,822,122,51,16,15,0,205,4083,2466,1765,22829,192,31334,1084,141,67,197,16,1497,557,142,89,95,3,890,678,126,105,283,7,1196,449,71,42,53,6,630,850,36,73,20,3,987,608,245,168,885,13,1921,16481,2116,1611,3674,184,24067,800,107,106,1588,12546,15147,63950,18717,13113,160154,15116,271057
LGA22830,772,1538,1029,19340,315,22996,11,101,40,2308,52,2514,764,13,27,118,4,931,67,31,10,63,3,174,370,149,83,451,6,1064,2169,1386,1001,18650,320,23520,737,6,127,11,9,882,44,5,4,116,0,178,325,126,105,1570,10,2136,327,63,15,266,5,676,45,13,12,22,3,91,1661,31,11,20,3,1740,401,325,191,6191,55,7153,1947,460,203,2572,45,5224,19,0,4,0,0,25,20,3,4,9,0,32,189,21,5,109,0,334,52,26,13,96,3,188,95,20,30,26,0,169,137,36,40,51,4,270,74,27,6,93,0,212,22,9,7,19,0,51,274,23,0,3,0,303,519,379,233,5032,47,6212,38,8,6,19,0,71,69,7,10,11,0,91,93,17,4,69,0,190,89,0,8,16,0,115,91,0,11,4,0,109,59,22,16,100,0,194,7360,395,273,812,76,8917,344,37,22,467,4622,5496,16806,3150,2075,40954,5424,68409
LGA22910,79,562,339,4658,80,5721,0,7,4,163,3,180,92,11,8,58,10,174,73,8,6,12,0,98,211,67,55,147,0,480,1153,548,389,4874,88,7053,42,0,10,3,0,60,52,11,11,35,0,111,208,62,39,485,13,800,56,11,9,46,0,116,33,8,6,7,0,54,45,19,5,12,0,80,273,163,101,2152,33,2718,173,85,32,403,3,709,4,0,0,0,0,4,8,3,0,9,0,17,20,3,0,9,3,36,90,24,10,42,3,167,20,4,0,3,0,26,47,23,23,8,0,99,91,20,8,36,0,159,28,9,9,5,0,48,5,0,0,0,0,5,302,155,97,1813,16,2377,47,8,3,8,0,73,26,9,0,0,0,36,14,7,6,17,0,39,10,4,0,0,0,16,17,6,0,4,0,24,46,22,12,77,0,154,547,116,72,229,13,972,32,5,5,146,1163,1346,2993,1090,696,10457,1374,16604
LGA22980,18,94,92,2005,40,2248,0,0,0,84,3,89,11,0,0,8,0,19,0,0,0,6,0,7,35,5,8,18,0,73,210,108,73,1819,44,2252,44,0,7,0,6,57,12,4,0,13,0,24,33,19,20,765,8,839,7,0,0,0,0,9,7,0,0,0,0,8,33,0,0,0,0,38,27,18,11,412,3,477,10,13,0,37,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,4,0,0,3,0,6,6,0,0,6,0,14,3,0,4,21,0,30,0,0,3,0,0,5,4,0,0,0,0,4,43,25,18,497,4,586,0,0,0,0,0,0,10,6,0,0,0,14,0,0,0,0,0,3,0,0,0,0,0,3,8,0,0,0,0,8,3,5,3,14,0,21,316,18,9,38,5,389,5,0,0,65,338,408,744,191,146,4176,439,5698
LGA23110,1277,3469,2585,15701,228,23256,24,49,32,476,11,589,3037,84,211,188,30,3543,1025,116,84,339,14,1583,534,225,141,384,3,1283,6362,2731,2007,14316,230,25653,1358,49,192,46,5,1646,329,60,33,145,4,570,992,301,183,1486,22,2982,2337,381,164,1011,21,3920,225,51,30,91,3,394,2534,68,51,38,5,2699,1958,798,529,6111,49,9440,3314,742,358,2319,53,6788,121,5,10,7,0,143,1621,417,202,256,13,2503,1132,150,55,273,6,1618,2239,384,213,1102,30,3967,456,71,51,25,3,610,541,169,140,51,8,907,758,100,68,294,6,1228,228,26,28,56,0,347,170,28,6,4,0,207,1795,699,539,4594,30,7664,666,92,55,88,0,897,251,56,26,9,0,347,338,23,13,50,0,428,174,41,40,25,3,282,1866,41,102,64,7,2080,253,79,44,214,0,591,9185,1048,883,1113,88,12317,664,54,42,264,3669,4698,40097,7326,5229,34300,4375,91322
LGA23190,52,369,286,7820,108,8635,0,12,4,321,7,345,101,3,9,25,0,140,6,11,0,7,0,27,87,51,37,124,3,300,441,366,276,7317,107,8509,133,0,29,10,3,181,18,0,5,64,0,86,75,46,46,1927,16,2110,27,12,4,22,3,64,16,0,0,7,0,27,193,0,0,6,0,208,113,61,44,1836,24,2081,154,39,25,362,0,583,4,0,0,0,0,4,8,0,0,5,0,17,0,0,3,0,0,10,7,9,0,12,0,26,15,0,3,0,0,22,25,21,5,6,0,53,36,9,0,34,0,81,10,0,4,7,0,16,0,0,0,0,0,0,110,89,69,1978,14,2274,7,0,0,3,3,11,20,8,0,0,0,35,20,0,0,9,0,28,13,3,0,4,0,20,15,0,0,3,0,20,10,10,3,66,0,90,526,68,48,144,10,792,30,6,4,237,959,1239,1898,704,528,16104,1187,20429
LGA23270,7553,5826,3767,29279,361,46783,64,121,46,1522,36,1794,3089,79,145,215,17,3538,1312,203,106,343,19,1981,614,224,155,522,4,1518,10006,3718,2711,24388,416,41240,4246,83,328,81,21,4761,294,41,39,147,3,520,1230,330,231,2044,27,3865,2745,628,305,1441,40,5155,294,71,36,115,5,517,15631,198,126,94,33,16083,1674,882,524,8414,76,11566,8624,2201,976,6763,89,18661,179,0,16,0,0,202,6606,1700,607,1005,65,9987,900,186,86,329,16,1506,2771,619,395,1863,20,5674,673,108,103,68,7,957,674,195,151,95,3,1117,787,160,105,375,0,1427,223,31,35,68,0,356,2720,195,67,28,29,3039,1725,761,553,6309,56,9403,702,83,41,94,11,924,236,54,45,32,0,378,757,73,52,151,9,1043,2470,83,50,74,8,2678,2038,35,83,32,19,2217,154,54,40,238,0,487,79441,3825,2322,3298,413,89292,3135,309,145,661,11663,15913,145210,14686,8933,61900,13172,243901
LGA23350,59,507,379,6418,81,7439,0,7,4,232,7,252,35,4,7,28,0,72,31,12,3,11,0,56,151,61,32,127,4,361,853,525,402,5722,98,7604,43,0,7,4,0,55,35,11,5,45,0,95,214,66,47,738,16,1073,17,8,0,15,0,42,19,6,0,14,5,42,29,9,5,3,0,42,139,121,101,2174,30,2558,108,56,17,245,0,432,0,0,0,0,0,4,6,3,0,6,0,13,0,3,0,6,0,8,11,4,6,16,0,37,18,0,6,4,0,35,31,22,9,7,0,64,42,11,9,30,0,91,3,0,0,10,0,17,0,0,0,3,0,0,200,138,81,1742,15,2174,10,3,3,8,0,25,14,5,5,0,0,23,10,0,3,9,0,22,0,0,0,0,0,3,3,0,0,0,0,3,44,15,6,51,0,112,281,93,92,218,8,685,5,9,3,172,978,1166,1850,971,705,12661,1178,17368
LGA23430,1834,5911,4912,29873,276,42799,38,49,34,610,13,734,9701,168,361,318,47,10598,831,106,64,243,11,1263,1219,379,269,696,11,2575,11960,4923,3765,27994,317,48963,1723,55,242,48,4,2060,740,89,85,309,8,1232,1783,453,388,2466,39,5124,5878,775,515,2108,139,9412,499,108,70,171,8,847,6015,148,138,114,15,6437,3265,1341,871,11303,85,16873,4000,1027,516,3350,39,8937,458,5,26,5,0,508,561,117,44,150,11,882,178,42,29,52,0,304,431,131,86,351,6,998,388,72,53,31,6,547,669,297,215,80,3,1271,1301,217,179,395,4,2091,1659,73,117,81,7,1937,147,40,15,9,3,204,3142,1159,889,8300,75,13571,661,72,42,101,0,874,911,133,101,38,0,1179,583,47,46,110,0,779,1102,131,127,129,6,1491,1797,50,90,34,9,1978,389,94,75,361,0,925,17136,1819,1551,2010,130,22629,940,93,55,486,4859,6434,68505,11609,9036,63096,5877,158129
LGA23670,1834,5531,4178,32435,266,44242,37,87,36,858,17,1032,21263,226,497,368,71,22422,534,98,33,176,0,848,1728,529,323,1139,16,3730,9775,4816,3477,28680,311,47053,1879,52,202,29,6,2169,427,53,37,282,3,807,2170,569,378,2842,58,6015,1787,415,197,1133,9,3547,595,92,64,161,10,924,6537,140,122,93,9,6908,2080,978,707,8972,59,12796,3137,914,441,3115,34,7638,1024,0,25,3,0,1060,348,72,35,93,0,544,187,42,16,91,0,337,407,138,96,338,4,993,328,80,38,47,5,500,428,191,172,122,5,911,981,123,109,303,12,1521,352,26,50,47,4,481,175,20,20,3,0,227,2239,1099,841,8128,59,12374,438,64,41,54,5,595,662,134,120,54,3,972,403,36,29,82,0,556,2576,143,133,113,3,2966,1394,29,70,29,5,1529,348,87,64,369,0,867,16359,1363,1191,1802,96,20808,723,61,46,506,4550,5878,71893,10446,7873,63479,5421,159103
LGA23810,567,2525,1841,25154,452,30536,7,47,28,1417,29,1519,517,20,27,95,4,669,170,29,12,65,4,279,1165,410,275,1023,12,2883,3913,2374,1744,21718,493,30240,643,31,156,35,7,879,83,9,14,124,0,232,817,292,196,1923,49,3264,275,65,26,194,6,566,119,39,3,71,0,235,543,20,8,32,4,604,807,546,298,5719,88,7450,1277,327,133,1648,47,3426,22,0,0,0,0,25,25,5,3,15,0,47,17,3,0,9,0,32,684,183,71,673,9,1625,145,29,43,48,4,271,156,110,65,72,3,408,398,76,33,224,5,741,98,19,19,43,4,180,64,12,3,4,0,83,1301,640,539,5730,95,8301,108,15,6,37,5,170,80,26,21,11,5,139,145,17,15,83,7,264,92,20,7,15,0,131,102,0,9,3,0,115,127,38,37,168,5,371,2803,397,281,956,74,4513,210,54,39,759,5312,6371,14447,4867,3419,48159,6433,77318
LGA23940,25,160,130,2692,52,3047,0,4,0,139,3,149,18,0,3,21,0,41,9,3,0,0,0,13,66,11,13,33,4,128,325,165,123,2598,50,3257,115,0,6,0,4,122,3,0,0,12,0,19,59,9,13,192,0,270,18,0,4,9,0,23,12,7,0,3,0,23,27,0,0,4,0,32,63,29,22,777,15,901,42,12,0,78,0,131,0,0,0,0,0,0,9,0,0,4,0,11,7,0,0,0,0,8,21,3,0,11,0,40,9,0,0,0,0,23,13,4,6,3,4,24,11,0,6,5,0,19,0,0,0,0,0,0,0,0,0,0,0,0,97,61,48,801,11,1013,4,0,0,0,0,4,4,0,0,0,0,5,5,0,0,15,0,15,0,0,0,0,0,0,7,0,0,0,0,7,9,0,3,24,0,38,116,24,18,47,5,211,14,0,0,72,754,841,887,293,228,5475,871,7759
LGA24130,319,2269,1615,16277,183,20663,6,18,28,405,3,456,233,25,41,120,8,427,184,46,28,91,0,352,404,161,121,346,4,1036,3663,1996,1497,14351,203,21717,150,9,23,13,0,185,143,37,19,128,6,330,601,259,157,1386,12,2419,194,60,42,169,7,472,102,21,12,42,3,183,179,30,15,23,0,239,875,552,381,5996,72,7882,780,295,135,1173,17,2405,13,0,5,4,0,19,35,26,6,28,0,98,70,16,9,48,0,151,486,180,94,415,9,1178,65,20,25,17,0,132,161,103,78,27,0,375,265,73,44,189,0,577,68,15,9,37,0,132,19,7,3,0,0,35,996,548,392,4701,47,6681,54,12,9,21,0,90,122,28,18,10,0,180,79,14,9,30,0,138,59,27,21,17,0,121,38,7,10,3,0,59,181,44,26,201,0,450,1509,426,328,745,16,3023,80,24,12,289,2351,2758,9404,4127,2927,32190,2814,51458
LGA24210,1583,2666,2189,14701,148,21290,20,18,18,229,10,297,31914,348,659,384,187,33492,626,88,50,171,0,936,719,206,104,370,0,1402,5420,2326,1773,14443,178,24139,669,34,115,18,3,847,280,32,21,130,0,464,946,295,173,1298,15,2727,6276,749,447,2405,74,9955,262,30,18,71,8,389,3334,98,98,56,8,3598,980,517,370,5220,31,7117,6551,1150,487,3699,81,11976,1180,7,19,0,0,1213,817,116,84,163,7,1190,637,84,49,212,4,992,387,102,59,213,3,773,87,15,3,18,5,128,247,94,74,35,3,450,496,85,64,150,7,800,242,33,30,48,0,345,29,12,4,0,0,52,1076,554,443,4506,24,6605,227,34,22,24,0,313,510,62,39,27,0,636,299,21,28,68,0,421,633,44,38,43,0,754,1043,37,80,34,6,1196,149,36,26,209,0,414,14589,870,880,1296,69,17708,696,36,26,189,3218,4170,74741,6488,5040,34444,3982,124700
LGA24250,41,370,317,3192,50,3980,0,0,3,96,3,108,74,0,8,16,0,104,20,5,0,14,0,44,104,44,35,70,4,250,553,328,281,3100,28,4293,11,0,9,0,0,21,27,0,8,18,0,59,178,48,32,272,5,541,25,9,0,39,0,74,17,9,4,3,0,33,21,0,7,0,0,27,125,78,67,1175,7,1451,69,33,18,138,0,264,3,0,3,0,0,3,0,0,0,17,0,23,6,3,0,7,0,16,13,6,8,12,0,39,11,4,6,3,0,16,34,23,11,7,0,72,46,7,6,14,0,74,15,0,4,3,0,24,0,0,0,0,0,0,160,94,67,994,8,1325,4,0,0,0,0,8,8,12,3,3,0,22,7,3,7,14,0,31,0,0,0,0,0,3,11,0,0,0,0,11,21,5,5,38,0,74,275,64,59,134,4,542,12,0,0,78,714,809,1488,678,556,6640,818,10178
LGA24330,1304,2671,2166,11411,104,17649,22,61,25,507,5,619,7175,185,251,233,63,7917,711,106,59,189,5,1063,321,178,120,382,0,1006,4789,2204,1638,11150,142,19924,1577,46,180,42,15,1860,272,50,32,122,0,473,653,241,176,1337,20,2422,1638,240,145,606,15,2652,132,45,21,77,0,273,2699,70,72,47,10,2905,1400,717,503,5699,35,8358,2067,586,272,1684,25,4645,253,6,15,8,0,279,219,30,24,49,0,320,804,92,48,176,3,1125,424,166,102,378,3,1073,260,38,32,13,0,336,447,120,109,32,0,708,527,114,79,246,3,966,161,15,27,66,3,280,122,17,8,0,0,154,1218,589,489,3820,22,6135,517,39,35,56,5,645,153,33,16,19,0,229,452,37,40,55,9,593,210,33,24,21,0,297,9135,136,232,141,36,9680,166,71,45,206,0,479,11196,991,817,1112,96,14222,1061,31,48,197,4122,5447,44463,5658,4442,26004,4643,85209
LGA24410,915,4830,3437,28375,238,37793,26,55,26,646,12,763,8742,122,287,244,45,9441,326,73,23,172,6,596,1308,524,289,1165,6,3297,7560,4263,3058,26211,257,41353,809,20,161,50,0,1042,285,81,49,270,5,682,1263,514,373,2678,32,4861,713,247,96,691,9,1758,293,71,35,139,3,550,3004,115,78,58,9,3262,1679,920,608,9068,68,12342,1731,764,302,2453,20,5274,492,4,20,8,0,522,167,36,19,47,0,267,131,26,19,89,0,263,256,118,62,255,3,696,129,41,22,43,0,243,342,207,158,106,0,814,544,114,102,314,5,1081,209,29,35,85,4,359,39,33,7,8,0,77,1900,998,737,7952,56,11649,191,28,11,51,0,275,523,79,98,48,0,743,263,28,25,78,5,398,544,80,68,89,3,794,598,13,49,35,6,696,291,97,51,309,9,749,10256,1092,866,1531,69,13808,494,65,27,505,3293,4375,39097,8942,6294,56728,3982,115043
LGA24600,1234,3133,2855,13366,141,20728,63,51,43,614,11,777,33319,212,519,289,122,34459,409,72,57,137,3,688,655,234,156,535,5,1590,8423,2892,2381,15153,185,29036,2585,32,241,22,14,2888,829,83,79,206,9,1201,1425,342,299,1951,18,4033,862,249,146,540,15,1808,219,55,32,107,0,416,9721,79,66,54,23,9935,2390,920,743,7776,31,11862,2791,726,377,2020,44,5955,2630,16,33,17,6,2706,282,48,43,82,0,456,247,41,32,73,0,395,282,108,69,282,0,740,366,47,36,12,0,460,611,112,77,45,5,851,724,114,88,282,0,1216,611,53,33,101,7,804,129,3,7,8,0,154,2012,831,705,5576,52,9179,387,35,30,42,4,495,322,46,48,7,0,423,1142,37,33,64,5,1285,643,45,50,30,0,760,3430,28,120,24,26,3625,263,72,52,257,0,650,26782,1159,1261,1382,162,30748,1165,27,36,221,10823,12264,92851,6729,5970,32514,11551,149615
LGA24650,4253,4613,3023,25191,332,37413,63,121,58,1541,11,1779,4537,108,169,193,36,5040,1935,293,164,709,18,3124,571,217,122,489,6,1404,7617,3187,2346,19703,312,33162,7649,175,475,102,15,8419,284,41,23,151,8,505,1180,363,267,1870,29,3714,1738,485,247,1305,11,3797,334,59,32,126,8,561,13858,216,108,90,27,14301,1310,620,401,5451,54,7831,4069,1349,688,4540,41,10689,266,4,8,4,0,287,910,256,89,232,4,1490,2780,420,269,896,12,4371,5313,1327,775,4156,72,11636,916,108,111,49,4,1194,654,178,120,72,5,1032,979,209,132,521,10,1856,206,29,26,66,0,327,2119,107,65,14,14,2320,1528,629,512,4447,46,7160,1382,169,99,196,18,1861,277,58,35,14,9,391,1150,89,50,147,11,1445,1248,59,18,46,3,1376,4235,125,174,98,13,4645,190,54,37,186,0,465,37104,2073,1416,2098,210,42906,2091,109,98,539,10441,13276,97636,10822,7308,51663,11532,178960
LGA24780,437,1191,782,18295,302,21008,15,102,34,2275,51,2486,1062,3,19,91,7,1185,190,39,10,144,8,389,189,70,37,167,5,473,1646,1099,717,17064,323,20856,381,9,45,9,0,448,54,5,6,119,0,187,292,127,66,2402,25,2918,298,78,24,277,4,687,65,17,8,61,4,149,537,11,7,6,0,563,249,213,119,4318,48,4949,1404,394,170,2128,44,4144,67,0,3,0,0,70,4,6,4,8,0,26,14,0,0,8,0,22,31,20,10,67,0,128,65,17,22,33,0,136,101,42,47,29,5,215,75,23,23,87,0,206,27,5,10,13,0,52,140,21,13,0,11,179,371,257,194,4280,41,5142,30,0,0,8,0,45,78,4,10,8,0,99,45,6,7,33,0,92,35,8,3,7,0,50,351,0,9,3,8,365,45,23,24,123,5,222,3728,346,197,599,59,4930,226,29,19,515,4053,4844,10535,2497,1577,37530,4826,56972
