LGA_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
LGA24780,355,344,172,111,154,39,18,1190,101,101,52,31,41,17,0,349,131,94,50,35,36,5,4,352,1821,1907,1195,762,901,225,67,6875,18,13,11,8,0,0,0,52,2421,2461,1476,946,1139,285,87,8813,43,39,38,18,30,19,6,193,33,44,23,21,21,9,0,147,15,28,18,12,21,8,0,98,473,689,439,325,364,86,16,2395,26,29,11,13,8,0,0,88,590,824,533,394,439,107,27,2913,3009,3286,2011,1343,1574,392,108,11730
LGA24850,491,427,223,109,142,71,30,1494,188,173,94,57,75,27,15,635,181,168,97,54,63,19,7,590,2002,1855,1078,667,832,271,100,6810,5,6,6,3,0,0,0,16,2869,2632,1502,891,1110,393,153,9543,26,44,29,13,15,14,0,143,35,39,28,18,27,14,3,170,7,23,12,10,15,7,10,85,363,507,316,207,276,73,43,1784,10,22,12,12,3,0,0,65,441,640,404,257,339,109,54,2243,3305,3272,1905,1148,1444,499,207,11784
LGA24900,87,76,48,32,45,14,0,301,41,44,27,11,16,5,5,145,65,49,23,18,23,6,0,175,930,1031,656,449,547,128,32,3772,5,7,3,4,4,0,0,16,1125,1210,757,511,634,142,29,4409,3,3,11,4,4,3,0,27,16,21,8,4,6,0,0,65,9,11,15,9,7,0,0,52,205,310,219,149,171,20,10,1083,9,10,3,0,0,0,0,17,238,360,255,172,189,25,9,1246,1363,1567,1006,681,822,170,42,5661
LGA24970,4554,5759,3181,1926,2415,1845,1221,20901,561,538,314,222,303,186,93,2208,686,718,403,253,318,188,101,2682,1684,1841,1430,992,1521,899,453,8820,28,37,15,10,12,0,0,110,7522,8890,5346,3405,4566,3118,1880,34723,246,578,468,357,556,496,328,3029,74,107,80,76,102,64,46,550,43,90,61,56,97,63,23,437,174,299,278,235,361,201,94,1637,19,20,14,14,4,6,0,84,564,1095,903,730,1120,831,490,5731,8078,9984,6250,4133,5685,3948,2365,40453
LGA25060,1154,1223,630,433,503,394,216,4556,542,502,273,230,321,227,107,2202,661,632,286,161,200,161,91,2188,2970,3274,1989,1332,1852,1222,586,13233,19,20,8,8,5,0,0,56,5348,5658,3187,2161,2883,2001,997,22237,168,211,152,96,162,126,79,996,50,81,77,64,81,48,26,437,24,77,54,50,63,40,17,330,217,360,296,259,332,223,119,1795,25,30,22,9,10,4,0,97,484,756,607,473,651,438,244,3660,5838,6413,3792,2639,3534,2442,1243,25897
LGA25150,219,219,120,67,69,21,14,721,115,158,90,72,72,31,17,549,123,129,66,51,71,34,11,480,1512,1476,897,594,649,245,94,5463,4,10,6,3,0,0,0,27,1967,1989,1172,787,862,323,135,7237,16,15,14,9,11,7,6,74,26,42,39,20,29,9,7,172,12,28,22,11,21,8,6,109,198,341,265,171,186,72,36,1270,6,4,5,8,3,0,0,31,269,425,342,218,242,96,47,1643,2242,2417,1514,1004,1103,424,185,8883
LGA25250,2686,2368,1082,591,762,550,336,8365,1034,881,479,295,383,222,102,3401,1076,805,428,235,276,159,82,3055,3801,3255,1823,1245,1508,871,370,12872,37,38,17,8,5,0,0,106,8625,7349,3827,2372,2936,1795,886,27800,133,228,165,138,195,153,95,1099,126,197,155,96,155,71,45,844,47,118,96,63,74,53,27,484,299,531,339,244,396,228,116,2149,25,28,15,15,11,6,3,110,640,1099,778,551,833,508,284,4690,9264,8447,4607,2929,3771,2301,1176,32489
LGA25340,368,534,378,291,408,215,102,2299,591,757,525,348,462,164,67,2907,601,692,456,269,340,151,76,2586,5017,5122,3183,2115,2593,966,483,19483,19,23,17,16,3,0,0,83,6603,7125,4558,3036,3806,1493,722,27351,28,77,50,49,74,41,24,344,87,157,157,109,168,59,30,771,48,127,96,91,112,47,11,532,645,1134,780,617,802,279,125,4385,36,53,32,15,14,4,0,158,848,1555,1121,877,1177,424,191,6187,7452,8680,5683,3917,4981,1918,911,33539
LGA25430,24,36,17,5,15,3,0,109,57,64,46,26,41,20,5,257,54,60,31,24,25,5,4,199,512,571,326,223,266,82,25,2010,5,3,0,0,0,0,0,13,651,733,417,283,351,107,32,2581,3,3,6,4,13,3,0,29,12,22,21,18,17,4,0,93,6,8,14,11,10,0,0,41,83,150,102,80,101,27,11,557,6,6,5,3,3,0,0,22,112,195,144,115,140,30,10,748,761,930,565,400,495,137,43,3331
LGA25490,27,29,30,14,25,3,3,131,36,52,34,21,19,5,0,173,43,54,31,25,20,0,3,179,694,746,471,316,396,95,25,2738,4,3,4,0,3,0,0,21,804,884,573,377,464,115,27,3241,0,0,4,0,4,0,0,16,6,8,12,3,9,0,0,36,3,10,7,6,0,0,0,22,77,117,102,76,72,10,3,457,0,7,0,0,0,0,0,10,86,139,121,89,85,12,5,538,888,1031,690,468,546,126,34,3779
LGA25620,20,16,10,14,23,5,0,91,28,31,26,9,14,3,4,124,38,30,20,8,16,3,0,121,432,457,293,185,244,43,15,1675,9,6,0,4,0,0,0,17,520,546,357,226,303,58,24,2029,0,0,0,0,6,0,0,5,10,8,8,4,9,3,0,36,0,0,3,0,3,0,3,16,62,92,85,61,85,21,8,410,0,7,0,0,0,0,0,6,71,104,93,71,104,24,14,475,587,646,453,296,403,81,38,2501
LGA25710,312,379,229,180,224,143,75,1546,290,358,279,169,210,97,47,1450,271,344,184,130,166,118,63,1277,2055,2323,1530,1118,1534,900,441,9903,3,20,0,0,0,0,0,33,2936,3421,2227,1603,2137,1262,622,14202,14,16,27,19,33,25,19,158,23,37,46,31,44,23,16,222,15,41,26,24,36,24,19,178,122,229,209,169,261,123,72,1189,4,0,7,5,3,0,0,18,181,330,313,251,377,191,124,1767,3114,3756,2540,1847,2518,1450,747,15969
LGA25810,32,38,17,9,18,5,6,114,11,12,7,11,5,0,0,51,29,15,13,7,0,0,0,65,363,362,209,152,166,36,9,1298,3,0,0,0,0,0,0,0,442,421,246,175,196,41,11,1530,3,8,0,4,3,0,0,17,4,6,0,0,3,0,0,20,0,0,0,0,0,0,0,5,77,112,65,46,51,12,0,378,0,4,0,3,0,0,0,11,85,128,73,58,63,14,0,436,529,552,316,236,259,60,15,1970
LGA25900,958,780,345,202,221,136,71,2713,474,418,246,166,186,95,49,1631,559,451,225,135,166,89,29,1649,1570,1307,801,517,687,419,197,5502,9,8,7,0,0,0,0,33,3574,2958,1622,1021,1266,740,342,11528,96,142,101,80,106,71,42,637,61,88,62,53,58,50,27,404,40,88,73,35,62,28,18,345,106,221,173,152,176,133,59,1028,19,15,5,3,8,3,0,57,321,554,411,325,406,291,148,2462,3899,3515,2030,1355,1673,1032,485,13993
LGA25990,0,6,0,8,3,0,0,18,7,15,10,6,8,3,0,46,14,17,11,11,14,3,0,65,211,246,162,87,123,29,16,864,0,0,0,0,0,0,0,3,231,282,175,114,144,37,11,1002,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,7,9,0,0,0,0,0,0,11,41,55,50,27,21,3,6,204,3,8,0,3,0,0,0,17,51,66,53,33,23,3,6,238,280,346,230,146,169,45,15,1238
LGA26080,7,0,3,0,0,0,0,9,3,9,4,0,12,0,0,24,0,11,7,0,3,0,0,31,60,70,36,36,46,17,10,270,0,0,0,0,0,0,0,3,70,93,52,36,56,20,15,341,0,0,0,0,0,0,0,3,0,0,8,0,9,0,0,14,0,0,0,0,0,0,0,0,4,0,12,3,11,5,6,44,3,0,0,0,0,0,0,3,8,3,16,11,22,4,6,69,80,99,62,42,74,26,16,403
LGA26170,44,55,41,10,28,3,0,187,76,96,62,37,46,5,0,325,90,82,48,37,47,7,4,304,920,1100,689,456,587,167,52,3965,7,14,6,7,3,0,0,33,1138,1340,848,539,709,181,58,4812,0,9,10,5,0,4,7,44,4,36,15,17,6,3,0,86,4,12,6,9,6,0,0,39,159,236,174,125,156,31,10,898,4,11,8,0,9,0,0,34,169,307,211,160,187,48,18,1097,1312,1646,1058,700,893,231,69,5911
LGA26260,45,71,21,13,11,4,0,157,20,17,8,14,13,0,0,71,49,48,15,13,20,7,0,145,592,582,375,259,323,52,6,2189,0,4,0,3,0,0,0,17,712,714,423,300,365,62,11,2589,3,10,3,0,3,0,0,20,4,10,11,8,10,0,0,40,6,7,0,4,3,0,0,20,80,137,101,76,93,16,3,512,4,11,0,0,0,0,0,23,104,170,114,92,108,21,4,611,817,881,538,387,469,84,17,3194
LGA26350,825,785,337,186,276,218,132,2755,400,334,213,155,195,155,75,1527,462,402,220,144,187,137,66,1625,1768,1624,1129,859,1249,878,481,7981,8,10,0,4,0,3,0,26,3462,3151,1896,1351,1901,1395,753,13912,64,125,97,82,116,95,69,653,48,67,42,36,65,50,30,331,32,54,39,31,43,21,16,230,98,193,192,142,241,185,114,1160,16,16,6,4,3,3,0,53,264,451,375,299,464,350,232,2429,3721,3605,2273,1643,2366,1747,986,16344
LGA26430,16,22,8,9,7,0,3,69,14,18,19,15,17,0,0,76,17,40,15,6,12,0,0,81,347,289,191,132,156,38,14,1160,0,6,0,0,5,0,0,9,405,363,229,161,184,41,15,1403,5,6,0,0,0,0,0,20,0,3,5,8,5,0,0,20,3,0,0,4,3,0,0,11,79,77,67,43,57,5,4,323,9,5,0,0,0,0,0,14,89,87,80,52,66,7,4,390,497,452,308,210,254,51,21,1785
LGA26490,109,114,69,42,53,24,9,421,185,207,109,57,81,29,13,677,198,218,103,53,71,40,11,692,1540,1623,935,644,766,291,113,5905,3,10,3,7,4,0,0,36,2041,2169,1215,802,976,378,146,7727,0,8,10,4,11,4,5,37,21,32,30,15,15,10,3,136,0,11,13,5,23,4,3,68,91,173,161,107,163,50,22,754,5,5,0,0,3,0,0,22,116,222,219,146,211,65,36,1017,2157,2397,1433,944,1190,448,177,8744
LGA26610,151,148,80,59,62,14,3,518,24,25,13,5,7,0,0,76,66,69,25,16,11,0,3,188,755,684,463,259,326,78,18,2588,6,4,4,0,0,0,0,12,1004,929,574,339,399,98,29,3379,17,21,17,8,13,4,0,70,13,25,4,6,8,3,0,60,3,6,3,4,0,0,0,25,130,206,141,120,102,29,6,738,6,7,6,0,0,0,0,25,179,266,170,134,123,35,6,918,1181,1188,748,483,523,135,39,4302
LGA26670,14,9,4,0,7,0,0,32,0,3,6,3,7,0,0,20,11,15,10,9,9,0,0,47,211,212,144,109,98,27,0,798,0,4,0,0,0,0,0,7,231,239,160,120,122,28,3,907,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,10,18,34,31,25,31,3,0,140,0,0,0,0,0,0,0,0,25,42,35,26,26,7,0,157,257,276,193,150,145,41,0,1062
LGA26700,64,65,22,12,19,4,0,191,43,53,43,28,31,5,0,199,60,61,40,28,18,6,0,210,1037,1067,725,468,619,148,22,4094,3,5,6,0,0,0,0,19,1211,1248,832,536,691,164,32,4708,4,6,3,10,12,0,3,36,12,9,14,5,12,0,0,57,3,11,6,7,7,0,0,39,201,293,233,160,178,39,11,1121,9,7,9,5,0,0,0,32,227,335,272,185,212,45,13,1291,1438,1583,1099,720,902,213,41,6001
LGA26730,105,107,58,39,47,20,3,379,77,91,48,34,36,5,0,292,73,86,52,26,42,8,3,288,1162,1183,739,551,661,180,60,4533,0,4,5,8,0,0,0,16,1418,1469,905,657,784,218,69,5521,9,20,9,11,22,6,0,83,22,40,23,12,22,3,0,124,8,14,16,13,15,0,0,78,209,359,265,177,200,53,15,1287,7,12,3,0,5,0,0,32,264,455,327,215,265,65,11,1600,1682,1922,1230,874,1048,281,77,7115
LGA26810,103,109,69,38,58,10,7,400,76,86,57,30,55,9,0,319,112,102,56,34,40,13,5,359,1561,1580,990,655,780,196,43,5809,7,12,8,6,0,0,0,31,1862,1893,1171,767,938,227,62,6916,9,13,3,12,13,6,3,56,14,24,31,16,21,0,0,118,5,18,10,10,13,3,0,53,294,427,272,227,223,49,23,1506,7,19,10,11,6,0,0,52,333,490,326,271,276,65,22,1786,2192,2387,1502,1035,1215,293,82,8703
LGA26890,3,10,3,5,0,0,0,22,3,4,0,3,0,0,0,17,14,9,11,0,0,0,0,35,183,133,92,47,44,9,0,501,0,0,0,0,0,0,0,0,201,154,109,49,47,8,0,570,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,4,0,0,0,7,25,26,22,12,8,0,0,99,0,0,0,4,0,0,0,5,26,31,25,22,14,0,0,116,227,187,134,70,63,9,3,686
LGA26980,3653,4152,1887,1194,1456,1020,639,14002,471,549,378,242,392,235,127,2400,720,717,426,270,350,213,131,2821,2135,2758,2054,1449,2193,1414,677,12680,22,20,8,3,0,3,3,70,7000,8200,4755,3157,4391,2891,1578,31970,198,444,317,289,444,366,258,2317,75,94,75,64,95,65,38,512,46,88,73,47,86,50,31,420,157,304,304,248,418,268,161,1861,17,21,12,15,11,8,0,76,490,956,780,667,1049,754,486,5185,7494,9157,5534,3825,5442,3642,2064,37156
LGA27070,6717,6854,3218,1876,2388,1525,937,23512,1143,1073,556,336,479,260,134,3977,1027,904,438,254,321,164,80,3184,5466,5288,2842,1785,2239,1016,428,19059,75,83,39,16,18,3,4,234,14423,14199,7081,4271,5437,2965,1577,49965,325,588,399,329,463,304,189,2604,186,294,195,140,196,81,58,1154,109,172,102,71,120,60,28,669,798,1268,911,646,868,349,151,4990,50,54,32,24,14,4,0,182,1465,2380,1644,1218,1654,799,424,9588,15893,16583,8721,5485,7097,3768,2001,59552
LGA27170,211,235,128,84,97,35,20,806,101,93,76,39,36,10,0,357,104,97,62,29,34,5,5,336,1675,1628,952,637,771,148,51,5856,5,10,5,3,0,0,0,28,2098,2064,1219,798,937,197,70,7389,15,22,21,15,29,13,8,119,17,25,35,11,16,7,0,115,14,24,10,14,20,0,0,82,406,667,410,259,324,79,24,2165,13,14,9,4,4,0,0,41,462,750,482,301,391,107,33,2525,2560,2814,1697,1095,1330,303,105,9915
LGA27260,16368,16166,7356,3579,4077,2281,1155,50981,1190,1124,571,345,448,181,91,3954,1127,1043,522,313,372,168,85,3621,3528,3480,2176,1449,1761,758,338,13493,115,124,45,25,13,14,0,338,22325,21937,10672,5710,6680,3401,1670,72393,1040,1512,929,658,867,468,304,5776,289,313,200,114,192,74,41,1226,128,245,125,126,143,56,30,847,873,1234,795,599,728,252,114,4602,96,151,70,42,29,6,8,398,2426,3453,2118,1538,1957,857,486,12845,24751,25393,12792,7242,8642,4260,2160,85238
LGA27350,608,496,246,134,186,112,72,1848,378,283,150,96,108,59,33,1114,478,364,174,93,93,56,33,1297,1569,1142,629,405,556,355,137,4798,12,18,7,0,3,0,0,40,3050,2300,1203,732,956,581,277,9103,167,217,169,108,134,116,53,957,49,57,35,52,35,29,20,273,25,54,39,13,25,17,8,173,90,169,126,77,125,77,50,712,38,32,17,9,9,0,0,102,365,534,389,253,324,235,125,2216,3411,2833,1585,990,1278,819,404,11319
LGA27450,736,821,503,310,445,247,140,3193,562,679,383,305,367,189,110,2596,650,689,382,240,315,143,67,2497,6190,5821,3326,2172,2771,1086,489,21861,26,26,20,6,12,0,0,87,8164,8034,4617,3031,3912,1662,803,30221,39,72,63,50,73,45,29,367,95,128,113,102,136,40,27,640,39,76,70,53,92,33,25,383,538,1000,754,554,741,296,128,4011,24,24,16,15,13,0,8,97,732,1297,1012,773,1055,415,212,5499,8892,9332,5632,3811,4962,2081,1014,35725
LGA27630,14,12,4,4,6,0,0,35,6,3,4,7,0,0,0,16,9,4,6,0,3,0,0,23,201,209,152,98,113,23,4,797,0,3,3,0,0,0,0,9,222,228,169,110,125,22,4,882,0,0,0,0,0,0,0,5,0,7,4,4,6,0,0,28,0,0,0,0,0,0,0,8,36,65,48,37,45,4,5,239,0,0,0,0,3,0,0,3,39,72,57,45,51,4,5,278,264,298,227,157,177,29,8,1161
LGA29399,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,3,6,9,0,0,26,0,0,0,0,0,0,0,0,14,10,10,3,6,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,15,14,14,9,3,8,0,0,51
LGA29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
