LGA_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
LGA22620,0,0,3,18,56,58,129,169,40,49,56,64,16,5,15,684,0,4,8,0,8,3,0,7,0,0,0,0,0,0,3,31,0,0,3,5,8,6,7,10,0,0,4,0,0,0,0,51,0,0,0,25,21,46,101,50,5,9,15,5,14,0,8,297,0,3,7,16,17,23,70,63,9,20,15,26,8,5,0,280,0,0,0,0,4,0,11,22,3,3,3,14,3,0,0,65,0,0,0,0,12,7,260,231,74,61,81,38,8,3,5,776,84,339,716,411,244,154,289,109,35,19,20,18,13,4,93,2549,0,0,11,28,21,28,59,32,3,4,8,5,5,0,9,218,0,0,0,7,10,18,25,40,12,11,6,3,0,4,3,140,48,87,102,113,85,80,590,330,112,114,130,82,25,10,52,1953,214,777,1147,942,803,742,2606,1822,534,506,576,483,196,53,331,11737
LGA22670,0,0,3,50,439,318,582,455,106,150,193,241,48,3,60,2662,12,14,64,65,277,83,39,11,0,0,0,0,0,0,17,592,0,0,3,15,56,49,109,51,16,9,5,4,8,0,4,339,3,4,6,86,120,35,86,37,15,6,5,17,4,0,7,427,0,19,126,298,766,813,1511,1043,224,295,428,485,110,23,135,6287,0,0,0,0,29,24,45,42,14,15,22,15,4,0,5,223,0,0,0,13,290,118,342,307,94,53,68,48,8,0,39,1390,44,271,621,365,170,72,156,86,10,16,11,8,5,0,96,1931,4,0,8,12,10,22,46,52,3,13,9,3,8,0,6,193,0,0,8,1043,4412,3044,2465,1623,356,315,292,386,186,56,511,14693,68,259,1080,1827,3748,4515,4424,2733,649,628,729,714,286,88,632,22385,285,1665,4267,5436,12905,12607,19324,14254,3526,3802,4590,4799,1593,490,2463,92008
LGA22750,0,5,7,43,244,207,529,331,106,88,170,199,40,9,51,2017,37,44,59,33,121,48,20,16,6,0,0,6,0,0,18,406,0,0,12,40,42,27,107,30,5,5,7,10,13,0,14,314,0,11,34,97,126,114,280,130,19,21,24,32,17,10,14,936,0,9,21,26,48,32,150,226,33,58,61,84,52,6,17,830,0,0,0,0,6,13,17,34,7,12,7,6,0,0,0,104,0,0,3,14,34,52,268,196,62,45,60,51,16,5,29,825,333,1321,2991,1467,1068,594,1471,786,140,112,105,112,48,20,427,10992,3,8,38,77,86,94,213,140,37,34,12,35,15,10,22,813,0,0,0,58,134,71,105,88,27,39,34,37,23,3,63,690,169,661,999,748,549,675,1323,948,247,233,230,233,90,29,302,7439,1014,4569,6554,3916,3748,3253,8195,6570,1605,1632,1816,2279,888,195,1623,47844
LGA22830,0,0,0,0,64,57,105,181,43,47,54,59,28,16,24,683,4,0,0,3,4,0,5,0,0,0,0,0,0,0,0,17,0,0,0,9,3,0,8,0,4,0,6,0,0,0,0,26,0,0,0,0,6,16,32,16,0,3,4,20,3,8,3,109,0,0,0,0,10,8,40,60,5,15,21,9,4,11,4,191,0,0,0,3,0,13,16,28,4,4,19,46,7,0,4,146,0,0,0,4,4,26,45,20,4,4,13,10,11,0,10,155,44,174,338,114,80,56,120,81,10,11,19,16,4,0,51,1118,0,0,0,10,3,11,19,14,8,0,0,10,5,0,3,82,0,0,0,0,10,3,17,22,0,0,3,6,5,5,11,89,16,54,117,99,89,254,548,300,81,50,125,211,68,16,73,2100,160,840,875,449,471,933,2622,2088,556,582,695,809,296,118,401,11896
LGA22910,0,0,0,0,0,8,9,14,0,4,3,6,0,0,0,40,0,0,0,8,3,3,0,0,0,0,0,0,0,0,0,19,0,3,0,0,0,4,4,0,0,0,0,0,0,0,0,16,0,0,0,15,10,3,18,6,0,0,0,0,0,0,0,54,0,0,3,0,0,0,6,3,4,3,0,3,0,0,6,24,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,7,4,0,0,0,0,0,0,0,20,28,101,241,146,105,56,99,32,8,7,8,0,0,0,37,868,0,0,0,11,12,15,17,15,0,3,5,6,0,0,5,88,0,0,0,0,4,4,0,0,0,0,6,0,0,0,0,7,11,36,63,47,56,34,28,16,3,8,5,6,3,0,19,343,66,271,415,341,315,214,275,160,37,36,38,40,14,6,96,2331
LGA22980,0,0,0,0,5,7,14,10,0,9,0,6,0,0,4,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,16,0,12,0,3,0,0,0,80,9,22,41,20,8,0,8,5,0,0,0,0,0,0,3,127,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,13,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,9,0,7,3,6,0,5,77,22,5,8,6,11,0,0,12,156,9,45,62,46,33,18,179,91,20,34,13,27,3,0,27,597
LGA23110,0,0,6,44,302,147,159,162,41,46,68,89,19,13,24,1123,18,21,30,22,98,37,30,19,5,7,3,5,0,0,8,298,0,0,7,11,27,35,52,26,6,3,5,10,6,0,5,200,0,0,17,33,48,45,121,70,8,14,20,24,5,5,3,415,0,0,6,19,45,33,45,20,0,9,14,12,4,0,8,218,0,0,0,0,5,8,12,13,0,3,5,5,0,0,0,53,0,0,0,5,25,27,82,108,41,33,9,36,16,7,3,395,62,348,771,387,398,311,746,462,98,68,66,66,15,10,70,3879,0,5,6,29,31,45,122,79,14,26,12,17,14,9,3,411,0,0,4,212,605,249,129,123,19,26,30,29,13,0,44,1487,98,586,906,606,684,536,750,616,154,190,133,176,57,19,125,5624,325,1916,3663,2470,3376,2650,4844,3577,829,867,913,1066,286,105,647,27530
LGA23190,0,0,0,0,11,6,39,23,18,8,19,9,3,0,3,144,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,0,0,0,4,0,3,13,0,0,12,4,0,0,0,3,44,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,14,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,25,19,0,4,4,0,4,0,0,59,13,38,82,34,21,10,27,22,3,0,8,3,0,0,15,286,0,0,0,4,0,4,0,9,0,0,0,3,0,0,0,33,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,15,8,11,15,18,21,7,73,36,8,5,17,14,5,0,6,248,44,122,137,96,91,74,321,228,47,58,91,67,38,3,40,1457
LGA23270,0,0,15,100,600,505,954,595,124,134,140,163,52,6,37,3424,18,13,27,21,148,49,27,17,0,0,0,0,0,0,5,327,0,0,7,13,40,38,201,79,20,6,17,12,8,0,4,456,0,5,8,36,38,51,115,56,3,19,15,13,5,0,9,386,0,4,49,112,286,663,1277,723,154,134,169,183,45,13,55,3867,0,0,0,3,5,11,27,33,0,3,9,3,0,0,0,109,0,0,0,4,54,77,168,101,45,28,33,20,12,0,25,582,50,387,1058,527,443,184,450,289,34,28,27,31,16,3,110,3639,0,4,7,20,37,35,96,93,17,16,13,16,16,0,8,379,0,0,8,120,508,272,250,170,37,21,29,36,7,0,86,1538,97,581,1933,2974,3053,3107,3599,2711,1776,1029,792,665,153,72,652,23189,377,2571,6309,6113,7901,10508,24040,16413,5565,4601,3918,4874,1516,369,2151,97221
LGA23350,0,0,0,0,6,4,6,11,0,3,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,7,8,0,6,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,4,0,0,0,0,0,3,20,22,77,153,127,76,36,61,30,7,4,8,0,0,0,22,624,0,0,3,3,3,8,12,9,0,0,0,0,7,0,0,46,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,12,13,19,34,23,22,12,31,6,0,5,3,4,0,0,12,183,54,198,251,232,169,115,185,106,14,22,16,21,5,4,85,1489
LGA23430,0,0,0,87,394,205,238,169,58,62,83,106,31,6,23,1456,11,20,45,62,286,81,67,36,7,7,0,9,4,0,12,638,0,5,6,22,43,40,108,43,9,14,19,8,3,0,5,342,0,5,22,143,194,178,405,217,68,85,43,56,30,11,11,1469,3,17,126,254,421,196,252,99,40,22,43,52,20,6,37,1576,0,0,0,0,9,24,36,43,6,15,20,10,0,0,10,179,0,0,3,19,69,72,141,89,41,15,20,19,5,7,7,511,149,538,1288,903,818,544,1602,1015,156,128,130,105,27,20,184,7612,0,4,17,51,62,81,177,111,34,38,28,40,4,0,6,656,0,0,5,343,556,215,188,136,27,37,43,22,13,3,39,1640,79,277,773,1476,1742,1761,1790,1019,292,226,224,198,63,24,196,10142,430,2191,5225,5150,6897,5775,10358,6391,1475,1476,1650,1683,536,155,1113,50498
LGA23670,0,0,10,90,327,177,353,230,77,63,73,80,34,7,18,1534,12,14,42,48,222,85,42,11,4,0,6,0,0,0,10,494,6,4,9,57,152,98,455,163,43,29,19,15,8,0,6,1061,3,7,29,126,273,145,287,94,14,13,19,24,4,5,7,1058,3,5,138,184,562,620,1327,488,64,91,89,127,36,12,40,3788,0,0,0,3,54,103,92,58,11,10,8,0,3,0,4,340,0,0,0,16,60,43,129,82,26,17,19,28,9,4,10,439,138,611,1828,1006,919,340,649,223,37,34,26,39,10,5,162,6029,0,3,16,39,39,81,109,55,14,20,23,7,14,0,4,423,0,0,3,281,462,193,191,83,21,24,21,29,12,3,31,1357,153,336,610,943,1145,799,903,460,95,82,111,118,53,15,146,5964,512,2343,4338,4197,7414,6167,13875,6997,1304,1292,1179,1457,475,145,897,52582
LGA23810,0,0,0,9,122,74,111,106,27,30,33,75,15,7,26,627,12,5,7,4,41,8,4,0,0,0,0,0,0,0,0,87,0,0,0,6,4,4,12,3,0,0,0,0,0,0,0,25,0,0,0,14,22,23,62,20,9,4,0,0,0,4,3,167,0,5,10,5,9,13,39,39,13,6,13,7,3,0,3,158,0,0,0,4,0,0,4,3,0,0,12,0,0,0,0,24,0,0,0,0,10,7,39,49,5,3,13,9,3,0,3,142,186,622,750,369,280,61,156,74,8,7,13,11,0,9,129,2676,0,0,10,20,9,17,48,19,3,4,7,9,4,4,0,151,0,0,0,9,8,17,22,17,8,7,0,5,3,3,10,102,56,252,260,196,139,100,277,165,26,14,23,30,27,20,56,1639,424,1747,1540,963,987,560,1335,848,183,165,223,303,125,61,411,9880
LGA23940,0,0,0,0,4,0,28,36,6,7,6,10,0,5,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,11,6,43,77,39,15,9,12,0,0,0,5,0,0,0,7,215,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,14,13,11,4,8,4,0,0,0,0,0,0,3,72,19,99,128,85,59,27,83,73,12,11,15,18,3,17,26,666
LGA24130,0,0,0,10,11,6,16,38,10,6,6,9,0,0,3,124,0,3,0,6,26,0,8,0,0,0,0,0,0,0,0,52,0,0,0,3,11,0,19,10,3,0,0,0,3,0,0,49,0,3,4,9,19,41,58,13,5,0,3,7,0,0,3,172,0,6,8,6,14,5,3,9,0,0,0,0,0,0,0,61,0,0,0,0,0,0,11,13,4,5,13,23,3,0,4,80,0,0,0,0,4,9,12,12,6,3,0,3,4,0,8,55,51,244,592,409,287,226,471,189,25,28,12,15,10,4,99,2652,0,0,8,39,27,25,50,25,6,6,7,10,6,0,13,223,0,0,0,0,9,7,6,5,0,0,0,4,3,0,0,41,28,112,158,170,114,76,128,66,20,3,3,14,14,10,44,950,150,678,1047,926,776,647,1209,546,110,103,91,123,47,24,245,6727
LGA24210,0,0,11,55,126,58,99,94,27,21,25,38,13,5,19,582,20,24,27,24,71,19,7,4,4,0,5,0,0,0,3,211,0,3,26,61,133,144,330,91,25,30,31,17,19,6,8,933,0,3,12,55,165,193,356,115,35,25,34,32,28,9,12,1074,0,12,48,53,215,149,170,84,30,29,25,37,10,0,12,879,0,0,0,9,175,238,193,98,24,10,23,19,7,3,10,819,0,0,3,13,26,33,71,50,3,5,12,15,9,0,8,252,124,317,620,337,328,237,449,181,26,32,32,43,15,8,71,2816,0,6,16,35,36,51,98,83,16,8,28,29,7,6,20,447,0,0,5,432,369,116,88,59,11,23,12,31,9,8,32,1191,153,446,476,607,580,572,576,448,136,163,135,146,65,20,100,4616,698,3691,4527,3635,7009,6680,11387,7519,1646,1717,1721,1849,868,303,1010,54258
LGA24250,0,0,0,0,6,0,0,6,0,3,0,0,0,0,0,18,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,12,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,14,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,15,16,55,128,52,59,21,51,10,0,0,0,0,0,5,21,411,0,0,4,3,0,4,3,3,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,8,17,23,23,21,7,19,22,3,0,3,3,0,0,9,157,43,137,217,126,150,70,140,94,23,14,25,36,25,5,52,1156
LGA24330,0,0,6,63,283,182,230,174,61,56,70,101,22,4,16,1269,19,12,12,32,83,23,13,22,14,5,0,0,0,0,7,240,0,0,8,14,35,41,99,46,5,17,9,9,0,0,4,284,0,0,3,18,31,27,77,36,9,3,7,8,8,4,4,235,0,4,17,13,29,27,56,59,10,14,29,16,13,0,11,297,0,0,0,0,16,14,23,39,11,12,9,18,4,3,4,157,0,0,0,5,43,41,91,52,18,15,18,18,9,0,5,323,17,72,283,232,254,225,524,387,51,71,53,49,18,4,41,2275,0,0,4,20,36,55,70,72,23,15,20,27,18,0,14,373,0,0,9,862,2822,1330,877,708,179,167,166,192,75,21,240,7669,26,101,338,557,652,841,1144,735,228,280,303,387,113,28,105,5832,127,691,1894,2533,5313,4033,5944,4498,1182,1340,1668,1811,504,139,719,32400
LGA24410,0,6,5,29,112,87,166,122,31,27,27,24,14,5,20,671,10,6,21,30,98,24,15,3,0,0,4,0,0,0,4,213,0,3,11,21,31,43,140,50,3,12,14,6,6,0,6,348,0,3,22,75,141,146,233,77,8,15,27,19,6,10,8,797,0,12,50,67,81,87,224,91,22,49,28,44,16,8,7,775,0,0,0,0,29,39,74,49,3,11,9,10,0,0,0,222,0,0,0,5,24,51,114,98,30,12,20,23,0,0,16,403,181,548,1430,825,624,322,604,233,24,27,26,26,13,5,136,5025,4,4,24,40,51,67,92,55,11,8,13,23,9,4,5,399,0,0,0,100,135,81,69,63,7,17,15,21,9,0,10,521,70,211,250,359,478,359,1077,1004,213,138,334,226,45,11,86,4851,426,1592,2544,2198,2956,2597,7150,4645,969,957,1097,1006,325,97,543,29091
LGA24600,0,0,7,32,179,174,367,314,122,143,237,487,168,47,35,2315,18,19,21,12,60,21,21,28,10,15,26,15,7,5,3,268,0,0,11,25,65,126,437,284,119,80,82,101,62,14,19,1426,0,4,16,46,56,87,179,89,20,26,33,59,22,8,3,637,0,5,14,33,89,72,161,128,81,78,80,120,70,16,4,949,0,0,0,4,53,101,206,324,111,135,206,141,65,10,22,1371,0,0,0,9,49,100,380,352,234,229,251,396,133,18,33,2181,45,175,404,323,353,396,864,519,127,207,191,277,137,66,66,4158,3,4,21,52,74,132,286,254,56,93,108,119,112,45,19,1380,0,0,4,258,384,241,351,455,204,266,234,262,127,16,82,2892,53,123,245,343,583,1108,1808,1673,777,1074,1411,2350,993,119,180,12818,216,734,1290,1769,3556,5330,13448,14297,5923,7451,8836,11583,4997,1259,1242,81927
LGA24650,0,0,10,163,778,733,1946,1246,253,190,132,222,77,26,70,5829,6,3,8,34,200,82,39,9,0,0,0,0,0,0,16,403,0,0,3,12,22,31,133,66,13,15,19,4,0,0,3,333,0,3,5,19,37,75,199,78,11,11,8,3,4,4,3,453,0,3,7,27,128,300,722,368,57,61,27,55,27,7,17,1809,0,0,0,0,7,21,18,18,9,0,4,0,0,0,10,91,0,0,0,13,36,34,161,104,26,15,26,36,6,0,11,475,52,304,892,533,401,151,413,223,31,33,19,23,8,8,82,3187,0,0,4,16,15,28,89,76,16,27,23,12,8,0,13,328,0,0,0,183,678,563,665,435,74,54,57,90,37,4,191,3017,76,583,1250,1561,1843,2330,3850,1870,405,363,337,330,105,54,541,15496,278,1537,3701,3836,5713,7034,18824,11090,2588,2141,1970,2356,773,289,1720,63852
LGA24780,0,0,0,0,28,28,49,78,27,27,18,49,26,3,17,361,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,18,0,0,0,4,8,8,45,22,12,11,5,15,7,0,3,134,0,0,9,0,0,6,11,28,4,3,4,6,0,0,0,81,0,0,0,0,0,0,13,36,11,9,13,27,10,0,6,121,0,0,0,0,10,11,34,67,17,9,12,22,5,0,15,207,41,107,236,138,64,49,93,53,16,11,6,6,3,0,44,868,0,0,0,10,10,5,13,8,0,0,0,6,0,0,0,57,0,0,0,5,44,46,66,47,14,17,41,12,16,6,28,341,22,54,99,135,133,191,196,129,33,24,78,155,33,51,57,1384,153,537,653,430,462,533,1123,1116,420,458,542,687,236,83,335,7772
LGA24850,0,0,0,12,31,24,59,88,21,3,9,28,3,5,10,282,9,4,5,4,17,0,0,5,0,0,0,0,0,0,0,40,0,0,3,5,6,6,34,5,0,6,0,0,0,0,0,62,0,0,0,12,11,26,58,41,7,3,5,0,0,0,0,173,0,0,7,5,9,17,74,33,12,0,6,0,0,0,0,174,0,0,0,0,0,0,3,5,5,0,6,0,0,0,0,18,0,0,0,0,5,23,29,22,10,0,5,3,4,0,6,107,33,179,385,226,125,85,200,124,12,11,20,9,16,0,42,1465,0,0,0,10,9,7,23,9,0,3,0,0,6,4,0,75,0,0,0,3,0,5,11,8,7,0,4,3,0,0,4,60,22,94,121,128,108,113,252,135,44,26,30,19,4,13,34,1155,118,508,833,582,586,581,1756,1022,248,179,216,290,88,55,198,7246
LGA24900,0,0,0,0,17,16,37,41,12,19,17,30,4,3,9,198,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,6,0,0,9,15,0,3,0,4,0,0,0,0,50,0,0,0,0,0,0,6,4,0,4,5,0,0,0,0,23,0,0,0,0,0,0,0,3,5,4,17,26,7,0,0,51,0,0,0,0,3,9,27,20,10,4,3,3,0,0,4,71,36,115,293,127,52,34,39,16,4,0,0,9,4,3,44,798,4,0,4,3,9,0,3,8,5,0,0,0,4,0,0,45,0,0,0,0,0,0,6,5,0,0,0,7,0,0,0,19,7,42,40,30,19,16,32,23,0,0,3,11,4,0,8,246,97,390,482,273,169,176,440,283,125,107,132,149,48,17,137,3018
LGA24970,0,0,3,78,248,182,272,232,98,59,157,184,65,25,25,1638,29,31,51,77,277,85,43,21,4,7,0,3,0,0,11,635,0,3,11,78,195,167,519,302,61,81,103,63,47,17,21,1675,0,8,21,88,151,160,317,90,27,31,27,33,17,9,11,979,8,30,154,280,982,977,1995,1014,328,342,487,545,253,43,93,7515,0,0,0,7,106,192,230,139,35,46,46,49,15,7,10,871,0,0,11,29,78,90,160,105,25,23,34,44,25,0,26,657,133,426,851,523,456,294,570,318,63,53,36,46,38,9,112,3917,0,0,14,48,54,65,146,117,37,38,22,47,22,11,6,635,0,0,16,636,1001,412,323,276,101,98,111,100,87,10,71,3248,103,424,720,1171,1290,1264,1443,818,291,279,288,410,170,38,178,8879,515,3007,6329,5447,10395,10600,21735,13625,3882,4302,5180,6099,2529,610,1786,96041
LGA25060,0,0,4,71,175,87,130,123,50,30,60,76,11,9,6,846,25,21,49,27,97,22,22,19,3,0,5,8,0,0,7,308,0,0,0,26,30,29,74,46,12,10,15,17,10,8,0,269,0,4,7,18,34,38,73,36,10,13,18,13,5,4,3,283,0,8,39,57,97,105,138,56,14,28,32,37,12,0,12,638,0,0,0,7,16,14,39,27,8,0,9,4,0,0,5,113,0,0,0,10,21,38,88,63,27,21,27,20,4,0,12,335,78,256,505,320,301,229,452,314,47,50,49,44,36,6,53,2728,0,9,9,36,49,42,100,73,23,19,37,22,24,0,21,475,0,0,0,390,957,398,247,205,50,37,50,78,25,19,66,2522,116,481,695,794,716,869,1142,758,255,280,282,301,105,19,140,6948,484,3369,4726,3031,3907,3327,5221,3783,1053,1068,1300,1313,427,139,730,33873
LGA25150,0,0,0,3,25,12,35,44,6,5,10,9,0,0,4,150,0,0,6,0,14,0,9,4,0,0,0,0,0,0,0,41,0,0,0,4,0,5,12,6,4,0,0,0,0,0,4,41,0,8,0,8,19,8,36,19,0,0,0,0,0,0,0,101,0,4,5,3,6,3,3,30,3,4,7,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,6,0,17,3,5,0,0,0,0,0,0,28,36,160,471,269,151,71,217,81,6,7,10,3,0,0,46,1534,0,0,4,11,6,10,23,26,5,3,5,3,0,0,4,104,0,0,0,10,6,3,13,10,0,5,0,5,0,0,7,60,16,100,174,142,115,70,128,111,24,11,5,8,10,3,22,944,101,465,862,628,543,361,1003,686,149,100,114,141,46,16,142,5365
LGA25250,0,0,5,48,237,167,250,228,60,74,97,132,30,7,31,1377,29,23,39,26,123,45,37,22,3,3,4,3,6,0,14,383,0,0,3,16,50,69,117,66,12,22,16,21,11,6,10,414,0,3,10,26,62,68,138,61,12,26,14,12,12,5,5,451,0,5,26,45,117,176,249,140,50,42,44,47,32,8,11,996,0,0,0,0,24,23,54,46,8,14,17,9,3,0,0,205,0,0,0,7,32,50,115,103,26,25,23,27,5,0,9,434,54,217,460,360,484,490,993,674,145,165,128,125,53,21,99,4468,0,0,22,54,108,133,234,224,47,73,43,79,41,12,17,1069,0,5,5,164,359,205,185,124,41,30,35,52,15,10,34,1252,132,500,849,1229,1174,1114,1438,1243,456,483,440,495,129,37,181,9897,509,4100,6536,4314,4998,5169,9678,7682,2141,2703,2925,3118,1018,275,1260,56428
LGA25340,0,3,6,15,74,53,101,92,39,37,36,48,21,3,22,551,15,29,23,25,89,28,13,9,4,0,0,0,0,0,4,246,0,9,13,27,17,14,16,12,4,3,0,0,0,0,5,117,4,15,37,129,114,122,213,70,13,28,22,17,8,8,11,819,0,28,53,44,43,18,13,13,0,5,0,5,0,0,12,246,0,0,0,0,0,6,4,9,0,0,0,0,0,0,0,25,0,0,0,3,7,24,78,84,15,12,17,15,11,6,12,287,384,1321,3190,2091,1586,963,2454,1053,115,117,78,84,47,19,435,13924,11,12,43,72,87,89,144,76,16,22,19,27,21,8,19,658,0,0,0,23,23,14,15,6,3,5,5,3,8,0,11,125,132,343,526,555,441,284,409,229,64,49,55,62,16,16,89,3269,851,3404,5592,4140,3626,2356,4679,2380,400,383,365,378,194,72,1027,29838
