LGA_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
LGA24970,45,198,215,749,277,1454,104,713,65,3813,405,2129,1034,1693,1270,1860,523,1070,195,10184,2164,8730,2409,1824,2511,1592,994,1593,537,22349,3984,7933,1882,1380,2499,1157,588,812,443,20670,3594,5765,1781,1508,2651,1091,685,993,349,18404,2040,3586,1352,1042,2011,714,663,957,221,12586,487,1003,347,277,635,201,193,282,78,3507,93,124,40,23,94,33,16,58,28,512,6,5,8,0,4,0,3,3,15,52,12814,29473,9066,8493,11954,8096,3757,6488,1928,92075
LGA25060,35,79,188,497,168,1134,73,548,36,2749,266,1121,775,991,823,1023,234,548,96,5873,1826,6014,1633,1449,1920,857,446,746,280,15164,3219,5416,1235,953,1916,668,366,497,284,14558,3059,3981,1230,1066,2255,783,453,637,234,13712,1716,2611,839,736,1778,546,449,512,162,9341,365,783,234,161,468,156,139,175,55,2534,46,60,26,8,39,24,9,33,18,265,4,0,0,0,3,0,0,0,6,10,10534,20066,6163,5864,9356,5196,2164,3690,1168,64208
LGA25150,6,28,192,141,33,324,33,280,22,1055,55,139,373,238,157,230,99,176,30,1495,337,743,855,473,484,217,283,326,63,3781,593,884,681,439,587,213,346,293,81,4113,666,732,552,430,640,221,393,296,84,4017,441,473,380,384,491,176,345,295,46,3028,169,106,93,50,140,46,94,93,14,801,56,14,3,0,9,5,13,10,11,117,14,0,0,0,0,0,0,0,0,15,2330,3128,3124,2167,2541,1437,1590,1761,347,18429
LGA25250,22,85,232,470,111,1016,80,593,29,2645,353,1531,1215,1825,1059,1417,378,1070,163,9005,3270,12222,3327,3161,3340,1666,973,1639,528,30116,4355,9759,2099,1564,2709,893,661,805,399,23243,3017,5298,1626,1235,2328,782,652,744,294,15985,1402,2769,1056,883,1660,547,590,701,163,9772,232,578,210,201,331,119,145,212,42,2079,27,47,15,13,16,15,16,36,17,202,4,5,0,0,0,0,0,0,4,15,12684,32299,9783,9344,11550,6460,3489,5801,1638,93061
LGA25340,61,67,742,1106,126,1545,103,1005,98,4855,262,489,1552,1345,408,993,215,645,107,6018,1276,2670,2819,1554,1037,828,360,946,199,11683,2769,3546,2490,1416,1619,856,401,903,248,14251,3598,3940,2571,1873,2289,1310,680,1277,330,17877,2693,3189,1978,1504,2209,1124,758,1205,234,14896,1024,1308,539,348,885,426,234,398,138,5300,216,194,63,26,123,58,36,73,56,838,15,17,0,0,3,0,0,0,6,54,11921,15422,12759,9177,8704,7142,2789,6450,1413,75773
LGA25430,7,0,54,68,12,140,9,121,9,416,15,30,102,84,20,49,25,80,8,409,117,263,243,141,110,58,59,122,13,1140,275,589,209,162,150,65,57,121,27,1660,323,665,294,235,206,103,85,156,33,2098,333,511,238,265,224,107,119,213,32,2033,141,225,56,45,96,47,37,55,7,718,40,25,7,0,8,3,0,5,0,89,0,0,0,0,0,0,0,0,0,10,1251,2310,1199,1001,831,583,384,873,133,8570
LGA25490,19,3,89,68,13,149,16,136,16,518,61,30,98,82,35,60,36,123,16,546,250,280,254,160,105,69,71,179,23,1391,359,331,232,150,147,79,71,164,15,1541,504,326,192,183,178,91,109,211,34,1827,535,262,165,180,157,84,139,231,26,1786,369,81,38,47,60,38,40,59,26,753,108,3,3,4,4,9,0,10,14,154,20,0,0,0,0,0,0,0,5,27,2225,1317,1075,875,700,576,489,1118,159,8539
LGA25620,4,4,69,69,10,52,3,98,8,317,21,28,137,78,20,34,22,62,6,408,109,152,279,128,106,57,57,95,17,995,211,200,252,148,137,54,69,102,19,1189,287,241,269,167,194,86,122,170,22,1572,321,240,217,158,184,99,145,179,38,1577,161,103,64,55,53,32,43,51,14,571,83,10,4,0,10,3,4,10,4,137,12,3,0,0,0,0,0,0,4,15,1208,978,1285,808,715,420,459,781,133,6789
LGA25710,21,45,307,430,92,685,47,432,24,2083,149,405,699,531,346,510,122,289,45,3100,549,1547,928,500,517,263,115,218,50,4695,1398,2265,850,481,831,230,136,188,119,6490,1936,2516,1014,786,1227,396,244,290,102,8512,1349,1739,840,591,1183,404,254,321,84,6768,359,508,180,108,332,129,86,112,35,1855,64,57,24,13,42,25,17,24,9,263,5,3,0,0,0,3,0,0,0,11,5833,9097,4836,3440,4570,2643,1033,1864,464,33770
LGA25810,5,0,32,37,7,96,8,88,10,281,31,33,81,93,20,47,25,100,4,430,112,142,147,145,76,53,71,233,22,1002,142,142,101,114,77,55,54,115,17,812,203,136,120,167,105,60,75,158,23,1054,254,123,92,172,122,50,106,167,11,1081,143,46,36,43,41,14,34,31,11,402,51,8,9,3,7,6,5,5,6,89,3,0,0,0,0,0,0,0,5,7,945,634,611,772,457,383,373,897,97,5170
LGA25900,10,50,62,363,79,375,32,215,11,1199,242,864,403,909,542,587,129,277,64,4021,2774,7967,1914,1803,2061,1261,375,825,326,19305,3830,6069,1047,832,1597,731,205,341,278,14915,3192,4290,635,652,1329,605,168,275,194,11337,1837,2806,458,496,957,417,154,234,104,7468,495,1008,114,117,300,131,47,72,70,2361,84,158,14,13,36,29,7,14,27,387,0,10,0,0,0,0,0,0,3,19,12457,23230,4640,5192,6896,4138,1116,2256,1085,61013
LGA25990,7,0,24,22,0,30,10,47,6,145,13,14,54,26,15,19,9,45,0,198,66,63,79,65,32,27,37,59,15,443,97,96,65,50,57,23,44,54,9,501,171,86,89,98,84,36,67,73,20,724,156,93,67,75,82,44,72,86,15,680,92,38,27,22,26,18,16,35,10,279,34,5,5,0,5,5,0,0,0,52,10,0,0,0,0,0,0,0,0,10,644,389,396,362,297,201,262,400,75,3032
LGA26080,0,0,7,15,9,12,0,20,0,62,0,10,6,16,8,10,3,12,0,70,17,40,26,13,13,7,0,0,5,117,41,66,29,13,12,7,0,10,0,182,46,78,21,21,44,15,3,13,9,247,68,109,33,41,47,28,4,18,5,352,42,91,14,7,30,10,0,3,4,211,15,11,3,0,0,4,0,0,5,38,3,0,0,0,0,0,0,0,0,5,229,402,135,128,164,103,20,82,30,1287
LGA26170,31,10,135,163,18,244,14,182,29,825,64,68,220,142,63,100,34,159,16,865,249,357,430,260,177,167,112,235,27,2012,455,487,396,247,242,137,166,234,50,2422,655,559,409,324,389,186,198,328,60,3108,639,489,328,270,343,185,252,352,60,2918,437,175,120,77,112,63,70,136,29,1215,123,14,9,6,15,3,6,13,18,204,10,0,0,0,0,0,0,4,6,23,2668,2155,2047,1490,1365,1086,856,1643,290,13607
LGA26260,16,3,67,72,16,134,14,126,12,458,46,52,124,87,44,81,13,121,4,572,189,282,231,159,85,102,63,173,19,1300,301,297,163,131,153,98,62,114,16,1328,355,283,201,180,181,106,91,158,17,1568,394,232,182,189,205,103,99,205,24,1635,305,89,53,50,74,29,41,65,11,717,70,13,3,3,3,10,3,11,12,126,8,0,4,0,0,0,0,3,6,23,1683,1250,1020,867,761,652,393,969,124,7720
LGA26350,32,79,51,497,119,491,28,270,18,1578,346,1512,425,1209,926,987,146,381,88,6032,3039,9768,1485,1432,2153,1320,291,551,321,20362,3260,5443,700,574,1237,702,118,223,218,12476,2848,3842,418,504,1210,565,115,192,194,9891,1851,2872,326,372,914,425,93,194,116,7156,662,1359,120,115,448,205,53,88,72,3131,156,298,21,20,66,48,9,23,38,678,25,27,0,0,3,0,0,0,4,78,12218,25201,3539,4721,7081,4756,852,1923,1076,61373
LGA26430,15,0,33,41,6,71,0,88,7,255,14,25,71,33,17,25,18,75,10,290,93,124,146,96,54,37,39,102,14,706,156,155,145,91,87,44,58,111,18,862,212,163,140,115,109,58,51,111,18,968,260,155,139,108,153,65,94,157,16,1149,224,80,49,36,46,18,25,62,15,559,78,4,4,5,6,4,4,7,9,125,12,0,0,0,0,0,0,0,4,15,1062,720,724,525,484,320,281,718,106,4925
LGA26490,17,8,106,270,22,328,23,260,17,1042,64,125,280,294,83,176,46,153,19,1243,396,1014,546,419,235,178,65,177,35,3067,967,1614,599,386,444,218,98,174,59,4550,953,1229,553,398,511,262,106,234,75,4330,661,833,390,321,465,224,131,199,58,3279,274,319,84,58,147,72,43,80,15,1100,60,34,7,5,15,14,4,12,6,145,7,0,0,0,0,0,0,0,0,8,3393,5177,2567,2148,1921,1474,515,1296,280,18769
LGA26610,26,4,90,78,24,176,27,119,10,547,81,75,170,134,63,112,35,158,15,850,294,375,326,232,192,131,129,511,68,2254,379,303,230,174,208,106,110,391,64,1968,354,234,166,194,208,104,119,309,28,1711,394,220,186,201,208,108,166,307,29,1813,176,85,51,36,60,29,50,75,19,589,43,6,4,8,5,4,6,14,13,107,11,0,0,0,0,0,0,0,0,8,1757,1305,1217,1055,978,764,636,1896,249,9866
LGA26670,9,0,23,16,3,39,0,36,4,125,10,13,23,32,8,16,8,38,3,149,71,75,59,43,19,19,21,61,9,367,84,98,77,50,56,18,28,40,13,468,150,82,70,53,71,34,49,63,11,586,177,116,81,78,91,29,65,78,14,723,171,28,24,12,17,9,23,36,5,334,75,0,3,0,4,0,0,4,6,96,4,0,0,0,0,0,0,0,3,10,746,406,360,290,279,156,194,363,64,2856
LGA26700,15,5,126,172,38,306,20,297,34,1018,52,85,239,174,71,124,51,154,19,971,257,601,455,338,199,172,120,262,30,2430,412,660,383,312,270,161,155,255,36,2639,484,578,358,420,390,211,235,330,52,3061,449,493,311,350,355,191,265,332,35,2784,283,145,86,73,105,62,73,103,14,946,123,9,4,5,10,5,5,16,4,178,10,0,0,0,0,0,0,0,0,14,2078,2571,1962,1859,1433,1231,923,1754,230,14043
LGA26730,24,6,165,175,55,493,25,315,21,1287,68,138,272,271,116,228,61,254,32,1442,262,898,679,489,291,283,152,536,70,3661,424,885,522,418,358,218,144,377,41,3396,530,753,394,458,496,253,225,369,62,3545,401,606,287,389,441,258,257,401,42,3085,123,151,80,68,99,67,69,122,22,796,26,18,17,4,7,3,3,18,6,106,0,0,0,0,0,0,0,0,0,3,1865,3460,2412,2281,1864,1794,938,2388,301,17305
LGA26810,31,14,214,198,36,383,36,251,28,1194,140,198,357,273,110,173,56,209,21,1546,408,831,672,521,299,207,229,380,77,3631,600,775,606,446,350,206,231,394,73,3677,724,651,563,555,431,262,288,420,52,3946,684,594,475,484,467,235,341,481,81,3831,379,197,103,97,136,61,93,140,28,1250,114,15,8,10,6,10,8,25,22,222,17,0,0,0,0,0,5,0,9,24,3093,3276,3001,2579,1843,1534,1288,2306,391,19315
LGA26890,5,0,13,7,4,7,3,35,4,84,7,6,28,7,0,8,8,26,0,96,79,52,28,31,17,7,18,52,8,287,112,48,22,27,32,13,17,33,0,299,136,51,26,34,37,12,23,38,10,365,195,43,39,41,26,19,34,59,7,467,134,15,8,9,17,3,7,17,3,210,50,0,0,0,0,0,4,3,3,64,9,0,0,0,0,0,0,0,0,7,727,226,162,157,124,79,106,258,38,1877
LGA26980,68,168,224,784,200,1442,98,817,29,3836,386,1602,1012,1557,1011,1661,382,904,177,8692,1823,7339,1983,1675,2154,1297,578,1049,410,18314,3527,7841,1605,1198,2279,939,413,622,331,18766,3685,6059,1670,1427,2581,970,512,829,282,18005,1994,3618,1200,1092,1872,648,501,807,175,11909,440,1066,307,263,552,202,153,289,45,3309,61,146,29,35,70,28,14,42,22,459,0,11,3,0,4,5,0,3,10,39,11988,27848,8042,8043,10730,7185,2656,5364,1473,83325
LGA27070,77,85,556,610,196,1977,133,934,96,4664,415,1137,1791,1627,1098,1862,638,1243,255,10063,2285,6597,4495,3375,3365,1863,1965,2282,653,26886,3643,6820,3946,3470,4042,1668,2292,2067,636,28572,2697,3341,2831,2394,3442,1428,2009,2025,383,20558,1385,1636,1717,1565,2285,971,1643,1702,251,13155,282,369,374,314,476,202,404,455,56,2927,34,18,20,11,26,17,18,47,21,222,4,3,0,0,0,0,0,3,5,15,10815,20006,15735,13364,14925,9997,9099,10760,2344,107055
LGA27170,24,22,290,239,69,522,42,298,34,1548,82,136,550,456,149,239,138,207,25,1976,373,1005,887,748,451,284,341,459,83,4631,593,981,638,588,507,243,306,401,79,4329,604,790,465,502,610,297,356,391,61,4078,416,500,344,402,521,227,306,401,45,3164,140,139,81,83,117,63,98,118,7,853,26,9,10,8,8,9,8,18,6,100,4,0,0,0,0,4,0,0,0,9,2258,3590,3265,3017,2435,1888,1603,2288,354,20689
LGA27260,83,153,503,609,235,2154,267,1133,114,5254,491,1132,1993,1672,1224,1855,1537,1659,345,11902,2875,8707,4573,4107,4494,2398,4630,3074,1029,35900,5939,12843,4371,4620,6007,2284,4120,2605,1017,43808,3270,4607,2709,2737,3629,1283,2756,1992,485,23472,1486,1890,1511,1392,2225,839,1805,1451,226,12825,309,430,284,222,394,167,324,316,57,2497,33,27,18,10,13,6,15,26,8,157,4,0,0,0,0,0,0,4,5,11,14489,29780,15967,15369,18225,10986,15447,12263,3292,135825
LGA27350,15,32,39,236,66,349,24,183,19,956,255,1448,324,1098,710,707,96,287,82,5007,3380,12206,1641,1745,2251,1153,235,471,310,23391,3095,5971,786,620,1090,481,166,284,229,12722,2090,3296,450,416,785,287,142,246,126,7839,1133,2284,319,293,618,233,143,204,76,5294,287,860,93,72,191,86,20,60,23,1692,39,128,16,5,36,10,5,16,0,262,5,3,0,0,0,0,0,0,4,7,10299,26225,3675,4491,5752,3309,826,1749,855,57177
LGA27450,58,62,846,855,129,1352,95,1102,75,4567,301,606,1756,1258,617,1002,296,872,131,6838,1559,3789,3708,1957,1784,875,661,1159,303,15787,2768,4249,2998,1649,2134,832,765,1164,275,16818,3135,3545,2716,1861,2584,1031,1043,1307,320,17541,2203,2470,2126,1529,2254,885,1002,1201,207,13876,679,842,511,333,615,265,290,373,71,3983,126,100,36,29,53,33,23,58,16,468,7,7,0,0,0,0,0,0,8,26,10833,15672,14690,9471,10170,6273,4162,7232,1401,79903
LGA27630,7,0,17,25,0,28,5,53,0,138,12,15,40,16,11,17,24,21,5,162,63,85,60,53,41,32,29,68,7,437,105,60,48,64,39,29,30,43,6,425,157,63,36,67,56,30,43,48,11,513,208,85,70,85,75,40,65,70,12,703,81,27,14,25,21,7,14,32,4,224,40,5,4,0,3,0,5,0,3,58,6,0,0,0,0,0,0,0,0,6,686,331,278,343,241,186,208,335,48,2670
LGA29399,0,0,3,9,0,0,0,6,0,26,4,3,22,25,9,8,13,13,8,102,18,7,31,36,6,4,13,44,7,171,26,10,15,12,4,4,0,0,4,83,23,12,5,7,7,3,0,5,3,66,22,4,0,12,0,3,0,0,3,46,14,0,0,3,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,120,40,74,110,25,30,34,80,27,530
LGA29499,4,0,17,14,4,26,9,10,0,82,7,18,32,45,16,30,15,35,3,217,41,143,83,80,47,36,45,117,14,600,45,89,48,24,29,16,21,53,13,341,34,40,37,32,18,15,38,60,6,277,30,39,28,27,24,10,31,29,5,227,4,7,10,4,3,4,5,6,3,47,5,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,174,334,250,227,143,129,177,308,49,1797
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,15
