LGA_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
LGA22410,0,0,3,7,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,3,19,11,15,11,11,4,71,25,69,52,145,87,124,104,71,39,716,443,1071,905,2019,1377,1659,1480,781,375,10104,0,0,0,0,0,0,0,0,0,0,854,1982,1759,3252,2264,2716,2408,1175,464,16881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,7,3,9,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5,0,0,0,18,0,0,0,0,0,4,0,0,0,11,0,6,0,4,0,0,0,0,0,9,0,3,13,27,38,108,163,105,20,475,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3
LGA22490,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,0,9,0,0,15,0,0,0,0,0,0,0,0,0,4,0,8,0,31,20,27,25,14,5,130,34,77,59,129,85,93,70,38,13,599,741,1883,1323,3008,1818,1626,1197,462,161,12210,0,0,0,0,0,0,0,0,0,0,1473,3716,2607,5244,3105,2545,1862,660,178,21396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,4,0,0,0,18,0,0,0,0,4,4,0,0,0,9,0,4,0,3,5,4,0,0,0,19,0,0,0,6,6,5,19,8,0,46,0,0,0,0,0,0,0,0,0,3,0,17,31,80,126,220,210,108,36,825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,14
LGA22620,0,4,8,47,19,8,0,0,0,87,0,0,0,4,3,7,5,4,0,27,0,3,5,18,3,3,4,0,0,40,6,36,33,138,61,47,59,49,11,441,168,361,335,863,405,479,363,311,166,3448,3519,7502,7142,15840,7605,8098,7032,3970,1886,62586,0,8,17,48,9,7,0,0,0,87,6720,14128,12469,24669,12261,12801,11259,5977,2529,102810,0,7,7,44,3,9,0,0,0,71,0,0,0,0,0,3,0,0,0,8,0,5,0,28,6,0,0,0,0,40,0,3,3,15,4,0,0,0,0,22,4,9,4,40,21,13,7,7,0,110,0,0,0,5,0,0,0,0,0,12,5,11,40,188,55,43,22,6,0,368,0,0,0,4,3,13,14,15,3,57,0,7,9,37,4,7,10,10,0,82,0,47,68,208,299,488,502,354,121,2095,0,0,9,23,10,6,0,0,0,57,0,0,5,22,12,6,15,3,0,56
LGA22670,19,161,486,2667,1775,1592,930,287,144,8057,0,0,0,6,4,0,0,7,3,24,0,0,13,26,9,0,0,0,0,49,18,126,275,1193,608,673,553,384,194,4018,237,401,442,1246,417,385,329,233,117,3808,4671,8683,9565,24196,9133,8304,7013,4288,2061,77912,30,362,757,2630,653,251,109,25,9,4820,8604,13337,10374,12267,4301,3386,3074,1831,777,57952,0,44,42,321,75,42,13,0,0,541,0,5,40,410,255,394,212,135,32,1474,0,0,7,33,0,8,0,0,0,46,33,252,962,3351,1576,1260,834,311,80,8671,4,7,12,33,7,11,8,0,0,82,0,4,6,71,92,87,147,103,26,541,7,135,316,1900,723,809,537,283,173,4887,0,0,3,109,70,162,188,130,52,721,0,14,44,48,19,52,85,59,24,348,4,31,58,152,125,278,348,327,169,1492,0,9,31,191,131,127,59,31,10,587,0,0,6,28,7,16,10,6,9,87
LGA22750,3,11,40,170,76,50,17,5,3,371,0,5,5,18,17,40,37,27,8,155,0,0,7,50,14,12,7,3,0,98,17,123,175,719,335,419,399,378,173,2744,233,671,680,1613,745,714,825,617,275,6384,7500,15764,15832,36781,17127,17086,15775,9113,4228,139203,0,50,124,302,87,28,16,3,0,611,14725,28828,27036,54152,25874,24255,20765,10540,4290,210464,0,9,15,112,18,7,0,0,0,169,0,0,4,138,62,137,70,57,10,475,0,7,6,98,14,5,0,0,0,133,0,0,4,27,11,19,6,3,0,67,9,26,28,188,87,51,39,9,5,440,0,0,0,34,19,11,14,8,0,77,7,109,198,780,222,166,135,51,8,1685,0,8,12,113,115,262,337,351,144,1331,8,29,17,65,6,26,35,26,6,226,26,282,380,1219,1108,1832,1930,1413,543,8744,0,4,15,80,32,28,17,0,3,178,3,14,11,85,35,37,13,13,7,218
LGA22830,0,0,0,34,8,0,0,0,0,42,0,0,0,5,0,5,0,7,0,12,0,0,0,9,11,0,0,0,0,23,16,72,112,292,83,74,54,40,17,770,112,297,244,651,279,311,276,231,122,2536,1927,4400,3810,8755,4245,4344,3694,2217,1004,34388,3,56,150,308,139,70,22,5,0,745,3750,7727,6297,11021,6427,6540,5366,3001,1143,51278,0,4,0,20,5,3,0,0,0,40,0,0,0,0,0,0,0,0,0,4,0,0,0,12,0,0,0,0,0,13,0,0,3,13,4,0,3,0,0,20,3,11,5,9,9,3,6,3,0,51,0,0,0,11,0,0,0,0,0,8,0,10,10,155,38,32,15,5,0,258,0,0,0,5,4,8,17,14,0,41,0,12,8,16,3,0,3,0,0,48,0,25,34,121,102,194,235,160,43,916,6,3,5,44,21,7,6,0,0,94,0,0,0,16,4,5,3,0,0,31
LGA22910,0,0,0,10,0,0,0,0,0,8,0,0,0,0,0,3,4,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,24,18,13,32,18,15,126,31,68,36,141,109,102,125,65,27,707,337,809,569,1571,1242,1529,1451,656,284,8453,0,0,0,0,0,0,0,0,0,0,614,1518,1058,2341,1895,2233,2048,884,307,12896,0,0,0,0,0,0,3,0,0,4,0,0,0,4,0,4,0,0,0,9,0,0,0,3,0,0,0,0,0,4,0,5,3,4,0,0,0,0,0,9,0,0,0,8,5,10,14,4,0,41,0,0,0,4,5,0,0,0,0,7,0,0,0,19,0,3,0,0,0,29,0,0,0,0,6,6,9,6,3,32,0,0,0,0,0,0,6,3,0,6,3,10,6,61,117,176,218,118,37,748,0,0,0,0,5,0,0,0,0,6,0,0,0,9,4,0,3,0,0,24
LGA22980,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,6,0,4,0,16,8,12,10,33,19,27,26,35,28,202,147,282,234,575,355,438,360,290,165,2844,0,0,0,0,0,0,0,0,0,0,274,495,437,870,554,766,645,438,224,4704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,33,39,20,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA23110,0,13,24,268,202,172,129,32,8,846,0,0,0,11,7,16,6,4,5,44,0,0,0,23,6,3,0,0,0,35,8,59,77,619,250,249,257,178,108,1802,116,219,164,628,257,193,187,124,74,1962,2739,5534,4374,13578,6685,5651,4241,2515,1322,46629,0,0,0,15,9,0,0,0,0,20,5369,9705,7385,15889,8459,6697,3751,1709,801,59758,0,5,0,64,8,5,5,0,0,83,0,0,0,40,33,32,17,17,5,146,0,9,8,133,22,4,4,5,0,190,0,4,9,27,34,31,26,14,8,148,4,4,12,82,37,22,8,7,0,176,0,0,3,48,28,22,27,8,0,142,8,32,38,394,145,151,100,42,21,925,0,0,0,40,40,105,146,142,54,523,0,5,8,23,17,30,47,21,13,169,19,147,115,783,549,609,497,276,107,3101,0,10,0,47,19,24,9,9,4,114,0,0,7,81,20,11,13,3,5,146
LGA23190,0,0,0,5,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,5,0,7,0,19,14,18,5,12,6,75,22,48,86,121,82,69,52,64,30,571,606,1209,1126,2457,1266,1395,1166,782,401,10419,0,0,0,0,0,0,0,0,0,0,1109,2379,2084,4015,2109,2401,1954,1179,555,17772,0,0,0,10,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,7,0,0,0,5,0,0,0,3,0,12,0,0,0,4,0,0,0,0,0,0,0,0,0,11,6,0,0,0,0,32,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,3,8,34,26,55,56,37,8,232,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5
LGA23270,0,28,41,313,201,175,86,24,12,880,0,0,0,7,4,5,3,8,5,27,0,3,15,59,23,8,3,0,0,116,49,546,630,2116,1016,865,609,332,117,6289,385,880,650,1983,726,558,424,291,97,5999,9088,17399,15345,38691,14686,12498,8531,4173,1481,121890,0,28,81,229,55,37,10,8,0,435,17478,28054,21455,34048,13115,10622,6135,2582,837,134334,0,31,41,273,86,37,27,4,0,499,0,0,8,111,39,91,52,28,14,339,0,5,3,47,7,0,0,0,0,64,4,3,4,36,5,7,4,0,0,68,3,29,25,68,32,33,11,3,0,195,0,0,0,28,39,46,26,21,0,169,0,30,60,398,171,177,87,52,9,978,0,0,5,49,54,143,192,173,25,646,7,70,63,265,106,186,204,124,50,1072,12,113,143,449,359,657,605,388,141,2866,6,16,82,437,231,202,122,27,6,1128,0,0,5,29,24,24,10,13,0,89
LGA23350,0,0,0,0,0,0,0,0,0,4,0,0,0,4,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,20,13,14,13,18,3,78,19,53,38,118,84,83,71,42,23,528,400,1081,790,1752,1276,1430,1227,574,251,8782,0,0,0,0,0,0,0,0,0,0,804,2056,1441,2947,2052,2275,1976,922,304,14792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,7,8,0,0,30,0,0,0,0,0,0,0,0,0,7,0,0,3,3,0,4,5,0,0,15,0,0,0,0,0,4,4,4,3,7,0,0,0,0,0,0,0,0,0,0,0,6,9,45,78,131,142,92,26,534,0,0,0,7,0,0,0,5,0,14,0,0,0,3,3,0,5,0,0,14
LGA23430,0,12,40,284,211,190,143,36,11,929,0,3,5,22,16,14,10,8,4,81,0,0,5,22,15,11,3,0,0,55,22,145,157,1111,641,562,498,331,136,3602,125,213,209,690,291,276,302,268,175,2550,4222,9047,8226,21735,11867,10018,8305,5287,2773,81476,0,0,0,30,15,14,4,0,0,74,8145,16200,13439,25111,14312,11011,7766,4324,2277,102579,0,6,7,74,28,26,25,4,0,170,0,0,7,83,34,62,29,9,0,225,3,11,19,138,35,14,7,5,0,232,0,12,42,207,233,209,161,57,28,951,3,32,23,151,74,46,28,12,0,360,0,0,3,64,68,45,48,39,3,266,10,191,353,2030,605,672,386,132,55,4449,0,0,5,41,36,84,125,100,37,423,0,3,11,31,36,67,129,93,24,396,19,338,374,1359,1168,1002,893,696,265,6117,0,0,8,96,64,79,47,18,6,320,3,7,14,112,42,36,31,8,8,262
LGA23670,0,11,22,198,187,183,110,22,8,757,0,0,0,4,8,15,14,14,7,75,0,0,6,24,6,3,7,0,0,51,13,59,117,509,297,377,320,293,198,2164,103,244,237,624,236,265,252,257,150,2373,4146,8911,9102,21594,11196,10687,8477,4851,2203,81164,0,4,12,107,47,47,23,9,3,248,8048,16276,14998,24537,12766,11244,8137,4251,1566,101819,0,0,6,50,13,23,9,0,0,106,0,0,0,34,16,30,15,3,3,106,5,9,3,39,4,9,0,5,0,65,0,9,14,125,162,136,96,30,7,572,0,5,11,57,40,21,9,9,0,164,0,0,0,16,46,50,34,25,5,179,27,358,506,4164,1214,1146,732,230,92,8464,0,0,4,23,27,54,56,63,17,248,0,21,32,96,57,117,128,82,16,550,11,95,185,578,674,1132,1089,891,353,5007,0,3,12,72,70,66,40,19,10,292,0,3,7,36,18,23,16,9,4,112
LGA23810,0,5,0,27,10,5,3,0,0,56,0,3,0,3,0,3,8,4,3,29,0,0,0,9,4,0,5,0,0,19,3,21,39,118,51,80,95,77,36,516,126,345,315,749,337,408,358,240,153,3031,2120,4497,4266,9643,4819,5544,4750,2678,1193,39510,0,0,0,5,0,0,0,0,0,4,3963,8398,7522,15171,7582,8321,6373,3020,1045,61386,0,3,0,29,6,4,0,0,0,41,0,0,0,3,6,11,13,4,0,37,0,0,0,4,0,0,0,0,0,9,0,4,0,12,3,0,0,0,0,19,0,6,5,19,14,24,11,6,0,81,0,0,0,7,10,10,8,6,0,37,0,15,18,89,46,31,8,16,4,220,0,0,0,9,11,13,22,24,14,89,0,0,4,5,0,3,8,0,4,25,4,32,20,134,173,433,605,466,175,2043,0,0,0,35,7,5,5,0,0,51,0,0,0,0,5,6,4,9,0,30
LGA23940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,0,18,9,34,33,64,63,69,76,43,41,445,153,428,324,675,491,670,602,303,180,3836,0,0,0,0,0,0,0,0,0,0,295,743,561,1068,791,1085,972,456,220,6187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,14,17,56,60,31,3,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA24130,0,0,3,12,5,0,0,0,0,23,0,0,0,7,14,5,14,3,4,42,0,0,0,5,3,5,7,0,0,12,5,11,17,64,65,51,64,42,7,325,30,147,141,267,228,203,194,114,45,1366,1418,3601,2578,5832,4072,3547,3061,1466,531,26111,0,0,0,0,0,0,0,0,0,0,2752,6856,4867,9165,6181,5300,4261,2002,624,42003,0,0,0,0,5,0,0,0,0,9,0,0,0,6,5,0,3,0,0,12,0,0,0,10,0,4,0,0,0,14,0,0,0,9,0,0,0,0,0,8,0,0,5,43,22,15,17,5,0,105,0,0,0,6,7,0,0,0,0,19,0,4,4,28,18,11,8,11,0,91,0,0,0,4,7,15,23,9,3,73,0,0,4,4,0,5,13,5,0,27,3,62,74,306,397,529,457,313,68,2212,0,0,0,3,3,0,6,5,0,15,0,0,5,22,10,7,12,5,0,60
LGA24210,0,11,35,158,152,158,105,35,12,669,0,0,0,0,7,8,6,6,0,31,0,0,3,24,13,15,7,0,0,68,16,110,111,457,266,277,276,262,133,1895,93,145,142,448,239,212,229,250,162,1914,2778,7058,6911,15191,8751,8406,7122,5528,2630,64374,0,0,0,15,4,12,0,0,0,30,5136,11479,10685,12194,8800,7380,4850,4353,1881,66760,0,9,3,28,14,11,5,4,0,71,0,0,0,13,9,15,5,13,0,63,5,4,9,30,14,19,4,0,0,88,0,3,4,24,26,24,18,9,4,113,0,10,15,56,42,30,6,0,5,168,0,0,7,15,16,15,12,6,0,78,71,731,1001,5864,1827,2156,1485,491,299,13918,0,0,3,14,26,39,83,99,39,317,4,53,46,189,59,157,127,120,45,793,9,123,158,284,361,462,398,397,186,2373,0,3,0,34,40,42,39,21,9,185,0,3,7,23,13,14,8,10,6,99
LGA24250,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,14,6,13,12,6,7,69,6,41,41,80,47,86,71,27,4,409,211,673,435,1036,624,884,796,370,139,5165,0,0,0,0,0,0,0,0,0,0,383,1210,727,1604,1002,1321,1246,549,164,8201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,8,0,3,4,3,0,28,0,0,0,0,0,0,0,0,0,0,0,8,16,7,0,0,5,0,0,34,0,0,0,0,0,5,9,0,0,12,0,0,0,0,0,0,0,0,0,0,0,4,11,40,35,90,99,53,19,351,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,8,0,0,17
LGA24330,10,43,265,1260,947,880,596,204,88,4285,0,0,0,11,12,0,0,0,0,21,0,0,3,36,0,0,0,0,0,42,6,60,151,1035,283,221,168,124,38,2081,79,148,206,829,212,175,128,101,90,1972,2395,3930,4427,17050,5489,4179,2702,1476,846,42498,0,0,4,62,7,4,5,0,0,74,4635,7211,6352,18130,5702,3695,1770,673,417,48593,5,19,37,272,35,10,3,0,0,382,0,0,7,52,31,45,52,25,5,210,0,0,7,138,12,6,0,0,0,169,0,0,5,20,23,31,24,8,0,116,4,7,4,129,35,23,4,0,0,199,0,8,7,75,47,32,42,28,0,241,3,16,81,715,249,256,195,81,51,1639,0,0,0,43,25,64,74,90,29,330,0,3,10,40,3,26,32,14,3,132,17,67,80,828,379,280,137,63,31,1884,0,0,5,47,25,20,15,10,3,123,0,3,4,73,16,10,8,0,0,119
LGA24410,0,9,16,113,60,45,48,10,9,315,0,0,0,3,0,12,15,9,10,48,0,0,0,23,10,15,5,0,0,50,4,36,65,333,174,155,164,131,76,1143,70,153,131,482,193,179,162,188,116,1677,3359,6851,6170,16453,7964,7135,5890,3699,1829,59351,0,0,0,14,7,5,3,0,0,35,6555,12446,10647,20498,10782,9257,6777,3966,1706,82633,0,0,4,33,8,9,5,0,0,60,0,0,0,20,3,10,13,3,0,51,0,0,3,32,10,7,0,4,0,57,0,0,6,57,45,42,25,13,3,195,0,14,11,66,35,33,14,10,0,180,0,6,5,16,22,26,29,15,3,110,18,201,316,2125,611,486,381,129,28,4285,0,0,0,7,3,32,42,26,8,130,0,12,11,50,10,26,34,29,4,170,10,80,152,506,552,895,872,707,364,4141,0,0,8,32,26,18,14,3,0,110,0,9,0,42,13,11,13,12,3,103
LGA24600,0,29,529,662,207,158,100,32,21,1730,0,0,3,24,3,6,7,3,6,52,0,3,22,44,9,5,0,0,0,87,29,107,666,3029,380,237,184,99,35,4776,148,226,1121,2649,430,333,258,110,80,5352,2116,2815,16885,37207,5790,4679,3384,1590,726,75195,9,7,30,70,7,3,0,0,0,123,3551,3807,11231,22836,5418,4522,3299,1656,511,56842,0,6,87,184,7,3,3,0,0,288,0,0,0,59,17,13,6,3,0,106,0,14,64,683,29,10,5,0,0,806,0,0,91,77,17,7,11,0,0,202,12,21,52,304,53,33,7,4,5,477,0,7,22,309,29,21,23,10,4,418,28,193,6099,8225,831,726,394,180,111,16777,0,0,0,51,13,29,17,13,8,135,3,4,25,99,18,30,39,19,7,241,20,63,424,1487,478,466,348,162,55,3497,0,0,24,108,22,13,15,10,0,190,5,13,65,421,46,32,14,5,4,600
LGA24650,5,41,73,844,394,218,86,27,9,1700,0,0,3,11,4,17,6,3,0,49,0,0,18,65,30,11,4,0,0,121,31,220,511,1869,899,671,423,207,62,4886,283,737,519,1446,494,364,251,133,47,4277,7119,14392,10939,29799,11187,7737,5629,2168,714,89678,0,24,41,172,51,33,12,0,0,329,13474,23860,15777,28686,11701,6730,4276,1534,468,106510,0,65,37,433,72,29,16,4,0,661,0,4,14,305,128,156,67,19,10,694,0,6,7,41,24,10,6,0,0,86,0,0,0,42,18,4,9,0,0,82,0,15,9,52,23,20,0,0,0,128,0,8,21,142,160,118,114,43,8,623,0,30,54,468,157,136,93,29,9,975,0,3,11,122,127,225,203,106,30,825,4,87,146,351,136,104,142,56,12,1031,11,80,133,368,378,581,512,318,104,2488,6,22,49,350,172,109,36,10,0,755,0,0,3,24,12,21,9,3,3,75
LGA24780,0,11,12,77,23,33,14,3,0,174,0,0,0,4,0,0,0,6,0,14,0,0,0,5,4,0,5,0,0,14,0,30,20,127,62,49,40,28,21,388,89,277,234,582,268,310,264,158,99,2281,1617,3547,3117,7337,3636,3765,3121,1834,956,28932,0,20,69,96,36,35,10,3,0,275,3033,6355,5366,10040,5499,5776,4760,2556,1075,44464,0,0,3,17,3,0,0,0,0,23,0,0,0,5,0,3,0,0,0,6,0,0,0,4,0,0,0,0,0,3,0,3,7,18,8,8,6,0,0,50,0,0,0,14,8,7,4,0,0,29,0,0,0,14,0,0,0,0,0,11,0,3,22,124,38,24,8,4,0,224,0,0,0,0,6,10,18,24,18,74,0,0,0,10,4,0,0,4,0,28,0,11,14,103,90,166,165,108,43,701,0,4,5,34,18,6,8,0,0,66,0,0,5,13,0,9,3,4,0,27
LGA24850,0,0,5,21,3,0,5,0,0,37,0,0,0,3,0,0,0,0,0,12,0,0,5,21,6,3,5,0,0,48,0,18,26,113,72,48,55,27,16,369,72,199,155,410,188,208,137,93,53,1510,1682,3289,2674,6881,3253,2973,2216,1111,459,24536,0,0,0,0,0,0,0,0,0,6,3336,6115,4969,10156,4966,4424,3234,1465,483,39145,0,0,4,4,4,4,0,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,3,0,3,5,4,0,3,0,0,0,14,0,0,3,16,10,6,9,0,0,42,0,0,0,5,4,0,0,6,0,12,3,15,80,62,17,13,14,0,0,197,0,0,0,4,6,18,7,8,0,47,0,4,3,9,3,5,3,4,0,33,0,42,59,157,176,313,239,169,56,1225,0,3,7,36,19,11,0,0,0,77,0,0,0,8,0,6,3,5,0,23
LGA24900,0,0,0,12,0,0,0,0,0,11,0,0,0,0,0,7,3,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,26,8,16,24,13,8,93,39,129,97,246,137,170,191,139,75,1224,725,1728,1405,3092,1852,2230,2302,1342,614,15286,0,0,0,3,0,0,0,0,0,3,1380,3222,2589,4720,3077,3608,3589,2041,785,25003,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,4,3,4,4,4,0,0,24,0,0,0,9,0,0,0,0,0,11,0,0,5,28,8,3,3,0,0,47,0,0,0,0,7,5,5,12,0,29,0,0,0,0,0,0,0,4,0,5,0,6,3,45,58,124,188,142,53,629,0,0,6,12,8,0,0,0,0,27,0,0,0,4,0,0,7,0,0,10
LGA24970,3,30,168,547,427,313,241,53,27,1810,0,0,0,6,0,9,7,8,3,43,0,0,15,31,4,3,4,0,0,70,20,150,311,890,422,449,431,373,218,3262,120,292,466,1051,354,310,301,324,308,3516,4091,10172,12787,26661,12299,10309,8817,6732,3687,95556,0,5,17,138,48,49,27,12,4,287,7694,15961,15089,17522,10187,7609,5560,4717,2628,86968,5,61,104,339,72,58,34,5,0,680,0,0,3,57,29,36,20,20,5,165,0,7,19,108,17,21,5,0,0,174,0,11,61,151,146,94,61,44,12,578,5,18,28,99,51,32,15,6,3,252,0,0,7,46,49,33,51,22,0,222,93,1124,2890,9864,3184,2808,1779,600,264,22608,0,0,0,26,32,71,86,121,50,388,3,41,29,136,34,89,142,156,57,700,21,157,240,521,420,527,512,518,279,3201,0,3,16,113,70,63,37,17,4,328,0,8,15,79,34,20,13,15,13,193
