LGA_CODE_2021,COB_Aus_Arth,COB_Aus_Asth,COB_Aus_Canc_rem,COB_Aus_Dem_Alzh,COB_Aus_Dia_ges_dia,COB_Aus_HD_HA_ang,COB_Aus_Kid_dis,COB_Aus_LC_COPD_emph,COB_Aus_MHC_dep_anx,COB_Aus_Stroke,COB_Aus_oth_LTHC,COB_Aus_no_LTHC,COB_AUS_LTHC_NS,COB_Aus_Tot,COB_Bo_Ocea_Ant_Arth,COB_Bo_Ocea_Ant_Asth,COB_Bo_Ocea_Ant_Can_rem,COB_Bo_Ocea_Ant_Dem_Alzh,COB_Bo_Ocea_Ant_Dia_ges_dia,COB_Bo_Ocea_Ant_HD_HA_ang,COB_Bo_Ocea_Ant_Kid_dis,COB_Bo_Ocea_Ant_LC_COPD_emph,COB_Bo_Ocea_Ant_MHC_dep_anx,COB_Bo_Ocea_Ant_Stroke,COB_Bo_Ocea_Ant_oth_LTHC,COB_Bo_Ocea_Ant_no_LTHC,COB_Bo_Ocea_Ant_LTHC_NS,COB_Bo_Ocea_Ant_Tot,COB_Bo_UK_CI_IM_Arth,COB_Bo_UK_CI_IM_Asth,COB_Bo_UK_CI_IM_Can_rem,COB_Bo_UK_CI_IM_Dem_Alzh,COB_Bo_UK_CI_IM_Dia_ges_dia,COB_Bo_UK_CI_IM_HD_HA_ang,COB_Bo_UK_CI_IM_Kid_dis,COB_Bo_UK_CI_IM_LC_COPD_emph,COB_Bo_UK_CI_IM_MHC_dep_anx,COB_Bo_UK_CI_IM_Stroke,COB_Bo_UK_CI_IM_oth_LTHC,COB_Bo_UK_CI_IM_no_LTHC,COB_Bo_UK_CI_IM_LTHC_NS,COB_Bo_UK_CI_IM_Tot,COB_Bo_NW_Eu_Arth,COB_Bo_NW_Eu_Asth,COB_Bo_NW_Eu_Can_rem,COB_Bo_NW_Eu_Dem_Alzh,COB_Bo_NW_Eu_Dia_ges_dia,COB_Bo_NW_Eu_HD_HA_ang,COB_Bo_NW_Eu_Kid_dis,COB_Bo_NW_Eu_LC_COPD_emph,COB_Bo_NW_Eu__MHC_Dep_anx,COB_Bo_NW_Eu_Stroke,COB_Bo_NW_Eu_oth_LTHC,COB_Bo_NW_Eu_no_LTHC,COB_Bo_NW_Eu_LTHC_NS,COB_Bo_NW_Eu_Tot,COB_Bo_SE_Eu_Asth,COB_Bo_SE_Eu_Arth,COB_Bo_SE_Eu_Can_rem,COB_Bo_SE_Eu_Dem_Alzh,COB_Bo_SE_Eu_Dia_ges_dia,COB_Bo_SE_Eu_HD_HA_ang,COB_Bo_SE_Eu_Kid_dis,COB_Bo_SE_Eu_LC_COPD_emph,COB_Bo_SE_Eu_MHC_Dep_anx,COB_Bo_SE_Eu_Stroke,COB_Bo_SE_Eu_oth_LTHC,COB_Bo_SE_Eu_no_LTHC,COB_Bo_SE_Eu_LTHC_NS,COB_Bo_SE_Eu_Tot,COB_Bo_NA_ME_Asth,COB_Bo_NA_ME_Arth,COB_Bo_NA_ME_Can_rem,COB_Bo_NA_ME_Dem_Alzh,COB_Bo_NA_ME_Dia_ges_dia,COB_Bo_NA_ME_HD_HA_ang,COB_Bo_NA_ME_Kid_dis,COB_Bo_NA_ME_LC_COPD_emph,COB_Bo_NA_ME_MHC_Dep_anx,COB_Bo_NA_ME_Stroke,COB_Bo_NA_ME_oth_LTHC,COB_Bo_NA_ME_no_LTHC,COB_Bo_NA_ME_LTHC_NS,COB_Bo_NA_ME_Tot,COB_Bo_SE_Asia_Arth,COB_Bo_SE_Asia_Asth,COB_Bo_SE_Asia_Can_rem,COB_Bo_SE_Asia_Dem_Alzh,COB_Bo_SE_Asia_Dia_ges_dia,COB_Bo_SE_Asia_HD_HA_ang,COB_Bo_SE_Asia_Kid_dis,COB_Bo_SE_Asia_LC_COPD_emph,COB_Bo_SE_Asia_MHC_Dep_anx,COB_Bo_SE_Asia_Stroke,COB_Bo_SE_Asia_oth_LTHC,COB_Bo_SE_Asia_no_LTHC,COB_Bo_SE_Asia_LTHC_NS,COB_Bo_SE_Asia_Tot,COB_Bo_NE_Asia_Arth,COB_Bo_NE_Asia_Asth,COB_Bo_NE_Asia_Can_rem,COB_Bo_NE_Asia_Dem_Alzh,COB_Bo_NE_Asia_Dia_ges_dia,COB_Bo_NE_Asia_HD_HA_ang,COB_Bo_NE_Asia_Kid_dis,COB_Bo_NE_Asia_LC_COPD_emph,COB_Bo_NE_Asia_MHC_Dep_anx,COB_Bo_NE_Asia_Stroke,COB_Bo_NE_Asia_oth_LTHC,COB_Bo_NE_Asia_no_LTHC,COB_Bo_NE_Asia_LTHC_NS,COB_Bo_NE_Asia_Tot,COB_Bo_SC_Asia_Arth,COB_Bo_SC_Asia_Asth,COB_Bo_SC_Asia_Can_rem,COB_Bo_SC_Asia_Dem_Alzh,COB_Bo_SC_Asia_Dia_ges_dia,COB_Bo_SC_Asia_HD_HA_ang,COB_Bo_SC_Asia_Kid_dis,COB_Bo_SC_Asia_LC_COPD_emph,COB_Bo_SC_Asia_MHC_Dep_anx,COB_Bo_SC_Asia_Stroke,COB_Bo_SC_Asia_oth_LTHC,COB_Bo_SC_Asia_no_LTHC,COB_Bo_SC_Asia_LTHC_NS,COB_Bo_SC_Asia_Tot,COB_Bo_Amer_Arth,COB_Bo_Amer_Asth,COB_Bo_Amer_Can_rem,COB_Bo_Amer_Dem_Alzh,COB_Bo_Amer_Dia_ges_dia,COB_Bo_Amer_HD_HA_ang,COB_Bo_Amer_Kid_dis,COB_Bo_Amer_LC_COPD_emph,COB_Bo_Amer_MHC_Dep_anx,COB_Bo_Amer_Stroke,COB_Bo_Amer_oth_LTHC,COB_Bo_Amer_no_LTHC,COB_Bo_Amer_LTHC_NS,COB_Bo_Amer_Tot,COB_Bo_SS_Afr_Arth,COB_Bo_SS_Afr_Asth,COB_Bo_SS_Afr_Can_rem,COB_Bo_SS_Afr_Dem_Alzh,COB_Bo_SS_Afr_Dia_ges_dia,COB_Bo_SS_Afr_HD_HA_ang,COB_Bo_SS_Afr_Kid_dis,COB_Bo_SS_Afr_LC_COPD_emph,COB_Bo_SS_Afr_MHC_Dep_anx,COB_Bo_SS_Afr_Stroke,COB_Bo_SS_Afr_oth_LTHC,COB_Bo_SS_Afr_no_LTHC,COB_Bo_SS_Afr_LTHC_NS,COB_Bo_SS_Afr_Tot,COB_Bo_Tot_ob_Arth,COB_Bo_Tot_ob_Asth,COB_Bo_Tot_ob_Can_rem,COB_Bo_Tot_ob_Dem_Alzh,COB_Bo_Tot_ob_Dia_ges_dia,COB_Bo_Tot_ob_HD_HA_ang,COB_Bo_Tot_ob_Kid_dis,COB_Bo_Tot_ob_LC_COPD_emph,COB_Bo_Tot_ob_MHC_Dep_anx,COB_Bo_Tot_ob_Stroke,COB_Bo_Tot_ob_oth_LTHC,COB_Bo_Tot_ob_no_LTHC,COB_Bo_Tot_ob_LTHC_NS,COB_Bo_Tot_ob_Tot,COB_COB_NS_Arth,COB_COB_NS_Asth,COB_COB_NS_Can_rem,COB_COB_NS_Dem_Alzh,COB_COB_NS_Dia_ges_dia,COB_COB_NS_HD_HA_ang,COB_COB_NS_Kid_dis,COB_COB_NS_LC_COPD_emph,COB_COB_NS__MHC_Dep_anx,COB_COB_NS_Stroke,COB_COB_NS_oth_LTHC,COB_COB_NS_no_LTHC,COB_COB_NS_LTHC_NS,COB_COB_NS_Tot,COB_Tot_Arth,COB_Tot_Asth,COB_Tot_Can_rem,COB_Tot_Dem_Alzh,COB_Tot_Dia_ges_dia,COB_Tot_HD_HA_ang,COB_Tot_Kid_dis,COB_Tot_LC_COPD_emph,COB_Tot_MHC_Dep_anx,COB_Tot_Stroke,COB_Tot_oth_LTHC,COB_Tot_no_LTHC,COB_Tot_LTHC_NS,COB_Tot_Tot,LFS_Emp_Arth,LFS_Emp_Asth,LFS_Emp_Can_rem,LFS_Emp_Dem_Alzh
LGA23270,7911,13235,2430,384,4304,3171,940,1607,11572,760,9854,90827,5568,134334,328,496,123,14,527,193,62,55,287,53,334,4433,243,6374,766,360,234,76,407,317,88,214,391,68,430,1644,124,3639,274,112,103,26,139,138,35,63,122,31,158,713,50,1431,2090,588,587,290,1531,1068,272,342,883,279,1189,3947,375,9262,3053,1837,604,293,3450,1686,535,363,2516,397,4368,22335,1379,35029,418,531,122,22,623,188,79,46,249,50,668,5261,240,7567,62,44,34,3,85,30,7,0,44,8,116,1170,29,1529,669,742,154,45,1708,435,121,65,453,76,1081,23299,589,28086,175,139,38,12,139,58,13,20,153,13,165,963,47,1584,127,141,25,4,232,53,20,16,104,11,162,1907,99,2628,7962,4993,2023,798,8827,4168,1233,1179,5225,988,8679,65672,3177,97128,248,149,63,24,166,121,31,55,163,36,135,930,10816,12437,16129,18374,4521,1200,13300,7454,2211,2841,16958,1784,18654,157430,19566,243901,4572,8300,1325,24
LGA23350,1625,1563,577,115,631,739,130,331,1438,165,1263,8620,621,14792,21,16,3,3,8,9,0,4,20,3,14,117,8,191,126,49,45,14,62,66,15,33,70,16,70,273,19,624,47,12,17,0,25,17,7,12,17,6,27,121,8,248,16,8,0,3,13,9,7,0,3,0,11,45,12,97,0,0,0,0,0,0,0,0,0,0,0,3,0,13,3,6,4,0,11,0,0,0,3,0,12,63,11,101,0,4,0,0,8,0,0,0,3,0,0,24,3,38,4,0,0,0,3,0,0,0,0,0,0,21,4,39,4,5,0,0,9,3,0,5,11,4,5,61,0,94,6,0,3,0,0,0,0,0,3,0,8,23,0,43,227,114,74,18,132,123,24,51,135,28,156,764,65,1487,36,26,13,5,27,22,7,9,23,0,10,124,837,1088,1886,1707,663,139,791,880,170,395,1604,191,1426,9510,1525,17368,627,868,215,0
LGA23430,7414,9743,2977,596,3284,3520,758,1438,9646,866,8489,65744,3747,102579,234,286,103,17,155,133,22,57,237,33,219,1848,106,2962,946,670,404,117,458,495,71,200,669,126,730,4218,258,7612,279,125,140,47,136,169,28,53,162,49,216,1686,93,2668,1595,455,547,310,1133,940,267,248,813,218,1168,4492,320,9047,299,136,90,32,249,168,34,42,170,22,248,1501,88,2441,387,391,138,35,519,181,58,41,266,61,577,4550,154,6542,128,145,81,18,226,106,27,22,121,38,319,4827,101,5859,457,338,163,41,686,352,75,57,208,73,428,6107,215,8197,140,184,60,10,79,59,17,19,196,11,191,1534,47,2232,216,199,76,27,205,100,24,30,194,26,219,1705,61,2648,4680,2922,1804,661,3850,2703,619,775,3039,650,4316,32461,1447,50208,201,84,56,31,104,120,26,33,107,29,105,505,4327,5336,12292,12745,4837,1286,7242,6335,1399,2242,12796,1551,12907,98714,9518,158129,3686,7195,1560,21
LGA23670,8432,10974,2902,561,4088,3566,815,1554,11028,893,9110,62555,3625,101819,214,283,84,12,184,117,20,35,210,24,212,1431,82,2418,1283,634,426,151,607,551,99,297,623,128,743,2607,210,6029,557,172,222,143,270,311,58,115,239,94,390,1064,95,2609,823,220,256,160,513,469,74,117,398,137,532,2022,128,4255,253,141,63,31,219,120,31,30,148,19,237,1581,75,2466,473,592,210,32,667,305,65,33,322,55,875,7162,232,10095,213,256,176,41,544,236,58,32,220,53,710,9301,164,11423,489,505,158,31,1064,414,79,41,234,57,690,6958,244,9921,115,109,49,3,81,47,12,11,128,12,145,822,27,1320,168,151,64,14,184,110,22,21,138,25,197,1210,59,1980,4592,3066,1713,616,4332,2680,520,726,2655,602,4728,34161,1317,52522,158,70,50,31,105,74,18,46,95,29,92,344,3996,4767,13186,14105,4662,1208,8534,6326,1358,2331,13778,1522,13923,97061,8944,159103,4047,7512,1428,17
LGA23810,7296,7454,2003,364,3646,3143,762,1841,8319,781,6189,33348,2681,61386,119,111,39,6,90,59,12,33,108,12,80,480,23,893,790,308,232,56,396,391,104,238,333,79,382,877,115,2676,363,106,113,52,189,198,48,88,126,42,160,492,61,1347,415,109,100,52,311,220,47,80,154,59,194,527,79,1518,7,14,13,6,15,10,3,6,9,5,11,180,7,243,75,73,19,6,96,23,15,8,63,11,89,889,49,1239,8,8,9,0,10,3,0,3,11,0,20,268,0,330,40,28,7,0,60,28,4,3,23,3,41,700,21,866,44,30,11,0,30,14,3,6,49,3,47,190,12,362,29,16,9,3,26,11,6,6,36,4,36,274,6,386,1899,804,539,184,1218,965,245,468,913,214,1064,4871,377,9863,257,154,69,22,138,144,42,77,170,37,127,434,4978,6073,9456,8404,2609,576,5003,4254,1045,2382,9396,1029,7380,38655,8033,77318,2401,3574,638,6
LGA23940,961,684,276,54,382,397,79,234,740,74,574,3325,220,6187,22,9,4,0,7,12,0,5,15,3,18,21,7,78,65,36,17,0,35,28,8,17,27,7,28,69,10,215,25,9,0,0,17,13,5,5,7,6,9,35,6,75,15,0,4,0,8,6,0,9,4,0,3,29,7,57,0,0,0,0,4,3,0,0,3,0,3,5,0,7,6,9,0,0,6,0,0,0,0,0,5,111,4,141,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,4,0,0,0,0,0,0,22,0,26,0,5,0,0,0,0,0,0,3,0,0,12,5,23,6,0,0,0,0,0,4,0,4,4,0,9,0,25,146,66,39,7,75,77,14,37,65,11,69,315,29,665,48,17,9,5,24,24,7,3,14,10,14,65,749,907,1150,768,326,58,488,498,97,278,821,95,661,3710,997,7759,344,330,92,3
LGA24130,3626,4016,1350,289,1562,1562,370,766,4045,344,3591,26031,1519,42003,82,78,34,6,36,31,3,14,88,8,73,442,30,761,436,239,162,55,204,213,44,97,259,48,300,1345,82,2652,110,33,45,21,60,60,12,26,62,20,101,433,20,800,134,41,62,17,79,87,24,27,69,17,81,410,19,789,23,11,12,0,10,7,0,5,14,0,20,79,0,133,14,16,3,3,14,9,3,0,19,0,27,286,11,394,11,8,0,0,8,0,0,4,9,0,16,186,5,229,15,15,6,5,16,13,0,3,14,3,18,188,9,269,42,35,17,3,24,18,6,4,43,3,44,277,9,456,15,21,7,0,14,4,0,3,25,0,30,160,3,244,882,502,355,116,467,453,98,185,585,99,704,3799,182,6720,89,49,22,13,42,48,13,26,50,13,56,263,2235,2735,4599,4566,1733,418,2067,2066,481,979,4684,456,4350,30094,3942,51458,1565,2420,612,13
LGA24210,5198,5408,2123,552,1941,2391,485,762,5001,589,5453,44159,2287,66760,130,123,42,4,57,60,19,15,104,12,135,881,35,1403,466,228,185,71,189,222,44,78,227,53,311,1469,76,2816,224,67,88,41,105,133,32,45,69,18,132,667,35,1267,1943,430,597,427,1089,1028,226,232,653,293,1082,3372,295,8139,396,193,141,38,337,237,50,32,247,51,431,3931,178,5527,444,402,210,53,488,239,57,32,229,73,728,6233,164,8577,502,458,395,120,1040,468,131,90,420,122,1391,15582,309,19703,226,196,60,28,351,155,33,20,125,28,254,2979,86,4084,79,65,34,9,45,30,6,9,78,3,104,801,15,1156,111,102,53,11,68,60,23,16,74,11,160,1017,38,1535,4525,2260,1799,809,3772,2620,621,559,2224,674,4722,36932,1245,54212,138,49,33,73,66,64,8,21,52,27,66,412,2929,3730,9862,7721,3955,1432,5776,5074,1113,1342,7281,1292,10243,81503,6453,124700,2402,3932,1149,17
LGA24250,882,726,348,47,380,427,97,189,742,110,708,4956,296,8201,11,6,6,3,0,5,0,4,10,0,15,76,3,123,86,35,27,7,31,41,9,15,34,11,50,200,8,411,27,18,20,0,11,22,0,10,12,8,19,77,7,185,23,5,3,7,7,11,0,0,10,3,12,58,3,110,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,9,0,0,3,0,0,3,0,0,8,60,0,79,0,8,0,0,0,3,0,0,6,0,3,76,0,86,3,3,0,0,0,0,0,0,4,0,4,35,0,46,10,4,0,0,0,0,0,0,3,0,3,49,0,72,4,7,0,0,0,3,0,0,3,0,7,16,0,34,167,89,64,16,62,82,16,29,80,28,114,657,31,1149,22,10,8,0,12,10,4,0,14,5,16,82,683,824,1066,824,412,67,451,517,120,225,842,141,839,5694,1013,10178,354,415,126,3
LGA24330,2258,5283,869,169,1175,902,290,435,6355,245,4162,31508,1525,48593,118,297,42,7,88,45,18,21,236,8,183,1126,50,1922,179,250,65,12,92,71,19,52,261,27,220,1350,63,2275,80,56,29,15,33,38,7,21,83,11,76,671,31,997,785,211,222,174,588,382,88,101,418,129,539,1729,112,3875,72,71,20,13,94,52,17,8,106,8,98,776,42,1172,585,654,197,80,842,308,115,60,472,103,994,7892,365,11387,83,90,38,13,113,58,16,9,80,17,183,2021,54,2603,60,102,24,7,152,41,16,8,118,6,130,3996,97,4594,105,121,36,8,87,32,10,14,176,10,148,1461,52,2037,53,85,19,0,80,28,10,4,106,7,88,1079,59,1489,2117,1935,693,327,2160,1061,323,307,2055,329,2665,22104,921,32358,93,31,17,34,35,21,5,13,43,11,45,224,3848,4256,4472,7252,1563,536,3373,1979,612,753,8446,582,6868,53838,6295,85209,1496,4479,654,9
LGA24410,7110,8733,2533,565,3089,2919,645,1260,9534,754,8002,49781,3004,82633,167,187,58,16,110,78,16,31,162,20,160,823,49,1519,1009,489,390,127,440,456,101,210,495,141,634,2231,171,5025,340,128,131,52,158,194,24,65,120,55,224,797,50,1709,342,108,123,59,230,212,34,52,158,58,250,938,66,1920,98,60,23,11,73,37,22,16,105,5,119,1023,35,1416,181,254,74,22,322,125,48,14,160,23,413,4353,123,5715,113,127,85,13,205,103,37,27,116,24,353,4637,95,5677,166,161,37,11,228,87,17,17,85,15,207,2903,90,3707,100,113,35,3,48,32,14,11,114,17,106,667,29,1109,110,96,47,7,73,52,13,13,104,9,144,776,23,1257,2626,1710,1004,326,1899,1367,319,456,1624,359,2608,19145,736,29042,115,42,35,20,60,64,21,23,85,18,59,275,2795,3370,9852,10486,3581,910,5041,4350,982,1739,11237,1135,10669,69198,6530,115043,3151,5816,1102,7
LGA24600,2758,6198,1385,223,1173,1345,327,486,8409,345,5162,35489,1540,56842,131,435,73,9,76,51,21,23,443,19,294,2266,92,3542,271,344,141,18,107,116,16,47,435,30,354,2706,95,4158,98,128,52,17,44,61,17,16,153,15,165,1826,42,2436,295,154,107,86,179,207,55,42,288,58,310,2477,99,3629,104,158,28,11,99,55,25,17,207,15,205,2478,78,3203,261,828,123,21,344,179,52,43,742,44,841,16020,260,19033,210,425,128,34,293,162,45,45,604,50,732,21481,243,23931,95,297,46,0,238,78,34,19,270,11,352,11375,194,12730,128,296,60,10,75,42,12,9,407,15,325,5411,117,6629,115,179,27,8,118,37,19,9,164,11,137,1857,77,2535,1715,3243,777,221,1570,988,296,264,3715,255,3714,67901,1287,81818,46,42,20,12,33,23,9,15,40,13,39,441,10345,10964,4516,9483,2184,451,2776,2352,637,758,12165,610,8913,103824,13177,149615,1857,6733,920,15
LGA24650,5707,11439,1739,223,3586,2275,716,1326,9936,608,7770,70266,5858,106510,254,454,84,9,426,142,52,48,246,37,284,4171,293,5893,678,348,212,45,357,290,59,189,361,70,373,1366,114,3187,222,96,58,28,122,130,34,67,91,25,135,571,55,1190,1625,497,460,154,1267,766,224,236,877,228,1006,4927,423,9510,344,240,78,21,399,175,57,43,252,38,435,3925,227,5471,463,848,193,23,916,237,111,48,318,75,979,8665,484,12273,42,41,28,3,89,35,8,8,40,13,95,1215,59,1573,445,550,104,12,1140,309,77,42,324,52,722,15982,412,19277,212,195,62,13,185,62,28,20,169,22,204,1241,102,2132,76,143,27,4,191,39,11,15,102,9,197,2494,160,3259,4360,3417,1299,334,5097,2187,670,705,2778,578,4435,44558,2341,63763,145,85,29,18,96,60,9,48,107,17,78,560,7743,8690,10212,14945,3060,568,8778,4513,1397,2080,12825,1208,12276,115387,15938,178960,3354,7383,1022,22
LGA24780,4668,5205,1496,329,2417,2254,566,1044,5128,499,3745,25476,1907,44464,74,54,17,3,79,35,15,18,48,8,61,591,34,892,190,84,73,13,95,88,26,56,114,25,121,373,31,868,52,28,19,7,28,34,10,17,19,8,32,175,12,332,262,76,59,35,167,130,34,33,79,38,132,318,46,923,51,19,15,3,63,30,9,5,72,15,47,240,14,444,36,67,13,3,72,14,9,7,45,8,69,1812,96,2154,3,6,0,0,9,3,3,0,6,0,10,452,16,498,14,9,6,5,57,17,3,0,26,6,53,932,43,1126,13,10,4,0,12,6,0,3,18,0,16,88,4,139,12,19,5,0,18,9,4,0,13,0,17,307,15,386,703,380,203,76,603,373,123,145,438,115,562,5287,304,7764,177,95,52,14,102,99,30,41,91,17,67,413,3903,4742,5546,5676,1751,420,3125,2721,716,1238,5661,626,4374,31176,6117,56972,1561,2564,519,21
LGA24850,3600,4300,1111,169,1896,1504,372,807,4399,344,3412,23536,1613,39145,83,76,22,5,78,41,12,21,64,18,70,533,24,862,299,145,90,17,179,141,35,88,178,28,160,659,48,1465,102,47,27,12,67,59,21,28,50,16,60,227,12,509,160,64,53,17,131,81,21,30,73,22,122,369,29,836,32,22,5,0,27,13,5,5,17,4,30,245,25,369,24,42,7,0,36,16,4,0,23,0,52,564,28,746,8,4,0,0,8,3,0,0,3,0,3,232,5,262,35,39,9,3,86,25,4,0,22,0,46,1337,34,1563,21,13,7,0,12,14,5,0,23,0,24,141,10,210,21,21,7,0,20,10,0,0,20,0,28,310,9,412,789,465,241,53,640,408,107,164,471,94,607,4620,213,7234,102,52,36,3,49,54,9,18,65,16,40,257,2569,3082,4487,4819,1389,235,2588,1966,479,990,4941,453,4058,28406,4399,49460,1534,2450,473,3
LGA24900,3592,2750,1067,257,1565,1520,361,878,3033,372,2186,13517,1006,25003,63,36,15,0,24,25,13,15,35,4,44,215,24,395,215,74,67,24,102,95,22,64,91,25,94,293,29,798,53,13,19,6,40,30,7,23,25,4,25,123,12,281,105,23,29,5,66,55,10,15,29,15,31,128,24,350,7,7,3,0,4,3,0,6,8,0,9,27,3,51,15,23,4,0,8,7,6,0,3,0,13,531,14,617,0,0,0,0,4,0,0,0,0,0,0,112,3,121,7,6,3,0,11,3,3,3,3,3,0,202,9,237,15,11,10,0,8,9,4,0,7,4,10,46,0,84,8,0,4,0,9,4,0,0,0,0,0,53,4,71,474,201,154,34,268,225,58,120,207,59,234,1736,122,3012,155,66,39,28,77,74,12,43,76,22,67,258,1897,2504,4225,3019,1262,321,1911,1823,425,1046,3315,445,2489,15507,3023,30522,1037,1238,315,12
LGA24970,6156,8081,2508,798,2718,3235,645,1063,7914,731,7294,56924,2756,86968,188,229,70,19,128,94,17,27,212,18,215,1559,74,2479,635,406,251,120,290,376,73,149,394,80,466,1935,118,3917,259,102,106,56,128,148,27,56,138,41,202,1002,68,1867,2256,525,655,503,1480,1201,271,298,919,330,1396,4771,396,10597,341,175,94,33,241,172,52,41,215,37,313,2339,103,3524,671,786,324,82,922,410,123,67,487,117,1272,12310,342,16489,535,513,400,93,1119,523,170,97,495,138,1580,24039,450,28849,842,920,241,84,1688,690,121,88,539,88,1109,18605,503,23694,123,128,42,17,83,47,9,21,200,13,156,1423,57,2041,199,177,71,20,179,99,17,21,154,26,200,1515,68,2370,6057,3961,2260,1019,6256,3763,879,868,3752,888,6912,69494,2187,95826,207,78,69,78,125,132,36,43,129,33,141,638,6393,7606,12418,12112,4838,1895,9090,7130,1559,1973,11791,1653,14349,127058,11333,190397,2900,6119,1303,25
LGA25060,5225,7645,2228,393,2291,2361,548,915,7773,525,6425,55129,3005,83422,119,190,56,10,56,50,15,8,204,13,148,1059,58,1710,356,248,129,50,140,188,35,67,267,33,284,1517,70,2728,161,90,77,24,86,107,8,29,106,27,144,847,26,1406,2229,488,623,430,1389,1166,273,278,849,323,1247,3691,329,9029,291,159,81,30,255,165,38,25,232,28,309,1607,77,2620,261,308,92,65,344,147,49,17,245,48,533,3710,129,5299,76,95,31,36,125,62,14,18,121,19,242,2044,70,2719,183,168,37,18,287,117,27,28,125,20,196,3530,95,4464,140,146,39,15,76,68,17,11,184,19,166,1484,47,2115,86,97,25,0,130,42,22,11,86,11,106,1225,73,1734,3888,1982,1203,678,2891,2106,498,492,2426,533,3364,20703,972,33830,126,47,32,25,61,60,20,22,64,19,58,361,3938,4600,9242,9681,3458,1090,5244,4528,1070,1430,10265,1071,9855,76195,7911,121851,2625,5623,1150,7
LGA25150,2828,3250,902,168,1335,1141,226,664,3368,307,2797,18208,1144,30266,75,60,14,0,34,26,0,15,58,8,43,362,17,607,307,157,114,26,177,157,22,95,170,50,198,628,68,1534,118,35,37,20,70,54,14,32,48,16,66,238,14,527,154,48,50,20,99,77,16,35,81,21,101,374,30,775,26,10,0,0,15,11,0,0,10,0,6,36,0,77,22,30,8,0,21,3,4,0,15,0,35,248,12,364,4,3,4,3,6,0,0,0,0,0,5,73,7,107,15,23,4,0,33,12,0,0,10,0,22,756,34,888,27,30,8,0,11,9,0,7,19,0,26,169,7,269,19,18,0,0,15,6,0,4,16,0,33,137,0,220,773,403,236,74,483,356,70,192,436,103,535,3027,183,5362,82,40,26,11,45,40,8,32,53,11,42,191,1600,1999,3683,3695,1168,257,1865,1544,307,889,3852,422,3377,21421,2927,37632,1227,1937,389,5
LGA25250,5778,11137,2169,431,2596,2284,589,1016,14173,607,9240,68907,3720,107728,190,427,72,5,113,73,20,37,495,21,314,2124,101,3520,330,450,160,45,146,124,38,68,617,32,418,2675,118,4468,191,162,67,34,84,100,24,32,221,28,192,1395,56,2205,3375,818,914,709,2264,1756,418,408,1398,484,1876,4911,452,12992,951,447,214,89,1040,496,159,106,680,119,890,4360,293,7702,201,395,77,19,275,96,25,28,298,26,417,3880,122,5360,79,129,48,7,117,63,18,20,126,22,233,2634,54,3362,206,298,61,22,484,142,48,19,227,29,370,10346,199,11975,147,276,59,13,82,47,8,16,436,6,245,2404,51,3412,48,112,19,3,64,15,11,10,132,3,113,925,30,1352,5725,3512,1678,951,4668,2914,767,741,4629,770,5061,35649,1479,56351,185,62,43,14,119,93,32,29,104,27,146,483,6280,7276,11679,14709,3893,1396,7381,5295,1387,1785,18904,1397,14447,105038,11479,171357,3260,8955,1329,20
LGA25340,14252,12729,5740,1197,5247,6566,1338,2692,13779,1599,11189,75921,5025,129352,375,256,143,15,135,151,20,81,225,35,264,1400,81,2564,2719,1083,1039,288,993,1295,209,487,1257,314,1374,6879,468,13924,593,226,274,94,271,377,51,111,252,72,320,1632,122,3270,788,182,273,141,524,443,89,111,322,107,410,1629,175,3659,105,31,34,13,75,76,16,17,46,14,62,278,12,557,94,85,42,5,67,56,13,14,56,6,106,1136,47,1552,29,24,25,0,29,17,9,4,30,0,46,538,12,715,101,61,31,11,81,67,16,10,46,10,66,517,13,823,143,109,57,13,61,78,4,19,154,14,137,944,40,1502,141,102,60,12,69,77,8,14,107,12,127,720,34,1226,5095,2156,1975,593,2310,2650,439,872,2488,601,2914,15676,1015,29793,435,203,141,49,174,218,45,98,236,58,169,1007,7739,9805,19782,15094,7858,1839,7726,9434,1824,3661,16505,2256,14271,92604,13776,168948,5062,7060,2019,25
LGA25430,2140,1517,768,88,718,877,195,380,1978,205,1699,8733,906,16303,46,34,15,0,8,17,0,4,44,3,33,174,31,333,167,80,75,17,56,86,18,30,113,29,102,424,47,962,46,13,11,3,24,30,6,9,34,3,44,160,27,322,24,10,13,9,12,16,0,11,8,0,17,80,27,177,4,6,0,0,0,0,0,0,5,0,0,23,36,76,7,13,5,0,9,5,0,4,8,0,9,86,71,189,5,0,0,0,0,3,0,0,3,0,10,47,19,75,9,5,3,3,4,0,0,0,7,0,7,49,22,93,24,12,12,0,10,11,0,5,25,0,21,98,14,189,18,10,4,0,5,5,0,5,12,0,10,49,8,95,350,176,134,30,122,177,22,67,251,40,248,1193,299,2519,52,14,20,3,13,21,4,9,37,11,24,138,1170,1428,2545,1708,919,126,848,1072,217,456,2269,251,1971,10067,2375,20253,692,798,220,4
