LGA_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA24330,51,602,1368,709,584,515,354,105,47,4338,24,634,1984,975,762,656,276,80,35,5427,23,523,2363,1325,939,716,262,43,12,6202,9,293,2162,1337,790,557,152,23,3,5326,0,109,1918,1368,902,532,142,33,10,5011,0,45,1326,1279,802,417,71,10,8,3964,0,41,2086,2807,1678,779,106,11,9,7517,0,3,404,800,451,181,28,3,0,1873,0,13,356,1198,907,267,55,6,0,2797,188,393,1327,807,574,487,373,282,248,4666,3426,5577,19257,15258,10931,8225,5253,2669,1348,71946
LGA24410,121,767,1036,1004,933,928,942,561,186,6481,82,838,1642,1373,1338,1170,873,382,128,7834,26,713,2093,1649,1643,1455,746,265,92,8679,13,396,1800,1525,1382,1097,418,120,31,6786,3,138,1675,1501,1415,1060,353,94,46,6286,4,53,1099,1330,1109,770,189,36,9,4596,3,33,1469,2862,2246,1378,281,60,18,8357,0,0,226,650,554,315,60,9,9,1821,0,4,185,792,812,442,102,40,20,2391,218,252,648,635,584,532,476,594,579,4531,6483,6438,15033,16863,15364,13610,10760,6580,2883,94018
LGA24600,186,2048,3838,1014,414,432,374,170,58,8530,107,2048,4839,1346,613,467,460,196,65,10136,58,1996,6440,1950,837,643,466,197,43,12628,13,1117,5471,1746,697,533,336,156,29,10091,11,505,4728,1921,836,556,296,113,27,8995,3,252,3243,1783,790,478,235,105,19,6905,19,256,5355,4221,1855,1074,428,165,27,13402,7,49,904,1169,614,364,132,58,13,3303,7,69,928,1991,1582,1183,539,222,36,6561,475,1890,4197,1949,1028,777,610,392,336,11649,6310,25180,52962,23170,11740,9236,6589,3141,1188,139515
LGA24650,232,1159,2060,2075,1544,1025,699,259,50,9108,165,1404,3206,3046,2219,1422,497,125,26,12103,83,1137,3810,3577,2783,1617,441,60,17,13522,22,628,2987,3066,2135,1136,257,25,3,10259,6,257,2510,2652,1858,985,188,28,8,8482,3,114,1411,1973,1370,655,133,15,0,5684,4,69,1747,3185,2231,804,149,11,4,8209,0,8,255,636,423,150,21,4,3,1508,0,25,185,593,509,197,44,24,12,1587,797,1053,2786,2456,1593,972,703,459,228,11044,11568,11121,28329,30533,22490,15104,10748,4321,1154,135368
LGA24780,107,424,776,610,570,611,500,215,68,3884,51,526,1033,723,787,731,383,115,43,4393,23,343,1113,846,814,829,341,78,22,4407,7,149,681,576,623,536,181,28,6,2783,0,85,566,542,522,419,126,52,27,2349,0,28,286,357,422,293,76,17,5,1488,0,12,297,514,542,382,100,33,6,1892,0,3,36,71,98,57,28,0,0,301,3,11,51,106,147,113,56,17,6,510,369,282,679,667,656,655,645,463,304,4721,3279,3176,7619,6720,7076,7383,6137,3505,1526,46427
LGA24850,105,356,532,433,453,404,348,181,42,2851,79,412,823,597,641,529,304,85,30,3490,57,335,1016,836,755,636,255,67,16,3979,13,190,828,678,616,496,147,24,0,2995,8,86,687,635,546,367,104,23,9,2459,3,34,367,445,384,263,55,11,3,1567,0,32,464,705,641,420,78,17,4,2365,0,6,59,123,122,89,19,12,3,419,3,9,51,123,161,119,31,16,6,519,282,232,476,469,448,441,352,262,181,3149,3002,2886,7015,6535,6369,5923,4491,2186,730,39135
LGA24900,68,195,308,268,308,409,398,198,74,2231,29,210,421,340,369,434,248,122,29,2211,19,175,464,402,467,450,225,58,8,2268,8,72,292,291,316,292,134,20,7,1430,4,30,225,227,263,214,86,25,5,1082,3,14,105,144,186,150,49,6,3,663,0,6,115,210,290,207,46,16,3,894,0,0,22,50,47,31,15,8,0,173,0,0,20,43,75,61,42,17,5,268,167,104,281,271,299,349,400,345,169,2378,1644,1307,3055,3039,3661,4402,4581,2735,1050,25470
LGA24970,138,1303,2056,1393,1380,1255,1209,886,331,9951,90,1406,3098,1901,1821,1532,1157,680,300,11977,35,1309,3964,2428,2199,1813,964,493,145,13353,19,708,3264,2142,1790,1399,631,257,91,10298,9,325,2577,2157,1852,1327,547,219,72,9085,5,121,1650,1869,1542,1027,337,122,48,6705,4,103,2331,4275,3437,2021,483,160,54,12880,3,28,392,1251,968,577,128,39,19,3405,4,22,395,1610,1792,909,235,106,44,5113,434,986,1939,1164,967,807,754,1000,1067,9111,11078,16188,29254,25886,23735,19929,16273,12266,6204,160818
LGA25060,94,791,1129,783,815,820,914,484,158,5980,63,874,1634,1069,1085,1027,773,317,94,6949,25,849,2336,1438,1424,1275,731,222,68,8376,9,486,2245,1401,1308,1028,520,128,30,7150,9,245,2148,1621,1447,1080,407,95,32,7090,4,66,1464,1448,1221,866,301,59,14,5453,3,70,2267,3334,2671,1700,386,75,12,10517,0,7,386,935,870,497,116,20,12,2834,3,17,420,1803,1964,943,218,51,18,5433,263,403,1012,807,771,661,566,579,383,5443,6483,7732,18488,17538,16887,14095,10867,6913,3274,102281
LGA25150,81,252,372,329,337,349,310,121,33,2178,36,275,533,441,447,375,262,114,68,2547,11,229,657,556,520,458,218,50,5,2707,3,112,527,505,502,394,143,39,11,2236,0,57,485,512,479,309,100,19,11,1977,0,16,292,378,344,249,55,18,8,1351,4,12,431,658,656,378,66,12,0,2233,0,3,57,145,124,80,17,5,0,434,4,0,48,167,207,127,44,11,0,606,145,99,267,294,314,280,289,164,62,1919,2165,1905,4763,5124,5068,4642,3898,1861,628,30044
LGA25250,123,1425,2635,1430,1082,973,758,439,171,9043,62,1391,3772,1896,1522,1245,717,253,136,10992,25,1141,4810,2642,1948,1466,556,153,68,12812,7,640,4328,2428,1630,1154,389,68,34,10676,0,284,3972,2772,1796,1133,290,66,23,10354,0,124,2731,2380,1512,899,202,29,9,7886,0,102,4058,5284,3177,1568,260,39,10,14499,0,17,543,1287,800,348,57,3,4,3064,5,23,567,1893,1425,564,102,25,16,4609,365,698,2080,1368,1016,796,660,690,710,8391,7137,12501,37163,28624,20756,15806,10596,7581,4682,144853
LGA25340,296,1036,1136,1149,1406,1731,2119,1317,377,10563,237,1144,1619,1433,2005,2013,1723,852,243,11268,131,797,1954,1826,2385,2292,1632,723,149,11892,30,383,1716,1531,1938,1772,1015,394,104,8894,10,166,1537,1632,1941,1565,780,314,107,8049,0,77,875,1224,1421,1130,526,186,39,5479,9,60,1105,2345,2812,2104,829,250,68,9584,0,13,199,574,742,506,238,95,22,2385,7,12,224,1084,1562,1270,656,274,90,5183,623,463,918,1136,1455,1383,1667,1640,1345,10623,9616,7640,14555,17834,22616,23203,24115,15833,6029,141435
LGA25430,31,85,134,170,197,260,267,148,32,1325,14,85,178,198,251,311,213,101,24,1371,3,53,206,233,324,347,201,73,8,1442,0,19,149,196,200,213,115,28,7,930,0,12,101,182,191,184,99,30,12,808,0,7,69,129,175,146,54,22,5,607,0,0,82,230,277,228,75,23,5,922,0,0,7,51,62,49,29,0,0,193,0,0,15,49,101,76,31,20,0,298,103,88,327,310,277,230,274,232,227,2076,935,617,1730,2258,2808,3292,3353,1755,644,17402
LGA25490,32,102,149,170,158,215,193,90,24,1143,23,129,206,199,253,252,174,60,14,1312,7,95,256,261,290,311,165,52,7,1441,3,33,176,182,218,183,86,22,3,910,3,20,164,148,198,166,73,21,12,805,0,4,91,120,142,121,66,10,0,553,0,3,86,169,176,150,62,29,5,673,0,0,9,38,30,26,24,0,0,135,0,7,46,67,82,87,53,16,8,357,121,68,151,123,177,185,206,126,80,1237,1048,721,1729,1879,2273,2606,2377,1062,381,14077
LGA25620,24,84,98,97,175,198,191,82,17,969,18,88,150,170,190,199,147,70,12,1041,10,61,179,173,267,278,121,50,10,1148,0,29,135,154,160,154,89,25,3,755,0,8,129,115,141,163,63,19,5,640,0,3,66,97,93,111,42,10,0,421,0,4,60,134,185,144,30,15,4,579,0,0,7,30,39,34,18,4,0,133,0,0,18,33,71,64,29,16,3,240,99,65,119,152,253,278,248,158,77,1448,783,599,1291,1579,2145,2650,2410,1204,346,12993
LGA25710,88,395,307,383,532,549,601,287,45,3196,55,472,520,455,670,704,532,199,38,3649,31,419,743,658,880,903,618,176,20,4452,10,230,728,620,796,756,358,103,7,3596,9,98,649,722,958,737,307,74,11,3562,0,49,428,639,747,628,199,55,3,2746,0,24,637,1467,1721,1189,315,38,13,5406,0,3,136,400,555,329,70,11,0,1505,0,6,109,604,976,643,157,36,8,2536,147,134,176,291,355,339,314,264,243,2263,4572,3823,5573,7660,9874,9297,6646,2909,880,51226
LGA25810,16,100,140,107,139,144,141,79,12,873,22,88,206,134,170,179,101,39,9,955,10,65,202,130,173,190,75,29,3,874,6,40,127,91,112,128,62,12,3,576,0,22,79,86,105,107,31,15,9,456,0,13,48,45,60,60,20,7,3,247,0,4,62,78,109,85,30,10,0,376,0,0,3,10,15,17,7,0,3,69,0,0,12,18,14,31,13,4,0,95,67,39,136,103,143,177,186,167,127,1146,559,566,1348,1117,1458,1891,1804,1022,384,10147
LGA25900,55,579,1194,606,479,500,582,286,77,4351,46,612,2007,926,713,662,569,276,43,5850,18,681,2832,1335,950,882,634,258,34,7637,7,352,2921,1370,895,728,425,182,22,6894,0,179,2769,1588,1108,762,381,152,31,6972,0,67,1947,1450,939,679,288,96,18,5477,4,63,3270,3613,2375,1499,529,166,20,11541,0,16,608,1137,899,500,187,54,11,3408,3,27,702,2566,2795,1582,525,166,28,8396,171,424,1728,1316,1054,846,643,535,377,7086,3289,5551,23118,18287,14681,11604,8050,4268,1468,90312
LGA25990,8,36,47,53,98,82,98,45,8,478,8,51,65,69,103,110,61,21,5,495,9,38,95,91,131,103,58,13,3,539,0,11,59,57,66,65,23,11,0,295,0,5,32,52,72,76,30,3,4,271,0,0,24,31,37,36,7,0,0,147,0,4,33,36,65,42,20,3,0,210,0,0,3,11,7,9,4,3,0,45,0,0,3,9,21,16,5,9,0,71,61,39,96,151,182,139,176,100,38,980,387,295,645,778,1123,1228,1302,602,195,6546
LGA26080,0,8,8,8,19,39,80,54,11,235,0,9,13,19,18,51,70,48,6,239,0,10,19,16,35,55,83,50,11,272,0,9,13,5,28,54,32,18,5,165,0,6,12,22,24,29,55,17,9,170,0,0,12,18,26,31,34,15,7,146,0,0,19,29,41,44,44,28,5,208,0,0,3,17,7,23,8,3,0,60,0,0,3,20,26,43,26,18,5,138,16,10,10,19,15,40,54,59,16,239,129,96,153,226,311,574,798,512,175,2965
LGA26170,39,156,244,239,301,359,428,199,56,2024,31,181,350,312,403,419,305,118,36,2147,17,124,382,353,473,458,271,77,16,2167,0,57,244,319,340,315,145,34,10,1470,0,31,199,267,289,262,112,36,15,1216,0,13,117,224,230,190,67,13,8,854,0,7,132,267,379,268,101,19,8,1167,0,0,21,51,80,69,20,0,3,244,0,0,26,67,130,99,54,30,5,411,145,97,200,259,274,379,387,314,132,2186,1690,1127,2628,3123,3917,4840,4817,2454,857,25444
LGA26260,43,120,170,148,163,207,214,87,33,1183,25,139,183,189,225,261,178,60,22,1277,13,102,278,203,278,288,129,29,12,1337,0,62,174,156,189,186,70,31,3,871,0,15,132,149,153,164,79,31,5,737,5,11,65,103,103,87,46,12,0,431,0,3,57,151,174,116,51,8,4,573,0,0,10,21,36,25,8,6,0,100,0,0,23,40,66,46,41,26,10,246,80,54,104,113,126,148,180,140,92,1038,956,763,1660,1700,2006,2398,2342,1349,585,13766
LGA26350,64,758,1092,499,464,417,564,375,141,4378,50,794,1760,663,625,544,611,370,135,5542,21,953,2797,1021,750,778,686,364,129,7502,10,564,3115,1034,712,643,562,284,77,6993,9,307,3053,1243,759,694,517,279,80,6947,5,103,2103,1163,743,625,399,223,47,5411,9,85,3834,2935,1726,1325,711,356,104,11080,9,25,766,995,760,524,297,131,54,3568,6,42,969,2755,3212,2127,1011,427,156,10705,237,448,1315,811,688,561,578,545,573,5754,4609,8189,23743,15042,12626,10682,8975,6073,2749,92690
LGA26430,16,49,78,87,92,157,148,83,12,729,11,76,103,118,136,176,113,60,14,807,13,37,142,155,146,175,137,44,4,853,0,24,102,112,123,139,71,12,6,593,0,13,68,92,97,99,57,11,0,439,0,6,47,61,58,52,29,3,0,262,0,8,61,77,102,94,56,9,6,413,0,0,3,22,23,26,19,3,0,95,4,0,5,45,42,47,40,18,7,203,63,49,73,110,143,212,200,145,86,1089,520,404,911,1137,1337,1947,2090,1068,433,9835
LGA26490,35,203,253,259,272,356,446,219,56,2099,24,205,342,369,369,417,409,150,14,2302,15,167,503,477,399,481,385,117,36,2565,0,58,420,464,461,358,219,73,10,2071,0,36,418,508,498,350,164,60,13,2042,0,7,275,480,430,290,111,30,3,1627,0,9,403,921,848,486,158,47,6,2878,0,0,69,250,224,155,44,21,3,766,0,7,83,437,441,314,140,36,3,1470,146,93,218,296,303,289,325,218,194,2080,2093,1556,3662,5371,5178,4936,4628,2099,738,30258
LGA26610,42,188,318,255,198,231,154,99,27,1513,29,205,441,355,273,332,149,47,28,1855,18,145,472,340,282,324,144,33,5,1763,5,64,259,228,180,213,63,23,8,1049,4,29,211,168,155,137,43,15,10,778,0,4,108,126,114,118,40,10,4,522,3,11,110,153,152,125,46,11,5,611,0,0,18,29,36,29,10,4,0,125,0,0,25,41,48,58,24,8,7,212,126,119,311,275,228,293,228,170,108,1867,1120,1180,3074,2672,2335,2852,2250,1321,597,17396
LGA26670,10,33,53,50,61,92,76,37,8,419,6,27,60,53,63,116,87,24,3,444,0,20,67,92,92,131,63,22,5,494,0,15,57,57,84,86,33,9,0,331,0,7,28,45,72,76,30,6,0,260,0,0,21,24,35,45,6,6,0,142,0,7,22,63,54,58,26,11,0,239,0,0,8,5,13,5,16,4,0,47,0,0,8,15,20,18,10,8,0,70,40,20,43,61,75,84,105,78,59,567,294,199,484,625,772,1116,1031,533,217,5258
LGA26700,70,194,258,242,329,357,344,172,48,2018,45,234,443,411,431,485,293,94,29,2471,18,174,451,475,531,484,231,65,19,2456,6,61,304,333,337,318,119,48,5,1531,0,22,283,277,313,248,105,29,10,1291,0,12,177,201,225,184,60,18,8,873,0,11,165,307,379,255,62,8,10,1202,0,3,31,61,54,45,4,0,4,201,0,5,32,63,79,85,43,17,0,326,135,98,204,204,240,248,285,287,244,1944,1775,1291,3051,3303,3859,4135,3858,2379,952,24603
LGA26730,74,269,397,348,350,347,392,193,50,2428,30,309,634,447,481,483,299,124,22,2823,12,223,767,507,572,562,257,81,29,3008,0,84,538,443,436,444,152,58,12,2172,4,52,381,344,363,294,81,33,13,1574,0,18,247,278,308,195,60,14,4,1117,0,16,199,432,418,314,60,22,10,1470,0,0,33,68,76,70,27,7,3,284,0,3,35,120,152,118,40,18,6,499,144,110,268,295,255,252,265,240,196,2032,2107,1835,4509,4233,4444,4592,4080,2362,1065,29229
LGA26810,86,300,373,390,419,532,491,245,51,2886,56,294,539,449,532,567,359,147,40,2986,25,234,639,496,552,626,327,99,16,3015,16,144,477,411,456,409,189,37,8,2144,7,97,424,387,388,373,140,27,11,1851,0,35,269,300,257,257,86,13,6,1236,3,23,320,472,489,425,90,12,8,1839,0,5,46,103,118,72,33,5,3,386,0,8,68,143,236,162,58,18,12,707,219,226,760,740,537,513,586,340,190,4106,2514,2180,5166,5206,5565,6671,6433,3105,1038,37887
LGA26890,6,16,30,33,48,55,33,22,7,262,10,16,54,54,59,77,37,8,6,316,3,23,61,42,51,43,30,11,0,264,0,8,42,38,28,49,21,8,3,201,0,6,31,24,38,41,16,9,0,157,0,3,9,18,18,31,15,3,0,101,0,3,19,28,41,48,13,6,0,157,0,0,0,3,7,9,10,4,0,33,0,0,4,9,13,19,14,8,0,74,20,13,18,32,65,75,82,56,24,377,162,139,358,393,513,693,621,319,141,3333
LGA26980,112,1132,1628,1178,1286,1183,1239,962,354,9069,76,1202,2468,1603,1549,1372,1105,637,237,10241,36,1063,3116,2101,2052,1691,1016,444,166,11692,13,553,2666,1842,1578,1256,692,264,91,8966,9,258,2170,1954,1743,1264,485,205,70,8153,3,91,1270,1719,1539,1022,331,95,43,6111,0,76,2022,3998,3538,2041,512,129,56,12373,0,17,366,1125,1102,549,126,44,7,3340,0,17,313,1693,2051,990,232,64,33,5391,303,757,1362,861,802,713,725,804,993,7321,9984,12736,23627,23300,22674,18721,15256,10629,5471,142397
LGA27070,243,1668,2849,2637,2093,1739,1165,519,198,13118,166,1844,4370,3740,2879,2176,827,239,52,16285,79,1444,5328,4599,3422,2383,737,143,29,18159,23,681,4017,3700,2651,1651,434,69,11,13239,17,336,3173,3391,2321,1321,317,51,15,10933,0,113,1840,2467,1646,872,178,19,3,7132,6,93,2181,4084,2482,1208,219,24,4,10305,0,12,244,700,511,237,36,4,0,1752,0,18,182,690,523,280,75,22,11,1801,744,912,2115,1766,1393,1132,1017,842,588,10505,13122,14445,35876,37234,27849,22630,17191,9006,3332,180685
LGA27170,118,351,565,392,359,394,432,208,45,2858,136,471,798,616,533,539,340,125,28,3586,89,387,1002,714,704,598,314,60,20,3894,20,174,676,635,581,421,177,38,10,2729,4,73,514,578,466,327,118,33,10,2125,7,35,319,389,403,238,61,13,0,1467,5,12,271,536,553,362,71,5,3,1824,0,9,31,68,81,52,17,5,0,262,0,0,47,97,112,103,27,18,5,408,176,169,343,312,260,236,271,238,167,2167,2797,2574,5849,5438,5198,5034,4491,2334,846,34569
LGA27260,284,1966,3946,3522,2077,1399,911,398,126,14635,183,2270,6090,5372,3144,1894,709,224,58,19924,91,1821,6942,6748,3759,2288,682,140,19,22482,26,833,5179,5329,2860,1586,419,78,10,16318,14,343,3894,4925,2623,1403,310,52,21,13581,3,139,2333,3752,1970,1033,173,26,5,9437,0,117,3340,7653,3397,1479,261,21,8,16273,3,24,479,1813,752,312,51,7,0,3443,5,20,393,1661,1005,420,88,24,5,3626,1143,1607,4213,3624,1890,1221,936,593,362,15588,16018,18034,51014,57085,31385,22013,14415,6061,1852,217884
LGA27350,37,655,1218,510,401,381,434,240,34,3921,22,703,1766,672,468,473,460,205,50,4819,12,785,3032,990,645,575,499,176,33,6733,7,497,3556,1067,596,475,350,118,17,6685,0,263,3643,1260,655,564,304,81,11,6785,0,100,2659,1341,676,475,246,72,5,5575,0,88,4554,3290,1688,1134,378,74,15,11220,0,15,823,1007,591,404,118,27,3,2994,6,45,1040,2233,1837,1020,345,74,16,6604,156,408,1426,860,619,539,393,274,176,4847,2557,6582,26917,15204,10219,8427,6200,3199,1268,80584
LGA27450,242,1157,1424,1433,1399,1427,1423,734,182,9416,156,1280,2108,1739,1966,1980,1191,425,90,10922,69,944,2725,2256,2448,2249,1047,307,54,12098,14,461,2321,1955,2090,1634,626,137,31,9267,10,204,2099,2014,1971,1493,463,117,34,8405,0,94,1306,1503,1466,1105,297,53,12,5844,0,56,1675,2814,2675,1718,408,82,8,9437,0,17,235,566,615,389,95,17,5,1938,4,15,176,642,901,560,181,65,21,2570,467,450,952,921,1108,1015,888,734,448,6987,9465,8692,19122,20374,21524,20271,16358,8550,2677,127036
LGA27630,6,33,51,49,72,81,67,37,22,413,6,40,73,81,84,107,48,28,12,479,3,22,88,84,89,111,49,33,9,493,0,14,58,47,64,91,30,7,4,316,0,0,39,38,40,83,22,12,0,227,0,0,25,19,33,41,14,5,5,140,0,0,24,35,39,54,25,4,4,189,0,0,4,4,12,4,11,4,0,32,0,0,4,17,9,35,12,3,0,91,47,19,56,45,70,75,100,98,98,612,347,241,589,580,740,1127,1001,616,297,5538
LGA29399,8,20,28,3,14,4,5,0,0,85,6,22,40,17,9,8,0,0,0,96,0,10,40,13,7,7,0,0,0,93,0,5,11,12,4,0,0,0,0,47,0,0,3,5,4,4,0,0,0,21,0,0,0,5,4,3,3,0,0,23,0,0,4,13,9,4,0,0,0,28,0,0,0,0,0,3,0,0,0,13,0,0,3,7,9,3,0,0,0,20,17,59,78,26,30,9,15,6,0,247,61,168,258,121,105,77,56,16,3,869
LGA29499,9,31,110,51,56,36,29,5,0,332,13,37,129,52,48,48,16,8,0,344,9,34,116,59,48,36,13,0,0,323,0,18,61,34,27,31,17,0,0,189,5,3,69,37,31,22,6,6,0,180,0,7,39,21,16,19,3,0,0,107,0,0,48,42,26,13,5,0,0,141,0,0,3,17,6,8,3,0,0,41,0,0,15,35,21,12,0,0,0,85,174,214,655,823,616,405,194,37,14,3132,459,671,1819,1736,1393,1074,613,152,29,7946
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,9,0,0,0,27,0,0,6,16,3,14,4,0,0,38
