LGA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
LGA21270,826,1645,15,76,73,348,13,48,257,1068,357,1538,18,75,67,218,111,347,198,645,554,2178,4,12,8,32,8,25,75,222,92,282,3,9,14,27,87,176,101,215,200,503,31,67,1613,4391
LGA21370,4892,9737,75,382,401,1936,116,541,1902,7611,2494,10473,190,807,261,871,828,2621,1284,4291,3775,14766,18,89,124,445,69,251,650,1823,869,2603,57,183,121,265,618,1325,797,1776,1669,4380,131,267,10459,29158
LGA21450,10614,21470,316,1862,1568,7428,408,1889,9513,37418,11806,48599,826,3539,1049,3667,2398,7913,4263,15119,16071,63718,90,456,365,1365,157,570,1983,5425,2599,7822,283,939,442,993,1666,3725,2390,5655,4995,13481,386,810,32066,99475
LGA21610,27033,54996,1277,8010,5816,28047,1279,6245,30209,118448,38588,160750,3046,13521,4102,14563,8808,29541,15961,57624,54550,218378,313,1582,998,3597,503,1946,5180,14276,6990,21399,790,2721,1314,3069,5356,12319,7460,18103,14450,39499,1308,2821,97338,315692
LGA21670,1734,3489,15,96,113,525,37,162,488,1942,652,2725,53,229,79,233,268,832,398,1298,1050,4027,13,50,34,144,30,113,273,775,355,1080,18,59,39,82,282,601,338,743,689,1825,60,133,3540,9473
LGA21750,2692,5349,55,292,231,1085,57,278,1133,4519,1473,6180,117,496,157,500,406,1295,676,2289,2151,8467,12,62,51,184,25,77,315,867,403,1189,39,125,65,130,332,743,436,1003,837,2198,94,193,5774,16204
LGA21830,2066,4103,43,230,183,878,38,209,772,3183,1036,4501,83,341,121,371,330,1038,530,1748,1574,6247,13,55,29,125,19,71,215,584,273,833,18,49,38,84,267,568,321,694,596,1536,70,145,4309,12030
LGA21890,14774,29717,147,855,1419,6416,179,803,9390,34997,11131,43071,840,3639,1604,5705,2663,8860,5112,18204,16246,61277,38,185,335,1086,92,317,1772,4312,2233,5907,227,767,678,1511,2614,5826,3519,8110,5761,14015,945,2003,37717,107006
LGA22110,7096,14121,85,468,360,1646,145,655,2171,8571,2758,11349,161,660,273,885,922,2927,1350,4464,4111,15818,21,88,124,428,83,292,758,2090,979,2891,53,171,161,329,728,1552,938,2054,1920,4945,151,307,13282,35191
LGA22170,13185,26569,238,1327,1464,6695,377,1746,9024,34551,11100,44320,804,3415,1216,4202,3121,10160,5145,17776,16241,62097,94,441,532,1771,251,879,2736,7085,3614,10179,351,1125,709,1593,2911,6428,3974,9146,7587,19326,570,1196,37590,109189
LGA22250,1477,2943,20,111,95,451,30,150,470,1915,621,2624,37,147,76,237,218,694,328,1074,947,3699,4,28,29,111,12,50,151,425,200,619,5,11,17,41,152,324,174,374,377,988,42,97,2842,7730
LGA22310,14727,29500,151,857,2187,9965,157,715,10615,40548,13110,52084,1005,4244,2398,8599,2555,8225,5956,21064,19064,73146,34,146,385,1184,67,222,1633,3855,2124,5400,248,784,918,2065,1851,3965,3012,6817,5132,12212,658,1384,39585,116250
LGA22410,2739,5478,33,173,152,709,53,241,958,3760,1199,4882,74,308,149,454,430,1335,652,2098,1852,6984,14,56,66,218,41,140,323,868,441,1284,15,47,69,146,301,643,385,829,824,2116,67,142,5483,14717
LGA22490,2638,5276,86,475,385,1819,101,454,1863,7554,2434,10303,203,856,251,857,650,2121,1106,3828,3541,14125,15,71,50,166,28,116,267,709,361,1064,38,119,56,121,293,632,387,873,746,1934,50,111,6984,21452
