LGA_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
LGA21270,2399,5265,76,160,0,6,80,171,44,52,0,0,0,0,0,0,0,0,44,52,18,30,6,4,0,0,6,19,27,51,5,11,2555,5548,558,..,3118,5548
LGA21370,13593,33184,1205,1759,21,31,1224,1793,38,60,0,0,0,0,0,0,4,3,37,69,37,62,135,212,3,4,16,45,200,322,31,57,15079,35421,1726,..,16804,35421
LGA21450,36059,105478,2213,3898,821,1855,3028,5750,301,480,20,29,0,6,3,7,17,37,340,558,5,6,120,141,3,3,12,18,140,172,37,89,39607,112040,2122,..,41728,112040
LGA21610,102149,322162,7109,16404,2890,7732,9995,24135,902,1690,50,87,0,0,0,0,51,108,1007,1888,11,22,89,114,0,3,22,40,122,174,91,229,113365,348590,4629,..,117991,348590
LGA21670,5207,11475,369,506,17,29,386,538,60,72,0,0,0,0,0,0,0,0,62,81,55,67,0,0,0,5,45,90,97,160,21,34,5774,12277,790,..,6563,12277
LGA21750,8063,19238,590,802,46,86,637,888,30,44,0,4,0,0,0,0,5,11,36,62,24,32,33,44,12,19,20,48,81,143,24,40,8848,20372,2808,..,11657,20372
LGA21830,6053,14209,226,323,9,22,239,344,12,20,0,0,0,0,0,0,0,0,12,20,9,14,0,0,5,9,16,23,23,50,15,26,6343,14649,1077,..,7424,14649
LGA21890,33636,90629,8518,16973,7663,17020,16180,33991,4488,6930,1456,2322,2863,4683,440,652,34,82,9283,14669,0,0,4,5,0,0,344,698,341,698,44,76,59488,140068,6442,..,65929,140068
LGA22110,17897,40880,1220,1787,123,238,1340,2021,155,232,9,12,0,0,0,0,0,8,168,247,100,134,168,259,4,10,24,56,297,461,68,131,19771,43748,4564,..,24334,43748
LGA22170,42288,112332,6872,11283,2219,4552,9090,15832,914,1335,180,282,116,177,24,31,50,95,1284,1918,26,36,253,310,0,0,32,97,307,441,50,83,53019,130605,3280,..,56304,130605
LGA22250,4083,9251,197,261,0,6,196,262,7,12,0,0,0,0,0,0,0,0,7,12,42,59,3,8,0,0,9,17,55,81,19,31,4359,9644,613,..,4977,9644
LGA22310,27526,79790,8187,17602,5591,15015,13778,32619,9716,17290,2902,5088,3360,5802,385,609,38,87,16397,28877,0,0,0,0,0,0,208,414,208,416,56,116,57971,141814,6369,..,64338,141814
LGA22410,7578,17308,392,573,42,59,435,631,83,117,6,7,0,0,0,0,0,12,87,139,32,46,17,36,0,3,20,32,74,118,16,35,8190,18225,1373,..,9565,18225
LGA22490,8169,23330,89,175,0,5,95,180,5,6,0,0,0,0,0,0,5,10,7,17,3,10,5,0,5,5,3,8,14,26,4,13,8287,23561,729,..,9019,23561
LGA22620,42612,105983,2835,4408,455,861,3291,5266,405,637,17,44,0,0,0,0,15,19,436,700,70,94,44,69,12,24,41,87,162,277,95,206,46599,112436,3997,..,50599,112436
LGA22670,36911,114661,5758,12963,3408,9752,9162,22719,4412,9214,450,857,433,799,0,0,35,87,5323,10949,87,111,92,106,0,0,33,75,215,292,61,132,51670,148754,3802,..,55471,148754
LGA22750,89397,227414,8789,14036,2071,4183,10866,18224,1928,2999,170,262,302,450,134,229,22,37,2558,3985,77,104,338,449,7,12,136,311,556,884,132,255,103508,250762,12334,..,115839,250762
LGA22830,21909,57582,2143,3531,102,199,2241,3730,48,62,13,16,4,3,0,0,4,7,66,89,209,274,83,122,6,23,230,334,528,756,44,103,24795,62266,2104,..,26895,62266
LGA22910,6470,14297,140,220,37,63,177,280,96,115,0,0,0,0,0,0,3,12,100,128,33,45,7,13,9,12,27,55,80,126,20,40,6846,14872,2008,..,8849,14872
LGA22980,2241,5032,68,97,7,7,74,101,30,32,0,0,0,0,0,0,0,0,30,32,3,6,5,5,0,0,10,10,14,29,7,13,2367,5203,587,..,2956,5203
LGA23110,23967,63494,3558,6932,4687,11766,8236,18699,1508,2525,273,433,401,625,150,230,15,31,2350,3843,0,0,0,0,0,3,68,134,69,137,43,85,34663,86254,3132,..,37798,86254
LGA23190,7469,17892,343,463,6,11,351,479,371,494,0,0,0,0,0,0,0,0,371,494,12,13,4,11,0,0,3,11,21,32,8,13,8216,18915,910,..,9126,18915
