LGA_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA22620,2105,2829,6257,5986,5862,4935,1103,102,16,29181,1219,657,1433,1306,1366,2761,5604,3554,1636,19538,168,171,452,405,375,398,319,316,238,2838,3492,3650,8147,7693,7605,8098,7032,3970,1886,51561,655,2699,7614,7059,7351,5136,925,71,5,31519,2582,2235,3600,3847,3359,3589,1340,186,15,20742,293,304,798,504,409,645,213,18,0,3191,71,95,201,157,125,127,43,22,9,848,3604,5336,12206,11565,11248,9493,2521,296,32,56299,103,210,293,208,208,172,28,0,0,1216,413,171,188,127,121,157,43,5,0,1230,518,377,482,328,332,330,72,5,3,2442,4116,5711,12688,11893,11583,9828,2594,302,31,58745,2563,1179,2100,1964,2285,4666,10277,6636,2698,34370,335,353,907,813,805,813,674,558,364,5621,7017,7245,15687,14674,14673,15299,13545,7499,3097,98733
LGA22670,1535,3700,8876,7354,5818,3884,826,55,9,32051,2432,1399,3263,3200,2858,4010,5821,3911,1868,28761,215,286,854,649,455,409,374,320,182,3749,4188,5378,12996,11202,9133,8304,7013,4288,2061,64563,276,2817,12057,10482,8068,5382,1040,48,0,40162,1784,3791,6084,4564,3425,2675,913,105,4,23351,152,314,683,478,320,298,130,18,8,2396,45,244,651,368,245,176,44,12,3,1795,2256,7156,19477,15894,12058,8529,2134,181,14,67704,124,401,834,625,503,372,38,8,0,2902,603,498,446,321,279,243,62,9,0,2456,732,895,1281,945,780,619,95,10,0,5362,2986,8053,20763,16838,12838,9152,2226,193,11,73065,5189,2669,5009,4794,4633,6592,10418,7312,3090,49713,420,666,2015,1410,998,902,727,594,295,8023,8601,11392,27782,23041,18472,16646,13369,8102,3400,130795
LGA22750,4383,6780,15319,14098,13482,10288,2357,193,20,66931,2702,1261,2865,2880,2991,6189,12619,8216,3653,43377,297,415,836,768,651,609,795,705,559,5636,7379,8452,19032,17750,17127,17086,15775,9113,4228,115941,1083,5472,19048,16983,16517,10929,1794,133,12,71968,5426,6144,8899,8914,7972,7626,3015,366,26,48392,730,848,1805,1328,959,1152,439,45,4,7308,103,231,504,372,321,245,98,41,13,1924,7338,12699,30254,27591,25772,19949,5346,587,54,129587,199,485,768,504,551,393,62,5,0,2964,964,491,493,348,294,309,105,16,0,3023,1161,981,1256,848,847,706,167,21,0,5988,8499,13678,31506,28442,26612,20659,5518,611,58,135579,5967,2626,4863,4481,5002,10237,22702,14839,5935,76647,624,907,1825,1484,1372,1267,1470,1256,853,11065,15088,17203,38200,34409,32985,32161,29684,16706,6844,223284
LGA22830,1050,1359,3244,3016,3147,2605,712,60,10,15199,758,383,956,872,832,1454,2738,1924,869,10785,129,142,348,317,264,282,251,232,121,2076,1933,1881,4540,4207,4245,4344,3694,2217,1004,28064,429,1503,4117,3698,4148,3164,733,73,9,17866,1242,907,1770,1833,1770,1724,787,132,11,10170,152,119,337,232,220,293,107,17,8,1473,52,69,147,118,108,88,33,8,10,629,1876,2596,6369,5876,6238,5262,1656,228,26,30136,70,145,194,160,135,83,0,3,0,789,211,83,108,85,61,78,24,0,0,651,281,230,300,246,191,162,27,5,0,1438,2154,2828,6673,6119,6431,5429,1683,232,33,31576,1674,707,1503,1421,1515,2474,5027,3596,1424,19340,291,307,723,633,583,596,506,423,200,4268,4124,3838,8899,8176,8527,8503,7214,4255,1649,55188
LGA22910,155,160,494,666,920,895,250,29,0,3580,170,38,110,166,246,538,1094,535,219,3118,23,21,62,73,82,92,106,90,60,605,353,219,661,901,1242,1529,1451,656,284,7309,50,164,550,732,1022,846,209,43,0,3612,205,131,340,492,619,771,336,46,8,2944,35,19,65,73,89,123,46,10,0,462,14,8,16,21,44,18,10,5,0,140,303,325,969,1313,1782,1757,599,102,3,7159,10,13,28,23,39,35,3,0,0,162,16,10,16,20,25,30,12,3,0,138,33,27,43,44,63,68,21,3,0,300,330,357,1011,1362,1847,1822,618,104,3,7459,353,67,180,253,420,911,2046,1047,356,5637,44,38,102,136,167,193,214,158,105,1158,724,462,1297,1748,2432,2927,2881,1311,467,14251
LGA22980,46,79,234,170,265,271,63,15,0,1146,77,23,60,73,79,155,273,238,129,1096,12,0,21,22,17,15,25,36,35,172,131,101,309,259,355,438,360,290,165,2417,37,106,329,233,298,355,81,21,0,1469,74,39,122,116,143,185,68,32,7,780,3,9,23,11,25,19,11,0,4,102,3,5,6,4,4,8,3,4,0,48,120,162,487,366,467,577,158,58,11,2402,6,4,8,9,10,18,3,0,0,56,11,5,4,5,3,9,3,0,0,34,14,10,13,11,22,27,5,0,0,93,130,171,494,377,489,597,162,58,11,2492,160,39,91,112,134,277,562,422,218,2008,17,9,25,47,36,37,58,59,55,350,303,214,610,533,664,918,784,537,282,4851
LGA23110,1096,1699,4963,5770,5283,3508,652,56,9,23033,1018,376,963,1205,1136,1956,3408,2307,1168,13541,89,98,369,307,263,188,185,154,141,1785,2202,2180,6293,7283,6685,5651,4241,2515,1322,38359,197,1359,6602,7888,7112,4410,641,27,5,28225,1363,1560,2367,2878,2541,2224,749,91,3,13783,213,221,530,559,357,354,106,15,0,2367,23,62,215,139,92,78,21,10,3,650,1793,3203,9716,11466,10109,7067,1518,144,12,45021,44,181,336,255,300,233,27,3,0,1384,329,162,135,138,144,120,39,6,3,1062,375,348,467,392,441,356,63,8,3,2447,2170,3544,10179,11855,10547,7419,1578,157,13,47468,2123,770,1472,1700,1812,3267,6121,4121,1889,23277,179,235,777,693,543,380,354,279,212,3643,4474,4555,12426,14248,12897,11063,8051,4548,2115,74390
LGA23190,329,441,1012,922,1007,944,246,42,0,4936,187,93,214,194,204,405,868,677,366,3195,36,42,66,49,60,55,56,62,38,472,549,575,1287,1171,1266,1395,1166,782,401,8603,152,520,1329,1109,1264,1085,233,31,0,5725,411,262,550,601,589,677,292,76,3,3465,45,38,113,66,73,108,43,11,3,495,7,15,35,21,32,28,13,13,0,175,612,839,2023,1805,1956,1902,582,131,14,9857,18,30,36,32,15,23,0,0,0,152,45,24,31,26,12,23,8,3,0,162,62,54,64,52,30,42,6,3,0,313,672,892,2089,1855,1984,1941,584,132,14,10177,441,171,307,305,325,692,1558,1189,579,5573,82,83,157,105,110,118,117,106,62,942,1196,1149,2557,2267,2421,2759,2266,1425,656,16691
LGA23270,3045,5662,13310,11877,9171,6032,1128,58,0,50287,4003,1884,5747,5556,4762,5897,7020,3807,1341,40010,332,419,1166,1040,750,565,384,303,143,5104,7385,7961,20214,18474,14686,12498,8531,4173,1481,95401,781,4642,17472,16455,12060,8072,1247,66,0,60797,3390,5045,7699,7366,5578,4156,1210,112,0,34568,438,595,1494,968,636,640,196,18,0,4974,115,320,855,618,370,214,49,5,4,2558,4726,10597,27527,25405,18647,13083,2703,202,11,102892,294,793,1269,943,771,437,25,5,0,4535,1191,604,649,589,422,328,61,4,0,3841,1483,1391,1918,1532,1189,758,91,3,0,8379,6210,11993,29444,26938,19835,13845,2788,200,10,111268,8239,3626,8167,8090,7388,9728,12740,7140,2231,67345,775,967,2480,2159,1498,1144,731,547,226,10530,15225,16584,40097,37187,28715,24719,16262,7891,2473,189145
LGA23350,303,235,577,822,1071,962,290,37,7,4310,160,47,112,145,133,401,883,479,214,2579,30,14,39,53,70,65,55,56,26,413,493,294,730,1025,1276,1430,1227,574,251,7297,122,239,724,949,1316,1011,246,60,3,4677,309,171,345,481,580,712,315,56,13,2974,75,20,76,100,97,114,58,7,0,546,20,16,22,24,35,22,23,4,0,168,531,447,1164,1550,2027,1864,640,131,21,8366,13,8,23,13,24,18,0,0,0,102,33,7,11,12,13,30,5,0,0,112,47,18,33,23,37,54,12,0,0,216,576,464,1197,1581,2064,1915,641,131,21,8584,352,80,185,258,247,730,1708,993,342,4895,57,46,80,110,138,152,113,106,38,848,985,592,1463,1945,2453,2796,2468,1232,394,14324
LGA23430,2378,3334,8269,9739,9814,6435,1643,131,6,41753,1750,530,1243,1713,1743,3312,6339,4824,2529,23974,108,131,410,371,311,272,323,329,231,2480,4234,3998,9916,11819,11867,10018,8305,5287,2773,68202,407,2541,11233,12744,12904,7807,1482,81,5,49207,2961,3318,3871,5192,5227,4341,1858,253,12,27020,378,378,934,849,581,584,251,39,3,3997,40,103,304,254,171,121,45,18,10,1056,3778,6333,16342,19035,18886,12852,3632,399,28,81284,57,208,438,349,401,291,60,4,0,1806,693,261,202,188,188,196,84,8,4,1824,751,467,637,535,586,485,138,12,4,3625,4532,6799,16978,19575,19472,13336,3775,412,34,84913,3848,1225,2000,2441,2737,5321,11009,8550,4007,41128,217,314,875,740,643,552,603,572,363,4878,8594,8339,19848,22756,22848,19205,15387,9541,4401,130919
LGA23670,2502,3803,8317,9135,9026,6845,1504,98,3,41227,1855,666,1543,1929,1925,3603,6711,4444,1927,24592,118,156,336,343,247,240,261,304,272,2296,4472,4627,10190,11402,11196,10687,8477,4851,2203,68114,520,3339,11195,12264,11689,8572,1527,79,6,49186,3121,3466,4117,5108,5111,4591,1771,202,7,27487,398,392,911,714,537,564,227,21,0,3778,47,123,271,242,200,139,51,7,5,1081,4084,7322,16499,18322,17536,13869,3577,310,12,81521,95,286,425,325,330,303,33,0,0,1799,705,314,223,246,194,211,73,3,0,1978,801,602,646,577,520,515,109,8,0,3777,4887,7923,17147,18894,18057,14385,3690,316,13,85303,4195,1432,2343,2690,2939,5658,11826,8056,3106,42245,242,310,737,693,559,482,482,524,414,4445,9314,9661,20219,22280,21548,20530,15998,8898,3540,131987
LGA23810,1254,1576,3656,3335,3410,2909,651,60,6,16861,713,394,1018,894,1101,2293,3793,2353,1007,13575,139,187,372,362,303,338,302,263,178,2455,2110,2157,5052,4592,4819,5544,4750,2678,1193,32889,419,1547,4387,3871,4065,3106,549,39,6,17990,1453,1132,2029,2125,1991,2065,729,101,4,11627,168,138,455,289,259,394,135,14,0,1852,53,78,162,117,110,83,47,10,0,670,2093,2884,7027,6406,6434,5655,1457,168,18,32139,103,219,327,224,254,227,36,0,0,1383,229,106,180,109,104,117,41,0,4,887,335,318,506,332,363,335,69,6,0,2274,2432,3203,7537,6742,6788,5991,1525,168,19,34411,1604,740,1528,1435,1874,3980,7176,4413,1627,24381,306,349,748,691,653,686,619,478,294,4832,4347,4299,9809,8868,9314,10657,9321,5066,1947,63627
LGA23940,76,83,226,245,338,375,140,28,4,1511,105,33,82,63,100,224,398,236,131,1362,18,18,22,46,56,68,68,44,49,380,200,126,332,344,491,670,602,303,180,3251,36,95,256,298,402,427,174,39,10,1740,97,51,124,152,188,266,151,23,5,1071,5,13,33,27,30,40,13,0,0,159,8,5,12,14,22,24,10,12,0,113,147,163,432,494,643,762,346,79,17,3085,5,13,18,10,28,23,0,0,0,101,14,8,10,5,6,20,5,0,0,61,18,17,25,18,38,47,5,0,0,163,161,175,460,512,682,809,351,76,17,3246,193,55,120,105,196,429,811,475,220,2595,37,36,44,76,109,150,132,98,71,761,387,264,618,694,988,1388,1299,651,308,6602
LGA24130,871,816,1817,2893,3346,2280,603,69,0,12695,617,130,382,487,527,1108,2289,1286,447,7270,85,64,103,149,203,158,168,110,87,1120,1566,1011,2299,3533,4072,3547,3061,1466,531,21092,268,786,2330,3501,4262,2679,543,68,3,14437,1068,711,945,1749,1890,1637,744,157,11,8907,150,100,269,278,260,321,106,17,0,1498,43,50,66,67,94,68,30,13,3,431,1529,1648,3607,5601,6503,4699,1417,255,20,25279,19,41,72,66,87,104,7,0,0,394,145,48,31,45,71,76,12,3,0,439,166,95,106,110,159,179,23,3,0,832,1690,1744,3713,5712,6659,4878,1442,254,20,26107,1410,274,544,676,781,1777,4180,2536,744,12923,167,119,217,293,396,347,316,205,137,2200,3268,2138,4469,6672,7838,7007,5937,2999,893,41232
LGA24210,1735,2811,5397,6471,6745,5052,1375,184,15,29782,1670,545,1101,1716,1760,3162,5513,5073,2392,22939,65,80,238,267,254,203,226,269,223,1819,3476,3442,6739,8454,8751,8406,7122,5528,2630,54541,238,2051,7106,8307,8563,5897,1300,158,4,33627,2152,2857,2761,3728,3999,3783,1683,369,23,21356,320,381,486,483,378,460,199,40,11,2757,24,69,209,181,134,116,33,23,5,787,2725,5358,10567,12695,13072,10262,3214,592,38,58529,49,169,357,295,328,234,41,4,0,1483,553,301,193,227,185,204,62,7,0,1743,601,469,553,522,518,441,100,14,0,3223,3329,5831,11122,13224,13592,10705,3315,601,38,61749,3869,1324,1788,2326,2631,4851,9347,9082,4157,39371,160,187,480,511,497,367,400,464,363,3437,7356,7339,13388,16055,16718,15921,13063,10148,4558,104556
LGA24250,122,105,362,488,493,545,198,14,3,2322,157,16,51,56,81,266,536,323,128,1621,23,17,34,41,47,69,58,30,6,338,300,138,453,582,624,884,796,370,139,4277,56,135,433,496,585,541,149,13,0,2404,144,77,217,364,312,401,241,36,0,1793,29,12,38,38,55,90,34,3,0,295,14,7,20,27,21,18,7,5,5,124,242,228,703,922,972,1056,428,59,7,4610,4,6,5,4,12,19,3,0,0,52,4,4,3,3,0,17,5,0,0,43,4,10,9,7,19,30,9,0,0,92,249,236,714,932,987,1082,440,59,7,4701,281,37,89,99,143,482,1072,643,213,3057,38,35,68,94,97,130,130,60,16,667,557,304,870,1127,1229,1703,1645,762,239,8430
LGA24330,834,2131,7872,6125,4279,2455,420,21,0,24131,811,428,1090,1086,984,1543,2140,1333,715,10133,65,163,542,337,225,182,142,123,130,1904,1707,2725,9507,7546,5489,4179,2702,1476,846,36173,104,1339,9909,8584,5871,2933,491,20,0,29250,943,2115,4396,3053,2113,1584,419,37,3,14662,172,310,776,580,273,249,78,3,0,2437,19,87,300,147,83,53,18,6,0,709,1240,3847,15379,12360,8335,4816,1000,74,3,47058,35,195,484,311,293,207,26,0,0,1551,258,267,297,178,120,154,26,0,0,1299,290,452,786,489,413,360,52,4,0,2854,1535,4304,16162,12852,8742,5177,1050,75,7,49911,1740,925,1892,1659,1685,2634,3893,2376,1162,17968,150,347,1203,743,499,408,306,224,183,4061,3426,5577,19257,15258,10931,8225,5253,2669,1348,71946
LGA24410,1814,2639,6378,6961,6491,4758,1095,102,8,30241,1195,386,1117,1464,1286,2197,4592,3325,1509,17076,61,76,256,273,190,179,199,275,312,1820,3074,3102,7750,8700,7964,7135,5890,3699,1829,49138,398,2359,8416,9128,8461,5550,928,50,5,35296,2259,2329,3053,4035,3640,3256,1299,192,15,20072,295,279,735,563,360,459,163,30,6,2892,32,73,205,164,130,75,22,8,6,712,2985,5039,12414,13896,12592,9342,2403,281,31,58987,66,172,264,248,205,172,38,0,0,1160,508,168,162,144,130,141,48,3,0,1315,577,334,423,395,342,315,84,3,0,2482,3563,5380,12833,14285,12935,9663,2492,287,31,61463,2777,888,1673,2042,1988,3588,7914,5863,2404,29136,143,172,526,535,441,366,357,433,453,3425,6483,6438,15033,16863,15364,13610,10760,6580,2883,94018
LGA24600,1777,8817,20978,8423,4225,2700,845,108,3,47873,1488,3665,3471,1595,1137,1649,2270,1361,633,17264,226,910,1939,807,430,330,270,125,81,5121,3493,13392,26393,10818,5790,4679,3384,1590,726,70262,137,4291,25224,12689,6204,3506,879,92,7,53033,1717,8107,12467,4133,1918,1640,936,200,11,31134,384,1278,1788,758,261,275,96,15,4,4857,38,289,631,201,77,47,20,15,3,1327,2278,13963,40117,17774,8463,5475,1932,323,22,90347,57,669,1578,654,326,227,35,9,0,3548,641,1585,1045,285,155,151,58,6,0,3922,702,2254,2619,936,480,383,87,13,0,7472,2976,16219,42741,18712,8941,5853,2016,337,22,97817,2901,7249,6283,2660,1873,2686,4048,2541,1016,31266,425,1712,3935,1800,922,699,523,267,151,10436,6310,25180,52962,23170,11740,9236,6589,3141,1188,139515
LGA24650,2773,3914,10120,10886,8135,4086,704,39,4,40663,2627,1062,3578,3564,2543,3312,4650,1973,624,23933,281,272,864,792,510,335,272,163,84,3572,5685,5252,14564,15237,11187,7737,5629,2168,714,68167,639,3567,12978,15131,11413,5476,866,18,0,50082,3094,3192,5284,6077,4379,2655,759,75,0,25517,433,451,1154,878,563,433,114,8,4,4026,95,234,562,491,253,138,30,7,7,1813,4265,7444,19969,22573,16611,8703,1767,109,5,81442,201,457,789,685,532,307,38,0,0,3006,895,413,449,387,247,207,31,6,0,2634,1092,868,1236,1074,783,513,67,5,0,5642,5354,8310,21211,23645,17390,9216,1831,112,13,87089,5647,2208,5441,5311,4034,5189,8384,3882,997,41088,569,605,1676,1579,1062,701,531,327,151,7198,11568,11121,28329,30533,22490,15104,10748,4321,1154,135368
LGA24780,882,1138,2752,2539,2695,2266,541,45,0,12857,596,268,778,644,695,1241,2339,1618,831,9017,117,120,324,298,249,252,234,169,123,1889,1600,1526,3851,3481,3636,3765,3121,1834,956,23768,341,1239,3439,3086,3420,2693,616,64,6,14908,1010,752,1517,1488,1412,1472,571,50,6,8280,114,115,316,179,171,223,69,15,4,1208,47,73,168,127,139,101,30,19,5,705,1505,2185,5444,4878,5146,4490,1287,141,24,25101,77,126,173,130,123,112,11,0,0,750,150,77,135,80,79,92,20,0,0,625,221,206,307,208,201,200,35,0,5,1375,1730,2386,5756,5090,5348,4689,1323,141,24,26476,1307,543,1219,1029,1186,2149,4308,3037,1303,16082,245,246,654,603,544,547,503,328,199,3861,3279,3176,7619,6720,7076,7383,6137,3505,1526,46427
LGA24850,725,984,2642,2437,2467,1757,400,36,3,11459,569,238,750,642,606,1045,1708,973,398,6931,94,63,209,189,179,170,113,100,53,1181,1392,1280,3603,3278,3253,2973,2216,1111,459,19566,358,1185,3510,3372,3257,2211,434,42,4,14371,900,701,1348,1364,1353,1158,478,61,3,7368,96,121,362,205,164,235,74,8,0,1263,39,59,123,117,83,46,26,5,0,495,1397,2064,5340,5060,4858,3652,1009,116,9,23504,51,86,155,98,119,76,15,0,0,591,134,64,83,76,71,62,8,0,0,509,185,150,237,180,187,137,23,0,0,1100,1582,2213,5576,5240,5043,3792,1034,116,9,24604,1205,498,1022,912,945,1774,3206,1881,648,12090,214,176,412,391,375,364,249,183,71,2436,3002,2886,7015,6535,6369,5923,4491,2186,730,39135
LGA24900,426,465,1157,1186,1398,1352,346,48,3,6375,307,114,268,245,336,753,1799,1157,532,5504,46,40,124,113,122,127,162,136,77,958,777,625,1549,1548,1852,2230,2302,1342,614,12834,222,586,1450,1409,1765,1474,370,48,3,7329,526,325,662,736,802,957,407,68,5,4491,53,42,141,88,113,189,76,12,0,712,34,21,62,59,47,54,39,22,3,341,829,973,2316,2297,2730,2682,881,143,19,12870,28,21,52,54,59,62,3,0,0,271,43,19,37,31,29,35,6,0,0,201,66,39,89,83,85,90,8,0,0,468,895,1011,2404,2377,2814,2772,891,144,19,13337,636,198,407,417,589,1363,3367,2325,893,10197,113,91,248,234,259,271,320,258,138,1932,1644,1307,3055,3039,3661,4402,4581,2735,1050,25470
LGA24970,2529,5314,10627,10353,9362,6107,1520,183,15,46010,2693,1758,2135,2387,2545,3885,6991,6172,3200,31764,153,339,688,477,394,314,301,379,473,3517,5372,7411,13448,13214,12299,10309,8817,6732,3687,81293,268,3332,14356,14071,12495,7853,1470,142,10,53990,3094,5972,6523,5544,5194,4131,1782,314,22,32567,408,693,972,744,507,461,201,34,12,4039,43,190,500,316,211,136,50,27,11,1481,3813,10184,22349,20670,18404,12586,3507,512,52,92075,61,405,825,504,415,314,50,0,0,2579,913,797,453,323,289,244,68,7,0,3095,969,1201,1281,824,705,563,122,3,0,5669,4787,11392,23629,21503,19112,13147,3622,518,52,97749,5966,3952,3902,3377,3824,6167,12091,11048,5446,55769,317,843,1724,1018,803,619,557,701,712,7296,11078,16188,29254,25886,23735,19929,16273,12266,6204,160818
LGA25060,1707,3141,7906,7381,7072,4748,1097,78,4,33140,1344,536,1103,1274,1329,2374,4523,3559,1876,17918,82,141,449,363,291,227,205,228,125,2119,3132,3823,9462,9016,8694,7352,5821,3869,2003,53172,231,2377,10485,10007,9525,5827,1036,73,4,39561,2097,2967,3654,3707,3623,2994,1259,157,4,20465,389,429,788,656,412,424,197,25,7,3325,33,96,245,193,148,90,43,12,0,860,2749,5873,15164,14558,13712,9341,2534,265,10,64208,49,199,433,306,339,251,24,0,0,1604,463,258,218,164,142,167,54,5,0,1468,514,456,652,471,480,415,77,6,0,3072,3266,6327,15820,15029,14189,9756,2612,269,10,67277,3042,1110,1769,1804,2092,3853,7881,6237,3062,30852,173,292,900,703,608,492,379,408,204,4153,6483,7732,18488,17538,16887,14095,10867,6913,3274,102281
LGA25150,584,779,1910,2036,2034,1440,332,43,4,9152,405,121,428,447,444,822,1528,849,361,5402,50,38,119,120,122,115,112,79,36,787,1034,932,2456,2598,2592,2376,1971,968,403,15339,241,801,2481,2694,2761,1824,337,36,5,11176,698,572,935,1121,1049,996,389,64,3,5831,93,80,282,192,140,163,51,7,0,1009,25,45,79,107,76,47,29,10,0,411,1055,1495,3781,4113,4017,3028,801,117,15,18429,42,57,105,66,62,51,3,0,0,391,103,43,48,63,28,31,12,0,0,326,140,100,150,127,95,84,14,3,0,712,1196,1590,3932,4238,4117,3116,817,127,15,19143,868,229,588,638,704,1298,2864,1597,553,9345,104,80,240,245,248,228,212,137,58,1560,2165,1905,4763,5124,5068,4642,3898,1861,628,30044
LGA25250,1665,4963,15683,11609,8260,4965,948,72,3,48169,1678,1043,2386,2230,1934,2934,4544,4046,2578,23374,138,262,877,531,368,293,269,297,311,3348,3478,6275,18947,14374,10561,8193,5761,4422,2899,74900,258,3092,19533,15468,10736,5993,902,53,4,56039,2046,5005,8588,6383,4544,3206,995,126,7,30898,309,682,1520,1117,534,481,142,13,0,4802,32,227,471,279,166,92,32,16,6,1315,2645,9005,30116,23243,15985,9772,2079,202,15,93061,79,385,845,537,483,285,45,0,0,2667,523,511,522,278,222,160,51,0,0,2268,604,897,1364,817,707,449,88,0,0,4932,3242,9900,31478,24060,16691,10220,2171,203,13,97987,3611,2029,3848,3388,3277,4992,7920,6839,4189,40089,277,578,1835,1177,797,594,503,535,477,6767,7137,12501,37163,28624,20756,15806,10596,7581,4682,144853
LGA25340,2659,2929,5856,7369,9390,7478,2291,249,11,38225,1702,467,1162,1583,1956,4210,9811,7511,2857,31254,226,199,372,490,597,557,705,694,601,4442,4592,3595,7390,9433,11941,12245,12807,8453,3467,73922,910,2830,7246,8545,11045,7952,1790,181,8,40506,3218,2585,3371,4707,5684,5763,3018,532,39,28913,589,454,846,794,865,980,403,86,5,5023,128,150,222,211,281,201,86,40,9,1324,4855,6018,11683,14251,17877,14896,5300,838,54,75773,96,170,232,186,292,246,52,4,0,1274,482,144,123,136,168,205,63,0,0,1332,580,317,349,324,455,458,117,5,4,2605,5431,6338,12037,14570,18330,15353,5418,845,56,78380,3739,925,1735,2299,3079,6744,17366,13773,5003,54668,442,373,782,965,1201,1111,1333,1221,964,8392,9616,7640,14555,17834,22616,23203,24115,15833,6029,141435
