LGA_CODE_2021,POL_CL_Oth_SEO,POL_CL_Oth_UOLSE_VWorW,POL_CL_Oth_UOLSE_NWorNAA,POL_CL_Oth_UOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_UOLSE_VWorW,POL_CL_Tot_UOLSE_NWorNAA,POL_CL_Tot_UOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_UOLSE_VWorW,POL_Croatian_UOLSE_NWorNAA,POL_Croatian_UOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_French_SEO,POL_French_UOLSE_VWorW,POL_French_UOLSE_NWorNAA,POL_French_UOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_UOLSE_VWorW,POL_German_UOLSE_NWorNAA,POL_German_UOLSE_Tot,POL_German_NS,POL_German_Tot,POL_Greek_SEO,POL_Greek_UOLSE_VWorW,POL_Greek_UOLSE_NWorNAA,POL_Greek_UOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_UOLSE_VWorW,POL_IAL_Bengali_UOLSE_NWorNAA,POL_IAL_Bengali_UOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Guj_SEO,POL_IAL_Guj_UOLSE_VWorW,POL_IAL_Guj_UOLSE_NWorNAA,POL_IAL_Guj_UOLSE_Tot,POL_IAL_Guj_NS,POL_IAL_Guj_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_UOLSE_VWorW,POL_IAL_Hindi_UOLSE_NWorNAA,POL_IAL_Hindi_UOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Nepali_SEO,POL_IAL_Nepali_UOLSE_VWorW,POL_IAL_Nepali_UOLSE_NWorNAA,POL_IAL_Nepali_UOLSE_Tot,POL_IAL_Nepali_NS,POL_IAL_Nepali_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_UOLSE_VWorW,POL_IAL_Punjabi_UOLSE_NWorNAA,POL_IAL_Punjabi_UOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhal_SEO,POL_IAL_Sinhal_UOLSE_VWorW,POL_IAL_Sinhal_UOLSE_NWorNAA,POL_IAL_Sinhal_UOLSE_Tot,POL_IAL_Sinhal_NS,POL_IAL_Sinhal_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_UOLSE_VWorW,POL_IAL_Urdu_UOLSE_NWorNAA,POL_IAL_Urdu_UOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_UOLSE_VWorW,POL_IAL_Oth_UOLSE_NWorNAA,POL_IAL_Oth_UOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_UOLSE_VWorW,POL_IAL_Tot_UOLSE_NWorNAA,POL_IAL_Tot_UOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_UOLSE_VWorW,POL_Italian_UOLSE_NWorNAA,POL_Italian_UOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japan_SEO,POL_Japan_UOLSE_VWorW,POL_Japan_UOLSE_NWorNAA,POL_Japan_UOLSE_Tot,POL_Japan_NS,POL_Japan_Tot,POL_Khmer_SEO,POL_Khmer_UOLSE_VWorW,POL_Khmer_UOLSE_NWorNAA,POL_Khmer_UOLSE_Tot,POL_Khmer_NS,POL_Khmer_Tot,POL_Korean_SEO,POL_Korean_UOLSE_VWorW,POL_Korean_UOLSE_NWorNAA,POL_Korean_UOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedon_SEO,POL_Macedon_UOLSE_VWorW,POL_Macedon_UOLSE_NWorNAA,POL_Macedon_UOLSE_Tot,POL_Macedon_NS,POL_Macedon_Tot,POL_Malayalam_SEO,POL_Malayalam_UOLSE_VWorW,POL_Malayalam_UOLSE_NWorNAA,POL_Malayalam_UOLSE_Tot,POL_Malayalam_NS,POL_Malayalam_Tot,POL_Persian_ED_SEO,POL_Persian_ED_UOLSE_VWorW,POL_Persian_ED_UOLSE_NWorNAA,POL_Persian_ED_UOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_UOLSE_VWorW,POL_Polish_UOLSE_NWorNAA,POL_Polish_UOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Portuguese_SEO,POL_Portuguese_UOLSE_VWorW,POL_Portuguese_UOLSE_NWorNAA,POL_Portuguese_UOLSE_Tot,POL_Portuguese_NS,POL_Portuguese_Tot,POL_Russian_SEO,POL_Russian_UOLSE_VWorW,POL_Russian_UOLSE_NWorNAA,POL_Russian_UOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_UOLSE_VWorW,POL_Samoan_UOLSE_NWorNAA,POL_Samoan_UOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_UOLSE_VWorW,POL_Serbian_UOLSE_NWorNAA,POL_Serbian_UOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipin_SEO,POL_SAL_Filipin_UOLSE_VWorW,POL_SAL_Filipin_UOLSE_NWorNAA,POL_SAL_Filipin_UOLSE_Tot,POL_SAL_Filipin_NS,POL_SAL_Filipin_Tot,POL_SAL_Indon_SEO,POL_SAL_Indon_UOLSE_VWorW,POL_SAL_Indon_UOLSE_NWorNAA,POL_SAL_Indon_UOLSE_Tot,POL_SAL_Indon_NS,POL_SAL_Indon_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_UOLSE_VWorW,POL_SAL_Tagalog_UOLSE_NWorNAA,POL_SAL_Tagalog_UOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_UOLSE_VWorW,POL_SAL_Oth_UOLSE_NWorNAA,POL_SAL_Oth_UOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_UOLSE_VWorW,POL_SAL_Tot_UOLSE_NWorNAA,POL_SAL_Tot_UOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_UOLSE_VWorW,POL_Spanish_UOLSE_NWorNAA,POL_Spanish_UOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_UOLSE_VWorW
LGA23670,..,660,119,780,0,783,..,13532,4109,17638,191,17829,..,250,26,278,0,278,..,284,10,294,0,297,..,803,36,840,6,845,..,1517,183,1695,6,1707,..,209,7,213,0,216,..,897,76,978,5,983,..,1428,45,1471,6,1482,..,237,23,259,7,268,..,999,61,1052,8,1065,..,2563,123,2684,19,2705,..,347,16,360,0,365,..,429,16,445,5,452,..,7106,369,7476,60,7533,..,1253,124,1377,13,1389,..,216,23,234,10,242,..,302,120,422,0,421,..,740,201,939,10,949,..,128,15,135,0,138,..,557,19,573,0,572,..,942,197,1130,14,1144,..,466,51,522,7,526,..,108,9,119,0,119,..,245,31,272,0,277,..,59,5,59,0,59,..,284,42,325,0,326,..,501,13,514,4,518,..,629,43,668,8,682,..,601,18,622,7,626,..,279,8,287,4,293,..,2013,82,2092,20,2115,..,644,81,725,10,734,..,1382
LGA23810,..,12,10,20,0,20,..,306,101,407,8,412,..,61,11,72,0,72,..,53,0,56,0,56,..,150,4,160,0,160,..,239,52,290,3,289,..,35,8,44,0,44,..,17,0,13,0,13,..,85,3,92,0,93,..,38,5,41,0,41,..,145,9,156,5,160,..,106,5,107,0,107,..,68,10,77,0,77,..,22,0,22,0,23,..,514,30,551,5,555,..,522,95,617,3,619,..,27,21,43,0,43,..,16,12,20,0,20,..,9,3,17,0,17,..,8,0,14,0,14,..,208,10,220,4,219,..,6,0,6,0,6,..,76,16,93,0,93,..,19,0,21,0,21,..,29,0,29,0,29,..,34,3,36,0,36,..,46,11,63,0,63,..,185,6,194,4,192,..,37,0,44,3,42,..,199,10,207,0,210,..,56,7,60,0,60,..,476,32,502,6,512,..,120,17,135,0,139,..,45
LGA23940,..,0,0,0,0,0,..,5,10,10,0,10,..,0,0,0,0,0,..,5,0,5,0,5,..,8,0,8,0,8,..,10,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,10,5,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,19,0,16,0,16,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,51,5,49,0,49,..,3,0,5,0,5,..,30,3,34,0,36,..,21,6,20,0,20,..,104,8,113,0,111,..,3,0,3,0,3,..,3
LGA24130,..,13,5,13,0,13,..,142,87,229,4,227,..,61,4,68,0,69,..,118,6,129,0,124,..,158,3,165,0,163,..,129,7,136,5,138,..,6,0,6,0,6,..,4,0,4,0,4,..,33,3,36,0,36,..,19,3,20,0,20,..,56,7,64,5,71,..,10,0,10,0,10,..,7,0,7,0,9,..,3,0,3,0,3,..,142,14,162,3,162,..,250,9,262,0,261,..,28,0,30,0,30,..,4,0,3,0,3,..,4,0,4,0,4,..,42,0,45,0,45,..,10,0,10,0,10,..,0,0,0,0,0,..,52,4,55,3,54,..,9,0,9,4,13,..,10,6,14,0,14,..,3,0,3,0,3,..,13,3,20,0,20,..,32,0,29,0,29,..,8,0,8,0,8,..,42,0,40,0,40,..,14,3,18,0,18,..,99,4,101,0,101,..,125,5,129,0,129,..,7
LGA24210,..,675,164,836,4,840,..,21825,6650,28471,258,28734,..,325,35,359,4,359,..,174,0,176,0,176,..,318,3,313,0,318,..,5900,932,6829,40,6871,..,123,7,126,0,126,..,237,7,247,0,247,..,1011,34,1042,7,1048,..,39,0,46,0,43,..,562,42,599,3,600,..,439,14,456,0,455,..,590,28,618,4,622,..,217,11,224,0,228,..,3218,138,3357,17,3379,..,3458,410,3869,17,3881,..,228,33,256,0,256,..,27,17,45,0,45,..,826,223,1048,15,1060,..,445,53,498,3,508,..,181,0,188,0,186,..,2868,428,3301,14,3309,..,166,9,177,0,175,..,143,9,155,0,155,..,140,13,151,0,151,..,13,0,13,0,13,..,140,20,158,0,158,..,153,0,153,0,148,..,479,37,517,6,520,..,190,0,195,0,191,..,158,4,158,0,163,..,982,37,1023,6,1028,..,461,29,489,8,499,..,410
LGA24250,..,3,0,3,0,3,..,65,12,75,0,75,..,10,0,11,0,10,..,23,0,23,0,23,..,66,0,66,0,62,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,4,0,4,..,0,0,0,0,0,..,15,0,15,0,15,..,4,0,4,0,4,..,10,0,15,0,15,..,0,0,0,0,0,..,39,5,41,0,40,..,15,0,15,3,18,..,10,0,12,0,12,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,7,0,7,..,5,0,5,0,5,..,0,0,0,0,0,..,5,0,0,0,0,..,3,0,4,0,4,..,16,0,16,0,16,..,0,0,0,0,0,..,4,0,4,0,4,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,13,0,13,0,13,..,20,0,20,0,20,..,3
LGA24330,..,253,73,324,5,331,..,3350,1404,4753,43,4793,..,389,86,475,0,478,..,246,11,260,9,261,..,224,4,230,7,233,..,1253,376,1622,3,1626,..,415,40,455,4,462,..,270,25,288,0,290,..,545,30,580,4,581,..,505,18,523,3,524,..,242,14,263,4,263,..,116,0,116,3,113,..,498,42,540,9,546,..,94,4,97,5,98,..,2687,170,2857,32,2886,..,998,204,1201,7,1211,..,234,21,262,8,266,..,31,10,44,0,44,..,161,45,200,5,207,..,534,170,701,9,704,..,71,3,73,0,73,..,139,25,163,0,162,..,217,33,252,0,247,..,226,21,249,0,253,..,86,3,85,4,92,..,51,0,51,0,51,..,309,88,403,4,406,..,314,11,327,5,330,..,265,23,287,6,297,..,555,21,573,4,582,..,117,7,124,0,129,..,1249,64,1311,17,1328,..,1277,193,1468,13,1482,..,196
LGA24410,..,193,51,246,0,246,..,5690,1840,7536,74,7609,..,113,7,119,0,119,..,181,3,184,5,190,..,373,8,381,0,383,..,545,51,597,9,603,..,99,4,98,0,98,..,289,14,306,0,308,..,770,32,807,0,808,..,123,6,122,0,122,..,553,43,592,11,604,..,510,29,538,11,548,..,148,12,164,7,163,..,167,7,172,0,172,..,2655,144,2798,21,2823,..,626,57,680,3,683,..,152,17,169,5,171,..,128,68,188,0,192,..,340,110,446,10,452,..,77,5,81,0,81,..,286,17,299,7,307,..,684,123,807,9,817,..,180,27,212,3,212,..,86,0,84,0,85,..,145,14,159,0,159,..,18,0,20,6,25,..,101,22,125,0,121,..,197,6,200,0,204,..,233,12,249,0,250,..,249,3,257,3,259,..,80,13,85,0,85,..,753,40,794,7,801,..,497,49,544,8,557,..,253
LGA24600,..,637,143,776,0,776,..,22872,4339,27219,89,27309,..,134,16,154,6,155,..,853,26,883,7,890,..,484,8,496,11,503,..,657,44,700,7,703,..,578,15,591,0,595,..,377,6,383,0,382,..,3487,73,3562,25,3585,..,730,5,739,0,745,..,492,15,506,6,511,..,574,11,584,0,580,..,443,6,453,5,460,..,890,27,913,8,926,..,7571,164,7732,57,7789,..,1374,105,1480,7,1486,..,982,165,1148,10,1157,..,170,3,170,0,170,..,1834,468,2301,15,2314,..,156,9,166,0,166,..,638,14,657,4,660,..,778,57,837,0,837,..,215,9,224,0,224,..,710,31,743,0,746,..,438,38,476,0,478,..,32,0,37,0,39,..,214,20,232,4,231,..,818,3,824,4,825,..,2620,83,2703,12,2715,..,765,5,774,0,773,..,601,12,617,4,622,..,4808,106,4913,27,4935,..,3635,347,3980,23,3998,..,1070
LGA24650,..,528,143,672,5,675,..,2189,667,2859,26,2888,..,1264,158,1425,7,1434,..,221,13,225,6,231,..,166,5,176,0,173,..,1486,142,1630,9,1638,..,896,96,994,12,1007,..,570,39,613,3,616,..,3300,160,3463,30,3490,..,390,92,483,7,487,..,9431,1048,10476,165,10639,..,1408,96,1501,6,1506,..,2277,190,2470,29,2499,..,478,14,495,7,500,..,18749,1741,20490,255,20744,..,1588,133,1715,13,1731,..,122,8,133,0,133,..,50,19,64,0,64,..,212,39,254,3,250,..,2394,276,2677,15,2691,..,730,46,772,7,779,..,281,42,320,4,325,..,383,58,442,0,445,..,274,44,317,3,316,..,120,11,129,0,129,..,1295,118,1414,20,1433,..,960,156,1125,11,1134,..,2107,53,2162,21,2181,..,308,24,333,3,336,..,2906,72,2979,17,2997,..,404,35,437,4,443,..,5728,187,5912,43,5954,..,1826,236,2061,19,2076,..,1162
LGA24780,..,11,4,16,0,16,..,528,587,1112,19,1130,..,65,8,71,0,71,..,30,5,35,0,41,..,60,0,62,0,64,..,245,49,288,0,292,..,29,0,27,0,27,..,42,5,41,0,44,..,65,0,66,0,66,..,60,11,69,0,69,..,357,50,406,6,407,..,47,0,48,0,48,..,18,0,17,0,17,..,4,0,4,0,4,..,610,74,682,7,686,..,723,100,821,4,831,..,35,5,38,0,37,..,37,26,63,0,63,..,47,10,55,0,55,..,7,0,7,0,7,..,147,18,164,0,157,..,21,14,32,0,32,..,12,0,9,0,9,..,4,0,4,0,4,..,5,0,5,0,9,..,81,14,94,0,96,..,17,0,19,0,19,..,110,9,114,0,119,..,22,14,35,0,35,..,113,4,123,0,120,..,272,99,368,0,371,..,517,123,638,6,647,..,42,4,43,0,43,..,67
LGA24850,..,25,3,27,0,27,..,230,79,309,0,310,..,48,0,46,0,46,..,40,0,40,0,40,..,110,3,112,0,110,..,189,11,203,0,206,..,15,0,15,0,15,..,33,4,30,0,30,..,256,24,282,4,280,..,28,9,33,0,39,..,1050,99,1146,12,1158,..,146,5,150,0,150,..,114,5,121,3,126,..,17,0,17,0,17,..,1660,133,1795,23,1822,..,372,28,399,3,406,..,31,4,34,0,28,..,3,6,10,0,10,..,12,0,12,0,12,..,135,16,148,4,152,..,68,6,68,0,74,..,9,5,17,0,17,..,45,4,48,0,48,..,19,0,23,0,23,..,18,0,18,0,18,..,111,9,119,0,121,..,12,0,14,0,14,..,47,0,52,0,52,..,29,0,32,0,32,..,131,9,131,0,135,..,55,9,62,0,62,..,259,15,271,0,275,..,77,6,86,0,86,..,71
LGA24900,..,6,10,12,0,12,..,129,142,271,6,276,..,18,4,23,0,23,..,9,0,9,0,9,..,29,0,33,0,33,..,20,0,20,3,23,..,3,0,3,0,3,..,14,0,14,0,14,..,12,0,12,0,12,..,13,0,13,0,13,..,123,26,152,5,155,..,26,0,23,0,23,..,14,0,14,0,14,..,0,0,0,0,0,..,203,27,231,5,238,..,233,25,262,5,263,..,3,0,3,0,3,..,9,0,12,0,12,..,0,3,7,0,7,..,0,0,0,0,0,..,19,4,21,3,18,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,8,0,8,0,8,..,0,0,0,0,0,..,3,0,7,0,7,..,75,0,75,0,75,..,7,0,12,0,12,..,71,0,72,6,72,..,76,23,97,4,99,..,231,24,248,8,254,..,17,0,21,0,21,..,16
LGA24970,..,1140,283,1427,7,1430,..,29608,9271,38878,285,39163,..,402,65,465,4,474,..,662,23,690,8,697,..,480,9,495,8,499,..,8274,1914,10185,66,10247,..,1035,37,1069,0,1068,..,1587,79,1665,9,1674,..,4055,129,4184,18,4199,..,607,21,628,0,628,..,1729,107,1834,16,1848,..,5321,215,5534,35,5565,..,926,37,965,8,977,..,1140,18,1162,3,1168,..,16390,650,17039,89,17127,..,2568,491,3057,33,3086,..,832,103,942,10,945,..,326,85,411,4,413,..,1699,510,2209,11,2226,..,159,23,181,0,181,..,948,27,972,11,978,..,911,104,1009,3,1015,..,584,62,643,3,648,..,214,15,228,7,237,..,775,149,920,4,923,..,52,5,58,0,56,..,412,56,468,4,475,..,549,16,560,0,564,..,1516,96,1616,18,1634,..,614,10,625,10,636,..,426,29,452,9,459,..,3107,148,3254,32,3283,..,1027,88,1119,6,1123,..,3037
LGA25060,..,168,58,224,3,226,..,3084,975,4055,36,4090,..,831,109,941,9,950,..,262,12,276,0,276,..,275,8,279,14,287,..,2935,527,3462,26,3487,..,141,8,148,0,147,..,169,4,179,0,173,..,788,34,818,7,827,..,593,14,608,5,609,..,319,21,336,5,344,..,392,17,410,0,414,..,287,13,301,0,303,..,150,9,155,0,155,..,2842,114,2958,19,2981,..,5671,1006,6679,47,6718,..,297,29,322,5,330,..,24,4,31,0,31,..,191,48,239,3,242,..,475,64,535,8,547,..,195,5,204,0,204,..,314,47,361,5,362,..,331,16,352,3,357,..,232,13,238,8,244,..,140,11,150,5,156,..,38,3,37,0,44,..,302,42,341,5,341,..,258,5,265,3,268,..,190,7,197,0,198,..,317,5,325,0,328,..,118,9,129,0,129,..,888,35,921,6,927,..,1287,144,1435,11,1447,..,266
LGA25150,..,7,0,7,0,7,..,83,26,107,0,112,..,69,8,82,0,82,..,22,0,19,0,21,..,67,0,67,0,70,..,89,10,99,0,99,..,39,0,40,0,40,..,25,4,31,0,31,..,119,12,135,3,134,..,5,0,5,0,5,..,530,55,585,8,591,..,33,5,36,0,36,..,59,4,63,0,67,..,5,0,5,0,5,..,812,83,896,7,905,..,133,9,135,0,137,..,27,3,30,0,30,..,0,0,0,0,0,..,8,5,11,0,11,..,44,3,48,0,45,..,13,0,16,0,16,..,10,0,10,0,10,..,37,4,45,0,45,..,28,3,30,0,30,..,9,0,14,0,14,..,37,0,39,0,37,..,67,6,77,0,77,..,38,0,38,0,35,..,7,0,7,0,7,..,58,5,62,0,62,..,20,0,18,0,18,..,129,7,130,0,134,..,111,9,115,3,116,..,42
LGA25250,..,137,24,154,0,156,..,3166,874,4035,37,4073,..,452,73,529,9,535,..,610,15,632,15,644,..,585,13,600,7,605,..,5202,1544,6742,43,6789,..,683,64,746,5,752,..,208,3,216,3,217,..,1025,46,1067,7,1072,..,3546,165,3708,34,3738,..,535,26,562,11,572,..,699,23,723,4,728,..,3462,307,3773,43,3813,..,300,12,310,9,317,..,10453,641,11096,117,11209,..,7937,1975,9916,58,9974,..,444,41,486,8,492,..,36,6,42,0,43,..,240,43,282,3,287,..,234,29,261,5,266,..,451,24,471,7,478,..,394,60,454,9,460,..,344,41,385,0,390,..,445,36,481,7,485,..,202,18,223,4,225,..,78,8,84,0,84,..,239,44,278,3,278,..,418,12,432,5,435,..,445,47,493,10,504,..,524,17,535,7,536,..,251,21,268,3,269,..,1637,92,1725,22,1741,..,1841,140,1977,25,2003,..,396
LGA25340,..,12,4,16,0,16,..,515,153,662,13,677,..,264,24,288,4,291,..,336,16,352,5,355,..,571,9,578,8,588,..,1128,192,1321,27,1353,..,9,0,9,0,9,..,10,0,10,0,13,..,81,4,85,0,85,..,29,0,29,0,27,..,118,0,122,0,125,..,48,0,46,0,46,..,4,0,4,0,4,..,14,0,11,0,11,..,309,14,324,5,325,..,1361,117,1480,15,1493,..,141,9,151,0,151,..,29,3,38,0,38,..,33,0,36,0,36,..,106,6,111,5,120,..,68,3,69,0,69,..,50,4,54,0,59,..,197,14,206,0,206,..,76,0,73,0,80,..,151,8,159,0,161,..,12,4,14,0,14,..,102,16,121,0,121,..,144,0,148,3,146,..,89,0,91,0,90,..,171,10,175,0,175,..,39,0,39,0,39,..,442,12,451,7,455,..,429,20,449,0,453,..,34
LGA25430,..,0,0,0,0,0,..,25,6,25,0,25,..,3,4,9,0,9,..,41,3,46,0,47,..,62,4,66,0,68,..,48,4,55,0,55,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,11,0,11,..,0,0,0,0,0,..,20,0,21,0,21,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,30,0,35,0,32,..,39,0,41,0,41,..,27,0,27,0,27,..,5,0,5,0,5,..,0,0,4,0,4,..,3,0,3,0,3,..,8,0,8,0,8,..,4,0,4,0,4,..,10,0,10,0,11,..,8,0,8,0,8,..,11,0,11,0,11,..,0,0,0,0,0,..,3,0,3,0,3,..,12,0,12,0,12,..,11,0,12,0,15,..,7,0,8,0,8,..,5,0,5,0,5,..,35,3,37,0,37,..,46,4,45,0,48,..,7
LGA25490,..,0,0,0,0,0,..,20,6,26,0,26,..,3,0,3,0,3,..,16,0,16,0,16,..,24,0,24,0,25,..,16,0,16,0,16,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,3,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,4,15,0,15,..,3,0,3,0,4,..,4,4,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,5,0,5,0,5,..,3,0,3,0,3,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,38,0,38,0,39,..,5,0,5,0,5,..,36,0,36,0,36,..,12,5,9,0,9,..,86,5,87,0,90,..,25,0,25,0,25,..,0
LGA25620,..,0,0,0,0,0,..,35,6,41,0,41,..,12,0,15,0,15,..,19,0,21,0,21,..,39,0,39,0,39,..,31,3,35,0,35,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,9,0,9,0,9,..,23,5,28,0,28,..,13,0,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,46,5,51,0,51,..,48,3,52,0,49,..,0,0,0,0,0,..,7,0,7,0,7,..,4,0,4,0,4,..,13,3,11,0,17,..,16,3,21,0,22,..,8,0,8,0,8,..,4,0,5,0,5,..,5,0,3,0,3,..,4,0,4,0,4,..,0,0,0,0,0,..,9,0,7,0,7,..,14,0,14,0,14,..,9,0,9,0,9,..,8,0,8,0,8,..,0,0,0,0,0,..,27,0,27,0,27,..,20,0,20,0,20,..,3
LGA25710,..,30,9,42,0,42,..,789,163,958,10,964,..,110,11,123,0,120,..,164,6,169,0,168,..,244,5,249,5,253,..,506,35,535,0,538,..,8,4,15,0,15,..,8,0,8,0,8,..,139,4,139,0,137,..,3,0,4,0,4,..,73,0,73,0,77,..,114,7,120,0,120,..,43,0,44,0,44,..,18,0,18,0,22,..,415,12,426,4,432,..,745,45,790,6,795,..,69,5,78,0,77,..,12,3,15,0,15,..,31,10,42,0,42,..,229,13,243,0,243,..,50,0,46,0,47,..,289,18,312,4,314,..,83,8,92,0,92,..,28,0,29,0,28,..,65,9,71,0,71,..,3,0,3,0,3,..,88,3,89,0,89,..,24,0,24,0,24,..,54,3,49,0,49,..,38,0,45,0,45,..,19,3,18,0,18,..,136,3,141,0,139,..,212,8,222,5,223,..,58
LGA25810,..,9,0,10,0,10,..,67,65,138,0,138,..,7,0,7,0,7,..,7,0,9,0,9,..,19,3,22,0,22,..,16,0,19,0,19,..,13,0,8,0,8,..,0,0,0,0,0,..,4,0,4,0,4,..,8,0,8,0,8,..,36,7,40,0,40,..,10,0,10,0,10,..,5,0,5,0,5,..,0,0,0,0,0,..,69,8,73,0,73,..,11,0,11,0,11,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,13,0,22,0,22,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,4,8,4,9,..,0,0,0,0,0,..,43,0,42,0,42,..,5,0,5,0,5,..,48,3,46,0,46,..,10,4,15,0,15,..,103,9,113,0,113,..,28,0,28,0,28,..,15
LGA25900,..,92,4,100,3,100,..,2506,431,2935,25,2955,..,175,14,189,0,189,..,978,30,1012,14,1026,..,612,12,624,13,638,..,2112,462,2573,11,2590,..,67,0,71,0,71,..,237,15,247,0,256,..,714,16,728,5,731,..,224,0,231,0,231,..,167,8,174,0,174,..,119,0,119,0,120,..,109,3,113,0,113,..,138,4,136,0,136,..,1781,53,1833,6,1834,..,1174,64,1235,3,1244,..,304,37,342,6,347,..,28,3,34,0,34,..,234,46,283,6,286,..,132,11,147,0,147,..,85,5,88,0,88,..,286,20,304,5,307,..,352,49,402,0,404,..,579,21,600,8,612,..,780,355,1138,15,1149,..,21,0,21,0,21,..,233,10,248,0,246,..,165,0,169,0,169,..,276,10,289,0,293,..,214,5,214,0,216,..,143,0,148,3,146,..,805,20,822,4,832,..,1811,94,1901,18,1920,..,184
LGA25990,..,0,0,0,0,0,..,8,0,8,0,8,..,4,0,4,0,4,..,18,0,16,0,16,..,9,0,9,0,9,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,11,0,11,..,11,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,4,8,..,0,0,0,0,0,..,11,0,11,0,11,..,0,0,0,0,0,..,18,0,18,4,18,..,4,0,7,0,7,..,0
