LGA_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
LGA24650,713,674,1387,101,170,275,6,3,7,3,6,10,90,58,150,28385,18506,46893,1569,1906,3481,645,17,656,110,7,115,51,23,69,264,146,414,170,236,413,32110,21755,53867,97,195,298,0,0,0,21,33,54,237,187,423,26,58,82,17,13,32,401,496,896,0,0,0,0,0,3,15,13,26,22,35,56,6,4,12,37,52,89,302,167,470,739,711,1455,143,194,337,3,10,18,4,7,8,157,208,365,6838,9310,16147,3553,5703,9260,214,138,352,43617,37829,81442
LGA24780,5,3,6,68,48,115,5,0,5,0,0,0,17,19,40,9203,7898,17100,809,1005,1821,159,4,162,69,11,83,69,40,107,67,39,111,421,373,798,10887,9451,20332,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,4,0,4,0,0,0,5,3,7,4,10,13,3,0,3,12,15,30,92,44,136,107,58,162,0,4,3,0,5,6,7,0,8,11,8,15,951,1329,2280,737,1314,2050,145,115,257,12827,12270,25101
LGA24850,103,86,188,16,8,26,7,0,7,0,0,0,0,12,11,8588,6156,14743,522,429,953,267,6,275,51,0,50,40,7,45,62,33,98,322,238,568,9975,6983,16960,11,20,31,0,0,0,5,0,5,48,31,74,7,6,13,4,0,4,69,57,125,0,0,0,0,0,0,0,6,6,0,0,0,0,0,3,5,8,13,107,33,137,178,98,276,19,19,37,0,0,0,14,0,13,27,17,49,1408,2172,3577,938,1577,2511,73,57,134,12597,10904,23504
LGA24900,0,0,0,5,5,18,0,0,0,0,0,3,3,0,0,4567,3842,8404,303,318,620,98,0,96,33,15,49,79,19,102,46,17,64,313,283,595,5443,4510,9952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,3,58,29,82,58,34,89,5,0,5,0,0,0,0,0,0,4,0,4,685,748,1433,425,818,1243,87,61,146,6699,6168,12870
LGA24970,1302,1072,2375,454,654,1102,8,3,12,18,17,37,130,123,252,23797,16999,40801,1064,1857,2917,237,6,244,161,21,185,299,79,376,290,143,435,751,828,1579,28515,21801,50311,287,319,610,0,0,0,84,127,204,244,142,392,33,51,82,34,27,60,683,670,1353,0,0,0,18,14,32,32,25,53,39,87,126,22,24,42,104,152,254,244,198,439,1035,1017,2051,206,208,413,15,37,54,21,10,23,241,254,491,14823,14241,29062,3848,5940,9783,219,161,379,48664,43412,92075
LGA25060,766,736,1502,116,114,233,3,3,13,323,547,869,72,66,136,15291,10785,26078,680,1049,1729,181,4,183,137,17,154,457,149,606,164,116,276,471,620,1094,18664,14198,32866,115,123,239,0,0,0,163,181,344,83,68,151,15,34,53,34,17,45,409,432,840,0,0,0,37,41,73,15,14,26,8,20,30,0,3,3,57,71,136,184,145,330,657,645,1299,126,100,224,8,9,20,18,5,26,149,120,266,9954,11931,21883,2871,4787,7655,124,113,235,32418,31788,64208
LGA25150,124,80,209,10,19,26,0,4,7,0,0,0,0,4,5,6255,4604,10857,389,318,705,180,6,188,21,5,27,22,7,36,42,19,61,165,157,316,7213,5231,12445,6,4,17,0,0,0,10,9,14,20,16,40,6,9,14,9,0,9,54,47,101,0,0,0,0,0,0,0,5,4,6,7,10,0,0,0,3,10,13,71,22,93,131,80,209,17,21,36,0,0,0,3,3,9,18,23,43,1428,2101,3527,773,1306,2085,66,60,121,9628,8801,18429
LGA25250,1298,1246,2546,180,245,424,10,3,12,1006,1368,2372,157,146,299,19206,12932,32142,820,1252,2072,251,9,256,282,37,322,1600,1023,2620,214,169,382,792,992,1779,25813,19410,45222,205,221,425,0,0,0,241,246,483,120,66,187,14,60,75,67,49,114,648,639,1284,0,0,0,102,143,247,26,14,36,10,28,36,7,10,21,145,195,339,321,249,571,1113,1083,2193,204,208,416,25,36,54,25,24,44,249,270,519,15289,18287,33575,4358,6822,11180,223,140,363,47049,46010,93061
LGA25340,88,41,129,133,128,255,11,7,24,0,3,6,20,7,24,23244,17978,41224,1248,1246,2488,505,18,524,103,0,104,185,55,241,222,113,333,1072,666,1733,26824,20264,47086,16,16,28,0,0,0,5,0,5,73,29,105,8,11,16,4,0,4,104,50,154,4,0,4,0,0,0,6,12,24,15,30,39,4,3,12,28,44,72,213,79,287,342,173,517,13,7,19,4,3,8,17,3,14,34,17,43,7505,9614,17119,3808,6690,10497,249,261,509,38755,37014,75773
LGA25430,37,33,64,15,5,18,5,0,0,0,3,5,3,7,9,2288,2032,4318,132,135,272,54,0,57,10,0,10,64,38,104,19,0,22,180,144,332,2811,2405,5220,3,4,9,0,0,0,0,0,0,11,0,11,3,3,5,12,4,18,32,11,40,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,3,3,22,11,32,54,22,78,3,4,4,0,0,0,0,0,0,3,3,6,971,1169,2135,406,657,1059,43,25,71,4286,4287,8570
LGA25490,0,0,3,13,4,21,4,0,4,0,0,0,3,0,10,2648,2322,4971,149,133,278,87,0,92,50,12,64,21,13,26,52,22,76,236,164,407,3259,2680,5937,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,3,24,11,37,34,18,46,0,0,0,0,0,0,4,0,4,7,0,7,825,797,1628,308,522,829,54,48,97,4483,4059,8539
LGA25620,10,3,11,9,4,11,3,0,3,0,0,0,0,0,0,2241,1619,3861,113,93,203,90,6,88,12,0,15,13,5,17,27,14,43,157,144,305,2670,1896,4561,0,0,0,0,0,0,0,0,0,3,3,9,0,0,3,0,0,0,8,3,15,0,0,0,0,0,0,3,0,3,3,0,4,0,0,0,4,7,9,19,13,32,35,16,51,4,0,4,0,0,0,0,0,0,8,0,11,587,696,1275,300,525,820,37,37,72,3629,3167,6789
LGA25710,245,164,410,44,45,89,0,0,5,0,0,0,9,4,17,9261,6909,16175,389,455,847,227,0,224,52,0,57,46,12,58,52,54,108,164,148,311,10498,7800,18294,23,25,46,0,0,0,7,12,16,67,32,96,9,11,18,12,8,19,115,87,202,0,0,0,0,0,0,7,4,12,0,7,11,0,0,0,9,10,23,76,34,109,198,131,334,24,18,45,0,0,0,7,0,7,31,18,51,4989,5606,10598,1592,2792,4385,69,50,111,17373,16400,33770
LGA25810,0,0,3,15,3,13,0,0,0,0,0,0,0,0,0,1786,1447,3234,109,154,263,53,5,54,5,0,5,36,15,49,36,9,50,160,151,316,2206,1789,3993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,20,8,25,20,10,28,0,0,0,0,0,0,3,0,3,3,0,3,239,317,553,221,321,547,25,17,47,2711,2461,5170
LGA25900,463,413,872,138,166,302,10,8,15,1221,1411,2632,91,114,201,9764,6640,16406,398,634,1031,65,0,65,271,35,309,895,460,1356,156,132,296,1348,1520,2867,14826,11531,26358,47,39,94,0,0,0,178,184,363,15,14,34,6,4,14,35,23,60,285,275,555,0,0,0,47,66,110,8,3,5,0,5,10,8,9,21,69,77,141,206,201,408,554,550,1107,114,112,228,6,6,15,37,21,54,151,140,291,12154,14626,26782,2407,3866,6268,109,98,209,30199,30811,61013
LGA25990,0,0,3,6,0,4,0,0,0,0,0,0,0,0,0,980,838,1820,58,50,109,44,0,44,3,0,3,3,0,8,12,10,18,79,46,123,1182,956,2131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,18,12,11,19,0,0,0,0,0,0,0,0,0,3,0,3,253,252,505,130,205,328,21,17,37,1605,1425,3032
LGA26080,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,288,245,536,16,16,28,3,0,3,0,0,0,11,9,16,3,0,6,23,24,47,349,296,642,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,7,13,0,0,0,0,0,0,0,0,0,0,0,0,206,216,419,86,125,207,0,4,3,635,650,1287
LGA26170,5,3,7,6,8,15,4,0,4,0,0,4,0,0,0,4322,3568,7893,201,252,454,111,4,118,43,7,49,38,11,42,55,34,88,338,273,611,5125,4166,9292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,4,3,0,0,0,3,4,7,50,19,67,53,25,79,0,0,0,0,0,0,0,0,0,4,0,4,1192,1335,2530,573,983,1550,74,78,152,7017,6587,13607
LGA26260,0,0,0,4,4,6,0,0,0,0,0,0,6,3,14,2533,2221,4755,157,163,321,61,3,65,7,4,17,33,3,35,37,14,50,253,224,474,3096,2639,5741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,30,13,47,33,18,49,0,0,0,0,0,0,3,0,3,3,0,5,600,557,1158,239,472,708,33,30,62,4004,3719,7720
LGA26350,1286,1139,2429,63,89,154,6,0,5,526,734,1260,75,90,164,9990,7445,17438,331,655,990,45,3,46,166,29,190,597,230,827,145,98,243,1189,1559,2752,14419,12071,26497,114,112,230,0,0,0,208,252,460,52,42,100,13,21,32,53,27,82,439,458,893,0,0,0,20,17,32,3,7,5,5,8,13,3,3,10,30,34,64,109,126,238,579,619,1196,111,105,213,4,6,13,10,8,16,126,119,236,13061,13943,27006,2399,3829,6223,114,104,215,30696,30682,61373
LGA26430,4,0,3,0,0,4,0,0,0,0,0,0,0,0,0,1531,1318,2845,99,87,184,50,4,56,13,0,13,11,20,25,20,11,39,147,122,267,1881,1557,3440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,3,23,12,27,25,8,37,0,0,0,0,0,0,0,4,5,0,4,5,425,471,897,184,319,504,21,26,49,2538,2390,4925
LGA26490,17,13,26,21,21,36,3,0,5,3,0,8,4,0,4,5391,4233,9625,257,270,531,88,6,95,23,3,31,81,28,109,54,34,81,255,248,502,6188,4857,11051,0,0,0,0,0,0,4,3,4,19,12,25,3,0,0,0,0,0,26,11,37,0,0,0,0,0,0,4,0,5,0,8,9,0,0,0,0,10,11,60,28,86,89,48,137,8,0,13,0,5,3,7,0,7,21,7,22,2362,2879,5239,865,1372,2229,41,50,87,9558,9207,18769
LGA26610,0,0,0,98,12,108,0,0,0,0,0,0,11,9,23,3723,2824,6542,392,413,808,39,3,44,14,3,25,49,21,69,32,10,43,280,236,516,4639,3534,8174,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,10,3,10,0,0,0,0,0,0,10,3,8,37,29,64,45,32,80,0,0,0,0,0,0,7,0,6,7,0,3,339,463,800,221,478,701,60,35,99,5315,4546,9866
LGA26670,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,876,737,1612,48,40,87,27,0,27,28,3,29,6,0,12,18,10,29,105,98,207,1114,891,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,18,11,3,15,0,0,0,0,0,0,0,0,0,0,0,0,257,254,507,111,179,292,12,14,26,1508,1345,2856
LGA26700,0,0,0,3,23,24,3,5,3,0,0,0,13,13,29,4710,4189,8903,347,374,718,96,0,100,25,6,36,119,50,167,44,23,68,253,274,533,5619,4956,10580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,8,10,10,54,31,83,57,41,99,0,0,0,0,0,0,7,0,7,12,0,12,728,950,1678,551,1008,1561,61,58,111,7030,7018,14043
LGA26730,4,3,8,35,25,68,6,0,6,0,0,3,19,22,42,6100,5446,11549,450,545,999,65,0,65,21,6,26,108,36,146,43,13,59,327,300,621,7182,6408,13590,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,9,0,11,0,0,0,0,0,0,3,0,4,0,3,3,0,0,0,3,5,13,58,31,90,69,33,104,0,0,0,3,0,3,0,0,0,3,4,7,658,966,1620,673,1235,1908,42,39,79,8622,8683,17305
LGA26810,3,5,8,27,24,46,4,3,5,0,0,0,9,12,13,6475,5712,12183,433,401,831,136,4,140,68,16,81,116,47,166,105,45,147,448,410,862,7830,6659,14491,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,0,0,0,0,6,5,0,0,0,0,0,0,0,0,3,5,0,3,5,0,5,9,0,6,82,40,120,87,49,133,7,0,6,0,0,4,9,0,13,14,0,17,1053,1306,2355,818,1329,2146,98,69,171,9901,9415,19315
LGA26890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,420,992,19,35,50,11,0,17,7,0,4,9,4,13,35,7,41,98,70,164,742,539,1283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,12,11,3,16,0,0,0,0,0,0,0,0,0,0,0,0,208,192,395,49,112,156,15,16,23,1021,853,1877
LGA26980,1130,981,2118,401,533,927,8,4,6,144,187,335,59,79,143,19172,14666,33835,916,1702,2616,210,3,216,139,15,157,237,68,299,173,131,305,699,948,1649,23293,19312,42602,299,303,602,0,0,0,84,92,173,180,96,271,26,38,59,38,20,65,624,543,1169,0,0,0,41,56,97,29,30,60,17,55,73,10,21,31,95,164,258,205,169,370,927,876,1801,193,236,427,19,24,41,4,3,15,215,266,479,14331,14246,28574,3657,5936,9590,159,116,280,42580,40743,83325
LGA27070,1123,1119,2245,244,407,647,10,3,11,31,41,73,153,93,254,37304,25141,62451,1738,2294,4037,713,15,727,139,16,155,121,29,150,332,172,505,237,404,641,42155,29744,71897,278,367,647,0,0,0,35,69,101,314,193,505,24,65,88,41,24,65,695,713,1406,0,0,0,11,33,48,18,22,41,22,62,92,12,10,24,65,132,198,325,186,516,1085,1035,2118,198,236,435,13,19,33,9,11,23,225,266,492,9000,11494,20491,4113,7436,11545,301,208,514,56880,50172,107055
LGA27170,0,0,0,33,26,61,14,0,15,4,4,3,17,14,36,7678,6761,14440,467,502,965,106,6,115,58,5,65,106,31,136,66,24,93,393,246,638,8937,7621,16559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,3,0,5,0,8,6,0,3,3,3,8,14,75,48,121,80,61,143,0,0,0,0,5,5,3,0,3,3,5,6,733,1123,1850,715,1303,2014,61,49,109,10527,10159,20689
LGA27260,1682,1941,3625,203,427,632,16,3,16,15,15,26,232,236,466,43027,26028,69052,2400,3384,5782,776,11,788,254,29,280,220,61,282,524,228,753,381,571,949,49720,32926,82652,393,607,1000,0,0,0,68,118,184,537,300,837,62,172,237,65,37,99,1124,1237,2363,0,0,0,0,0,0,34,27,56,33,67,99,14,21,27,75,108,187,522,272,796,1722,1622,3344,411,682,1092,20,22,35,15,12,31,450,714,1161,17008,17413,34423,5408,8164,13577,415,251,665,74732,61093,135825
LGA27350,545,524,1068,104,140,240,3,5,11,1023,1157,2183,76,103,174,7162,5298,12454,210,443,656,46,0,46,184,40,224,1431,827,2260,137,109,251,1728,1969,3696,12653,10615,23268,56,51,111,0,0,0,134,174,312,21,18,37,7,15,24,67,26,94,283,289,569,0,0,0,37,36,73,9,5,11,5,3,3,5,6,11,57,50,106,179,169,349,520,504,1023,79,70,147,3,9,13,22,12,36,104,92,189,12912,13918,26827,2209,3474,5686,94,86,179,28489,28687,57177
LGA27450,322,239,559,150,115,267,20,10,23,0,0,5,27,25,52,25379,18833,44209,1373,1210,2582,712,14,726,149,21,164,113,12,126,161,94,253,550,480,1033,28947,21050,49992,108,91,199,0,0,0,10,5,15,126,76,199,21,21,38,16,3,15,269,199,471,3,0,3,0,0,0,11,9,25,32,19,52,0,3,3,50,28,80,248,89,336,577,321,892,57,45,102,0,5,16,11,5,10,65,62,128,7774,10193,17963,3716,6914,10630,171,128,297,41244,38658,79903
LGA27630,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,902,727,1626,31,39,74,17,0,23,5,0,11,15,4,15,22,4,28,111,102,212,1117,873,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,15,16,3,22,0,0,0,0,0,0,4,0,4,4,0,4,184,178,365,94,162,256,15,20,31,1423,1243,2670
LGA29399,0,0,0,10,3,12,0,4,4,0,0,0,0,0,0,21,17,39,5,0,4,0,0,0,0,0,0,0,0,0,24,14,37,148,122,268,210,161,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,45,41,84,30,27,64,4,0,5,293,234,530
LGA29499,20,8,28,21,11,29,0,0,0,8,12,24,4,0,12,476,265,736,49,31,82,14,0,12,9,0,9,15,10,18,15,9,22,70,74,144,696,412,1107,12,0,10,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,11,5,19,0,0,0,3,0,3,0,0,0,0,0,3,0,5,5,5,4,6,7,0,9,24,15,36,0,7,7,0,0,0,0,0,0,0,5,5,162,151,311,131,181,310,18,7,22,1022,771,1797
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,15
