UCL_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
UCL215012,13,20,9,18,15,7,0,0,0,83,17,13,3,20,9,10,0,3,0,83,46,9,94,62,16,22,17,44,0,309,0,0,0,8,0,0,0,6,0,11,3,3,0,7,3,0,0,4,0,21,0,0,0,0,0,0,0,0,0,5,8,6,5,3,0,6,0,3,3,31,202,395,130,158,82,57,30,74,8,1139
UCL215013,23,7,13,19,21,0,16,8,0,107,30,22,25,54,31,8,14,13,0,197,44,13,194,58,61,35,49,37,11,521,5,0,4,0,10,4,6,0,0,28,8,0,0,8,11,10,3,0,0,39,0,0,4,4,4,0,0,4,0,15,6,8,4,0,3,0,4,0,0,32,173,297,272,217,194,75,123,82,29,1454
UCL215014,3,6,0,3,3,3,0,4,0,19,0,0,0,12,6,0,0,5,0,32,19,6,82,21,21,14,25,28,3,221,0,0,0,0,6,0,0,3,0,10,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,3,18,37,61,90,58,44,22,24,39,6,391
UCL215015,17,8,13,16,5,3,0,4,0,62,16,20,12,14,7,8,0,15,0,92,38,14,88,24,18,15,15,25,0,238,3,0,3,4,5,4,0,5,0,24,3,0,0,5,9,0,3,3,0,22,0,0,0,0,4,0,0,0,0,6,3,0,0,0,0,0,4,3,0,17,180,230,127,92,67,52,25,61,6,856
UCL215016,5,14,4,13,8,4,3,4,0,54,19,36,15,47,21,5,6,7,5,150,51,24,212,64,58,32,69,55,17,580,7,0,4,6,0,3,3,10,0,36,8,0,0,6,0,0,6,3,0,30,0,0,0,0,0,0,0,0,0,9,3,0,3,7,6,0,3,8,3,39,120,219,252,178,127,55,97,93,30,1163
UCL215017,15,7,9,13,8,3,0,3,0,56,15,12,13,25,12,7,0,4,0,83,45,12,186,40,50,6,38,30,16,424,3,0,0,0,7,0,0,0,0,16,0,0,5,4,3,4,0,5,0,18,3,0,0,0,0,0,0,0,0,6,0,0,0,3,3,9,3,0,3,23,100,161,223,106,104,29,45,44,26,850
UCL215018,4,8,4,4,0,4,0,5,0,37,6,12,4,14,6,3,0,3,0,51,36,13,110,48,29,21,29,45,9,346,0,0,0,4,0,3,0,5,0,17,0,0,3,4,5,5,0,6,0,19,0,3,0,0,0,0,0,0,0,4,3,10,4,5,0,4,0,3,4,29,83,196,138,100,61,45,38,72,13,742
UCL215019,3,7,9,11,4,0,0,4,0,31,10,17,4,23,18,12,0,4,0,97,44,10,111,25,15,11,6,29,5,259,0,0,3,4,3,0,0,0,0,17,0,0,0,0,5,5,0,0,0,13,4,0,0,0,0,0,0,0,0,7,0,5,7,0,3,3,0,4,5,20,109,215,145,96,68,44,17,56,14,766
UCL215020,5,5,0,0,0,0,0,0,0,10,0,0,0,12,0,0,0,4,0,24,6,8,32,30,13,7,13,18,3,131,0,0,0,3,0,6,0,3,0,12,0,0,0,3,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,25,58,43,64,17,16,14,35,4,273
UCL215021,3,8,0,0,3,5,0,0,0,25,5,13,0,18,3,3,0,0,5,38,15,13,55,20,15,9,20,19,0,164,0,0,0,4,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,38,77,60,63,34,20,27,29,4,344
UCL215022,8,8,8,11,10,0,4,0,0,43,16,14,17,46,25,14,6,6,0,143,41,19,163,92,47,30,54,58,7,513,0,8,0,9,3,10,3,3,0,32,5,0,3,6,6,0,5,0,0,26,0,0,0,0,0,0,0,0,0,0,7,4,0,9,0,5,7,4,0,31,106,237,206,202,108,72,77,87,12,1102
UCL215023,3,8,0,4,0,0,0,5,0,19,3,8,3,10,3,0,0,0,0,21,21,9,54,30,18,9,29,32,3,209,0,0,4,0,0,0,0,0,0,10,3,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,4,0,10,39,61,64,49,33,16,33,48,3,347
UCL215024,0,9,0,3,0,0,0,0,0,16,6,10,3,13,6,0,0,0,0,42,26,10,56,23,9,9,22,16,5,176,0,0,0,3,5,0,4,0,0,9,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,3,4,4,0,5,4,0,8,3,28,54,93,66,52,38,22,19,26,11,378
UCL215025,5,5,0,5,0,0,0,0,0,13,4,4,0,12,5,3,0,3,0,35,13,8,51,11,10,16,10,15,3,138,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,4,4,14,28,48,61,46,24,23,17,18,7,286
UCL215026,3,3,0,0,5,0,0,0,0,17,0,8,3,8,5,6,5,0,0,25,3,8,49,17,13,9,16,14,0,127,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,4,5,4,0,0,0,0,0,12,18,55,58,36,31,20,23,23,6,267
UCL215027,0,0,0,5,0,0,0,0,0,20,5,3,3,15,4,4,0,0,0,34,19,7,36,14,16,5,6,23,0,125,4,0,6,4,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,7,39,79,45,42,33,9,15,36,0,295
UCL215028,9,14,9,8,3,0,0,0,0,51,10,16,12,22,19,3,0,4,0,88,30,10,128,34,26,18,21,25,0,293,4,0,4,0,0,0,3,4,0,22,0,0,0,5,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,3,3,0,5,0,4,0,0,3,0,9,92,161,162,99,75,34,31,50,7,719
UCL215029,21,20,12,18,12,10,6,11,0,103,22,13,20,33,16,5,0,7,4,119,33,6,106,53,19,17,6,25,0,262,5,0,0,8,3,3,0,5,0,18,7,0,0,4,4,0,0,3,0,27,3,4,0,4,0,0,0,0,0,10,4,0,6,4,0,3,0,3,0,23,236,328,195,174,99,53,18,75,18,1192
UCL215030,0,3,0,8,3,3,0,0,0,18,4,8,0,19,9,0,4,0,0,45,7,3,37,15,11,6,25,18,3,124,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,24,70,42,53,25,18,31,24,3,290
UCL215031,6,0,4,3,0,0,0,0,0,12,7,14,0,5,0,3,0,4,0,26,23,9,35,15,7,4,24,14,3,141,3,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,7,3,0,0,5,0,0,0,8,0,26,46,74,41,40,22,15,24,41,8,315
UCL215032,6,11,10,8,7,0,0,6,0,43,9,15,15,28,17,4,0,12,3,90,41,10,95,38,28,21,22,37,12,307,0,0,0,8,4,0,0,10,0,17,4,3,0,4,0,0,0,0,0,13,0,0,0,0,3,0,4,0,0,9,3,4,0,0,4,0,0,11,3,33,97,179,130,95,79,28,31,79,15,746
UCL215033,13,16,7,0,18,5,4,0,5,61,26,16,6,36,33,17,4,3,0,143,39,19,153,47,48,25,38,23,5,402,5,0,0,0,5,0,0,0,0,15,0,0,0,3,7,0,4,4,0,29,0,6,0,0,0,0,0,0,0,9,0,0,4,0,5,0,0,0,0,14,160,270,182,117,147,61,48,34,20,1047
UCL215034,4,4,0,6,0,0,0,0,0,13,3,6,0,9,5,0,0,0,0,27,18,7,30,20,14,3,6,21,0,117,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,4,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,33,67,30,43,27,16,12,33,0,263
UCL215035,0,5,4,4,6,0,0,0,0,20,9,6,7,11,13,6,4,0,0,57,24,10,120,22,32,0,29,16,6,260,0,4,0,0,3,0,0,0,0,12,3,0,0,0,0,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,9,65,112,138,49,68,12,33,35,17,524
UCL215036,0,3,3,8,5,0,0,0,0,22,3,5,5,12,3,3,0,4,3,42,17,4,78,18,13,7,10,15,6,168,0,0,4,0,6,0,0,0,0,11,0,0,0,4,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,7,43,95,98,60,34,14,16,25,11,394
UCL215037,0,4,0,0,3,3,0,5,0,14,16,10,4,14,12,0,0,0,0,49,19,8,76,28,16,15,23,17,0,191,0,0,0,0,3,3,0,4,0,11,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,13,38,60,80,55,38,22,24,32,8,368
UCL215038,0,3,0,0,3,0,0,0,0,12,7,8,8,9,4,3,0,0,0,42,20,3,60,25,15,19,18,18,5,174,0,0,0,0,5,0,0,3,0,8,7,0,3,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,4,4,0,15,54,70,72,39,35,27,26,31,10,363
UCL215039,8,6,0,0,4,0,0,0,0,20,9,3,0,9,3,0,0,0,0,27,12,9,48,23,13,3,16,18,4,153,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,5,0,0,11,36,49,55,39,21,8,30,29,7,282
UCL215040,0,3,0,0,0,0,0,0,0,8,3,5,0,9,0,0,0,0,0,13,18,5,39,25,14,11,22,24,3,163,0,0,3,6,6,0,5,0,0,11,0,0,5,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,4,3,13,38,33,46,47,21,8,29,27,8,255
UCL215041,5,25,9,0,0,4,0,0,0,47,13,18,4,22,9,4,3,9,0,93,48,18,128,67,42,31,22,43,8,405,0,3,4,0,3,0,0,4,0,16,6,0,0,3,0,3,5,3,0,22,0,0,0,0,0,0,0,0,0,5,5,7,4,6,0,4,0,4,0,28,95,204,163,119,70,51,42,73,16,837
UCL215042,5,12,0,0,3,0,0,0,3,34,9,10,6,16,5,3,0,3,0,51,21,7,85,32,17,5,13,23,5,201,0,0,3,0,0,0,0,0,0,6,4,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,0,0,10,61,97,103,62,38,14,19,27,7,433
UCL215043,9,3,3,13,12,6,0,0,0,42,11,10,14,38,27,10,7,9,0,120,52,18,220,71,62,27,55,60,16,574,0,4,3,6,9,9,8,3,0,31,4,0,0,5,6,0,0,3,0,24,0,0,0,0,0,0,0,0,0,9,0,4,3,8,9,0,8,0,0,35,93,141,254,165,135,53,78,86,17,1019
UCL215044,6,6,0,4,6,0,0,4,0,31,7,8,5,24,9,0,0,3,0,54,27,10,83,39,18,25,21,33,0,255,0,0,4,0,0,0,3,3,0,11,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,6,0,7,0,0,4,4,0,21,66,135,109,111,48,30,30,48,3,581
UCL215045,14,15,4,12,10,4,3,6,4,65,15,10,13,49,17,11,0,7,4,126,49,17,158,63,35,25,58,57,0,474,0,0,4,7,4,8,0,5,0,31,5,0,5,9,0,0,0,7,0,23,0,0,0,0,0,0,0,0,0,0,5,0,10,3,0,4,0,6,0,36,120,188,197,174,80,60,73,97,11,1000
UCL215046,6,15,4,6,7,4,0,0,0,45,5,12,6,18,9,0,3,4,3,61,19,8,94,35,18,11,20,24,8,237,0,0,0,0,0,5,0,0,0,6,0,0,6,3,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,3,13,70,141,113,80,64,26,25,30,16,569
UCL215047,0,3,0,4,7,0,0,3,0,25,8,19,16,34,17,4,3,0,0,105,39,7,159,26,34,11,43,37,7,369,0,0,0,0,8,3,0,4,0,16,0,0,4,6,3,0,3,0,0,19,0,0,0,3,0,0,0,0,0,6,0,0,4,5,0,5,0,0,0,16,57,102,193,93,73,30,62,53,20,678
UCL215048,0,4,8,5,9,0,0,0,0,30,7,7,4,28,13,5,4,4,3,74,17,9,99,33,27,9,24,38,7,266,0,0,3,0,0,3,0,0,0,10,0,0,0,3,0,0,0,3,0,19,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,4,6,3,5,24,42,78,125,90,64,22,38,63,12,526
UCL215049,12,0,8,0,9,0,0,0,0,42,8,3,8,7,0,3,0,3,0,33,15,5,42,16,8,5,3,15,0,102,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,4,4,3,0,0,3,0,0,0,16,101,92,76,42,40,35,9,31,4,417
UCL215050,16,22,8,3,7,5,3,4,0,66,10,17,5,20,9,9,5,0,0,74,39,10,82,16,19,13,10,13,0,213,0,0,0,0,4,0,0,0,0,10,0,0,0,3,0,0,0,0,0,19,0,3,0,6,7,0,0,0,0,13,0,5,5,3,3,4,0,0,0,21,229,446,124,88,85,52,19,27,7,1086
UCL215051,3,12,9,13,3,4,3,0,0,59,9,13,16,41,13,5,4,8,0,111,44,27,231,94,55,26,69,59,3,605,0,0,4,7,3,0,3,5,0,29,0,0,0,6,10,5,3,3,0,24,0,0,0,0,0,5,0,0,0,8,6,4,3,5,7,3,5,6,4,28,114,278,276,189,113,49,97,92,10,1216
UCL215052,6,8,0,3,4,6,0,0,0,22,5,3,0,5,7,5,0,0,0,33,13,7,50,17,12,8,10,9,0,130,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,4,0,0,0,4,0,0,3,3,0,15,70,121,61,49,38,24,12,21,3,407
UCL215053,14,19,8,19,13,3,3,10,0,89,22,21,11,46,28,4,0,7,0,149,75,13,224,63,31,47,35,41,3,520,0,0,0,9,3,5,0,0,0,29,0,0,5,7,4,4,0,8,0,29,0,0,0,3,0,0,0,0,0,8,0,3,3,6,5,6,3,3,4,42,186,278,275,189,110,82,50,79,18,1261
UCL215054,5,0,0,5,4,0,0,5,0,20,10,6,0,14,7,3,3,0,0,40,22,13,76,48,22,24,26,28,4,265,0,0,6,5,4,0,0,3,0,17,0,0,0,0,4,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,8,6,0,0,6,3,27,44,78,85,90,48,23,36,48,8,456
UCL215055,11,3,7,9,9,0,0,0,0,37,5,3,3,25,12,10,0,4,0,56,31,6,45,13,19,7,13,13,3,137,0,0,3,0,3,0,0,0,0,8,5,5,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,13,75,106,68,59,56,28,12,23,5,443
UCL215056,4,4,5,9,4,0,0,0,0,30,8,9,6,14,0,0,6,4,0,43,12,0,80,39,11,12,24,18,9,209,0,0,3,3,0,4,3,3,0,20,0,0,4,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,9,33,49,107,84,30,22,38,28,9,399
UCL215057,4,16,0,0,4,0,0,4,0,29,3,8,6,22,3,0,4,8,0,64,26,18,81,27,21,8,20,19,0,225,4,0,0,3,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,9,0,0,3,22,62,163,94,69,53,20,22,43,11,539
UCL215058,3,0,0,3,3,0,0,0,0,17,5,3,0,13,6,0,0,0,0,32,7,0,44,15,7,10,12,25,0,121,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,47,53,45,24,13,11,30,4,255
UCL215059,12,12,11,4,10,0,0,4,0,54,10,3,8,12,9,5,3,4,0,59,35,12,101,28,13,9,14,29,0,241,0,0,0,10,0,0,0,4,0,18,4,0,0,5,3,0,0,5,0,10,0,3,0,0,0,0,0,0,0,8,3,0,3,0,0,0,0,3,0,22,122,190,145,113,65,33,23,52,7,745
UCL215060,10,5,7,16,5,4,5,0,0,47,10,11,8,35,18,10,4,7,0,97,31,7,117,54,36,29,31,48,3,357,0,0,3,0,3,0,0,0,0,20,8,0,4,3,3,0,4,0,0,19,0,0,0,0,0,0,3,3,0,7,4,5,3,7,0,3,3,5,0,27,78,158,151,137,76,52,47,76,11,792
UCL215061,6,4,5,6,3,3,0,5,0,32,6,8,3,24,3,3,0,0,0,51,25,10,80,32,27,8,19,35,3,240,0,0,0,0,3,0,3,3,0,8,3,0,0,0,0,0,0,7,0,12,0,0,0,0,0,0,0,0,0,5,3,3,0,5,0,0,5,0,5,23,69,97,100,84,52,19,25,60,8,518
UCL215062,5,8,0,6,0,0,0,4,0,21,7,6,0,18,3,5,0,0,0,44,23,5,64,30,17,16,14,20,6,188,0,0,0,0,3,5,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,5,0,0,0,7,0,0,0,6,0,15,46,89,67,66,29,22,13,41,7,389
UCL215063,7,4,3,5,0,0,0,0,0,24,0,15,0,11,3,3,4,0,0,41,22,3,47,19,11,9,15,16,0,142,0,0,0,0,4,0,0,4,0,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,45,71,58,50,28,19,23,32,3,315
UCL215064,8,9,0,0,7,0,5,3,0,28,6,10,4,17,9,0,3,0,0,54,33,6,53,35,14,11,28,40,9,229,0,0,3,0,0,5,0,8,0,28,4,4,8,0,3,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,5,3,22,70,121,74,78,45,19,32,68,11,529
UCL215065,15,11,0,0,3,0,0,5,0,41,19,22,7,34,15,0,5,7,0,107,37,12,135,64,36,22,29,59,15,412,0,4,0,5,5,4,0,5,0,27,0,3,0,9,10,0,4,0,0,27,3,3,0,0,0,0,0,0,0,9,3,3,4,5,8,4,3,8,9,45,105,195,152,142,88,39,39,104,25,906
UCL215066,4,0,5,3,4,0,0,0,0,12,4,3,0,16,7,0,3,4,0,37,19,6,36,34,15,9,12,28,0,168,0,0,0,4,0,0,3,0,0,10,0,0,0,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,4,5,3,21,32,79,48,72,36,20,21,45,7,356
UCL215067,0,0,0,0,0,0,0,0,0,10,9,0,4,9,0,0,0,0,0,29,27,10,36,15,3,0,15,16,4,129,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,50,59,42,36,16,4,25,19,3,254
UCL215068,8,14,0,12,5,0,0,0,0,52,16,23,6,25,10,9,0,3,6,98,29,22,101,45,29,30,14,27,6,301,0,0,3,0,3,0,0,4,0,13,10,0,3,5,3,3,0,0,0,29,0,0,0,0,0,0,0,0,0,4,4,0,3,6,9,0,0,4,3,24,103,186,120,128,80,52,24,43,18,753
UCL215069,29,23,4,13,8,3,0,5,0,87,16,14,9,24,9,4,0,11,4,93,48,8,110,40,22,10,16,29,0,285,3,3,0,8,0,3,6,3,0,27,4,3,4,0,4,4,0,0,0,17,0,3,0,0,0,0,0,0,0,6,9,4,3,3,3,0,0,0,5,38,211,357,138,125,89,37,20,52,21,1059
UCL215070,0,7,4,7,6,0,4,0,0,37,11,15,8,15,15,3,0,12,0,76,35,23,111,46,33,26,35,53,9,368,3,0,0,3,4,4,4,4,0,23,3,0,0,5,6,0,0,0,0,16,0,0,0,0,0,0,0,3,0,7,4,0,0,4,0,3,3,6,9,38,66,112,132,110,70,46,55,90,19,693
UCL215071,14,25,8,20,13,4,4,4,0,85,27,17,22,29,28,12,4,5,6,155,60,34,222,44,51,26,34,29,14,511,4,5,0,3,3,0,3,0,0,18,3,5,0,3,14,0,4,0,0,37,7,0,0,0,3,0,0,0,0,15,0,0,7,0,9,0,0,0,7,33,197,378,274,158,162,60,56,42,29,1359
UCL215072,0,0,0,0,3,6,0,6,0,17,7,0,6,8,3,0,9,22,4,56,19,4,31,9,10,11,11,21,4,113,0,0,3,0,0,0,0,0,0,7,3,0,4,0,0,0,0,9,0,16,0,0,0,0,0,0,0,4,0,7,6,0,0,0,0,0,6,19,13,49,67,57,46,27,31,15,22,92,24,379
UCL215073,5,4,4,11,8,0,6,0,0,32,9,10,9,18,6,0,0,4,0,57,33,15,84,58,28,8,35,40,0,310,0,0,0,4,0,0,3,6,0,13,0,0,3,0,4,0,0,0,0,12,0,4,0,0,0,0,0,0,0,4,5,0,0,0,0,4,3,7,8,31,73,130,104,105,51,22,47,64,11,604
UCL215074,18,23,21,7,21,4,3,3,3,101,29,22,18,53,41,14,0,10,4,196,67,31,344,78,87,39,65,74,9,789,0,0,0,0,5,8,0,0,0,22,4,3,0,6,9,3,3,3,0,35,0,0,0,0,3,0,0,0,0,7,3,0,8,0,5,0,0,0,3,25,203,387,411,196,217,81,81,107,32,1717
UCL215075,0,5,0,4,0,0,0,5,0,11,0,5,0,6,5,0,0,3,0,31,11,7,73,33,7,9,10,16,8,179,0,0,0,5,0,0,0,7,5,10,0,0,3,0,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,5,0,15,23,57,78,61,22,21,14,34,12,321
UCL215076,8,10,3,6,12,0,0,4,0,42,5,16,4,18,4,6,4,3,3,77,26,15,89,35,37,9,30,44,3,291,7,0,0,9,3,4,3,3,0,22,0,0,5,0,5,0,0,5,0,20,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,3,18,99,149,110,89,80,28,43,77,10,691
UCL215077,7,11,6,6,7,0,0,0,0,40,15,10,3,15,5,0,0,9,0,64,21,13,46,21,21,14,12,13,0,163,0,0,4,0,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,3,5,0,12,93,137,69,63,57,15,21,23,9,489
UCL215078,0,13,3,0,3,0,0,0,0,29,13,14,10,25,16,3,0,4,0,92,40,9,163,32,31,17,28,25,4,352,0,0,0,0,6,0,6,0,0,13,0,3,0,4,0,3,0,0,0,17,4,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,7,8,84,133,192,82,73,29,26,39,9,674
UCL215079,4,13,5,5,0,0,0,0,0,31,10,4,4,18,12,5,0,5,0,48,38,8,54,49,14,13,8,30,4,216,4,0,0,0,0,0,0,3,0,15,0,0,0,6,7,0,0,0,0,21,0,0,0,0,0,0,3,4,0,4,4,3,4,0,7,3,3,5,0,20,74,97,66,95,53,22,18,52,8,479
UCL215080,6,5,0,8,5,6,0,0,0,28,8,10,5,30,9,4,4,3,0,83,26,19,121,60,35,11,29,38,5,341,0,0,0,4,4,3,0,5,0,18,3,0,0,9,0,4,0,0,0,16,0,6,0,0,0,0,0,0,0,4,4,6,0,3,0,3,0,0,0,17,65,129,138,134,62,23,38,55,10,663
UCL215081,10,11,8,20,12,0,0,5,0,74,21,28,13,51,29,4,4,16,0,175,42,22,163,66,52,21,40,59,8,469,4,0,9,0,3,3,5,7,0,33,5,0,0,9,9,0,3,3,0,24,0,0,0,0,0,0,0,0,0,3,11,3,0,0,0,5,3,0,0,31,167,307,210,181,131,48,62,102,15,1225
UCL215082,11,8,3,14,7,0,0,0,0,42,7,19,6,21,13,3,0,3,0,78,24,17,151,56,28,13,35,38,6,365,4,0,0,3,5,4,0,0,0,15,0,0,0,0,0,0,6,3,0,21,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,3,0,11,74,196,181,126,87,28,41,53,15,797
UCL215083,0,4,0,11,5,0,0,0,0,17,14,3,5,26,7,0,4,3,5,62,24,6,71,49,20,14,28,38,3,245,0,0,0,4,8,4,5,0,0,19,5,0,9,3,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,5,0,22,55,91,88,110,47,28,40,54,11,525
UCL215084,0,0,0,3,5,0,0,0,0,13,6,4,9,11,6,0,5,3,0,42,13,3,49,29,12,13,20,28,3,169,0,0,0,0,0,5,3,0,0,12,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,4,0,0,5,3,0,6,0,4,0,13,27,49,58,52,28,27,27,43,3,320
UCL215085,3,3,0,11,6,0,3,0,0,22,4,0,3,11,8,0,0,0,0,35,20,9,93,25,12,11,18,21,6,215,0,0,3,0,0,4,0,0,0,7,0,0,0,3,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,42,60,108,53,43,19,24,26,4,390
UCL215086,3,13,7,4,9,0,4,0,0,50,25,20,13,35,23,3,0,6,0,123,51,20,172,64,55,28,46,53,6,492,3,0,0,4,9,3,3,0,0,25,3,0,0,13,3,0,6,4,0,30,0,4,0,0,8,0,0,0,0,11,0,0,3,0,6,0,3,8,0,17,129,276,199,159,136,45,61,86,8,1101
UCL215087,14,9,0,13,9,0,0,3,0,41,7,16,0,10,14,9,0,0,0,54,35,6,135,34,21,13,30,15,3,294,0,3,3,0,0,0,0,3,0,13,5,0,3,4,0,0,0,3,0,16,0,0,4,0,0,0,0,0,0,5,0,6,0,5,4,3,0,6,6,23,80,95,147,74,62,26,46,25,8,558
