UCL_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL213013,..,46,51,19,16,22,8,12,0,168,..,44,82,70,137,190,271,240,116,1155,19,20,17,15,6,20,7,3,0,113,1182,683,848,810,885,852,809,512,178,6760,..,21,531,837,773,904,883,468,92,4506,..,174,461,213,162,116,67,20,0,1214,..,17,108,163,223,90,44,38,23,710,2391,..,..,..,..,..,..,..,..,2391,..,512,..,..,..,..,..,..,..,512,..,398,143,59,39,35,8,0,0,679,..,61,38,11,25,34,36,20,10,241,..,40,43,15,12,8,3,3,0,121,..,85,109,33,35,36,24,11,0,345,..,77,199,156,262,342,404,326,163,1926,37,37,35,29,33,35,20,10,0,240,2435,1424,1663,1518,1564,1599,1485,902,293,12892
UCL213014,..,44,46,22,7,10,7,14,0,138,..,35,74,42,50,103,130,208,145,791,12,17,12,8,3,13,12,10,0,88,983,548,780,635,524,590,514,429,197,5199,..,18,527,710,583,699,604,378,104,3629,..,163,363,122,87,74,40,6,6,852,..,10,108,133,114,76,31,17,12,494,1906,..,..,..,..,..,..,..,..,1906,..,356,..,..,..,..,..,..,..,356,..,291,134,40,36,15,0,0,0,520,..,44,45,14,10,33,33,15,10,201,..,34,49,33,12,3,5,4,0,141,..,91,92,49,34,30,17,15,0,335,..,77,142,103,117,210,221,261,183,1317,27,29,30,13,14,18,19,10,0,163,1933,1116,1487,1216,1018,1162,966,712,315,9912
UCL213015,..,15,18,7,10,18,6,4,0,72,..,9,45,31,58,86,62,48,15,352,25,26,21,9,8,10,3,3,0,104,1663,783,1255,1088,869,712,432,164,47,7007,..,42,961,1384,1003,855,550,183,28,4999,..,149,646,363,228,137,39,5,4,1573,..,15,138,175,197,107,49,23,10,714,3446,..,..,..,..,..,..,..,..,3446,..,660,..,..,..,..,..,..,..,660,..,601,307,74,45,19,0,0,0,1047,..,58,73,22,45,51,71,28,14,368,..,45,49,19,16,10,3,0,0,152,..,30,46,19,18,43,18,5,0,173,..,16,127,101,144,179,112,63,18,769,41,46,38,25,22,20,14,8,0,204,3491,1662,2388,2180,1714,1423,853,319,75,14103
UCL213016,..,50,58,14,11,36,25,13,7,217,..,44,128,77,162,291,369,365,236,1685,15,27,16,9,17,11,9,16,6,130,1589,1005,1096,1099,1198,1215,1168,832,343,9544,..,33,650,1074,1132,1221,1250,797,174,6337,..,236,583,324,278,189,83,23,3,1721,..,31,146,252,291,130,68,65,40,1023,3189,..,..,..,..,..,..,..,..,3189,..,770,..,..,..,..,..,..,..,770,..,568,216,104,101,50,6,0,0,1045,..,68,42,22,19,47,59,31,22,310,..,61,57,20,14,3,5,3,3,169,..,88,132,37,38,62,50,32,5,447,..,93,233,206,326,539,587,509,297,2797,41,59,45,40,33,32,27,23,11,306,3233,2016,2093,2084,2235,2276,2146,1487,551,18106
UCL213017,..,40,70,14,8,16,21,9,0,179,..,30,108,73,106,216,283,259,146,1219,16,31,20,7,6,15,17,9,5,121,1662,1018,1290,1101,1133,1129,1063,659,226,9275,..,39,839,1224,1248,1272,1276,779,121,6794,..,203,677,328,242,153,97,25,5,1733,..,15,118,196,261,138,55,20,33,835,3344,..,..,..,..,..,..,..,..,3344,..,857,..,..,..,..,..,..,..,857,..,566,280,92,60,36,10,0,0,1035,..,76,63,28,22,45,44,27,16,317,..,46,72,15,10,11,5,0,0,159,..,83,174,37,29,31,25,14,4,404,..,51,201,158,223,374,424,339,197,1962,34,53,51,25,24,23,25,14,3,263,3376,1991,2460,2107,2123,2079,1961,1222,385,17697
UCL213018,..,13,15,0,3,14,13,7,0,66,..,6,22,33,51,82,154,147,74,564,4,8,9,5,7,14,21,11,5,83,628,316,368,385,457,555,685,415,147,3966,..,3,221,397,491,672,875,517,100,3273,..,72,204,122,108,84,64,35,3,696,..,12,71,74,92,29,27,22,20,341,1269,..,..,..,..,..,..,..,..,1269,..,260,..,..,..,..,..,..,..,260,..,237,68,41,26,28,7,0,0,402,..,14,11,0,14,24,13,15,13,95,..,23,19,4,3,3,0,3,0,57,..,29,37,10,10,25,28,12,0,154,..,19,58,67,117,175,253,230,106,1025,10,13,23,11,18,26,34,17,8,157,1279,679,705,726,881,1061,1295,841,254,7722
UCL214001,..,25,32,8,0,9,5,0,0,89,..,27,44,28,56,109,118,123,82,585,3,17,4,8,6,10,14,0,4,72,502,369,431,330,390,455,436,284,118,3317,..,7,201,272,338,451,517,261,65,2108,..,83,244,117,89,77,46,12,0,673,..,10,69,93,96,48,26,15,10,371,1044,..,..,..,..,..,..,..,..,1044,..,201,..,..,..,..,..,..,..,201,..,229,81,40,35,11,3,0,0,393,..,48,27,16,11,17,11,17,3,146,..,28,41,12,7,0,0,0,0,91,..,62,79,21,12,26,11,8,0,220,..,44,100,59,119,214,221,187,106,1047,11,26,22,13,17,16,24,5,3,135,1058,736,864,641,721,862,851,502,198,6434
UCL214002,..,0,3,0,0,0,6,0,0,15,..,5,6,21,13,27,34,29,10,156,8,9,0,0,3,4,3,0,0,27,710,294,393,487,398,243,232,114,28,2907,..,6,357,622,540,349,337,147,21,2381,..,35,235,147,110,38,11,4,0,577,..,6,33,48,63,31,10,6,3,199,1504,..,..,..,..,..,..,..,..,1504,..,319,..,..,..,..,..,..,..,319,..,243,80,27,19,12,0,0,0,376,..,19,3,4,9,14,17,14,7,81,..,7,16,0,3,6,0,0,0,29,..,5,10,3,0,0,4,0,0,31,..,9,30,37,39,45,59,39,15,274,17,14,10,4,6,5,6,0,0,58,1517,659,768,893,785,484,455,215,46,5821
UCL214003,..,15,26,5,12,31,22,9,5,119,..,22,57,37,79,177,237,196,130,950,23,14,19,4,0,13,15,3,0,98,632,397,472,435,531,708,736,493,198,4610,..,12,247,384,451,657,766,505,123,3137,..,104,245,131,131,106,62,30,5,819,..,11,84,89,121,77,44,41,16,484,1191,..,..,..,..,..,..,..,..,1191,..,291,..,..,..,..,..,..,..,291,..,255,116,50,50,31,4,0,0,507,..,35,17,8,27,29,34,18,9,175,..,31,22,9,7,5,4,0,0,81,..,37,72,20,24,59,39,14,6,275,..,46,109,105,152,326,373,292,170,1576,38,26,43,18,13,22,22,12,0,191,1228,844,944,820,972,1319,1357,912,336,8735
UCL214004,..,10,25,10,5,14,12,5,0,76,..,6,21,18,43,54,100,115,56,407,6,9,4,0,4,7,13,0,4,47,400,228,274,262,291,293,369,241,90,2449,..,11,158,268,261,309,393,271,56,1728,..,61,102,78,76,43,34,10,9,418,..,15,46,62,62,36,19,9,7,252,802,..,..,..,..,..,..,..,..,802,..,171,..,..,..,..,..,..,..,171,..,141,61,28,22,15,3,0,0,265,..,14,22,8,12,6,10,8,9,89,..,3,35,4,3,4,0,0,0,49,..,20,70,29,14,24,29,6,0,198,..,23,62,54,96,140,177,179,85,813,12,22,12,12,11,14,20,0,4,103,815,478,575,536,547,592,684,487,165,4891
UCL214005,..,0,0,0,0,5,3,0,0,12,..,0,0,7,7,6,12,7,10,55,0,0,0,0,0,4,5,0,0,9,78,41,44,53,69,72,76,27,14,473,..,0,36,65,70,81,102,44,10,407,..,3,19,16,19,18,14,0,0,89,..,0,3,8,11,7,3,4,3,39,146,..,..,..,..,..,..,..,..,146,..,34,..,..,..,..,..,..,..,34,..,35,18,5,3,4,0,0,0,61,..,0,5,0,0,0,0,3,0,12,..,6,5,0,0,0,0,0,0,8,..,0,0,0,4,8,7,3,0,20,..,0,3,10,22,15,27,15,10,110,0,0,0,0,0,5,10,0,0,19,146,88,87,99,135,136,158,69,26,933
UCL214006,..,6,8,5,9,7,8,0,0,55,..,6,21,19,50,123,182,118,59,578,10,10,7,9,7,22,16,7,3,90,429,206,264,310,360,540,634,316,96,3163,..,9,153,298,340,504,741,381,56,2481,..,29,133,96,90,96,50,22,3,514,..,4,33,65,79,41,31,17,6,279,878,..,..,..,..,..,..,..,..,878,..,183,..,..,..,..,..,..,..,183,..,110,55,33,23,21,5,0,0,239,..,18,16,6,6,15,11,8,10,85,..,12,13,4,3,7,7,0,0,45,..,15,36,16,11,15,27,8,0,133,..,14,46,60,115,215,279,183,88,990,13,17,21,9,21,42,27,23,0,169,887,410,498,592,688,953,1166,639,168,6000
UCL214007,..,6,15,3,10,12,0,0,0,37,..,0,37,32,31,36,41,4,3,184,5,5,4,0,3,4,4,0,0,23,519,215,628,392,261,233,136,38,8,2436,..,4,477,518,239,251,127,53,9,1676,..,65,395,126,83,36,14,5,0,724,..,3,40,51,52,34,21,8,0,205,1042,..,..,..,..,..,..,..,..,1042,..,156,..,..,..,..,..,..,..,156,..,140,97,25,9,3,0,0,0,274,..,35,36,10,12,19,19,9,4,144,..,11,25,6,4,0,0,0,0,55,..,12,30,14,10,20,6,0,0,97,..,11,92,73,56,81,68,17,5,398,10,5,10,0,4,6,3,0,0,41,1053,443,1216,822,469,447,265,88,16,4815
UCL214008,..,35,32,9,3,10,7,0,0,97,..,27,59,40,70,145,203,220,133,893,18,18,13,6,4,12,10,6,3,93,744,471,501,485,521,628,610,452,187,4605,..,9,297,482,543,677,712,399,98,3213,..,150,293,119,84,80,46,17,0,798,..,7,59,107,128,61,21,32,9,425,1492,..,..,..,..,..,..,..,..,1492,..,316,..,..,..,..,..,..,..,316,..,265,102,41,31,25,4,0,0,466,..,39,18,10,12,28,16,13,8,145,..,32,16,5,7,6,0,0,0,69,..,60,66,11,12,21,17,4,0,201,..,57,160,97,153,259,301,300,178,1512,26,32,29,18,12,15,16,17,9,166,1511,970,1036,894,979,1178,1135,779,309,8799
UCL214009,..,14,18,8,10,10,12,4,3,75,..,5,19,30,45,139,140,119,55,556,8,17,8,5,6,10,7,0,0,68,681,390,466,509,540,633,523,308,110,4160,..,3,261,523,506,658,584,343,69,2955,..,44,288,166,174,128,54,27,0,890,..,6,42,82,136,78,36,27,15,425,1375,..,..,..,..,..,..,..,..,1375,..,317,..,..,..,..,..,..,..,317,..,313,177,63,41,14,6,0,0,606,..,27,17,8,15,12,24,14,13,135,..,27,21,10,16,16,7,5,0,94,..,31,36,14,23,16,23,16,4,152,..,8,51,60,111,231,222,171,78,929,24,26,25,14,16,13,17,5,3,136,1392,807,900,938,1039,1169,972,600,180,8011
UCL214010,..,11,15,5,5,3,7,5,0,55,..,3,11,17,34,79,159,125,52,480,8,10,11,6,8,17,11,0,0,69,442,181,210,310,307,444,567,325,86,2883,..,3,127,342,330,528,704,409,52,2491,..,34,121,115,86,82,57,13,8,508,..,3,10,45,46,18,12,5,14,163,867,..,..,..,..,..,..,..,..,867,..,199,..,..,..,..,..,..,..,199,..,101,42,22,13,11,0,0,0,188,..,11,7,4,6,9,13,9,7,71,..,7,6,3,0,0,5,0,0,25,..,22,31,7,3,7,9,6,0,93,..,16,42,28,62,137,241,163,77,770,16,18,13,7,16,25,25,0,0,129,885,409,394,578,565,826,1076,612,158,5504
UCL214011,..,14,14,8,3,10,8,0,0,56,..,8,33,27,39,71,143,124,52,496,11,15,12,5,5,3,11,5,4,66,769,444,543,491,584,451,484,296,88,4155,..,14,360,541,593,533,518,296,54,2911,..,92,307,172,169,80,51,14,0,890,..,8,58,90,140,68,19,25,11,422,1564,..,..,..,..,..,..,..,..,1564,..,428,..,..,..,..,..,..,..,428,..,308,143,44,30,15,0,0,0,546,..,34,28,14,15,23,34,25,10,177,..,25,17,8,4,3,8,0,0,72,..,24,30,14,11,21,12,3,0,124,..,17,71,78,98,153,207,173,74,861,33,25,16,12,12,17,12,7,3,126,1595,974,1039,966,1082,907,864,549,156,8122
UCL214012,..,8,9,0,5,6,5,3,0,45,..,9,23,22,41,87,116,132,79,511,5,4,8,0,0,3,4,0,0,35,453,274,296,296,337,383,402,295,124,2865,..,9,158,269,344,417,444,317,75,2027,..,67,186,81,83,56,38,13,3,527,..,12,47,79,81,39,20,20,15,307,941,..,..,..,..,..,..,..,..,941,..,208,..,..,..,..,..,..,..,208,..,198,86,49,29,16,6,0,0,383,..,15,10,4,7,13,16,6,8,79,..,16,12,4,8,0,0,0,0,45,..,22,16,7,10,11,13,10,0,83,..,25,62,63,85,167,182,175,116,878,11,15,16,5,9,8,9,7,0,87,949,589,588,562,648,730,725,542,215,5548
UCL214013,..,4,15,10,12,7,8,8,0,67,..,6,20,15,44,94,94,88,56,410,0,3,5,3,4,0,8,3,0,25,414,208,253,320,365,316,310,211,88,2472,..,4,132,329,319,257,319,218,50,1629,..,30,131,131,153,69,42,12,0,560,..,0,17,53,75,52,19,7,10,237,812,..,..,..,..,..,..,..,..,812,..,182,..,..,..,..,..,..,..,182,..,147,70,31,28,7,3,0,0,284,..,19,13,0,5,15,10,4,8,68,..,15,27,3,4,0,0,0,0,41,..,20,46,20,25,19,21,6,3,154,..,13,29,25,87,141,159,130,71,652,8,7,12,8,8,7,11,7,0,67,814,435,470,598,697,567,580,392,138,4695
UCL214014,..,7,14,0,6,13,14,3,5,65,..,9,22,23,35,104,157,118,57,538,6,8,8,9,0,12,16,10,0,67,385,214,251,267,309,453,582,323,104,2887,..,0,111,232,282,418,667,367,52,2132,..,46,121,88,84,76,56,27,8,506,..,9,49,70,60,48,23,18,17,300,812,..,..,..,..,..,..,..,..,812,..,160,..,..,..,..,..,..,..,160,..,162,61,37,35,20,3,0,0,326,..,20,11,3,14,15,23,17,6,100,..,16,13,8,12,8,5,0,0,52,..,20,27,11,14,41,27,6,6,148,..,10,51,59,79,209,324,193,86,1012,14,15,9,14,3,19,37,18,4,139,825,460,453,524,583,851,1166,652,172,5679
UCL214015,..,9,7,6,10,15,8,4,0,56,..,4,18,23,32,69,126,117,74,469,5,7,5,0,0,4,3,4,0,38,443,275,264,333,301,359,407,255,106,2736,..,0,161,354,299,361,449,264,41,1940,..,44,151,88,68,68,37,11,4,457,..,6,30,93,72,37,17,9,12,271,980,..,..,..,..,..,..,..,..,980,..,246,..,..,..,..,..,..,..,246,..,151,59,13,17,8,0,0,0,252,..,13,17,7,8,9,14,3,3,76,..,11,8,10,9,4,0,0,4,45,..,25,21,10,17,20,12,11,0,109,..,12,59,52,61,132,196,159,100,777,8,18,11,3,6,13,16,3,0,76,992,529,513,624,551,664,731,466,157,5234
UCL214016,..,16,12,9,14,18,14,5,4,89,..,16,45,35,65,144,203,177,96,782,11,13,7,8,0,16,10,3,3,69,532,337,380,312,436,544,616,443,141,3744,..,5,144,221,335,459,612,474,75,2327,..,86,219,106,114,84,66,30,5,707,..,14,91,87,106,69,35,24,19,452,1060,..,..,..,..,..,..,..,..,1060,..,238,..,..,..,..,..,..,..,238,..,219,97,49,45,18,9,0,0,441,..,35,21,8,23,19,18,16,0,141,..,19,28,9,4,8,0,0,0,72,..,31,35,16,33,39,39,14,4,215,..,26,93,80,159,261,354,280,144,1394,28,25,18,13,17,19,14,6,9,150,1088,699,740,586,840,979,1149,857,251,7185
UCL214017,..,0,3,0,0,3,6,0,0,20,..,0,9,8,26,97,117,139,60,448,0,5,10,4,3,7,8,5,0,46,290,150,128,197,275,421,553,360,107,2489,..,0,73,233,320,466,745,438,94,2374,..,12,79,69,59,58,66,20,0,366,..,0,3,17,40,34,8,11,13,133,561,..,..,..,..,..,..,..,..,561,..,173,..,..,..,..,..,..,..,173,..,104,54,15,12,13,7,0,0,209,..,4,5,0,4,5,5,5,5,34,..,6,10,0,3,0,0,0,0,16,..,5,6,3,0,11,15,0,0,47,..,8,13,17,50,139,183,181,86,680,0,9,11,12,11,16,19,14,0,87,567,319,254,368,492,742,1053,664,205,4675
UCL214018,..,8,10,9,8,20,20,15,0,93,..,4,20,31,62,132,220,180,54,707,3,11,8,8,8,29,23,16,4,110,431,257,277,361,510,830,1004,481,117,4252,..,0,138,326,479,893,1297,533,79,3746,..,42,170,140,141,147,121,31,3,799,..,4,25,45,81,56,39,24,30,308,882,..,..,..,..,..,..,..,..,882,..,204,..,..,..,..,..,..,..,204,..,170,98,47,60,33,11,0,0,413,..,32,7,13,9,32,25,26,17,157,..,22,15,0,4,4,3,0,0,52,..,22,33,21,20,40,42,22,0,192,..,11,44,62,143,255,377,284,94,1257,11,20,19,9,24,59,39,28,9,223,893,515,558,670,953,1511,1953,946,223,8227
UCL214019,..,20,7,9,9,14,5,0,0,76,..,11,35,21,37,90,106,94,59,449,6,6,4,7,4,5,7,3,4,47,396,299,336,284,351,413,375,209,83,2739,..,12,135,199,283,367,386,204,34,1605,..,54,181,88,81,59,36,5,0,509,..,20,54,88,110,79,38,21,17,421,804,..,..,..,..,..,..,..,..,804,..,189,..,..,..,..,..,..,..,189,..,218,128,35,34,22,4,0,0,439,..,19,23,9,6,32,18,11,6,134,..,26,18,7,6,3,0,0,0,70,..,98,45,34,24,24,20,3,0,245,..,15,65,66,104,195,204,142,73,870,17,14,19,5,6,8,12,10,4,94,819,667,658,539,658,785,727,401,136,5380
UCL214020,..,24,28,5,7,5,15,0,0,85,..,14,32,29,45,76,110,101,81,496,3,11,9,3,3,11,12,0,0,48,378,260,328,246,309,354,392,239,98,2607,..,6,150,225,277,414,412,244,44,1775,..,78,193,85,73,39,37,6,0,515,..,7,45,53,66,28,24,21,7,241,794,..,..,..,..,..,..,..,..,794,..,153,..,..,..,..,..,..,..,153,..,160,53,27,25,15,0,0,0,278,..,25,20,8,4,29,18,0,3,116,..,18,32,8,3,0,0,0,0,59,..,50,65,14,14,21,35,6,0,205,..,33,77,73,102,176,184,139,107,885,3,14,10,9,12,13,16,7,0,91,801,544,643,497,576,742,732,434,159,5117
UCL214021,..,0,8,3,4,3,7,0,0,25,..,4,16,18,26,45,62,62,33,278,8,14,8,0,3,7,4,0,3,53,512,313,318,340,381,279,274,150,50,2609,..,6,201,361,398,279,314,141,20,1717,..,57,184,114,112,46,7,7,0,538,..,7,26,62,102,51,29,19,9,305,1017,..,..,..,..,..,..,..,..,1017,..,322,..,..,..,..,..,..,..,322,..,250,103,18,30,12,4,0,0,416,..,23,5,10,9,15,19,11,0,95,..,6,12,3,3,6,0,0,0,29,..,9,17,3,9,13,13,4,0,63,..,6,36,37,65,98,100,84,45,480,12,15,11,4,8,12,6,6,3,85,1033,708,599,620,736,533,495,262,84,5068
UCL214022,..,19,19,11,18,28,18,0,0,121,..,10,20,20,53,156,232,193,108,792,10,15,12,3,9,11,15,3,0,79,550,363,395,390,467,609,694,423,162,4052,..,3,187,339,400,511,682,434,92,2664,..,88,207,138,117,105,49,17,0,714,..,10,77,107,138,81,41,35,18,492,1133,..,..,..,..,..,..,..,..,1133,..,271,..,..,..,..,..,..,..,271,..,280,138,53,52,25,4,0,0,554,..,20,15,8,16,14,26,12,11,124,..,16,23,4,7,4,3,0,0,62,..,26,40,32,38,49,35,10,0,248,..,16,59,76,125,292,374,277,143,1366,16,16,19,11,11,17,23,11,0,132,1146,761,771,770,899,1103,1254,791,272,7763
UCL215001,..,0,7,0,0,0,0,0,0,4,..,0,8,7,7,26,20,17,11,90,0,4,0,0,0,5,3,0,0,12,66,40,40,48,87,161,104,50,18,618,..,0,21,49,75,174,153,68,8,547,..,6,16,19,33,55,21,4,0,145,..,0,0,0,21,7,4,4,5,43,139,..,..,..,..,..,..,..,..,139,..,58,..,..,..,..,..,..,..,58,..,27,10,3,4,0,0,0,0,48,..,0,9,0,0,0,0,0,0,11,..,0,6,0,0,0,0,0,0,8,..,0,8,0,0,0,0,0,0,11,..,6,10,10,21,47,41,22,13,168,0,9,3,5,13,6,9,5,3,44,139,106,76,89,175,291,224,101,23,1220
UCL215002,..,0,6,0,0,4,3,0,0,20,..,0,10,11,18,48,68,58,30,250,0,4,4,0,3,0,3,0,0,19,153,86,99,129,136,176,222,127,41,1166,..,7,56,117,134,175,227,132,16,859,..,23,57,46,42,26,21,7,0,229,..,3,7,22,26,24,14,9,3,106,330,..,..,..,..,..,..,..,..,330,..,86,..,..,..,..,..,..,..,86,..,50,24,19,17,8,3,0,0,122,..,5,4,0,0,9,7,3,0,35,..,4,5,0,4,0,0,0,0,10,..,9,13,3,13,11,7,0,0,50,..,9,15,15,39,95,121,90,44,429,5,6,5,6,4,5,8,4,0,44,332,199,190,232,267,344,409,242,60,2287
UCL215003,..,13,10,0,0,9,7,0,0,48,..,0,8,10,20,38,53,52,21,197,4,0,6,4,4,9,18,3,0,39,187,94,126,156,175,265,260,133,39,1433,..,0,39,167,198,301,327,170,25,1225,..,13,93,83,47,48,33,4,0,322,..,0,0,7,26,23,9,0,9,73,408,..,..,..,..,..,..,..,..,408,..,104,..,..,..,..,..,..,..,104,..,41,25,12,9,3,0,0,0,90,..,0,6,0,0,3,5,0,0,21,..,0,11,0,0,0,0,0,0,14,..,31,20,10,5,9,16,0,0,93,..,9,21,15,37,81,89,74,33,356,5,7,12,10,5,12,27,9,0,100,420,207,226,307,341,480,502,266,63,2813
UCL215004,..,3,6,0,0,3,0,0,0,19,..,4,6,9,13,28,33,28,14,132,0,5,7,5,5,6,8,0,0,27,68,45,63,73,89,102,105,57,24,625,..,0,26,65,70,93,104,45,13,414,..,3,36,20,35,28,13,4,0,136,..,0,9,8,26,9,4,0,0,54,162,..,..,..,..,..,..,..,..,162,..,48,..,..,..,..,..,..,..,48,..,21,10,4,7,0,0,0,0,46,..,3,5,0,0,0,0,4,0,12,..,0,8,4,5,0,0,0,0,13,..,3,20,9,7,9,6,0,0,53,..,13,21,15,30,54,65,38,14,246,6,4,9,5,5,5,9,4,6,55,166,97,140,127,175,201,200,102,30,1240
UCL215005,..,0,0,0,0,0,0,0,0,6,..,0,7,0,10,8,14,28,4,81,0,0,0,0,0,0,0,0,0,8,85,41,51,48,66,64,78,55,13,506,..,0,15,35,65,66,104,47,8,349,..,14,43,24,15,10,13,0,0,116,..,0,8,8,13,5,3,4,4,57,170,..,..,..,..,..,..,..,..,170,..,31,..,..,..,..,..,..,..,31,..,23,13,10,6,4,0,0,0,56,..,6,0,0,0,6,4,0,0,22,..,0,8,3,0,0,0,0,0,14,..,0,3,0,0,4,3,0,0,11,..,0,4,8,21,31,50,45,15,174,0,3,0,0,0,7,4,0,0,21,168,83,100,89,124,134,185,105,29,1007
UCL215006,..,0,3,0,3,8,8,3,0,20,..,0,13,11,15,34,50,36,27,180,0,9,3,0,6,9,0,3,3,26,248,95,165,175,148,191,144,86,41,1296,..,0,91,181,147,187,152,76,11,849,..,19,116,87,32,35,11,5,0,298,..,4,20,37,35,26,11,4,5,135,477,..,..,..,..,..,..,..,..,477,..,81,..,..,..,..,..,..,..,81,..,81,40,10,6,5,0,0,0,151,..,9,14,0,0,12,6,6,5,47,..,3,4,0,3,0,0,0,0,18,..,4,4,5,8,8,14,5,0,41,..,3,20,25,39,57,73,61,33,318,0,9,8,0,6,10,8,7,3,40,484,206,317,352,268,346,271,166,58,2463
UCL215007,..,0,0,0,0,0,6,0,0,14,..,0,0,3,13,27,28,34,28,142,0,0,3,0,0,6,6,0,0,21,221,86,75,158,174,175,161,112,44,1208,..,0,51,202,187,196,225,148,30,1034,..,7,33,56,42,40,24,8,4,210,..,0,6,9,39,21,7,7,0,79,457,..,..,..,..,..,..,..,..,457,..,94,..,..,..,..,..,..,..,94,..,62,31,10,6,3,0,0,0,114,..,10,0,5,3,5,8,9,3,32,..,0,7,0,0,0,0,0,0,7,..,0,3,0,3,3,3,3,0,21,..,8,7,9,23,45,54,49,36,220,3,6,8,9,3,11,7,4,0,50,459,179,139,301,302,319,326,225,73,2321
