UCL_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
UCL213017,1965,2056,754,57,4826,1379,152,6358,54,10,35,5,105,242,3,351,5,0,6,0,3,31,0,35,58,12,38,5,109,273,7,389,63,16,24,0,102,202,9,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5,66,13,24,0,106,203,9,318,4,0,0,0,4,4,0,12,69,0,0,0,70,99,3,173,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,8,82,0,0,0,81,108,3,189,3,0,0,0,4,0,0,8,2164,2082,820,62,5130,1965,171,7264
UCL213018,1137,692,291,14,2134,702,59,2891,100,19,41,0,155,268,13,440,11,7,0,0,18,16,0,32,110,25,43,0,172,280,13,469,4,0,0,0,3,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,9,0,13,9,0,0,0,10,13,0,29,8,0,0,0,9,18,0,33,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,22,4,0,0,25,34,0,62,0,0,0,0,0,0,0,0,1269,720,332,15,2338,1021,77,3437
UCL214001,775,567,342,32,1716,820,84,2625,34,7,24,8,73,210,6,291,0,0,0,0,3,3,0,8,40,8,24,6,82,208,8,293,0,0,0,0,4,0,0,4,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,11,0,0,0,0,0,3,0,5,3,0,0,0,3,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,7,0,0,6,5,0,17,0,0,0,0,4,3,5,7,820,584,366,43,1808,1049,95,2950
UCL214002,514,926,182,9,1625,238,16,1873,25,5,18,0,52,29,4,83,0,0,0,0,0,0,0,0,25,5,18,0,52,29,4,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531,936,197,9,1670,270,16,1961
UCL214003,1189,681,430,30,2337,1135,113,3580,97,16,41,6,153,408,20,582,0,0,0,0,6,0,0,3,94,16,41,6,154,409,20,583,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,7,3,4,0,0,5,22,0,34,4,3,4,0,7,0,0,7,1291,699,475,33,2503,1581,129,4212
UCL214004,623,408,240,17,1279,685,71,2037,20,12,10,4,47,128,4,175,0,0,0,0,0,0,0,0,20,12,10,4,47,128,4,175,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,4,0,0,0,5,0,0,3,8,0,0,0,8,0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13,0,7,16,0,5,0,0,5,0,0,5,650,425,254,18,1342,809,83,2235
UCL214005,133,104,29,0,273,80,6,353,9,0,5,0,15,26,0,42,0,0,0,0,0,0,0,0,9,0,5,0,15,26,0,42,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,108,38,5,291,107,8,405
UCL214006,896,467,244,13,1621,703,51,2377,59,10,14,0,79,171,4,249,29,10,12,0,45,28,5,77,84,19,23,0,127,193,7,331,13,6,0,0,21,63,0,77,6,0,0,0,6,18,0,24,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,0,24,82,0,111,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,7,9,0,0,0,8,4,0,9,1011,484,273,15,1782,991,63,2836
UCL214007,475,641,183,27,1325,342,37,1704,39,24,16,0,87,53,7,143,5,0,0,0,5,7,0,10,41,24,16,0,92,53,7,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,669,206,27,1413,399,46,1862
UCL214008,1085,863,396,38,2385,1227,82,3698,31,13,14,0,56,197,6,258,0,0,0,0,4,0,0,6,33,13,12,0,61,200,6,265,4,3,6,0,12,68,7,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,3,6,0,12,72,7,90,0,0,0,0,4,3,0,8,3,0,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,4,4,0,0,8,12,0,16,0,3,0,0,3,5,0,10,1131,882,417,43,2471,1513,94,4072
UCL214009,939,880,383,23,2227,714,59,3003,39,19,30,0,86,174,3,265,0,3,0,0,11,6,0,14,46,22,32,0,95,184,7,285,0,0,0,0,0,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,11,0,0,0,0,0,0,0,0,16,0,0,0,16,25,0,35,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,19,0,0,0,19,25,0,42,3,0,0,0,4,3,0,4,1001,909,414,22,2344,929,73,3348
UCL214010,915,509,149,17,1588,629,35,2256,36,3,10,0,48,114,0,169,23,5,3,0,36,29,4,64,60,13,10,0,84,144,0,227,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979,523,159,16,1678,771,43,2493
UCL214011,737,979,375,22,2120,610,52,2780,120,8,22,3,158,226,3,387,10,3,6,0,13,4,0,22,127,14,28,5,178,230,3,408,5,0,6,0,12,9,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,8,9,0,23,0,0,0,0,0,8,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,6,14,0,0,0,0,3,4,0,6,874,991,413,28,2312,864,60,3231
UCL214012,686,550,265,19,1516,616,34,2165,32,8,30,3,75,232,9,321,0,0,0,0,0,0,0,0,32,8,30,3,75,232,5,317,0,0,4,0,3,7,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,11,3,12,0,0,0,0,0,10,0,10,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0,0,0,0,0,3,0,3,724,560,298,19,1599,877,38,2519
UCL214013,511,507,198,14,1233,480,50,1761,38,12,24,0,76,162,11,239,6,0,0,0,12,6,0,15,47,12,27,0,85,166,11,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,4,0,14,8,4,34,9,5,4,0,14,8,4,34,0,0,0,0,0,0,0,0,564,528,230,18,1338,653,58,2052
UCL214014,776,422,268,11,1484,717,60,2254,50,11,23,4,87,177,8,268,8,0,0,3,19,26,4,44,70,10,20,4,106,196,10,311,5,0,0,0,6,29,0,33,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,0,0,0,10,30,0,43,3,0,0,0,8,24,0,24,14,0,3,0,24,28,0,48,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,6,22,4,3,0,28,51,0,85,4,5,0,0,8,13,0,24,875,446,291,11,1631,1010,75,2719
UCL214015,636,539,259,17,1451,694,48,2197,18,0,0,0,18,41,0,61,3,3,0,0,7,5,0,9,20,3,5,0,26,43,0,71,0,0,0,0,3,26,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,29,0,32,0,0,0,0,0,6,0,8,0,0,3,0,3,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,6,14,0,22,0,0,0,0,0,0,0,0,664,543,270,21,1494,775,48,2317
UCL214016,880,542,416,38,1875,1062,90,3025,56,7,22,3,88,233,8,330,6,0,0,0,7,12,0,15,57,7,23,3,92,237,8,343,8,0,0,0,7,48,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,7,49,0,61,5,0,0,0,5,27,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,0,9,15,0,23,14,6,6,0,17,35,0,52,3,0,0,0,3,9,0,13,958,558,443,40,2000,1390,103,3496
UCL214017,852,420,119,6,1397,551,19,1967,62,11,4,0,72,86,0,163,16,3,3,0,21,15,0,35,74,16,10,0,96,99,0,198,10,3,0,0,13,25,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,13,27,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,5,0,0,0,0,5,3,0,10,0,0,0,0,4,0,0,4,938,439,128,6,1512,684,19,2214
UCL214018,1574,602,267,44,2483,1083,78,3650,27,6,17,0,56,124,0,177,33,7,16,0,59,29,3,102,60,21,31,3,115,157,8,281,7,3,0,0,8,6,0,13,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,8,6,0,15,3,0,0,0,3,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,6,7,0,17,8,0,0,0,8,4,0,11,1655,626,302,45,2624,1257,90,3973
UCL214019,575,448,390,27,1442,679,89,2205,27,6,16,0,48,179,10,237,3,0,0,0,3,0,0,4,25,6,16,0,54,182,10,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,0,3,0,0,4,9,0,12,0,0,0,0,4,0,0,6,604,452,407,32,1502,868,95,2465
UCL214020,658,442,228,32,1360,701,78,2141,16,3,3,0,21,60,0,91,0,0,0,0,0,0,0,0,16,3,3,0,21,61,0,89,20,3,0,0,23,110,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,0,23,106,0,139,3,0,0,0,7,10,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,5,3,3,0,0,6,9,0,18,0,0,0,0,3,0,0,3,699,449,238,33,1421,883,86,2384
UCL214021,411,623,241,14,1288,353,18,1658,36,28,32,0,101,98,7,205,5,6,17,0,23,13,0,39,40,31,49,0,121,112,7,243,0,6,0,0,11,14,4,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,7,3,0,10,13,4,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453,655,293,17,1424,479,30,1936
UCL214022,961,656,463,26,2108,1107,108,3321,17,8,14,0,39,175,6,218,0,0,0,0,0,0,0,0,17,8,14,0,39,175,6,218,0,0,3,0,3,11,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,3,0,3,12,0,22,0,0,0,0,0,0,0,0,29,0,6,0,39,62,0,102,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,32,6,6,0,39,65,0,108,0,0,0,0,4,7,0,12,1018,662,489,23,2199,1363,113,3675
UCL215001,224,123,46,7,392,161,4,555,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,5,5,0,0,0,5,0,0,5,5,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,229,124,46,7,399,170,4,571
UCL215002,308,210,99,6,626,319,23,962,8,5,4,0,13,70,0,81,0,0,0,0,0,0,0,0,8,5,4,0,13,70,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,7,5,0,0,0,6,32,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,12,0,0,0,12,40,0,58,0,0,0,0,0,3,0,4,327,219,101,6,651,431,23,1106
UCL215003,455,276,63,4,798,316,35,1152,9,0,3,0,16,23,0,38,15,7,5,0,32,6,0,36,26,7,14,0,48,29,0,81,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,5,0,8,0,0,0,0,0,0,0,6,489,290,73,4,850,354,38,1244
UCL215004,150,82,47,8,291,179,15,486,6,5,5,0,19,30,6,51,6,3,5,0,12,5,0,26,14,11,7,0,28,40,5,74,9,0,4,0,11,16,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,11,19,3,30,3,0,0,0,3,0,0,9,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,0,0,0,5,8,0,11,0,0,0,0,0,3,0,8,178,100,58,8,340,251,24,609
UCL215005,138,86,50,5,276,163,7,439,0,0,0,0,0,13,0,11,0,0,0,0,3,0,0,3,5,0,0,0,7,13,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,5,0,0,3,143,81,52,5,284,180,6,467
UCL215006,288,266,133,4,692,265,23,974,9,7,0,0,19,40,0,60,0,0,0,0,0,0,0,3,12,7,0,0,21,39,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,3,7,5,0,11,0,0,0,0,0,0,0,0,295,269,137,8,715,316,23,1055
UCL215007,330,283,75,6,694,199,9,900,4,4,0,0,3,12,0,21,7,0,0,0,7,4,0,9,8,4,0,0,10,21,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,341,284,82,9,705,220,12,937
UCL215008,215,290,49,0,558,76,6,640,0,5,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,294,49,0,561,81,6,645
UCL215009,149,69,37,0,259,111,9,374,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,153,74,37,0,265,118,9,389
UCL215010,176,370,35,6,580,66,3,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,367,33,6,585,66,3,657
UCL215011,156,75,62,3,298,191,10,501,0,0,0,0,0,10,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,14,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,158,75,62,3,299,209,14,521
UCL215012,431,278,141,8,861,412,26,1292,10,3,3,0,12,42,5,63,0,0,0,0,0,0,0,0,10,3,3,0,12,42,5,63,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,9,0,3,0,0,3,9,0,12,3,5,0,0,7,3,4,15,441,289,147,8,889,472,35,1392
UCL215013,277,694,123,8,1099,132,15,1244,0,0,0,0,0,0,0,0,0,4,0,0,8,3,0,9,0,4,0,0,8,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,700,125,8,1110,131,15,1252
UCL215014,111,180,47,0,343,82,6,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,180,53,0,343,82,6,433
UCL215015,322,199,74,8,593,235,26,858,29,8,10,0,38,57,3,108,8,0,0,0,8,0,0,9,34,7,10,0,49,66,3,116,4,0,0,0,9,13,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,3,0,0,0,6,13,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,3,3,0,3,362,213,85,8,661,314,34,1007
UCL215016,391,427,227,21,1067,409,28,1510,4,3,7,0,12,52,0,71,0,0,0,0,0,5,0,0,9,3,7,0,15,60,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,398,437,230,24,1084,469,31,1589
UCL215017,261,339,76,7,687,162,11,859,7,0,0,0,10,9,0,17,0,0,0,0,0,0,0,0,6,0,0,0,8,9,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,271,342,78,7,697,174,11,883
