UCL_CODE_2021,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
UCL214004,5,39,7,35,11,0,0,12,0,108,6,51,0,29,4,0,0,6,0,96,22,24,7,10,56,8,0,11,0,135,9,14,0,55,12,4,0,11,0,118,3,5,0,0,0,3,0,0,0,14,4,0,14,16,8,14,0,12,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,3,0,0,11,0,7,0,12,0,30,55,130,32,173,110,37,9,65,9,609,7,4,5,4,3,0,0,0,0,22,3,0,4,0,0,4,0,7,0,19,34,15,87,0,3,4,24,39,8,211,8,0,34,0,0,0,18,10,0,77,7,10,14,0,11,0,10,22,0,74,5,56,6,45,11,0,3,11,0,137,9,52,0,33,4,0,0,7,0,104,35,36,8,14,63,13,4,18,0,199,12,13,5,67,14,3,3,19,0,138,3,3,0,0,0,7,0,0,0,19
UCL214005,0,16,0,3,0,0,0,0,0,26,0,5,0,4,0,0,0,0,0,16,4,3,0,0,14,3,0,4,0,30,0,4,0,10,0,5,0,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,0,0,4,3,11,42,8,25,24,12,4,14,4,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,31,0,0,0,6,8,0,55,3,0,9,0,0,0,0,5,0,21,0,3,7,0,0,0,0,3,0,19,0,21,0,3,0,0,0,0,0,26,5,6,0,4,0,0,0,0,0,17,9,4,0,4,14,3,3,5,0,48,0,4,0,15,0,5,0,5,0,28,0,0,0,0,0,0,0,0,0,4
UCL214006,14,75,7,24,13,10,0,0,3,152,12,61,5,26,14,3,0,3,0,119,32,26,9,16,61,27,0,12,6,185,18,38,8,56,15,7,0,16,0,165,4,14,0,9,0,6,0,0,0,32,15,0,16,11,5,17,0,11,0,75,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,21,3,4,0,4,3,0,0,3,3,34,117,239,52,161,122,83,5,60,12,857,4,11,4,6,0,0,0,4,0,29,5,11,3,0,4,0,0,3,0,27,31,17,70,8,13,19,13,18,8,191,26,10,91,6,6,8,6,13,3,163,15,10,19,4,3,0,6,4,0,59,16,98,7,38,18,10,0,4,4,200,18,89,4,28,14,3,0,3,0,156,64,54,13,31,65,37,9,23,7,304,28,48,8,80,21,12,3,27,5,226,4,26,6,7,0,6,0,5,0,63
UCL214007,3,79,8,40,14,3,0,0,0,155,3,96,0,33,8,7,0,0,0,157,27,44,8,9,81,26,9,10,7,224,15,36,4,72,37,10,3,10,0,177,5,17,0,6,15,3,0,6,0,50,5,3,9,14,18,6,3,9,0,72,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,10,0,0,0,5,5,4,0,3,7,19,74,308,55,185,204,73,22,47,19,980,4,8,7,3,0,7,4,3,0,49,11,59,16,8,14,3,4,8,0,119,33,43,115,10,16,10,48,28,6,302,10,10,94,5,7,3,13,18,3,164,0,0,9,4,5,3,3,3,0,19,5,104,17,51,16,3,0,8,0,199,6,120,5,41,9,7,4,4,0,193,63,81,20,20,120,33,20,17,13,391,25,41,13,96,47,13,10,19,0,262,11,27,7,9,19,3,3,6,0,91
UCL214008,12,231,10,106,19,5,3,4,3,394,23,119,0,44,16,9,0,0,0,220,31,33,5,29,106,27,0,13,0,255,11,34,3,109,37,11,0,9,3,222,4,21,3,0,4,6,0,0,0,41,14,4,32,28,18,13,0,24,4,143,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,13,0,0,0,3,8,7,0,4,4,25,114,459,74,339,240,86,9,68,10,1393,6,17,0,3,4,4,3,0,0,43,3,12,9,0,4,0,0,0,0,28,48,23,193,5,13,19,45,45,8,397,52,6,108,7,0,6,3,28,0,209,35,20,27,8,14,17,10,25,4,168,20,292,16,124,19,5,0,3,5,485,33,170,15,52,17,9,5,0,0,310,74,68,19,46,127,43,13,20,0,400,18,51,4,133,42,13,0,22,6,299,4,34,3,3,9,6,0,4,0,67
UCL214009,5,95,20,55,16,15,0,7,0,210,19,117,5,38,18,3,0,9,0,213,55,51,7,20,100,36,0,20,0,293,29,64,13,116,41,12,4,12,0,295,13,22,7,3,19,7,0,0,0,80,13,3,34,16,16,11,0,16,3,106,0,0,0,0,0,0,0,0,0,0,4,7,0,4,0,0,0,0,0,22,5,6,6,9,3,3,0,6,4,31,169,406,121,273,240,87,10,85,10,1397,21,45,16,9,14,0,4,9,0,122,8,12,3,4,10,0,0,0,0,36,52,36,175,14,17,9,39,38,3,384,41,11,159,3,4,4,16,22,4,267,30,25,56,8,3,11,14,16,3,168,10,120,25,67,19,15,5,12,0,264,29,146,9,50,20,3,0,10,3,261,83,71,19,31,114,47,9,25,4,399,46,88,23,136,44,15,4,18,3,377,21,38,12,7,25,12,3,7,5,131
UCL214010,26,143,5,33,18,4,0,0,4,235,17,126,0,21,17,9,0,0,0,189,28,36,0,16,56,17,0,3,0,149,11,37,9,50,26,6,0,10,0,142,9,12,0,4,5,0,0,0,0,28,7,0,20,13,5,0,0,11,0,63,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,7,7,6,0,6,8,0,0,0,0,29,117,385,41,143,152,42,0,25,9,918,6,19,4,4,3,0,0,0,0,44,0,3,0,6,4,0,0,0,0,15,46,33,85,3,9,7,19,17,4,224,28,6,75,0,8,3,5,12,4,144,11,16,12,0,3,3,0,9,0,56,24,185,11,41,19,5,0,0,3,285,32,191,4,25,20,7,0,0,0,283,73,75,13,24,71,35,0,8,4,285,17,51,3,65,33,7,0,10,4,186,7,24,7,3,8,0,0,4,0,57
UCL214011,7,118,18,66,33,8,0,7,3,276,11,126,3,68,18,6,0,0,0,224,41,47,8,13,115,23,0,9,0,251,18,48,6,110,48,17,4,14,3,262,7,5,0,3,6,6,3,5,0,41,11,0,31,19,14,16,3,17,0,107,0,0,0,0,0,0,0,0,0,0,0,3,0,8,3,0,0,0,0,25,0,6,0,3,7,0,0,0,10,25,107,388,77,297,258,87,18,64,21,1309,6,20,3,3,5,3,6,0,0,50,11,21,11,6,5,5,4,0,0,61,40,35,209,12,16,23,75,50,9,468,16,8,168,0,4,0,19,33,4,250,12,9,26,9,9,5,0,7,0,77,14,145,22,71,37,16,0,14,3,324,21,164,5,74,21,6,0,6,0,285,83,85,17,23,131,35,13,12,8,405,26,64,17,150,45,20,10,19,4,351,10,10,9,0,15,6,3,5,0,66
UCL214012,3,90,9,38,8,0,0,3,0,166,12,80,0,29,0,0,0,5,0,125,18,26,5,11,55,14,0,12,0,147,5,27,3,81,22,14,0,12,0,161,0,4,0,0,3,0,0,0,0,13,5,0,15,17,8,7,0,18,0,60,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,0,3,0,9,3,5,0,3,3,36,52,251,50,195,107,43,7,63,11,783,3,3,6,5,0,0,3,4,0,30,4,3,5,0,3,0,0,0,0,13,24,16,136,13,5,3,35,53,0,292,19,5,52,0,3,0,8,16,0,106,12,9,11,7,3,3,8,16,0,67,13,104,14,44,8,5,0,7,3,196,11,110,0,25,0,0,5,7,0,161,37,50,11,18,59,30,5,17,0,232,14,43,3,94,24,15,0,14,0,206,0,8,3,0,3,0,0,5,0,22
UCL214013,9,92,3,22,8,6,0,3,3,146,14,78,0,17,5,6,0,0,0,127,43,21,3,10,40,20,0,10,5,158,30,52,4,54,23,10,3,10,0,182,10,25,0,8,4,9,0,4,0,63,3,4,18,12,4,6,0,5,0,55,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,23,0,0,0,5,0,4,0,3,0,10,134,304,50,122,97,65,5,45,11,833,7,21,5,0,3,0,0,4,0,41,5,16,9,0,7,0,0,6,0,40,33,26,60,9,7,4,15,15,0,166,24,17,56,0,0,0,0,7,0,113,10,7,12,0,6,3,0,8,4,46,14,110,3,24,8,6,0,7,3,170,24,106,7,23,12,11,0,5,0,179,85,45,12,13,57,27,8,25,5,276,48,81,12,67,30,8,0,14,7,262,28,64,5,13,8,13,4,4,0,134
UCL214014,12,55,0,35,10,3,0,3,6,122,3,68,0,31,11,0,0,4,0,120,23,13,4,8,49,19,0,13,0,125,11,23,8,68,18,0,0,8,3,136,0,8,0,5,0,0,0,0,0,17,13,9,10,17,12,4,0,7,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,0,3,0,5,0,7,3,26,69,181,22,180,102,32,4,45,11,653,4,3,0,0,0,0,0,0,0,12,8,3,3,0,0,5,0,0,0,23,24,20,69,10,10,8,20,32,4,193,26,0,54,3,3,7,13,16,0,114,7,0,11,5,8,0,0,4,0,37,19,72,0,48,12,3,5,0,6,153,6,83,0,35,11,0,0,4,0,144,39,21,6,14,55,27,5,22,0,188,19,35,4,86,17,0,3,10,0,186,0,15,6,8,0,3,0,3,0,34
UCL214015,3,98,5,46,12,0,0,0,0,166,11,78,0,38,12,4,0,7,0,138,16,20,0,9,67,18,0,0,0,137,9,29,5,64,15,5,5,7,0,142,5,5,0,0,5,3,0,0,0,13,3,0,19,5,14,6,0,10,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,3,4,5,4,0,6,0,15,48,258,36,172,142,46,0,41,12,751,8,13,5,5,8,0,0,0,0,31,3,3,0,0,0,0,0,6,0,21,23,10,124,7,7,10,30,18,5,230,24,11,85,5,4,0,7,9,0,141,9,6,18,0,3,4,10,14,0,76,3,126,8,48,12,0,0,0,0,200,17,115,0,37,10,4,3,7,0,188,35,50,8,16,68,24,7,10,0,218,8,41,3,79,15,9,5,14,0,179,4,6,4,3,5,3,4,0,0,30
UCL214016,3,107,7,63,14,10,0,10,0,207,8,69,0,23,14,3,0,4,0,129,28,16,5,12,45,15,0,9,0,129,11,12,4,109,15,8,0,16,0,179,0,5,0,0,4,6,0,4,0,15,8,0,32,19,4,14,0,7,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0,3,0,4,0,0,4,5,3,27,69,218,58,245,103,54,8,62,8,830,7,9,4,0,0,0,0,0,0,16,0,9,6,0,8,3,0,5,0,27,26,5,122,11,20,9,38,41,0,269,14,6,46,7,3,3,9,18,6,106,13,9,7,3,4,6,4,7,0,47,9,126,9,65,14,8,0,9,0,238,12,95,0,28,14,11,4,7,0,167,45,24,15,17,58,25,10,20,0,207,13,24,4,136,13,8,3,20,0,238,0,9,0,3,6,4,0,7,0,25
UCL214017,27,107,3,28,17,3,0,5,0,197,21,87,5,26,14,0,0,0,0,161,32,31,5,11,42,14,0,0,0,142,20,58,0,32,23,3,0,4,0,142,5,24,4,6,9,0,0,5,0,53,5,0,3,0,4,3,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,17,3,0,0,0,4,0,0,0,5,21,135,330,34,118,133,38,0,24,18,824,9,27,9,5,9,0,0,6,0,66,0,4,0,0,4,0,0,0,0,16,16,40,40,3,8,4,6,9,4,129,35,19,68,4,0,7,0,8,5,143,13,6,18,0,7,0,0,0,3,56,35,145,5,38,17,3,0,3,0,253,31,120,8,30,19,5,0,0,0,218,79,101,12,19,46,29,4,7,5,303,35,87,8,38,25,6,0,9,0,211,17,34,4,6,9,4,0,9,0,89
UCL214018,22,103,12,49,24,7,0,6,0,230,21,93,0,39,7,3,0,3,0,172,50,34,8,31,101,19,0,4,3,248,16,61,6,82,40,10,0,6,3,224,10,26,4,11,7,11,0,0,0,69,4,4,23,15,9,9,0,10,0,81,0,0,0,5,0,0,0,0,0,5,0,3,0,5,0,0,0,0,0,10,3,0,3,8,9,0,0,4,0,38,148,350,70,253,214,65,6,42,22,1172,10,31,15,5,11,8,5,0,0,72,19,17,8,0,3,0,0,4,5,54,44,34,105,7,11,6,34,41,6,292,32,17,135,5,7,3,9,28,10,234,14,8,8,3,5,12,3,7,0,58,29,128,19,60,29,7,3,7,3,282,24,116,5,43,11,6,0,9,7,221,101,86,18,37,117,24,15,11,9,420,44,89,6,98,45,17,8,11,6,321,13,39,9,12,10,10,3,5,0,110
UCL214019,13,57,17,51,11,11,0,5,0,155,8,41,0,29,11,4,0,3,0,101,28,18,6,10,53,11,0,7,3,136,11,19,7,81,21,7,0,23,0,166,0,6,3,3,3,5,0,4,0,23,0,0,17,16,15,12,4,7,0,71,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4,0,13,0,0,0,0,0,0,0,3,3,20,77,151,55,194,116,56,12,59,6,725,8,8,0,5,0,5,0,4,0,19,0,9,0,0,0,0,0,6,0,18,27,3,118,8,8,8,27,42,0,237,10,3,48,0,0,4,4,10,4,82,6,0,13,3,4,6,5,8,4,48,11,83,13,51,10,11,0,5,0,188,21,61,3,35,11,4,0,4,0,139,56,38,10,16,64,26,7,7,6,223,21,34,10,96,26,12,4,27,0,222,3,6,9,3,3,0,0,4,0,31
UCL214020,12,89,3,40,10,3,0,7,0,161,7,46,0,11,7,5,0,0,0,77,22,14,0,17,56,11,0,12,0,130,5,23,0,106,16,11,0,13,0,176,0,4,0,0,0,6,0,0,0,19,0,4,14,16,8,8,0,5,5,62,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,9,0,5,0,3,0,5,0,4,0,13,50,191,26,196,109,41,3,62,7,679,3,9,0,6,0,0,0,0,0,21,0,5,9,0,0,3,0,0,0,20,14,18,86,10,3,5,29,45,4,216,12,0,39,0,0,4,13,15,0,90,13,3,15,4,0,0,6,12,0,52,9,103,7,55,9,3,0,9,0,194,12,60,6,11,11,5,4,3,0,105,42,32,10,26,64,20,3,21,0,214,13,27,5,135,16,13,3,22,3,241,0,3,5,0,0,6,0,8,0,22
UCL214021,9,90,14,42,13,5,3,4,0,173,14,72,0,42,12,5,0,3,0,152,25,17,0,19,75,18,0,3,4,155,11,30,5,86,20,3,0,4,0,159,6,9,3,0,10,0,0,0,0,28,3,0,17,15,24,18,0,7,0,82,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,12,3,0,0,0,4,5,0,4,3,14,74,218,54,220,165,66,5,23,3,829,3,6,4,5,5,0,0,0,0,28,3,7,4,4,0,0,0,0,0,17,30,12,167,3,8,13,34,18,7,303,22,0,147,0,3,10,7,24,0,214,10,5,11,6,4,7,7,7,0,51,3,103,13,51,13,7,3,7,0,204,18,90,0,48,11,8,0,3,0,185,46,38,11,22,72,24,11,3,3,236,18,35,11,99,21,3,3,8,0,207,9,14,7,0,9,4,0,3,0,43
UCL214022,7,107,7,56,9,7,0,3,0,206,11,59,0,30,3,3,0,5,0,112,19,24,4,17,74,17,4,4,4,179,14,24,0,114,20,24,0,15,0,221,3,10,3,8,5,4,0,0,0,29,12,0,28,27,9,18,0,22,0,120,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,10,0,0,0,3,3,0,0,9,5,20,80,249,63,269,129,98,7,56,9,962,0,15,4,0,4,0,0,0,0,31,12,8,7,0,0,3,0,3,0,33,26,19,117,9,3,7,29,26,3,245,24,7,107,0,5,7,14,29,7,199,6,8,15,5,4,6,11,12,0,64,11,143,15,68,9,7,3,4,0,260,16,86,8,39,4,7,6,3,0,156,43,49,14,26,82,31,7,24,4,272,16,36,11,147,22,32,0,22,0,275,0,14,3,8,8,6,4,4,0,50
UCL215001,6,35,0,7,5,3,0,0,0,51,7,23,0,7,7,3,0,0,0,48,17,8,0,6,12,7,0,0,0,45,9,25,0,8,10,8,0,0,0,54,0,4,0,3,4,0,0,0,0,19,0,0,4,0,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,42,115,5,31,40,24,0,4,0,259,9,3,0,0,0,0,0,5,0,13,7,9,0,0,0,0,0,0,0,12,6,8,4,3,3,0,0,6,0,39,17,12,30,0,0,0,0,0,0,66,4,11,8,0,0,0,0,4,0,25,5,52,0,6,3,3,0,0,0,73,7,30,0,7,5,3,0,3,0,63,34,24,0,13,19,9,0,0,0,104,14,39,0,7,10,6,0,5,0,79,0,12,0,7,4,0,0,3,0,26
UCL215002,4,31,0,25,5,3,0,0,0,74,8,24,0,9,5,0,0,5,0,49,12,0,0,9,25,9,0,0,0,59,3,6,0,33,16,0,0,0,0,67,0,4,0,0,0,0,0,0,0,9,5,0,9,4,3,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,41,79,23,82,67,20,3,12,3,321,0,4,0,5,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,6,12,4,41,0,0,4,15,12,0,86,17,0,40,3,0,3,0,7,0,69,11,13,11,4,0,3,0,0,0,44,4,42,0,30,5,3,0,3,0,89,11,35,0,13,5,4,0,0,0,78,20,10,3,8,31,11,0,6,0,86,10,19,0,37,16,0,5,3,0,85,0,8,0,4,4,0,0,0,0,16
UCL215003,8,74,3,17,20,7,0,3,0,128,7,48,0,9,8,0,0,8,0,85,25,18,0,9,17,15,0,4,3,95,7,50,3,21,13,4,0,4,6,106,3,20,6,0,3,4,3,0,0,43,5,0,3,10,0,4,0,4,0,28,0,0,0,0,0,0,0,0,0,0,4,4,0,3,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,6,77,248,17,86,68,38,3,20,10,566,15,21,3,7,3,0,0,0,5,53,5,4,0,0,4,0,0,0,0,16,23,17,33,8,3,3,3,7,0,92,21,20,39,4,0,5,5,0,0,94,12,20,16,3,0,8,0,0,0,58,9,102,10,24,16,7,0,3,0,172,15,79,5,17,8,0,0,4,0,134,74,55,9,16,27,11,0,4,5,200,21,69,7,32,20,4,0,3,7,157,13,34,11,0,9,4,3,0,3,68
UCL215004,3,12,0,3,4,3,0,7,0,30,3,18,0,7,3,0,0,5,0,30,12,3,3,3,10,3,0,3,0,46,6,5,0,10,5,0,0,4,0,38,0,0,0,0,4,0,0,0,0,12,8,0,8,0,3,9,0,6,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,43,42,21,30,39,22,0,20,7,216,0,3,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,6,6,4,15,3,0,4,8,10,0,49,14,0,25,0,0,0,3,0,0,45,7,0,4,3,0,0,0,0,0,21,3,13,0,7,4,3,0,7,0,32,5,27,0,7,3,3,0,4,0,54,23,8,3,7,11,9,0,7,0,72,6,6,0,15,5,4,0,6,0,45,3,0,0,4,5,0,0,0,0,22
UCL215005,0,18,3,12,0,0,0,0,0,35,0,7,0,3,0,0,0,0,0,17,4,3,0,3,4,4,0,0,0,14,0,3,0,15,5,3,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,33,5,33,15,8,0,6,6,116,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,5,0,14,0,0,0,5,3,0,36,4,0,3,0,0,0,0,0,0,13,3,0,3,0,0,0,8,3,0,17,3,18,0,14,0,0,0,0,0,33,6,13,0,3,0,0,0,0,0,22,4,4,0,6,3,4,0,0,0,21,3,3,0,17,7,3,0,0,3,38,0,0,0,0,0,0,0,0,0,4
UCL215006,9,34,3,13,4,4,0,0,5,70,4,40,0,26,5,0,0,0,0,79,23,14,0,4,40,7,0,0,3,95,5,12,3,45,8,0,0,8,0,80,0,10,3,0,0,5,0,0,0,21,4,0,0,9,3,4,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,49,128,16,100,77,27,0,15,8,410,3,5,0,0,5,0,0,0,0,14,0,8,0,3,0,0,0,0,0,14,18,14,58,5,3,6,13,12,0,141,10,4,38,0,0,3,0,13,0,66,0,7,9,4,0,8,4,5,0,40,10,40,5,16,6,0,0,0,5,84,8,46,0,32,10,0,0,0,0,99,34,23,0,3,42,14,4,4,3,133,16,18,9,56,12,0,0,4,0,116,0,18,3,3,3,8,0,0,0,34
UCL215007,6,46,4,18,4,3,0,0,0,85,10,55,0,12,9,0,0,3,0,88,19,11,3,3,23,11,0,0,0,69,3,20,3,17,6,3,0,0,0,56,8,18,0,9,0,0,0,0,0,40,0,0,4,0,12,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,10,0,4,0,0,3,0,0,0,0,5,62,176,30,60,67,20,0,10,3,423,6,13,0,0,0,4,0,4,0,31,0,3,0,0,3,0,0,0,0,9,22,14,42,0,4,8,8,7,4,110,20,6,38,0,0,0,0,6,0,80,10,3,11,0,4,0,0,5,0,42,9,59,8,25,4,3,0,0,0,105,20,75,3,15,9,5,0,9,4,136,41,27,6,5,24,11,0,6,0,128,12,31,3,17,10,3,0,0,0,87,16,27,6,7,3,0,3,7,0,62
