UCL_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
UCL215018,587,16,0,0,0,609,332,3,0,0,0,341,98,36,0,0,0,132,21,21,0,0,0,40,3,0,0,0,0,3,61,7,0,0,0,69,6,0,0,0,0,6,6,0,0,0,0,4,202,66,3,0,0,272,11,0,0,0,0,11,21,9,0,0,0,30,1158,91,0,0,0,1252
UCL215019,259,36,0,0,0,297,278,32,0,0,0,316,98,12,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,49,9,0,0,0,56,4,0,0,0,0,4,0,0,0,0,0,0,152,10,0,0,0,172,14,3,0,0,0,16,19,0,0,0,0,19,721,87,9,0,0,818
UCL215020,328,0,6,0,0,337,126,0,0,0,0,131,19,0,10,3,0,35,0,0,3,0,0,3,5,0,3,0,0,0,42,0,0,0,0,45,8,0,6,0,0,15,0,0,0,0,0,3,75,0,25,3,0,105,14,0,7,0,0,19,17,0,0,0,0,17,566,0,36,7,0,612
UCL215021,198,6,3,10,0,223,195,4,3,5,0,204,28,0,0,0,0,31,0,0,0,0,0,3,0,0,0,0,0,0,34,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,63,0,6,0,0,66,0,0,0,4,0,6,8,0,0,3,0,13,470,12,11,15,0,513
UCL215022,673,7,4,0,0,682,544,0,0,0,0,547,304,5,11,0,0,312,102,0,20,0,0,121,11,0,0,0,0,11,99,4,7,0,0,108,4,4,0,0,0,8,0,0,0,0,0,0,517,13,42,0,0,562,10,0,0,0,0,10,29,0,3,0,0,31,1767,17,48,0,0,1828
UCL215023,289,9,0,3,0,302,156,9,0,0,0,164,37,19,0,0,0,48,9,15,0,0,0,20,0,0,0,0,0,0,40,7,0,0,0,51,3,0,0,0,0,3,0,0,0,0,0,0,91,36,0,0,0,126,8,0,0,0,0,9,12,0,0,0,0,12,560,53,0,3,0,623
UCL215024,412,18,0,0,0,432,193,0,0,0,4,198,63,11,0,0,0,70,12,17,0,0,0,26,0,0,0,0,0,0,39,0,0,0,0,45,7,4,0,0,0,12,0,0,0,0,0,0,126,29,0,0,0,157,10,0,0,0,0,17,11,0,0,0,0,22,767,46,4,3,0,823
UCL215025,185,0,0,0,0,191,150,0,0,0,0,147,56,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,82,7,0,0,0,0,7,9,0,0,0,0,9,435,0,3,0,0,440
UCL215026,210,0,0,0,0,210,158,0,3,0,0,163,67,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,3,0,0,0,0,3,14,0,0,0,0,14,480,0,3,0,0,484
UCL215027,225,0,0,0,0,221,129,0,0,0,0,129,41,3,0,0,0,47,9,0,0,0,0,9,0,3,0,0,0,3,44,0,0,0,0,53,10,0,0,0,0,10,0,0,0,0,0,0,102,7,4,0,0,115,16,0,0,0,0,16,10,0,0,0,0,10,478,9,8,0,0,490
UCL215028,458,0,21,12,0,489,369,4,8,5,0,380,94,0,20,4,0,118,15,0,31,0,0,48,0,0,0,0,0,0,61,0,0,0,0,67,4,0,0,4,0,6,0,0,0,0,0,0,173,4,53,9,0,234,10,4,16,0,0,24,15,0,9,0,0,17,1026,11,89,26,0,1152
UCL215029,721,32,0,9,0,763,445,15,0,0,4,466,182,33,0,0,0,211,8,24,0,0,0,34,3,11,0,0,0,18,113,10,0,0,3,133,7,0,0,0,0,9,0,0,0,0,0,3,317,80,0,0,3,402,31,6,0,0,0,36,26,5,0,0,0,28,1544,134,3,10,3,1693
UCL215030,290,0,5,0,4,298,172,0,0,0,0,172,25,0,6,0,0,35,8,0,0,0,0,10,0,0,8,0,0,8,38,0,0,0,0,47,12,0,0,0,0,9,0,0,5,0,0,5,85,0,15,0,0,101,13,0,0,0,0,13,11,0,0,0,0,9,570,0,22,0,4,604
UCL215031,272,0,4,3,0,278,140,3,0,0,0,145,23,0,3,0,0,25,10,0,14,0,0,30,0,0,4,0,0,4,43,0,0,0,0,43,9,0,0,0,0,11,0,0,0,0,0,0,84,0,17,0,0,111,13,0,3,0,0,11,22,0,0,0,0,22,537,8,24,7,0,571
UCL215032,599,20,0,0,0,619,340,10,0,0,0,350,138,30,8,0,0,181,31,10,0,0,0,38,20,0,0,0,0,20,56,7,0,0,0,60,13,0,0,0,0,13,4,0,0,0,0,0,268,47,9,0,0,323,17,3,0,0,0,20,33,0,0,0,0,33,1256,84,12,0,0,1353
UCL215033,163,0,0,0,0,163,641,0,0,0,0,641,65,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,886,0,0,0,0,888
UCL215034,286,6,10,3,0,311,84,0,3,0,0,92,62,14,15,0,0,94,7,0,7,0,0,20,0,0,11,0,0,15,18,0,0,0,0,24,5,0,0,9,0,12,0,0,0,0,0,0,98,14,34,10,0,157,9,0,8,0,0,21,10,0,3,0,0,18,494,30,61,10,0,597
UCL215035,167,0,24,0,0,193,268,0,6,0,0,277,44,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,16,0,7,0,0,20,0,0,0,0,0,0,4,0,0,0,0,4,61,0,4,0,0,69,10,0,0,0,0,11,13,0,0,0,0,16,517,6,36,0,0,557
UCL215036,123,0,10,0,0,125,203,0,0,0,0,203,31,0,4,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,50,0,4,0,0,56,4,0,0,0,0,3,7,0,3,0,0,11,382,0,15,0,0,397
UCL215037,211,0,0,41,0,255,229,0,3,0,0,228,71,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,30,0,0,0,3,0,3,0,0,0,0,0,0,100,0,0,3,0,109,7,0,0,0,0,11,20,0,0,0,0,23,570,0,3,49,0,628
UCL215038,396,5,0,20,0,428,204,4,0,4,0,207,72,9,0,0,0,78,9,0,0,0,0,9,11,0,0,0,0,11,40,9,0,0,0,52,3,0,0,4,0,9,3,0,0,0,0,8,144,16,0,4,3,164,16,0,0,0,0,14,22,0,0,0,0,24,774,27,6,25,0,836
UCL215039,249,4,5,0,0,259,193,0,0,0,0,193,53,0,17,0,0,78,8,0,6,0,0,11,0,0,0,0,0,0,39,0,3,0,0,41,5,0,0,0,0,3,0,0,0,0,0,0,101,0,29,0,0,137,3,0,3,0,0,6,16,0,3,0,0,16,563,3,41,4,0,614
UCL215040,238,0,0,6,0,240,161,0,0,0,0,161,38,9,3,0,0,51,19,3,0,0,0,17,4,5,0,0,0,11,33,0,0,0,0,34,4,0,0,4,0,4,0,0,0,0,0,3,99,17,3,4,0,126,4,0,0,0,0,4,15,4,0,0,0,18,518,25,3,9,0,553
UCL215041,668,40,0,0,0,717,388,4,0,0,0,394,147,53,0,0,0,208,46,13,0,0,0,50,0,0,0,0,0,0,68,19,0,0,0,85,11,0,0,0,0,17,9,0,0,0,0,9,278,83,0,4,0,364,28,0,0,0,0,24,34,0,0,13,0,56,1394,133,0,23,5,1557
UCL215042,158,0,0,0,0,158,262,0,0,0,0,262,6,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,0,26,0,0,0,0,0,0,11,0,0,0,0,8,444,5,0,0,0,450
UCL215043,245,0,30,0,0,280,609,5,16,0,0,626,110,3,40,0,0,157,0,0,23,0,0,25,0,0,0,0,0,0,37,0,5,0,0,44,0,0,0,0,0,0,0,0,4,0,0,0,151,3,77,0,0,227,10,0,0,0,0,10,15,0,0,0,0,19,1025,10,125,4,0,1157
UCL215044,247,7,0,0,0,254,238,5,0,0,0,242,59,16,0,0,0,75,8,8,0,0,0,12,0,0,0,0,0,0,26,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,102,22,0,0,0,127,10,0,0,0,0,10,13,0,0,0,0,15,609,32,0,0,3,652
UCL215045,595,43,0,8,0,640,523,13,0,0,0,537,161,36,0,0,0,192,23,11,0,0,0,37,4,12,0,0,0,11,65,11,0,0,0,78,11,7,0,5,0,18,0,4,0,0,0,6,264,80,0,5,0,344,5,9,0,0,0,14,29,5,0,0,0,31,1411,150,0,13,0,1575
UCL215046,230,4,0,0,0,235,311,0,0,0,3,316,43,3,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,22,4,0,0,0,0,7,0,0,0,0,0,0,76,3,0,0,0,83,0,0,0,0,0,3,15,0,0,0,0,15,639,8,0,0,8,649
UCL215047,173,0,5,0,0,181,442,4,3,0,0,449,51,0,11,0,0,67,0,3,3,0,0,8,0,0,0,0,0,0,25,0,3,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,76,3,22,0,0,103,11,0,0,0,0,11,13,0,0,0,0,15,712,10,31,0,0,757
UCL215048,142,14,7,4,0,166,328,20,9,0,3,354,89,12,7,0,0,107,0,0,0,0,0,0,6,0,0,0,0,6,30,3,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,125,18,12,0,0,148,8,0,0,0,0,6,12,0,0,0,0,16,607,51,30,4,3,698
UCL215049,222,13,10,0,0,249,80,5,0,0,0,80,34,8,0,0,0,48,0,0,0,0,0,0,0,0,10,0,0,10,31,5,0,3,5,49,4,0,0,0,0,4,0,0,0,0,0,0,75,15,9,4,5,110,18,0,3,0,0,22,5,0,0,0,0,5,399,35,27,7,5,476
UCL215050,426,4,0,9,0,440,457,6,0,0,0,459,35,0,0,0,0,31,7,0,0,0,0,9,0,0,0,0,0,0,32,0,0,0,0,33,0,0,0,3,0,7,0,0,0,0,0,0,80,0,0,7,0,83,16,0,0,0,0,16,9,0,0,0,0,7,986,5,0,12,0,1008
UCL215051,698,0,22,6,0,728,617,0,6,0,0,623,224,0,47,7,0,280,30,0,37,0,0,65,0,0,3,0,0,3,71,0,3,0,0,76,3,0,0,0,0,8,0,0,0,0,0,3,335,0,95,6,3,438,23,0,10,0,0,30,28,0,3,0,0,31,1702,0,134,11,0,1848
UCL215052,349,0,0,0,0,353,219,5,0,0,0,227,33,0,0,0,0,32,0,6,0,0,0,7,6,0,0,0,0,6,27,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,70,4,0,0,0,76,19,0,0,0,0,19,4,4,0,0,0,5,662,17,0,0,0,677
UCL215053,615,27,0,13,0,660,458,12,0,5,0,486,204,43,0,0,0,253,40,5,0,0,0,51,0,0,0,0,0,0,76,9,0,0,0,86,10,0,0,4,0,17,0,0,0,0,0,0,336,63,3,4,0,415,17,0,0,0,0,23,21,9,0,0,0,26,1451,120,6,24,0,1603
UCL215054,233,8,3,10,0,251,287,8,0,0,0,295,49,24,4,0,0,77,15,5,0,0,0,23,0,3,11,0,0,11,74,3,0,0,0,73,3,0,0,8,0,16,0,0,0,0,0,0,146,34,15,7,0,208,8,7,0,0,0,11,24,5,5,0,0,31,704,62,26,19,3,805
UCL215055,365,13,0,4,0,381,177,0,0,0,0,181,72,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,28,4,0,0,0,0,4,0,0,0,0,0,0,104,0,0,0,0,111,12,0,0,0,0,12,8,0,0,0,0,8,664,13,0,4,4,686
UCL215056,206,0,0,0,0,206,302,0,0,0,0,302,63,0,0,0,0,63,8,0,0,0,0,8,0,0,0,0,0,0,29,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,97,6,0,0,0,0,6,16,0,0,0,0,16,630,0,0,0,0,630
UCL215057,296,8,0,0,0,304,262,3,0,0,0,261,43,9,0,0,0,49,0,11,0,0,0,11,0,0,0,0,0,0,21,4,0,0,0,28,5,0,0,0,0,5,0,0,0,0,0,0,63,24,0,0,0,88,4,0,0,0,0,7,15,0,0,0,0,12,640,42,0,0,0,675
UCL215058,232,0,0,0,0,232,152,0,0,0,0,152,43,0,0,0,0,40,0,0,0,0,0,0,0,3,0,0,0,3,37,0,0,0,0,37,3,0,0,0,0,8,0,0,0,0,0,0,86,8,0,0,0,87,9,0,0,0,0,9,16,0,0,0,0,16,484,14,0,0,0,495
UCL215059,441,7,3,4,0,449,291,4,0,5,0,299,86,4,4,0,0,99,6,0,0,0,0,6,0,0,0,0,0,0,60,0,3,0,0,65,0,0,0,0,0,8,0,0,0,0,0,0,160,7,4,3,0,171,18,0,0,0,0,19,6,0,0,0,0,6,911,9,3,9,3,944
UCL215060,495,33,0,4,0,530,322,4,0,0,0,328,122,40,0,0,0,165,23,7,0,0,0,27,10,4,0,0,0,13,48,11,0,0,0,64,6,0,0,0,0,7,4,0,0,0,0,0,212,59,6,0,3,281,20,5,0,0,0,25,26,4,0,0,0,29,1077,102,6,10,0,1191
UCL215061,356,20,0,29,0,408,214,3,0,0,0,225,117,26,0,0,0,146,3,12,0,0,0,11,4,0,0,0,0,3,25,5,0,0,0,27,10,0,0,0,0,10,0,4,0,0,0,0,156,43,0,7,0,211,0,0,0,0,0,3,16,3,0,0,0,17,759,69,0,36,4,869
UCL215062,288,10,0,12,0,311,176,0,0,4,0,188,37,17,0,0,0,51,14,10,0,0,0,20,4,0,0,0,0,4,37,7,0,0,0,45,3,0,0,9,0,9,0,5,0,0,0,3,92,28,0,9,0,126,11,0,0,0,0,17,13,0,0,0,0,13,589,37,0,21,0,652
UCL215063,178,4,0,0,0,179,160,0,0,0,0,158,16,4,0,0,0,20,0,0,7,0,0,7,0,0,0,0,0,0,21,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,38,4,5,0,0,49,0,0,0,0,0,5,4,0,4,0,0,8,376,11,12,0,0,399
UCL215064,323,15,0,0,0,341,216,0,0,0,0,217,103,24,5,0,0,135,4,4,0,0,0,7,0,0,0,0,0,7,40,0,0,0,0,45,12,0,0,0,0,16,4,0,0,0,0,4,164,35,8,0,0,207,12,0,0,0,0,12,9,3,0,0,0,16,722,58,8,0,0,788
UCL215065,650,45,0,3,0,702,418,24,0,3,0,441,166,79,11,0,0,256,15,12,0,0,0,22,0,0,0,0,0,0,63,13,0,0,0,85,5,0,0,5,0,14,0,3,0,0,0,3,258,108,11,10,0,381,18,0,0,0,0,18,30,7,0,0,0,43,1377,185,6,15,5,1589
UCL215066,458,3,0,3,0,461,178,6,0,0,0,185,61,6,6,0,0,71,33,5,5,0,0,46,0,6,5,0,0,9,52,6,0,0,0,55,5,0,0,0,0,3,3,0,0,0,0,7,154,25,15,0,0,192,11,0,3,0,0,11,24,3,0,0,0,26,818,37,22,3,0,881
UCL215067,208,0,0,3,0,214,111,0,0,0,0,111,38,0,0,0,0,41,0,10,0,0,0,6,0,0,0,0,0,0,23,0,0,0,0,32,15,0,0,0,0,15,0,0,0,0,0,0,76,17,0,0,0,91,8,0,0,0,0,4,8,0,0,0,0,8,411,16,0,4,0,431
UCL215068,834,90,11,27,0,956,288,22,0,0,0,316,166,47,3,0,0,214,0,5,0,0,0,8,0,0,0,0,0,4,62,17,0,0,0,75,3,3,0,0,0,12,0,0,0,0,0,3,239,67,7,3,0,312,13,0,0,0,0,15,28,3,0,0,0,30,1399,185,20,31,0,1632
UCL215069,631,45,3,0,0,676,335,14,0,0,0,342,120,30,3,0,0,148,15,16,0,0,0,30,0,0,0,0,0,0,58,21,0,0,0,78,3,0,0,7,0,8,0,0,0,0,0,0,197,67,0,5,0,276,20,0,0,0,0,21,25,3,0,0,0,26,1201,125,4,8,4,1344
UCL215070,379,27,0,7,0,416,343,13,0,0,0,353,147,38,0,0,0,189,23,9,0,0,0,30,0,11,0,0,0,17,94,14,0,0,0,113,5,0,0,0,0,8,0,0,0,0,0,4,277,74,0,3,0,359,11,0,0,0,0,15,18,5,0,0,0,23,1034,115,0,11,0,1162
UCL215071,428,17,4,0,0,446,604,17,0,0,0,624,67,40,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,37,10,0,0,0,44,0,0,0,0,0,4,0,0,0,0,0,0,107,45,0,0,0,160,8,0,0,0,0,8,6,0,0,0,0,6,1155,81,5,0,0,1248
UCL215072,153,0,7,5,0,174,135,0,0,0,0,133,36,3,13,0,0,57,71,4,15,0,0,88,28,0,0,0,0,36,86,0,3,3,0,101,38,10,3,20,0,67,6,0,0,0,0,6,268,17,33,21,3,353,11,0,0,0,0,14,20,0,0,0,0,27,591,20,45,35,4,699
UCL215073,571,5,0,12,0,595,306,3,0,0,0,312,71,31,0,0,0,103,31,9,0,0,0,40,0,9,0,0,0,9,64,6,0,0,0,69,3,0,0,9,0,14,0,0,0,0,0,0,167,56,0,12,0,231,13,0,0,0,0,14,27,5,0,0,0,27,1096,68,0,28,4,1185
UCL215074,504,8,4,0,5,513,962,8,4,0,0,969,116,9,6,0,0,130,5,0,0,0,0,5,3,10,0,0,0,14,36,5,0,0,0,40,3,0,0,0,0,5,0,0,0,0,0,0,165,27,6,0,0,194,10,3,0,0,0,15,25,0,0,0,0,27,1670,43,13,0,5,1729
UCL215075,185,4,0,0,0,190,197,4,0,0,0,196,48,5,0,0,0,55,4,0,0,0,0,4,0,0,0,0,0,0,29,0,0,0,0,29,3,0,0,0,0,3,0,0,0,0,0,0,82,5,0,0,0,91,6,0,0,0,0,6,17,0,0,0,0,19,486,13,0,7,0,502
UCL215076,371,20,0,10,0,403,319,8,0,3,0,330,78,32,0,3,0,112,29,5,0,0,0,36,9,0,0,0,0,9,28,0,0,0,0,33,10,0,0,0,0,10,0,0,0,0,0,0,148,35,0,3,0,186,13,0,0,0,0,13,16,0,0,0,0,23,876,63,0,13,0,951
UCL215077,278,18,13,0,0,317,168,8,4,0,0,178,53,11,45,0,3,111,0,0,0,0,0,0,0,0,0,0,0,0,30,0,6,0,0,38,4,0,3,0,0,6,0,0,0,0,0,0,80,12,57,0,3,153,8,0,0,0,0,5,8,5,0,0,0,9,547,41,75,0,5,670
UCL215078,165,0,0,0,0,165,396,0,0,0,0,396,32,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,65,9,0,0,0,0,9,12,0,0,0,0,12,647,0,0,0,0,647
UCL215079,456,8,0,0,0,467,258,3,0,0,0,262,63,6,0,3,0,72,16,18,0,0,0,26,8,9,0,0,0,18,54,9,0,0,0,68,14,0,0,0,0,12,0,4,0,0,0,3,154,37,0,7,0,204,14,0,0,0,0,14,22,0,0,0,0,25,914,47,3,6,0,969
UCL215080,316,0,11,9,0,331,377,0,0,0,0,382,75,0,6,0,0,81,0,0,10,0,0,10,0,0,0,0,0,3,26,0,0,0,0,30,0,0,0,0,0,7,0,0,0,0,0,0,112,0,16,4,0,133,11,0,0,0,0,11,10,0,0,0,0,18,837,0,29,10,0,871
UCL215081,650,18,0,3,0,674,565,9,0,0,0,572,158,56,3,3,0,222,23,10,0,0,0,32,0,0,0,0,0,0,69,5,0,7,0,83,4,0,0,5,0,15,3,0,0,0,0,3,255,81,3,17,0,356,27,0,0,3,0,33,31,3,0,0,0,42,1532,113,6,20,3,1673
UCL215082,212,0,0,0,0,212,437,0,0,0,0,433,22,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,33,0,0,0,0,33,4,0,0,0,0,4,5,0,0,0,0,5,692,0,0,0,0,693
UCL215083,357,16,0,0,0,380,238,5,0,4,0,249,66,15,0,0,0,77,13,12,0,0,0,23,0,0,0,0,0,4,46,8,4,0,0,58,6,0,0,0,0,11,0,0,0,0,0,0,136,36,4,3,0,174,20,0,0,0,0,20,15,3,0,0,0,22,763,64,3,7,0,843
UCL215084,172,7,0,9,0,185,176,0,0,0,0,178,34,18,0,0,0,52,0,0,0,0,0,6,3,3,0,0,0,10,33,10,0,0,0,40,3,5,0,15,0,21,0,3,0,0,0,7,82,36,0,18,0,139,5,3,0,0,0,10,8,3,0,0,0,13,442,54,0,26,0,522
UCL215085,104,0,0,0,0,103,214,0,0,0,0,214,28,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,10,0,0,0,0,10,0,0,0,0,0,0,53,0,0,0,0,53,3,0,0,0,0,3,10,0,0,0,0,10,383,0,0,0,0,381
UCL215086,533,26,0,0,0,559,542,7,0,0,0,548,189,39,4,0,0,229,10,9,0,0,0,15,0,8,0,0,0,11,50,15,0,0,0,68,3,0,0,0,0,3,0,0,0,0,0,3,261,68,3,0,0,328,16,0,0,0,0,19,23,3,0,0,0,27,1368,102,5,0,0,1474
UCL215087,194,0,0,0,0,194,293,0,0,0,0,297,23,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,37,5,0,0,0,0,5,11,0,0,5,0,20,541,0,0,5,7,549
UCL215088,283,4,0,16,0,304,303,0,0,0,0,305,76,4,4,0,0,85,0,0,0,0,0,0,0,0,5,0,0,5,39,0,0,0,0,39,0,0,0,3,0,5,0,0,0,0,0,0,110,4,18,3,0,130,6,0,0,0,0,13,10,0,0,0,0,10,720,3,19,22,0,767
UCL215089,474,5,0,9,0,486,242,0,0,0,0,240,80,11,3,0,0,97,11,7,0,0,0,23,0,0,0,0,0,0,57,8,0,0,0,62,16,0,0,0,0,13,0,0,0,0,0,0,162,34,6,5,0,199,19,0,0,0,0,18,24,4,0,5,0,27,909,38,8,13,0,971
UCL215090,254,10,0,3,0,262,347,7,0,0,0,350,69,9,0,0,0,80,17,9,0,0,0,23,0,0,0,0,0,0,42,5,0,0,0,49,8,0,0,3,0,10,0,0,0,0,0,0,139,25,0,3,0,167,7,0,0,0,0,7,13,6,0,0,0,13,755,43,0,7,0,806
UCL215091,234,0,0,0,0,234,231,0,0,0,0,227,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,5,0,0,0,0,5,0,0,0,0,0,0,477,0,0,0,0,478
UCL215092,611,108,0,0,0,722,650,21,0,0,4,672,155,53,0,0,0,205,36,8,0,0,0,41,13,7,0,0,0,23,57,11,0,0,0,69,0,0,0,0,0,4,0,0,0,0,0,0,260,80,0,0,0,340,16,3,0,0,0,26,14,6,0,0,0,17,1549,219,6,0,0,1777
UCL215093,465,0,0,0,0,465,863,0,0,0,0,865,99,0,0,0,0,97,10,0,0,0,0,10,0,0,0,0,0,0,54,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,164,14,0,0,0,0,15,24,0,0,0,0,24,1525,4,6,0,3,1536
UCL215094,120,0,0,0,0,120,157,0,0,0,0,157,29,0,0,0,0,29,24,6,0,0,0,31,9,0,0,0,0,13,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,77,4,0,0,0,78,0,0,0,0,0,0,3,0,0,0,0,8,364,4,0,0,0,368
UCL215095,178,0,0,0,0,178,190,0,0,0,0,190,31,0,0,0,0,31,4,0,0,0,0,4,3,0,0,0,0,3,23,0,0,0,0,23,5,0,0,0,0,5,0,0,0,0,0,0,65,0,0,0,0,65,8,0,0,0,0,8,15,0,0,0,0,15,451,0,0,0,0,451
UCL215096,291,28,0,0,0,319,399,22,0,0,0,421,54,18,0,0,0,73,3,0,0,0,0,3,0,0,0,0,0,0,35,7,0,0,0,41,3,0,0,0,0,3,0,0,0,0,0,0,90,28,0,0,0,118,4,0,0,0,0,4,6,0,0,0,0,15,793,81,0,0,0,874
UCL215097,360,40,20,0,0,418,497,22,11,0,0,534,93,22,6,0,0,117,5,8,0,0,0,9,0,4,0,0,0,4,32,3,0,0,0,38,4,0,0,0,0,4,0,0,0,0,0,3,131,36,6,0,0,175,9,9,0,0,0,23,16,3,0,0,0,17,1010,120,37,0,0,1173
UCL215098,219,3,0,0,0,227,227,0,0,0,0,226,53,0,0,0,0,55,10,0,0,0,0,10,0,0,0,0,0,0,30,7,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,87,3,0,0,0,93,7,0,0,0,0,7,13,0,0,0,0,16,553,11,0,0,0,568
UCL215099,320,38,9,14,0,384,149,8,0,0,0,156,66,16,12,0,0,87,29,8,8,0,0,43,5,3,5,0,0,22,21,0,0,0,0,23,7,0,0,3,0,11,0,0,0,0,0,0,130,26,31,5,0,186,12,3,0,0,0,11,19,0,0,4,0,23,630,72,42,24,0,768
UCL215100,270,3,0,11,0,289,140,0,0,0,0,143,60,0,0,0,3,62,8,0,0,0,0,8,0,0,0,0,0,0,31,0,0,0,0,31,4,0,0,0,0,8,6,0,0,0,0,6,110,0,0,0,3,114,7,0,0,0,0,6,12,0,0,0,0,14,542,7,5,10,3,565
UCL221001,72,0,0,8,0,84,117,0,0,6,0,127,19,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,4,0,35,0,0,0,0,0,0,6,0,0,0,0,6,227,0,0,21,0,253
