UCL_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
UCL214005,0,4,39,172,123,7,0,6,353,0,3,23,10,0,0,0,7,42,0,0,0,0,0,0,0,0,0,0,3,23,10,0,0,0,7,42,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,71,179,123,7,0,7,405
UCL214006,4,28,258,1101,805,111,20,53,2377,0,25,154,60,3,0,0,8,249,0,0,14,51,12,5,0,0,77,0,22,168,114,14,4,0,8,331,0,37,21,14,0,0,0,5,77,5,8,9,0,0,0,0,0,24,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,49,36,17,5,4,0,5,111,3,0,0,3,0,0,0,0,7,0,0,6,3,0,0,3,0,9,7,105,464,1241,826,117,24,67,2836
UCL214007,8,5,53,780,791,43,9,21,1704,0,0,13,110,21,0,0,0,143,0,0,0,6,0,0,0,0,10,0,0,9,113,21,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,72,895,810,49,9,25,1862
UCL214008,0,41,444,2173,832,126,19,67,3698,0,58,168,19,0,0,0,6,258,0,0,0,3,0,0,0,0,6,0,58,172,21,0,0,0,6,265,0,45,42,4,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,46,40,4,0,0,0,0,90,3,6,4,6,0,0,0,0,16,0,5,0,4,0,0,0,0,10,7,146,663,2204,835,127,23,73,4072
UCL214009,7,41,389,1658,702,138,34,28,3003,11,59,113,71,0,0,0,7,265,0,0,3,11,0,0,0,0,14,11,59,117,89,0,0,0,7,285,0,0,8,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,11,0,5,24,4,0,0,0,0,42,0,0,0,3,0,0,0,0,4,18,115,540,1755,702,138,36,31,3348
UCL214010,3,17,264,1131,732,72,19,27,2256,0,30,101,30,0,0,0,10,169,0,3,15,38,5,0,0,3,64,0,29,116,67,5,0,0,13,227,0,0,3,0,4,0,0,0,6,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,50,382,1194,741,72,19,36,2493
UCL214011,0,34,154,1168,1222,144,27,34,2780,0,16,293,70,0,0,3,11,387,0,0,3,19,0,0,0,0,22,0,16,290,88,0,0,3,11,408,3,0,8,9,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,9,0,0,0,0,23,0,9,3,0,0,0,0,0,14,0,0,0,5,0,0,0,0,6,3,55,462,1269,1221,143,34,45,3231
UCL214012,0,20,246,1271,518,61,13,39,2165,0,43,232,33,0,0,0,13,321,0,0,0,0,0,0,0,0,0,0,43,232,29,0,0,0,13,317,0,5,0,7,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,12,4,11,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,3,7,78,483,1309,522,64,13,52,2519
UCL214013,0,17,230,944,452,83,19,21,1761,0,39,158,34,5,0,0,7,239,0,0,10,5,0,0,0,0,15,0,39,170,33,5,0,0,7,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,12,3,0,0,0,34,0,0,0,0,0,0,0,0,0,0,66,407,989,459,82,18,21,2052
UCL214014,6,37,306,1241,507,93,16,49,2254,0,31,189,39,4,0,0,3,268,0,0,12,28,6,0,0,0,44,0,30,201,66,10,0,0,4,311,0,15,21,0,0,0,0,0,33,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,27,0,0,0,0,0,43,3,28,28,0,3,0,0,18,85,0,4,6,4,0,0,0,7,24,17,107,568,1320,519,93,16,81,2719
UCL214015,0,34,335,1142,583,61,9,32,2197,0,9,36,14,0,0,0,0,61,0,0,3,6,0,0,0,0,9,0,11,38,16,0,0,0,0,71,0,21,11,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,21,11,0,0,0,0,0,32,5,9,7,4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,5,69,388,1163,583,61,9,29,2317
UCL214016,0,24,512,1823,523,54,9,78,3025,5,68,212,28,4,3,0,9,330,0,0,8,9,0,0,0,0,15,5,68,220,36,4,3,0,7,343,0,24,25,6,0,0,0,7,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,6,0,0,0,7,61,0,19,7,11,6,0,0,4,52,0,9,6,0,0,0,0,0,13,14,138,769,1877,538,50,13,97,3496
UCL214017,3,12,196,1001,623,94,19,20,1967,0,11,93,54,4,0,0,0,163,0,0,11,24,0,0,0,0,35,0,11,104,81,4,0,0,0,198,0,0,24,11,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,11,0,0,0,0,39,0,0,0,7,0,0,0,0,10,0,0,0,0,0,0,0,0,4,3,27,323,1101,625,94,19,19,2214
UCL214018,0,28,440,1911,1069,119,21,53,3650,0,31,88,49,6,0,0,5,177,0,0,11,61,15,0,0,4,102,0,31,100,113,24,0,0,11,281,0,0,3,6,0,0,0,0,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0,15,0,5,6,4,0,0,0,0,17,0,0,0,10,0,0,0,0,11,5,67,553,2046,1096,123,25,63,3973
UCL214019,0,28,282,1344,450,43,10,41,2205,0,77,140,18,0,0,0,4,237,0,0,4,0,0,0,0,0,4,0,77,145,18,0,0,0,4,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,6,0,0,0,0,0,0,12,0,0,4,0,0,0,0,0,6,4,110,433,1369,453,43,10,51,2465
UCL214020,3,24,284,1270,449,53,13,40,2141,0,7,67,3,0,0,0,3,91,0,0,0,0,0,0,0,0,0,0,7,67,7,0,0,0,3,89,0,59,61,8,0,0,0,8,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,67,8,0,0,0,8,139,0,3,3,3,0,0,0,0,18,0,0,0,4,0,0,0,0,3,10,95,419,1289,458,53,16,47,2384
UCL214021,0,4,96,718,697,86,24,27,1658,0,10,88,83,22,3,0,0,205,0,0,11,22,0,0,0,0,39,0,10,99,99,23,3,0,0,243,0,3,15,3,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,19,3,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,216,825,722,92,21,30,1936
UCL214022,6,45,630,1747,717,95,19,59,3321,4,83,97,26,0,0,0,12,218,0,0,0,0,0,0,0,0,0,4,83,97,26,0,0,0,12,218,0,3,9,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,15,0,0,0,0,0,22,0,21,69,5,0,0,0,4,108,0,0,3,4,0,0,0,0,12,10,159,814,1781,720,95,19,83,3675
UCL215001,0,4,72,268,178,23,8,3,555,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,75,269,180,23,8,3,571
UCL215002,3,14,162,556,202,20,4,6,962,0,13,57,13,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,13,57,13,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,16,6,0,0,0,0,58,0,0,0,0,0,0,0,0,4,11,55,232,567,202,20,3,8,1106
UCL215003,0,10,115,590,331,68,21,19,1152,0,10,14,11,0,0,0,0,38,0,0,4,30,4,0,0,0,36,0,10,19,35,3,0,0,0,81,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,6,4,25,139,633,337,71,20,17,1244
UCL215004,0,13,92,251,92,25,4,14,486,0,16,21,9,5,0,0,0,51,0,0,6,9,3,0,0,0,26,0,16,30,22,3,0,0,0,74,0,9,6,8,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,10,0,0,0,0,30,0,6,0,0,0,0,0,0,11,0,0,0,3,0,0,0,0,8,0,42,127,287,101,22,14,10,609
UCL215005,0,9,105,231,71,15,0,12,439,0,7,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,3,0,7,5,0,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,19,112,237,76,15,0,16,467
UCL215006,0,8,111,509,293,37,10,12,974,0,10,24,25,0,0,0,0,60,0,0,0,0,0,0,0,0,3,0,10,24,28,3,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,6,6,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,19,140,536,299,37,10,13,1055
UCL215007,4,6,78,439,312,43,9,12,900,0,0,6,8,0,0,0,0,21,0,0,6,8,0,0,0,0,9,0,0,12,20,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,8,92,453,315,43,9,12,937
UCL215008,0,0,16,224,342,44,10,4,640,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,232,342,44,10,4,645
UCL215009,0,8,45,231,73,8,0,8,374,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,14,47,237,69,8,0,8,389
UCL215010,0,4,17,214,317,70,18,7,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,214,325,70,18,7,657
UCL215011,0,10,92,307,82,7,3,10,501,0,5,9,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,14,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,23,104,306,82,7,3,10,521
UCL215012,0,26,223,660,336,28,11,11,1292,0,10,43,5,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,10,43,5,0,0,0,0,63,0,3,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,15,0,3,7,0,0,0,3,0,12,0,0,5,0,6,3,0,0,15,0,49,284,667,342,28,18,12,1392
UCL215013,0,4,14,230,882,87,11,25,1244,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,9,0,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,231,882,87,11,25,1252
UCL215014,0,3,16,249,133,25,0,4,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,249,133,25,0,4,433
UCL215015,3,8,109,466,198,49,4,22,858,0,21,67,16,4,0,0,3,108,0,0,4,6,0,0,0,0,9,0,21,70,22,3,0,0,3,116,0,0,11,0,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,13,0,4,0,0,0,24,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,5,36,189,488,205,48,7,24,1007
UCL215016,5,16,134,762,493,72,3,25,1510,0,23,31,13,0,0,0,0,71,0,0,0,3,0,0,0,0,0,0,23,34,16,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,5,42,166,785,494,72,3,29,1589
UCL215017,0,12,82,348,340,57,22,12,859,0,3,3,3,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,11,90,351,340,57,22,12,883
UCL215018,0,10,176,685,241,27,0,12,1158,0,24,53,8,0,0,0,7,80,0,0,4,0,0,0,0,0,10,0,20,58,9,0,0,0,7,91,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,232,695,244,31,0,18,1252
UCL215019,3,8,89,388,178,25,11,18,721,0,0,0,4,0,0,0,0,4,0,0,7,42,27,7,0,0,81,0,0,0,42,33,7,0,0,87,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,93,440,209,32,11,20,818
UCL215020,5,9,111,338,90,9,0,10,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,5,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,5,0,0,0,0,36,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,22,127,340,89,12,0,10,612
UCL215021,0,9,63,260,108,7,3,11,470,0,0,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,12,0,0,6,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,11,0,8,0,4,0,4,0,3,15,0,0,0,0,0,0,0,0,0,0,18,85,265,106,12,3,15,513
UCL215022,3,14,37,1306,325,48,9,30,1767,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,0,17,0,0,0,9,0,0,5,0,17,0,9,30,4,5,0,0,3,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,30,4,5,0,0,3,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,64,1320,331,51,13,29,1828
UCL215023,3,10,64,342,131,14,0,9,560,0,18,23,8,0,0,3,0,53,0,0,0,0,0,0,0,0,0,0,18,23,8,0,0,3,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,24,89,350,132,14,3,12,623
UCL215024,0,6,113,478,144,6,0,16,767,0,14,24,6,0,0,0,4,46,0,0,0,0,0,0,0,0,0,0,14,24,6,0,0,0,4,46,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,23,136,486,140,6,0,21,823
UCL215025,0,9,61,213,131,13,0,8,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,59,213,133,13,0,8,440
UCL215026,4,9,98,246,101,15,0,10,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,95,249,97,15,0,10,484
UCL215027,0,13,59,301,80,9,3,14,478,0,4,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,68,302,80,9,3,13,490
UCL215028,0,15,134,605,215,36,3,15,1026,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,11,0,33,42,10,0,0,0,4,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,42,7,0,0,0,4,89,0,8,3,10,0,0,0,0,26,0,0,0,0,0,0,0,0,0,3,52,183,628,220,38,3,21,1152
UCL215029,8,61,398,799,219,32,14,17,1544,0,34,55,9,0,0,0,5,96,0,3,19,12,0,0,0,3,35,0,38,69,16,0,0,0,5,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,3,0,0,0,10,0,3,0,0,0,0,0,0,3,8,101,464,816,224,37,15,22,1693
UCL215030,0,9,117,329,93,9,0,6,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,30,126,329,94,8,0,9,604
