UCL_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
UCL214002,7,5,4,3,3,0,20,0,0,4,0,0,0,3,4,3,6,0,0,0,15,7,0,0,0,0,0,15,9,7,7,0,5,0,29,3,21,9,0,0,0,36,11,23,12,5,0,0,47,14,46,6,5,4,0,74,25,47,9,3,8,0,85,25,76,13,14,7,0,129,23,56,14,0,0,0,103,45,80,15,6,3,0,141,14,35,5,0,6,0,61,13,26,6,4,0,0,46,19,74,10,4,0,0,106,15,41,12,0,0,0,72,5,14,3,0,0,0,17,4,3,0,0,0,0,7,12,36,10,4,0,0,63,262,588,135,47,43,0,1069
UCL214003,17,4,0,4,0,0,26,7,0,0,0,0,0,14,16,0,0,0,5,0,29,10,5,0,6,6,0,26,28,15,10,8,8,3,70,39,30,15,14,15,0,104,44,40,8,5,10,0,111,38,33,18,6,8,0,101,36,37,10,9,3,0,101,17,42,19,3,0,0,84,12,16,10,4,3,0,44,18,15,5,3,3,0,47,4,6,0,0,0,0,16,8,4,0,0,0,0,11,3,0,3,0,0,0,14,6,7,0,0,0,0,20,0,0,0,0,0,0,4,5,0,5,0,0,0,4,20,9,5,0,0,0,40,327,280,112,57,79,4,858
UCL214004,10,4,3,0,0,0,21,6,4,0,0,0,0,4,13,5,0,0,3,0,16,4,0,0,0,0,0,10,14,6,7,4,5,0,24,10,25,5,8,3,0,50,7,27,10,6,6,0,55,19,27,10,4,6,0,60,15,23,5,7,0,0,50,9,19,10,3,0,0,35,7,4,4,0,0,0,18,8,18,4,5,0,0,36,0,3,0,0,0,0,9,0,0,0,0,0,0,6,0,4,0,0,0,0,3,4,0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,4,8,12,3,0,0,0,29,141,173,60,38,30,3,437
UCL214005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,3,0,9,6,0,0,0,0,0,11,4,3,0,0,0,0,7,3,9,3,0,0,0,13,0,11,0,0,0,0,10,6,11,4,0,0,0,24,3,0,0,0,0,0,3,0,6,0,0,0,0,3,0,3,0,0,0,0,3,3,4,0,0,0,0,4,0,0,0,0,0,0,0,3,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,42,56,17,3,12,0,127
UCL214006,10,5,0,0,0,0,19,5,0,0,0,0,0,3,5,3,0,0,0,0,8,5,0,0,3,4,0,9,13,3,0,0,3,0,18,19,8,0,0,0,0,32,21,8,4,0,0,0,39,21,11,8,5,9,0,50,8,15,9,6,0,0,37,22,25,3,8,7,0,65,8,21,3,4,0,0,35,18,21,9,0,0,0,46,0,11,3,0,0,0,19,0,4,0,0,0,0,12,8,10,0,0,0,0,20,3,19,3,0,0,0,29,3,9,0,0,0,0,20,0,4,6,0,0,0,13,18,4,0,4,3,0,31,190,182,63,31,29,3,504
UCL214007,0,3,0,0,0,0,9,0,0,0,0,0,0,5,3,0,3,0,0,0,12,0,0,0,0,0,0,0,3,6,5,0,0,0,17,10,7,8,5,4,0,29,18,10,5,3,4,0,40,22,20,4,0,3,4,50,27,46,5,4,5,0,94,34,65,8,6,3,0,121,31,51,6,5,0,3,98,70,88,15,3,5,0,177,26,27,5,3,0,0,59,19,24,3,0,3,0,55,11,28,6,0,0,0,42,14,16,7,5,0,0,36,4,5,5,0,0,0,15,3,3,0,0,0,0,9,8,16,3,0,0,0,43,321,419,87,44,39,13,912
UCL214008,18,3,0,3,0,0,28,3,3,0,0,3,0,9,8,0,6,0,3,0,24,14,8,11,5,0,0,49,40,29,21,16,5,0,110,33,62,14,10,10,0,137,36,66,19,15,14,3,145,28,74,19,9,4,0,140,23,30,8,0,5,0,70,27,28,10,0,5,0,68,12,5,4,0,0,0,21,13,25,7,0,0,0,49,6,11,3,0,0,0,16,0,0,0,0,0,0,5,3,13,3,0,0,0,22,0,8,3,0,0,0,21,0,3,0,0,0,0,4,5,0,0,0,0,0,6,20,18,9,4,3,0,46,292,400,139,68,61,6,968
UCL214009,12,6,8,4,8,0,33,0,0,3,0,0,0,5,9,3,3,0,3,0,20,13,7,3,0,9,0,24,11,10,11,0,9,0,42,18,10,11,5,4,0,51,27,28,25,4,15,0,94,24,37,13,8,17,0,94,28,35,12,8,12,0,95,34,56,22,7,9,0,130,32,44,12,7,0,0,92,39,64,17,10,6,0,128,13,21,9,5,6,0,51,16,25,5,0,0,0,43,13,44,14,0,0,0,72,38,43,10,3,0,0,88,5,9,0,0,0,0,16,3,7,0,0,3,0,10,15,22,4,4,10,0,55,356,469,175,68,92,4,1162
UCL214010,10,10,3,0,0,0,23,0,0,0,0,0,0,3,3,0,0,0,0,0,8,8,4,0,0,0,0,12,6,4,3,0,0,0,13,11,14,6,3,0,0,31,19,15,4,4,0,0,38,8,16,3,0,4,0,39,6,30,0,3,0,0,42,23,20,6,0,3,0,47,8,32,0,3,0,0,45,25,13,9,0,4,0,59,9,10,0,5,0,0,20,7,10,0,0,0,0,11,11,10,5,4,0,0,32,13,13,8,0,0,0,32,5,7,7,0,0,0,10,0,4,0,0,0,0,5,10,13,3,0,0,0,31,174,224,60,22,19,3,501
UCL214011,11,14,7,0,5,0,30,6,5,0,0,0,0,11,12,9,4,0,7,0,27,5,10,3,4,3,0,21,9,4,7,7,6,0,34,14,14,11,5,8,0,54,20,30,10,0,10,0,62,33,50,18,19,14,0,130,31,55,15,9,10,0,122,36,82,18,11,13,0,161,37,60,15,9,6,0,124,32,66,19,6,0,0,125,10,30,8,0,0,0,50,0,10,9,0,0,0,22,17,28,16,0,3,0,66,14,34,14,4,0,0,60,6,8,3,0,0,0,19,5,7,3,0,0,0,15,34,25,7,5,3,3,81,337,532,181,73,85,8,1213
UCL214012,4,3,0,0,0,0,7,6,0,0,0,0,0,4,8,3,0,6,0,0,13,7,0,3,0,0,0,12,15,12,10,4,0,0,44,25,28,11,11,4,0,79,26,46,11,18,5,0,101,21,37,16,10,6,0,86,13,27,9,7,4,0,54,21,22,7,0,0,0,42,4,18,7,0,0,0,32,13,15,8,0,0,0,39,0,9,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,6,4,0,3,0,0,0,4,0,4,0,0,0,0,3,0,0,0,0,0,0,0,12,14,3,6,3,0,43,176,241,88,52,35,3,588
UCL214013,8,0,0,0,0,0,15,3,3,0,0,0,0,5,0,0,0,0,5,0,8,0,0,0,0,0,0,4,8,8,4,3,0,0,20,3,4,3,0,0,0,23,7,8,0,4,3,0,20,10,25,12,5,8,0,49,15,27,5,6,3,0,59,14,27,6,3,6,0,49,13,29,8,3,0,0,48,22,34,9,4,0,0,69,8,23,4,0,0,0,31,9,15,0,0,0,0,26,13,24,0,0,0,0,46,17,27,6,0,5,0,50,4,4,0,0,0,0,11,4,0,0,0,0,0,8,8,5,5,0,3,3,28,163,264,62,34,43,6,567
UCL214014,6,6,3,3,0,0,13,6,6,0,0,3,0,11,4,0,0,0,3,0,12,8,3,0,4,0,0,12,6,0,4,0,4,0,19,16,14,9,8,8,0,52,13,19,15,8,10,0,60,22,32,12,6,4,0,69,13,16,5,6,0,0,42,12,14,0,0,6,0,32,3,0,3,6,0,0,15,23,15,3,4,4,0,39,5,0,4,0,0,0,4,4,6,0,0,0,0,7,0,4,0,0,0,0,10,5,6,3,0,0,0,22,0,0,0,0,0,0,3,0,0,0,0,0,0,6,6,8,0,0,0,0,15,159,153,66,41,39,5,463
UCL214015,5,6,0,0,0,0,17,5,0,0,0,0,0,0,4,0,0,0,3,0,12,5,4,4,0,0,0,13,9,9,3,4,8,0,30,9,16,8,6,3,0,37,13,33,4,12,5,0,57,14,36,8,18,4,0,80,22,29,11,5,5,0,78,8,33,8,6,3,0,65,7,18,7,0,0,0,39,7,26,8,0,4,0,46,3,13,3,0,0,0,18,5,7,0,0,0,0,7,6,7,0,0,0,0,17,5,14,3,0,0,0,26,0,0,4,0,0,0,8,0,0,4,0,0,0,8,12,11,0,0,0,0,20,141,266,71,55,34,4,573
UCL214016,3,0,4,0,3,0,12,4,8,0,0,3,0,15,10,4,6,0,3,0,32,10,6,0,9,5,0,25,22,6,11,13,10,3,70,31,39,19,10,9,0,110,22,29,13,9,6,0,81,27,29,3,3,5,0,74,14,25,3,3,4,0,48,7,19,0,4,4,0,37,7,10,0,0,0,0,15,11,9,0,0,0,0,25,4,3,0,0,0,0,3,0,0,0,0,0,0,3,3,5,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,11,0,0,0,29,195,206,82,51,54,6,609
UCL214017,10,0,7,0,0,0,13,3,0,0,0,0,0,4,4,3,5,0,0,0,12,3,0,5,0,0,0,7,5,0,0,0,0,0,14,4,3,4,0,4,0,14,9,7,3,3,5,0,27,8,3,3,0,0,0,19,0,11,9,0,0,0,14,7,8,0,0,0,0,22,7,16,0,0,0,0,27,17,16,5,0,3,0,47,4,14,0,0,0,0,20,3,9,7,0,0,0,19,12,15,8,0,0,0,36,20,33,10,0,3,0,67,6,5,0,5,0,0,17,4,4,5,0,4,0,9,13,10,9,3,0,0,26,148,167,78,16,21,4,422
UCL214018,18,4,4,0,0,0,25,4,0,0,0,0,0,7,13,0,4,0,0,0,19,8,0,0,0,0,0,12,17,4,3,0,3,0,34,18,6,3,0,3,0,36,24,9,4,0,4,0,38,31,16,7,8,0,3,67,18,22,6,0,0,0,52,36,20,12,4,5,0,66,20,34,5,0,0,0,58,42,28,4,4,0,0,78,11,7,0,0,0,0,20,12,3,0,0,0,0,20,23,10,5,0,0,0,37,26,17,11,0,4,0,49,14,8,0,0,0,0,17,10,8,0,0,0,0,10,19,19,9,0,3,0,49,327,220,94,17,34,10,704
UCL214019,11,6,0,0,6,0,23,4,0,0,0,0,0,3,6,8,8,6,3,0,22,4,0,0,5,3,0,12,12,5,9,5,7,0,41,13,21,11,3,8,0,61,13,22,7,9,4,0,55,16,27,17,4,4,0,67,25,16,6,8,6,4,59,16,8,5,5,0,0,45,9,17,3,5,0,0,28,9,16,9,6,0,0,33,3,3,0,0,0,0,4,0,0,0,0,0,0,0,3,6,5,0,0,0,16,3,3,0,0,0,0,8,0,0,0,0,0,0,5,0,3,0,0,0,0,0,4,7,4,6,4,0,21,151,167,83,54,58,4,512
UCL214020,4,0,0,0,0,0,9,3,0,0,0,3,0,7,5,0,0,4,4,0,17,13,12,9,0,0,3,34,35,24,7,3,7,0,80,24,42,12,9,4,0,95,19,31,9,5,9,0,72,15,39,9,6,0,0,67,4,10,0,0,0,0,20,3,8,5,0,0,0,26,4,4,0,0,0,0,14,4,3,3,0,0,0,10,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,4,0,20,154,187,67,30,28,11,475
UCL214021,10,3,3,0,3,0,14,0,0,0,0,0,0,0,4,0,0,3,3,0,10,3,5,6,0,0,0,14,7,6,4,0,9,0,21,9,3,4,0,6,0,25,7,12,12,7,6,0,46,11,24,14,3,8,0,65,9,36,12,3,8,0,70,19,30,14,6,5,0,69,20,35,10,0,4,0,65,34,48,16,4,7,0,101,6,27,8,6,3,0,52,5,20,0,4,0,0,34,14,37,8,0,0,0,56,12,30,9,0,3,0,50,9,10,0,0,0,0,19,4,11,0,0,0,0,14,10,28,15,5,9,0,59,179,359,128,46,67,0,789
UCL214022,7,5,3,0,4,0,20,7,0,0,0,0,0,10,6,5,6,0,3,0,25,3,3,3,0,0,0,14,17,8,9,4,10,0,44,18,24,11,9,12,0,70,25,31,18,15,8,0,98,23,38,8,15,8,0,87,14,36,8,5,7,0,68,14,42,13,4,3,0,75,8,11,8,3,6,0,40,16,30,9,5,7,0,61,6,3,0,0,0,0,15,0,0,0,0,0,0,5,0,5,0,0,0,0,10,3,5,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12,12,4,0,3,0,35,180,266,109,70,59,6,686
UCL215001,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,4,5,0,0,0,0,0,3,0,0,3,0,0,0,6,5,0,0,3,0,0,3,0,3,0,0,0,0,10,3,0,4,0,0,0,6,3,0,0,0,0,0,5,4,7,3,0,0,0,13,0,0,0,0,0,0,4,0,0,0,0,0,0,4,7,4,0,0,0,0,12,5,10,3,0,0,0,25,3,0,3,0,0,0,3,9,0,0,0,0,0,9,4,0,0,0,4,0,10,49,34,21,10,8,0,134
UCL215002,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,6,9,6,0,3,0,28,12,17,0,4,3,0,36,7,18,3,0,3,0,34,6,7,3,0,3,0,24,5,11,5,0,0,0,21,0,4,3,0,0,0,13,11,11,4,0,0,0,19,0,3,0,0,0,0,9,0,5,0,0,0,0,4,0,4,4,0,0,0,3,0,3,3,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,6,4,6,4,6,3,0,18,60,100,36,16,21,0,237
UCL215003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,4,0,0,0,13,6,4,0,0,0,0,12,4,9,4,0,0,0,12,4,4,0,0,0,0,14,10,5,6,5,0,0,19,9,3,0,0,0,0,11,7,15,3,0,0,0,18,8,11,7,0,0,0,20,4,8,0,0,0,0,15,7,16,5,3,0,0,35,17,17,0,6,0,0,38,3,6,0,0,0,0,13,5,8,0,0,0,0,11,10,7,0,0,0,0,24,100,112,27,15,12,0,266
UCL215004,0,0,0,0,0,0,3,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,5,0,0,0,0,0,0,4,3,3,4,0,4,0,6,0,0,0,0,0,0,6,4,0,0,0,0,0,5,7,3,0,4,0,0,8,3,4,0,0,0,0,11,6,3,0,0,0,0,8,0,0,0,0,0,0,3,0,3,0,0,0,0,5,3,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,35,9,11,8,0,91
UCL215005,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,3,3,0,0,3,0,0,8,0,4,0,0,0,0,11,6,4,4,0,0,0,23,9,8,3,4,0,0,19,7,7,0,0,0,0,12,3,0,0,0,0,0,9,0,4,0,0,0,0,11,0,0,0,0,0,0,5,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,33,39,13,11,6,0,106
UCL215006,5,0,0,0,0,0,8,8,0,0,0,0,0,8,4,0,3,0,3,0,10,0,0,0,0,0,0,4,7,4,0,0,0,0,11,3,3,5,6,0,0,17,8,9,3,0,4,0,28,11,15,7,7,3,0,44,14,13,9,3,0,0,43,17,19,4,9,0,0,47,9,21,3,0,0,0,34,6,22,0,0,4,0,32,9,3,5,0,0,0,16,6,4,0,3,0,0,11,3,5,3,0,0,0,14,5,5,4,0,0,0,16,0,0,0,0,0,0,0,3,0,0,0,0,0,5,11,8,3,0,0,0,22,112,146,45,26,28,0,361
UCL215007,4,0,0,0,0,0,11,0,0,0,0,0,0,3,4,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,6,3,3,4,0,0,0,10,3,3,4,0,4,0,17,5,7,0,0,0,0,16,10,7,0,0,3,0,22,4,11,9,0,6,0,29,5,8,0,0,0,0,22,4,23,0,0,0,0,31,0,5,0,0,0,0,10,4,9,0,0,0,0,12,6,20,5,0,3,0,36,7,23,7,0,0,0,35,4,10,0,0,0,0,14,3,9,0,0,0,0,11,0,9,0,3,0,0,11,84,151,43,13,16,4,302
UCL215008,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,6,3,0,0,0,0,0,3,0,3,0,6,0,0,7,5,12,0,0,0,0,16,3,6,4,0,0,0,18,11,21,3,3,0,0,38,8,19,5,0,0,0,38,10,21,8,3,0,0,40,3,11,5,0,0,0,27,15,23,4,0,0,0,37,3,4,0,0,0,0,13,0,7,0,0,0,0,4,10,9,0,0,0,0,18,0,12,0,0,0,0,17,0,3,0,0,0,0,3,3,4,0,0,0,0,7,0,7,0,0,0,0,8,90,163,48,15,10,0,316
UCL215009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,6,4,5,3,0,0,0,10,3,3,0,3,0,0,9,0,0,3,5,0,0,11,4,4,3,0,0,0,11,5,4,0,0,0,0,8,3,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,31,29,17,9,3,0,86
UCL215010,5,0,0,0,3,0,12,4,0,0,0,0,0,3,0,0,0,0,0,0,9,6,0,5,0,0,0,5,4,0,0,0,0,0,8,0,4,0,0,0,0,9,4,9,7,0,0,0,16,3,7,0,0,0,0,18,4,15,3,0,0,0,22,4,17,6,0,0,0,22,0,10,5,0,0,0,20,8,20,14,0,0,0,50,0,9,0,0,0,0,17,0,13,6,0,0,0,13,9,26,8,0,0,0,40,12,39,11,0,0,0,63,4,10,9,0,0,0,27,4,7,5,0,0,0,18,5,8,10,0,0,0,29,68,203,87,10,10,0,384
UCL215011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,3,0,5,3,4,0,0,0,0,10,8,9,0,0,0,0,14,0,4,0,3,4,0,6,8,6,0,0,0,0,19,5,0,0,0,0,0,11,4,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,44,28,13,8,18,4,104
UCL215012,5,0,3,0,0,0,9,0,0,0,0,0,0,0,4,0,3,0,0,0,3,5,0,0,0,0,0,12,8,0,3,0,3,0,14,4,5,0,0,0,0,17,7,13,9,3,7,0,29,12,15,5,5,3,0,35,14,13,7,4,0,0,37,14,14,0,8,0,0,42,4,9,4,0,0,0,23,6,12,3,0,0,0,31,3,8,0,0,0,0,14,5,7,0,0,0,0,8,4,6,0,5,0,0,10,4,9,0,0,0,0,19,3,0,0,0,0,0,6,0,0,0,0,0,0,6,13,5,0,0,0,0,23,113,131,42,25,22,4,328
UCL215013,0,0,4,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,3,0,0,0,0,7,3,0,3,0,0,0,6,3,9,7,0,0,0,19,3,10,6,0,0,0,22,10,28,0,6,3,0,46,14,61,11,0,3,0,93,22,59,3,4,4,0,96,32,92,13,4,0,0,149,17,44,3,5,0,0,73,10,42,7,0,0,0,60,13,50,9,0,5,0,78,12,37,9,3,0,0,60,8,8,5,0,6,0,21,0,5,0,0,0,0,10,9,26,7,0,4,3,55,174,478,93,42,24,10,808
UCL215014,0,0,0,0,3,0,6,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,5,3,0,0,0,0,0,8,0,4,5,0,3,0,10,4,12,5,0,0,0,14,7,4,4,3,0,0,23,9,14,12,0,0,0,27,8,12,0,0,0,0,26,10,14,6,0,0,0,28,3,6,0,0,0,0,9,6,5,0,0,0,0,5,0,9,3,0,0,0,12,0,0,3,0,0,0,5,4,0,0,0,0,0,5,0,0,0,0,0,0,0,3,5,0,3,3,0,20,52,94,46,17,14,6,227
UCL215015,3,0,0,0,0,0,3,0,0,0,0,0,0,8,4,0,0,0,0,0,4,3,0,0,0,0,0,4,0,8,5,0,0,0,10,3,4,0,0,0,0,9,4,0,7,3,0,0,11,13,3,3,4,0,0,17,4,12,0,0,0,0,23,5,11,0,0,6,0,25,4,5,0,0,0,0,6,10,14,0,0,0,0,23,7,4,0,0,0,0,13,0,10,0,0,0,0,8,4,5,5,0,0,0,11,3,9,4,0,0,0,16,4,0,4,0,0,0,6,4,0,0,0,0,0,3,6,0,4,0,4,0,15,68,89,30,14,13,0,211
UCL215016,5,0,4,0,3,0,15,3,3,3,0,0,0,12,3,3,0,4,0,0,14,4,0,6,0,0,0,16,4,6,0,0,3,0,16,7,16,8,3,3,0,32,20,14,11,8,8,5,57,17,30,12,6,8,0,74,25,32,3,4,9,0,69,23,29,10,4,5,0,77,20,21,5,0,0,0,49,19,26,4,4,0,0,57,3,16,0,0,0,0,21,4,4,0,0,0,0,11,15,16,0,0,0,0,27,7,15,0,0,3,0,20,0,0,0,0,0,0,4,4,0,0,0,0,0,3,10,13,10,0,0,0,38,201,240,86,40,53,5,610
UCL215017,5,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,6,5,5,0,0,0,6,0,6,3,0,4,0,12,3,20,3,0,6,0,30,3,8,5,0,0,0,19,3,22,7,0,0,0,35,12,21,5,5,0,0,47,14,25,7,3,0,0,48,17,32,6,0,0,0,61,3,15,0,0,0,0,18,6,13,0,0,0,0,25,10,26,5,0,0,0,34,15,24,3,0,0,0,43,0,4,0,0,0,0,7,0,3,4,0,0,0,8,0,6,6,5,5,0,19,111,213,63,13,19,4,428
UCL215018,3,0,0,0,0,0,11,3,0,0,0,0,0,0,7,4,0,0,6,0,11,0,0,0,0,4,0,8,10,10,3,3,4,0,22,8,22,3,0,6,0,43,16,14,6,3,4,6,43,9,21,3,3,5,0,36,3,11,4,0,0,0,18,7,9,3,0,0,0,23,0,4,0,0,0,0,8,7,4,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,3,5,0,0,0,0,0,4,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,8,92,98,40,13,17,5,274
UCL215019,6,3,0,0,0,0,6,5,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,3,0,0,4,0,16,4,8,0,0,3,0,19,5,9,3,0,0,0,22,7,15,9,7,0,0,30,9,16,7,4,0,0,30,8,17,0,0,0,0,30,9,8,4,0,0,0,16,6,13,0,0,0,0,20,0,3,0,3,0,0,3,4,4,0,0,0,0,5,3,12,0,0,0,0,9,3,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,8,0,0,0,0,17,72,125,26,16,10,0,257
UCL215020,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,0,0,0,0,9,10,6,0,0,0,0,15,14,7,0,4,0,0,24,10,9,3,3,0,0,23,5,0,0,0,0,0,5,0,3,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,40,35,14,8,4,0,104
UCL215021,0,6,3,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,4,7,4,4,0,0,0,11,10,10,3,0,3,0,20,10,9,3,0,0,0,24,4,10,3,0,0,0,22,3,5,0,0,0,0,7,4,4,6,0,0,0,16,3,10,0,0,0,0,11,7,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,14,42,65,30,10,10,3,160
