UCL_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
UCL215008,722,728,1450,414,233,644,84,237,325,27,39,61,14,20,35,536,525,1064,165,191,355,2.2,4,3.1,74.7,72.3,73.5,73,69.4,71.2,18,33,51,25,44,67,66,129,193,71,113,188,258,120,382,8,11,18,8,26,29,273,160,429,801,833,1636,128,125,248,522,532,1051,354,361,713
UCL215009,416,384,801,115,56,175,51,92,144,5,12,19,13,11,25,187,175,359,185,184,373,8,5.2,6.6,45.3,44.8,45.1,41.7,42.5,42.1,0,3,3,0,5,11,8,31,41,7,35,40,113,49,163,0,3,7,6,4,7,117,64,183,393,359,754,41,47,88,275,250,530,144,128,272
UCL215010,909,890,1798,461,207,671,132,333,466,35,49,82,13,21,38,650,607,1259,207,237,443,2.5,3.1,2.8,71.5,68.3,69.9,69.7,66.2,68,43,42,84,10,31,46,104,167,268,77,120,201,288,103,393,5,12,18,7,17,24,303,126,430,1010,941,1955,83,87,173,759,694,1446,298,283,581
UCL215011,484,512,1002,145,92,234,48,101,150,25,28,49,16,11,22,235,229,461,214,250,466,6.5,3.9,5.2,47.9,44.4,46.1,44.8,42.6,43.7,4,15,16,7,16,31,17,40,58,30,60,86,125,65,190,0,5,9,4,5,10,128,82,210,440,469,903,68,63,130,290,299,588,191,220,412
UCL215012,1263,1493,2756,452,306,759,203,405,606,46,86,138,22,19,38,724,821,1547,486,604,1087,2.8,2.2,2.5,57,55,55.9,55.5,53.8,54.5,68,106,172,40,109,147,199,305,502,116,201,315,295,149,443,16,12,25,20,21,39,326,187,514,1222,1389,2609,230,285,510,770,913,1685,609,696,1302
UCL215013,1496,1478,2973,923,467,1389,190,400,597,58,94,148,40,54,98,1211,1015,2234,207,398,607,3.3,5.5,4.3,81.3,68.8,75.1,78.6,65,71.8,55,90,143,18,53,70,135,238,378,173,203,385,407,208,624,11,28,33,19,30,55,441,271,709,1651,1610,3261,327,316,643,623,593,1219,1158,1148,2300
UCL215014,487,486,973,266,120,392,48,159,203,21,29,44,7,17,24,346,319,665,121,149,276,2.9,4.4,3.6,70.9,64.8,67.9,68.9,62,65.4,3,8,13,4,17,22,12,42,55,17,48,66,193,105,298,6,6,15,0,11,16,204,123,326,534,511,1046,51,73,124,388,379,773,162,165,325
UCL215015,1019,1110,2129,322,235,552,194,283,473,65,58,118,15,7,23,596,575,1172,335,427,758,2.5,1.4,2,58.3,52.2,55.1,56.8,51.4,54,42,44,88,20,55,76,164,189,355,101,132,233,251,116,366,13,16,30,16,37,47,275,169,438,909,947,1856,181,199,381,587,608,1193,472,499,973
UCL215016,1623,1645,3273,770,364,1137,172,422,600,70,86,158,51,46,97,1066,920,1984,483,635,1115,4.7,4.8,4.7,65.6,55.9,60.7,62.5,53.2,57.8,22,35,50,13,40,57,75,150,230,102,189,289,521,254,779,15,35,48,23,27,49,555,312,872,1690,1709,3402,225,194,418,1051,1069,2119,737,744,1478
UCL215017,1007,1082,2090,498,232,729,94,331,426,53,65,119,21,24,35,665,643,1312,284,368,652,2.6,3.1,2.8,66,59.7,62.7,64.3,57.8,60.9,19,24,47,11,32,42,63,134,195,62,123,187,364,182,541,6,13,26,7,16,33,380,219,594,1051,1069,2123,175,180,361,646,655,1297,489,517,1013
UCL215018,1172,1285,2459,443,219,659,134,309,442,35,43,80,16,18,38,631,594,1222,466,622,1094,2.8,3.2,3,53.9,45.9,49.7,52.3,44.4,48.2,23,34,52,14,29,46,68,144,219,64,110,177,330,158,490,10,22,31,17,11,26,362,187,550,1136,1256,2397,147,133,282,825,902,1723,406,437,846
UCL215019,892,980,1870,336,188,528,150,290,435,46,65,105,15,14,30,541,550,1097,252,310,558,2.9,2.2,2.6,60.8,56.7,58.6,59,55.4,57.1,30,50,77,14,43,57,120,167,286,68,108,178,275,107,378,6,19,23,17,13,26,288,136,428,816,842,1656,162,175,340,529,520,1047,401,443,842
UCL215020,546,636,1183,150,99,252,63,102,162,23,26,49,16,7,25,251,235,487,261,357,619,6.4,3,4.7,45.9,37.1,41.1,42.9,36,39.2,3,15,18,6,13,18,29,57,86,25,39,75,116,82,202,3,12,18,3,10,18,124,107,231,499,576,1075,76,84,164,356,413,771,201,223,423
UCL215021,492,532,1021,190,106,298,48,136,181,22,30,54,15,13,24,270,283,554,189,203,391,5.1,4.2,4.7,55.2,53.6,54.3,52.3,51.3,51.8,5,10,14,8,16,28,22,56,82,33,62,91,158,84,243,6,9,16,6,8,13,172,103,276,491,529,1014,38,47,89,367,390,753,145,162,304
UCL215022,1821,1971,3792,605,310,914,192,467,662,49,82,136,90,75,163,936,933,1871,735,867,1600,9.6,7.8,8.7,51.6,47.4,49.4,46.7,43.7,45.1,40,38,86,23,42,70,109,177,288,120,182,300,529,304,836,23,37,60,24,38,60,578,380,954,1814,1885,3705,235,250,487,1183,1235,2409,753,808,1555
UCL215023,603,672,1274,233,112,343,64,166,225,28,33,63,12,9,20,333,318,653,237,319,554,3.3,3.5,3.4,55.1,47.4,51.1,53.3,45.7,49.3,3,11,10,9,6,15,22,47,68,28,56,81,180,110,288,6,13,15,11,8,18,193,131,322,606,646,1253,75,88,160,471,474,945,175,233,413
UCL215024,761,845,1602,250,126,374,61,164,223,21,24,48,13,12,19,346,320,668,355,461,818,3.8,3.1,3.4,45.3,38.2,41.6,43.6,37,40.1,7,13,19,10,19,28,37,68,99,31,74,108,185,90,279,3,11,18,9,6,15,193,115,305,714,795,1509,86,104,189,522,579,1107,239,284,523
UCL215025,460,437,896,152,65,212,50,106,156,28,15,42,19,10,26,252,193,435,179,222,401,7.3,4.2,5.9,53.9,43.5,48.8,50,41.7,45.9,9,15,28,0,10,13,19,44,63,39,57,94,158,68,220,0,4,12,11,14,21,167,85,254,403,379,776,93,98,190,219,217,437,255,242,497
UCL215026,479,481,957,138,70,209,47,109,158,26,22,48,16,5,25,228,210,440,205,232,438,7.3,2.9,5.2,48.6,43.2,45.9,45.1,42,43.5,7,14,14,4,15,23,20,45,64,28,59,82,147,71,214,3,11,12,7,13,25,159,91,253,421,401,823,80,95,178,233,197,432,243,273,511
UCL215027,492,518,1011,163,81,242,59,125,179,16,21,39,16,9,28,257,234,488,177,231,410,7,4.3,5.7,52.1,45.1,48.5,48.5,43.1,45.7,7,9,13,10,20,30,30,48,80,33,47,85,120,67,186,4,10,16,6,3,13,133,80,220,414,441,853,86,97,186,291,301,596,191,217,411
UCL215028,1136,1236,2375,377,164,535,134,285,419,32,54,88,29,26,57,573,520,1093,447,580,1031,5.8,4.4,5.1,50.4,42.1,46,47.5,40.2,43.7,43,44,84,23,39,60,79,161,242,90,154,255,301,168,473,13,16,34,13,20,34,337,199,538,1049,1137,2185,163,133,293,715,768,1483,432,450,884
UCL215029,1516,1785,3308,472,298,767,304,447,750,51,59,110,44,28,68,864,828,1693,548,816,1366,4.8,3.3,4,56.7,46.4,51.1,54,44.9,49.1,111,121,230,39,97,137,228,369,597,175,213,382,274,141,413,9,20,33,24,35,59,311,196,506,1356,1594,2953,221,250,471,853,1049,1901,667,758,1423
UCL215030,560,590,1154,182,83,267,37,126,161,17,19,36,16,9,19,246,236,484,277,313,586,5.7,3,4.4,43.9,39.7,41.7,41.4,38.5,39.9,8,9,20,3,11,15,28,49,72,30,72,96,142,58,198,4,3,15,16,12,27,164,72,234,538,570,1105,53,60,113,403,419,826,153,172,324
UCL215031,570,598,1165,195,100,299,59,125,182,23,19,41,14,10,25,293,256,545,228,292,517,4.8,4.3,4.6,51.5,42.4,46.8,49,40.6,44.7,3,9,18,4,8,10,27,55,81,23,53,75,142,78,225,6,13,18,9,4,10,156,91,256,552,566,1115,60,63,124,390,388,782,198,211,407
UCL215032,1271,1406,2681,395,235,627,151,278,432,49,76,127,26,17,45,617,606,1228,538,695,1234,4,2.6,3.3,48.7,43.2,45.8,46.7,42,44.2,24,39,68,18,37,56,97,146,244,79,139,217,285,177,463,7,25,35,8,17,26,302,218,526,1205,1326,2530,136,152,290,807,886,1694,464,547,1008
UCL215033,959,1043,2004,639,356,1001,89,318,407,39,49,91,24,29,46,791,755,1547,150,273,416,2.9,3.6,3.2,82.7,72.2,77.2,80.3,69.7,74.7,40,46,93,17,51,70,104,184,289,102,148,248,327,147,477,3,14,19,14,19,32,345,183,528,1224,1257,2488,114,130,246,785,803,1589,457,482,941
UCL215034,524,650,1171,131,57,193,56,125,182,14,32,43,6,14,18,211,225,436,269,372,640,2.8,5.4,4.2,40.1,34.3,36.9,39,32.5,35.4,19,10,30,5,9,15,41,77,120,46,65,113,120,67,186,4,5,15,3,13,20,129,94,222,466,533,1001,73,98,170,305,335,637,223,286,510
UCL215035,628,652,1278,308,125,433,75,200,273,20,36,60,17,17,37,419,375,793,164,230,388,3.8,4.5,4.1,67.3,57.6,62.4,64.8,55,59.8,18,12,23,0,31,29,41,85,128,40,67,105,234,96,335,0,13,17,12,11,18,245,120,369,684,671,1357,85,81,168,420,403,824,289,310,602
UCL215036,476,490,965,213,89,307,60,145,205,27,37,62,9,7,20,314,289,596,121,152,275,3.2,3.8,3.5,65.8,58.4,62,63.7,56.1,59.9,7,19,28,8,14,15,47,85,135,26,70,99,161,58,219,0,8,10,5,12,17,167,72,240,519,503,1020,36,48,80,346,335,678,171,196,366
UCL215037,588,580,1170,217,107,325,58,138,190,30,18,46,8,5,19,309,269,584,238,270,510,3.5,3,3.3,52.8,46.7,49.8,50.9,45.3,48.2,7,7,15,5,16,20,23,49,74,38,74,112,189,95,288,3,14,21,7,4,11,207,111,324,533,535,1068,88,94,181,273,256,526,314,342,651
UCL215038,795,837,1633,218,104,317,76,151,223,21,32,49,17,19,31,325,292,621,378,456,833,4.3,5.8,5,40.9,35.1,38,39.2,33.1,36.1,13,15,29,8,19,27,32,72,101,38,73,111,216,93,309,7,20,21,12,13,29,233,127,357,704,712,1415,94,106,201,465,506,969,287,292,578
UCL215039,646,634,1276,198,98,300,58,121,176,17,24,46,21,12,29,292,257,549,285,319,599,6.2,4.7,5.5,45.3,40.6,43,42.5,38.7,40.6,3,7,13,6,11,15,17,32,57,24,52,77,172,99,269,8,5,11,8,11,15,183,115,301,588,583,1166,92,89,183,423,412,833,223,226,449
UCL215040,543,566,1115,176,79,254,55,125,181,25,15,41,18,17,30,271,236,507,207,266,475,5.9,6.8,6.3,49.7,41.6,45.6,46.8,38.8,42.7,3,6,4,0,10,13,12,22,35,15,37,55,132,96,224,9,20,27,11,5,15,143,117,264,505,517,1018,75,66,140,357,335,692,192,211,405
UCL215041,1461,1621,3087,538,253,791,131,342,474,44,55,96,39,35,74,755,680,1440,588,808,1405,5.4,5,5.2,51.8,41.8,46.6,49,39.8,44.1,18,22,40,14,31,42,85,127,212,89,136,230,364,249,613,16,26,39,17,23,39,394,295,687,1409,1535,2943,194,216,416,991,1078,2070,526,586,1110
UCL215042,528,490,1018,236,107,344,67,140,206,32,42,75,14,13,28,347,303,650,148,157,311,4.3,3.7,4,65.7,61,63.4,62.8,58.8,60.9,13,20,31,7,24,29,39,59,99,46,88,132,179,86,262,4,7,11,4,9,16,189,100,286,554,509,1065,47,40,85,407,372,781,163,151,317
UCL215043,1208,1316,2517,670,331,997,134,387,521,48,71,119,22,21,50,873,809,1683,278,459,733,2.7,3.1,2.9,72.7,61.5,66.8,70.7,59.6,64.9,11,11,23,6,29,35,39,128,164,55,152,207,446,244,695,16,24,44,7,28,38,472,301,774,1317,1424,2742,203,201,403,787,831,1618,609,682,1299
UCL215044,630,710,1344,289,129,420,79,236,312,37,51,88,6,8,13,403,425,831,192,248,437,2,1.9,1.9,64.5,59.7,62,63.2,58.6,60.8,13,25,45,7,24,34,52,99,152,29,98,128,215,113,324,11,7,16,6,15,22,232,134,364,667,725,1392,98,102,197,425,463,892,291,316,611
UCL215045,1495,1705,3201,549,271,823,184,460,644,61,72,132,53,27,75,842,823,1667,568,779,1345,5.8,3,4.4,56.4,48.3,52.1,53.1,46.9,49.8,23,40,59,20,50,62,101,170,265,91,202,292,433,244,674,17,35,50,17,31,47,465,305,775,1482,1604,3088,227,258,480,883,963,1852,718,804,1525
UCL215046,645,705,1345,291,181,467,85,186,272,31,42,72,22,10,29,430,416,847,176,259,430,4.9,2.2,3.6,66.5,59,62.6,63.2,57.7,60.4,12,28,37,11,25,42,53,117,170,56,94,154,198,94,297,0,7,5,6,14,25,207,114,327,634,728,1359,87,113,205,409,446,853,294,340,630
UCL215047,819,847,1669,449,207,652,76,240,313,42,46,92,18,15,32,580,506,1094,186,296,479,2.7,3.2,2.9,71,59.9,65.4,69.1,58,63.5,4,9,18,6,24,30,19,72,91,35,121,155,321,151,468,4,21,22,11,17,28,339,181,518,797,832,1637,178,175,361,361,380,743,538,553,1090
UCL215048,698,750,1443,319,155,477,75,202,278,33,46,80,24,22,46,455,421,873,201,278,480,6.2,4.8,5.5,65.5,55.9,60.5,61.4,53.2,57.2,7,16,21,7,15,15,32,58,89,35,100,138,239,137,373,6,11,25,11,15,28,255,169,422,702,735,1434,127,159,291,394,424,814,373,394,767
UCL215049,583,550,1134,169,79,244,94,137,233,38,40,81,3,3,6,300,268,564,226,227,458,0.7,1.9,1.2,51.6,48.5,50.1,51.3,47.5,49.5,28,36,67,20,21,39,125,110,236,57,65,120,100,51,152,5,4,8,7,13,23,116,68,180,474,433,906,115,97,213,276,271,547,296,259,552
UCL215050,1167,1141,2308,521,267,794,198,303,506,45,77,121,16,23,38,789,670,1456,321,403,722,2.2,3.1,2.6,67.5,58.9,63.2,66.1,57,61.6,111,127,238,32,79,111,245,284,525,122,133,248,223,69,298,10,12,18,16,22,36,249,108,357,1281,1198,2475,131,112,244,910,873,1784,424,395,820
UCL215051,1724,1953,3673,688,335,1030,168,498,666,73,90,166,40,40,81,973,964,1934,645,879,1527,4.1,4,4.1,56.4,49.4,52.7,54.1,47.4,50.6,21,50,71,21,51,70,97,216,316,85,187,276,567,304,868,13,30,51,13,30,47,597,365,962,1762,1914,3672,254,282,534,1174,1252,2427,724,837,1563
UCL215052,594,665,1257,154,103,253,86,145,234,29,26,52,9,17,24,273,287,566,296,341,638,4,5.6,4.8,46.7,43.4,44.9,44.9,40.9,42.8,46,56,106,19,38,54,90,122,211,55,84,141,147,62,209,6,6,14,5,13,14,157,81,240,531,546,1079,91,127,221,359,373,732,256,293,549
UCL215053,1531,1726,3259,615,360,974,229,471,697,61,81,143,23,15,35,933,921,1855,511,695,1203,2.6,1.6,2.1,60.8,53.5,57,59.3,52.7,55.8,36,48,90,23,70,96,136,228,368,116,244,362,512,215,725,9,22,38,30,37,64,553,272,823,1432,1576,3006,337,366,702,847,944,1794,836,915,1758
UCL215054,826,876,1702,257,164,425,97,191,284,29,41,70,39,15,53,420,411,830,315,382,698,9.5,3.6,6.6,50.8,47,48.9,45.9,45.3,45.6,4,7,7,0,20,16,18,50,73,31,68,103,219,144,362,11,18,29,7,8,15,233,171,404,799,846,1647,96,112,204,518,544,1061,317,351,676
UCL215055,719,702,1416,178,111,292,98,174,264,33,37,73,7,6,9,313,327,644,354,330,683,1.9,2.1,2,43.8,46.6,45.2,43,45.6,44.3,27,37,64,12,21,36,99,109,208,71,114,184,190,82,267,5,11,12,20,20,34,208,111,317,621,631,1247,124,123,248,389,360,745,348,362,709
UCL215056,648,641,1294,227,101,325,66,159,225,42,31,73,19,21,43,355,307,667,212,273,481,6.4,6.8,6.6,55.2,48,51.6,51.7,44.7,48.2,5,13,13,6,18,25,29,67,95,44,70,116,171,130,306,9,10,18,12,13,27,199,151,349,633,633,1267,53,63,117,435,432,873,217,223,444
UCL215057,663,735,1395,250,135,385,90,194,285,19,40,63,18,17,35,379,388,767,246,311,559,5.3,4.1,4.7,57.5,52.4,54.8,54.5,50.3,52.3,8,28,41,14,27,36,59,119,179,53,85,135,226,111,338,5,13,20,0,15,17,235,139,373,686,705,1385,92,123,214,473,477,946,276,316,602
UCL215058,439,525,960,143,73,217,45,137,178,25,11,32,17,7,25,224,227,449,181,269,451,6.7,3.1,4.9,50.8,43.3,46.7,47.4,42,44.4,5,11,13,0,8,11,20,53,73,27,44,77,111,70,183,4,10,14,4,9,12,126,86,211,423,485,911,64,77,146,296,346,639,173,203,372
UCL215059,934,969,1901,296,175,467,166,265,429,46,47,95,9,13,15,513,494,1008,370,413,781,1.6,2.2,1.9,55,51.1,53,54.1,49.9,52,49,54,106,30,48,80,134,208,342,80,104,190,258,106,364,12,16,32,15,22,32,288,145,433,907,902,1813,137,136,273,631,663,1297,375,353,730
UCL215060,1130,1268,2396,417,216,638,158,343,503,42,67,111,32,11,37,649,643,1290,426,559,992,4.5,1.4,2.9,57.5,50.5,53.8,54.9,49.8,52.2,11,26,34,11,37,40,75,133,208,70,133,202,318,179,494,6,20,28,20,21,39,347,218,566,1112,1219,2335,160,169,328,760,786,1550,456,538,994
UCL215061,844,877,1721,331,179,507,85,185,277,23,33,51,16,21,33,458,409,870,317,389,706,3.5,4.4,3.9,54.2,47.2,50.6,52.3,45.1,48.7,12,10,22,15,24,36,46,99,139,42,88,133,232,123,360,8,8,14,11,23,31,249,153,405,766,794,1564,132,136,272,472,481,954,380,399,774
UCL215062,624,667,1292,237,113,349,62,168,226,29,25,54,18,14,30,343,316,663,251,314,567,5.2,4.7,5,55.2,47.7,51.3,52.3,45.4,48.8,3,16,20,8,17,19,33,71,104,28,67,96,179,100,282,9,12,19,5,6,13,194,115,307,619,610,1229,91,103,193,432,402,837,248,278,526
UCL215063,434,444,876,168,80,257,59,120,178,12,18,36,15,11,21,253,229,487,157,194,350,4.7,4.8,4.7,58.7,52.4,55.5,56,49.9,52.9,10,10,17,5,16,24,25,54,84,44,73,112,146,72,215,7,12,16,6,6,14,153,83,239,426,428,852,78,67,144,269,242,512,209,227,432
UCL215064,808,852,1653,353,172,521,80,193,272,20,33,58,16,10,25,472,411,881,280,381,666,3.2,2.7,2.9,58.4,48.3,53.3,56.6,47.1,51.7,17,16,29,7,25,25,49,101,150,40,62,101,185,119,303,18,14,35,12,16,23,208,149,356,744,780,1524,135,130,265,493,521,1010,331,348,678
UCL215065,1537,1678,3219,528,286,815,119,357,476,57,66,120,38,22,60,738,727,1472,644,804,1454,5.5,2.9,4.2,48.1,43.4,45.6,45.4,42.2,43.7,15,22,35,17,37,55,74,160,235,83,158,241,379,236,614,14,30,46,27,29,54,424,295,715,1406,1512,2921,223,247,466,954,1043,1999,586,636,1220
UCL215066,841,869,1706,190,87,284,93,188,279,19,30,45,30,17,44,330,321,652,412,444,858,8.2,5.2,6.7,39.2,37.5,38.3,36,35.6,35.8,12,9,26,9,20,26,40,70,106,46,58,102,199,96,299,0,19,16,9,19,27,212,138,343,747,744,1500,115,143,261,533,555,1089,291,305,599
UCL215067,463,427,894,168,75,243,37,97,130,22,17,35,13,9,21,237,190,433,186,196,385,5.4,4.7,5.1,51.4,44.9,48.3,48.6,42.8,45.8,10,8,19,0,3,5,20,51,74,20,29,54,127,51,182,0,4,4,4,3,9,130,59,194,420,400,822,51,57,112,314,279,594,136,153,289
UCL215068,1512,1682,3201,316,216,536,173,320,492,45,48,98,32,27,59,562,615,1182,887,1006,1894,5.8,4.2,5,37.3,36.6,36.9,35.1,35.1,35.1,42,42,79,28,55,80,115,197,309,149,233,380,465,208,670,11,25,39,40,46,77,513,272,790,1313,1490,2799,240,275,519,879,965,1849,640,748,1388
UCL215069,1289,1550,2840,419,265,693,207,372,576,59,93,148,18,26,46,703,755,1457,493,686,1178,2.6,3.3,2.9,54.6,48.7,51.4,53.2,47.1,49.8,57,90,144,26,73,100,225,304,531,113,202,318,277,139,414,9,24,40,20,28,45,312,191,499,1305,1503,2813,157,192,354,855,946,1802,557,678,1237
UCL215070,1213,1290,2502,437,217,658,133,296,429,39,42,82,55,32,91,663,593,1252,423,593,1016,8.3,5.7,7.1,54.7,45.9,50.1,50.1,43.2,46.6,12,13,23,3,27,27,40,86,126,66,104,168,321,206,531,17,28,47,14,20,30,355,256,606,1153,1213,2371,191,192,383,779,842,1616,473,493,963
UCL215071,1358,1499,2854,714,375,1089,161,489,652,56,79,140,26,31,54,967,968,1935,347,471,819,3.1,2.9,3,71,64.8,67.7,68.8,62.9,65.7,58,72,129,31,69,105,152,270,420,136,191,329,449,205,654,11,17,29,24,45,61,481,261,744,1428,1579,3010,199,209,403,1044,1148,2186,529,554,1081
UCL215072,1046,967,2013,369,180,551,110,147,260,56,39,95,43,40,79,582,409,983,302,396,694,7.1,9.1,7.9,55.1,42.3,49,51.2,38.4,45.1,10,14,23,0,9,16,35,90,124,48,50,94,103,60,163,0,12,13,10,11,21,118,77,199,929,887,1814,137,134,267,548,571,1118,445,385,833
UCL215073,1168,1250,2418,395,176,567,109,289,393,46,43,93,29,21,46,575,528,1104,502,633,1138,4.4,3.8,4.1,49.1,42.4,45.6,47,40.8,43.8,9,13,15,12,24,33,53,98,153,51,104,155,272,182,462,13,15,27,6,20,25,295,221,519,1105,1178,2283,139,149,283,815,835,1647,373,437,816
UCL215074,1939,1944,3891,1043,502,1545,210,557,771,76,118,189,41,39,81,1375,1210,2585,487,673,1163,3.1,3,3,70.9,62.1,66.5,68.7,60.2,64.5,36,57,92,29,76,107,147,308,458,161,241,404,703,316,1018,16,29,45,24,40,63,744,386,1127,2044,2017,4065,295,317,610,1279,1249,2530,917,952,1859
UCL215075,511,523,1033,182,111,295,43,119,164,28,21,46,25,18,45,278,271,551,182,204,381,9.6,7,8.4,55,51.8,53.4,49.7,48.2,48.9,4,7,10,0,11,13,19,37,59,20,47,57,180,96,274,7,10,18,6,11,13,192,114,300,457,464,922,95,83,178,303,311,614,199,222,419
UCL215076,917,1022,1935,369,237,606,102,232,340,33,48,78,11,24,38,514,543,1058,353,431,784,2.3,4.6,3.5,56.6,53.3,54.8,55.3,50.8,52.9,19,33,56,15,34,54,72,145,213,54,116,175,294,149,440,12,19,28,17,22,43,322,195,514,914,949,1863,142,192,335,629,669,1298,377,425,800
UCL215077,686,731,1414,216,116,336,94,203,299,27,18,49,16,5,21,352,338,700,262,326,584,4.5,1.2,2.9,51.8,47,49.4,49.5,46.5,47.9,13,25,39,19,20,43,75,122,196,77,99,173,171,81,255,9,15,22,12,16,23,190,109,300,573,613,1192,147,152,292,336,366,695,356,371,725
UCL215078,722,752,1469,410,183,594,87,270,358,25,45,69,21,24,40,540,523,1065,146,205,356,3.5,4.4,3.9,75.3,69.5,72.3,72.6,66.4,69.5,9,21,28,7,19,30,38,89,131,43,120,165,289,135,425,4,10,17,10,17,22,304,166,466,838,834,1674,76,75,159,612,607,1219,238,259,497
UCL215079,867,967,1835,296,147,443,92,222,315,26,35,65,20,18,37,439,422,857,360,461,824,4.1,4.3,4.2,50.6,43.7,46.9,48.5,41.8,45,4,11,17,4,19,24,34,87,122,40,81,121,205,128,329,9,14,28,11,18,28,224,163,383,822,902,1725,92,102,190,619,652,1273,249,298,548
UCL215080,828,905,1733,361,205,560,88,246,331,28,42,72,27,9,43,502,500,1005,294,369,661,5.3,2.6,4,61,55.1,57.9,57.7,53.6,55.6,7,16,27,3,30,33,44,95,144,56,115,169,298,168,461,13,22,37,13,26,37,319,214,536,831,884,1718,178,166,348,512,551,1062,439,437,876
UCL215081,1683,1828,3507,705,410,1111,190,446,633,65,61,127,47,25,65,1000,938,1938,546,757,1306,4.5,2.6,3.6,59.7,51.2,55.3,57,49.9,53.3,38,50,85,23,56,79,137,238,372,114,204,320,431,223,654,17,30,44,21,28,46,468,280,740,1694,1739,3428,225,232,457,1128,1156,2285,674,753,1426
UCL215082,859,845,1704,452,201,653,87,273,365,40,66,106,11,9,23,594,554,1150,216,257,475,1.8,2.2,2,69.4,65.6,67.5,68.1,64.2,66.2,16,17,31,18,48,66,68,125,198,61,111,178,315,146,461,12,17,28,10,16,23,337,180,511,886,891,1777,171,150,320,582,596,1178,403,384,795
UCL215083,802,904,1713,317,163,482,88,207,294,41,42,84,9,24,33,457,429,893,305,415,715,2.8,4.6,3.7,57,47.8,52.2,55.4,45.6,50.2,16,18,29,9,26,38,44,88,130,47,86,131,203,125,333,9,13,24,11,13,24,223,160,383,784,854,1638,100,113,217,546,603,1152,303,321,623
UCL215084,530,540,1066,190,100,294,56,130,187,17,32,55,17,13,34,293,282,568,205,234,437,6.2,5.7,6,54.7,51.8,53.2,51.3,48.8,50,5,5,10,0,4,6,18,42,59,33,52,81,145,96,238,0,8,18,10,10,17,156,115,273,538,550,1082,75,76,149,386,388,777,186,200,388
UCL215085,488,432,918,232,117,352,46,127,171,33,24,56,14,8,20,322,279,604,117,136,258,3.7,3.2,3.5,66.7,64.1,65.5,64.3,62,63.2,4,7,11,5,11,13,24,54,77,34,48,83,176,85,259,3,12,14,4,11,12,188,104,292,512,457,968,69,58,125,357,317,680,194,166,365
UCL215086,1416,1644,3063,619,321,939,172,423,596,53,83,135,32,33,65,871,859,1733,468,683,1154,3.7,3.6,3.6,61.6,52.3,56.6,59.4,50.5,54.6,27,43,68,27,54,83,104,212,320,97,168,266,452,245,693,13,20,37,23,38,51,489,305,783,1492,1653,3148,209,222,429,940,1028,1970,654,760,1412
