UCL_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
UCL215060,10,0,26,16,9,5,8,6,0,74,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,7,0,0,17,4,0,6,8,3,0,3,7,0,38,78,158,151,137,76,52,47,76,11,792
UCL215061,8,4,16,13,0,3,0,8,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,8,0,4,7,0,0,7,3,6,26,69,97,100,84,52,19,25,60,8,518
UCL215062,0,0,7,3,4,7,0,3,0,28,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,5,0,3,3,6,0,8,0,6,3,27,46,89,67,66,29,22,13,41,7,389
UCL215063,3,0,6,10,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,11,45,71,58,50,28,19,23,32,3,315
UCL215064,5,0,12,5,0,3,7,6,0,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,9,0,0,0,6,4,0,4,12,4,24,70,121,74,78,45,19,32,68,11,529
UCL215065,6,0,27,15,10,5,0,12,0,81,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,6,7,3,0,0,5,5,0,5,7,10,41,105,195,152,142,88,39,39,104,25,906
UCL215066,3,0,8,5,0,3,3,3,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,3,0,0,5,3,3,4,29,32,79,48,72,36,20,21,45,7,356
UCL215067,3,0,3,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,7,0,0,11,50,59,42,36,16,4,25,19,3,254
UCL215068,6,0,23,11,3,7,0,11,0,60,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,3,10,4,0,8,4,10,0,0,5,3,28,103,186,120,128,80,52,24,43,18,753
UCL215069,14,0,28,20,3,4,0,5,0,75,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,15,7,4,3,4,3,3,0,0,8,30,211,357,138,125,89,37,20,52,21,1059
UCL215070,4,0,19,5,5,3,6,9,0,51,0,0,0,0,0,0,0,3,0,8,0,0,3,4,0,0,0,0,0,11,0,0,5,9,3,5,8,8,9,41,66,112,132,110,70,46,55,90,19,693
UCL215071,5,0,20,3,15,3,0,3,0,53,0,0,0,0,0,0,0,0,0,0,6,9,9,3,8,6,3,3,0,38,0,4,4,0,7,0,0,0,19,37,197,378,274,158,162,60,56,42,29,1359
UCL215072,3,0,4,5,3,0,0,5,0,28,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,5,0,3,5,0,0,0,0,0,4,19,20,49,67,57,46,27,31,15,22,92,24,379
UCL215073,6,0,12,16,4,4,4,7,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,11,9,0,11,0,0,3,6,8,8,37,73,130,104,105,51,22,47,64,11,604
UCL215074,13,3,23,12,13,13,8,13,3,103,0,0,0,0,0,0,0,0,0,0,3,4,5,6,6,0,7,4,0,32,4,0,14,3,9,0,6,4,3,51,203,387,411,196,217,81,81,107,32,1717
UCL215075,0,0,8,0,0,5,0,4,0,28,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,9,0,0,0,9,6,3,25,23,57,78,61,22,21,14,34,12,321
UCL215076,5,0,17,11,4,0,3,14,0,59,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,12,0,0,0,3,0,3,3,6,7,29,99,149,110,89,80,28,43,77,10,691
UCL215077,9,6,9,0,3,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,93,137,69,63,57,15,21,23,9,489
UCL215078,7,0,16,4,8,9,6,3,0,50,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,10,4,0,5,0,0,0,0,0,8,15,84,133,192,82,73,29,26,39,9,674
UCL215079,5,0,13,10,7,3,0,4,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,5,3,3,3,3,7,0,21,74,97,66,95,53,22,18,52,8,479
UCL215080,4,0,17,6,4,5,5,6,0,47,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,12,3,3,3,7,3,0,0,0,5,24,65,129,138,134,62,23,38,55,10,663
UCL215081,11,4,19,16,7,4,3,10,0,74,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,9,6,0,20,3,0,4,0,4,0,9,3,4,30,167,307,210,181,131,48,62,102,15,1225
UCL215082,4,0,10,16,8,4,0,3,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,0,0,4,0,0,0,3,0,14,74,196,181,126,87,28,41,53,15,797
UCL215083,0,0,13,9,3,3,0,8,0,34,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,3,0,0,0,12,0,6,3,5,0,4,7,5,0,26,55,91,88,110,47,28,40,54,11,525
UCL215084,3,0,4,6,5,0,3,8,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,3,3,0,6,0,4,0,16,27,49,58,52,28,27,27,43,3,320
UCL215085,0,0,4,0,8,0,0,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,6,0,3,0,15,42,60,108,53,43,19,24,26,4,390
UCL215086,12,0,14,9,9,6,0,5,0,60,0,0,0,0,0,0,0,0,0,4,4,0,0,0,3,0,0,4,0,18,3,0,6,5,3,5,3,12,5,41,129,276,199,159,136,45,61,86,8,1101
UCL215087,3,0,14,7,0,0,0,3,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,6,0,0,4,3,8,0,20,80,95,147,74,62,26,46,25,8,558
UCL215088,0,6,7,5,0,0,0,7,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,4,0,0,0,0,0,4,11,67,153,74,92,46,17,19,45,14,524
UCL215089,5,0,17,3,4,0,0,5,0,29,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,3,0,0,14,0,0,5,5,0,4,5,3,3,27,68,119,98,107,42,30,23,41,15,549
UCL215090,5,0,10,4,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,7,3,0,19,0,0,6,4,0,0,3,8,0,21,71,138,146,87,53,28,37,50,7,614
UCL215091,7,0,4,6,6,0,0,4,4,22,0,0,0,0,0,0,0,0,0,0,3,4,0,4,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,7,146,170,102,44,92,26,8,18,10,617
UCL215092,9,4,12,7,5,3,0,6,0,45,0,0,0,0,0,0,0,0,0,0,9,12,7,3,4,0,0,4,0,34,0,0,5,4,3,3,0,3,0,27,286,643,195,174,153,62,20,52,22,1600
UCL215093,12,0,42,21,12,8,7,11,0,107,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,14,5,3,9,3,3,5,5,8,3,40,137,205,434,232,145,67,81,108,4,1423
UCL215094,0,0,6,4,3,3,0,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,3,0,0,0,0,0,0,7,48,66,54,47,36,14,15,16,5,297
UCL215095,4,0,4,9,0,3,0,5,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,4,6,13,21,53,70,70,33,13,19,36,10,313
UCL215096,13,0,16,5,12,5,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,7,3,3,0,0,4,21,107,186,184,100,110,46,33,35,8,824
UCL215097,8,0,20,10,12,5,0,13,4,77,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,3,0,17,0,5,7,5,0,5,5,8,0,34,102,131,231,138,113,51,45,83,21,926
UCL215098,9,0,10,8,0,0,0,3,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,0,0,0,0,0,0,0,12,44,84,90,78,34,19,28,34,4,417
UCL215099,0,0,15,3,4,3,0,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,5,3,0,0,4,0,18,35,76,69,58,36,19,22,40,5,355
UCL215100,0,0,12,5,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,0,0,3,0,0,0,15,29,76,58,52,30,22,17,22,0,308
UCL221001,4,0,8,3,5,5,0,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,3,17,28,44,52,31,24,17,17,25,10,241
UCL221002,4,0,5,0,0,0,0,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,4,11,43,60,58,31,24,11,14,24,0,265
UCL221003,0,0,3,5,0,4,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,3,16,30,37,29,16,12,20,14,0,170
UCL221004,3,0,4,0,5,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,5,81,124,75,25,58,9,19,16,13,423
UCL221005,5,0,9,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,47,58,27,23,15,7,8,10,3,200
UCL221006,0,0,11,4,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,12,35,69,46,26,28,8,7,8,4,228
UCL221007,0,0,4,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,3,11,10,44,31,16,18,7,9,14,4,158
UCL221008,4,0,0,0,0,0,0,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,10,40,46,22,25,13,4,16,18,4,179
UCL221009,0,0,7,0,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5,4,0,13,11,46,48,32,14,8,13,11,3,189
UCL221010,0,0,6,8,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,12,26,31,32,39,13,9,10,9,3,179
UCL221011,0,0,4,4,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,34,67,52,22,37,10,11,13,4,247
UCL221012,0,0,8,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,3,4,0,5,0,0,0,9,21,50,31,17,14,7,0,4,0,165
UCL221013,0,0,5,3,0,0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,27,53,20,19,9,14,20,6,191
UCL221014,4,0,5,0,6,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,4,0,0,0,5,0,8,52,85,47,38,38,15,4,19,6,311
UCL221015,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,3,43,59,31,7,14,10,0,9,3,180
UCL221016,3,0,0,3,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,8,40,77,68,56,57,17,13,16,0,346
UCL221017,3,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,9,23,36,45,48,28,13,15,17,4,236
UCL221018,0,0,6,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,14,33,45,34,34,17,12,10,24,0,221
UCL221019,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,66,32,38,20,14,7,15,3,223
UCL221020,0,0,12,4,4,4,0,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,16,45,26,29,13,12,8,19,0,171
UCL221021,0,0,5,5,0,8,0,5,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,11,24,50,40,46,11,18,11,32,3,236
UCL221022,5,0,8,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,30,47,38,18,21,6,10,15,0,184
UCL221023,0,0,3,0,0,5,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,6,0,7,9,9,15,23,7,7,9,17,0,102
UCL221024,3,0,4,3,5,0,0,5,0,26,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,3,0,6,0,0,0,0,0,0,14,42,78,36,37,38,14,15,17,0,271
UCL221025,0,0,8,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,19,43,16,33,15,3,5,16,8,154
UCL221026,0,0,3,6,4,0,0,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,22,22,33,35,11,16,4,13,3,158
UCL221027,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,4,0,0,11,21,31,24,20,13,3,13,16,0,146
UCL221028,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,69,98,15,16,23,16,3,11,0,252
UCL221029,0,0,5,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,4,0,5,10,20,47,56,32,24,8,29,23,11,239
UCL221030,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,7,12,23,16,10,12,9,8,3,3,89
UCL221031,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,38,51,55,26,28,9,12,11,4,232
UCL221032,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,22,45,23,23,10,9,12,5,3,155
UCL221033,5,0,0,0,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,32,13,19,5,5,5,10,3,111
UCL221034,4,5,0,4,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,6,0,7,0,0,0,3,15,25,44,65,41,39,21,23,14,8,279
UCL221035,0,0,0,3,0,3,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,22,15,30,18,12,10,17,0,128
UCL221036,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,4,0,0,0,11,37,85,53,27,35,20,17,21,6,298
UCL221037,0,0,7,4,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,49,20,24,22,6,10,11,0,171
UCL221038,4,0,5,0,4,5,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,8,0,0,3,0,0,0,3,0,3,12,35,53,86,48,35,13,12,16,4,309
UCL221039,5,0,3,5,4,0,0,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,5,0,0,0,0,4,0,9,33,45,39,47,27,8,8,19,0,228
UCL221040,0,0,4,5,0,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,28,44,41,30,15,9,4,7,3,189
UCL221041,0,0,5,3,3,0,0,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,3,0,0,4,10,22,37,58,38,19,14,19,18,5,231
UCL221042,0,0,10,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,14,17,31,28,13,9,3,6,25,8,140
UCL221043,0,0,0,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,7,21,18,32,28,13,8,4,10,0,137
UCL221044,5,0,8,3,0,3,0,7,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,4,0,4,0,0,0,0,5,0,14,54,60,53,33,29,13,4,38,0,291
UCL221045,0,0,0,3,0,0,0,5,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,39,113,38,25,22,9,13,14,0,277
UCL221046,4,0,9,6,8,3,0,4,0,34,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,5,0,0,0,0,3,3,0,0,0,12,48,109,105,99,63,27,23,41,5,514
UCL221047,0,0,0,0,3,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,10,31,54,67,31,38,15,5,11,0,258
UCL221048,0,0,3,0,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,3,9,0,14,25,30,31,12,22,10,7,24,4,165
UCL221049,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,0,0,0,0,0,0,9,49,89,62,37,25,7,0,10,0,295
UCL221050,0,0,5,6,3,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,3,0,0,4,0,0,0,10,14,46,38,42,22,9,9,9,5,194
UCL221051,4,0,0,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,10,25,44,18,23,19,5,14,18,0,175
UCL221052,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,0,0,8,0,0,14,19,22,44,17,24,3,10,14,9,170
UCL221053,0,0,3,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,40,24,28,11,10,0,10,0,152
UCL221054,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,25,55,35,28,13,8,14,11,3,193
UCL221055,0,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,0,0,0,16,57,81,37,21,30,20,4,12,0,265
UCL221056,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,15,15,3,3,7,17,0,79
UCL221057,4,0,3,6,0,8,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,5,7,29,27,64,28,22,14,19,15,5,232
UCL221058,6,0,5,0,9,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,28,52,43,29,15,9,8,9,6,193
UCL221059,3,0,7,0,0,0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,56,59,49,34,28,13,17,25,3,282
UCL221060,0,0,6,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,25,16,22,17,13,0,5,6,115
UCL221061,0,0,3,4,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,42,45,30,15,20,16,6,11,0,182
UCL221062,5,0,4,3,0,0,0,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,16,16,31,22,32,22,8,13,25,6,170
UCL221063,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,20,26,17,13,11,3,7,7,6,113
UCL221064,5,0,10,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,9,38,33,90,43,26,8,5,15,3,260
UCL221065,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,38,60,30,8,19,9,0,9,0,170
UCL221066,0,0,4,8,0,4,0,5,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,9,15,37,57,26,23,13,13,19,5,202
UCL221067,0,0,0,0,0,9,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,8,15,17,23,25,11,21,11,24,0,144
UCL221068,0,0,4,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,36,30,26,15,12,3,4,3,156
UCL221069,0,0,8,3,0,0,0,4,0,23,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,5,37,96,64,44,26,19,3,21,3,325
UCL221070,0,0,3,5,4,0,0,10,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,5,10,0,18,23,49,53,37,33,12,20,40,5,269
UCL221071,0,0,11,0,0,0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,6,0,0,0,3,0,3,16,25,30,47,25,16,8,19,31,8,217
UCL221072,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,31,54,23,18,8,10,11,0,158
UCL221073,0,0,0,4,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,11,21,57,52,30,26,4,4,11,0,192
UCL221074,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,7,9,51,92,34,26,22,8,8,15,7,264
UCL221075,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,5,49,67,39,29,28,20,0,15,7,247
UCL221076,3,0,9,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,6,0,11,43,79,41,29,19,13,6,13,0,244
UCL221077,0,0,4,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,19,37,25,24,17,6,8,12,3,158
UCL221078,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,28,45,15,21,10,11,15,7,177
UCL221079,0,0,4,3,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,12,25,9,6,4,11,0,108
UCL221080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,18,40,35,11,23,6,11,9,3,163
UCL221081,0,0,10,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21,26,24,10,9,7,11,15,0,123
UCL221082,6,0,3,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,0,7,9,53,113,46,37,48,21,20,18,11,361
UCL221083,0,0,3,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,4,0,0,5,4,0,0,0,0,8,66,159,46,35,38,19,13,20,3,393
