UCL_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
UCL222029,..,49,49,29,0,29,10,0,10,15,0,15,0,0,0,0,0,0,53,49,99
UCL222030,..,23,23,32,5,39,11,0,11,11,0,11,0,0,0,7,0,7,59,28,91
UCL222031,..,46,46,49,3,51,8,0,8,14,0,14,7,0,7,0,0,0,82,48,126
UCL222032,..,54,54,50,6,54,15,0,14,9,0,9,6,0,6,0,0,0,76,60,137
UCL222033,..,30,30,47,3,51,15,0,15,20,0,18,4,0,4,0,0,0,83,34,121
UCL222034,..,55,55,36,0,36,22,0,22,15,0,15,8,0,8,0,0,0,81,57,137
UCL222035,..,56,56,63,6,63,15,0,15,4,0,12,0,0,0,5,0,5,87,64,151
UCL222036,..,30,30,30,0,30,5,0,5,10,0,10,3,0,3,6,0,4,52,33,89
UCL222037,..,16,16,41,0,41,10,0,10,18,0,18,4,0,4,3,0,3,80,18,95
UCL222038,..,11,11,20,0,18,10,0,10,20,0,20,3,0,3,0,0,0,60,10,73
UCL222039,..,15,15,44,0,44,21,0,21,17,0,17,3,0,3,6,0,6,89,15,102
UCL222040,..,50,50,78,0,76,16,0,16,22,0,22,10,0,10,3,0,3,131,54,178
UCL222041,..,29,29,42,0,45,14,0,14,6,0,6,11,0,11,3,0,3,81,28,109
UCL222042,..,39,39,47,3,49,8,0,8,5,0,5,0,0,0,3,0,3,71,38,114
UCL222043,..,66,66,64,0,66,18,0,18,14,0,14,8,0,8,3,0,3,118,68,187
UCL222044,..,75,75,49,0,59,9,0,9,13,0,13,4,0,4,0,0,0,78,77,161
UCL222045,..,9,9,33,0,34,18,0,18,19,0,18,8,0,8,6,0,6,82,11,94
UCL222046,..,49,49,63,5,62,14,0,14,14,0,14,8,0,8,0,0,0,101,59,159
UCL222047,..,37,37,35,9,40,11,0,11,12,0,12,0,0,0,0,0,0,58,47,97
UCL222048,..,30,30,39,4,41,10,0,10,6,0,6,0,0,0,0,0,0,58,31,87
UCL222049,..,41,41,54,3,55,8,0,6,18,0,18,3,0,3,0,0,0,77,42,122
UCL222050,..,68,68,86,6,90,23,0,23,18,0,18,9,0,9,3,0,3,133,72,205
UCL222051,..,64,64,101,3,100,14,0,14,21,0,21,5,0,5,0,0,0,137,72,208
UCL222052,..,36,36,58,9,62,24,0,24,18,0,18,14,0,14,4,0,4,120,38,161
UCL222053,..,55,55,62,7,72,28,3,32,13,0,17,8,0,8,3,0,3,116,68,189
UCL222054,..,24,24,39,0,38,14,0,16,15,0,15,5,0,5,4,0,4,77,26,105
UCL222055,..,70,70,69,4,77,16,0,16,8,0,8,11,0,11,4,0,4,103,71,182
UCL222056,..,20,20,7,4,7,6,0,3,3,0,4,0,0,0,0,6,6,18,31,41
UCL222057,..,37,37,31,3,37,16,0,16,22,0,22,8,0,8,3,0,3,83,44,120
UCL222058,..,13,13,9,7,15,4,0,4,3,0,3,0,0,0,0,5,4,11,23,36
UCL222059,..,19,19,30,0,36,10,0,13,9,0,9,4,0,4,0,0,0,61,22,82
UCL222060,..,44,44,30,0,28,9,0,9,7,0,7,3,0,3,0,0,0,50,40,96
UCL222061,..,12,12,29,0,29,13,0,13,22,0,22,4,0,4,0,0,0,62,12,72
UCL222062,..,71,71,70,4,77,19,0,18,11,0,11,5,0,8,0,0,0,106,80,181
UCL222063,..,52,52,82,7,84,21,0,21,14,0,19,10,0,10,0,0,0,129,58,188
UCL222064,..,19,19,18,0,18,8,0,8,18,0,18,7,0,7,5,0,5,62,19,80
UCL222065,..,27,27,29,0,31,9,0,9,11,0,11,3,0,3,0,0,0,55,25,84
UCL222066,..,42,42,49,0,49,13,0,15,12,0,11,7,0,7,0,0,0,71,42,112
UCL222067,..,34,34,42,0,44,12,0,12,4,0,4,0,0,0,0,0,0,57,38,96
UCL222068,..,11,11,20,0,20,14,0,14,16,0,16,7,0,7,0,0,0,56,13,68
UCL222069,..,82,82,67,6,68,16,0,16,20,0,20,7,0,7,5,0,5,117,82,201
UCL222070,..,39,39,38,0,45,7,0,7,12,0,12,3,0,3,5,0,5,55,42,100
UCL222071,..,35,35,55,3,56,24,0,24,14,0,14,14,0,14,0,0,0,106,39,147
UCL222072,..,52,52,68,3,74,15,0,15,4,0,4,6,0,6,0,0,0,93,53,147
UCL222073,..,28,28,22,4,26,14,0,15,9,0,9,6,0,6,7,0,7,54,36,86
UCL222074,..,22,22,23,0,29,6,0,6,10,0,10,4,0,4,4,0,4,46,23,75
UCL222075,..,35,35,65,4,65,17,0,17,24,0,24,18,0,18,7,0,7,127,39,167
UCL222076,..,81,81,57,5,62,21,0,22,17,0,17,11,0,11,8,0,8,113,80,194
UCL222077,..,92,92,84,8,86,24,0,24,10,0,10,10,0,10,0,0,0,125,92,222
UCL222078,..,58,58,38,4,39,14,0,14,16,0,16,5,0,5,3,0,3,69,59,129
UCL222079,..,36,36,61,0,64,31,0,31,29,0,25,13,0,13,5,0,5,134,43,173
UCL222080,..,55,55,57,0,57,19,0,19,9,0,9,6,0,6,0,0,0,93,55,146
UCL222081,..,42,42,45,0,50,7,0,7,7,0,7,4,0,4,0,0,0,67,44,112
UCL222082,..,32,32,21,3,21,15,0,15,7,4,8,6,0,6,0,0,0,49,42,94
UCL222083,..,12,12,24,0,27,15,0,20,20,0,20,3,0,3,0,0,0,63,20,81
UCL222084,..,95,95,66,6,75,14,0,14,12,0,12,9,0,9,3,0,3,104,101,205
UCL222085,..,47,47,44,6,51,11,0,11,15,0,15,7,0,7,0,0,0,78,52,132
UCL222086,..,18,18,50,0,57,18,0,18,22,0,22,5,0,10,7,0,7,107,22,129
UCL222087,..,81,81,83,0,84,21,0,21,19,0,19,9,0,9,0,0,0,131,81,214
UCL222088,..,63,63,45,5,46,9,0,9,7,0,7,0,0,0,3,0,3,65,67,133
UCL222089,..,24,24,40,0,40,17,0,17,5,0,5,5,0,5,3,0,3,65,24,88
UCL222090,..,20,20,24,0,28,8,0,8,14,0,14,4,0,4,0,0,0,56,20,78
UCL222091,..,45,45,47,0,46,27,0,27,25,0,25,15,0,15,0,0,0,114,40,156
UCL222092,..,15,15,26,0,29,23,0,23,23,0,23,10,0,10,3,0,3,92,19,110
UCL222093,..,87,87,68,4,67,22,0,22,13,0,13,3,0,3,0,0,0,108,89,197
UCL222094,..,46,46,59,5,61,21,0,21,8,0,8,4,0,4,4,0,4,95,47,139
UCL222095,..,21,21,24,0,24,15,0,15,10,0,10,3,0,3,0,0,0,51,21,73
UCL222096,..,33,33,43,0,40,26,0,26,30,0,30,10,0,10,3,0,3,116,34,148
UCL222097,..,19,19,31,3,37,14,0,14,22,0,22,11,0,11,10,0,10,82,22,106
UCL222098,..,23,23,47,4,53,18,0,18,20,0,20,11,0,11,0,0,0,102,26,124
UCL222099,..,20,20,33,4,30,16,0,16,9,0,9,3,0,3,8,0,8,58,23,80
UCL222100,..,53,53,45,7,47,8,0,8,7,0,7,0,0,0,0,0,0,61,61,117
UCL222101,..,28,28,38,0,37,3,0,3,21,0,21,5,0,5,0,0,0,76,27,99
UCL222102,..,51,51,56,4,68,18,0,19,22,0,22,11,0,11,5,0,5,111,56,170
UCL222103,..,8,8,21,0,21,5,0,5,19,0,19,9,0,9,3,0,3,60,8,70
UCL222104,..,31,31,45,0,51,19,0,19,11,0,10,4,0,4,6,0,6,84,31,118
UCL222105,..,31,31,31,3,33,12,0,12,10,0,10,3,0,3,0,0,0,61,32,92
UCL231001,..,31273,31273,56910,2484,59395,20277,312,20594,21337,99,21431,11106,28,11138,5362,27,5393,114997,34223,149218
UCL279997,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL299994,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
