UCL_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
UCL214016,2112,2214,4323,411,524,932,17,29,49,625,731,1357,20,23,46,14,15,27,9,4,16,4,5,8,4,3,10,0,3,0,0,0,0,691,815,1508,28,44,71,25,11,39,1161,1394,2553,275,288,558,3539,3899,7434
UCL214017,1139,1320,2462,235,256,494,13,13,28,706,818,1521,12,17,31,4,8,17,3,7,11,5,11,16,12,7,12,9,6,11,0,0,0,762,884,1647,47,40,79,7,4,8,1052,1180,2231,194,202,398,2387,2702,5086
UCL214018,1960,2035,3991,336,365,699,45,38,83,1415,1586,3001,31,30,60,3,0,3,13,19,22,12,15,28,6,13,20,4,0,0,0,0,0,1523,1698,3220,47,52,104,8,13,24,1921,2122,4046,364,381,745,4240,4542,8781
UCL214019,1558,1676,3234,334,380,711,37,26,61,410,442,850,29,34,64,7,10,21,3,6,6,4,3,8,13,7,21,3,0,8,0,0,0,512,522,1033,114,60,173,27,13,45,981,986,1961,295,260,563,2838,2924,5762
UCL214020,1523,1572,3098,396,391,794,11,17,24,268,295,563,11,20,34,18,28,47,10,9,23,3,5,5,0,0,0,0,0,0,0,0,0,333,371,703,100,94,192,17,10,25,852,867,1712,273,268,537,2643,2705,5352
UCL214021,1523,1553,3083,196,228,418,10,14,26,590,703,1291,15,10,27,0,0,0,3,5,0,0,0,3,4,10,9,4,0,4,0,0,0,624,737,1362,17,28,40,17,16,31,852,1001,1850,106,133,243,2489,2692,5178
UCL214022,2089,2310,4397,717,773,1493,23,28,54,610,663,1270,19,17,30,9,10,15,12,17,34,6,11,16,0,0,3,6,8,11,0,0,0,680,746,1428,28,46,76,33,18,46,1460,1588,3052,283,350,630,3831,4248,8080
UCL215001,361,375,736,33,45,82,3,4,4,201,206,405,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,201,219,419,9,8,16,5,5,4,250,270,520,53,52,98,665,691,1358
UCL215002,674,723,1397,154,186,343,13,15,25,169,166,338,9,9,18,4,4,10,5,4,11,3,3,7,0,3,6,0,0,0,0,0,4,201,207,409,18,26,41,8,3,8,388,422,805,77,79,160,1131,1222,2358
UCL215003,738,776,1514,126,125,250,9,9,20,443,489,938,7,14,16,4,5,5,0,8,12,0,0,3,5,7,8,7,0,8,0,0,0,479,526,1000,26,23,49,3,0,9,628,683,1319,107,93,203,1476,1559,3033
UCL215004,344,356,701,105,120,218,8,7,19,126,108,234,5,8,16,0,0,3,9,0,8,0,0,0,0,0,3,0,0,3,0,0,0,151,133,285,20,24,46,0,5,4,274,279,553,94,84,178,716,716,1432
