UCL_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
UCL215001,3,10,7,14,13,29,10,35,0,135,11,33,36,26,31,46,13,29,0,217,3,12,9,10,13,20,6,8,0,75,6,34,14,4,3,7,0,3,0,73,0,17,15,7,7,12,0,0,0,70,4,18,10,3,4,3,3,3,0,56,0,0,0,0,0,5,0,0,0,8,5,23,9,0,0,5,0,0,0,42,0,0,0,0,0,0,0,0,0,3,43,147,96,71,79,126,33,79,0,679
UCL215002,3,10,12,9,28,32,10,38,3,135,11,26,14,10,26,27,4,19,0,137,10,13,11,12,22,56,8,31,0,167,16,31,24,11,29,11,5,9,0,138,4,20,20,17,37,10,3,3,0,123,3,16,6,10,20,12,0,5,0,78,4,8,12,0,16,17,0,13,0,75,6,38,10,11,20,11,6,5,0,113,0,5,0,0,0,6,0,0,4,18,64,166,111,87,197,185,35,124,18,985
UCL215003,19,26,22,28,34,53,26,59,5,269,28,80,69,48,56,75,25,58,5,433,11,21,26,12,37,45,13,12,5,188,29,51,32,11,24,15,5,6,3,174,3,25,26,18,25,21,3,8,0,141,11,47,11,3,22,4,3,5,0,102,0,7,6,6,7,0,0,0,0,27,13,32,16,4,6,7,0,0,0,85,0,9,0,3,0,3,0,4,7,32,114,295,211,129,220,231,81,152,21,1449
UCL215004,14,8,9,9,19,23,6,23,0,110,5,6,9,10,12,18,6,8,0,72,12,15,9,9,25,15,3,10,0,102,12,34,8,4,6,10,0,4,0,75,6,13,12,11,11,9,3,4,0,60,6,17,7,12,9,0,0,0,5,70,3,3,4,0,3,8,3,3,0,31,17,41,15,10,7,4,3,9,3,108,0,0,0,0,5,4,0,0,3,15,68,150,81,65,106,78,27,57,12,651
UCL215005,0,0,3,0,10,12,5,24,3,57,0,9,7,7,4,0,0,3,0,43,0,0,6,0,9,13,4,5,4,43,3,11,10,14,8,3,0,0,0,59,0,6,0,5,4,8,0,0,0,32,4,6,9,0,4,5,0,0,0,29,3,0,4,0,7,10,3,11,0,39,3,8,12,5,8,11,0,10,0,62,0,0,0,0,3,7,0,4,0,13,22,49,55,38,54,67,16,58,12,376
UCL215006,10,9,3,14,21,38,16,36,0,139,10,18,26,18,38,47,20,26,0,200,10,9,9,7,58,57,8,19,4,186,16,27,21,21,21,30,7,11,3,164,6,13,24,10,54,33,9,13,0,164,7,37,23,6,14,12,0,0,0,101,4,5,3,3,11,25,10,20,0,84,8,31,23,12,28,19,9,10,4,144,0,3,0,0,4,3,0,0,0,18,77,150,139,91,246,261,75,134,11,1187
UCL215007,3,18,21,13,41,55,11,44,0,212,17,45,42,28,37,60,19,45,0,295,3,22,22,7,33,54,12,20,0,183,17,30,16,12,16,12,0,3,0,108,8,30,21,15,21,13,0,0,4,125,13,38,13,9,5,4,0,5,0,89,0,4,0,4,3,6,7,0,0,23,10,22,11,6,8,13,3,9,0,83,0,7,0,0,0,5,0,0,10,16,77,207,146,92,171,221,64,127,24,1129
UCL215008,5,6,10,0,15,34,16,36,0,130,3,24,22,26,53,38,9,32,0,201,3,7,9,11,28,59,11,39,3,170,12,29,23,18,29,18,8,6,7,140,11,14,20,7,42,31,8,5,0,144,6,36,13,5,12,4,0,4,0,82,6,3,6,9,16,13,3,26,0,72,3,22,4,3,16,20,3,7,0,73,3,6,0,0,0,3,0,4,5,15,49,143,108,69,213,219,61,153,12,1035
UCL215009,3,0,6,4,9,7,4,15,0,39,4,5,5,4,12,7,5,10,0,39,5,6,6,3,3,15,3,4,0,48,0,12,9,9,6,6,0,0,0,45,0,8,6,3,5,8,0,0,0,34,0,12,9,0,3,3,0,0,0,34,0,5,3,0,3,11,3,11,0,39,0,8,10,7,11,12,0,0,0,51,0,4,0,0,0,0,0,0,0,4,16,57,59,25,51,63,21,40,8,335
UCL215010,4,8,21,10,38,51,18,68,6,214,14,36,39,28,34,44,11,37,4,241,7,10,18,9,41,75,16,51,3,231,7,41,16,0,8,7,3,4,0,99,6,33,39,18,30,25,6,10,6,171,17,38,24,6,9,13,3,4,3,120,0,4,4,0,9,3,5,10,0,36,3,29,9,9,8,18,4,6,0,92,3,4,0,4,0,0,0,3,0,21,62,212,168,88,178,237,69,186,20,1222
UCL215011,3,0,5,3,5,8,9,14,0,43,3,7,4,4,7,17,4,7,0,57,5,11,6,0,17,15,3,3,3,66,11,14,7,5,13,17,0,0,0,68,4,9,4,0,3,8,4,3,0,39,3,18,3,3,11,0,0,4,0,45,4,6,0,3,0,8,6,4,0,32,0,21,6,0,16,15,5,5,4,74,0,0,0,0,3,3,0,0,4,13,33,83,40,29,69,97,27,43,13,437
UCL215012,8,17,19,15,38,49,14,66,0,237,25,46,72,50,69,86,27,40,7,421,11,20,11,21,41,40,7,23,0,182,23,53,41,15,24,28,6,17,3,219,4,19,21,18,29,16,6,4,0,112,19,31,17,6,13,8,3,4,3,113,4,9,9,3,9,16,5,9,0,53,15,47,20,11,26,18,9,8,4,157,0,0,7,4,4,0,0,0,0,14,114,248,216,140,256,260,67,169,21,1506
UCL215013,5,7,13,13,58,78,25,42,4,237,21,19,36,38,73,78,20,29,5,319,20,14,18,12,92,92,42,51,3,355,22,45,36,40,54,43,5,6,7,251,19,25,41,24,115,69,4,15,0,315,13,42,24,7,38,32,4,10,5,177,7,8,24,11,48,52,26,53,4,233,12,48,26,19,43,36,8,23,5,204,0,7,9,0,14,10,0,5,5,47,122,206,223,164,536,482,139,237,29,2136
UCL215014,5,0,0,4,13,14,8,12,0,48,4,4,9,6,12,14,5,4,5,61,9,4,7,12,32,44,6,15,3,133,4,15,19,9,15,8,3,0,0,82,7,21,20,3,25,12,3,6,0,97,3,27,11,0,13,5,0,0,0,54,0,6,0,7,14,21,3,14,0,75,3,10,7,8,19,21,5,6,0,78,0,0,0,4,0,0,0,0,3,13,34,81,73,52,151,138,35,63,9,636
UCL215015,11,28,21,16,53,53,13,30,0,235,11,20,34,38,42,42,16,36,0,245,13,23,15,19,33,37,8,18,8,167,29,43,14,5,16,14,9,8,0,143,6,14,15,9,17,16,0,0,0,87,10,40,20,12,19,5,5,0,0,106,9,10,0,5,6,4,7,4,0,36,20,33,21,13,12,10,3,5,3,114,0,4,0,0,4,3,0,0,0,20,104,211,151,117,196,178,63,110,20,1150
UCL215016,7,8,9,5,35,47,15,40,3,176,15,25,22,23,60,51,15,34,3,250,17,28,15,22,86,97,34,40,8,340,18,47,44,25,45,31,12,9,0,229,10,27,26,23,51,47,7,13,0,211,14,50,33,5,20,14,0,7,8,156,14,18,13,11,39,50,26,41,3,214,17,45,33,12,54,51,15,32,9,263,3,4,4,0,6,3,0,3,14,50,118,259,205,133,394,391,128,220,44,1891
UCL215017,3,7,9,4,28,41,10,23,9,133,12,20,30,12,25,43,15,28,0,178,9,25,18,9,61,100,22,31,8,285,18,35,25,21,22,13,5,14,3,157,11,37,30,18,36,19,10,6,4,167,7,30,14,5,11,8,3,4,9,88,6,9,4,5,13,17,14,20,3,98,6,33,19,4,17,21,4,16,4,130,4,9,3,0,6,7,0,0,5,38,76,195,151,82,225,272,77,152,42,1272
UCL215018,3,16,0,5,17,32,7,41,3,134,16,16,18,34,37,39,12,24,0,206,3,14,10,11,31,61,14,33,0,180,9,44,33,15,12,21,0,11,6,148,6,14,22,11,29,15,3,7,0,115,6,40,21,14,12,11,7,0,0,105,8,8,4,0,26,26,10,19,0,96,3,50,22,13,19,29,12,19,9,180,0,3,0,0,4,3,0,5,5,20,57,202,137,102,190,234,70,178,24,1187
UCL215019,8,16,15,11,24,29,15,33,0,143,11,27,38,16,36,52,16,23,6,227,6,20,28,18,41,51,9,15,0,193,27,34,30,9,13,19,3,9,0,148,8,26,20,13,20,13,3,4,0,109,10,29,15,7,14,6,6,3,0,88,5,9,6,0,3,8,4,3,0,32,10,44,15,7,17,9,0,8,0,112,5,9,0,0,0,0,0,0,9,15,90,199,160,75,177,187,63,107,12,1069
UCL215020,0,3,4,5,5,8,4,23,0,51,10,8,0,8,3,18,7,9,0,63,6,8,5,0,13,10,0,6,0,50,10,15,15,6,16,13,3,6,4,88,0,5,9,6,5,6,5,0,0,35,3,11,11,3,6,7,0,0,0,44,5,0,8,0,3,4,3,22,0,46,5,10,9,10,14,19,4,0,3,79,0,0,5,0,3,0,0,0,8,10,34,62,61,42,75,83,30,66,15,465
UCL215021,6,3,0,5,8,16,7,12,0,50,4,15,10,5,22,17,3,3,0,81,5,4,3,7,24,27,4,10,0,83,8,11,20,13,15,8,3,0,4,73,7,10,3,0,17,5,6,0,0,54,3,23,3,9,12,7,0,0,0,61,0,9,0,5,12,16,6,9,0,58,3,3,11,5,14,16,3,3,0,59,0,0,0,0,0,3,0,0,0,6,34,84,54,44,109,107,29,51,13,534
UCL215022,0,8,14,6,48,38,13,32,0,159,19,31,32,31,52,51,9,31,3,245,13,30,14,11,65,83,17,30,4,252,24,47,48,40,53,14,9,10,5,256,5,28,37,33,58,28,3,17,0,209,20,58,34,20,29,13,5,4,3,188,5,11,5,8,39,32,15,20,4,137,13,64,33,25,30,36,12,13,4,233,0,0,0,0,0,5,5,0,10,22,105,280,209,165,370,300,84,155,36,1711
UCL215023,3,4,3,4,14,13,10,10,0,61,0,8,3,16,19,5,5,8,0,63,4,8,6,0,19,25,6,11,3,74,9,13,13,10,15,6,0,0,3,73,0,3,9,5,7,11,0,5,0,48,3,23,12,4,8,5,0,3,0,65,8,8,9,3,0,29,10,18,4,84,10,33,19,3,16,31,22,9,6,146,0,0,0,0,0,0,0,0,3,8,36,91,73,63,96,131,46,75,24,627
UCL215024,0,6,9,7,12,23,10,12,3,76,8,13,10,7,23,24,0,14,0,100,4,6,9,5,29,26,9,11,0,96,4,11,17,5,9,11,8,10,3,72,0,13,20,11,14,16,3,0,0,74,4,15,5,11,14,9,0,0,0,53,0,4,3,0,10,12,3,13,0,59,7,22,9,7,14,24,9,10,5,94,0,0,0,0,0,0,0,0,9,11,25,91,74,57,131,131,33,74,17,645
UCL215025,0,3,8,0,5,13,5,10,0,44,9,18,3,6,13,12,0,4,0,61,5,4,4,6,22,24,0,7,0,74,10,13,15,6,5,8,3,3,5,51,0,5,8,4,13,15,0,0,0,47,5,10,5,3,4,4,0,0,0,38,0,0,4,0,4,11,0,6,0,36,4,15,5,8,8,9,3,4,0,44,0,0,0,0,0,0,0,0,4,15,30,67,58,30,73,89,15,42,11,412
UCL215026,4,0,5,0,6,8,3,7,0,37,5,6,9,5,15,7,0,12,0,57,7,5,9,5,17,26,0,8,6,72,0,11,7,5,5,7,0,0,5,45,0,8,9,6,12,5,0,0,0,50,0,10,10,0,13,7,0,0,0,41,0,6,3,3,4,10,5,6,0,32,8,20,7,4,5,7,4,0,4,67,0,0,0,0,0,0,0,0,8,13,35,69,58,32,70,79,19,43,19,416
UCL215027,0,8,3,5,3,16,3,14,0,63,7,7,4,11,15,16,5,13,0,76,0,0,7,3,11,18,7,13,0,55,6,9,17,6,9,10,0,0,0,56,0,10,3,4,14,14,0,0,0,52,0,17,9,0,5,3,0,0,0,31,0,0,3,0,4,7,0,11,0,34,0,21,11,3,9,9,0,7,7,79,0,0,0,0,0,0,0,0,3,10,20,79,67,32,76,99,21,59,15,462
UCL215028,9,10,11,5,15,33,13,24,0,127,9,18,34,29,28,30,9,15,0,173,11,17,16,20,46,59,19,27,5,205,16,33,19,21,13,15,0,8,6,125,10,16,19,16,27,13,0,9,0,110,3,33,15,7,9,5,0,4,4,88,0,3,5,5,11,17,3,12,0,67,6,45,22,8,27,15,9,8,0,133,4,0,0,0,4,0,0,0,0,14,73,173,131,106,179,189,57,110,12,1037
UCL215029,16,24,25,33,43,53,27,73,0,298,3,57,59,51,50,75,22,37,0,356,6,42,23,20,52,52,13,33,5,241,29,65,38,23,29,28,4,12,3,233,10,30,29,16,32,17,8,4,0,151,4,35,20,7,22,9,4,6,0,109,0,4,5,6,9,9,0,3,0,48,15,60,42,10,16,15,0,6,0,175,0,0,4,0,0,3,0,3,11,25,92,330,253,170,255,258,76,172,19,1626
UCL215030,0,5,0,0,10,8,3,9,0,46,0,9,11,6,13,15,5,9,0,69,0,4,4,3,17,20,0,4,0,55,3,17,15,17,8,4,0,3,0,71,0,3,4,9,14,14,0,3,0,43,10,6,8,3,3,7,0,7,0,41,4,0,7,8,24,12,4,9,0,63,4,5,7,4,24,3,3,4,0,59,0,0,0,0,0,0,0,0,0,8,22,53,58,50,115,78,20,45,13,459
UCL215031,0,13,4,0,8,13,15,24,3,76,6,9,5,0,12,27,5,16,0,79,0,8,3,0,12,21,3,8,0,63,8,15,15,14,3,12,0,0,0,64,0,10,5,8,6,7,0,0,0,39,0,15,4,0,6,10,0,3,0,42,6,3,0,0,6,11,6,10,0,44,0,22,13,13,22,24,3,0,0,101,0,0,0,0,0,0,0,0,3,10,29,81,51,48,69,122,32,69,14,523
UCL215032,9,10,12,13,27,41,11,24,0,137,18,17,23,22,32,51,8,24,8,196,13,24,14,15,41,54,9,23,0,191,12,30,18,20,12,20,5,7,0,132,13,19,27,15,21,21,3,0,3,123,14,21,12,12,23,18,0,4,0,110,10,11,5,3,14,17,3,13,0,77,22,52,21,13,23,31,9,10,5,183,0,3,4,6,3,9,0,4,12,37,98,180,127,128,189,258,48,123,31,1187
UCL215033,6,9,3,8,51,71,25,49,0,222,10,22,23,29,59,78,26,38,3,289,4,15,13,7,56,72,23,40,0,231,15,25,30,13,26,22,0,17,0,150,12,22,37,23,66,45,10,17,0,232,11,58,22,4,23,22,9,14,0,165,11,0,3,4,22,28,15,26,0,103,7,23,9,0,14,20,0,10,0,81,0,0,5,0,7,3,0,0,8,20,80,176,137,98,323,353,110,215,16,1494
UCL215034,0,4,8,4,7,13,5,15,0,50,0,10,6,8,12,11,8,10,0,73,0,10,3,0,11,15,0,3,6,52,9,16,10,10,7,6,3,4,0,65,0,12,5,7,12,7,0,0,0,42,6,18,9,4,4,0,3,0,0,50,3,0,4,0,3,3,0,3,0,22,9,14,6,9,3,14,0,5,0,64,0,0,0,0,3,0,0,0,0,5,30,79,60,46,61,70,24,34,11,415
UCL215035,8,7,12,4,14,12,9,23,0,88,5,18,11,17,21,29,8,12,0,123,0,11,7,11,40,50,18,31,5,174,10,23,18,6,9,4,0,0,3,68,4,28,20,7,25,12,4,4,0,107,0,24,4,10,6,4,0,4,0,52,7,6,3,3,4,16,6,13,0,56,7,16,12,3,15,25,3,0,6,79,3,5,0,0,0,4,0,6,7,22,40,126,87,59,139,157,45,91,16,765
UCL215036,0,3,0,3,3,10,10,26,0,62,5,12,9,12,17,19,8,17,0,107,7,3,4,4,38,29,8,12,4,122,12,25,12,16,6,8,0,0,4,76,5,15,10,6,10,6,6,0,0,53,4,17,11,3,4,3,0,0,0,42,0,0,3,0,3,13,3,5,6,44,5,13,5,6,5,5,3,3,5,54,0,0,0,0,0,5,0,0,0,15,44,92,63,53,95,111,34,69,23,574
UCL215037,0,4,3,4,10,10,9,11,0,49,4,9,8,7,19,13,3,8,0,70,3,3,7,4,22,41,15,12,0,111,8,17,16,10,14,3,0,0,0,73,0,16,13,3,18,17,4,0,0,71,3,10,13,6,11,7,3,0,0,54,3,0,0,0,10,17,3,18,6,62,3,15,9,8,7,10,0,9,8,69,0,0,0,0,4,0,0,0,6,9,28,82,68,42,115,120,34,57,17,562
UCL215038,5,15,3,4,10,26,4,22,0,85,7,5,5,9,22,14,6,6,0,82,5,13,11,0,25,32,0,5,0,96,5,12,14,7,6,3,3,0,0,51,6,12,11,4,15,6,0,8,0,56,3,12,14,7,8,0,5,0,0,55,0,0,6,0,7,15,3,18,4,56,5,24,13,10,19,15,3,10,0,91,3,0,0,3,0,0,0,5,7,18,34,101,72,49,98,119,28,68,18,589
UCL215039,3,4,0,0,6,14,4,16,0,57,3,3,5,7,13,6,0,12,0,49,5,7,0,0,15,29,7,11,0,73,6,12,16,3,5,3,0,3,0,58,0,9,15,3,7,15,0,4,0,58,3,18,5,4,11,3,0,0,0,55,0,10,4,0,10,19,10,14,0,61,9,23,7,10,18,8,4,11,9,92,0,0,0,0,3,3,0,4,6,13,33,86,57,36,91,112,27,68,10,518
UCL215040,4,5,4,3,9,14,5,8,0,49,0,3,5,8,15,6,0,0,0,42,0,6,6,6,8,25,3,6,0,64,5,6,10,7,21,0,3,6,0,64,0,4,14,8,10,7,4,0,0,47,0,17,9,0,4,0,0,3,0,49,5,0,0,0,12,22,5,23,4,73,3,21,17,7,16,10,4,7,0,76,0,0,0,0,0,3,0,0,7,14,21,64,75,35,96,89,21,52,16,475
UCL215041,5,4,11,3,18,45,19,52,0,170,15,17,20,28,40,44,24,29,0,224,9,16,12,14,48,67,14,29,0,219,16,33,37,21,22,14,5,11,3,171,0,24,23,16,33,25,3,3,0,134,6,36,30,16,28,16,4,11,0,139,8,13,9,0,18,30,12,15,3,100,7,39,20,24,33,36,8,11,8,181,3,0,3,0,9,8,0,6,12,35,70,188,165,125,241,282,97,167,26,1359
UCL215042,4,7,3,5,15,20,4,15,4,76,8,13,13,11,20,15,3,19,0,103,3,19,16,11,30,40,8,23,6,153,20,22,14,6,16,8,3,4,6,89,4,8,12,9,9,10,0,3,0,57,3,7,0,0,4,7,5,0,4,34,0,0,0,0,10,16,4,4,0,43,5,22,8,5,3,10,0,3,0,51,3,0,0,0,0,0,0,0,9,14,47,96,64,40,111,124,36,68,21,621
UCL215043,8,6,14,10,26,34,9,42,0,150,9,21,19,18,29,25,3,20,5,155,10,12,22,16,83,104,29,46,11,335,15,34,43,30,33,19,8,10,6,203,12,34,25,17,63,48,10,16,0,217,7,38,16,14,26,23,5,9,0,136,4,11,10,7,37,42,21,49,3,186,11,34,28,16,50,35,15,16,4,220,4,3,3,0,9,4,0,8,4,32,77,209,185,133,360,335,100,211,38,1637
UCL215044,6,8,8,5,13,24,5,24,0,92,14,16,18,24,31,22,6,12,0,143,3,9,3,10,27,38,3,29,3,126,15,32,31,13,22,20,0,3,4,135,0,12,22,10,14,14,0,0,6,71,6,33,12,4,16,11,0,3,3,87,0,7,4,0,13,12,3,5,0,52,7,22,10,13,16,20,6,10,4,102,0,0,0,0,0,0,0,0,6,10,57,132,112,75,147,154,33,90,25,817
UCL215045,4,12,16,15,26,39,17,40,6,178,8,22,38,40,37,34,13,17,4,203,12,18,16,15,62,81,15,50,7,270,23,59,59,34,29,14,5,8,3,231,12,22,26,20,34,33,0,12,0,165,14,61,28,9,27,17,3,0,0,162,4,11,9,6,22,22,12,30,0,127,11,48,29,19,46,31,9,21,9,230,4,3,0,0,6,7,0,0,9,30,90,259,225,158,290,282,76,182,35,1591
UCL215046,4,3,4,3,17,26,12,24,0,92,9,15,14,6,32,41,14,22,0,152,3,15,8,12,24,46,10,19,4,148,14,17,22,15,10,11,6,7,0,102,0,14,16,16,26,25,8,6,0,109,4,17,19,5,4,9,0,0,0,59,4,0,5,0,14,13,10,6,0,58,3,22,10,4,12,12,3,6,5,76,0,3,0,0,0,5,0,0,5,24,50,118,98,58,139,185,56,91,14,817
UCL215047,10,4,5,3,16,23,14,19,0,91,6,12,8,17,24,18,11,14,0,107,4,10,9,9,56,77,22,31,6,234,14,25,21,22,27,10,0,8,0,127,8,19,14,15,42,22,0,6,0,125,3,27,11,7,14,10,0,3,0,81,8,4,6,12,28,28,8,35,5,136,6,16,15,13,27,23,3,9,4,129,4,3,0,0,9,8,0,3,3,30,63,132,87,97,245,210,61,132,31,1058
UCL215048,0,10,3,6,13,24,8,12,0,73,15,12,9,6,18,15,3,12,0,84,8,12,11,8,36,60,17,23,4,172,10,19,30,18,17,8,0,3,5,105,0,13,8,8,39,8,9,7,0,92,7,26,14,3,14,0,0,3,0,76,6,7,5,3,20,18,0,14,3,78,3,25,13,18,25,14,8,14,3,122,0,0,0,0,5,3,0,4,3,25,44,112,98,72,185,146,56,87,24,825
UCL215049,15,14,14,8,21,28,5,25,0,136,3,20,5,8,14,16,13,14,0,99,12,13,11,6,21,22,0,3,0,92,13,21,11,7,6,0,0,0,0,60,3,15,6,10,9,5,4,0,0,57,3,16,5,7,9,10,3,0,0,49,4,0,3,0,0,0,0,0,0,9,17,13,7,0,7,6,3,3,0,50,0,0,0,0,0,0,3,0,0,11,68,114,64,61,76,93,28,47,12,561
UCL215050,12,18,16,14,37,78,27,84,4,286,23,66,65,41,56,104,36,75,9,469,7,19,14,17,27,53,11,21,5,167,18,33,16,6,14,24,7,6,5,138,10,32,19,15,27,24,10,6,5,139,6,29,11,5,16,12,3,8,6,95,0,4,6,0,0,7,0,10,0,33,3,41,4,5,5,9,0,4,0,77,0,3,0,0,0,0,0,3,0,16,92,237,160,109,182,304,89,215,28,1422
UCL215051,9,9,17,16,24,29,12,56,0,165,17,31,38,39,57,64,23,22,5,287,24,19,22,14,67,119,30,49,6,346,38,66,49,35,39,19,9,6,7,269,8,33,36,29,35,36,5,10,0,193,11,55,23,13,24,8,0,8,0,138,11,5,6,4,33,51,18,55,4,182,10,62,26,28,41,45,13,24,3,247,4,5,3,0,3,3,5,3,8,27,130,275,217,170,318,369,113,232,34,1859
UCL215052,6,13,8,0,12,13,5,19,0,82,3,23,25,14,12,20,7,13,0,130,7,18,11,3,8,20,3,10,10,86,11,7,12,8,11,6,0,0,4,63,0,11,5,8,15,12,5,3,0,61,0,11,7,8,7,0,0,3,0,41,0,0,0,0,5,5,0,5,0,17,6,15,12,0,13,10,0,4,0,45,0,0,0,0,0,3,0,0,5,9,37,97,85,50,82,82,24,61,13,537
UCL215053,6,21,17,18,37,45,34,67,4,260,17,44,42,37,44,58,25,30,0,289,20,31,21,32,61,94,21,50,7,342,26,45,50,33,35,31,16,10,8,248,6,30,25,23,43,23,3,14,0,166,11,40,30,28,32,25,14,12,3,193,6,10,12,3,16,27,12,19,0,109,17,64,30,23,25,18,9,8,0,191,3,3,5,0,0,10,0,0,9,32,108,276,227,195,305,329,133,209,34,1819
UCL215054,0,3,4,0,8,15,3,24,0,61,10,10,7,17,20,18,3,5,0,84,6,11,9,9,34,21,3,16,0,109,6,21,29,22,28,6,5,4,0,123,5,8,12,12,30,21,8,0,0,93,7,32,8,14,11,10,3,0,5,85,5,3,9,7,11,21,9,4,3,73,5,30,15,15,24,33,6,13,0,132,0,0,4,0,0,4,0,0,9,21,41,110,89,94,172,140,46,67,23,776
UCL215055,6,11,4,3,13,32,10,31,3,115,0,24,13,14,19,26,3,9,0,111,5,18,8,13,20,17,4,7,0,90,18,23,15,6,8,10,0,7,0,96,4,24,13,10,13,6,4,0,0,81,3,14,13,7,9,0,0,0,0,46,4,4,5,0,0,4,0,8,0,21,9,23,6,7,5,4,4,4,0,56,0,6,0,0,0,0,0,0,5,12,55,132,74,58,94,100,35,66,19,628
UCL215056,3,0,0,0,15,7,0,5,0,46,3,12,4,8,17,6,0,3,0,55,8,11,8,6,45,31,8,17,5,142,8,29,26,13,18,6,5,4,11,109,3,6,9,3,7,10,3,0,0,45,6,13,7,4,11,5,0,0,0,41,5,5,3,3,24,23,4,8,4,72,7,21,14,9,25,12,4,0,4,99,0,0,0,0,5,6,0,0,7,10,48,101,71,54,155,106,28,41,25,621
UCL215057,0,4,0,11,16,14,4,18,4,73,12,24,21,21,31,32,5,25,3,171,0,11,7,3,26,38,10,16,3,117,13,23,21,4,5,7,7,8,4,87,6,10,20,7,19,8,4,0,0,81,3,21,13,5,3,10,3,0,0,57,0,3,5,0,10,11,7,9,0,40,10,20,11,10,14,11,7,4,4,89,0,8,3,0,0,4,0,0,0,16,44,121,109,56,130,125,53,75,18,730
UCL215058,0,4,0,9,11,10,4,8,0,44,0,9,4,5,9,10,6,3,0,47,11,0,11,3,8,20,3,12,0,63,0,21,15,15,13,4,0,0,0,67,0,9,7,0,11,4,0,0,0,39,3,14,7,0,0,5,0,5,0,40,5,0,4,0,4,8,3,7,0,33,7,26,14,10,12,11,7,6,3,90,0,0,0,0,3,0,0,0,3,11,25,82,56,48,70,74,26,40,9,428
UCL215059,6,14,13,14,23,41,3,37,0,157,10,18,32,27,35,50,4,19,0,201,12,16,26,16,31,35,18,13,6,165,16,35,31,15,16,12,4,6,5,146,5,15,13,9,24,18,5,9,0,93,4,26,18,8,6,0,0,4,5,78,0,0,3,3,10,5,0,4,0,37,9,48,13,12,10,5,0,5,0,105,0,0,0,0,3,0,0,3,3,12,74,179,153,98,158,168,41,96,20,989
UCL215060,3,10,8,12,17,36,10,25,5,124,8,16,27,26,24,35,11,20,0,169,9,13,15,8,47,46,11,22,0,190,27,38,49,22,18,17,0,12,3,188,5,23,28,19,34,17,0,4,0,129,7,40,24,13,24,16,0,3,4,124,4,11,0,3,41,21,15,16,6,110,18,54,19,13,41,23,4,13,0,185,4,0,0,0,3,0,0,0,6,20,83,206,185,120,244,213,62,113,27,1255
UCL215061,3,9,6,5,14,38,10,32,0,115,9,8,10,11,23,22,7,13,0,109,6,15,6,9,22,48,6,18,0,130,8,28,15,10,17,22,3,8,5,116,7,15,10,10,25,15,3,8,0,92,0,19,9,9,9,11,0,4,0,48,4,4,5,0,5,13,0,14,5,58,3,35,11,9,31,33,5,11,0,143,0,5,0,0,7,7,0,0,4,24,44,127,85,68,156,205,41,103,10,835
UCL215062,4,5,7,5,10,12,11,31,0,85,5,9,16,17,14,22,0,12,0,98,0,3,7,8,22,32,7,15,4,92,8,17,20,9,12,16,0,5,6,87,0,19,8,10,9,11,3,0,0,64,7,16,8,6,14,5,4,8,6,58,5,0,3,0,11,10,0,6,0,42,7,21,6,12,20,8,7,7,5,96,0,0,0,0,0,0,0,4,9,18,29,96,74,58,114,119,32,87,24,631
