UCL_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
UCL222046,5,12,4,0,10,3,3,3,3,52,63,48,29,22,42,63,66,40,23,395
UCL222047,5,0,0,0,0,0,3,0,0,11,30,14,8,19,22,41,42,22,5,204
UCL222048,0,0,0,0,0,0,0,0,0,9,17,17,10,10,21,58,25,21,12,193
UCL222049,0,0,0,0,4,4,0,3,0,14,23,18,14,25,37,41,75,28,5,272
UCL222050,3,3,6,0,5,13,10,4,0,49,61,29,50,46,55,101,102,43,9,491
UCL222051,5,0,0,5,4,4,12,8,0,42,42,33,43,37,48,87,101,50,12,453
UCL222052,10,6,5,0,3,7,5,4,0,28,73,44,51,53,62,53,52,14,8,412
UCL222053,5,3,10,5,6,7,8,0,0,43,58,45,51,49,57,86,73,24,13,454
UCL222054,0,0,0,5,3,3,0,6,0,18,54,19,13,32,35,44,44,20,6,270
UCL222055,0,5,3,0,4,8,12,3,4,43,44,26,30,30,48,80,74,55,39,424
UCL222056,6,40,53,15,10,7,6,8,0,145,23,94,122,29,20,25,10,8,0,333
UCL222057,7,3,0,13,3,6,0,0,0,30,64,23,26,57,46,51,34,9,0,322
UCL222058,0,4,8,0,9,0,0,0,0,28,12,32,41,16,21,10,6,0,3,128
UCL222059,0,0,0,3,3,0,0,0,0,12,40,17,23,18,33,32,31,19,0,208
UCL222060,8,4,3,3,3,4,0,0,0,27,34,18,21,21,27,44,30,19,9,214
UCL222061,10,0,4,3,4,7,0,0,0,23,34,33,23,25,39,30,22,11,3,220
UCL222062,6,0,0,3,5,3,0,3,3,28,40,22,38,43,56,96,48,36,37,421
UCL222063,0,3,6,0,0,15,5,3,0,39,56,34,39,43,39,97,91,41,14,455
UCL222064,10,3,3,3,7,0,0,0,0,25,64,40,22,26,43,30,26,9,7,274
UCL222065,6,0,0,0,4,4,0,0,0,23,36,17,17,10,41,41,30,5,4,207
UCL222066,6,4,0,3,3,7,4,8,0,39,33,19,35,23,34,51,45,28,13,270
UCL222067,4,4,0,4,3,10,10,3,4,38,24,22,23,25,34,46,40,24,14,242
UCL222068,3,0,0,4,6,4,5,0,0,22,30,27,25,17,35,36,16,10,0,205
UCL222069,10,4,0,5,7,13,6,0,0,48,78,42,24,43,55,97,79,40,29,491
UCL222070,0,0,0,0,0,3,6,6,0,19,31,7,24,15,24,47,41,22,7,214
UCL222071,7,4,8,6,5,6,7,0,0,36,73,38,57,57,39,54,54,23,4,389
UCL222072,5,0,0,6,5,9,12,7,0,44,31,17,28,26,40,65,82,42,5,349
UCL222073,3,0,6,0,0,3,0,0,0,22,41,21,34,34,25,37,26,7,6,231
UCL222074,0,3,0,5,3,3,3,0,0,28,28,36,17,18,42,28,23,14,4,212
UCL222075,5,8,4,0,4,0,6,0,0,42,99,50,50,50,81,65,50,26,7,478
UCL222076,13,6,4,11,8,11,8,3,0,64,81,54,40,60,65,72,63,34,21,475
UCL222077,8,3,3,4,0,7,8,9,13,55,65,29,43,53,40,78,98,49,36,487
UCL222078,6,5,4,5,0,9,0,0,0,34,51,35,32,20,42,41,38,26,7,281
UCL222079,3,8,0,0,5,5,0,0,0,26,87,46,27,53,73,82,60,29,7,466
UCL222080,0,0,0,3,0,9,4,4,0,24,39,24,33,28,35,68,63,40,17,353
UCL222081,0,3,4,5,3,8,4,0,0,26,26,18,18,19,33,53,57,27,6,254
UCL222082,4,7,4,3,4,3,7,0,0,32,39,21,12,41,48,34,25,10,0,234
UCL222083,3,0,4,5,0,3,0,0,0,18,37,22,25,44,16,34,23,9,6,220
UCL222084,14,10,0,8,5,16,7,0,4,67,63,39,26,56,62,94,64,42,26,469
UCL222085,3,0,0,0,0,5,0,0,0,19,46,22,31,34,37,79,45,23,7,315
UCL222086,6,12,6,3,7,3,3,3,0,38,70,47,31,46,51,56,63,16,3,385
UCL222087,7,3,0,7,3,3,6,0,0,34,82,41,53,51,54,77,68,46,17,486
UCL222088,3,3,0,4,9,8,0,0,0,35,19,25,8,18,34,67,66,21,13,271
UCL222089,0,0,0,0,0,5,0,0,0,7,29,24,18,13,36,44,26,9,9,207
UCL222090,11,3,3,5,4,12,5,5,0,46,50,20,20,34,30,48,27,8,4,245
UCL222091,7,0,0,0,3,4,0,0,0,21,94,41,40,46,48,63,41,21,4,412
UCL222092,5,0,0,9,10,0,6,0,0,29,100,27,30,61,53,42,34,5,0,355
UCL222093,13,10,5,9,4,8,5,8,4,64,62,42,26,39,42,77,80,48,9,432
UCL222094,5,0,6,0,9,8,8,6,0,45,61,23,33,28,40,66,62,25,5,348
UCL222095,3,0,0,0,0,0,0,0,0,15,32,21,27,17,19,28,32,10,0,187
UCL222096,3,0,0,0,0,6,10,0,0,30,91,30,42,61,69,51,54,10,3,418
UCL222097,11,7,5,6,4,8,0,0,0,39,70,56,44,34,45,52,16,13,7,333
UCL222098,5,4,0,0,0,5,0,4,0,21,79,27,26,53,55,61,38,21,8,362
UCL222099,5,0,5,6,3,0,0,0,0,26,51,14,39,24,21,40,17,12,0,217
UCL222100,3,4,0,0,9,6,5,8,0,40,16,18,9,10,44,53,43,40,5,240
UCL222101,14,4,0,4,5,3,0,6,0,39,75,28,30,38,31,39,34,19,3,285
UCL222102,3,3,4,3,9,13,0,3,0,34,75,42,45,49,54,85,47,25,0,421
UCL222103,0,3,0,0,4,5,3,8,0,22,45,32,6,23,40,28,20,23,0,222
UCL222104,12,8,7,0,3,11,9,3,3,59,57,34,34,34,24,47,47,18,11,300
UCL222105,0,4,0,0,0,3,9,3,6,25,26,24,27,26,26,38,33,15,5,221
UCL231001,7484,4975,4847,5718,6814,7225,5760,2781,763,46350,72617,45579,37655,46846,62773,72485,59700,25286,5963,428903
UCL279997,0,0,0,11,3,9,0,0,0,29,0,0,6,16,3,14,4,0,0,38
UCL299994,501,403,707,880,652,410,198,23,9,3785,1143,1131,1819,1736,1393,1074,613,152,29,9089
