UCL_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
UCL222034,0,0,0,0,0,0,4,3,7,14,0,0,0,0,0,0,0,0,0,0,3,0,0,5,6,7,14,0,0,33,12,22,34,44,51,44,54,14,7,278
UCL222035,0,0,0,0,0,3,11,3,8,34,4,0,0,0,0,0,0,0,0,7,0,0,0,0,5,3,7,10,11,33,8,7,20,26,30,77,64,23,22,284
UCL222036,0,0,0,0,0,0,4,4,0,11,0,0,0,0,0,4,0,0,0,4,4,0,3,0,3,5,7,4,0,33,7,9,31,23,27,38,29,23,10,197
UCL222037,0,0,0,0,3,0,8,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,0,15,3,16,34,21,45,38,17,13,4,196
UCL222038,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,4,17,15,27,35,28,24,6,3,161
UCL222039,0,0,0,0,0,4,3,6,0,11,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,3,3,5,0,23,10,14,26,34,51,58,29,12,0,239
UCL222040,0,0,0,0,0,0,4,0,5,4,0,0,0,0,0,0,0,0,0,0,5,0,3,0,5,10,7,6,0,29,8,14,22,43,74,98,78,32,15,374
UCL222041,0,0,0,0,0,0,0,5,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,0,9,5,13,27,28,43,43,39,19,4,214
UCL222042,0,0,0,0,0,9,4,14,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,3,15,11,8,18,16,29,50,38,33,5,202
UCL222043,0,0,3,0,5,8,8,4,4,30,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,3,5,0,26,6,14,53,31,58,57,72,29,6,333
UCL222044,0,0,0,0,3,5,12,5,3,31,0,0,0,0,0,0,0,0,0,0,3,0,7,3,4,9,12,0,0,34,6,9,31,29,35,70,58,21,10,272
UCL222045,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,4,4,6,7,0,0,0,22,11,19,26,29,50,44,37,13,4,229
UCL222046,0,0,0,0,3,3,9,9,4,24,0,0,0,0,0,0,0,0,0,0,4,7,6,0,10,5,0,3,11,34,14,21,29,22,40,63,66,40,23,315
UCL222047,0,0,0,0,0,3,8,6,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,13,0,4,8,19,22,41,42,22,5,165
