UCL_CODE_2021,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
UCL213006,0,0,4,0,4,0,14,0,0,3,0,4,0,12,10,5,27,15,91,0,151,0,0,10,4,21,0,39,9,6,35,33,394,5,487,8,3,16,12,25,0,67,4,0,17,15,44,3,83,0,3,11,11,9,0,37,7,7,24,47,90,6,186,0,4,9,12,9,0,38,5,9,29,18,13,0,75,0,0,14,0,16,0,32,24,9,80,33,29,0,175,0,0,11,7,33,0,51,16,12,53,65,53,5,201,35,25,50,11,10,0,137,20,9,36,15,12,0,90,4,3,13,4,8,0,33,0,4,3,5,49,0,66,8,0,12,9,34,11,68,152,101,467,322,945,43,2028,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,5,26,17,10,0,55,0,4,8,8,6,0,23,0,0,13,24,24,4,66,0,0,6,7,5,0,12,3,0,20,30,37,7,94,0,3,21,7
UCL213007,14,0,20,41,83,8,170,0,0,5,3,39,0,42,6,0,15,14,103,0,134,7,0,21,11,45,3,86,3,0,4,18,403,5,445,3,3,20,12,68,3,116,9,4,15,23,111,11,170,0,0,7,16,53,3,80,0,0,8,11,85,3,109,0,0,10,3,10,0,25,3,0,5,17,10,3,44,0,0,9,6,11,0,22,22,4,37,13,19,0,98,0,0,0,15,37,8,53,23,8,35,55,84,0,200,17,12,64,11,26,3,129,28,4,65,44,83,0,228,0,0,6,5,12,0,26,7,3,10,7,103,0,133,0,0,13,10,44,17,79,136,49,371,323,1439,77,2394,0,3,13,19,24,0,55,0,0,0,0,0,0,0,0,0,3,4,21,0,33,3,5,12,13,17,0,41,0,0,7,13,20,0,50,0,0,10,9,17,0,42,10,4,17,27,110,6,172,0,0,12,18
UCL213008,7,0,5,5,16,0,37,0,0,0,4,7,0,10,8,3,53,43,205,3,321,0,3,15,5,31,0,55,4,5,44,47,474,7,574,7,0,11,21,55,0,93,3,0,36,24,68,5,139,3,0,12,23,26,0,68,12,0,28,57,141,13,254,5,4,10,6,8,0,41,12,0,32,20,7,0,78,0,0,7,0,10,3,30,22,6,89,33,27,0,191,0,0,10,11,36,0,61,8,9,61,80,108,8,272,41,15,61,20,22,0,152,21,10,40,27,44,8,147,0,0,3,9,7,0,29,8,0,5,12,75,0,106,5,0,9,8,61,18,106,168,70,549,477,1439,66,2765,0,0,0,4,0,0,6,0,0,0,0,0,0,3,4,0,31,22,27,0,83,0,0,3,12,7,0,24,4,0,13,19,25,0,63,0,0,14,10,13,4,40,5,4,40,60,99,12,219,5,0,19,15
UCL213009,0,0,0,5,20,0,23,0,0,0,3,6,0,9,0,0,21,26,124,9,184,9,3,0,6,22,0,39,0,0,24,37,395,8,466,0,0,12,23,39,4,73,3,0,20,32,84,4,141,0,0,13,12,39,0,60,5,0,13,13,82,0,122,0,3,4,3,0,0,14,3,0,21,7,10,0,43,0,0,0,4,13,0,11,17,0,63,20,27,8,138,0,3,11,10,41,0,66,5,3,31,40,77,0,152,17,11,44,19,26,0,121,9,11,39,32,59,3,149,0,5,3,4,9,0,23,0,3,8,14,85,0,111,0,0,12,8,38,10,73,79,44,339,312,1195,53,2021,0,0,3,0,4,0,7,0,0,0,0,3,0,3,0,0,8,8,29,6,46,0,0,3,0,10,0,13,3,0,0,20,21,0,47,0,0,8,10,13,0,30,4,4,37,39,88,9,171,0,4,13,15
UCL213010,0,0,10,0,32,3,48,0,0,0,0,34,0,40,0,0,15,16,168,0,200,6,0,13,31,142,5,193,3,0,0,15,318,4,343,0,0,4,3,32,3,39,0,0,14,13,78,0,110,0,0,11,14,26,5,48,0,0,0,7,70,0,80,0,0,3,0,8,0,16,0,0,5,0,3,0,10,0,0,6,0,18,0,19,8,0,20,15,28,0,69,0,0,3,12,37,0,52,6,3,20,25,56,5,107,9,11,22,14,24,0,85,14,9,27,29,63,3,131,0,0,3,5,13,0,21,0,0,7,0,97,0,102,0,0,3,10,72,22,103,43,21,176,207,1313,62,1816,0,0,3,0,10,5,16,0,0,4,0,0,0,4,0,0,8,4,18,0,24,0,0,3,0,17,0,24,0,0,6,11,27,0,40,0,0,0,5,8,0,15,4,0,14,29,91,9,143,0,0,6,11
UCL213011,0,0,4,5,18,0,27,0,0,0,3,21,0,25,3,0,14,13,135,6,172,0,0,12,12,67,3,96,0,0,7,7,173,10,202,0,0,3,8,24,0,31,0,0,18,14,59,4,94,3,0,11,6,46,9,65,0,0,12,8,55,7,80,3,0,8,3,25,4,36,0,0,3,0,0,0,7,0,0,0,4,6,0,13,10,3,27,15,13,0,60,0,0,10,10,23,5,48,10,10,16,17,44,7,92,14,4,14,10,13,3,51,5,6,36,18,61,14,144,4,0,0,3,4,0,10,0,0,4,3,53,0,60,0,0,9,5,46,17,86,48,30,192,161,879,85,1398,0,0,4,3,11,0,14,0,0,0,0,0,0,0,0,0,4,0,13,0,21,0,0,8,0,11,0,18,0,0,4,9,0,0,12,0,0,0,0,3,0,5,6,3,10,12,64,15,104,0,0,8,17
UCL213012,0,0,7,8,54,7,81,0,0,0,3,5,0,4,6,5,22,16,226,8,276,0,0,0,0,26,0,31,0,0,6,3,177,7,195,0,0,4,4,16,0,33,0,0,4,10,26,0,43,0,4,8,3,24,0,37,0,0,4,7,88,8,110,0,0,0,0,3,0,9,0,0,0,3,0,0,5,0,0,0,0,14,0,18,0,3,14,8,10,0,31,0,0,3,3,20,3,28,3,4,21,19,29,5,81,3,12,44,8,15,0,76,9,3,37,14,32,4,99,0,0,5,3,9,0,14,0,0,4,3,49,5,65,0,0,8,5,30,9,50,33,22,188,130,859,53,1291,0,0,3,4,9,0,17,0,0,0,0,0,0,0,4,0,7,12,24,4,50,0,0,6,0,0,0,6,0,0,0,4,6,0,8,0,0,0,3,0,0,9,0,5,7,14,50,3,77,0,0,6,14
UCL213013,3,0,11,13,44,4,88,3,0,17,21,63,0,105,0,0,10,19,98,3,129,4,0,11,6,32,0,55,3,3,18,21,273,3,320,0,0,0,0,25,0,28,0,0,15,10,68,5,103,3,0,10,9,49,0,76,3,0,13,13,38,0,65,0,4,0,0,7,0,20,0,0,7,9,0,0,15,0,0,0,7,11,0,20,8,7,34,24,36,0,112,0,7,9,3,31,0,40,40,17,144,124,97,6,428,29,18,58,14,12,0,133,35,12,64,20,47,4,183,0,0,6,6,0,0,14,0,0,14,4,56,3,76,4,0,11,8,41,13,74,146,71,434,335,1029,57,2078,0,0,14,3,15,4,28,0,0,8,0,4,0,11,3,0,3,8,17,5,36,0,0,8,0,6,0,18,0,0,3,17,19,0,37,0,0,0,3,5,0,6,6,0,18,26,75,6,130,0,4,12,17
UCL213014,0,5,26,37,76,8,152,0,0,0,0,7,0,9,3,0,22,23,97,14,157,0,0,3,0,20,0,33,3,0,14,7,235,4,265,0,0,8,11,51,0,70,0,0,16,9,58,0,88,0,0,12,17,26,5,57,0,0,5,8,51,0,73,0,0,0,0,12,0,11,0,0,3,13,3,0,25,0,0,3,0,5,0,7,5,4,33,16,14,0,76,0,0,3,6,11,0,19,3,3,19,37,22,0,84,4,17,50,9,31,3,120,14,8,40,26,19,4,114,0,0,0,3,5,0,21,3,4,0,8,71,0,89,0,0,3,5,43,16,71,44,45,258,246,860,66,1509,0,0,18,12,17,7,56,0,0,0,0,0,0,0,0,0,15,8,23,0,47,0,0,0,0,3,0,7,0,0,3,3,9,0,22,0,0,0,7,15,0,18,0,0,11,15,68,4,100,5,0,18,14
UCL213015,0,0,3,4,12,0,16,0,0,4,0,7,0,10,9,0,36,50,181,5,280,0,0,8,6,18,0,38,12,4,30,46,484,13,580,7,0,10,17,59,0,94,10,8,17,20,66,4,124,0,0,8,32,29,6,74,13,0,32,61,100,5,221,3,0,6,7,7,0,27,6,0,26,12,7,0,57,0,0,4,6,14,0,20,24,7,46,17,30,4,127,0,0,10,8,28,0,48,22,12,29,53,81,3,193,14,5,20,9,28,0,87,13,4,38,17,29,0,101,3,0,7,0,15,0,34,0,0,7,15,94,10,125,10,0,7,19,100,21,154,148,46,355,397,1395,79,2411,0,0,0,0,7,0,8,0,0,0,0,0,0,0,8,0,21,32,36,5,92,0,0,0,4,10,0,11,3,3,14,22,35,7,92,0,0,6,10,13,5,35,9,0,27,27,80,3,159,5,0,19,21
UCL213016,3,0,9,12,48,5,80,0,0,0,3,4,0,8,10,6,45,48,254,16,373,0,0,4,0,24,0,29,11,0,23,23,404,15,469,0,0,8,11,27,0,44,7,5,19,20,127,9,175,5,0,16,25,73,6,122,0,0,13,18,87,14,132,0,0,9,0,12,0,28,5,0,15,17,4,0,44,0,0,5,3,14,6,26,10,7,51,22,36,0,129,0,0,4,11,54,3,73,11,3,51,59,84,7,209,14,32,83,12,32,6,171,48,28,131,52,86,10,355,0,4,3,5,18,0,34,4,4,13,17,109,0,140,0,0,6,5,62,25,105,135,90,505,364,1554,115,2751,0,0,3,7,11,0,28,0,0,0,0,0,0,0,9,0,32,18,47,0,117,0,0,0,0,0,0,0,0,0,5,25,25,3,55,0,0,5,3,11,0,21,4,0,42,34,147,9,238,3,0,21,28
UCL213017,9,5,49,17,58,6,141,0,0,7,5,24,0,43,8,5,38,36,175,8,261,5,6,24,11,46,0,100,5,0,26,56,559,13,662,0,0,9,11,57,5,76,6,3,24,20,97,0,157,0,4,13,19,47,5,89,3,0,11,21,78,7,116,3,6,15,8,21,0,53,11,3,18,23,8,0,59,0,0,10,10,12,3,35,28,11,107,36,25,0,216,3,0,15,3,31,0,51,14,7,55,55,69,6,208,49,32,117,23,36,0,257,42,26,77,37,45,10,240,0,0,10,3,13,0,28,9,4,3,17,112,0,149,4,0,15,12,60,17,112,216,116,641,408,1573,92,3047,3,0,48,13,17,3,87,0,0,0,6,0,0,7,4,4,22,21,50,0,105,0,0,4,3,6,0,12,0,0,13,16,44,7,80,3,0,7,8,11,0,29,4,0,37,42,107,8,201,3,0,17,24
UCL213018,0,0,8,5,28,0,41,0,0,0,0,8,0,8,3,0,26,27,112,13,179,0,0,0,0,7,0,14,4,4,0,12,229,3,252,0,0,4,3,14,0,26,0,0,8,4,57,5,79,0,0,4,20,48,0,72,0,0,5,8,30,0,44,0,0,0,0,0,0,3,0,0,6,0,0,0,13,0,0,0,0,5,0,4,4,0,24,11,4,0,43,0,0,6,6,19,0,26,4,0,11,14,25,4,59,14,12,32,7,7,0,65,7,3,19,4,10,0,49,0,0,0,3,7,0,8,0,0,3,8,37,0,45,0,0,0,0,23,8,32,35,22,162,140,676,41,1065,0,0,3,4,5,3,17,0,0,0,0,0,0,0,7,5,15,11,17,7,51,0,0,0,0,0,0,4,4,0,4,5,11,0,27,0,0,0,4,3,0,5,3,4,8,13,39,4,72,0,0,10,32
UCL214001,0,0,10,7,32,4,47,0,0,3,3,17,0,20,31,0,24,17,73,7,157,0,0,0,0,12,0,12,0,0,3,0,84,3,90,0,0,0,0,23,0,27,0,0,5,0,31,0,36,3,3,3,4,14,3,32,0,0,0,6,21,0,26,0,0,0,0,0,0,5,0,0,0,0,3,0,5,0,0,0,0,9,0,12,0,0,8,6,7,0,24,0,0,0,0,7,0,11,0,0,23,30,87,3,149,4,4,21,6,4,0,42,4,4,22,17,31,0,80,0,0,0,0,4,0,4,0,0,4,7,32,0,45,0,3,0,0,18,3,23,52,14,123,101,514,37,843,0,0,7,3,8,0,18,0,0,0,4,0,0,0,0,0,26,8,22,18,78,0,0,0,0,0,0,4,0,0,0,0,9,0,10,0,0,6,0,0,0,7,0,0,0,9,31,3,43,0,3,12,14
UCL214002,0,0,0,7,9,3,22,0,0,0,0,9,0,4,0,4,11,13,86,0,119,0,0,4,0,22,3,28,0,0,10,23,236,7,275,0,0,5,6,31,0,46,0,0,12,11,28,0,46,0,0,4,3,18,0,27,0,0,9,12,51,0,70,0,0,4,0,5,0,13,0,0,7,5,7,0,17,0,0,0,0,8,0,15,0,0,19,8,8,0,42,0,0,0,7,19,0,24,3,0,7,32,45,0,95,16,8,17,14,9,0,63,4,4,13,10,22,3,47,0,0,0,3,4,0,7,0,0,0,0,46,0,51,0,0,3,4,35,8,58,35,21,126,168,687,34,1072,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,3,0,18,7,30,0,0,0,0,0,0,3,0,0,4,8,16,0,27,0,0,0,3,3,3,14,0,0,8,25,49,0,84,0,0,10,6
UCL214003,0,0,9,3,16,3,37,0,0,0,0,6,0,7,4,0,9,23,99,12,146,0,0,3,5,21,0,37,15,0,31,20,260,12,341,0,0,0,6,14,0,27,0,0,10,12,37,6,69,0,0,0,6,26,0,44,0,0,0,4,25,0,39,4,0,0,5,3,0,10,0,0,4,0,0,0,9,0,0,0,3,3,0,18,0,3,15,10,8,0,41,0,0,4,3,22,3,31,7,3,17,40,40,4,105,14,13,25,11,16,3,79,13,3,23,12,23,7,84,0,4,0,5,9,0,13,0,0,3,7,36,4,48,3,0,7,5,40,12,69,65,33,165,180,720,72,1227,0,0,3,11,11,0,25,0,0,0,4,3,0,3,0,0,6,8,20,0,38,0,0,0,0,0,0,0,8,0,13,8,18,0,56,0,0,3,4,6,0,9,8,0,11,5,55,8,90,0,0,4,14
UCL214004,4,0,12,7,33,6,62,0,0,0,0,5,0,7,5,0,13,18,84,3,118,0,0,0,5,12,0,13,3,0,8,6,93,4,108,0,0,0,3,14,0,20,0,0,0,9,25,3,36,0,0,0,0,14,0,22,0,0,4,4,21,0,25,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,4,0,0,0,5,0,0,15,3,5,0,27,0,0,0,3,4,0,7,3,0,10,10,10,0,21,0,0,5,0,4,0,12,5,0,11,4,7,0,33,0,0,0,0,0,0,0,0,0,4,3,24,0,27,0,0,0,0,20,11,32,19,9,79,71,380,34,597,0,3,6,4,13,0,27,0,0,0,0,0,0,0,0,0,5,10,22,4,35,0,0,0,0,3,0,3,0,0,0,0,17,0,16,0,0,0,0,3,0,4,0,0,9,10,22,3,50,0,0,6,12
UCL214005,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,3,38,0,43,0,0,0,0,3,0,3,0,0,0,0,22,0,22,0,0,0,0,7,0,7,0,0,0,0,3,0,10,0,0,0,0,11,0,8,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,3,0,0,0,0,3,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,4,0,6,10,14,112,4,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,10,0,13,0,0,0,3
UCL214006,0,0,0,7,3,0,18,0,0,0,0,8,0,6,0,0,7,7,25,0,47,0,5,0,0,9,0,13,3,0,7,11,133,6,158,0,0,0,0,13,3,20,4,0,17,10,30,0,61,0,0,17,30,44,6,98,0,0,4,4,25,0,31,0,0,3,6,3,0,11,0,0,7,3,0,0,13,0,0,5,3,7,0,15,11,7,22,16,9,0,55,0,0,4,10,12,0,26,5,3,14,15,12,0,52,5,4,22,4,6,0,40,4,4,19,17,16,0,52,3,0,14,6,18,0,41,0,0,5,6,26,0,33,0,0,10,0,19,0,24,40,19,163,150,419,25,817,0,0,0,6,3,0,8,0,0,0,0,0,0,0,0,0,7,3,8,0,17,0,0,3,4,6,0,11,0,0,6,4,9,0,24,0,0,0,3,3,0,9,0,0,9,13,40,8,72,5,0,15,20
UCL214007,0,0,0,0,0,0,3,0,0,3,0,0,0,7,3,0,13,13,50,3,89,0,0,3,3,8,0,10,4,4,8,17,152,7,193,4,0,3,3,8,0,24,0,0,13,8,31,3,56,0,0,12,9,10,0,35,9,0,21,22,60,12,121,0,0,7,0,11,0,19,11,0,17,10,4,3,44,0,0,8,0,6,0,11,17,9,33,8,11,0,81,0,0,4,5,11,0,23,6,0,34,28,24,0,96,9,3,27,4,11,0,50,4,0,21,5,13,0,50,0,0,9,0,6,0,15,0,0,0,7,43,0,55,0,0,8,7,19,3,40,77,26,232,165,475,40,1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,16,10,10,0,45,0,0,4,0,0,0,6,5,0,8,8,11,0,29,0,0,7,3,3,0,14,5,0,16,28,25,4,76,0,0,8,8
UCL214008,5,0,20,16,81,4,125,0,0,0,0,14,0,14,5,0,8,8,60,0,76,0,0,4,0,16,0,22,0,0,6,11,233,5,256,0,0,4,9,36,5,52,3,0,10,10,56,4,79,0,0,3,3,48,0,62,0,0,0,3,40,0,45,0,0,0,3,7,3,17,0,0,9,5,3,0,16,0,0,4,0,6,0,8,4,0,24,15,11,0,59,0,0,3,4,19,0,28,13,4,16,20,53,8,116,20,15,40,6,16,0,95,18,14,43,18,55,8,152,0,0,0,0,6,0,7,0,3,4,5,66,0,76,3,0,3,0,37,8,53,75,45,209,136,848,45,1359,0,0,17,3,30,0,49,0,0,0,0,0,0,0,0,0,3,4,13,0,16,0,0,0,0,0,0,3,0,0,9,3,18,0,31,0,0,0,3,8,0,7,0,0,10,13,54,4,81,0,0,8,9
UCL214009,0,5,10,10,12,3,35,0,0,0,0,0,0,3,3,6,35,20,88,3,158,3,0,3,8,27,0,35,0,0,16,25,297,6,345,0,0,4,7,16,0,36,0,0,13,15,27,0,54,0,0,10,19,49,5,78,4,0,3,9,36,7,53,0,0,4,0,9,0,12,0,0,8,3,6,0,22,0,0,0,3,9,0,14,10,5,21,15,12,4,68,0,0,0,10,27,0,40,5,4,20,16,29,4,75,14,7,23,10,15,0,67,8,3,30,17,14,0,70,3,0,7,0,12,0,24,0,6,3,15,54,0,74,3,0,3,6,42,0,58,65,33,237,192,760,29,1319,0,0,8,0,10,4,23,0,0,0,0,0,0,0,0,0,28,20,33,5,88,0,0,4,3,3,0,13,3,0,13,12,19,0,47,3,0,5,7,3,0,21,0,4,19,24,47,0,99,0,0,22,23
UCL214010,0,0,3,10,11,0,21,0,0,0,0,13,0,7,0,0,8,9,33,0,49,0,0,13,11,25,0,55,0,0,15,13,140,0,161,0,0,3,4,8,0,15,4,0,7,6,34,4,52,0,0,4,10,25,5,42,0,0,4,3,6,0,14,0,5,0,0,3,0,7,5,5,3,8,7,0,24,0,0,4,8,6,0,20,9,9,30,8,8,0,67,0,0,0,8,6,0,12,3,11,15,12,10,0,49,19,11,40,0,8,0,89,19,9,24,11,14,0,67,0,0,6,0,6,0,16,0,0,0,0,12,0,16,3,0,12,4,13,4,34,70,42,195,126,376,19,832,0,0,0,0,7,0,15,0,0,0,0,0,0,0,0,0,12,0,4,0,14,0,0,3,0,0,0,4,5,0,9,6,8,0,26,0,0,0,0,0,0,0,0,4,14,11,13,6,54,0,0,3,8
UCL214011,0,0,4,3,10,6,16,0,0,0,6,8,0,15,4,3,23,21,89,3,146,0,0,0,3,19,0,20,0,0,13,25,350,5,390,0,3,4,10,25,0,36,5,0,9,15,34,0,58,0,0,0,8,18,0,31,0,0,10,15,48,9,79,0,0,3,3,5,0,16,0,5,5,7,9,0,24,0,0,5,0,5,0,16,5,5,20,9,12,0,54,3,0,9,4,18,0,35,8,3,17,41,37,0,114,18,16,18,7,15,0,68,7,0,11,10,13,0,49,0,0,0,0,3,0,6,3,0,10,3,55,0,73,0,0,8,6,40,3,62,61,38,175,190,823,32,1317,0,0,3,3,0,0,4,0,0,3,0,0,0,7,0,0,12,12,22,4,56,0,0,3,0,6,0,6,0,4,3,13,26,4,39,0,0,5,6,7,0,14,3,0,23,16,54,3,94,0,0,6,9
UCL214012,0,0,6,11,35,0,58,0,0,0,0,0,0,0,0,4,16,13,124,0,161,0,0,3,5,17,0,27,0,0,5,5,112,3,123,0,0,0,0,9,0,12,0,0,9,10,29,8,54,0,0,0,8,10,0,21,0,0,0,3,19,3,25,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,5,0,5,0,12,4,0,18,3,4,3,32,3,0,0,4,9,3,15,0,4,3,5,19,0,29,8,6,14,10,5,0,38,4,0,12,7,22,0,44,0,0,0,0,3,0,8,0,0,4,0,42,0,52,0,0,0,0,16,8,35,26,18,87,99,492,31,749,0,0,3,0,14,3,26,0,0,0,0,0,0,0,0,0,9,8,26,0,43,0,3,0,0,0,0,5,0,0,4,0,0,0,3,0,0,0,3,3,0,8,0,0,5,14,26,3,42,0,0,0,4
UCL214013,0,4,0,6,5,0,17,0,0,0,0,0,0,0,3,0,27,17,41,20,114,4,0,0,0,9,0,15,0,0,14,11,80,0,111,0,0,8,4,9,0,22,0,3,14,7,24,0,49,0,0,0,4,18,0,27,0,0,0,0,12,4,21,0,0,7,7,4,0,18,0,3,5,3,3,0,26,0,0,0,0,3,0,8,14,0,42,11,11,0,81,0,0,6,0,3,0,18,11,7,21,20,29,0,80,22,12,22,0,7,0,65,12,4,17,0,6,0,35,0,0,13,0,6,0,16,0,4,8,0,14,0,26,0,0,6,0,10,3,21,76,52,220,109,283,29,770,0,0,3,0,4,0,3,0,0,0,0,0,0,0,5,0,15,0,7,3,40,0,0,0,0,0,0,4,0,5,0,0,4,0,5,0,0,4,5,4,3,12,0,7,16,16,30,4,75,0,6,9,9
UCL214014,0,0,4,8,31,9,48,0,0,0,0,8,0,8,0,0,0,0,39,0,42,0,0,0,0,11,0,10,0,0,6,3,94,6,110,0,0,0,0,5,0,4,0,0,5,8,34,4,52,3,0,9,9,42,0,63,0,0,4,3,29,5,37,0,0,3,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,7,0,9,0,0,9,5,11,0,19,0,0,0,5,14,0,15,7,0,5,21,29,3,54,3,8,18,8,0,0,36,9,4,16,11,21,3,62,0,0,0,0,3,0,0,0,0,0,5,16,0,23,0,0,3,0,18,8,33,18,9,75,85,398,40,632,0,0,3,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,4,13,0,0,0,0,0,0,5,0,0,5,4,3,3,13,0,0,0,0,6,0,9,4,0,5,6,16,8,41,6,0,12,14
