UCL_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
UCL214018,57,0,8,0,68,35,0,4,0,33,4,0,6,0,14,15,0,14,0,30,63,0,10,0,71,54,3,19,3,71,242,13,31,3,289,152,18,39,3,213,187,43,39,7,268,174,36,27,3,243,75,40,16,5,140,101,43,22,0,166,135,99,30,6,271,93,87,7,0,192,59,60,0,3,120,42,36,0,0,79,83,80,8,0,171,68,65,23,0,159,38,8,8,0,51,1669,630,310,45,2655
UCL214019,13,0,0,0,15,9,0,0,0,14,0,0,3,0,11,10,0,10,0,19,16,0,18,0,39,8,7,48,0,57,83,9,53,3,147,65,16,44,7,136,53,25,44,10,135,69,35,45,9,159,37,28,28,0,90,35,28,19,0,82,71,81,30,0,187,36,68,12,0,121,25,44,6,0,78,17,14,4,0,36,21,47,6,0,67,36,52,26,0,114,16,4,12,0,35,620,463,423,34,1532
UCL214020,4,0,11,0,15,8,0,3,0,12,4,0,3,0,5,4,0,5,0,13,17,0,15,3,30,21,3,34,0,58,111,13,23,5,148,81,10,37,0,137,66,17,28,0,116,77,45,25,4,151,39,33,24,3,102,36,37,13,3,84,85,98,8,3,198,45,44,7,0,100,25,43,0,0,70,15,29,0,0,43,12,32,0,0,48,33,43,3,0,79,11,0,10,4,24,712,455,243,34,1442
UCL214021,13,4,4,0,21,4,0,7,0,4,7,0,7,0,10,0,0,9,0,6,16,4,17,0,38,5,0,21,0,31,56,6,18,3,83,40,10,29,0,80,51,27,36,8,118,41,28,36,0,98,23,40,28,0,88,27,42,15,3,87,62,123,29,3,214,51,99,7,0,155,31,83,9,0,130,8,44,6,0,61,28,81,7,0,116,20,42,31,0,93,7,11,3,0,26,481,661,303,20,1459
UCL214022,19,0,6,0,26,16,4,3,0,21,10,0,11,0,13,11,0,15,0,28,41,5,34,0,83,27,7,44,0,79,213,10,71,3,291,133,28,56,4,221,118,52,65,5,237,109,53,53,6,219,45,66,20,4,141,68,66,23,0,158,69,110,24,0,205,44,86,10,0,143,23,46,0,0,70,9,30,0,0,39,13,45,3,0,69,36,58,35,4,131,30,7,17,0,50,1034,674,495,26,2224
UCL215001,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,7,3,0,0,0,7,10,0,3,0,18,9,0,0,0,11,18,6,7,0,25,25,10,0,0,30,8,8,6,0,23,19,10,3,0,29,22,15,0,0,47,19,17,0,0,34,17,8,0,0,21,16,7,0,0,16,38,30,6,0,74,14,17,6,0,41,0,0,0,0,0,228,121,42,8,402
UCL215002,9,0,0,0,13,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,14,0,0,0,17,9,0,10,0,13,61,4,14,0,75,29,3,18,0,49,32,10,18,0,63,41,16,8,0,68,16,18,9,0,42,13,24,3,0,42,34,49,4,0,90,22,25,0,0,47,16,24,0,0,39,4,7,0,0,16,9,13,0,0,16,21,16,10,0,48,3,6,8,0,18,327,217,105,6,662
UCL215003,0,0,0,0,9,3,0,0,0,3,9,0,0,0,12,0,0,0,0,3,13,0,4,0,11,9,0,0,0,11,30,3,0,0,39,40,10,3,0,52,51,11,7,0,62,41,15,7,0,64,27,19,9,0,48,41,14,3,0,54,55,34,9,0,96,38,43,0,0,77,29,24,3,0,59,15,25,0,0,47,70,74,3,0,145,16,24,11,0,52,9,3,0,0,13,494,291,77,8,857
UCL215004,6,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,6,5,0,11,0,8,15,3,5,0,24,20,7,8,0,32,25,7,8,0,36,19,8,3,0,38,12,15,9,0,31,16,0,4,0,24,21,20,0,0,42,9,7,0,0,18,5,16,0,0,23,0,4,0,0,5,9,7,3,0,21,7,10,4,0,20,3,0,0,0,3,178,101,57,5,342
UCL215005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,4,0,9,0,11,5,0,0,0,6,32,4,0,3,44,12,8,3,3,28,15,7,10,0,28,11,9,4,0,33,4,11,6,0,19,4,10,0,0,12,10,13,3,0,32,5,9,0,0,18,0,3,0,0,7,0,0,0,0,6,3,5,0,0,7,3,9,10,0,18,7,3,0,0,13,151,87,60,5,295
UCL215006,6,0,0,0,3,7,0,0,0,3,4,0,3,0,10,5,0,0,0,4,5,0,7,0,12,4,0,5,0,11,35,0,13,0,53,30,0,11,3,44,28,13,17,0,63,25,13,16,0,53,10,17,7,0,42,27,19,8,0,55,30,47,11,0,95,23,38,4,0,71,23,37,3,0,70,11,23,0,0,29,15,37,0,0,55,21,11,10,0,37,9,9,0,0,17,312,274,137,12,731
UCL215007,0,0,0,0,8,3,0,0,0,3,3,0,0,0,3,0,0,4,0,0,14,0,3,0,17,5,0,4,0,8,30,5,8,0,39,31,3,11,0,45,32,6,8,0,43,38,0,9,5,51,16,13,5,0,40,17,13,0,0,36,32,39,15,0,90,25,32,0,0,53,32,40,0,0,68,9,19,0,0,34,34,85,7,0,126,18,20,12,0,51,0,5,0,0,4,352,283,80,7,721
UCL215008,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,3,0,3,20,0,5,0,24,12,0,9,0,13,18,4,5,0,28,19,12,11,0,47,11,15,7,0,28,22,22,4,0,43,32,56,4,0,94,36,48,0,0,81,13,33,3,0,55,9,36,0,0,42,12,41,0,0,56,8,26,6,0,36,0,3,6,0,8,223,291,47,0,570
UCL215009,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,8,0,0,0,8,0,0,4,0,9,35,6,4,0,41,24,6,7,0,36,12,4,5,0,16,13,4,3,0,26,4,7,0,0,12,7,7,0,0,13,19,16,0,0,34,6,11,0,0,15,7,4,0,0,15,0,3,0,0,3,6,3,0,0,8,4,5,0,0,10,6,0,3,0,10,157,71,38,4,273
UCL215010,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,6,0,0,0,5,16,0,0,0,10,11,3,3,0,13,18,10,3,0,26,23,8,8,0,39,0,8,6,0,10,7,14,0,0,27,26,31,10,0,65,20,49,0,0,78,17,49,0,0,75,5,36,0,0,44,15,123,4,0,141,8,33,7,0,46,8,5,0,0,10,186,374,40,6,601
UCL215011,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,5,0,4,4,0,6,0,14,20,0,6,0,31,17,4,3,0,29,14,0,5,0,22,15,7,3,0,26,10,5,0,0,18,12,9,5,0,25,20,15,0,0,39,12,15,0,0,19,3,10,0,0,16,0,4,0,0,10,5,4,0,0,8,4,12,5,0,23,7,0,3,0,12,158,76,61,7,302
UCL215012,5,0,0,0,6,8,0,0,0,9,0,0,0,0,0,0,0,0,0,3,13,0,3,0,16,9,0,20,0,29,57,0,10,0,64,29,3,15,0,46,46,15,19,0,81,56,16,14,0,88,26,13,17,0,59,31,10,6,0,50,51,47,13,3,114,35,45,3,0,91,18,41,0,0,61,20,27,0,0,50,29,35,0,0,68,16,31,13,0,58,13,0,4,0,15,454,286,150,8,900
UCL215013,3,3,4,0,10,0,0,0,0,0,0,4,0,0,3,0,0,0,0,5,3,4,0,0,9,4,0,9,0,10,11,9,12,0,33,16,19,10,0,41,20,26,8,0,55,19,40,13,0,75,14,31,13,0,65,15,62,5,0,81,50,129,15,0,199,31,117,10,3,163,37,82,4,0,120,16,56,0,0,75,31,87,3,0,120,9,47,4,0,59,0,6,0,0,12,292,713,130,7,1140
UCL215014,5,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,0,0,0,6,14,0,3,0,21,8,3,6,0,17,12,0,0,0,19,6,14,9,0,28,12,16,4,0,25,4,17,0,0,19,20,34,8,0,66,12,29,0,0,46,6,21,0,0,31,0,16,0,0,24,5,15,0,0,21,4,8,3,0,16,3,3,0,0,4,120,177,50,6,355
UCL215015,0,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,0,5,0,6,8,0,0,0,9,5,0,10,0,15,36,4,6,0,48,36,6,15,6,55,36,10,15,0,54,54,13,6,0,73,20,8,6,0,41,20,15,7,0,40,42,28,3,0,76,27,30,4,0,62,17,25,3,0,51,10,18,0,0,27,25,25,0,0,53,13,18,5,0,42,8,6,0,0,12,367,213,87,7,668
UCL215016,0,4,3,0,10,4,0,0,0,3,7,0,0,0,5,0,0,6,0,6,7,3,8,0,24,7,4,15,0,34,52,11,23,0,90,29,10,32,0,72,39,24,23,3,88,32,27,21,6,82,19,26,19,0,73,21,37,15,4,75,66,94,22,0,179,37,53,8,0,97,35,43,7,0,85,5,22,3,0,26,15,56,5,0,76,17,34,18,0,72,12,5,5,0,22,416,441,237,22,1122
UCL215017,6,0,0,0,6,4,0,0,0,4,7,0,0,0,8,0,0,3,0,7,0,0,3,0,7,7,0,5,0,12,40,4,3,0,47,24,0,12,0,38,15,4,12,0,33,22,15,13,0,47,12,16,3,0,31,15,24,4,0,41,33,65,4,0,100,25,59,0,0,83,20,41,3,0,64,3,27,4,0,35,20,63,0,0,81,13,22,7,0,42,12,7,3,0,19,282,344,80,8,713
UCL215018,5,0,0,0,6,8,0,0,0,8,0,0,0,0,0,3,0,0,0,4,12,0,16,0,28,6,0,12,0,15,59,0,14,3,74,46,12,15,3,72,35,16,12,5,70,43,15,12,0,75,18,16,11,0,48,16,23,3,0,42,33,35,12,0,77,27,37,4,0,70,16,27,0,0,43,13,11,0,0,25,15,15,0,0,29,19,22,6,0,46,8,0,0,0,14,376,248,121,17,761
UCL215019,5,3,0,0,9,3,0,4,0,4,0,0,0,0,6,3,0,5,0,8,13,0,3,0,12,0,0,4,0,9,25,5,4,0,38,19,5,11,0,29,19,7,18,3,45,26,21,4,0,54,16,16,10,0,40,6,15,3,0,31,35,41,13,0,82,21,27,0,0,51,19,33,3,0,54,5,20,0,0,29,18,24,0,0,46,6,25,6,0,42,5,0,3,0,9,249,246,75,9,583
UCL215020,0,0,0,0,4,4,0,0,0,4,0,0,0,0,3,0,0,4,0,4,3,0,6,0,6,8,0,0,0,10,49,0,6,0,57,25,4,12,0,39,18,5,6,6,29,18,6,0,0,30,13,8,7,0,26,7,7,0,0,18,11,19,3,0,30,5,9,0,0,17,4,3,0,0,11,3,0,0,0,0,5,3,0,0,9,3,6,3,0,17,10,0,0,0,7,185,77,51,11,323
UCL215021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,6,0,4,0,7,21,0,5,0,32,13,5,0,0,17,20,3,6,0,34,21,3,9,0,30,6,12,4,0,21,11,14,0,0,26,18,28,5,0,51,10,21,3,0,29,3,10,0,0,15,0,10,0,0,6,0,8,0,0,11,7,7,0,0,22,5,0,8,0,8,150,121,46,9,320
UCL215022,5,3,10,0,15,4,0,0,0,5,4,0,6,0,10,5,0,16,0,23,13,7,26,3,47,14,3,34,0,58,69,15,36,0,124,67,14,52,3,144,51,31,37,4,127,48,52,38,0,132,37,24,11,0,69,23,32,8,0,65,68,61,20,0,152,30,32,3,0,66,13,30,0,0,42,4,18,0,0,27,15,49,0,0,64,22,29,14,0,67,6,0,4,3,16,504,405,315,24,1248
UCL215023,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,0,4,0,18,7,0,9,0,17,37,0,11,0,49,16,3,11,0,30,16,11,5,0,33,20,6,3,5,32,11,14,8,0,27,11,9,0,0,21,23,23,0,5,49,19,12,3,5,37,8,14,0,0,26,4,8,0,0,10,9,9,0,0,17,9,15,11,0,32,9,0,0,0,5,200,126,71,8,406
UCL215024,3,0,0,0,3,4,0,0,0,3,0,0,0,0,0,3,0,5,0,8,9,0,3,0,13,0,0,4,0,9,52,6,8,0,53,30,0,10,0,49,33,9,11,3,60,40,11,8,0,54,17,16,4,0,28,14,12,6,0,33,15,35,5,0,57,11,23,3,0,38,5,11,0,0,19,4,7,0,0,15,3,11,0,0,10,8,4,3,4,17,9,4,0,0,16,267,150,66,4,479
UCL215025,4,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,3,0,8,4,0,5,0,6,28,4,3,0,35,19,0,8,0,32,15,3,6,0,27,17,13,5,0,36,9,3,0,0,12,11,5,0,0,19,18,18,0,0,32,10,3,3,0,18,7,6,0,0,16,4,4,0,0,13,5,8,3,0,15,0,11,7,0,19,0,0,0,0,8,178,79,49,0,309
UCL215026,3,3,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,4,0,0,0,10,4,0,9,0,15,28,0,10,0,38,10,5,7,0,30,16,6,0,0,31,16,11,5,0,32,6,8,4,0,19,9,8,0,0,11,17,16,8,0,36,10,10,0,0,21,6,7,0,0,7,10,0,0,0,12,4,6,0,0,9,5,0,4,0,10,7,0,3,0,8,155,79,51,6,293
UCL215027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,0,5,0,9,0,0,3,0,4,26,4,8,0,41,17,4,7,0,28,21,7,4,0,33,14,6,3,0,21,6,3,0,3,11,6,7,0,0,14,19,21,3,0,45,8,8,0,0,16,3,5,0,0,13,4,3,0,0,3,4,9,0,0,12,11,13,0,0,18,4,0,0,0,4,148,87,37,5,273
UCL215028,9,0,0,0,11,8,0,0,0,6,0,4,3,0,7,0,0,3,0,3,14,0,4,0,21,8,0,11,0,17,55,6,11,0,70,31,0,22,0,56,34,14,15,0,61,44,21,12,0,78,12,19,8,0,46,21,24,4,3,45,40,49,8,0,99,28,32,3,0,67,12,20,0,0,23,3,11,0,0,18,12,19,3,0,32,16,11,14,0,46,3,3,0,0,13,358,232,121,4,718
UCL215029,11,0,0,0,12,6,0,0,0,6,8,0,4,0,7,0,0,3,0,9,8,0,9,0,14,8,0,13,0,23,45,9,20,0,76,30,13,25,0,66,52,9,24,0,84,53,22,11,0,85,42,17,11,0,65,32,20,14,0,70,65,32,13,0,107,45,37,0,0,84,28,23,3,0,54,17,18,0,0,34,67,32,5,0,95,27,18,21,0,65,6,0,3,0,18,548,239,180,11,980
UCL215030,4,0,0,0,7,4,0,0,0,9,4,0,0,0,0,0,0,3,0,7,7,0,9,0,14,4,3,0,0,13,22,0,7,0,35,24,0,10,0,40,20,4,5,0,39,22,11,7,0,35,10,6,3,0,19,11,8,0,0,22,20,14,3,0,33,8,7,0,0,16,8,8,0,0,16,4,3,0,0,6,3,13,0,0,13,5,7,3,0,16,7,0,0,3,10,190,98,60,3,351
UCL215031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,3,4,6,0,12,40,0,8,0,49,18,0,4,0,21,13,9,8,3,32,23,18,3,0,41,10,10,0,0,27,12,7,0,0,21,23,23,0,0,46,12,12,0,0,24,3,6,0,0,16,3,3,0,0,6,5,9,0,0,12,7,14,5,0,20,4,0,0,0,4,173,111,49,8,339
UCL215032,0,0,0,0,9,3,0,0,0,3,4,0,0,0,7,0,0,6,0,6,15,0,14,0,32,7,0,11,0,22,70,3,23,0,91,46,10,20,4,72,44,14,26,0,81,43,21,12,0,80,19,21,10,0,48,21,29,12,0,63,45,35,5,0,85,26,23,8,0,55,12,22,0,0,33,7,12,0,0,23,4,14,0,0,24,21,22,16,4,61,10,3,6,0,23,403,230,173,14,825
UCL215033,3,0,4,0,4,0,0,0,0,0,0,0,0,0,6,0,0,6,0,5,3,0,0,0,7,7,0,4,0,6,20,3,4,0,21,16,4,4,0,25,11,4,6,0,24,11,21,7,0,35,14,16,0,0,29,10,20,4,0,42,34,71,11,0,117,31,80,3,0,113,25,60,3,0,88,11,67,4,0,81,34,114,3,0,149,5,33,3,0,40,0,5,0,0,3,231,494,76,0,803
UCL215034,7,0,0,0,7,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,3,0,7,4,0,4,0,12,30,3,3,0,39,27,0,11,0,34,20,4,8,0,27,25,13,7,0,37,14,5,3,0,25,9,4,0,0,14,14,13,4,0,35,4,3,0,0,10,3,3,0,0,14,0,4,0,0,3,7,6,0,0,15,3,9,0,0,17,7,0,4,0,11,183,69,46,0,302
UCL215035,0,0,0,0,5,0,0,0,0,6,3,0,0,0,3,3,0,0,0,3,3,0,0,0,4,6,0,3,0,10,27,4,0,0,33,12,0,3,0,22,19,12,3,0,34,16,15,6,0,35,11,18,0,0,25,10,15,3,0,30,24,34,10,0,60,15,44,0,0,64,9,22,0,0,36,5,18,0,0,22,6,16,0,0,21,4,18,0,0,23,9,3,0,0,13,177,219,44,4,438
UCL215036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,5,0,0,8,0,5,13,0,6,0,21,7,0,0,0,17,9,5,4,0,18,15,10,7,0,21,3,4,6,0,20,10,11,3,0,25,9,24,3,0,37,9,33,0,3,45,3,21,0,0,27,4,15,0,0,24,9,23,0,0,30,4,7,9,0,26,7,0,6,0,8,118,158,49,5,328
UCL215037,4,0,5,0,5,4,0,0,0,4,0,0,0,0,0,0,0,4,0,4,8,0,0,0,13,8,0,6,0,11,31,4,15,0,46,15,5,14,0,36,13,10,14,0,33,14,19,4,0,36,13,11,3,0,22,13,14,0,0,24,25,17,0,0,45,11,10,0,0,20,8,9,0,0,12,3,3,0,0,9,10,9,0,0,19,6,10,7,0,20,7,4,6,0,15,188,105,71,6,372
UCL215038,4,0,0,0,3,3,0,0,0,3,0,0,0,0,3,0,0,5,0,8,7,6,4,0,15,3,0,3,0,11,54,4,13,0,75,36,0,13,0,55,30,6,12,0,49,27,18,7,0,55,10,10,0,0,20,9,12,0,0,27,23,15,0,0,41,5,13,0,0,21,8,4,0,0,13,5,0,0,0,5,13,8,0,0,18,18,14,9,0,34,10,0,4,0,15,254,121,79,14,462
UCL215039,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,5,10,9,0,0,0,13,4,6,0,0,10,45,5,4,0,56,16,4,14,4,42,15,9,13,0,38,11,9,9,0,34,6,7,6,0,17,11,20,3,0,25,10,26,3,0,40,6,18,0,0,22,5,8,0,0,12,6,0,0,0,3,3,15,0,0,16,4,11,0,0,17,8,0,0,0,11,162,126,68,15,372
UCL215040,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,4,0,6,0,7,0,4,9,0,17,35,0,9,0,40,12,0,11,0,24,21,6,9,0,33,8,4,5,0,19,3,8,3,0,18,9,7,3,0,25,23,14,5,0,35,11,11,5,0,23,9,6,0,0,13,3,3,0,0,14,3,5,0,0,8,6,9,6,3,23,0,0,3,0,5,153,86,76,8,323
UCL215041,7,0,0,0,7,4,0,0,0,5,3,0,0,0,3,0,0,10,0,7,18,0,12,0,25,10,3,14,0,29,76,3,20,0,99,61,10,26,3,93,48,19,19,0,89,47,32,9,6,88,18,29,12,0,61,28,21,7,3,59,41,55,11,0,107,21,38,4,0,66,12,21,0,0,40,9,13,0,0,21,3,24,3,0,32,15,24,13,0,52,13,6,10,0,31,437,298,160,25,914
UCL215042,7,0,0,0,8,0,0,0,0,4,0,0,0,0,3,5,0,0,0,4,3,0,0,0,5,0,4,4,0,0,10,5,0,0,18,7,6,9,0,19,11,9,6,0,22,13,13,0,0,31,9,11,3,0,17,9,4,4,0,22,28,28,4,0,57,15,21,3,0,35,4,19,0,0,18,9,15,0,0,18,19,13,0,0,27,8,20,4,0,27,0,0,0,0,8,147,147,43,0,344
UCL215043,9,0,5,0,14,3,0,0,0,4,0,0,3,0,4,0,0,3,0,3,4,0,7,0,11,8,5,5,0,12,30,0,24,0,56,12,11,19,0,42,21,14,20,0,55,18,26,16,0,59,14,36,9,0,59,19,36,8,0,67,61,102,16,6,183,33,76,7,0,122,21,45,0,0,68,8,27,6,0,39,4,33,0,0,41,10,21,6,0,40,9,8,0,0,17,297,434,156,17,896
UCL215044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,6,3,0,3,0,11,34,5,17,0,47,25,9,15,0,43,18,4,4,0,24,23,20,13,0,53,17,18,5,0,39,17,10,4,0,30,24,40,7,0,70,13,35,0,0,49,10,20,0,0,30,3,11,0,0,20,8,12,0,0,18,8,18,5,0,28,4,5,3,0,7,203,197,75,10,491
UCL215045,8,0,3,0,12,4,0,0,0,4,0,0,0,0,3,4,0,6,0,13,18,0,16,0,32,18,3,12,0,32,71,0,18,3,93,55,8,20,0,82,35,31,26,6,87,61,31,23,3,116,25,32,15,0,71,26,32,15,0,68,44,65,17,0,127,26,33,0,0,65,14,36,0,0,54,4,22,0,0,21,12,32,0,0,45,21,25,17,0,61,8,4,3,3,19,449,363,195,17,1019
UCL215046,4,0,0,0,4,4,0,0,0,4,0,0,3,0,4,0,0,7,0,3,3,0,3,0,5,4,4,11,0,16,21,0,10,0,37,12,5,5,4,17,14,6,10,3,28,21,19,5,0,41,5,16,9,0,28,17,16,4,0,38,25,46,7,0,80,16,22,0,0,45,12,19,4,0,39,10,12,3,0,22,9,26,0,0,38,8,15,8,0,29,8,0,0,0,8,193,209,86,10,489
UCL215047,3,0,0,0,11,0,0,0,0,0,3,0,0,0,4,4,0,0,0,3,5,0,5,0,12,8,0,0,0,7,28,3,6,0,34,15,5,12,0,30,16,8,9,0,31,12,18,10,0,42,4,32,9,0,41,25,27,4,0,53,45,62,4,0,112,35,46,7,0,96,16,22,0,0,38,8,13,0,0,22,3,16,0,0,18,10,21,3,0,38,3,3,0,0,4,243,285,77,4,612
UCL215048,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,4,0,10,7,3,15,0,22,33,0,6,0,50,16,4,14,0,41,15,5,11,0,24,13,17,16,0,41,3,18,12,4,36,10,31,4,0,46,29,50,11,0,85,20,29,6,0,51,10,11,0,0,23,5,3,0,0,7,10,5,0,0,17,9,9,4,0,20,6,0,6,0,14,175,202,114,9,501
UCL215049,0,0,6,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,3,0,0,0,0,5,12,0,0,0,17,6,3,9,0,18,9,4,4,0,21,14,5,3,0,25,11,10,3,0,21,11,7,3,0,22,13,7,0,0,29,15,5,0,0,22,9,11,0,0,21,4,0,0,0,7,26,19,3,0,53,10,9,4,0,25,0,0,0,0,0,156,85,35,3,289
UCL215050,10,0,0,0,14,3,0,0,0,7,5,0,0,0,5,0,0,0,0,0,5,0,9,0,13,7,0,0,0,7,21,0,9,0,25,21,0,9,0,31,25,6,6,0,37,42,12,7,0,51,19,9,10,0,33,19,13,0,0,39,29,34,5,0,69,25,41,9,0,73,25,38,8,0,74,20,35,0,0,57,75,153,3,0,234,10,32,9,0,56,3,5,0,0,5,360,391,67,3,825
UCL215051,11,0,7,0,15,5,0,0,0,3,9,0,9,0,12,0,0,9,0,10,21,0,8,0,36,15,0,29,0,43,74,7,31,0,122,65,5,25,0,94,46,12,20,5,86,53,31,27,0,122,28,22,12,0,65,40,38,12,0,94,72,83,13,0,168,34,57,5,0,99,17,29,0,0,50,10,23,0,0,30,27,46,0,0,69,31,49,7,0,87,10,4,5,0,20,554,417,223,17,1217
UCL215052,3,0,0,0,3,4,0,0,0,4,0,0,0,0,5,0,0,0,0,3,8,0,3,0,4,0,0,5,0,8,32,0,4,0,31,19,0,10,5,29,31,3,4,0,42,28,6,6,0,44,10,6,4,0,24,21,0,4,0,28,20,15,0,0,37,12,14,0,0,27,10,8,0,0,15,5,8,0,0,9,12,15,0,0,27,7,11,8,0,28,4,0,3,0,5,229,98,50,9,386
UCL215053,7,0,0,0,12,9,4,0,0,6,3,0,0,0,7,5,0,4,0,8,14,0,10,0,25,10,0,15,6,26,67,0,19,0,83,39,0,25,3,72,60,11,20,0,89,41,27,24,0,92,17,27,7,3,58,29,38,8,0,79,72,67,6,0,147,22,49,8,0,90,27,30,0,0,64,15,19,3,0,37,26,33,3,0,61,17,47,11,0,80,12,4,0,0,15,503,359,173,13,1042
UCL215054,0,0,0,0,0,5,0,0,0,5,0,0,3,0,3,3,0,7,0,4,3,0,13,0,13,5,5,13,0,24,34,5,9,0,51,19,8,12,3,44,21,12,14,0,42,22,11,14,0,47,16,25,8,0,43,9,20,4,0,39,28,30,8,0,62,14,24,3,0,40,9,17,0,0,23,0,5,0,0,5,3,0,4,0,10,15,14,9,0,35,11,0,5,0,12,223,170,111,8,512
