UCL_CODE_2021,M_NatPhySci_Occ_Mng,M_NatPhySci_Occ_Pro,M_NatPhySci_Occ_TTW,M_NatPhySci_Occ_CPS,M_NatPhySci_Occ_CA,M_NatPhySci_Occ_Sal,M_NatPhySci_Occ_MOD,M_NatPhySci_Occ_Lab,M_NatPhySci_Occ_IDNS,M_NatPhySci_Total,M_InfoTechn_Occ_Mng,M_InfoTechn_Occ_Pro,M_InfoTechn_Occ_TTW,M_InfoTechn_Occ_CPS,M_InfoTechn_Occ_CA,M_InfoTechn_Occ_Sal,M_InfoTechn_Occ_MOD,M_InfoTechn_Occ_Lab,M_InfoTechn_Occ_IDNS,M_InfoTechn_Total,M_EngRelTech_Occ_Mng,M_EngRelTech_Occ_Pro,M_EngRelTech_Occ_TTW,M_EngRelTech_Occ_CPS,M_EngRelTech_Occ_CA,M_EngRelTech_Occ_Sal,M_EngRelTech_Occ_MOD,M_EngRelTech_Occ_Lab,M_EngRelTech_Occ_IDNS,M_EngRelTech_Total,M_ArchitBuild_Occ_Mng,M_ArchitBuild_Occ_Pro,M_ArchitBuild_Occ_TTW,M_ArchitBuild_Occ_CPS,M_ArchitBuild_Occ_CA,M_ArchitBuild_Occ_Sal,M_ArchitBuild_Occ_MOD,M_ArchitBuild_Occ_Lab,M_ArchitBuild_Occ_IDNS,M_ArchitBuild_Total,M_AgriEnviRelStu_Occ_Mng,M_AgriEnviRelStu_Occ_Pro,M_AgriEnviRelStu_Occ_TTW,M_AgriEnviRelStu_Occ_CPS,M_AgriEnviRelStu_Occ_CA,M_AgriEnviRelStu_Occ_Sal,M_AgriEnviRelStu_Occ_MOD,M_AgriEnviRelStu_Occ_Lab,M_AgriEnviRelStu_Occ_IDNS,M_AgriEnviRelStu_Total,M_Health_Occ_Mng,M_Health_Occ_Pro,M_Health_Occ_TTW,M_Health_Occ_CPS,M_Health_Occ_CA,M_Health_Occ_Sal,M_Health_Occ_MOD,M_Health_Occ_Lab,M_Health_Occ_IDNS,M_Health_Total,M_Educat_Occ_Mng,M_Educat_Occ_Pro,M_Educat_Occ_TTW,M_Educat_Occ_CPS,M_Educat_Occ_CA,M_Educat_Occ_Sal,M_Educat_Occ_MOD,M_Educat_Occ_Lab,M_Educat_Occ_IDNS,M_Educat_Total,M_ManagCom_Occ_Mng,M_ManagCom_Occ_Pro,M_ManagCom_Occ_TTW,M_ManagCom_Occ_CPS,M_ManagCom_Occ_CA,M_ManagCom_Occ_Sal,M_ManagCom_Occ_MOD,M_ManagCom_Occ_Lab,M_ManagCom_Occ_IDNS,M_ManagCom_Total,M_SocietCultu_Occ_Mng,M_SocietCultu_Occ_Pro,M_SocietCultu_Occ_TTW,M_SocietCultu_Occ_CPS,M_SocietCultu_Occ_CA,M_SocietCultu_Occ_Sal,M_SocietCultu_Occ_MOD,M_SocietCultu_Occ_Lab,M_SocietCultu_Occ_IDNS,M_SocietCultu_Total,M_CreatArt_Occ_Mng,M_CreatArt_Occ_Pro,M_CreatArt_Occ_TTW,M_CreatArt_Occ_CPS,M_CreatArt_Occ_CA,M_CreatArt_Occ_Sal,M_CreatArt_Occ_MOD,M_CreatArt_Occ_Lab,M_CreatArt_Occ_IDNS,M_CreatArt_Total,M_FoodHospPersServ_Occ_Mng,M_FoodHospPersServ_Occ_Pro,M_FoodHospPersServ_Occ_TTW,M_FoodHospPersServ_Occ_CPS,M_FoodHospPersServ_Occ_CA,M_FoodHospPersServ_Occ_Sal,M_FoodHospPersServ_Occ_MOD,M_FoodHospPersServ_Occ_Lab,M_FoodHospPersServ_Occ_IDNS,M_FoodHospPersServ_Total,M_MixFieldProg_Occ_Mng,M_MixFieldProg_Occ_Pro,M_MixFieldProg_Occ_TTW,M_MixFieldProg_Occ_CPS,M_MixFieldProg_Occ_CA,M_MixFieldProg_Occ_Sal,M_MixFieldProg_Occ_MOD,M_MixFieldProg_Occ_Lab,M_MixFieldProg_Occ_IDNS,M_MixFieldProg_Total,M_FS_ID_Occ_Mng,M_FS_ID_Occ_Pro,M_FS_ID_Occ_TTW,M_FS_ID_Occ_CPS,M_FS_ID_Occ_CA,M_FS_ID_Occ_Sal,M_FS_ID_Occ_MOD,M_FS_ID_Occ_Lab,M_FS_ID_Occ_IDNS,M_FS_ID_Total,M_FS_NS_Occ_Mng,M_FS_NS_Occ_Pro,M_FS_NS_Occ_TTW,M_FS_NS_Occ_CPS,M_FS_NS_Occ_CA,M_FS_NS_Occ_Sal,M_FS_NS_Occ_MOD,M_FS_NS_Occ_Lab,M_FS_NS_Occ_IDNS,M_FS_NS_Total,M_Tot_Occ_Mng,M_Tot_Occ_Pro,M_Tot_Occ_TTW,M_Tot_Occ_CPS,M_Tot_Occ_CA,M_Tot_Occ_Sal,M_Tot_Occ_MOD,M_Tot_Occ_Lab,M_Tot_Occ_IDNS,M_Total_Total,F_NatPhySci_Occ_Mng,F_NatPhySci_Occ_Pro,F_NatPhySci_Occ_TTW,F_NatPhySci_Occ_CPS,F_NatPhySci_Occ_CA,F_NatPhySci_Occ_Sal,F_NatPhySci_Occ_MOD,F_NatPhySci_Occ_Lab,F_NatPhySci_Occ_IDNS,F_NatPhySci_Total,F_InfoTechn_Occ_Mng,F_InfoTechn_Occ_Pro,F_InfoTechn_Occ_TTW,F_InfoTechn_Occ_CPS,F_InfoTechn_Occ_CA,F_InfoTechn_Occ_Sal,F_InfoTechn_Occ_MOD,F_InfoTechn_Occ_Lab,F_InfoTechn_Occ_IDNS,F_InfoTechn_Total,F_EngRelTech_Occ_Mng,F_EngRelTech_Occ_Pro,F_EngRelTech_Occ_TTW,F_EngRelTech_Occ_CPS,F_EngRelTech_Occ_CA,F_EngRelTech_Occ_Sal,F_EngRelTech_Occ_MOD,F_EngRelTech_Occ_Lab,F_EngRelTech_Occ_IDNS,F_EngRelTech_Total,F_ArchitBuild_Occ_Mng,F_ArchitBuild_Occ_Pro,F_ArchitBuild_Occ_TTW,F_ArchitBuild_Occ_CPS,F_ArchitBuild_Occ_CA,F_ArchitBuild_Occ_Sal,F_ArchitBuild_Occ_MOD,F_ArchitBuild_Occ_Lab,F_ArchitBuild_Occ_IDNS,F_ArchitBuild_Total,F_AgriEnviRelStu_Occ_Mng,F_AgriEnviRelStu_Occ_Pro,F_AgriEnviRelStu_Occ_TTW,F_AgriEnviRelStu_Occ_CPS,F_AgriEnviRelStu_Occ_CA,F_AgriEnviRelStu_Occ_Sal,F_AgriEnviRelStu_Occ_MOD,F_AgriEnviRelStu_Occ_Lab,F_AgriEnviRelStu_Occ_IDNS,F_AgriEnviRelStu_Total
UCL214004,3,0,0,0,0,0,0,0,0,9,5,0,4,0,0,4,0,0,0,15,34,15,86,0,0,4,18,37,8,199,8,0,34,0,0,0,18,10,0,81,7,10,16,0,5,0,10,19,0,60,0,15,0,7,0,0,3,0,0,26,0,6,0,4,0,0,0,6,0,15,16,18,11,0,4,8,0,7,0,67,3,0,3,5,0,0,3,5,0,24,0,0,0,0,0,0,0,0,0,9,4,0,24,0,4,4,7,13,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,10,0,0,10,0,0,4,4,9,8,38,95,64,192,24,19,19,74,104,18,597,0,0,0,4,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
UCL214005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,30,0,0,0,6,7,0,54,0,0,9,0,0,0,0,5,0,23,4,0,7,0,0,0,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,3,0,16,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,6,22,10,56,8,0,7,17,20,7,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5
UCL214006,0,8,0,0,0,0,0,0,0,15,8,11,0,0,4,0,0,0,0,25,28,11,70,9,6,15,12,23,3,173,23,4,87,7,3,8,6,14,3,145,10,0,17,0,0,0,5,4,0,37,6,24,0,18,4,0,0,7,0,52,3,28,3,5,0,0,0,0,0,38,30,24,8,12,9,16,10,9,0,113,14,10,4,20,8,3,0,6,5,64,0,12,6,0,0,0,0,5,0,31,6,0,39,6,0,6,0,11,0,69,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,0,17,7,0,9,0,0,6,0,3,7,34,134,134,247,77,34,56,36,88,15,817,5,3,0,6,0,0,0,3,0,18,3,0,0,0,0,0,0,0,0,6,0,4,4,4,5,4,0,0,0,18,0,0,5,4,0,0,0,5,0,11,3,5,3,0,0,0,0,0,0,24
UCL214007,0,6,0,0,0,3,4,3,0,16,8,41,15,0,9,0,3,0,0,82,34,38,108,8,9,10,51,25,6,283,12,0,93,5,0,3,13,18,3,146,0,0,3,0,0,0,3,3,0,10,0,20,6,9,3,0,0,3,0,41,5,25,0,6,0,0,0,0,0,36,35,36,7,7,39,9,21,11,4,164,6,7,8,24,13,3,7,8,0,84,4,9,7,0,6,3,3,5,0,43,3,0,16,6,5,5,10,7,0,52,0,0,0,0,0,0,0,0,0,0,6,5,8,3,0,0,3,0,0,21,5,0,6,0,0,0,8,5,3,23,116,201,276,75,90,36,117,86,22,1011,4,10,5,0,0,6,0,4,0,30,3,12,7,3,4,7,0,0,0,34,0,4,6,0,5,0,4,8,0,19,0,3,9,0,4,0,0,0,4,17,0,0,0,0,4,3,0,0,0,7
UCL214008,4,15,0,0,0,0,0,0,0,19,3,12,9,0,0,0,0,0,0,33,48,23,187,7,6,16,42,43,7,379,47,7,108,3,0,6,3,29,0,206,33,16,27,0,6,17,10,22,4,132,5,65,5,17,0,0,0,3,0,92,9,55,8,9,4,0,5,0,0,86,46,32,3,14,22,19,9,4,0,151,12,14,5,28,3,0,0,8,5,80,0,11,3,0,0,0,0,6,0,24,11,3,40,6,7,0,9,9,0,83,0,0,0,0,0,0,0,0,0,0,4,0,4,6,0,4,4,0,0,23,4,3,13,0,3,3,10,10,7,42,230,247,416,94,52,67,99,131,26,1359,3,6,0,4,4,4,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,3,0,17,0,0,0,3,0,0,0,0,0,9,8,10,4,6,10,0,0,3,0,38
UCL214009,8,26,4,6,0,0,3,4,0,53,8,9,0,0,5,0,0,0,0,30,54,36,168,12,16,9,35,31,0,362,39,7,158,4,4,3,16,22,4,253,21,22,48,4,0,7,14,10,3,129,0,24,3,15,0,0,5,3,0,51,9,28,4,10,0,0,0,0,0,53,27,19,9,14,12,13,7,5,3,104,10,20,9,17,8,0,0,3,0,82,9,12,9,3,7,0,3,10,5,55,15,3,36,0,0,5,5,10,0,75,0,0,0,0,0,0,0,0,0,4,4,9,4,0,4,0,6,4,0,26,4,4,11,3,0,0,9,4,5,41,208,214,465,89,54,44,109,108,19,1319,10,19,17,8,9,0,3,0,0,66,0,0,3,0,3,0,0,0,0,13,0,0,10,5,0,0,0,3,0,23,4,10,0,0,0,0,0,0,0,13,4,5,10,6,0,9,0,0,0,35
UCL214010,4,13,4,0,0,0,0,0,0,24,0,3,0,6,0,0,0,0,0,15,40,33,81,0,10,7,19,18,0,210,28,4,72,4,3,0,5,12,4,133,5,9,8,0,0,0,0,5,0,36,0,41,0,3,5,5,0,0,0,51,18,61,0,4,0,0,0,0,0,90,38,44,4,6,17,19,0,0,3,135,10,10,0,17,4,4,0,3,0,41,0,11,7,0,4,0,0,4,0,21,5,0,27,0,0,0,0,7,0,41,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,10,6,0,10,3,0,0,0,0,5,27,166,224,223,44,40,36,25,54,18,832,5,10,0,5,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,0,0,0,0,16,0,0,6,0,0,0,0,0,0,10,0,6,0,0,4,3,0,3,0,22
UCL214011,3,5,6,6,0,3,4,0,0,23,12,22,11,6,0,0,4,0,0,56,41,25,207,12,11,17,70,44,9,445,16,3,165,0,0,0,19,33,4,244,9,0,22,0,3,0,0,3,0,50,6,25,0,8,5,3,0,7,0,51,9,37,0,8,0,0,0,0,0,57,41,36,10,13,18,13,16,4,4,154,9,16,6,36,5,0,6,5,0,86,3,0,8,0,4,0,5,3,0,21,3,0,22,6,0,0,10,10,0,46,0,0,0,0,0,0,0,0,0,0,4,0,10,9,3,0,8,4,4,39,0,0,13,7,0,5,5,8,13,49,156,176,471,105,60,48,149,117,38,1317,0,13,0,3,4,0,0,5,0,29,0,4,0,0,0,5,0,0,0,6,0,5,6,0,4,5,3,5,0,28,0,3,0,0,3,0,0,0,0,9,0,5,4,3,3,0,0,4,0,28
UCL214012,3,6,0,0,0,0,3,0,0,13,0,3,5,0,0,0,0,0,0,14,22,11,135,10,0,3,35,46,0,279,19,0,52,0,0,0,8,16,0,101,10,4,10,0,4,0,8,8,0,41,5,14,0,7,0,0,0,3,0,30,0,30,0,5,0,0,5,3,0,37,19,19,0,10,7,12,0,9,0,88,5,9,0,14,0,6,0,3,0,43,0,5,0,0,0,0,0,6,0,17,0,0,23,5,0,3,7,9,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,4,4,6,0,0,5,3,10,7,44,89,112,246,43,21,32,70,115,14,749,0,0,10,5,0,0,0,0,0,18,0,0,0,0,3,0,0,0,0,4,0,4,3,0,0,0,0,7,0,16,0,3,0,0,0,0,0,0,0,6,3,3,6,3,3,0,0,7,0,25
UCL214013,6,15,0,0,5,0,0,4,0,26,3,17,5,0,0,0,0,6,0,34,28,19,59,9,7,4,15,15,0,154,19,15,52,0,0,0,0,9,0,97,8,4,5,0,0,0,0,4,4,27,0,14,0,4,0,0,0,0,0,20,6,33,6,4,4,0,0,0,0,57,42,21,6,4,13,5,8,13,3,119,13,25,5,18,7,0,0,6,0,83,17,36,5,5,8,5,3,0,0,68,9,0,17,7,0,0,5,8,3,42,0,0,0,0,0,0,0,5,0,4,5,5,4,0,3,0,0,4,0,17,3,0,5,0,0,3,7,5,0,23,165,202,161,48,42,28,36,72,15,770,0,3,5,0,3,0,0,0,0,17,0,0,0,0,4,0,0,0,0,6,0,6,0,0,0,0,0,0,0,10,4,7,3,0,0,0,0,0,0,14,4,4,9,0,0,0,0,3,0,25
UCL214014,4,4,0,0,0,0,0,0,0,4,3,3,3,0,0,5,0,0,0,15,20,20,66,10,4,8,16,32,4,184,26,0,50,3,4,4,13,13,0,111,8,0,11,3,0,0,0,4,0,26,7,14,0,11,0,0,0,0,0,31,0,17,0,3,0,0,0,0,0,27,22,12,5,3,0,9,5,6,0,59,4,11,0,20,4,0,3,3,0,45,0,6,6,3,0,3,0,0,0,16,15,0,23,4,0,8,0,11,0,59,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,9,4,0,6,6,0,3,0,9,8,33,108,91,168,69,22,33,42,77,22,632,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,9
UCL214015,6,5,3,0,4,0,0,0,0,18,3,3,0,0,0,0,0,6,0,15,18,12,122,8,8,8,30,14,5,221,24,9,86,4,0,0,7,9,0,131,14,6,13,0,0,4,10,13,0,47,0,20,0,7,0,0,0,0,0,34,0,32,0,4,0,3,3,0,0,47,21,28,5,0,7,7,7,7,0,81,0,16,0,19,0,0,0,0,0,40,0,4,4,0,0,3,0,0,0,14,5,0,23,0,0,4,6,10,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,0,9,3,0,3,8,0,0,36,96,139,266,47,16,30,69,64,8,736,4,6,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,3,0,0,4,6,0,0,0,0,15,0,3,6,0,4,0,0,0,0,10,0,4,3,6,7,3,0,7,0,29
UCL214016,3,5,3,0,0,0,0,0,0,7,0,9,5,0,3,3,0,0,0,16,26,5,119,11,12,10,38,34,0,256,15,6,48,7,3,3,9,15,6,103,13,6,6,5,0,6,0,3,0,37,7,16,3,8,0,0,0,0,0,28,0,27,0,0,0,3,4,0,0,43,12,13,3,5,11,10,10,12,0,73,5,10,4,30,3,0,3,6,0,62,0,0,0,0,0,0,0,4,0,10,0,0,15,4,0,3,3,7,0,41,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,6,6,0,17,0,0,5,0,0,5,8,13,4,42,87,95,216,70,38,35,77,109,13,741,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,5,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,7
UCL214017,6,15,0,0,3,0,0,6,0,37,0,7,0,0,4,0,0,3,0,17,16,33,37,3,8,4,6,9,4,121,32,16,67,0,0,4,0,8,3,128,10,7,16,0,6,0,0,0,3,35,8,40,0,9,4,0,0,0,0,61,7,36,6,3,4,4,0,5,0,54,50,66,10,4,5,12,4,8,4,162,12,30,5,4,6,4,0,7,0,69,7,13,3,0,0,3,0,6,0,29,4,0,13,0,0,0,0,4,0,17,0,0,0,0,0,0,0,0,0,0,4,8,5,0,0,0,0,0,0,22,3,0,10,0,0,0,0,0,3,22,165,268,158,34,31,33,9,36,26,770,4,14,6,4,3,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,0,0,0,0,8,0,3,4,0,0,0,0,0,0,12,3,0,6,0,5,0,0,0,0,20
UCL214018,4,13,0,0,3,7,5,0,0,30,13,10,7,0,3,0,0,0,0,37,41,31,104,9,16,6,35,41,6,279,30,12,130,5,4,4,9,20,9,218,9,7,8,4,3,7,3,4,0,46,3,23,0,11,3,0,0,3,0,48,6,25,5,5,0,5,0,0,4,50,50,49,6,12,18,8,13,3,10,170,23,30,3,14,6,12,4,5,0,100,4,12,5,6,0,5,3,10,0,43,8,6,16,3,0,0,6,3,0,44,0,0,0,0,0,0,0,0,0,3,3,4,0,4,3,0,3,0,0,16,4,5,16,0,0,4,5,7,4,45,191,229,313,69,61,49,87,100,32,1134,6,12,8,5,9,3,0,0,0,39,3,0,0,0,3,0,0,4,0,8,4,0,0,0,0,0,0,3,0,16,4,3,5,0,4,3,0,0,3,18,3,8,5,0,0,3,0,0,0,11
UCL214019,0,6,0,0,0,0,0,0,0,13,0,9,0,0,0,0,0,4,0,10,27,4,116,7,8,6,28,33,0,227,9,0,47,0,0,0,4,10,4,76,7,0,10,0,4,0,5,6,4,34,0,21,0,7,0,0,0,0,0,36,9,18,3,3,0,0,0,0,0,38,28,21,4,8,11,11,3,3,0,86,5,15,3,22,4,4,4,0,0,59,0,0,0,0,0,4,0,0,0,9,9,0,13,4,3,0,3,12,0,49,0,0,0,0,0,0,0,3,0,5,3,0,0,0,0,0,4,4,0,20,0,3,7,0,3,0,3,4,5,35,104,98,213,56,38,31,61,94,14,696,0,0,0,4,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,12,0,0,0,0,0,0,0,0,0,4,3,4,0,3,0,4,0,4,0,11
UCL214020,5,0,0,3,0,0,0,0,0,14,0,3,9,0,0,3,0,0,0,16,14,17,86,9,3,5,29,46,3,206,12,5,39,0,0,4,13,11,0,86,16,0,10,4,0,0,6,4,0,38,3,16,0,7,0,0,0,4,0,37,4,15,4,5,0,0,0,0,0,33,21,16,5,10,6,8,3,9,0,79,5,6,0,37,0,3,3,7,6,67,0,4,0,0,0,0,0,3,0,7,8,0,19,5,0,4,3,8,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,3,0,5,6,0,0,11,11,5,37,93,76,179,83,15,28,68,108,14,663,0,7,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,4,3,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,6,0,0,5,0,4,0,0,6,0,11
UCL214021,3,3,0,0,0,0,0,0,0,12,3,7,4,0,0,0,0,0,0,12,30,12,162,3,6,9,36,18,7,293,16,0,145,0,3,4,7,24,0,210,6,5,12,0,0,4,7,7,0,37,0,11,0,6,0,0,0,0,0,25,5,19,0,6,0,0,0,0,0,33,21,21,7,6,3,5,10,3,0,80,8,8,3,15,0,0,3,6,0,48,7,0,5,0,0,0,0,3,0,18,0,0,7,0,0,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,0,4,0,0,16,0,0,11,0,0,0,0,3,11,33,113,91,366,44,24,34,69,72,21,835,0,4,4,5,5,0,0,0,0,19,0,0,0,0,0,0,0,0,0,7,0,0,3,0,5,0,6,0,0,8,0,0,5,0,0,3,0,0,0,3,0,0,0,7,4,3,0,0,0,16
UCL214022,0,6,0,0,0,0,0,0,0,7,9,7,7,0,0,3,0,3,0,25,26,19,114,9,3,7,29,28,3,237,24,3,107,0,0,4,14,27,7,191,6,5,7,0,3,4,11,6,0,38,4,33,8,11,0,0,0,0,0,60,5,21,8,3,0,0,6,0,0,40,21,22,4,9,5,9,4,10,3,97,0,7,8,28,0,5,0,6,0,59,0,10,0,0,0,4,5,4,0,22,8,0,29,5,0,4,5,7,0,66,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,17,3,0,15,0,0,10,3,12,3,51,109,132,310,75,28,49,78,119,24,915,0,10,5,0,4,0,0,0,0,24,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,8,0,3,8,4,0,5,0,3,0,26
UCL215001,4,3,0,0,0,0,0,5,0,8,3,3,0,0,0,0,0,0,0,8,4,8,9,3,3,0,0,6,0,32,17,7,30,0,0,0,0,0,0,59,3,0,9,0,0,0,0,0,0,18,0,19,0,3,0,0,0,0,0,22,0,12,0,0,0,0,0,3,0,19,21,20,0,7,4,10,0,0,0,62,9,18,0,5,0,0,0,5,0,30,0,3,0,0,0,0,0,3,0,7,4,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,8,64,101,50,19,12,13,3,20,0,283,3,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,5,4,0,0,0,0,0,0,0,15
UCL215002,0,3,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,12,0,38,0,0,3,15,12,0,80,17,0,40,3,0,0,0,7,0,62,10,13,6,3,0,0,0,0,0,37,0,8,0,3,0,0,0,0,0,16,3,9,0,10,0,0,0,0,0,26,6,7,6,0,0,4,0,6,0,23,5,9,0,9,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,9,0,0,10,0,0,0,0,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,5,0,4,18,57,56,108,26,9,10,26,29,5,327,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,10
UCL215003,9,13,0,5,0,0,0,0,0,32,0,3,0,0,3,0,0,0,0,13,16,13,33,4,3,0,3,7,0,81,21,14,38,4,0,3,5,0,0,80,8,8,16,0,0,0,0,0,0,39,6,31,3,10,0,0,0,0,0,45,4,27,5,4,0,0,0,0,0,44,49,34,6,3,10,0,0,0,0,109,12,12,4,9,8,0,0,0,0,48,0,13,5,0,0,0,0,0,0,27,0,0,15,3,0,4,0,0,0,27,0,0,0,0,0,0,0,0,0,0,4,5,4,4,0,0,3,0,0,15,5,0,8,0,0,3,0,0,0,14,140,175,134,42,27,14,14,24,5,580,3,12,0,4,3,0,0,0,0,15,3,0,0,0,0,0,0,0,0,3,4,4,0,3,0,0,0,0,0,11,0,6,6,0,0,0,0,0,0,13,6,12,0,0,0,5,0,0,0,21
UCL215004,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,6,4,15,3,0,0,8,10,0,42,14,0,25,0,0,0,3,0,0,45,4,0,4,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,5,0,16,0,0,0,0,0,3,0,20,11,0,4,0,0,5,0,0,0,29,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,16,0,0,4,0,6,0,30,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,47,25,68,10,7,15,14,29,5,218,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5
UCL215005,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,5,0,14,0,0,0,5,3,0,35,6,0,3,0,0,0,0,0,0,15,3,0,0,0,0,0,3,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,3,0,4,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,3,5,0,3,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,4,0,12,22,4,28,11,6,9,19,17,3,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
UCL215006,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,10,11,17,62,5,3,6,13,12,0,137,10,3,37,0,0,0,0,13,0,61,6,0,10,3,0,0,0,3,0,24,4,0,0,5,0,0,0,0,0,18,3,10,0,3,4,0,0,0,0,17,15,10,0,0,3,4,4,5,0,43,10,5,0,17,0,0,0,0,0,34,0,5,0,0,3,0,0,0,0,11,0,0,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,3,0,0,14,4,0,3,4,0,0,5,6,0,18,61,64,117,43,23,12,34,41,3,407,3,5,0,0,5,0,0,0,0,9,0,3,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,6,0,4,0,0,0,5,0,5,0,14
UCL215007,7,8,0,0,0,0,0,4,0,16,0,0,0,0,0,0,0,0,0,3,19,17,42,0,4,8,8,7,4,104,20,7,38,0,0,0,0,6,0,75,6,0,6,0,0,0,0,5,0,21,0,15,4,3,0,0,0,0,0,19,9,18,4,4,0,0,0,5,0,49,25,14,6,0,3,4,0,0,0,57,11,14,0,3,3,0,0,0,0,27,8,9,6,0,0,0,3,3,0,28,3,0,9,0,0,0,4,0,0,18,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,12,0,0,0,3,0,0,0,0,0,10,113,105,106,20,22,11,19,33,10,437,0,9,0,0,0,3,0,0,0,18,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,5,4,5,3,0,4,3,0,0,0,22
