UCL_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
UCL215016,..,3,69,122,121,106,113,58,12,606,..,15,78,53,39,34,14,3,0,231,..,0,3,8,17,11,11,6,0,54,396,..,..,..,..,..,..,..,..,396,..,75,..,..,..,..,..,..,..,75,..,93,61,13,7,3,3,0,0,185,..,11,20,3,3,7,7,6,0,54,..,0,4,5,6,6,0,0,0,30,..,4,12,0,9,7,10,0,0,42,..,4,43,32,30,58,43,29,5,243,4,8,6,0,4,0,4,6,0,34,401,214,297,237,240,235,202,98,20,1938,..,7,86,123,120,125,103,42,6,615,..,22,91,49,45,30,3,0,0,238,..,4,34,44,44,29,13,9,8,190,366,..,..,..,..,..,..,..,..,366,..,91,..,..,..,..,..,..,..,91,..,67,33,10,11,5,0,0,0,126,..,3,4,0,9,4,7,8,5,48,..,0,3,0,0,0,0,0,0,11
UCL215017,..,0,45,100,98,105,71,47,9,486,..,12,49,32,19,17,8,0,0,133,..,0,0,3,3,0,0,0,0,12,310,..,..,..,..,..,..,..,..,310,..,55,..,..,..,..,..,..,..,55,..,78,30,0,5,3,0,0,0,113,..,6,0,0,0,4,5,4,0,21,..,0,3,0,6,0,0,0,0,16,..,0,0,0,0,10,0,0,0,9,..,0,9,7,9,10,10,7,7,64,0,7,0,0,0,0,6,0,0,11,309,159,139,154,136,157,93,68,18,1235,..,0,56,112,105,91,72,39,8,484,..,17,59,28,20,10,0,0,0,134,..,0,16,15,18,10,0,4,3,71,263,..,..,..,..,..,..,..,..,263,..,79,..,..,..,..,..,..,..,79,..,31,11,3,3,4,0,0,0,48,..,9,0,0,0,0,8,3,5,24,..,5,0,0,0,4,0,0,0,12
UCL215018,..,0,31,62,75,106,131,83,20,505,..,15,31,21,21,11,9,8,0,106,..,0,0,3,4,9,0,4,0,24,204,..,..,..,..,..,..,..,..,204,..,42,..,..,..,..,..,..,..,42,..,43,26,9,13,6,0,0,0,101,..,4,6,7,3,0,6,0,0,28,..,9,0,3,4,0,0,0,0,10,..,15,20,5,0,3,3,3,0,50,..,10,22,6,26,45,40,30,14,191,4,5,0,0,0,6,0,0,0,16,211,132,131,112,147,189,195,121,31,1270,..,3,39,76,80,104,125,83,4,510,..,15,32,21,18,7,9,3,0,105,..,5,10,22,22,21,4,4,11,100,194,..,..,..,..,..,..,..,..,194,..,53,..,..,..,..,..,..,..,53,..,23,16,5,6,3,0,0,0,51,..,7,0,0,0,4,7,4,0,19,..,4,0,0,0,0,0,0,0,5
UCL215019,..,0,23,67,74,80,70,31,8,353,..,6,30,27,28,21,12,3,0,128,..,0,0,4,12,3,0,0,0,20,197,..,..,..,..,..,..,..,..,197,..,33,..,..,..,..,..,..,..,33,..,34,12,4,3,0,0,0,0,55,..,0,6,0,0,6,6,0,0,10,..,3,3,0,0,0,0,0,0,4,..,8,7,4,3,8,6,0,0,29,..,3,6,12,21,23,26,5,0,106,0,4,3,0,6,4,7,0,0,27,199,94,88,127,148,147,119,41,6,957,..,0,27,91,73,72,65,25,4,362,..,6,43,23,32,15,8,0,0,133,..,0,8,18,23,3,4,0,0,57,181,..,..,..,..,..,..,..,..,181,..,52,..,..,..,..,..,..,..,52,..,24,9,4,0,5,0,0,0,43,..,7,0,0,0,0,6,3,4,14,..,0,3,0,0,0,0,0,0,4
UCL215020,..,0,15,15,21,53,65,37,12,215,..,4,14,7,3,9,7,5,0,47,..,0,0,0,0,0,0,0,0,3,79,..,..,..,..,..,..,..,..,79,..,14,..,..,..,..,..,..,..,14,..,17,5,6,4,3,4,0,0,42,..,3,0,0,0,0,5,0,0,12,..,0,0,0,0,0,0,0,0,4,..,6,4,3,0,3,3,0,4,19,..,4,9,6,12,24,27,22,6,105,0,0,0,0,5,0,5,0,0,13,75,54,49,37,51,97,111,64,24,556,..,3,14,20,26,61,50,31,4,210,..,6,12,6,3,13,3,3,0,50,..,7,5,9,13,4,3,5,5,45,74,..,..,..,..,..,..,..,..,74,..,20,..,..,..,..,..,..,..,20,..,3,10,0,0,0,0,0,0,11,..,4,0,0,5,0,3,0,0,21,..,0,0,0,0,0,0,0,0,8
UCL215021,..,0,12,24,47,39,49,28,4,202,..,4,12,16,10,13,3,0,0,65,..,0,0,0,0,3,0,0,0,9,83,..,..,..,..,..,..,..,..,83,..,16,..,..,..,..,..,..,..,16,..,22,13,0,0,0,0,0,0,39,..,3,3,0,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,6,..,0,0,0,0,4,6,0,0,18,..,0,11,6,14,19,27,13,5,83,0,0,0,0,0,0,3,0,0,13,81,53,49,47,76,88,90,43,10,535,..,0,16,24,47,44,46,21,0,211,..,8,17,12,14,12,6,0,0,63,..,4,3,5,7,8,8,5,0,32,88,..,..,..,..,..,..,..,..,88,..,28,..,..,..,..,..,..,..,28,..,19,3,0,4,5,0,0,0,33,..,0,0,0,0,0,0,0,0,10,..,0,0,0,0,0,0,0,0,0
UCL215022,..,3,60,97,97,158,158,94,10,674,..,28,82,44,34,16,6,9,0,216,..,0,5,7,15,6,14,3,5,54,418,..,..,..,..,..,..,..,..,418,..,78,..,..,..,..,..,..,..,78,..,99,54,28,5,7,0,0,0,189,..,13,6,7,10,3,3,7,0,49,..,3,10,3,3,4,4,0,0,28,..,22,16,5,8,16,7,5,0,74,..,15,29,39,49,58,44,35,3,269,13,10,8,3,6,0,7,0,0,41,435,266,266,233,228,265,240,149,19,2088,..,4,74,108,109,158,155,64,3,686,..,41,93,40,26,21,10,0,0,223,..,15,58,67,67,40,13,9,5,262,355,..,..,..,..,..,..,..,..,355,..,68,..,..,..,..,..,..,..,68,..,64,30,9,11,0,0,0,0,115,..,16,3,0,4,10,13,7,0,59,..,8,5,0,0,0,0,0,0,20
UCL215023,..,0,16,29,48,65,61,38,13,260,..,5,21,11,13,10,3,0,0,57,..,0,0,0,3,0,0,0,0,12,121,..,..,..,..,..,..,..,..,121,..,31,..,..,..,..,..,..,..,31,..,39,13,5,8,0,0,0,0,61,..,0,6,0,0,0,0,0,0,12,..,0,0,4,0,0,0,0,0,5,..,0,4,0,0,3,0,0,0,8,..,3,12,4,13,21,16,10,11,90,0,4,0,0,0,0,3,0,0,11,122,80,69,44,86,97,92,57,21,678,..,0,21,27,51,65,63,31,9,267,..,9,20,15,10,9,3,0,0,62,..,3,8,13,12,14,4,11,0,56,106,..,..,..,..,..,..,..,..,106,..,30,..,..,..,..,..,..,..,30,..,13,8,4,3,0,0,0,0,25,..,8,4,0,3,0,3,0,0,15,..,0,0,0,0,0,0,0,0,0
UCL215024,..,0,11,43,50,51,95,66,25,333,..,3,24,9,12,10,0,3,0,70,..,0,0,4,0,0,0,5,0,16,110,..,..,..,..,..,..,..,..,110,..,22,..,..,..,..,..,..,..,22,..,22,8,8,12,0,0,0,0,54,..,0,0,0,0,3,4,0,0,8,..,0,0,0,0,0,0,0,0,3,..,5,0,0,0,6,3,0,0,15,..,3,8,5,14,20,45,26,17,144,0,0,4,5,6,5,3,0,0,16,110,53,69,66,95,101,156,95,39,791,..,0,22,38,50,58,106,53,5,338,..,5,21,9,15,12,0,0,0,73,..,0,10,11,11,6,3,6,5,50,124,..,..,..,..,..,..,..,..,124,..,27,..,..,..,..,..,..,..,27,..,13,3,3,5,0,0,0,0,20,..,7,0,0,0,0,4,5,0,11,..,0,0,0,0,0,0,0,0,0
UCL215025,..,0,11,18,25,54,66,25,6,195,..,4,11,9,6,11,4,3,0,54,..,0,0,5,3,4,0,0,0,19,81,..,..,..,..,..,..,..,..,81,..,12,..,..,..,..,..,..,..,12,..,24,7,8,0,0,0,0,0,42,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,3,3,4,0,15,..,0,0,0,8,15,24,9,3,71,0,0,4,0,3,4,3,0,0,12,81,45,35,40,55,98,100,39,12,504,..,0,15,19,26,57,62,22,3,198,..,3,11,11,13,10,11,0,0,62,..,0,4,6,8,3,8,4,0,37,68,..,..,..,..,..,..,..,..,68,..,14,..,..,..,..,..,..,..,14,..,9,5,9,3,0,0,0,0,20,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0
UCL215026,..,0,4,14,29,42,46,29,0,164,..,7,13,12,16,12,6,3,0,65,..,0,0,0,3,0,0,0,0,14,75,..,..,..,..,..,..,..,..,75,..,9,..,..,..,..,..,..,..,9,..,19,8,3,0,6,0,0,0,36,..,0,0,0,5,4,5,4,0,14,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,4,0,3,0,11,..,0,7,5,18,28,20,16,0,101,0,0,0,4,6,3,0,3,0,21,76,38,40,45,72,88,85,57,8,510,..,0,13,16,18,49,46,18,0,165,..,7,18,12,6,9,10,0,0,68,..,0,14,12,7,8,5,0,3,39,68,..,..,..,..,..,..,..,..,68,..,16,..,..,..,..,..,..,..,16,..,4,9,0,0,0,0,0,0,18,..,0,0,0,4,3,5,4,0,16,..,0,0,0,0,0,0,0,0,3
UCL215027,..,0,10,24,20,46,32,32,11,176,..,5,19,19,10,0,4,4,0,57,..,0,0,0,0,0,0,0,0,9,77,..,..,..,..,..,..,..,..,77,..,13,..,..,..,..,..,..,..,13,..,12,13,0,5,3,0,0,0,33,..,4,0,0,5,0,5,0,0,7,..,0,0,0,0,0,0,0,0,9,..,0,3,0,3,3,0,0,0,14,..,0,13,0,12,29,19,10,6,88,0,0,0,0,0,0,0,0,0,15,77,38,58,41,54,84,63,52,18,482,..,0,12,25,21,44,41,27,4,174,..,9,13,12,12,5,3,0,0,56,..,0,5,11,4,3,0,0,0,33,74,..,..,..,..,..,..,..,..,74,..,18,..,..,..,..,..,..,..,18,..,8,0,0,0,0,0,0,0,9,..,3,0,0,0,0,4,4,0,12,..,0,0,0,0,0,0,0,0,0
UCL215028,..,0,32,65,72,96,103,80,15,466,..,6,28,17,33,21,9,6,0,120,..,0,0,6,10,0,8,0,0,30,203,..,..,..,..,..,..,..,..,203,..,43,..,..,..,..,..,..,..,43,..,45,29,16,6,0,0,0,0,96,..,3,0,0,0,0,0,0,0,8,..,7,4,0,3,0,0,0,0,10,..,0,4,6,8,0,0,7,0,27,..,0,15,8,30,39,44,26,13,168,0,0,6,3,7,3,0,0,0,26,199,103,114,119,164,168,169,118,27,1192,..,4,42,63,69,104,109,62,5,462,..,5,31,20,26,21,13,0,0,121,..,0,11,19,31,13,4,9,0,92,170,..,..,..,..,..,..,..,..,170,..,42,..,..,..,..,..,..,..,42,..,22,16,4,0,4,0,0,0,45,..,0,0,0,3,0,5,0,0,13,..,0,0,0,0,0,0,0,0,5
UCL215029,..,0,31,58,101,137,136,75,10,554,..,4,50,49,56,44,37,3,0,241,..,0,0,3,11,12,8,0,0,44,175,..,..,..,..,..,..,..,..,175,..,53,..,..,..,..,..,..,..,53,..,42,19,16,14,3,0,0,0,95,..,4,5,4,4,5,3,0,0,24,..,3,8,7,5,3,3,0,0,30,..,4,18,3,0,14,17,0,0,59,..,4,13,10,36,69,63,21,12,229,0,3,0,0,4,12,7,0,0,36,179,119,145,160,226,299,266,111,28,1540,..,0,35,54,106,140,121,59,4,522,..,5,40,62,48,47,26,0,0,234,..,0,11,34,40,26,15,4,10,141,209,..,..,..,..,..,..,..,..,209,..,41,..,..,..,..,..,..,..,41,..,18,20,5,4,3,0,0,0,47,..,0,0,0,3,0,10,3,6,24,..,3,7,0,0,0,0,0,0,15
UCL215030,..,0,14,17,29,58,50,37,10,224,..,5,11,10,10,13,7,0,0,58,..,0,0,5,4,6,3,0,0,13,70,..,..,..,..,..,..,..,..,70,..,22,..,..,..,..,..,..,..,22,..,23,10,0,5,0,0,0,0,40,..,6,4,0,4,0,0,3,0,12,..,0,0,0,3,0,0,0,0,4,..,0,0,0,3,0,3,0,0,11,..,0,10,10,13,22,36,14,9,113,0,3,0,0,4,0,0,0,0,10,70,55,51,47,70,102,100,60,22,585,..,0,16,20,44,68,47,28,11,229,..,8,15,10,4,9,5,0,0,54,..,0,9,14,15,3,0,4,0,45,78,..,..,..,..,..,..,..,..,78,..,26,..,..,..,..,..,..,..,26,..,12,8,0,0,0,0,0,0,22,..,0,0,0,6,0,0,0,0,9,..,3,0,0,0,0,0,0,0,5
UCL215031,..,0,12,26,31,49,61,37,11,232,..,0,14,11,8,7,3,3,0,47,..,0,0,0,0,0,0,0,0,7,92,..,..,..,..,..,..,..,..,92,..,25,..,..,..,..,..,..,..,25,..,22,16,4,3,6,0,0,0,48,..,4,0,3,0,0,0,0,0,10,..,0,0,0,0,0,0,0,0,3,..,3,0,0,0,0,0,0,0,12,..,0,7,3,16,18,27,18,5,98,0,3,3,0,0,0,0,0,0,14,95,64,55,48,67,88,97,60,18,592,..,5,20,34,42,59,51,27,0,239,..,4,11,8,11,3,3,0,0,50,..,0,11,7,5,6,0,0,0,40,88,..,..,..,..,..,..,..,..,88,..,20,..,..,..,..,..,..,..,20,..,4,7,0,0,6,0,0,0,19,..,4,0,0,0,5,3,0,3,11,..,0,0,0,0,0,0,0,0,5
UCL215032,..,0,23,51,62,90,153,87,21,480,..,15,48,32,21,11,14,6,0,143,..,0,0,4,15,5,0,0,0,30,204,..,..,..,..,..,..,..,..,204,..,46,..,..,..,..,..,..,..,46,..,50,27,16,14,3,0,0,0,108,..,3,6,0,0,5,6,5,4,27,..,6,6,0,0,0,3,0,0,13,..,5,8,4,3,9,3,0,4,37,..,9,15,14,19,38,61,42,23,210,3,6,3,4,0,3,4,3,0,25,208,139,123,132,129,177,241,139,54,1335,..,0,27,56,67,124,128,68,16,488,..,16,55,29,19,14,14,4,0,138,..,3,23,32,33,12,16,10,3,139,199,..,..,..,..,..,..,..,..,199,..,50,..,..,..,..,..,..,..,50,..,22,17,8,0,5,0,0,0,56,..,4,0,0,6,12,8,6,5,35,..,7,0,0,0,0,0,0,0,5
UCL215033,..,0,75,205,162,91,63,18,0,615,..,9,30,26,27,8,3,0,0,102,..,0,0,7,4,0,0,0,0,10,423,..,..,..,..,..,..,..,..,423,..,68,..,..,..,..,..,..,..,68,..,32,18,0,3,0,0,0,0,55,..,0,5,0,3,0,0,3,0,12,..,5,4,4,0,0,0,0,0,16,..,3,0,0,0,0,0,0,0,3,..,0,7,9,15,13,8,0,0,47,0,3,0,0,0,0,0,0,0,9,423,116,134,255,219,115,80,14,0,1362,..,0,107,214,148,72,61,8,0,616,..,5,32,32,18,10,10,0,0,103,..,3,4,27,11,5,3,5,0,63,382,..,..,..,..,..,..,..,..,382,..,96,..,..,..,..,..,..,..,96,..,25,19,3,5,0,0,0,0,60,..,4,0,0,0,4,4,0,0,20,..,3,0,0,0,0,0,0,0,6
UCL215034,..,0,3,16,22,34,50,54,21,207,..,7,11,0,5,6,11,3,0,50,..,0,0,0,3,0,0,0,0,4,63,..,..,..,..,..,..,..,..,63,..,9,..,..,..,..,..,..,..,9,..,11,4,4,3,3,0,0,0,32,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,4,..,3,9,0,0,3,0,0,0,18,..,4,6,10,10,14,25,19,11,103,0,0,0,0,0,3,0,0,0,12,65,31,36,45,47,73,91,80,29,495,..,0,3,26,32,35,57,46,10,196,..,7,12,3,5,7,6,4,0,48,..,0,9,6,5,3,0,3,9,40,54,..,..,..,..,..,..,..,..,54,..,16,..,..,..,..,..,..,..,16,..,10,9,0,0,0,0,0,0,26,..,3,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0
UCL215035,..,0,28,59,63,46,55,44,5,299,..,5,36,20,14,9,4,0,0,84,..,0,0,0,0,0,0,4,0,6,200,..,..,..,..,..,..,..,..,200,..,35,..,..,..,..,..,..,..,35,..,42,11,9,0,0,0,0,0,63,..,4,0,0,0,0,0,0,0,6,..,3,0,0,0,0,0,0,0,11,..,0,0,0,0,0,3,0,0,8,..,0,11,9,9,14,8,6,0,57,3,6,4,0,0,0,3,5,0,14,204,87,86,101,93,78,69,50,13,774,..,0,44,70,57,51,51,24,9,297,..,4,40,6,18,14,0,0,0,88,..,0,3,5,9,3,4,0,0,38,157,..,..,..,..,..,..,..,..,157,..,39,..,..,..,..,..,..,..,39,..,27,13,0,3,0,0,0,0,41,..,0,4,0,0,0,6,0,3,8,..,0,0,0,0,0,0,0,0,5
UCL215036,..,0,24,34,49,45,35,28,0,216,..,0,18,12,16,7,5,3,0,59,..,0,0,4,3,3,0,0,0,10,121,..,..,..,..,..,..,..,..,121,..,31,..,..,..,..,..,..,..,31,..,38,15,0,0,0,0,0,0,57,..,0,0,0,0,0,0,0,0,8,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,4,0,0,7,..,0,0,7,6,16,3,3,0,36,0,7,0,0,0,0,0,0,0,13,121,80,59,56,78,76,48,27,3,558,..,0,25,40,48,36,38,21,0,212,..,0,20,7,11,18,0,0,0,61,..,0,0,11,18,11,4,0,0,42,108,..,..,..,..,..,..,..,..,108,..,31,..,..,..,..,..,..,..,31,..,21,6,0,5,0,0,0,0,31,..,0,0,0,0,0,0,0,5,11,..,0,0,0,0,0,0,0,0,0
UCL215037,..,0,15,25,34,32,66,25,6,194,..,7,29,21,14,13,8,5,0,91,..,0,0,0,4,0,3,6,0,10,85,..,..,..,..,..,..,..,..,85,..,8,..,..,..,..,..,..,..,8,..,19,10,10,6,0,0,0,0,44,..,8,0,0,3,0,0,3,0,16,..,0,3,0,3,0,0,0,0,6,..,0,5,0,4,3,6,3,0,20,..,4,4,17,22,41,32,16,5,140,0,0,4,0,0,0,3,0,0,13,85,43,69,70,86,94,121,52,10,638,..,3,12,30,32,56,44,20,0,195,..,12,42,14,11,16,7,0,0,102,..,0,17,11,9,14,6,6,0,63,93,..,..,..,..,..,..,..,..,93,..,9,..,..,..,..,..,..,..,9,..,16,0,3,0,0,0,0,0,27,..,0,0,0,0,4,7,4,0,16,..,0,0,0,0,0,0,0,0,4
UCL215038,..,0,10,28,28,61,77,58,18,290,..,5,21,13,22,12,7,6,0,70,..,0,0,0,0,0,0,0,4,4,97,..,..,..,..,..,..,..,..,97,..,20,..,..,..,..,..,..,..,20,..,17,18,11,10,5,0,0,0,56,..,9,4,0,0,8,6,0,0,22,..,3,0,0,0,0,0,0,0,7,..,0,3,0,3,8,6,3,0,23,..,4,6,6,30,37,47,34,13,171,4,0,0,0,7,5,0,0,0,17,98,54,61,61,87,130,149,108,33,785,..,0,25,29,34,70,78,56,9,295,..,9,21,16,17,7,14,0,0,76,..,4,3,18,7,17,6,5,0,70,82,..,..,..,..,..,..,..,..,82,..,15,..,..,..,..,..,..,..,15,..,17,11,5,0,3,0,0,0,36,..,4,0,0,0,3,3,4,4,19,..,0,0,0,0,0,0,0,0,3
UCL215039,..,0,11,26,35,43,58,44,3,224,..,3,25,15,5,8,3,0,0,67,..,0,0,4,3,3,0,0,0,8,126,..,..,..,..,..,..,..,..,126,..,26,..,..,..,..,..,..,..,26,..,34,15,0,5,0,0,0,0,61,..,3,0,0,0,0,9,0,0,21,..,3,4,0,0,0,0,0,0,4,..,0,0,0,0,6,9,0,0,19,..,0,10,10,4,29,35,16,7,113,3,3,0,5,0,0,5,0,0,17,127,80,73,65,61,92,116,62,10,684,..,0,19,37,37,37,60,32,6,226,..,9,28,14,8,6,5,0,0,64,..,4,14,19,9,6,0,0,5,58,100,..,..,..,..,..,..,..,..,100,..,27,..,..,..,..,..,..,..,27,..,11,0,4,0,0,0,0,0,21,..,8,6,0,0,8,3,4,0,26,..,3,0,0,0,0,0,0,0,0
UCL215040,..,0,9,21,30,42,49,25,4,175,..,3,24,12,0,13,7,0,0,54,..,0,0,10,5,6,0,0,0,26,104,..,..,..,..,..,..,..,..,104,..,13,..,..,..,..,..,..,..,13,..,23,6,4,6,3,0,0,0,42,..,7,0,4,3,0,6,0,0,19,..,4,0,3,0,0,0,0,0,5,..,0,4,0,6,0,6,0,0,16,..,4,13,11,12,24,34,11,9,113,5,0,0,0,0,0,0,0,0,9,108,59,54,59,56,97,103,34,14,577,..,0,17,19,31,40,44,20,0,182,..,9,17,11,5,14,6,0,0,57,..,4,7,18,11,12,3,0,0,57,83,..,..,..,..,..,..,..,..,83,..,13,..,..,..,..,..,..,..,13,..,10,10,0,3,0,0,0,0,18,..,6,0,0,0,0,3,0,0,18,..,0,4,0,0,0,0,0,0,6
UCL215041,..,0,36,75,82,121,143,94,23,575,..,12,33,29,25,18,17,7,0,146,..,0,3,5,6,0,3,3,0,22,287,..,..,..,..,..,..,..,..,287,..,50,..,..,..,..,..,..,..,50,..,59,29,9,14,3,3,0,0,125,..,9,13,4,7,8,8,0,0,48,..,0,3,0,0,3,0,0,0,15,..,4,9,3,13,9,7,4,0,49,..,11,17,20,35,45,51,38,24,243,4,10,0,5,4,6,4,3,0,37,297,158,149,151,190,210,240,144,51,1595,..,6,47,94,82,145,118,71,22,582,..,15,41,23,23,27,10,7,0,143,..,5,29,33,33,11,9,4,7,139,274,..,..,..,..,..,..,..,..,274,..,49,..,..,..,..,..,..,..,49,..,28,21,3,6,7,0,0,0,70,..,10,4,0,3,6,9,10,0,37,..,4,0,0,0,0,0,0,0,3
UCL215042,..,0,11,37,49,53,37,18,0,209,..,3,22,15,15,19,9,0,0,90,..,0,0,0,0,0,0,0,0,6,118,..,..,..,..,..,..,..,..,118,..,37,..,..,..,..,..,..,..,37,..,30,15,5,0,0,0,0,0,54,..,0,0,0,0,0,0,0,0,9,..,0,0,4,0,0,0,0,0,10,..,9,8,4,4,3,0,0,0,22,..,3,3,5,15,21,5,3,0,60,0,3,0,0,0,0,0,0,0,14,118,83,61,72,100,90,55,23,0,610,..,5,24,38,58,45,35,9,0,210,..,3,26,17,15,15,4,0,0,88,..,0,5,7,15,4,0,0,0,33,105,..,..,..,..,..,..,..,..,105,..,27,..,..,..,..,..,..,..,27,..,22,3,4,0,0,0,0,0,31,..,0,0,0,0,0,0,5,0,7,..,0,0,0,6,0,0,0,0,3
UCL215043,..,3,99,127,89,94,51,34,12,509,..,13,104,33,26,15,4,0,0,193,..,0,0,8,17,3,0,6,0,28,391,..,..,..,..,..,..,..,..,391,..,40,..,..,..,..,..,..,..,40,..,92,22,10,5,0,0,0,0,135,..,7,9,7,3,5,3,0,0,33,..,7,3,0,0,0,0,0,0,20,..,0,6,6,7,5,7,0,0,33,..,0,18,16,27,20,24,10,0,120,8,5,6,0,4,0,0,3,0,27,392,174,265,202,182,147,98,55,17,1531,..,6,126,121,89,85,55,24,11,520,..,30,110,38,16,13,5,0,0,210,..,4,28,36,38,7,6,6,5,129,396,..,..,..,..,..,..,..,..,396,..,85,..,..,..,..,..,..,..,85,..,60,11,4,0,0,0,0,0,79,..,6,3,0,0,0,4,0,0,24,..,5,0,0,0,4,0,0,0,12
