UCL_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
UCL214009,96,97,190,203,205,410,101,91,197,27,24,54,330,331,659,152,143,293,58,55,106,48,47,90,254,240,497,14,16,27,12,9,21,39,24,63,38,56,93,0,0,0,103,107,209,22,40,64,14,33,43,4,10,16,33,61,93,0,0,0,72,141,217,179,249,431,3,5,7,13,30,47,0,0,0,20,32,55,221,229,451,1109,1176,2283
UCL214010,51,65,112,170,172,346,29,12,48,16,10,23,217,196,413,109,93,204,16,30,46,42,42,82,169,159,333,5,9,9,6,9,6,16,3,16,19,24,38,3,0,4,35,37,73,20,17,43,0,11,19,0,0,4,7,36,49,0,0,0,36,70,106,71,110,183,3,0,6,9,13,18,0,0,0,8,13,23,146,136,281,665,685,1347
UCL214011,91,98,184,244,234,473,140,99,236,11,13,24,397,346,740,139,144,278,153,134,295,25,27,53,320,308,629,12,22,35,14,18,30,42,23,67,26,41,64,0,0,0,90,100,187,44,53,102,11,35,47,7,7,15,29,52,83,0,0,0,94,149,246,182,249,434,7,14,22,26,23,53,0,0,0,33,40,73,237,272,506,1261,1301,2564
UCL214012,69,53,123,140,99,244,88,105,194,6,0,6,232,209,443,100,101,195,67,62,134,17,18,31,180,178,359,10,5,13,5,14,19,28,14,44,21,30,52,0,0,0,58,69,125,8,16,26,0,9,14,4,3,8,9,25,41,0,0,0,17,64,87,80,133,214,9,6,10,7,23,34,0,0,0,14,33,47,191,213,408,778,816,1589
UCL214013,65,51,115,120,125,247,65,70,133,14,12,27,209,203,412,68,61,125,45,53,103,24,25,44,136,141,276,3,4,6,5,7,6,16,11,27,12,25,37,0,0,0,43,46,85,13,35,52,4,21,21,7,8,12,16,48,65,0,0,0,41,109,155,79,154,239,5,4,3,12,15,28,0,0,0,12,22,32,113,122,235,614,687,1304
UCL214014,60,46,101,135,125,261,61,58,130,0,0,0,209,189,390,79,100,178,38,52,91,11,6,14,135,153,287,10,5,13,3,10,10,23,14,36,20,42,57,0,0,0,50,67,114,3,8,13,9,12,23,0,0,0,7,22,26,0,0,0,22,44,63,70,112,179,3,0,4,4,16,16,0,0,0,4,17,23,361,334,693,828,842,1667
UCL214015,84,53,135,201,175,379,38,29,68,19,18,42,266,225,493,128,122,244,38,60,101,5,19,24,176,199,376,3,10,16,0,14,14,15,15,31,12,32,45,0,0,0,37,64,100,5,20,28,5,19,19,0,3,7,9,31,38,0,0,0,21,71,94,58,133,190,16,9,23,3,8,16,0,0,0,20,16,43,149,153,299,751,779,1531
UCL214016,61,57,120,198,170,366,69,73,138,0,4,4,263,244,509,156,147,308,24,21,41,39,59,97,220,226,439,8,6,11,7,10,15,22,13,30,5,28,38,0,0,0,44,56,97,10,31,42,4,5,14,4,8,14,9,30,38,0,0,0,29,76,107,74,136,207,0,0,6,14,16,33,3,0,3,15,21,40,250,272,520,888,953,1837
UCL214017,39,39,77,90,113,208,29,32,60,15,12,23,138,155,292,37,20,63,43,41,85,29,31,58,109,95,211,4,3,9,4,3,11,15,11,25,16,24,39,0,0,0,38,43,83,33,34,60,5,16,20,0,7,8,20,29,46,0,0,0,52,84,134,93,125,215,0,3,0,3,13,17,0,0,0,3,17,18,166,158,325,551,591,1141
UCL214018,55,41,99,171,163,328,32,31,61,17,21,31,215,205,429,89,109,200,50,54,102,16,21,44,158,185,342,9,16,19,4,10,21,22,17,39,29,37,66,0,0,0,66,78,143,13,25,39,10,27,40,3,3,6,14,46,60,0,0,0,43,100,148,114,181,293,9,10,22,10,22,36,0,0,0,20,34,53,353,353,709,913,1006,1919
UCL214019,48,42,86,124,124,251,75,75,153,0,4,6,202,202,406,111,104,217,31,48,78,4,8,12,154,156,305,54,18,65,4,17,20,22,11,29,12,38,45,0,0,0,96,77,169,13,26,38,7,14,22,0,8,10,15,21,34,0,0,0,36,61,98,123,141,269,13,7,16,12,20,27,7,0,7,32,25,57,300,256,561,857,828,1681
UCL214020,50,43,93,147,113,263,49,56,96,8,4,7,203,177,376,114,98,209,22,38,57,3,3,4,142,135,277,3,7,4,8,6,16,22,16,40,16,33,45,0,0,0,44,62,101,3,13,20,6,8,12,3,0,4,5,28,30,0,0,0,18,55,71,65,109,174,7,6,14,12,15,33,0,0,0,25,26,44,268,254,520,737,741,1478
UCL214021,71,62,128,187,151,340,56,76,132,9,13,21,257,239,499,165,134,295,51,54,107,17,14,21,230,198,428,16,11,31,0,13,13,57,17,68,17,25,46,0,0,3,90,70,155,30,40,72,0,14,10,9,10,15,5,32,41,0,0,0,45,87,133,137,155,293,8,6,13,17,16,29,0,0,0,22,26,47,106,125,229,814,815,1625
