UCL_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
UCL215003,0,10,0,3,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,9,8,5,7,3,3,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,8,5,7,3,3,42,4,0,0,5,0,3,0,19,0,0,0,0,0,0,0,0,7,10,8,12,9,9,0,64
UCL215004,6,7,3,4,9,0,0,24,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,16,8,6,13,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,16,7,9,14,0,0,44,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,11,13,7,9,14,3,0,56
UCL215005,5,3,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,11,0,6,0,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,3,0,0,0,0,0,3,4,6,8,0,6,0,0,29,10,4,7,0,4,0,5,27,0,0,0,0,0,0,0,0,8,14,16,8,7,0,5,51
UCL215006,3,21,12,4,5,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,20,12,13,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,20,12,12,0,0,78,14,18,5,3,0,0,0,48,0,0,0,0,0,0,0,0,22,43,23,15,15,0,0,122
UCL215007,0,12,5,7,7,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,11,16,3,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,15,13,9,16,3,0,59,5,8,3,0,0,0,0,22,0,0,0,0,0,0,0,0,4,25,18,14,16,3,0,80
UCL215008,0,3,4,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,12,9,6,5,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,12,9,6,5,0,48,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,17,10,12,8,3,0,56
UCL215009,7,3,0,0,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,5,3,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,7,5,3,0,0,28,4,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,8,6,10,5,10,0,0,39
UCL215010,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,6,4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,6,4,0,0,20,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,8,0,6,6,9,5,27
UCL215011,0,5,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,5,3,6,5,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,6,5,0,0,28,13,10,3,0,0,0,0,26,5,0,0,0,0,0,0,5,19,11,8,4,5,0,0,51
UCL215012,4,17,10,15,6,0,0,54,0,6,0,0,0,0,0,11,0,0,0,0,0,0,0,0,13,35,18,23,13,5,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,14,34,18,23,13,5,0,107,11,7,0,0,0,0,0,20,0,0,0,0,0,0,0,0,23,39,26,22,19,3,0,129
UCL215013,9,15,3,6,3,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,28,17,9,11,6,0,82,0,0,0,0,4,0,0,5,0,3,0,0,0,0,0,4,0,3,0,0,4,0,0,14,16,32,21,13,14,4,0,94,18,19,12,6,8,0,0,68,0,0,0,0,0,0,0,7,35,54,35,14,19,5,0,167
UCL215014,5,5,5,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,8,0,6,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,8,0,6,0,0,33,4,5,6,0,0,0,0,7,0,0,0,0,0,0,0,0,9,9,9,0,6,0,0,40
UCL215015,0,14,4,4,3,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,14,7,14,3,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,14,7,14,3,0,59,4,0,7,0,0,0,0,16,0,0,0,0,0,0,0,0,9,21,14,10,12,9,0,71
UCL215016,11,22,14,7,11,3,0,75,3,0,0,0,0,0,0,9,0,0,0,4,0,0,0,7,20,34,31,15,23,9,0,134,0,5,0,0,0,0,0,9,0,4,0,0,0,0,0,4,0,3,0,0,0,0,0,14,20,43,26,15,22,5,0,141,20,26,13,7,5,4,0,74,0,0,0,0,0,0,0,3,43,73,41,28,31,8,0,220
UCL215017,13,8,9,6,3,0,0,41,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,19,15,11,14,7,4,0,73,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,19,15,11,14,9,4,0,72,8,3,0,0,4,0,0,20,0,0,0,0,0,0,0,0,27,18,15,9,16,4,0,99
UCL215018,9,15,12,9,8,3,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,9,14,15,5,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,9,14,15,5,0,74,12,8,9,5,5,0,0,47,0,0,0,0,0,0,0,0,24,25,23,22,21,5,0,119
UCL215019,4,8,5,4,0,4,0,24,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,3,6,16,13,6,11,3,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,13,6,11,3,0,56,0,8,4,0,0,0,0,12,0,0,0,0,0,0,0,0,9,26,17,12,16,3,0,70
UCL215020,0,7,8,5,4,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,7,4,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,7,4,0,0,41,8,6,4,0,0,0,0,21,0,0,0,0,0,0,0,3,12,14,11,7,6,0,0,57
UCL215021,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,5,0,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,4,0,0,18,4,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,9,3,6,3,3,0,4,26
UCL215022,13,32,13,6,17,5,0,90,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,4,18,51,31,18,32,3,3,161,0,6,0,0,3,0,0,15,0,5,5,0,4,0,0,14,3,11,4,0,6,0,0,31,18,64,37,16,35,3,3,187,43,35,32,18,17,3,0,139,0,3,0,0,0,0,0,3,63,99,73,37,48,10,6,336
UCL215023,3,9,6,5,6,0,0,29,0,5,0,4,0,0,0,10,0,0,0,0,0,0,0,0,7,19,8,8,10,3,0,54,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,3,3,0,0,0,0,0,3,6,18,8,8,10,3,0,53,4,3,7,3,0,0,0,22,3,0,0,0,0,0,0,0,14,24,16,13,12,0,0,80
UCL215024,5,7,0,4,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,12,4,7,10,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,4,7,10,0,0,29,13,5,5,4,0,0,0,28,0,0,0,0,0,0,0,0,17,14,6,9,7,0,0,55
UCL215025,3,0,0,3,0,0,0,14,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,7,5,4,8,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,5,4,8,0,0,29,4,5,5,3,0,0,0,19,0,0,3,0,0,0,0,3,11,11,6,7,8,0,0,53
UCL215026,6,6,5,3,6,0,0,16,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,9,7,9,8,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,7,9,8,0,0,34,11,0,4,0,0,0,0,22,0,0,0,0,0,0,0,0,14,10,9,4,12,0,0,53
UCL215027,3,3,0,5,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,9,7,4,6,12,5,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,4,6,12,5,0,45,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,10,10,6,12,5,0,50
UCL215028,4,11,9,0,6,0,3,38,3,4,0,4,0,0,0,8,0,0,0,0,0,0,0,0,6,13,16,8,15,0,3,72,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9,6,17,16,9,18,0,3,79,11,11,5,0,4,0,0,28,0,0,0,0,0,0,0,0,18,30,25,14,24,0,3,108
UCL215029,4,11,7,10,6,0,0,46,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,21,24,20,16,4,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,6,24,26,20,18,4,0,91,14,20,7,9,5,0,0,54,0,0,0,0,0,0,0,4,21,46,27,29,25,4,0,155
UCL215030,5,3,0,6,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,3,10,10,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,3,9,10,0,0,35,6,8,0,4,0,0,0,29,0,0,0,0,0,0,0,0,14,16,9,13,14,0,0,59
UCL215031,0,9,3,5,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,6,8,4,0,0,29,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,6,8,4,0,0,32,12,4,0,0,0,0,0,14,0,0,0,0,0,0,0,0,11,15,6,9,4,0,0,43
UCL215032,8,8,10,6,7,0,0,44,0,4,0,0,3,0,0,8,0,0,0,0,0,0,0,0,10,15,19,16,27,0,0,97,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,4,0,0,0,0,5,10,18,25,22,27,0,0,100,23,14,8,3,8,0,0,56,0,0,0,0,0,0,0,0,37,33,30,25,29,3,0,157
UCL215033,0,15,3,0,0,0,0,14,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,4,22,18,0,3,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,9,24,17,3,3,0,0,56,13,14,3,3,3,3,0,37,0,0,0,0,0,0,0,0,16,35,23,4,8,3,0,98
UCL215034,4,3,3,0,5,0,0,15,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,9,9,3,6,0,0,25,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,5,3,8,7,8,6,0,0,31,5,0,4,6,0,0,0,5,0,0,0,0,0,0,0,0,5,11,12,5,6,0,0,41
UCL215035,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,3,0,19,0,0,0,0,4,0,0,4,0,3,0,0,0,0,0,3,0,3,0,0,4,0,0,9,0,11,3,3,4,3,0,27,4,3,3,0,0,0,0,11,0,0,0,0,0,0,0,0,3,13,8,5,4,3,0,39
UCL215036,5,6,10,3,4,5,0,29,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,9,9,11,8,5,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,9,11,8,5,0,54,0,4,5,0,0,0,0,10,0,0,0,0,0,0,0,3,8,21,13,7,8,5,0,65
UCL215037,8,7,3,4,4,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,5,10,7,4,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,5,10,7,4,0,38,5,7,4,0,0,0,0,23,0,0,0,0,0,0,0,0,17,23,8,8,7,4,0,62
UCL215038,6,8,4,0,3,0,0,16,0,3,3,0,0,0,0,5,0,0,0,0,0,0,0,0,6,13,9,6,6,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,9,6,6,0,0,30,6,7,10,0,3,0,0,26,0,0,0,0,0,0,0,0,8,19,14,6,6,0,0,52
UCL215039,6,11,10,3,8,0,0,29,0,6,3,0,0,0,0,10,0,0,0,0,0,0,0,0,9,16,13,3,13,0,0,57,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,3,0,0,0,0,0,0,5,12,18,15,3,13,0,0,56,5,3,4,0,0,0,0,21,0,0,0,0,0,0,0,0,13,26,23,7,15,0,0,77
UCL215040,6,7,3,3,3,3,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,9,8,11,3,0,48,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,8,14,14,12,9,15,3,0,58,8,10,4,0,0,0,0,22,0,0,0,0,0,0,0,0,23,26,18,12,12,8,0,87
UCL215041,10,14,12,6,6,0,0,44,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13,17,20,14,16,0,0,73,3,3,3,0,4,0,0,13,0,0,0,0,0,0,0,6,3,3,7,0,4,0,0,21,15,17,24,13,22,0,0,95,32,25,18,12,8,0,0,89,0,0,0,0,0,0,0,9,40,46,40,24,29,0,0,189
UCL215042,0,0,6,4,5,0,0,14,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,6,5,3,3,7,0,0,27,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,3,3,7,0,0,31,0,4,0,0,4,0,0,9,0,0,0,0,0,0,0,4,5,7,8,6,10,0,0,39
UCL215043,5,18,16,12,17,0,0,70,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,33,32,26,24,4,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,8,38,32,26,24,4,0,136,13,19,4,4,6,0,0,48,3,0,0,0,0,0,0,0,26,56,38,32,32,6,0,186
UCL215044,6,18,10,9,3,0,0,47,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,11,25,12,14,7,0,0,72,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,4,0,0,0,0,0,3,18,24,12,14,7,0,0,70,5,7,7,9,0,0,0,23,0,0,0,0,0,0,0,0,17,30,19,21,8,0,0,93
UCL215045,8,11,13,13,12,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,19,17,22,20,4,0,99,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,12,0,0,0,8,0,0,0,13,17,21,17,22,20,3,0,110,27,28,8,10,6,0,0,71,0,0,0,0,0,0,0,6,39,47,29,35,23,3,3,188
UCL215046,0,7,6,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,6,9,3,0,51,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,17,13,8,9,3,0,55,6,6,3,4,4,0,0,24,0,0,0,0,0,0,0,0,5,27,17,8,15,0,0,81
UCL215047,6,8,7,7,3,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,6,11,11,0,0,44,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,4,0,0,0,0,0,8,6,16,5,13,7,0,0,48,7,4,3,0,6,0,0,23,0,0,0,0,0,0,0,0,14,22,12,16,15,0,0,75
UCL215048,11,13,3,6,6,0,0,39,3,0,0,0,0,0,0,9,3,4,0,0,0,0,0,7,23,22,11,10,9,3,0,79,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,6,5,0,0,4,0,0,0,14,20,27,13,17,14,3,0,90,12,20,7,4,0,0,0,52,0,0,0,0,0,0,0,3,34,48,24,21,18,3,6,145
UCL215049,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,6,3,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,4,19,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,4,0,9,3,4,30
UCL215050,6,9,3,4,8,4,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,13,13,5,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,13,13,11,0,58,0,6,4,0,3,4,0,20,0,0,0,0,0,0,0,0,12,14,11,12,20,7,4,79
UCL215051,10,25,16,11,11,7,0,76,4,3,0,0,0,0,0,7,0,3,0,0,0,0,0,3,19,44,26,26,21,5,0,134,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,7,0,0,0,0,3,0,0,5,17,40,31,26,21,5,0,144,24,23,18,11,10,4,0,88,0,0,0,0,0,0,0,0,43,69,49,36,29,9,0,230
UCL215052,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,19,4,5,0,4,3,0,0,13,0,0,0,0,0,0,0,0,8,13,3,5,6,0,0,32
UCL215053,14,15,12,5,3,0,0,61,0,0,0,3,6,0,0,11,0,0,0,0,0,0,0,0,15,26,21,21,21,3,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,26,21,21,21,3,0,109,12,14,3,0,0,0,0,31,0,0,0,0,0,0,0,0,26,45,24,21,22,3,0,146
UCL215054,5,12,10,0,9,0,0,31,3,4,0,0,0,0,0,9,0,0,3,0,0,0,0,5,9,23,19,10,16,0,0,72,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,6,12,26,18,14,16,0,0,82,16,18,6,8,6,0,0,61,0,0,0,0,0,0,0,0,35,46,23,21,24,0,0,144
UCL215055,0,4,5,4,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,9,6,4,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,9,6,4,0,0,36,3,3,0,0,0,0,0,10,0,0,0,0,0,0,0,5,8,10,11,6,3,0,0,45
UCL215056,4,3,5,10,0,5,3,26,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,6,13,9,12,6,4,52,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,10,5,8,14,14,9,6,4,57,7,6,6,0,0,0,0,31,0,0,0,0,0,0,0,0,17,15,21,10,13,8,5,87
UCL215057,4,15,14,10,8,5,0,45,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,4,5,20,15,11,15,3,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,15,12,15,3,0,74,0,5,0,0,7,0,0,10,0,0,0,0,0,0,0,0,5,26,15,12,18,3,5,83
UCL215058,6,9,10,5,7,3,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,14,9,14,4,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,14,7,14,4,0,57,7,4,0,3,0,0,0,13,0,0,0,0,0,0,0,0,12,21,17,10,12,4,0,75
UCL215059,0,11,9,3,5,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,11,10,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,11,10,0,0,37,0,0,6,5,4,0,0,17,0,0,0,0,0,0,0,0,6,10,5,13,13,0,0,59
UCL215060,0,13,15,14,3,0,0,53,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,15,23,29,15,0,0,87,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,5,5,0,0,0,7,12,20,23,30,15,0,0,92,11,14,5,3,4,0,0,39,0,0,0,0,0,0,0,0,19,35,29,31,16,4,0,129
UCL215061,7,4,4,3,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,10,8,11,0,0,34,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,8,14,11,8,8,11,0,0,37,14,12,9,3,0,0,0,31,0,0,0,0,0,0,0,0,19,12,18,6,7,0,0,70
UCL215062,0,3,8,4,4,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,12,10,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,12,10,0,0,48,9,4,0,0,4,0,0,14,0,0,0,0,0,0,0,4,10,11,10,12,20,0,0,73
UCL215063,0,0,4,3,7,0,0,14,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,3,3,4,10,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,3,9,3,5,10,0,0,30,3,7,0,8,5,0,0,15,0,0,0,0,0,0,0,0,8,11,6,12,12,0,0,43
UCL215064,9,3,6,0,3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,8,3,9,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,6,3,10,0,0,38,4,4,3,5,4,0,0,20,0,0,0,0,0,0,0,0,18,15,9,4,14,0,0,58
UCL215065,17,25,26,16,11,3,0,97,3,0,0,0,0,0,0,6,0,5,0,0,0,0,0,5,20,40,37,26,29,0,5,154,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20,40,37,26,28,5,5,162,12,12,5,3,4,0,0,41,0,0,0,0,0,0,0,4,38,51,47,32,37,5,4,205
UCL215066,9,17,8,10,3,0,0,45,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,8,20,11,9,8,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,11,9,8,0,0,59,8,7,7,7,3,0,0,34,0,0,0,0,0,0,0,0,17,30,12,22,11,0,0,99
UCL215067,0,3,0,0,0,0,0,3,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,6,5,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,20,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,3,7,4,7,5,0,0,28
UCL215068,11,8,4,4,0,0,0,30,0,0,4,0,0,0,0,10,0,0,4,0,0,0,0,4,11,9,17,12,10,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,17,12,10,0,0,72,9,13,8,0,3,0,0,32,0,0,0,0,0,0,0,0,15,29,26,12,15,0,3,104
UCL215069,0,10,9,6,9,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,16,9,14,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,15,9,19,0,0,70,6,6,4,6,8,0,0,26,0,0,3,0,0,0,0,9,11,30,24,14,22,0,0,101
