UCL_CODE_2021,COB_Aus_Arth,COB_Aus_Asth,COB_Aus_Canc_rem,COB_Aus_Dem_Alzh,COB_Aus_Dia_ges_dia,COB_Aus_HD_HA_ang,COB_Aus_Kid_dis,COB_Aus_LC_COPD_emph,COB_Aus_MHC_dep_anx,COB_Aus_Stroke,COB_Aus_oth_LTHC,COB_Aus_no_LTHC,COB_AUS_LTHC_NS,COB_Aus_Tot,COB_Bo_Ocea_Ant_Arth,COB_Bo_Ocea_Ant_Asth,COB_Bo_Ocea_Ant_Can_rem,COB_Bo_Ocea_Ant_Dem_Alzh,COB_Bo_Ocea_Ant_Dia_ges_dia,COB_Bo_Ocea_Ant_HD_HA_ang,COB_Bo_Ocea_Ant_Kid_dis,COB_Bo_Ocea_Ant_LC_COPD_emph,COB_Bo_Ocea_Ant_MHC_dep_anx,COB_Bo_Ocea_Ant_Stroke,COB_Bo_Ocea_Ant_oth_LTHC,COB_Bo_Ocea_Ant_no_LTHC,COB_Bo_Ocea_Ant_LTHC_NS,COB_Bo_Ocea_Ant_Tot,COB_Bo_UK_CI_IM_Arth,COB_Bo_UK_CI_IM_Asth,COB_Bo_UK_CI_IM_Can_rem,COB_Bo_UK_CI_IM_Dem_Alzh,COB_Bo_UK_CI_IM_Dia_ges_dia,COB_Bo_UK_CI_IM_HD_HA_ang,COB_Bo_UK_CI_IM_Kid_dis,COB_Bo_UK_CI_IM_LC_COPD_emph,COB_Bo_UK_CI_IM_MHC_dep_anx,COB_Bo_UK_CI_IM_Stroke,COB_Bo_UK_CI_IM_oth_LTHC,COB_Bo_UK_CI_IM_no_LTHC,COB_Bo_UK_CI_IM_LTHC_NS,COB_Bo_UK_CI_IM_Tot,COB_Bo_NW_Eu_Arth,COB_Bo_NW_Eu_Asth,COB_Bo_NW_Eu_Can_rem,COB_Bo_NW_Eu_Dem_Alzh,COB_Bo_NW_Eu_Dia_ges_dia,COB_Bo_NW_Eu_HD_HA_ang,COB_Bo_NW_Eu_Kid_dis,COB_Bo_NW_Eu_LC_COPD_emph,COB_Bo_NW_Eu__MHC_Dep_anx,COB_Bo_NW_Eu_Stroke,COB_Bo_NW_Eu_oth_LTHC,COB_Bo_NW_Eu_no_LTHC,COB_Bo_NW_Eu_LTHC_NS,COB_Bo_NW_Eu_Tot,COB_Bo_SE_Eu_Asth,COB_Bo_SE_Eu_Arth,COB_Bo_SE_Eu_Can_rem,COB_Bo_SE_Eu_Dem_Alzh,COB_Bo_SE_Eu_Dia_ges_dia,COB_Bo_SE_Eu_HD_HA_ang,COB_Bo_SE_Eu_Kid_dis,COB_Bo_SE_Eu_LC_COPD_emph,COB_Bo_SE_Eu_MHC_Dep_anx,COB_Bo_SE_Eu_Stroke,COB_Bo_SE_Eu_oth_LTHC,COB_Bo_SE_Eu_no_LTHC,COB_Bo_SE_Eu_LTHC_NS,COB_Bo_SE_Eu_Tot,COB_Bo_NA_ME_Asth,COB_Bo_NA_ME_Arth,COB_Bo_NA_ME_Can_rem,COB_Bo_NA_ME_Dem_Alzh,COB_Bo_NA_ME_Dia_ges_dia,COB_Bo_NA_ME_HD_HA_ang,COB_Bo_NA_ME_Kid_dis,COB_Bo_NA_ME_LC_COPD_emph,COB_Bo_NA_ME_MHC_Dep_anx,COB_Bo_NA_ME_Stroke,COB_Bo_NA_ME_oth_LTHC,COB_Bo_NA_ME_no_LTHC,COB_Bo_NA_ME_LTHC_NS,COB_Bo_NA_ME_Tot,COB_Bo_SE_Asia_Arth,COB_Bo_SE_Asia_Asth,COB_Bo_SE_Asia_Can_rem,COB_Bo_SE_Asia_Dem_Alzh,COB_Bo_SE_Asia_Dia_ges_dia,COB_Bo_SE_Asia_HD_HA_ang,COB_Bo_SE_Asia_Kid_dis,COB_Bo_SE_Asia_LC_COPD_emph,COB_Bo_SE_Asia_MHC_Dep_anx,COB_Bo_SE_Asia_Stroke,COB_Bo_SE_Asia_oth_LTHC,COB_Bo_SE_Asia_no_LTHC,COB_Bo_SE_Asia_LTHC_NS,COB_Bo_SE_Asia_Tot,COB_Bo_NE_Asia_Arth,COB_Bo_NE_Asia_Asth,COB_Bo_NE_Asia_Can_rem,COB_Bo_NE_Asia_Dem_Alzh,COB_Bo_NE_Asia_Dia_ges_dia,COB_Bo_NE_Asia_HD_HA_ang,COB_Bo_NE_Asia_Kid_dis,COB_Bo_NE_Asia_LC_COPD_emph,COB_Bo_NE_Asia_MHC_Dep_anx,COB_Bo_NE_Asia_Stroke,COB_Bo_NE_Asia_oth_LTHC,COB_Bo_NE_Asia_no_LTHC,COB_Bo_NE_Asia_LTHC_NS,COB_Bo_NE_Asia_Tot,COB_Bo_SC_Asia_Arth,COB_Bo_SC_Asia_Asth,COB_Bo_SC_Asia_Can_rem,COB_Bo_SC_Asia_Dem_Alzh,COB_Bo_SC_Asia_Dia_ges_dia,COB_Bo_SC_Asia_HD_HA_ang,COB_Bo_SC_Asia_Kid_dis,COB_Bo_SC_Asia_LC_COPD_emph,COB_Bo_SC_Asia_MHC_Dep_anx,COB_Bo_SC_Asia_Stroke,COB_Bo_SC_Asia_oth_LTHC,COB_Bo_SC_Asia_no_LTHC,COB_Bo_SC_Asia_LTHC_NS,COB_Bo_SC_Asia_Tot,COB_Bo_Amer_Arth,COB_Bo_Amer_Asth,COB_Bo_Amer_Can_rem,COB_Bo_Amer_Dem_Alzh,COB_Bo_Amer_Dia_ges_dia,COB_Bo_Amer_HD_HA_ang,COB_Bo_Amer_Kid_dis,COB_Bo_Amer_LC_COPD_emph,COB_Bo_Amer_MHC_Dep_anx,COB_Bo_Amer_Stroke,COB_Bo_Amer_oth_LTHC,COB_Bo_Amer_no_LTHC,COB_Bo_Amer_LTHC_NS,COB_Bo_Amer_Tot,COB_Bo_SS_Afr_Arth,COB_Bo_SS_Afr_Asth,COB_Bo_SS_Afr_Can_rem,COB_Bo_SS_Afr_Dem_Alzh,COB_Bo_SS_Afr_Dia_ges_dia,COB_Bo_SS_Afr_HD_HA_ang,COB_Bo_SS_Afr_Kid_dis,COB_Bo_SS_Afr_LC_COPD_emph,COB_Bo_SS_Afr_MHC_Dep_anx,COB_Bo_SS_Afr_Stroke,COB_Bo_SS_Afr_oth_LTHC,COB_Bo_SS_Afr_no_LTHC,COB_Bo_SS_Afr_LTHC_NS,COB_Bo_SS_Afr_Tot,COB_Bo_Tot_ob_Arth,COB_Bo_Tot_ob_Asth,COB_Bo_Tot_ob_Can_rem,COB_Bo_Tot_ob_Dem_Alzh,COB_Bo_Tot_ob_Dia_ges_dia,COB_Bo_Tot_ob_HD_HA_ang,COB_Bo_Tot_ob_Kid_dis,COB_Bo_Tot_ob_LC_COPD_emph,COB_Bo_Tot_ob_MHC_Dep_anx,COB_Bo_Tot_ob_Stroke,COB_Bo_Tot_ob_oth_LTHC,COB_Bo_Tot_ob_no_LTHC,COB_Bo_Tot_ob_LTHC_NS,COB_Bo_Tot_ob_Tot,COB_COB_NS_Arth,COB_COB_NS_Asth,COB_COB_NS_Can_rem,COB_COB_NS_Dem_Alzh,COB_COB_NS_Dia_ges_dia,COB_COB_NS_HD_HA_ang,COB_COB_NS_Kid_dis,COB_COB_NS_LC_COPD_emph,COB_COB_NS__MHC_Dep_anx,COB_COB_NS_Stroke,COB_COB_NS_oth_LTHC,COB_COB_NS_no_LTHC,COB_COB_NS_LTHC_NS,COB_COB_NS_Tot,COB_Tot_Arth,COB_Tot_Asth,COB_Tot_Can_rem,COB_Tot_Dem_Alzh,COB_Tot_Dia_ges_dia,COB_Tot_HD_HA_ang,COB_Tot_Kid_dis,COB_Tot_LC_COPD_emph,COB_Tot_MHC_Dep_anx,COB_Tot_Stroke,COB_Tot_oth_LTHC,COB_Tot_no_LTHC,COB_Tot_LTHC_NS,COB_Tot_Tot,LFS_Emp_Arth,LFS_Emp_Asth,LFS_Emp_Can_rem,LFS_Emp_Dem_Alzh
UCL214001,826,763,226,83,367,372,73,193,867,97,587,2925,226,5824,11,10,0,0,4,4,0,4,9,4,10,100,4,140,42,11,16,4,18,17,4,13,14,9,21,41,9,142,18,9,5,5,17,11,4,0,4,3,5,17,0,56,17,4,4,0,9,6,0,0,5,0,5,15,5,53,3,0,0,0,0,0,0,0,0,0,0,21,0,31,0,4,0,0,3,4,0,0,5,0,7,79,3,101,0,0,0,0,0,0,0,0,0,0,0,82,3,85,3,5,0,0,3,0,0,0,0,0,4,140,0,150,0,0,0,0,0,0,0,0,0,0,0,7,0,11,0,0,0,0,0,0,0,0,3,0,6,5,9,21,98,40,26,14,64,46,11,18,44,7,59,503,31,776,29,10,4,0,14,6,0,4,18,6,8,38,317,418,948,819,264,102,445,427,81,216,926,113,659,3468,572,7015,231,350,60,4
UCL214002,352,610,124,60,190,159,50,66,564,24,461,3371,257,5390,6,11,0,0,3,6,0,0,7,0,0,45,0,67,47,25,19,12,27,26,5,9,31,5,23,111,5,250,3,3,7,4,4,10,3,4,3,0,8,36,0,66,19,6,7,7,13,3,5,3,5,0,6,51,3,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,3,0,0,0,0,0,8,27,3,39,0,0,0,0,0,0,0,0,0,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,10,0,14,4,0,0,0,0,0,0,0,0,0,0,10,3,19,3,4,0,0,0,0,0,0,4,0,4,9,0,21,86,58,37,20,54,50,10,21,54,8,57,310,17,596,7,3,0,0,0,4,0,0,3,4,0,14,170,196,453,672,166,86,239,213,64,88,616,28,518,3698,444,6178,132,362,52,0
UCL214003,1218,1057,368,111,603,560,152,335,1128,151,822,3837,342,7908,8,16,5,0,8,10,0,4,12,0,3,33,8,85,68,31,24,9,41,34,7,22,27,6,29,100,10,277,38,15,12,12,21,24,0,14,19,0,28,65,11,168,22,10,5,5,11,13,4,0,13,5,15,30,0,81,0,0,0,0,3,4,0,0,0,0,0,18,0,24,3,0,0,0,8,3,3,0,4,0,3,49,5,73,0,0,0,0,0,0,0,0,0,0,3,30,0,34,0,5,0,0,7,0,0,0,0,0,4,137,6,158,7,0,0,5,9,5,3,0,0,0,0,24,0,33,5,3,0,4,0,3,0,0,4,0,3,9,6,30,159,82,47,31,100,92,23,49,86,23,89,496,42,966,46,27,16,6,21,23,11,12,17,8,13,92,681,862,1421,1158,426,144,725,679,182,400,1234,178,928,4429,1060,9742,338,458,94,3
UCL214004,617,460,178,62,304,278,60,155,584,68,376,2107,199,4130,4,7,0,0,5,5,0,0,8,0,11,51,9,87,44,13,12,3,24,22,4,15,17,4,16,49,12,151,8,4,4,0,7,0,0,5,11,0,5,11,7,37,42,8,13,7,26,22,4,5,16,5,12,55,10,146,4,0,0,0,6,0,0,0,10,0,9,23,3,39,5,8,0,0,7,0,3,0,0,0,5,238,4,258,0,0,0,0,0,0,0,0,0,0,0,40,0,40,0,0,0,0,0,0,0,0,0,3,0,99,8,113,6,3,0,0,0,0,0,0,3,0,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,11,0,15,106,43,35,15,71,60,16,25,49,17,53,584,44,896,18,5,10,0,10,9,0,10,5,5,8,37,282,364,744,508,222,74,378,344,80,192,638,87,438,2722,522,5389,132,200,42,0
UCL214005,125,103,46,5,50,71,14,32,99,12,61,474,38,864,0,0,0,0,0,0,0,0,0,0,0,12,0,12,8,0,0,0,3,3,0,5,8,0,0,10,0,29,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,10,5,0,4,4,0,4,40,0,70,3,0,5,0,4,0,0,0,0,0,0,11,46,67,138,105,46,4,55,75,18,37,103,14,69,523,81,1004,34,43,13,0
UCL214006,759,499,253,63,304,325,76,157,642,99,520,2606,179,4974,16,8,6,0,0,9,3,3,13,0,8,74,5,122,135,54,42,7,48,63,7,28,50,18,67,202,25,525,25,0,15,4,13,20,5,7,8,3,14,52,3,124,22,5,13,4,26,22,3,5,13,4,8,75,3,171,0,0,0,0,0,0,0,0,0,0,3,13,6,16,3,8,0,0,4,5,0,0,5,5,9,64,5,94,0,0,0,0,6,0,0,0,0,0,0,42,0,51,3,4,3,0,11,3,0,0,0,0,3,95,0,117,11,7,3,0,8,3,0,0,11,0,10,39,0,73,10,6,0,0,4,3,0,0,4,0,8,27,0,52,232,88,87,19,125,131,16,50,111,29,127,676,53,1338,25,19,5,0,20,9,3,13,18,4,15,52,364,487,1024,608,346,86,447,470,94,216,768,132,665,3336,597,6797,171,203,54,0
UCL214007,233,432,60,4,122,88,18,54,418,24,285,2301,121,3593,4,16,4,0,5,4,4,4,16,0,6,62,3,93,22,9,7,0,7,4,3,5,16,0,8,49,0,98,5,4,0,0,3,3,0,3,3,0,4,24,0,37,12,9,4,4,19,12,3,0,12,0,16,85,0,132,4,0,0,0,6,0,0,0,3,0,0,49,0,59,6,18,3,0,12,6,0,0,12,0,25,149,5,208,0,0,0,0,0,0,0,0,0,0,0,21,0,31,14,13,4,0,34,4,7,0,9,0,19,391,7,471,0,3,0,0,0,0,0,0,7,0,0,23,3,40,0,4,0,0,0,0,0,0,3,0,0,15,5,27,67,76,20,0,85,40,16,11,75,5,86,863,28,1200,5,0,0,0,4,0,0,0,0,0,0,28,176,212,312,513,81,11,211,133,35,64,499,26,369,3196,327,5011,139,317,26,0
UCL214008,1154,880,323,59,519,437,93,213,991,120,771,4465,329,8228,13,11,5,0,5,4,7,3,12,0,11,75,8,120,40,20,16,7,26,28,6,17,24,6,28,89,7,222,15,5,8,0,5,0,4,5,11,5,6,31,0,71,7,3,0,0,5,0,5,0,0,0,3,8,0,29,0,0,0,0,3,0,0,0,0,0,0,10,0,15,3,0,0,0,6,4,0,5,0,0,4,57,0,78,0,0,0,0,0,0,0,0,0,0,0,23,0,20,0,0,0,0,0,0,0,0,0,0,0,99,0,105,5,0,0,0,3,0,0,0,0,0,8,26,0,39,5,7,6,0,6,3,0,0,0,0,4,50,3,69,99,55,44,7,54,47,22,26,52,10,70,462,26,764,29,13,4,8,23,18,0,5,26,3,12,67,422,584,1274,948,373,79,595,501,112,245,1064,140,853,4989,780,9577,357,429,118,0
UCL214009,854,738,260,74,319,364,77,152,856,81,721,3917,286,6948,14,12,3,0,9,9,4,3,16,3,13,76,4,143,139,55,40,25,61,75,16,32,69,17,86,222,14,576,57,15,10,10,23,31,8,9,16,10,24,85,10,204,32,6,7,0,13,21,0,6,9,3,17,42,0,104,0,0,0,0,0,0,0,0,0,0,0,5,0,8,3,12,0,0,3,0,0,0,7,0,3,61,0,89,4,3,0,0,0,0,0,0,0,0,0,18,0,28,0,8,0,0,5,11,0,0,3,0,7,18,4,34,13,7,4,0,4,0,4,0,7,3,8,33,0,64,4,6,0,0,4,0,0,0,3,0,10,26,0,49,266,119,73,31,126,144,33,59,135,29,162,597,38,1304,22,5,7,5,6,5,0,6,15,4,12,34,368,447,1135,860,347,110,460,509,108,212,1011,117,892,4555,687,8698,330,405,88,0
UCL214010,671,461,255,64,269,364,45,123,489,74,425,2757,166,4898,9,5,7,0,3,8,3,3,8,0,10,30,0,74,87,31,31,9,37,43,5,24,37,11,37,131,6,350,29,12,15,11,11,31,5,9,18,9,23,69,6,164,17,0,0,3,13,13,0,3,5,5,10,48,3,87,3,0,0,0,0,3,0,0,0,0,0,6,0,16,5,0,0,0,0,0,0,0,3,0,0,20,0,29,0,0,0,0,0,0,0,0,0,0,0,12,0,21,0,0,0,0,5,0,0,0,0,0,4,29,3,34,3,3,0,0,0,0,0,0,0,0,0,22,0,31,0,3,0,0,0,3,0,0,0,0,3,14,0,27,151,57,61,26,81,99,12,33,76,26,91,390,18,826,29,11,9,7,7,12,0,3,12,0,10,48,205,316,845,530,323,96,353,479,62,160,573,98,531,3194,398,6046,156,208,61,0
UCL214011,773,812,244,65,388,362,83,180,903,78,715,4112,267,7135,14,12,8,6,15,4,4,8,5,5,14,68,4,115,95,39,24,8,55,40,12,28,48,6,41,133,6,355,25,12,9,4,16,14,3,9,8,9,13,52,6,120,35,10,17,9,22,21,8,7,15,4,29,49,3,134,3,3,6,0,9,0,0,0,3,0,0,12,0,32,3,5,0,0,3,0,0,0,3,0,11,88,4,114,3,4,0,0,3,0,0,0,3,0,0,40,0,51,9,7,5,0,13,6,0,0,0,0,4,115,0,145,10,0,0,0,0,0,3,0,3,0,0,17,0,33,3,6,4,0,4,0,0,0,4,0,4,34,0,47,194,97,69,22,144,104,27,52,98,26,115,616,28,1156,25,4,3,0,17,8,8,4,10,0,17,29,419,493,990,910,320,85,546,477,113,231,1014,107,843,4758,710,8786,243,438,88,0
UCL214012,733,573,212,37,317,307,83,134,574,73,476,2777,206,5148,15,8,6,0,3,5,0,0,8,0,4,36,4,64,29,20,4,4,26,19,3,4,17,6,19,36,7,123,13,8,4,0,9,8,0,0,3,0,3,11,5,43,25,8,3,5,21,10,4,0,11,0,6,33,0,90,0,0,0,0,0,0,0,0,4,0,0,0,0,9,4,0,0,0,9,0,3,0,5,0,5,60,5,82,0,0,0,0,0,0,0,0,0,0,0,11,5,10,3,0,0,0,5,0,0,0,0,0,3,24,0,39,0,3,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,13,0,18,92,46,22,12,71,49,13,13,47,6,37,233,25,481,49,17,9,14,21,12,10,11,15,0,14,42,246,375,872,634,245,61,408,368,100,156,640,82,529,3053,474,6010,218,261,51,0
UCL214013,479,407,180,88,239,227,60,111,527,57,475,2196,164,4122,12,16,5,3,5,6,3,3,19,3,16,49,3,105,45,24,21,8,21,33,7,16,26,9,41,118,0,254,4,6,3,7,11,8,0,5,9,0,4,38,3,74,8,3,4,3,6,9,0,4,6,0,7,26,0,50,4,0,0,0,4,0,0,0,0,0,0,6,0,7,4,3,0,0,3,0,0,0,6,0,8,59,0,83,0,0,0,0,0,0,0,0,0,0,4,75,0,80,0,3,0,0,0,3,0,0,8,0,0,29,4,39,7,5,5,0,0,0,0,0,13,0,9,25,0,50,6,3,0,0,5,0,0,0,0,0,6,19,0,22,90,60,35,23,55,52,17,29,89,18,90,437,16,775,16,13,7,5,3,14,3,8,5,4,10,29,177,251,581,481,218,114,302,293,83,146,624,75,580,2667,356,5151,138,240,55,0
UCL214014,814,521,258,52,318,334,62,242,620,107,483,2480,229,4916,15,7,4,0,0,4,0,7,14,0,12,44,0,79,93,39,30,13,49,44,8,31,41,16,53,96,8,326,21,9,8,0,9,13,4,6,12,0,11,52,11,122,33,7,10,7,21,21,3,3,12,0,10,49,9,122,3,0,0,0,4,6,0,0,0,0,3,7,0,14,7,3,0,0,0,0,0,0,0,0,0,60,0,77,0,0,6,0,0,0,0,0,0,0,4,31,0,33,4,3,0,0,0,4,0,0,0,0,0,46,0,50,9,0,0,0,4,4,0,0,0,0,7,16,0,24,4,3,0,0,5,0,0,0,0,0,8,7,0,24,174,82,56,22,96,87,10,46,80,23,105,408,28,874,31,15,10,3,18,15,3,8,20,3,23,65,580,733,1016,619,329,80,427,430,79,303,714,132,609,2962,832,6527,185,185,49,0
UCL214015,579,486,183,37,270,238,56,99,526,72,442,2652,182,4675,7,0,3,0,8,0,0,0,5,0,0,39,5,65,54,23,11,6,20,28,3,15,26,7,26,71,8,190,31,10,5,0,12,14,4,6,6,0,16,51,0,112,12,0,5,3,15,8,0,0,11,4,7,13,8,50,0,0,0,0,3,0,0,0,0,0,0,8,0,13,4,0,3,0,6,0,0,0,0,0,0,38,5,55,0,0,0,0,0,0,0,0,0,0,0,19,0,20,0,0,0,0,6,0,0,0,0,0,0,57,0,79,3,3,0,0,4,3,4,0,7,0,4,17,0,28,0,0,0,0,0,0,0,0,0,0,0,6,0,9,118,47,20,12,72,59,14,26,62,7,59,313,25,616,19,12,11,0,9,8,5,9,9,0,10,45,232,323,708,542,214,49,351,308,73,130,600,87,511,3009,441,5618,152,237,54,0
UCL214016,1096,781,318,104,485,496,87,307,1058,130,700,3098,260,6550,19,9,3,0,8,10,0,4,11,4,11,29,0,75,84,34,32,8,43,38,11,37,49,10,29,74,10,261,23,0,5,4,15,16,0,7,5,5,16,19,3,81,18,0,3,0,15,13,0,4,6,4,5,21,0,59,3,0,0,0,0,0,0,0,0,0,0,0,0,8,9,4,3,0,3,0,0,0,3,0,0,61,6,85,0,0,0,0,0,0,0,0,0,0,0,7,0,10,0,0,0,0,10,0,0,0,0,0,5,58,3,70,9,0,3,0,3,0,0,0,7,0,4,4,0,31,0,0,0,0,0,0,0,0,0,0,0,3,0,13,160,58,48,15,92,80,12,60,85,28,77,290,27,690,53,21,11,7,17,17,3,17,29,4,14,73,344,527,1307,857,382,120,596,597,100,383,1171,166,796,3462,632,7769,245,266,72,0
UCL214017,624,355,251,66,177,330,40,97,384,66,400,2377,148,4315,11,8,0,0,3,6,0,0,8,0,9,36,0,62,51,17,23,3,11,25,4,8,31,0,19,101,10,242,17,9,3,0,8,7,0,0,9,3,6,45,6,83,12,0,9,5,9,14,0,0,6,0,6,18,0,53,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,4,0,3,20,0,37,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,27,0,33,0,3,0,0,0,0,0,0,0,0,0,34,0,43,0,3,0,0,0,5,0,0,3,0,0,9,0,19,96,45,44,8,43,55,10,8,54,12,55,306,19,592,15,8,11,0,0,4,0,5,4,0,7,39,279,360,735,406,301,76,222,396,48,108,446,77,465,2724,446,5265,160,160,64,4
UCL214018,1082,692,386,44,477,507,92,199,826,107,709,3442,303,6858,22,20,7,0,11,7,0,6,20,0,17,80,0,149,111,61,44,11,44,49,11,21,53,8,42,195,36,512,24,3,15,0,19,20,3,7,18,3,17,64,5,146,111,33,29,9,67,56,9,21,37,16,41,195,26,463,11,5,3,0,11,7,0,0,8,0,3,19,3,41,6,0,0,0,4,0,4,0,4,0,4,38,5,59,0,0,0,0,0,6,0,0,0,0,0,8,0,19,0,0,0,0,0,0,0,0,0,0,0,23,0,29,3,7,7,0,3,7,0,4,13,0,6,33,0,62,8,6,0,0,0,3,3,0,6,0,4,23,0,39,285,133,116,16,156,156,28,64,157,31,138,685,82,1515,50,14,18,4,18,27,6,7,29,8,10,79,474,679,1421,836,515,67,657,684,125,279,1005,146,860,4205,868,9048,276,326,104,0
UCL214019,680,603,200,56,379,329,79,153,753,78,462,2385,199,4773,11,4,4,0,7,7,0,3,9,5,12,26,0,65,36,12,6,7,21,19,6,18,24,0,13,41,6,131,24,5,3,3,10,13,8,4,8,0,6,15,0,61,26,7,0,0,21,12,0,0,7,0,19,34,0,91,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,4,0,0,4,3,0,0,4,0,10,76,7,108,0,0,0,0,0,0,0,0,0,0,0,129,0,134,0,0,0,0,0,0,0,0,0,0,0,52,3,59,0,0,3,0,0,0,0,0,0,0,0,8,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,3,93,40,21,18,70,53,20,24,53,13,63,397,19,680,16,12,5,0,15,11,0,0,11,9,3,56,458,565,793,657,229,74,462,395,105,178,820,96,529,2832,680,6016,187,270,48,4
UCL214020,754,533,203,19,339,289,49,166,641,66,482,2238,197,4496,3,4,0,0,0,0,0,0,0,4,7,37,0,53,32,18,12,0,15,18,0,15,17,0,21,43,6,119,10,4,0,0,8,8,0,0,0,0,12,14,4,46,8,5,0,3,4,4,3,4,0,0,3,4,0,29,0,0,0,0,0,0,0,0,0,0,0,7,0,14,0,5,0,0,7,3,0,0,3,0,3,112,6,132,0,0,0,0,0,0,0,4,0,0,0,73,0,74,0,0,0,0,6,0,0,0,0,0,3,84,0,97,0,0,0,0,0,3,0,0,0,0,0,14,0,18,3,3,0,0,0,0,0,0,5,0,0,21,0,33,55,36,18,7,43,37,7,17,27,8,49,422,18,607,24,13,5,3,10,10,0,4,6,3,6,39,438,524,832,579,220,29,385,337,62,189,672,79,535,2702,655,5627,213,227,59,0
UCL214021,495,532,143,72,221,195,49,78,570,54,473,2658,211,4676,9,0,0,0,3,6,0,0,10,0,8,30,0,53,44,21,18,12,23,25,4,8,19,4,27,66,5,191,10,4,5,0,7,15,0,0,0,0,12,17,0,50,41,7,9,13,26,20,3,7,11,3,19,42,8,132,0,0,0,0,6,0,0,0,5,0,8,16,0,25,0,0,5,0,0,0,0,0,5,0,5,36,0,43,0,0,0,0,3,0,0,0,3,0,0,6,0,11,0,0,0,0,0,0,0,0,0,0,0,14,0,15,0,9,0,0,0,0,0,0,7,0,0,8,0,20,8,0,0,0,0,0,0,0,7,5,4,22,0,40,121,47,34,24,68,62,7,27,61,16,80,261,16,585,8,9,0,0,4,0,0,0,3,0,10,10,197,232,628,587,174,94,287,260,59,106,633,75,565,2928,428,5497,171,307,57,3
UCL214022,1043,753,300,64,453,495,104,282,964,143,679,3345,269,6655,25,16,9,3,13,14,0,8,16,6,15,48,5,118,177,73,42,9,84,86,16,53,67,19,72,145,12,483,45,6,9,5,17,29,0,7,15,12,19,50,0,142,24,4,7,4,20,17,8,5,10,0,9,46,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,10,5,0,9,0,0,0,0,0,6,97,0,121,0,0,0,0,0,0,0,0,0,0,4,25,0,35,7,0,5,0,10,3,0,0,0,0,6,79,5,105,12,5,3,0,3,3,3,5,3,0,3,23,0,41,9,4,0,0,4,5,0,0,0,0,7,14,0,37,301,111,81,20,160,160,26,80,122,41,133,537,29,1189,40,23,12,0,17,22,8,13,38,3,15,65,417,586,1379,892,389,90,637,671,133,373,1121,187,832,3949,714,8430,247,326,67,3
UCL215001,127,88,70,4,35,64,11,13,82,13,107,673,43,1141,3,6,0,0,5,5,0,0,0,0,0,14,0,24,11,5,6,0,0,0,0,3,7,0,11,32,0,63,0,0,3,0,0,0,0,0,0,0,0,14,0,27,4,0,0,0,3,0,0,0,0,0,3,3,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,7,27,15,11,5,7,9,0,5,8,0,20,88,0,162,0,0,0,0,0,0,0,0,0,0,4,6,82,93,156,102,84,8,44,77,10,15,89,11,126,766,130,1395,54,56,27,0
UCL215002,352,210,101,27,140,150,42,71,259,42,216,1063,71,2046,3,6,0,0,6,3,0,0,0,0,3,14,0,31,51,14,9,0,17,22,0,16,22,5,13,23,3,111,20,6,6,0,7,10,0,0,3,0,0,12,0,40,3,0,0,0,0,0,0,0,0,0,3,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,13,4,25,0,0,0,0,0,0,0,0,0,0,0,4,0,11,3,0,0,0,0,0,0,0,0,0,7,16,0,26,0,0,0,0,0,0,0,0,6,0,0,12,0,20,5,5,0,0,0,0,0,0,0,0,0,0,0,9,82,31,21,5,32,38,0,20,38,9,24,112,12,282,9,3,4,0,12,8,0,5,4,0,0,10,106,148,452,250,130,29,184,195,46,99,300,55,245,1188,192,2480,80,93,16,0
