UCL_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL215090,0,7,6,4,7,3,0,0,0,25,3,4,3,6,12,6,0,0,0,40,34,64,255,192,147,152,39,0,0,892
UCL215091,0,8,4,7,10,9,0,0,0,32,0,3,6,3,6,18,6,0,0,46,55,115,94,127,190,217,63,3,0,868
UCL215092,0,4,12,6,20,14,7,0,0,68,0,3,7,12,18,13,11,0,0,64,102,103,296,496,570,355,123,24,0,2066
UCL215093,11,16,36,29,25,20,3,0,0,145,5,10,23,18,21,11,6,0,0,93,125,188,580,430,388,329,79,9,0,2123
UCL215094,0,0,0,6,3,3,0,0,0,20,0,0,0,7,9,3,0,0,0,21,37,38,53,90,136,93,14,0,0,453
UCL215095,0,0,9,6,4,0,0,0,0,21,0,0,4,5,7,4,0,0,0,27,25,55,112,85,101,84,21,0,0,476
UCL215096,3,7,14,11,16,10,6,0,0,76,3,0,12,14,16,9,3,0,0,57,79,98,262,257,278,189,58,5,0,1226
UCL215097,0,11,25,18,12,9,0,0,0,67,5,6,23,11,20,15,3,0,0,83,79,141,290,305,322,219,71,4,0,1426
UCL215098,0,6,12,8,6,5,0,0,0,28,0,0,0,8,3,10,0,0,0,21,26,61,173,117,93,121,24,0,0,620
UCL215099,3,0,4,8,3,5,0,0,0,25,0,0,3,3,6,9,0,0,0,31,26,56,100,109,103,125,43,6,0,570
UCL215100,0,0,0,0,0,9,3,0,0,15,0,0,3,3,5,0,4,0,0,16,27,23,70,77,91,122,45,10,0,464
UCL221001,0,0,0,3,9,3,0,0,0,13,0,0,7,6,3,0,0,0,0,16,28,32,81,81,96,62,11,0,0,396
UCL221002,0,0,4,0,4,0,0,0,0,12,0,0,0,0,3,3,0,0,0,8,18,29,63,71,86,89,36,0,0,391
UCL221003,0,0,0,0,0,0,0,0,0,11,4,0,0,3,4,0,0,0,0,16,16,15,70,56,54,55,5,0,0,280
