UCL_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
UCL215013,5,9,7,5,18,9,9,8,0,74,5,14,12,4,12,27,3,11,16,105,122,206,223,164,536,482,139,237,29,2136
UCL215014,5,5,3,6,8,7,5,0,0,36,0,0,5,4,5,5,0,0,5,27,34,81,73,52,151,138,35,63,9,636
UCL215015,3,4,3,4,4,4,0,4,0,29,3,6,7,0,6,0,0,4,7,35,104,211,151,117,196,178,63,110,20,1150
UCL215016,4,12,6,3,25,12,4,4,3,75,3,12,10,6,12,28,6,14,24,106,118,259,205,133,394,391,128,220,44,1891
UCL215017,3,14,5,6,7,10,4,6,7,64,5,13,9,0,12,13,4,4,10,72,76,195,151,82,225,272,77,152,42,1272
UCL215018,0,6,4,3,5,7,0,7,0,33,0,11,9,0,11,10,6,8,9,41,57,202,137,102,190,234,70,178,24,1187
UCL215019,3,6,6,0,5,8,0,3,0,30,0,8,0,0,5,9,0,0,3,30,90,199,160,75,177,187,63,107,12,1069
UCL215020,0,0,0,0,3,8,0,0,0,17,0,0,0,0,3,3,0,5,3,14,34,62,61,42,75,83,30,66,15,465
UCL215021,5,4,0,0,0,3,0,0,0,10,0,4,0,0,3,11,0,0,0,29,34,84,54,44,109,107,29,51,13,534
UCL215022,0,10,6,3,13,9,3,9,0,53,5,9,6,5,9,13,4,4,14,70,105,280,209,165,370,300,84,155,36,1711
UCL215023,0,0,0,0,7,4,0,0,0,15,0,0,0,0,0,3,5,0,7,26,36,91,73,63,96,131,46,75,24,627
UCL215024,0,3,0,0,5,5,4,3,0,20,0,4,3,0,8,7,0,0,16,35,25,91,74,57,131,131,33,74,17,645
UCL215025,4,3,0,5,6,8,0,0,0,21,0,0,3,0,5,8,0,0,11,16,30,67,58,30,73,89,15,42,11,412
UCL215026,0,0,3,0,4,8,4,0,0,23,0,3,0,0,4,3,0,0,7,25,35,69,58,32,70,79,19,43,19,416
UCL215027,0,3,3,0,4,8,3,5,0,29,0,0,3,0,0,0,0,0,0,8,20,79,67,32,76,99,21,59,15,462
UCL215028,3,10,5,0,11,17,8,10,0,65,3,10,3,3,3,14,0,3,6,46,73,173,131,106,179,189,57,110,12,1037
UCL215029,6,11,6,7,10,13,0,5,0,52,8,12,9,3,9,12,0,9,7,69,92,330,253,170,255,258,76,172,19,1626
UCL215030,0,3,0,0,5,0,0,0,0,11,0,0,0,0,5,6,0,5,8,18,22,53,58,50,115,78,20,45,13,459
UCL215031,0,4,0,0,0,9,0,0,0,20,7,0,0,0,3,8,0,0,3,20,29,81,51,48,69,122,32,69,14,523
UCL215032,0,13,3,4,4,9,0,8,0,47,5,3,3,0,6,7,0,3,12,50,98,180,127,128,189,258,48,123,31,1187
UCL215033,0,16,3,3,7,9,0,9,0,54,6,5,6,0,20,13,0,4,8,53,80,176,137,98,323,353,110,215,16,1494
