UCL_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
UCL215085,383,1093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,1095,33,..,415,1095
UCL215086,1368,3424,99,135,3,5,102,141,5,12,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,1474,3576,114,..,1589,3576
UCL215087,541,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,5,3,7,8,549,1573,27,..,574,1573
UCL215088,720,1553,5,9,0,3,3,13,19,23,0,0,0,0,0,0,0,0,19,23,0,5,20,26,0,0,0,0,22,28,0,0,767,1613,225,..,992,1613
UCL215089,909,1881,38,47,0,0,38,47,8,8,0,0,0,0,0,0,0,0,8,8,9,9,0,0,0,0,5,14,13,21,0,0,971,1961,170,..,1140,1961
UCL215090,755,1789,43,55,0,0,43,55,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,0,0,0,0,7,7,0,0,806,1845,66,..,869,1845
UCL215091,477,1458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,478,1460,17,..,497,1460
UCL215092,1549,3978,202,332,15,35,219,366,6,15,0,0,0,0,0,0,0,0,6,15,0,4,0,0,0,0,0,0,0,5,0,14,1777,4371,157,..,1939,4371
UCL215093,1525,4036,4,10,0,0,4,10,0,0,0,0,0,0,0,0,6,12,6,12,0,0,0,0,0,0,0,0,0,0,3,5,1536,4055,53,..,1592,4055
UCL215094,364,942,4,7,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,952,22,..,392,952
UCL215095,451,1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451,1039,58,..,506,1039
UCL215096,793,2152,57,88,23,42,81,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,874,2287,51,..,927,2287
UCL215097,1010,2686,118,183,4,18,120,199,37,59,0,0,0,0,0,0,0,0,37,59,0,0,0,0,0,0,0,7,0,7,0,0,1173,2954,61,..,1236,2954
UCL215098,553,1305,11,18,0,0,11,18,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,3,0,4,568,1329,32,..,602,1329
UCL215099,630,1349,65,96,0,7,72,103,42,47,0,0,0,0,0,0,0,0,42,47,5,12,17,24,0,0,0,7,24,35,0,4,768,1543,130,..,894,1543
UCL215100,542,1096,7,6,0,0,7,7,5,5,0,0,0,0,0,0,0,0,5,5,0,0,10,17,0,0,0,0,10,20,3,6,565,1137,74,..,638,1137
UCL221001,227,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,51,21,51,0,0,253,660,23,..,272,660
UCL221002,358,808,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,811,49,..,405,811
UCL221003,199,500,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,3,4,0,0,200,510,20,..,221,510
UCL221004,329,1085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,3,332,1093,13,..,347,1093
UCL221005,268,599,0,5,0,0,0,5,16,15,0,0,0,0,0,0,0,0,16,15,0,3,3,3,0,0,0,0,4,4,0,0,282,620,58,..,341,620
UCL221006,249,584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,584,53,..,305,584
UCL221007,215,463,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,469,37,..,253,469
UCL221008,289,604,11,7,0,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,611,70,..,370,611
UCL221009,236,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,563,38,..,270,563
UCL221010,221,504,9,8,0,0,9,8,3,5,0,0,0,0,0,0,0,0,3,5,0,3,0,0,0,0,0,5,3,9,0,0,229,521,45,..,284,521
UCL221011,198,578,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,584,9,..,208,584
UCL221012,158,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,457,15,..,174,457
UCL221013,215,562,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,565,18,..,239,565
UCL221014,393,851,0,0,12,21,9,17,3,8,0,0,0,0,0,0,0,0,3,8,0,0,0,4,0,0,0,0,0,3,0,0,411,879,629,..,1038,879
UCL221015,178,432,0,0,5,7,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,439,126,..,314,439
UCL221016,276,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,920,11,..,288,920
UCL221017,343,839,18,19,0,0,18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,5,20,0,0,367,876,29,..,395,876
UCL221018,421,831,12,10,0,3,10,18,3,6,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,3,6,4,6,0,0,443,866,101,..,544,866
UCL221019,388,797,5,4,0,3,3,12,3,5,0,0,0,0,0,0,0,0,3,5,16,18,0,0,0,0,5,9,22,29,0,4,419,846,109,..,529,846
UCL221020,390,734,18,22,0,0,22,28,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,4,9,0,0,413,768,58,..,478,768
UCL221021,299,663,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,302,666,35,..,330,666
UCL221022,210,458,8,10,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,0,11,0,0,231,484,56,..,278,484
UCL221023,286,546,23,29,0,0,23,29,0,0,0,0,0,0,0,0,0,0,0,0,12,17,0,0,0,0,15,19,20,37,0,0,327,605,68,..,402,605
UCL221024,397,849,12,14,4,15,14,31,3,0,0,0,0,0,0,0,0,0,3,0,9,14,0,5,0,0,0,7,9,16,0,0,424,894,131,..,554,894
UCL221025,294,587,11,16,0,0,11,16,20,24,0,0,0,0,0,0,0,0,20,24,0,0,0,0,0,0,0,0,0,0,0,0,332,624,74,..,404,624
UCL221026,305,589,8,12,0,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0,14,16,0,3,0,0,0,0,18,20,0,3,331,617,194,..,527,617
UCL221027,309,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,11,11,0,0,317,654,45,..,365,654
UCL221028,295,628,0,0,0,0,0,0,7,16,0,4,0,0,0,0,0,0,12,22,0,0,0,0,0,0,4,0,4,0,0,0,315,660,378,..,688,660
UCL221029,235,665,3,6,0,0,3,6,5,5,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,246,673,9,..,252,673
UCL221030,223,372,46,77,0,0,46,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,3,0,3,267,458,459,..,731,458
UCL221031,203,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,565,24,..,230,565
UCL221032,219,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,220,526,21,..,242,526
UCL221033,234,452,3,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,3,9,3,9,0,0,244,465,58,..,300,465
UCL221034,257,889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,7,0,0,0,0,0,0,0,0,0,0,0,0,254,900,11,..,265,900
UCL221035,293,637,9,12,0,0,9,12,0,0,0,0,0,0,0,0,0,0,0,0,12,13,3,4,0,0,0,6,18,25,0,0,317,665,57,..,375,665
UCL221036,261,726,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,263,729,13,..,278,729
UCL221037,310,612,6,15,0,0,6,15,3,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,4,317,633,47,..,362,633
UCL221038,281,811,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,288,819,26,..,308,819
UCL221039,269,639,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,280,645,80,..,354,645
UCL221040,270,609,4,0,0,0,6,3,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,275,619,176,..,451,619
UCL221041,214,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,599,8,..,230,599
UCL221042,197,483,0,4,5,9,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,487,19,..,220,487
UCL221043,514,873,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,3,0,0,0,3,0,0,521,878,1206,..,1727,878
UCL221044,458,912,12,16,5,5,20,22,0,0,0,0,0,0,0,0,0,0,0,0,9,12,0,0,0,0,0,0,13,16,0,0,485,955,215,..,696,955
UCL221045,289,693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,691,32,..,329,691
UCL221046,469,1432,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,22,0,0,0,0,14,21,0,0,486,1460,19,..,511,1460
UCL221047,196,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,602,11,..,204,602
UCL221048,188,458,7,14,0,0,7,14,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,6,0,0,201,476,28,..,226,476
UCL221049,223,678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,678,9,..,233,678
UCL221050,279,612,40,73,0,0,40,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,0,0,0,4,16,23,0,0,338,712,30,..,368,712
UCL221051,324,715,5,10,0,0,5,10,4,8,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,6,9,6,12,0,0,343,743,52,..,398,743
UCL221052,180,476,3,3,0,0,3,3,3,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,5,3,5,0,0,186,486,3,..,191,486
UCL221053,321,703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,701,45,..,363,701
UCL221054,281,611,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,4,9,4,9,0,4,291,622,41,..,337,622
UCL221055,198,629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,629,8,..,204,629
UCL221056,160,394,0,0,0,0,0,0,11,10,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,6,17,6,17,0,0,184,420,38,..,222,420
UCL221057,243,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,712,13,..,255,712
UCL221058,173,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,454,19,..,188,454
UCL221059,264,655,14,26,0,0,14,26,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,6,12,0,0,286,693,44,..,321,693
UCL221060,292,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,545,166,..,458,545
UCL221061,289,598,0,0,3,8,3,8,3,3,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,299,612,232,..,532,612
UCL221062,395,789,13,16,0,0,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,25,0,0,4,8,22,33,0,0,436,842,63,..,502,842
UCL221063,237,490,9,5,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,3,6,0,0,249,511,58,..,312,511
UCL221064,228,639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,639,9,..,238,639
UCL221065,190,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,425,215,..,401,425
UCL221066,245,675,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,679,15,..,263,679
UCL221067,208,527,11,13,0,0,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,541,15,..,234,541
UCL221068,207,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,209,497,142,..,349,497
UCL221069,382,868,3,8,3,7,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,880,523,..,915,880
UCL221070,367,822,21,33,0,0,21,33,10,11,0,0,0,0,0,0,0,0,10,11,0,0,3,3,0,0,0,0,4,3,0,0,406,869,45,..,452,869
UCL221071,320,718,11,17,0,0,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,331,740,60,..,387,740
UCL221072,186,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,462,21,..,217,462
UCL221073,158,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,486,7,..,167,486
UCL221074,327,688,17,23,0,0,17,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,6,18,0,4,352,729,112,..,465,729
UCL221075,348,755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,355,760,595,..,946,760
UCL221076,419,790,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,798,1313,..,1740,798
UCL221077,279,556,21,26,0,0,21,26,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,9,0,0,0,0,12,10,0,0,312,594,37,..,348,594
UCL221078,214,507,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,214,513,29,..,251,513
UCL221079,259,525,21,29,0,0,21,29,0,3,0,0,0,0,0,0,0,0,0,3,9,25,0,0,0,0,0,3,6,22,0,0,286,581,89,..,375,581
UCL221080,198,430,14,31,20,40,38,68,0,0,0,0,0,0,0,0,0,0,0,0,24,38,0,4,0,0,0,0,27,42,0,0,260,546,18,..,277,546
UCL221081,227,461,20,38,0,0,17,41,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,4,3,0,0,248,505,37,..,289,505
UCL221082,191,577,0,0,5,7,5,7,0,0,0,0,166,251,0,0,0,0,166,251,0,0,0,0,0,0,0,0,0,0,0,0,365,836,62,..,430,836
UCL221083,386,906,32,35,0,0,32,35,7,8,0,0,0,0,0,0,0,0,7,8,5,7,0,0,0,0,0,3,10,12,0,4,434,963,54,..,488,963
UCL221084,315,771,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,775,20,..,337,775
UCL222001,95,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,275,8,..,102,275
UCL222002,148,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,382,90,..,239,382
UCL222003,115,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,327,10,..,128,327
UCL222004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
UCL222005,97,208,4,8,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,212,19,..,122,212
UCL222006,144,362,5,7,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,366,30,..,181,366
UCL222007,82,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,175,12,..,88,175
UCL222008,158,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,164,338,121,..,276,338
UCL222009,134,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,16,8,16,0,0,136,303,64,..,199,303
UCL222010,125,332,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,333,3,..,126,333
UCL222011,115,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,331,5,..,119,331
UCL222012,157,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,369,239,..,395,369
UCL222013,105,208,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,212,52,..,154,212
UCL222014,139,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,383,11,..,149,383
UCL222015,112,317,25,49,0,0,25,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,131,370,4,..,141,370
UCL222016,106,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,112,231,17,..,130,231
UCL222017,99,167,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,169,32,..,133,169
UCL222018,32,85,0,0,3,11,3,11,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,37,109,54,..,93,109
UCL222019,131,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,364,3,..,137,364
UCL222020,107,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,236,11,..,117,236
UCL222021,115,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,119,269,25,..,145,269
UCL222022,110,247,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,118,248,9,..,131,248
UCL222023,159,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,443,8,..,171,443
UCL222024,5,16,4,10,0,0,4,10,4,13,7,17,3,5,3,13,0,0,21,43,0,0,0,0,0,0,0,0,0,0,0,7,31,77,10,..,43,77
UCL222025,87,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,188,17,..,103,188
UCL222026,117,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,318,5,..,123,318
UCL222027,137,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,134,318,13,..,153,318
UCL222028,118,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,120,305,7,..,127,305
UCL222029,99,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,201,20,..,119,201
UCL222030,93,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,217,13,..,105,217
UCL222031,120,271,7,4,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,3,4,4,126,280,28,..,152,280
UCL222032,127,260,5,4,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,270,186,..,325,270
UCL222033,113,263,0,0,5,3,4,8,8,11,0,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,121,280,53,..,173,280
UCL222034,137,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,294,25,..,159,294
UCL222035,146,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,151,289,73,..,226,289
UCL222036,78,198,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,5,0,0,0,0,7,11,0,0,89,209,9,..,97,209
UCL222037,95,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,252,6,..,107,252
UCL222038,73,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,217,6,..,81,217
UCL222039,102,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,279,3,..,108,279
UCL222040,178,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,407,117,..,297,407
UCL222041,103,238,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,5,10,10,0,0,109,255,18,..,129,255
UCL222042,108,225,8,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,229,28,..,136,229
UCL222043,186,405,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,5,0,0,187,412,26,..,211,412
UCL222044,145,275,5,9,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,4,0,0,161,288,36,..,194,288
UCL222045,93,258,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,94,261,3,..,96,261
UCL222046,152,326,7,12,0,0,7,12,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,159,343,15,..,178,343
UCL222047,102,193,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,195,21,..,118,195
UCL222048,89,176,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,184,29,..,120,184
UCL222049,109,237,0,0,7,9,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,122,254,156,..,276,254
UCL222050,200,419,7,8,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,3,9,0,0,205,429,134,..,347,429
UCL222051,200,398,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,6,208,412,119,..,328,412
UCL222052,155,390,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,7,0,0,161,396,13,..,177,396
UCL222053,170,386,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,8,4,15,0,0,0,0,13,21,0,0,189,417,15,..,204,417
UCL222054,96,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,6,0,0,0,0,6,10,0,4,105,259,8,..,110,259
UCL222055,178,358,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,4,0,0,182,367,39,..,220,367
UCL222056,17,57,0,0,0,0,0,0,5,12,8,22,10,22,0,3,0,0,25,61,0,0,0,0,0,0,0,0,0,0,4,11,41,132,86,..,128,132
UCL222057,120,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,286,29,..,149,286
UCL222058,0,27,0,0,0,3,0,3,14,35,4,16,3,9,3,3,0,0,25,63,0,0,0,0,0,0,0,0,0,0,0,14,36,107,152,..,185,107
UCL222059,72,180,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,6,3,0,0,4,7,0,0,0,0,0,10,0,0,82,195,8,..,91,195
