UCL_CODE_2021,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
UCL214005,7,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,5,0,5,0,0,0,0,0,0,6,0,0,4,9,3,0,13,0,3,13,6,14,3,42,0,0,0,0,0,0,0,0,0,0,6,3,0,3,0,0,0,0,0,0,0,0,3,36,29,52,9,135,0,0,0,0,6,0,11,0,0,0,0,0,0,0,0,0,5,6,43,0,52,0,0,0,0,3,0,3,0,0,0,0,23,0,25,0,0,0,0,7,0,4,0,0,4,4,13,0,19,0,0,0,3,12,0,15,0,0,0,0,13,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,9,0,0,0,0,10,0,8,0,0,0,4,6,0,14,0
UCL214006,36,16,93,0,0,0,3,3,0,9,0,0,0,0,0,0,6,0,0,3,5,5,0,22,0,6,0,5,17,0,29,3,4,16,10,12,0,47,0,0,9,4,15,0,26,5,7,13,3,8,0,32,9,22,45,12,17,4,113,15,13,76,56,60,8,229,9,0,11,24,22,0,60,4,0,0,4,11,0,29,0,0,3,15,0,7,25,61,63,224,198,260,46,857,0,0,5,10,9,0,24,0,0,0,0,6,0,12,0,0,10,13,35,0,58,6,0,3,4,15,0,29,3,0,4,14,145,8,180,0,0,0,10,14,0,30,3,0,29,24,69,7,132,3,5,33,59,70,17,191,0,0,4,6,29,0,42,0,0,7,9,4,0,16,4,3,11,14,4,0,36,0,6,9,9,20,0,46,14,14,38,21,19,0,102,0,0,10,12,29,0,54,10,5,21,22,18,5,86,20
UCL214007,8,0,27,0,0,10,13,25,4,54,5,3,3,6,0,0,12,6,5,17,14,7,0,45,0,0,6,7,6,0,18,4,0,26,10,12,0,61,3,0,8,9,6,0,27,7,3,33,19,21,0,85,25,16,80,17,19,4,165,18,30,70,51,68,3,241,3,0,5,3,3,0,19,0,0,10,13,14,0,37,3,0,4,0,7,8,23,89,63,334,216,245,27,980,0,0,6,0,0,0,4,0,0,3,0,0,0,7,10,0,33,21,56,3,128,0,0,4,3,8,0,20,3,4,17,23,165,12,224,4,0,14,11,11,0,35,5,3,29,38,51,0,133,0,0,16,17,21,3,56,11,3,29,35,83,14,178,5,4,10,3,8,0,27,14,5,34,19,15,4,93,0,0,6,7,7,0,28,26,9,62,19,19,3,139,3,0,9,16,20,0,48,14,6,59,53,47,3,177,37
UCL214008,50,5,65,0,0,0,0,8,0,16,0,6,3,0,9,0,18,0,0,7,4,4,0,23,0,0,3,0,12,0,18,4,0,22,7,22,0,62,0,3,5,4,13,0,32,9,10,31,30,39,0,114,34,27,90,20,47,0,216,30,47,180,137,154,13,564,0,0,3,4,0,0,7,6,0,0,16,26,0,49,4,0,4,7,6,3,26,89,96,386,278,503,37,1393,7,0,30,22,112,3,171,0,0,0,0,15,0,13,5,0,10,8,75,0,99,0,0,0,0,21,0,22,0,5,18,11,251,5,284,0,0,7,9,41,4,64,4,3,20,22,108,9,162,0,0,17,15,90,4,124,0,3,3,8,45,0,61,0,6,4,3,19,3,32,0,3,18,9,10,0,42,0,0,9,0,15,0,28,14,10,48,21,34,0,116,0,3,5,9,31,0,55,23,17,46,48,91,7,227,59
UCL214009,45,3,90,0,0,0,6,10,0,20,0,0,0,5,0,0,8,0,0,8,8,5,0,23,0,4,0,4,7,3,14,18,4,36,15,26,0,97,0,4,16,9,16,0,39,8,0,27,26,8,0,76,33,37,101,43,22,6,235,23,25,82,89,115,13,347,7,14,17,3,11,0,50,3,0,8,13,45,0,67,0,0,4,6,12,6,34,106,89,410,309,429,54,1397,0,7,16,16,15,3,56,0,0,0,0,0,0,10,10,6,60,39,119,6,245,3,0,8,10,30,0,53,3,0,32,29,315,6,392,0,0,13,12,28,0,55,0,4,34,35,71,4,156,6,0,31,35,90,8,165,4,0,11,15,46,9,78,0,0,7,4,9,0,19,0,0,23,6,11,0,39,0,4,0,6,15,3,31,24,8,62,31,35,4,168,0,4,10,20,42,0,82,16,4,42,40,37,4,147,46
UCL214010,18,4,26,0,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,7,4,6,0,29,0,0,3,0,8,0,12,0,5,28,12,10,0,66,0,0,8,5,10,0,20,7,10,19,18,7,0,60,31,35,93,23,20,4,203,38,37,109,44,54,10,291,3,0,13,5,4,0,20,0,0,3,13,18,0,38,0,3,4,4,3,10,20,98,92,327,160,196,41,918,3,0,3,12,14,6,38,0,0,0,0,13,0,7,0,0,18,11,36,0,69,3,3,14,11,29,3,58,3,3,14,20,145,0,192,0,0,9,4,8,0,22,5,3,24,13,46,6,104,0,0,6,16,42,3,72,0,0,4,3,10,0,17,0,5,3,0,3,0,13,3,3,16,20,10,3,49,4,0,6,7,15,0,34,14,15,63,21,20,0,135,0,0,6,5,18,0,39,8,19,31,30,18,3,109,53
UCL214011,15,0,42,0,4,0,6,20,0,41,0,0,4,9,4,0,15,3,0,11,8,7,0,30,0,0,4,5,10,0,16,8,6,25,10,18,3,68,0,0,4,10,14,4,33,8,8,38,37,26,6,120,43,38,95,42,46,0,276,23,34,94,89,108,10,352,5,0,0,11,11,0,17,0,0,0,11,33,0,44,5,0,3,7,11,9,34,94,86,344,296,440,45,1309,0,0,6,9,8,6,24,0,0,4,6,12,0,15,6,4,37,34,108,6,202,0,0,3,3,23,0,31,0,0,17,38,372,4,434,0,3,11,9,38,0,53,6,0,33,29,86,4,155,0,0,10,18,32,3,69,5,4,9,20,72,10,118,0,0,9,9,12,0,33,8,0,18,14,15,0,53,0,0,8,11,19,0,30,12,7,45,19,35,3,125,3,0,12,14,33,4,64,15,12,51,78,66,10,231,55
UCL214012,17,5,27,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,4,5,0,5,14,0,0,4,0,7,0,17,3,0,22,9,19,0,44,0,0,4,6,5,0,12,0,0,10,13,8,0,34,11,27,61,16,18,0,142,12,14,74,67,116,13,291,0,0,3,0,5,0,9,0,3,5,14,19,0,41,0,0,0,0,4,11,19,37,49,206,165,289,41,783,0,0,10,14,50,7,88,0,0,0,0,0,0,0,0,4,21,25,143,10,203,3,3,4,7,17,0,32,0,0,8,5,112,3,126,0,0,0,3,12,0,15,0,4,12,20,58,11,99,0,0,0,8,23,4,44,0,0,0,11,17,3,33,0,0,0,0,0,0,0,0,0,4,10,0,4,20,0,0,3,0,17,0,26,5,0,32,13,21,6,78,3,0,5,10,9,3,29,3,0,13,18,26,0,66,17
UCL214013,18,0,43,0,0,0,0,0,0,12,0,3,10,3,0,0,19,0,0,9,4,0,0,21,0,0,0,4,8,0,22,10,11,25,14,8,0,67,0,0,9,9,13,4,35,18,3,26,19,12,0,76,29,30,46,12,22,0,143,35,16,69,28,46,5,202,3,3,6,5,6,0,22,0,0,6,8,15,0,35,0,0,3,0,4,3,8,105,97,267,137,201,21,833,0,4,6,6,10,0,21,0,0,0,0,0,0,0,7,0,47,23,51,23,153,4,0,0,0,5,0,19,0,7,13,15,85,0,118,0,0,9,7,12,0,35,4,8,29,26,49,4,120,0,3,11,12,34,3,71,0,0,9,5,18,4,31,5,4,16,12,4,0,43,4,3,19,6,3,3,39,0,0,7,6,13,0,28,25,11,72,24,19,4,152,3,0,13,8,19,3,49,25,12,45,32,39,0,152,51
UCL214014,50,10,84,0,0,3,0,7,0,11,0,0,0,0,0,0,0,0,0,3,6,3,0,9,0,0,0,6,5,0,8,0,0,3,0,8,0,16,0,0,0,4,11,0,11,3,0,4,12,13,5,37,8,22,35,26,27,0,120,16,8,51,63,82,7,231,0,0,3,0,4,0,3,0,0,5,0,13,0,27,0,0,0,0,3,3,14,38,44,141,137,259,40,653,0,0,3,11,32,11,56,0,0,0,0,8,0,8,0,0,4,0,44,5,52,0,0,0,0,12,0,11,0,0,6,6,102,10,124,0,0,0,0,13,0,12,4,0,11,12,54,6,89,7,0,18,23,91,14,148,0,4,0,6,32,5,44,0,0,3,0,0,0,9,0,0,3,6,7,0,13,0,0,0,3,11,0,16,0,0,16,9,13,0,34,0,0,3,12,20,0,29,10,6,14,30,32,9,93,13
UCL214015,16,0,31,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,11,3,17,0,0,0,0,4,0,11,0,4,11,11,9,0,32,0,0,3,7,8,0,22,0,8,15,8,12,0,45,13,15,62,26,16,3,138,18,27,79,52,73,6,256,0,0,0,0,0,0,9,0,0,3,10,23,0,39,0,0,3,6,9,0,12,40,61,218,157,247,27,751,0,4,15,11,35,3,63,0,0,0,0,0,0,0,0,0,8,13,75,6,97,0,0,7,3,25,0,28,4,0,11,7,158,3,183,0,0,6,14,19,3,38,0,5,8,15,58,6,92,0,0,4,13,25,3,46,0,0,8,8,22,0,28,0,0,0,0,7,0,12,0,0,7,6,11,3,29,0,0,0,0,7,0,16,3,4,28,15,16,0,60,0,0,6,8,24,0,39,4,9,29,18,35,0,88,15
UCL214016,32,3,54,0,0,3,3,5,4,10,0,0,7,0,0,0,7,0,0,0,5,4,0,7,0,0,0,3,0,0,3,3,3,10,4,17,0,27,0,0,0,4,6,0,10,4,0,9,7,25,4,57,7,15,56,17,23,0,120,13,16,79,66,119,10,315,0,0,5,0,0,0,7,0,0,0,8,23,3,42,0,0,4,5,12,11,19,34,42,202,152,359,38,830,0,0,11,11,33,3,50,0,0,0,0,14,0,13,6,0,12,16,148,18,198,0,0,6,0,15,0,15,0,0,4,7,90,0,103,0,0,0,0,11,0,16,0,4,28,17,76,3,119,0,0,8,14,48,5,77,0,0,4,6,40,9,57,0,0,4,0,5,0,14,0,0,3,4,7,0,14,0,0,0,6,4,0,10,4,3,13,8,19,0,44,0,0,0,9,16,0,25,3,4,18,25,55,4,111,11
UCL214017,10,0,41,0,0,0,0,5,0,10,0,0,12,0,0,0,12,9,3,11,0,0,4,23,0,0,5,5,5,0,16,9,5,43,11,9,3,74,0,0,8,4,0,0,16,14,9,25,14,15,0,71,30,23,79,11,12,3,162,22,23,99,44,30,7,232,0,0,10,3,5,0,21,5,0,6,0,7,0,21,0,0,6,4,9,4,22,104,73,368,135,119,28,824,0,0,9,5,7,0,27,0,0,0,0,0,0,3,7,0,18,4,23,0,43,5,0,4,7,4,0,13,0,11,25,22,112,3,165,7,0,9,5,8,0,23,5,4,29,15,13,3,73,5,0,29,21,19,4,80,0,4,12,11,14,3,44,6,0,15,3,3,0,23,12,6,15,5,3,4,52,0,0,16,16,13,3,43,34,13,89,25,10,0,182,5,0,15,9,14,0,49,23,12,55,25,13,0,127,50
UCL214018,34,8,66,0,0,3,10,8,0,21,0,0,0,0,3,0,7,5,3,14,10,6,4,32,0,0,5,6,10,0,20,20,4,38,12,13,0,93,0,0,5,4,11,0,28,17,7,29,21,20,0,95,39,16,68,24,28,0,181,41,24,96,88,97,11,357,5,0,8,6,3,4,26,0,5,12,13,24,0,54,4,0,0,11,6,3,29,127,70,329,270,333,41,1172,0,0,3,4,17,0,32,0,0,0,0,4,0,8,8,3,13,20,61,0,101,0,0,9,11,8,0,27,5,0,14,33,212,10,273,0,0,3,17,27,4,59,3,6,24,32,65,0,131,5,0,17,18,61,10,112,6,0,11,29,45,6,92,5,3,6,0,6,0,25,8,7,29,21,15,4,82,5,0,5,10,17,0,44,38,9,82,31,30,6,190,4,0,10,11,22,0,52,20,16,47,34,49,6,172,53
UCL214019,28,4,54,0,0,4,11,10,0,25,0,0,0,3,0,0,5,0,0,5,0,5,0,12,0,0,0,3,0,0,9,0,0,13,0,8,0,22,0,0,0,7,11,0,19,6,4,13,22,24,0,65,9,14,40,13,14,0,89,11,20,49,54,80,8,228,0,0,3,3,0,0,10,0,6,4,5,10,0,27,0,0,0,0,0,5,12,33,49,159,171,283,34,725,0,0,4,10,28,6,50,0,0,0,0,6,0,6,0,0,13,12,55,0,75,0,0,0,0,17,0,25,3,0,7,12,119,5,152,0,0,5,5,11,5,29,3,0,17,23,69,9,122,6,0,13,24,39,7,81,0,0,10,15,46,0,71,0,0,0,5,5,0,12,0,0,9,5,6,0,18,0,0,0,5,6,0,11,5,0,22,6,13,0,47,0,0,0,7,16,0,28,6,7,23,46,82,3,166,14
UCL214020,19,0,40,0,0,0,5,7,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,0,0,4,0,9,3,4,9,0,5,0,20,0,0,0,4,4,0,13,0,8,12,16,30,6,64,6,9,43,15,18,5,90,14,18,64,64,113,8,284,0,0,0,3,5,0,13,0,0,0,4,3,0,11,0,0,5,5,3,4,13,34,43,169,146,262,24,679,0,0,10,5,19,4,38,0,0,14,10,32,4,59,3,0,34,13,92,13,159,0,0,0,0,8,0,16,0,0,5,3,74,5,81,0,0,0,6,13,4,21,0,0,7,12,38,0,65,8,0,11,19,32,4,71,5,0,4,5,24,0,35,0,0,4,0,0,4,8,0,0,4,4,0,0,15,0,0,0,0,10,0,14,4,3,10,9,7,0,32,0,0,0,4,19,0,30,4,4,22,32,76,3,141,15
UCL214021,19,0,25,0,0,0,4,8,0,15,0,0,0,0,0,0,6,0,0,3,3,9,4,11,0,0,0,3,11,0,14,10,0,10,12,7,0,32,0,0,0,4,14,0,17,0,3,14,14,16,0,53,19,23,60,23,32,4,161,15,18,81,72,73,8,264,0,0,3,3,5,0,7,0,0,0,13,23,0,37,0,0,3,4,10,10,27,49,53,202,194,301,32,829,0,0,0,5,3,0,14,4,0,0,0,6,0,8,5,0,9,18,72,5,103,0,0,5,3,8,0,16,0,0,10,30,284,3,335,0,0,8,5,35,0,46,0,0,15,14,57,0,92,5,3,3,7,24,0,37,0,0,6,11,39,0,61,0,0,5,5,0,0,8,0,0,3,8,10,4,28,0,0,0,5,19,0,29,10,0,19,18,13,0,62,0,0,3,3,28,0,40,6,5,24,35,41,0,115,29
UCL214022,37,3,61,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,10,9,0,23,0,0,0,4,4,0,14,0,5,15,9,11,0,42,0,0,0,8,15,0,20,6,0,7,9,14,0,42,10,21,43,19,32,0,126,21,13,104,77,151,17,377,0,0,7,4,9,0,24,0,6,9,4,28,0,50,0,0,0,0,7,6,13,43,50,231,185,417,36,962,0,0,0,0,24,0,39,0,0,0,0,0,0,0,4,6,13,0,43,6,64,0,0,4,12,22,0,41,3,0,10,18,212,9,255,0,0,3,0,19,4,23,0,3,32,24,106,9,173,0,0,13,13,62,10,101,0,0,0,5,32,3,42,0,0,3,0,4,0,11,0,0,0,16,9,4,35,0,0,5,9,16,0,26,6,4,28,17,19,4,78,0,0,3,16,27,0,52,8,8,18,16,42,0,95,14
UCL215001,4,0,24,0,0,0,0,0,0,5,3,0,0,0,0,0,5,0,0,8,0,0,0,10,0,0,0,4,5,0,10,9,3,8,5,3,0,24,0,0,0,0,0,0,6,6,9,11,0,3,0,24,11,12,18,3,0,0,46,10,6,26,11,0,0,53,0,0,4,0,0,0,7,4,0,0,0,0,0,9,4,0,4,0,0,0,9,46,35,109,38,22,6,259,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,19,0,0,0,0,0,0,4,0,0,9,8,41,3,58,0,0,3,0,3,0,3,0,3,15,9,4,0,31,0,0,19,9,7,0,39,0,0,6,0,5,0,9,6,0,5,0,0,0,11,4,0,15,0,0,0,18,0,0,3,7,9,0,13,17,9,32,8,9,0,71,0,0,4,3,3,0,13,15,4,18,3,0,0,47,17
UCL215002,6,0,19,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,5,5,3,12,8,4,0,31,4,11,23,4,11,0,56,4,5,31,21,38,5,107,0,0,0,0,0,0,4,0,0,0,7,6,0,10,0,0,0,5,3,3,9,22,26,85,78,103,17,321,5,0,9,7,21,0,34,0,0,0,0,0,0,0,0,0,0,9,18,4,30,0,0,0,4,8,0,4,0,0,3,8,69,5,77,0,0,0,0,0,0,4,4,0,11,0,37,5,58,5,0,4,19,10,4,34,0,0,0,0,10,4,17,0,0,0,0,0,0,3,0,0,0,3,3,0,3,0,0,0,0,0,0,0,3,0,7,9,4,0,22,0,0,0,0,12,0,16,5,11,20,16,14,0,65,12
UCL215003,14,0,35,0,3,0,0,0,0,6,0,0,0,6,0,0,5,0,3,11,4,0,0,22,0,0,0,0,3,0,4,4,3,38,5,4,0,59,0,0,7,3,7,0,19,15,10,24,7,5,0,53,36,17,35,7,5,0,98,27,13,57,26,16,0,136,4,0,3,3,0,0,13,0,0,11,3,3,0,17,0,0,4,4,0,0,10,95,55,239,86,77,8,566,0,0,4,0,4,0,14,0,0,0,0,0,0,0,0,0,19,8,8,0,33,4,0,5,0,3,0,13,0,0,17,16,74,3,117,0,0,9,0,5,0,19,0,6,22,12,22,5,64,4,3,24,18,31,5,80,0,3,7,5,4,0,19,0,0,4,5,0,0,20,5,0,25,3,6,0,43,0,0,3,0,3,0,13,22,12,75,17,4,3,127,4,0,17,3,12,0,40,22,11,43,10,15,0,100,61
UCL215004,18,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,4,0,3,0,3,0,11,5,0,6,0,4,0,9,0,0,7,3,0,0,12,4,4,9,6,0,0,22,8,3,10,11,9,0,40,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,3,0,9,32,17,58,39,59,10,216,0,0,0,0,8,0,9,0,0,0,0,0,0,0,0,0,6,3,6,0,14,0,0,0,0,4,0,3,0,0,4,6,43,0,54,0,0,0,0,0,0,0,4,0,6,9,18,5,34,8,6,25,20,40,0,97,0,0,3,3,5,0,12,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,7,0,9,9,0,8,0,3,0,16,5,0,4,3,4,0,17,0,0,7,7,4,0,25,6
UCL215005,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,5,6,0,5,0,12,0,0,13,12,16,0,41,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,5,8,8,27,27,42,4,116,0,0,0,0,15,0,20,0,0,0,0,0,0,4,0,0,5,7,16,0,27,0,0,0,0,0,0,0,0,0,0,0,19,0,21,0,0,0,0,0,0,0,0,0,0,5,8,0,17,0,0,3,0,11,0,13,0,0,3,0,10,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,7,0,11,0
UCL215006,12,0,14,0,0,3,0,0,0,5,0,0,4,0,0,0,5,0,0,0,3,4,0,13,0,0,0,0,5,0,5,0,4,7,3,3,0,18,0,0,4,6,0,0,5,0,6,13,16,15,0,51,11,22,22,6,13,0,79,11,7,32,24,33,3,109,0,0,4,0,0,0,13,0,0,0,6,4,0,10,0,0,5,0,3,0,6,36,43,108,82,128,14,410,0,0,0,0,5,0,10,0,0,0,0,4,0,7,7,0,8,8,27,0,48,0,0,3,0,8,0,11,0,0,14,11,84,9,115,0,0,6,5,13,0,21,0,0,10,5,25,3,44,0,0,0,7,18,3,31,0,0,8,4,22,0,38,0,0,6,4,0,0,11,5,0,3,5,9,0,18,0,0,0,5,9,0,10,0,8,17,11,10,3,35,0,0,5,6,8,0,10,4,8,18,30,43,0,106,20
UCL215007,8,0,17,0,0,0,0,3,0,7,5,0,8,0,0,0,9,0,0,0,3,0,0,4,0,0,0,0,0,0,7,3,0,21,3,7,0,35,0,0,5,4,4,0,10,7,0,9,3,9,0,32,15,16,48,9,6,0,94,11,10,39,29,14,4,97,0,0,6,4,4,0,16,0,0,0,0,4,0,4,0,0,3,3,3,0,14,41,42,185,80,67,12,423,0,4,5,10,7,0,26,0,0,0,0,5,0,9,9,0,26,6,19,0,61,0,0,0,0,0,0,6,0,4,20,12,84,4,134,0,0,3,4,7,0,16,3,0,26,9,10,5,55,3,0,9,4,11,0,31,0,0,4,5,5,0,11,4,0,8,0,0,0,15,0,0,7,4,3,0,13,0,0,0,0,3,0,7,7,8,36,14,8,0,73,0,0,5,11,14,0,30,3,5,26,16,8,0,65,21
UCL215008,8,0,16,0,0,0,3,3,0,8,0,0,0,0,0,0,4,0,0,4,3,11,0,13,0,0,0,0,5,0,5,5,0,5,5,9,0,18,0,0,5,0,5,0,7,3,3,18,5,18,0,49,10,13,25,11,9,0,62,8,17,39,33,35,0,138,0,0,4,0,0,0,0,0,0,0,7,5,0,12,0,0,3,5,5,0,6,25,37,105,83,128,7,382,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,12,9,44,8,66,0,0,0,5,3,0,4,0,0,9,11,76,0,93,0,0,0,0,12,0,15,0,0,5,8,28,3,43,0,0,0,6,10,0,15,0,0,0,3,22,0,25,0,0,0,0,3,0,9,0,0,4,8,12,0,19,0,0,0,0,5,0,9,4,4,6,7,8,0,30,0,0,4,0,7,0,10,5,12,24,24,38,0,106,17
UCL215009,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,16,0,0,6,0,0,0,12,3,0,9,8,7,0,33,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,5,24,24,41,5,95,0,0,3,0,8,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,3,0,3,0,0,0,0,19,0,17,0,0,0,0,3,0,8,0,0,0,5,10,0,10,0,0,0,0,12,3,14,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,3,4,11,0,20,0
