UCL_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
UCL215037,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,15,0,16,0,16,..,36,5,40,0,42,..,0,0,0,85,90,1222,39,5,47,88,1357
UCL215038,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,12,0,11,..,42,10,54,0,51,..,4,0,4,190,196,1593,47,10,53,190,1844
UCL215039,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,6,0,6,0,6,..,38,0,37,0,37,..,4,0,4,135,139,1349,40,0,37,135,1529
UCL215040,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,5,0,5,..,10,0,12,0,15,..,26,4,27,0,33,..,3,0,3,146,149,1142,28,4,33,151,1328
UCL215041,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,16,0,16,3,15,..,80,9,88,3,93,..,11,0,8,245,255,3345,88,9,100,250,3696
UCL215042,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,22,0,22,0,22,..,35,0,37,6,40,..,0,0,0,76,75,1132,36,0,36,78,1247
UCL215043,0,5,0,5,..,7,0,9,0,6,..,7,0,7,0,7,..,0,0,0,0,0,..,21,6,29,0,26,..,128,21,155,8,161,..,15,4,20,110,119,3055,138,32,167,106,3336
UCL215044,0,0,0,0,..,4,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,4,0,4,..,34,6,39,0,44,..,5,0,5,78,82,1583,38,6,45,78,1705
UCL215045,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,4,6,0,6,..,26,4,26,3,27,..,160,25,188,3,188,..,6,0,6,214,215,3457,169,25,193,217,3869
UCL215046,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,9,0,9,..,55,5,54,0,57,..,3,0,3,84,90,1545,52,5,62,84,1691
