UCL_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
UCL215002,15,37,11,16,0,92,0,6,31,34,47,5,125,0,0,5,7,0,0,17,3,0,3,6,15,0,24,0,0,0,5,16,3,26,32,43,129,114,298,28,648
UCL215003,23,54,10,10,0,164,44,14,79,27,22,0,190,3,0,8,3,6,0,28,4,0,12,0,15,0,35,0,7,19,10,6,0,42,184,90,436,165,250,23,1146
UCL215004,12,20,6,0,0,40,13,3,13,11,14,0,57,0,0,3,0,10,0,13,0,0,0,7,7,0,10,0,0,0,6,3,0,13,45,29,94,75,174,17,430
UCL215005,5,8,0,5,0,21,0,5,9,15,17,0,51,0,0,0,0,0,0,3,0,0,0,0,8,0,15,0,0,0,4,3,5,12,16,10,44,40,118,15,237
UCL215006,28,33,9,18,0,102,11,8,41,29,36,8,134,0,0,6,0,6,0,10,0,0,5,9,11,0,27,4,0,7,4,10,4,24,56,56,183,124,368,27,818
UCL215007,21,65,11,9,4,134,12,10,49,35,19,5,121,4,0,11,4,7,0,21,0,0,0,0,9,0,18,0,0,5,4,9,0,28,77,63,309,146,242,24,867
UCL215008,17,32,10,8,0,87,9,22,50,37,37,0,166,0,0,4,0,0,0,0,0,0,5,7,15,0,33,0,0,3,3,12,0,24,40,53,160,142,360,17,766
UCL215009,0,4,0,3,0,20,3,0,9,8,12,6,35,0,0,0,0,0,0,0,0,0,0,3,4,0,11,0,0,0,0,6,0,11,3,7,30,27,113,7,184
UCL215010,11,51,14,18,0,127,9,6,45,21,20,5,109,0,0,7,3,9,0,13,0,0,0,5,25,8,40,0,0,3,12,11,4,26,69,30,213,157,365,33,859
UCL215011,7,6,6,4,0,25,4,7,7,14,21,0,61,0,0,0,0,3,0,3,0,0,0,0,9,0,9,0,0,0,0,5,3,6,13,13,31,56,122,12,254
UCL215012,44,60,12,14,0,157,42,25,76,51,62,8,258,8,7,8,3,0,0,24,6,0,5,0,21,0,27,0,0,9,0,6,6,25,128,116,353,164,344,35,1139
UCL215013,17,53,23,23,0,133,39,21,95,52,44,7,253,0,0,3,4,8,0,16,0,4,4,8,32,0,56,7,3,10,9,17,8,48,123,64,326,313,590,41,1454
UCL215014,10,13,3,9,0,35,0,8,15,14,20,0,66,0,0,0,0,0,0,4,0,0,0,6,16,0,25,0,0,4,0,10,8,20,14,22,48,51,242,22,391
UCL215015,17,43,8,0,0,84,12,12,42,21,14,0,96,3,0,9,7,4,0,17,0,0,5,0,18,0,26,4,0,3,5,10,0,24,62,50,270,154,284,21,856
UCL215016,12,39,25,22,0,109,7,11,43,52,65,7,186,0,0,4,9,6,0,13,0,0,3,11,43,0,53,0,0,7,7,36,3,52,43,41,183,206,648,41,1163
UCL215017,13,36,10,19,0,99,7,7,43,25,40,3,120,0,0,7,0,13,0,15,0,0,3,8,37,0,42,0,3,3,7,27,3,41,30,33,154,143,456,31,850
UCL215018,4,51,7,14,0,95,12,10,37,22,65,12,161,0,0,0,0,3,0,9,3,0,0,0,17,0,21,0,0,5,0,13,4,22,50,22,159,90,381,39,742
UCL215019,22,51,13,6,3,122,14,5,37,27,21,0,104,3,7,6,4,9,0,38,0,0,8,3,13,0,25,0,0,4,4,4,5,18,58,44,222,126,291,31,766
UCL215020,0,18,0,8,0,34,8,0,27,19,28,0,82,0,0,0,0,0,0,0,0,0,0,4,8,0,10,0,0,0,0,3,3,5,14,10,56,37,144,9,273
UCL215021,5,5,9,9,0,38,3,10,23,16,31,4,89,0,0,0,0,6,0,8,0,0,0,0,7,0,9,0,0,0,5,9,0,19,16,17,53,64,180,8,344
UCL215022,18,58,16,24,3,136,15,18,52,57,88,4,243,0,0,0,0,7,0,8,0,0,0,3,33,0,46,0,0,8,4,28,0,38,59,52,202,192,572,31,1102
UCL215023,6,10,9,14,0,38,7,0,13,6,30,6,61,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,5,0,12,8,8,43,43,226,14,347
UCL215024,0,25,8,5,0,39,5,4,15,16,23,4,65,0,0,0,0,6,0,4,0,0,0,0,14,0,14,0,0,0,5,12,3,22,18,17,71,57,192,25,378
UCL215025,5,8,3,3,0,17,4,9,9,15,16,4,49,0,0,0,0,0,0,3,0,0,0,0,12,0,14,0,0,0,7,8,4,18,12,15,40,50,149,19,286
UCL215026,3,8,3,4,0,30,8,10,9,11,16,3,47,0,0,0,0,5,0,7,0,0,0,4,9,0,18,0,0,0,0,10,0,10,17,12,38,46,140,12,267
UCL215027,9,14,4,9,0,36,5,8,31,19,24,3,81,0,0,0,4,0,0,0,0,0,0,0,22,0,25,0,0,0,0,4,0,5,13,23,55,52,139,10,295
UCL215028,16,21,8,15,0,73,13,12,43,42,38,6,153,0,0,3,5,6,0,25,3,4,0,11,37,0,49,0,0,0,0,18,0,22,47,41,146,143,329,12,719
UCL215029,17,36,12,6,0,108,33,21,68,48,37,4,207,0,0,10,5,9,0,33,4,0,7,4,17,0,40,0,0,13,8,18,10,47,149,75,392,230,309,37,1192
UCL215030,5,20,8,6,0,40,5,0,13,28,15,3,56,0,0,0,3,0,0,0,0,0,0,0,6,0,8,0,0,0,0,5,0,7,17,8,48,67,142,10,290
UCL215031,4,20,3,4,0,39,5,0,21,10,19,8,63,0,0,0,3,0,0,6,0,0,0,3,9,0,13,0,0,4,0,4,3,8,14,9,58,47,156,31,315
UCL215032,12,36,9,15,0,83,8,16,26,40,37,7,130,0,0,3,5,18,4,24,4,0,5,3,26,0,35,0,0,5,3,12,5,23,48,40,145,137,332,46,746
UCL215033,22,73,20,24,0,168,8,14,26,28,27,9,113,0,0,0,3,0,0,3,0,0,7,7,23,0,37,0,0,6,6,22,3,37,74,58,248,204,438,19,1047
UCL215034,0,8,3,0,0,23,4,7,20,11,20,0,65,0,0,3,0,0,0,12,0,0,0,0,10,0,17,0,0,0,0,3,0,6,19,8,59,38,128,7,263
UCL215035,7,31,3,9,6,60,5,12,16,19,21,0,72,0,0,3,3,6,0,10,0,0,4,0,34,0,35,0,0,3,0,14,4,21,23,28,100,77,285,11,524
UCL215036,8,31,5,0,0,58,4,4,23,17,18,0,68,0,0,0,0,3,0,12,0,0,0,0,21,0,23,0,0,0,7,12,0,20,22,12,106,60,186,10,394
UCL215037,0,4,0,9,0,25,3,8,14,20,24,0,61,0,0,5,0,5,0,12,0,0,3,0,15,0,19,0,0,3,0,8,4,20,8,15,49,70,209,17,368
UCL215038,6,12,4,0,0,29,0,5,7,14,22,4,56,0,0,0,0,3,0,4,4,0,0,0,21,0,31,0,0,4,5,4,8,19,27,13,57,52,198,20,363
UCL215039,0,12,0,3,0,20,0,0,12,15,30,3,61,0,0,0,0,0,0,3,0,0,0,0,17,5,19,0,0,0,0,8,0,10,6,3,42,41,170,15,282
UCL215040,7,3,3,5,0,18,0,5,6,8,36,0,59,0,0,0,0,0,0,3,0,0,0,0,9,0,11,0,0,0,0,4,0,9,3,12,19,24,182,11,255
