UCL_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
UCL214010,0,5,0,0,0,0,5,0,6,0,0,0,0,7,0,17,0,3,0,0,24,0,3,3,9,4,0,21,0,0,4,14,0,0,25,22,4,0,8,0,0,32,80,0,3,22,0,0,101,116,0,0,27,5,0,145,53,0,0,12,0,0,66,11,0,0,7,0,0,10,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,16,289,37,16,107,3,0,461
UCL214011,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,22,0,5,6,0,30,3,4,0,7,0,0,13,3,0,0,7,3,0,17,33,5,0,27,9,0,66,174,4,0,31,3,0,211,207,0,0,34,0,0,243,25,0,0,5,0,0,29,3,0,0,0,0,0,5,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,7,7,0,21,458,36,0,124,25,5,648
UCL214012,0,3,0,3,0,0,10,0,6,7,0,0,0,11,18,27,3,7,5,0,66,58,24,13,33,7,0,134,57,7,5,35,4,0,108,113,0,0,16,4,0,138,78,0,3,18,0,0,104,33,0,0,10,0,0,44,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,14,3,0,28,366,82,29,141,24,7,646
UCL214013,0,3,0,0,0,0,12,0,3,0,0,0,0,5,0,24,6,5,0,0,38,4,10,3,9,0,0,23,0,3,4,13,0,0,23,23,6,5,16,0,0,50,42,11,0,23,0,0,74,153,4,0,26,0,0,181,75,0,0,14,0,0,92,19,0,0,0,0,0,19,6,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,5,4,0,0,20,338,67,25,107,9,0,544
UCL214014,0,6,0,3,0,0,12,0,4,0,8,0,0,12,0,50,3,11,9,0,67,24,25,4,19,10,0,79,27,10,0,18,3,0,60,104,15,4,35,4,0,156,134,3,0,40,13,0,176,71,0,0,10,0,0,88,3,6,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,3,3,5,0,31,373,124,13,139,38,6,698
UCL214015,0,4,0,0,0,0,4,0,4,0,0,0,0,10,6,16,5,10,0,0,30,13,10,16,16,3,4,53,8,3,0,16,0,0,36,84,7,7,28,5,0,128,115,3,0,28,9,3,162,64,0,0,7,3,4,81,7,0,0,5,0,0,12,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,0,3,0,0,15,310,46,34,107,29,7,541
UCL214016,0,5,6,5,0,0,14,0,7,7,3,0,0,25,17,51,8,14,0,0,93,53,29,10,36,0,6,131,69,10,0,46,0,0,132,208,14,4,73,4,3,308,155,3,0,37,7,0,191,21,0,0,10,0,0,30,0,0,0,4,0,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,14,3,15,4,5,39,521,138,42,250,24,15,979
UCL214017,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,8,4,3,0,12,0,0,17,0,0,0,3,0,0,10,3,0,0,6,0,0,11,32,0,0,16,0,0,47,73,0,0,21,0,0,91,63,0,0,8,0,0,74,10,0,0,0,0,0,15,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,3,0,0,7,6,0,15,199,9,0,83,10,0,304
UCL214018,0,0,3,0,0,0,5,7,0,3,0,0,0,11,5,0,0,8,0,0,16,14,0,0,8,5,0,22,16,0,0,10,0,0,22,57,0,0,33,0,0,93,226,0,0,44,0,3,272,297,0,0,30,0,0,334,44,0,0,0,0,0,46,4,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,12,3,0,23,671,0,10,149,10,4,846
UCL214019,0,13,0,0,0,0,17,0,14,0,0,0,0,18,9,77,4,16,4,7,109,34,25,7,23,6,0,96,46,16,0,35,0,0,97,106,28,0,29,8,0,177,129,7,0,33,3,0,182,84,0,0,7,0,0,93,7,0,0,0,0,0,11,3,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,14,3,11,0,0,37,431,198,21,155,28,6,841
UCL214020,0,3,0,0,0,0,4,0,4,0,0,0,0,7,21,34,6,16,0,0,76,87,20,16,23,12,0,155,48,6,0,22,5,0,83,91,10,0,25,3,0,128,63,0,4,20,4,0,89,25,0,0,9,0,0,30,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,11,0,10,0,3,29,344,84,27,123,35,5,615
UCL214021,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,19,0,0,0,0,15,4,3,0,6,0,0,15,5,4,0,7,0,0,12,13,5,0,13,0,0,26,83,3,0,12,3,0,103,115,0,0,10,0,0,128,32,0,0,4,0,0,34,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,5,0,0,18,263,34,5,61,4,3,367
UCL214022,0,3,0,0,0,0,8,0,10,0,4,0,0,11,0,67,9,6,4,0,85,17,26,12,27,3,0,85,21,18,10,18,0,0,67,109,9,3,61,0,0,187,249,13,8,60,0,0,332,98,3,0,24,5,0,129,16,0,0,0,0,0,18,3,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,3,7,0,0,33,529,157,44,205,19,3,966
UCL215001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,4,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,4,3,0,0,4,0,0,5,14,0,0,10,0,0,20,3,0,0,3,0,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,26,4,0,25,0,0,56
UCL215002,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13,0,0,0,0,17,12,3,0,9,3,0,34,16,0,0,18,0,0,43,38,0,0,12,3,0,52,43,0,0,7,0,0,58,29,0,0,5,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,3,0,0,0,6,142,25,10,64,8,0,250
UCL215003,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,4,0,0,13,0,0,3,0,0,0,9,0,0,0,7,0,0,11,0,0,0,3,0,0,12,15,0,0,13,0,0,28,32,0,0,18,0,0,51,39,0,0,9,0,0,52,28,0,0,3,0,0,29,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,126,12,9,63,12,6,219
UCL215004,0,0,0,0,3,0,3,0,0,0,0,0,0,5,7,4,9,4,3,0,26,0,0,0,4,0,0,3,3,0,0,3,0,0,10,11,0,0,12,3,0,30,30,0,0,14,0,0,42,41,0,0,5,5,0,51,7,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,0,0,4,0,7,108,0,10,46,19,0,188
UCL215005,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,4,0,4,0,0,13,3,0,0,8,0,0,12,6,0,0,6,0,0,16,15,0,0,5,0,0,23,7,0,0,7,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,32,6,0,35,3,5,84
UCL215006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,8,0,0,24,0,0,0,5,0,0,12,4,3,0,4,0,0,9,15,0,0,10,3,0,27,28,0,0,18,3,0,46,73,0,0,11,0,0,87,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,126,26,4,47,11,0,217
UCL215007,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,5,0,0,5,17,0,0,6,0,0,25,34,0,0,9,0,0,43,5,0,0,0,0,0,10,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,62,0,0,38,0,0,97
UCL215008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,16,0,22,9,0,0,5,0,0,17,38,0,0,4,0,0,49,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,6,62,5,5,12,19,0,103
UCL215009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,8,3,0,11,4,0,0,7,0,0,15,4,0,0,3,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,23,0,0,42
UCL215010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,3,0,0,4,0,0,6,9,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,9,0,0,19
UCL215011,0,0,0,3,0,0,3,0,0,0,0,0,0,5,0,3,0,5,0,0,10,3,0,0,8,0,0,16,5,0,0,10,0,0,14,8,0,0,8,0,0,20,16,0,0,7,3,0,26,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,5,7,50,3,0,44,11,5,107
UCL215012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,7,9,0,0,24,8,10,0,12,0,0,26,6,6,0,11,0,0,25,16,0,0,16,0,0,34,66,0,0,21,0,0,89,63,0,0,14,0,0,83,13,0,0,7,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,11,182,38,4,84,7,0,316
UCL215013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,35,0,0,0,0,0,38,129,0,0,10,3,0,140,13,0,0,5,0,0,17,8,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,23,0,0,222
UCL215014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,4,8,0,0,7,0,0,11,10,0,0,0,0,0,17,4,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,24,0,0,13,3,0,37
UCL215015,0,6,0,0,0,0,4,0,0,0,0,0,0,0,3,13,0,6,0,0,16,9,9,0,6,0,0,21,4,0,0,10,0,0,19,16,4,0,19,0,0,39,33,0,0,12,0,0,43,52,0,0,8,0,0,59,18,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,4,134,24,3,68,7,0,239
UCL215016,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,16,8,6,0,0,27,5,8,0,3,0,0,19,3,0,0,0,0,0,3,28,0,4,18,0,0,40,77,0,0,13,0,0,98,89,0,0,9,0,0,94,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,8,0,0,17,212,32,11,54,3,3,321
UCL215017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,7,12,0,0,11,0,0,16,24,0,0,5,0,0,32,22,0,0,8,0,0,31,5,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,4,0,10,65,6,0,33,4,0,101
UCL215018,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,24,0,10,0,0,40,12,3,0,9,0,0,31,11,0,0,11,0,0,29,49,4,0,22,4,0,75,38,0,0,11,0,0,51,12,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,132,40,3,69,6,4,272
UCL215019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,6,5,0,0,8,0,0,16,40,0,0,16,0,0,65,45,0,0,12,0,0,58,10,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,115,0,0,56,4,0,172
UCL215020,0,0,0,0,5,0,3,0,0,0,0,0,0,0,4,3,3,12,8,0,28,13,0,5,20,4,0,43,3,0,0,5,0,0,18,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,35,3,0,45,15,3,105
UCL215021,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,4,0,0,0,0,4,4,0,0,4,0,0,10,0,0,0,3,0,0,5,4,0,0,9,0,0,17,14,0,0,10,0,0,20,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3,0,34,0,0,66
UCL215022,3,12,0,0,0,0,15,0,9,0,0,0,0,12,6,37,0,8,0,0,54,20,24,3,26,0,0,73,56,27,0,33,0,0,118,117,6,6,26,0,0,155,99,0,3,10,0,0,110,9,0,0,7,5,0,21,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,0,0,15,312,121,11,108,8,0,562
UCL215023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,5,0,0,22,10,6,0,10,0,0,26,4,0,0,14,0,0,19,14,0,0,15,0,0,34,11,0,0,9,0,0,22,4,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,48,20,0,51,3,0,126
UCL215024,0,0,0,0,0,0,0,0,7,0,5,4,0,13,0,7,0,5,4,0,23,29,3,0,13,0,0,45,16,0,0,9,0,0,19,17,5,0,9,0,0,32,8,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,70,26,0,45,12,0,157
UCL215025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,5,0,0,3,7,0,0,3,0,0,9,19,0,0,10,0,0,27,22,0,0,5,0,0,25,10,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,26,0,0,82
UCL215026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,3,5,0,0,3,0,0,4,12,0,0,7,0,0,22,25,0,0,10,0,0,35,14,0,0,0,0,0,18,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,67,0,0,28,0,0,100
UCL215027,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,11,4,0,19,9,7,0,12,9,0,31,9,0,0,7,0,0,12,13,0,0,13,0,0,21,10,0,0,8,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,9,3,53,10,0,115
UCL215028,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,19,0,6,0,0,27,0,8,0,5,0,0,18,5,0,0,12,0,0,20,23,0,0,17,0,0,36,49,3,0,20,0,0,78,29,0,0,12,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,118,48,0,67,6,0,234
UCL215029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12,11,0,0,45,5,3,0,7,0,0,21,7,0,0,7,0,0,16,11,0,0,15,0,0,25,61,3,0,34,0,0,98,83,0,0,29,4,0,118,29,0,0,9,0,0,44,9,0,0,0,0,0,9,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9,0,3,0,6,0,0,13,211,34,18,133,9,3,402
UCL215030,0,0,0,0,0,0,4,0,0,0,0,0,0,5,4,3,0,7,3,0,21,7,3,3,13,0,0,30,13,0,0,8,0,0,24,3,0,0,10,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,7,35,10,8,47,9,5,101
UCL215031,0,17,4,0,0,0,19,0,3,0,0,0,0,3,4,3,0,5,0,0,17,6,3,0,17,0,0,27,8,0,0,9,6,0,24,9,0,0,6,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,25,30,4,43,11,0,111
UCL215032,0,6,7,3,0,0,14,0,0,0,0,0,0,5,0,10,7,14,0,0,34,14,11,10,10,3,0,45,10,6,0,6,0,0,23,42,5,0,14,0,0,62,70,0,0,10,0,0,87,22,0,4,7,0,0,37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,3,19,181,38,20,60,13,0,323
UCL215033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9,50,0,0,5,0,0,57,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,13,0,0,81
UCL215034,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,12,3,0,0,0,25,3,3,8,4,6,0,22,16,0,0,3,0,0,21,21,0,0,6,0,0,32,39,0,0,8,0,0,49,8,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,94,20,15,24,12,0,157
UCL215035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0,0,7,0,0,24,19,0,0,4,0,0,31,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,44,0,0,20,0,4,69
UCL215036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,5,8,0,0,0,0,0,7,23,0,0,5,0,0,31,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,9,0,0,56
UCL215037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,5,0,0,0,5,0,0,5,12,0,0,8,8,0,27,24,0,0,13,0,0,32,27,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,71,0,0,30,3,0,109
UCL215038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,11,8,3,0,30,4,0,0,14,0,0,18,3,0,0,13,0,0,15,17,0,0,6,0,0,27,28,0,0,3,0,0,33,19,0,0,0,0,0,20,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,11,78,9,11,52,9,8,164
