UCL_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
UCL214015,16,21,37,271,365,637,0,0,0,32,31,67,0,0,0,458,532,993,4,0,4,10,9,16,16,25,34,0,4,9,10,8,19,0,0,6,3,3,14,14,31,41,65,97,165,3,10,17,7,13,20,112,203,310,73,73,147,0,0,0,1074,1401,2476,12,9,20,0,0,0,5,0,5,0,0,0,0,4,3,3,8,13,8,7,17,1361,1302,2665,6,3,9,8,5,12,1367,1313,2681,199,182,376,2673,2947,5618
UCL214016,14,25,43,524,703,1227,0,0,0,21,26,46,0,0,0,590,672,1260,19,30,41,14,20,36,11,18,29,0,7,7,16,12,30,0,0,0,7,15,24,19,21,32,86,105,195,24,27,52,9,14,18,198,248,445,51,78,133,3,0,3,1589,1984,3570,19,19,39,8,0,11,0,3,3,0,0,0,10,5,17,20,18,37,23,31,58,1751,1687,3438,8,0,9,9,11,21,1769,1705,3477,288,292,575,3711,4061,7769
UCL214017,14,19,42,321,424,742,0,0,0,21,21,41,0,0,0,451,544,992,0,0,4,11,13,28,8,4,13,0,0,0,7,17,24,0,0,0,5,0,7,22,23,44,65,52,122,6,0,6,0,0,4,139,217,356,36,49,87,0,0,0,1088,1373,2462,11,14,25,6,5,7,3,4,9,0,0,0,0,0,6,0,3,3,0,5,7,1118,1141,2254,6,3,16,6,6,10,1131,1153,2286,211,220,437,2467,2797,5265
UCL214018,16,40,54,452,531,983,0,0,0,52,54,108,0,0,0,1056,1107,2169,6,0,3,135,121,262,0,8,7,9,6,8,15,22,38,0,0,0,14,17,29,10,11,22,101,102,207,3,3,9,0,4,4,196,261,458,59,92,153,3,3,6,2108,2344,4460,0,10,7,5,7,17,3,5,3,0,0,0,0,0,3,13,19,32,11,23,31,1818,1804,3624,11,9,20,6,14,25,1831,1832,3666,406,413,813,4387,4660,9048
UCL214019,17,43,63,310,360,669,0,0,0,11,19,35,0,0,0,606,685,1288,0,0,3,21,21,40,0,8,10,3,9,8,9,19,25,0,0,3,16,10,26,20,20,43,88,102,193,5,10,14,5,5,10,72,112,184,41,42,80,0,5,6,1212,1426,2637,11,16,29,6,3,8,0,0,0,0,0,0,13,17,26,8,6,14,17,23,43,1365,1249,2608,12,0,15,3,16,15,1372,1263,2634,334,272,602,2977,3045,6016
UCL214020,12,16,28,239,256,496,0,0,0,33,36,66,13,21,39,364,465,825,10,14,24,3,12,13,10,12,22,5,0,3,24,24,43,0,0,3,4,5,14,4,16,23,48,56,101,15,11,26,3,4,9,211,312,516,40,43,81,0,5,5,1031,1276,2305,25,10,42,22,7,27,0,0,0,0,0,0,14,14,22,11,11,23,25,21,44,1330,1227,2550,16,4,21,3,6,9,1345,1235,2579,318,283,598,2772,2856,5627
UCL214021,19,22,44,223,298,523,0,0,0,11,21,32,0,0,0,604,674,1277,0,0,0,48,50,99,4,7,15,4,9,5,5,8,9,0,0,0,3,7,11,29,33,66,53,93,154,8,5,14,3,3,8,73,90,162,52,76,131,0,0,0,1127,1369,2501,3,4,8,19,16,38,0,0,3,0,0,0,9,3,3,0,8,7,3,12,16,1313,1236,2548,10,6,17,0,9,12,1326,1262,2582,145,164,307,2642,2854,5497
UCL214022,39,67,101,404,550,951,0,0,0,74,108,178,0,0,0,740,858,1594,0,3,3,21,14,34,18,23,39,0,5,4,8,12,24,0,0,0,8,13,20,36,32,67,74,94,164,15,27,38,0,0,5,100,174,275,69,80,151,4,5,6,1571,1989,3559,37,30,66,13,7,15,0,4,4,4,0,5,5,5,15,22,28,48,27,36,64,2015,1926,3935,14,16,25,8,18,22,2031,1953,3984,291,338,632,4008,4420,8430
UCL215001,8,12,20,46,54,95,0,0,0,0,8,7,0,0,0,94,106,197,0,0,0,0,0,9,5,6,6,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,5,6,14,0,0,0,0,0,0,18,25,45,5,8,14,0,0,0,176,216,387,0,0,0,0,0,0,3,6,9,0,0,0,0,0,0,0,0,0,0,0,0,427,427,857,6,0,12,0,0,0,433,426,863,61,50,114,685,710,1395
UCL215002,4,11,11,139,179,321,0,0,0,24,22,41,0,0,0,180,205,381,0,0,3,5,0,5,4,3,8,0,0,0,0,5,5,0,0,0,0,4,0,3,11,11,27,29,55,0,3,3,6,3,6,40,82,121,21,27,53,0,0,0,442,577,1014,0,3,8,0,0,0,0,0,0,0,0,0,3,0,3,0,3,8,3,3,12,667,597,1263,3,0,3,3,7,9,668,602,1277,78,80,154,1206,1277,2480
UCL215003,4,8,12,133,169,301,0,0,0,28,37,71,0,0,0,227,282,510,0,0,0,13,4,11,0,0,3,4,0,6,7,8,16,0,0,0,0,3,3,0,3,3,24,34,50,0,0,0,0,3,3,63,96,151,24,23,49,5,0,4,517,660,1178,0,3,0,4,3,5,0,0,0,0,0,0,0,0,0,0,5,3,0,5,3,904,821,1727,7,8,14,3,6,9,910,832,1745,122,119,240,1567,1627,3191
UCL215004,12,14,25,71,88,153,0,0,0,9,3,12,0,0,0,83,83,163,0,0,3,17,14,37,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,7,7,20,0,0,0,0,0,0,34,32,59,11,12,21,0,0,0,232,243,476,13,4,15,4,4,15,0,0,0,0,0,0,0,3,5,0,5,3,3,6,10,367,369,734,0,0,0,0,4,4,371,373,739,113,95,209,745,749,1491
UCL215005,0,3,3,87,87,179,0,0,0,4,0,6,0,0,0,79,64,144,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,10,10,16,4,3,9,0,0,0,42,53,89,7,8,14,0,0,0,236,234,469,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,3,264,272,538,0,0,0,0,0,0,265,272,536,57,50,110,566,563,1129
UCL215006,0,8,12,118,172,292,0,0,0,4,5,8,0,0,0,304,322,629,4,0,4,11,13,28,4,7,11,0,0,0,5,3,10,0,0,0,4,0,4,4,9,12,14,29,41,3,3,9,0,0,3,38,45,81,21,26,44,0,0,0,531,637,1170,6,9,17,0,0,0,0,0,0,0,0,0,0,3,4,0,7,12,0,7,16,614,635,1248,5,9,7,0,6,9,619,642,1259,74,74,142,1234,1377,2613
UCL215007,9,15,23,137,150,291,0,0,0,15,10,25,0,0,0,155,217,371,0,0,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,12,13,21,0,0,6,0,0,0,44,70,114,10,15,23,0,0,0,391,493,882,0,3,3,0,0,0,3,0,3,0,0,0,0,0,0,6,0,3,6,0,3,708,674,1377,4,6,11,0,4,4,709,686,1397,110,102,210,1227,1303,2528
UCL215008,8,0,9,114,135,250,0,0,0,10,10,16,0,0,0,158,200,361,0,0,0,0,5,4,12,12,29,3,3,6,4,11,16,0,0,0,11,9,14,8,14,23,18,7,31,0,0,0,7,3,9,34,49,82,25,37,61,0,0,0,409,498,909,4,3,5,0,0,0,0,0,0,0,0,0,7,0,6,0,0,3,5,4,11,493,440,937,0,3,4,0,0,0,498,447,946,42,36,73,963,989,1950
UCL215009,4,4,6,78,84,165,0,0,0,10,6,10,0,0,0,79,86,167,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,12,10,15,0,0,0,0,0,0,29,29,58,6,11,19,0,0,0,209,226,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,172,393,0,0,0,0,0,0,216,181,398,55,43,93,490,448,938
UCL215010,4,5,9,89,120,204,0,0,0,6,13,22,0,0,0,260,236,494,4,8,10,11,11,23,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,14,21,17,12,30,0,0,0,0,0,0,25,24,51,26,37,60,3,0,3,452,474,926,0,0,0,8,0,6,0,0,3,0,0,0,0,0,0,0,0,4,0,0,3,631,546,1180,4,5,8,0,0,0,638,546,1184,74,69,143,1172,1105,2274
UCL215011,0,3,3,73,84,160,0,0,0,0,0,0,0,0,0,67,80,146,0,0,5,3,5,0,5,3,8,0,6,7,0,0,0,0,0,0,0,0,3,0,4,4,18,20,36,0,0,0,0,0,0,39,47,87,5,3,5,5,5,8,220,260,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,6,3,290,276,566,0,0,0,5,3,3,290,275,572,55,52,112,569,598,1166
UCL215012,11,13,22,151,195,352,0,0,0,13,16,27,0,0,0,215,322,539,0,4,3,0,0,5,0,0,0,0,5,5,0,6,10,0,0,0,4,0,4,4,6,6,24,26,57,4,5,11,0,4,4,56,74,126,23,38,57,4,3,4,498,711,1206,0,3,6,0,3,10,5,3,6,0,0,0,0,0,0,5,5,13,5,5,13,882,901,1783,7,3,14,4,3,4,892,906,1803,110,115,227,1529,1762,3291
UCL215013,19,24,43,87,109,193,6,6,12,15,18,33,0,0,0,489,548,1032,3,3,5,67,57,122,3,0,4,4,3,14,5,0,5,0,0,3,13,18,26,36,39,74,3,10,13,0,0,0,17,9,27,15,29,49,55,54,107,0,0,0,815,910,1724,80,70,147,89,74,172,0,0,0,0,0,0,168,159,324,8,9,19,172,170,343,776,703,1481,3,4,6,0,3,9,787,716,1498,131,105,235,2099,2058,4160
UCL215014,6,8,10,71,69,135,0,0,0,4,9,10,0,0,0,103,94,197,0,0,0,0,4,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,12,17,14,29,0,0,0,0,0,0,11,12,22,8,14,24,0,0,0,213,217,429,0,4,4,3,3,11,0,0,0,0,0,0,0,0,0,0,4,6,0,4,6,360,348,706,0,0,0,0,0,0,360,349,711,30,29,60,617,612,1231
UCL215015,3,14,15,91,132,221,0,0,0,0,5,6,0,0,0,142,174,317,18,17,34,11,7,19,4,0,7,0,0,4,10,7,12,0,0,0,0,0,0,10,3,7,24,14,36,3,0,8,0,0,0,50,55,109,16,29,44,0,0,0,368,460,830,11,3,18,0,4,4,0,4,4,0,0,0,0,0,4,0,8,11,8,14,16,694,656,1344,0,3,7,0,0,0,691,654,1354,115,129,242,1207,1278,2481
UCL215016,15,8,23,190,239,429,0,0,0,13,11,18,0,0,0,374,395,766,0,0,0,20,18,41,4,0,5,0,0,4,0,4,3,0,0,0,6,3,8,5,4,15,38,36,80,16,19,41,0,0,0,48,63,105,31,31,68,0,0,0,744,838,1583,9,0,12,5,6,13,0,3,3,0,0,0,0,0,0,9,10,22,9,10,22,1105,1007,2116,7,10,15,3,6,12,1115,1025,2141,137,143,281,2037,2037,4076
UCL215017,0,7,7,149,163,312,0,0,0,11,9,26,0,0,0,304,341,644,3,0,5,4,5,6,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,7,6,14,32,29,59,0,5,5,0,0,0,28,45,72,18,19,36,0,0,0,562,641,1198,0,0,6,0,0,5,0,0,3,0,0,0,0,0,0,4,0,3,4,0,3,670,605,1275,0,0,3,0,0,0,673,612,1283,100,108,204,1340,1372,2707
UCL215018,8,3,13,114,162,271,0,0,0,13,5,21,0,0,0,356,432,792,0,0,0,0,8,7,13,13,21,0,0,0,6,12,16,3,0,6,0,0,0,4,4,19,46,41,81,3,0,0,0,0,4,119,175,297,18,14,30,0,0,0,700,874,1570,3,4,8,4,6,7,0,0,0,0,0,0,4,0,5,0,0,4,7,8,10,581,502,1083,6,4,4,0,0,0,584,507,1094,93,91,184,1391,1491,2884
UCL215019,11,11,21,85,109,192,0,0,0,11,13,28,0,0,0,133,154,292,0,0,0,12,11,20,0,5,5,0,0,0,4,7,7,0,0,0,0,4,5,3,6,8,8,9,22,0,0,0,3,3,5,19,26,43,19,27,49,0,0,0,310,371,677,0,0,0,0,0,3,0,3,7,3,0,3,0,0,0,5,3,0,7,3,9,632,634,1264,7,3,11,0,3,4,639,646,1281,150,163,306,1115,1186,2301
UCL215020,0,7,10,90,118,204,0,0,0,4,0,9,0,0,0,123,136,256,0,0,0,0,0,3,0,3,0,3,0,3,4,9,7,0,7,3,0,0,4,0,0,0,17,19,40,0,0,0,0,0,0,47,78,120,5,11,12,0,0,0,293,377,673,12,10,18,0,0,0,0,0,0,0,0,0,7,5,7,0,0,0,7,6,12,277,257,529,0,0,0,0,3,4,274,263,538,33,52,87,627,712,1336
UCL215021,0,0,6,90,100,192,0,0,0,0,5,7,0,0,0,107,126,231,0,0,0,0,0,0,0,6,3,0,0,0,3,8,9,0,0,0,0,0,5,5,3,9,16,23,43,6,5,7,0,0,0,13,17,38,6,5,13,0,0,0,250,299,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,6,3,276,267,550,0,0,4,0,0,0,282,274,548,50,46,98,579,625,1208
UCL215022,11,10,24,175,226,404,0,0,0,14,27,41,0,0,0,351,403,756,0,0,0,6,10,17,14,18,32,9,6,14,5,3,10,0,0,0,9,6,16,23,20,46,44,41,86,0,5,8,3,5,10,38,57,103,44,52,100,0,0,4,742,897,1641,3,3,12,22,18,37,0,0,0,0,0,0,5,9,8,10,14,20,10,18,26,1254,1162,2411,7,3,14,7,5,11,1263,1169,2438,239,263,503,2298,2385,4679
UCL215023,0,5,4,75,85,163,0,0,0,6,14,20,0,0,0,134,173,300,0,0,0,0,0,0,5,3,5,0,0,0,6,5,11,0,0,0,0,0,0,3,3,4,41,49,84,0,0,0,0,0,0,71,94,164,3,0,6,0,0,0,339,432,776,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,4,5,339,276,612,0,0,7,0,0,0,335,280,620,47,58,97,730,776,1503
UCL215024,3,0,10,109,144,259,0,0,0,8,10,20,0,0,0,168,187,349,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,5,24,25,45,0,0,0,0,0,0,84,115,203,3,10,13,0,0,0,401,500,902,6,5,9,3,5,7,0,0,0,0,0,0,6,5,10,0,0,3,5,4,12,386,383,770,0,0,0,0,0,0,386,382,769,87,84,171,891,979,1870
UCL215025,4,0,4,80,75,160,0,0,0,0,6,12,0,0,0,69,80,150,0,0,0,4,5,10,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,15,16,29,0,0,0,3,0,8,16,17,30,10,8,25,0,0,0,215,221,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,266,244,507,0,4,5,0,6,5,268,248,513,51,39,96,545,513,1056
UCL215026,0,4,10,63,58,122,0,0,0,4,8,23,0,0,0,89,112,200,0,0,5,18,12,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,11,17,23,0,0,0,0,0,0,11,15,24,9,3,11,0,0,0,205,235,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,5,270,240,509,0,4,9,7,0,7,277,248,522,70,54,129,564,549,1108
UCL215027,0,4,3,113,142,256,0,0,0,21,19,45,0,0,0,96,92,186,0,0,0,0,3,3,0,0,0,0,0,0,7,5,5,0,0,0,0,0,0,5,9,11,14,12,20,0,0,0,0,3,3,17,46,65,4,5,10,0,0,0,274,336,611,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,7,0,6,9,4,9,214,193,407,0,4,3,0,0,0,214,197,411,83,61,144,584,602,1186
UCL215028,3,15,23,90,135,223,0,0,0,6,9,10,0,0,0,220,260,480,6,10,8,8,10,20,0,0,0,0,0,0,4,3,7,0,0,0,4,4,5,5,8,12,24,26,47,3,4,11,0,0,0,78,101,183,19,33,50,0,3,7,469,604,1070,3,6,9,0,0,8,3,0,3,0,0,0,4,3,7,6,16,25,7,21,29,706,610,1310,8,5,7,4,10,6,712,613,1328,152,180,334,1356,1439,2794
UCL215029,18,35,55,159,192,355,0,0,0,8,14,18,0,0,0,256,285,538,3,3,5,20,13,33,0,3,0,0,0,0,3,11,11,0,0,0,3,5,10,5,6,9,15,36,47,4,3,12,0,0,4,33,53,86,14,20,32,0,0,3,525,645,1168,27,25,49,3,3,6,3,6,11,0,0,0,3,3,9,16,19,38,21,22,46,948,1061,2004,6,14,22,9,17,26,965,1088,2047,152,189,345,1711,2018,3732
UCL215030,0,6,9,60,82,141,0,0,0,3,3,9,0,0,0,57,80,142,0,4,4,0,0,0,0,0,3,0,0,0,43,47,86,0,0,0,6,0,0,3,4,10,11,13,26,0,0,0,6,0,5,75,92,161,4,10,18,0,0,0,259,337,600,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,6,3,0,6,3,316,276,588,0,0,0,0,0,0,320,276,592,53,56,108,633,676,1315
UCL215031,7,11,18,57,65,127,0,0,0,8,14,21,0,0,0,120,133,254,0,0,0,0,4,5,0,0,0,0,0,3,5,5,9,0,0,0,0,0,0,3,0,12,14,22,27,0,0,7,0,0,0,72,122,195,12,16,25,0,0,0,300,382,686,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,7,0,5,294,238,523,0,0,3,0,3,3,290,239,530,69,57,123,678,693,1375
UCL215032,11,8,19,175,203,386,0,0,0,25,29,55,0,0,0,294,342,639,0,3,6,3,0,3,0,0,0,0,0,8,7,4,11,0,0,0,0,3,9,3,3,6,45,61,105,0,0,6,0,0,0,87,135,217,21,17,42,0,0,0,669,811,1484,4,3,8,4,10,11,0,0,0,0,0,0,0,0,0,8,6,9,8,6,9,636,628,1261,0,6,4,4,9,9,639,633,1279,164,146,310,1496,1621,3116
UCL215033,7,6,15,88,109,195,0,0,0,17,31,46,0,0,0,367,441,810,0,0,0,14,18,34,0,0,3,0,5,3,5,7,9,0,0,0,5,0,6,17,23,50,13,10,22,0,3,8,0,4,4,13,28,40,32,43,75,0,0,0,574,731,1303,8,12,18,8,9,20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,721,634,1355,0,3,5,8,11,21,736,646,1386,46,36,83,1389,1439,2826
UCL215034,4,7,10,81,124,208,0,0,0,3,3,6,0,0,0,76,110,179,0,0,7,0,0,0,3,5,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,16,20,31,0,0,3,0,0,0,29,43,72,10,3,16,0,0,0,224,306,531,0,0,8,0,0,0,0,0,0,0,0,0,3,5,7,8,5,13,4,10,16,288,290,582,5,3,4,0,8,3,296,300,596,73,77,149,602,705,1308
UCL215035,4,8,18,71,84,154,0,0,0,12,8,24,0,0,0,206,198,403,0,0,0,3,4,5,0,0,4,9,8,14,0,0,0,0,0,0,0,0,0,8,6,13,10,13,27,0,0,0,0,0,0,14,31,42,16,13,27,0,0,0,354,370,723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,371,770,9,0,10,0,0,0,412,379,783,60,57,120,835,810,1644
UCL215036,4,6,11,51,76,128,0,0,0,3,0,4,0,0,0,84,67,147,0,0,0,9,7,12,8,7,15,0,0,0,0,0,0,0,0,0,0,0,3,5,7,16,0,14,19,0,0,0,0,0,5,9,17,23,14,20,28,0,3,5,187,208,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,339,320,659,0,0,0,0,4,4,339,323,663,79,77,154,610,618,1226
UCL215037,0,0,0,87,105,191,0,0,0,5,9,18,0,0,0,77,90,167,0,0,0,6,3,13,4,0,4,0,0,0,3,0,3,0,0,0,0,0,5,3,6,9,12,12,28,0,0,0,0,0,0,18,20,40,15,8,24,0,0,0,232,263,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,9,10,387,345,733,0,0,0,0,3,7,388,351,742,55,48,100,675,675,1357
UCL215038,0,5,5,89,129,211,0,0,0,5,8,8,0,0,0,221,202,423,0,0,0,6,12,11,0,0,0,0,0,4,0,5,5,0,0,0,8,6,15,3,6,5,20,26,51,0,0,6,4,3,7,37,64,98,7,14,27,0,0,0,404,470,869,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,0,4,376,334,714,0,4,4,0,0,3,373,341,721,120,117,236,911,939,1844
UCL215039,10,6,16,88,107,196,0,0,0,4,0,4,0,0,0,138,137,275,0,0,0,0,0,3,5,7,13,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,13,8,22,0,0,0,0,0,0,16,22,43,4,9,13,0,0,0,267,299,573,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,6,4,3,8,383,325,711,3,0,8,0,3,3,389,333,720,116,100,217,780,751,1529
UCL215040,0,0,0,60,91,147,0,0,0,3,6,13,0,0,0,77,84,160,0,0,0,0,5,3,0,0,0,0,0,0,9,8,19,0,0,0,0,0,5,9,5,8,22,25,49,0,0,3,0,0,0,46,51,98,8,5,10,0,0,0,231,281,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,5,325,281,608,0,0,0,0,3,3,328,281,609,104,93,194,663,662,1328
UCL215041,9,6,16,193,227,420,0,0,0,80,91,171,56,43,98,278,337,618,3,3,5,13,10,21,0,0,0,0,0,5,0,10,12,0,0,0,0,9,11,10,11,24,56,89,148,3,7,9,0,0,0,98,151,253,31,34,64,0,0,0,833,1032,1864,8,3,10,0,0,3,0,5,5,0,0,0,0,0,4,3,3,9,3,3,6,739,697,1439,0,0,0,5,6,7,744,707,1449,165,170,336,1770,1924,3696
UCL215042,3,7,9,38,60,96,0,0,0,10,8,17,0,0,0,66,70,135,0,0,0,6,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,5,8,0,0,0,4,3,10,8,8,25,21,12,32,0,0,0,179,177,355,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,10,12,14,10,12,14,395,335,732,6,0,10,0,0,0,398,336,740,67,58,125,651,596,1247
UCL215043,11,15,24,144,172,314,0,0,0,3,13,15,0,0,0,304,365,665,0,0,5,15,9,16,0,0,3,3,10,14,4,5,5,0,0,0,4,5,3,19,19,34,24,24,47,0,3,0,0,0,0,38,46,89,29,35,60,5,0,5,579,704,1281,7,7,13,4,8,11,0,0,0,0,0,0,5,7,9,13,10,19,14,14,28,893,880,1773,3,8,18,0,3,11,904,894,1798,86,90,175,1605,1732,3336
UCL215044,3,5,7,48,64,115,0,0,0,9,15,23,0,0,0,238,264,500,0,0,3,4,0,6,0,0,0,0,0,0,8,10,18,5,0,5,0,0,0,3,4,6,31,36,65,0,0,0,0,0,0,17,31,44,3,8,10,0,0,0,373,432,802,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,5,386,382,771,0,0,0,0,0,0,386,385,773,47,57,103,808,893,1705
UCL215045,10,16,22,185,274,459,0,0,0,28,31,57,0,0,0,274,334,607,0,0,3,6,8,11,0,3,3,6,11,15,4,7,13,0,0,0,0,6,13,17,24,38,33,31,65,6,3,7,7,0,6,103,129,224,22,24,42,0,0,0,692,877,1568,5,9,11,0,4,4,3,4,5,0,0,0,5,4,10,4,9,13,5,14,18,1008,943,1948,5,10,12,5,5,4,1013,956,1970,116,136,254,1846,2020,3869
UCL215046,11,8,16,75,100,173,0,0,0,6,3,7,0,0,0,192,212,408,0,0,0,6,7,15,0,0,0,0,0,4,0,0,0,0,0,0,0,6,7,8,11,14,10,13,20,3,4,9,0,4,3,24,24,52,10,12,23,0,0,0,339,393,733,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,4,11,9,4,11,364,437,799,3,0,8,0,0,0,369,438,807,66,58,127,789,907,1691
UCL215047,6,7,14,85,134,216,0,0,0,3,7,16,0,0,0,153,155,313,0,0,0,8,8,18,4,0,3,0,0,6,0,0,0,0,0,0,0,0,0,5,7,14,14,22,34,0,0,0,3,0,0,23,23,46,3,20,21,0,0,0,305,383,686,0,0,5,4,0,9,0,0,0,0,0,0,0,0,4,4,3,8,7,0,7,646,615,1261,0,0,0,0,0,0,648,620,1268,89,81,168,1059,1093,2153
UCL215048,9,11,18,87,129,219,0,0,0,15,18,34,0,0,0,134,150,285,0,0,5,8,9,10,3,4,7,0,0,3,0,0,0,0,0,0,0,3,4,6,8,18,11,23,35,0,0,3,0,0,0,12,26,35,16,20,40,0,0,0,294,397,694,5,0,11,0,5,4,0,0,0,0,0,0,11,4,9,8,9,15,14,13,24,513,471,987,0,6,3,0,0,0,511,482,994,82,91,178,922,997,1923
UCL215049,6,0,10,57,72,129,0,0,0,0,0,0,0,0,0,89,98,186,0,0,0,10,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,30,0,0,0,0,0,0,26,36,56,3,5,16,0,0,0,211,246,453,5,3,11,0,0,0,0,0,0,0,0,0,6,4,11,0,0,0,6,4,11,346,277,616,0,4,3,0,0,5,348,279,623,79,68,144,656,596,1248
UCL215050,15,10,23,117,129,249,0,0,0,7,7,15,0,0,0,246,259,506,0,0,0,14,9,27,7,7,12,0,0,0,10,4,10,0,0,4,3,0,0,7,7,15,26,20,46,0,0,0,0,0,0,43,55,97,26,31,53,0,0,0,500,534,1031,5,0,5,6,0,3,0,0,0,0,0,0,0,0,0,3,4,7,3,4,7,854,738,1592,3,3,7,3,3,10,866,751,1613,134,110,248,1512,1411,2926
