UCL_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
UCL215061,280,559,3,18,9,56,3,21,98,398,117,489,8,18,8,32,34,107,53,154,167,648,0,0,4,12,0,4,33,94,40,111,0,0,3,9,36,82,42,92,78,205,5,8,534,1419
UCL215062,161,320,4,38,19,66,9,28,71,287,97,419,9,47,6,25,15,53,35,132,132,552,0,0,6,27,3,3,22,60,32,92,5,5,6,16,39,84,50,113,80,207,8,10,376,1092
UCL215063,140,281,4,10,12,50,5,18,66,262,79,336,8,38,7,27,29,89,48,155,125,493,0,0,6,27,0,0,7,32,17,59,0,0,3,10,10,22,14,36,32,93,6,0,300,876
UCL215064,232,463,3,28,16,68,0,4,97,394,114,491,9,32,13,52,42,136,66,214,182,707,0,5,10,23,0,5,21,67,34,95,0,8,4,9,31,64,31,79,65,171,14,31,493,1378
UCL215065,473,945,4,33,32,145,8,46,146,579,191,808,9,46,24,77,60,193,93,314,289,1122,3,8,11,41,9,23,85,228,107,298,7,25,16,38,68,152,96,218,202,514,17,36,978,2621
UCL215066,238,474,6,22,13,80,6,40,66,281,101,425,6,10,8,30,28,90,44,127,144,552,3,11,14,28,3,16,39,99,55,157,0,0,4,13,35,63,37,72,91,233,13,20,483,1284
UCL215067,135,266,0,3,8,45,0,9,41,161,55,225,4,9,5,21,11,42,22,78,76,302,0,0,0,3,0,0,16,32,9,36,0,3,4,9,14,38,21,44,33,80,3,6,247,659
UCL215068,718,1429,3,25,14,50,8,33,95,369,118,476,8,24,16,55,55,186,85,265,205,742,0,0,8,21,7,26,43,114,58,163,3,15,5,17,50,107,62,135,121,297,14,20,1049,2489
UCL215069,477,950,4,16,40,167,9,26,186,780,232,997,11,39,28,85,44,128,79,260,310,1252,8,20,7,20,6,12,40,105,56,159,4,11,3,14,44,90,54,115,109,273,13,23,911,2501
UCL215070,295,589,7,42,25,107,11,45,149,597,188,790,13,42,13,53,56,185,83,277,275,1063,3,14,11,32,5,30,79,219,98,297,5,10,7,26,55,124,69,163,167,456,16,35,754,2143
UCL215071,384,761,0,18,64,267,16,66,261,1033,343,1386,28,122,54,185,92,292,176,600,518,1988,0,12,13,37,9,14,38,100,59,156,5,28,20,34,43,94,69,154,129,313,8,17,1035,3076
UCL215072,178,362,4,28,14,80,3,21,126,492,145,627,13,47,8,28,21,71,42,146,189,769,0,3,5,19,3,21,39,115,50,156,0,5,0,0,33,80,39,88,88,246,16,47,470,1424
UCL215073,390,778,6,26,23,94,7,25,100,417,135,561,6,43,17,57,53,178,81,278,215,838,0,13,8,17,13,35,45,124,59,185,6,16,13,26,42,89,59,129,115,314,15,30,734,1960
UCL215074,559,1112,4,40,67,306,18,91,365,1440,463,1882,44,179,48,185,119,392,212,752,676,2633,3,16,11,40,9,25,72,223,96,310,11,33,10,25,58,119,81,184,175,492,8,18,1418,4258
UCL215075,151,297,4,10,4,34,4,33,64,239,77,319,5,9,7,33,24,86,35,125,117,441,0,0,5,10,8,20,23,67,35,97,0,6,3,9,22,53,32,66,59,165,4,14,334,916
UCL215076,304,605,3,23,20,95,0,0,125,477,149,598,7,36,12,38,41,137,63,215,211,813,0,9,10,42,3,26,42,117,60,191,6,19,9,18,32,60,47,101,106,289,10,24,643,1732
UCL215077,247,494,0,9,12,56,6,35,87,342,112,445,6,10,15,46,28,81,43,139,155,580,0,0,6,11,0,3,16,40,19,56,0,0,11,17,19,42,29,54,46,121,7,7,455,1198
UCL215078,192,388,6,17,25,118,13,51,160,648,201,836,18,76,17,52,46,158,81,283,281,1123,0,0,3,17,3,11,23,65,32,95,3,8,9,9,25,54,38,75,67,170,6,12,546,1688
UCL215079,261,514,0,8,9,51,5,29,78,331,102,417,8,28,9,30,41,141,57,204,160,620,0,0,8,23,4,23,32,85,45,125,0,4,9,21,39,90,52,110,98,241,11,22,529,1401
UCL215080,288,577,0,0,22,121,5,17,148,594,177,736,9,37,15,39,48,143,66,220,244,949,0,0,13,46,3,10,32,93,52,152,3,8,3,10,21,41,32,62,79,214,6,16,621,1763
UCL215081,517,1035,6,24,44,193,9,62,242,950,300,1230,22,82,24,71,88,281,131,440,432,1664,3,14,18,61,8,17,66,177,96,280,5,17,9,13,61,131,72,163,167,438,25,47,1144,3191
UCL215082,207,421,3,17,37,164,6,30,202,811,248,1027,21,103,29,94,58,195,115,395,361,1415,4,13,3,6,3,9,16,54,24,79,3,7,4,5,14,42,24,55,50,134,6,14,622,1982
UCL215083,261,512,4,29,17,66,7,22,100,386,125,500,6,26,9,29,33,99,52,159,168,663,0,19,5,26,3,8,32,74,41,128,0,9,6,12,49,103,58,128,96,250,12,25,538,1453
UCL215084,133,277,0,18,13,53,3,13,64,258,83,343,7,36,5,10,27,81,34,131,119,470,3,13,10,14,9,16,36,100,48,149,0,0,4,11,18,52,23,63,73,207,3,4,332,965
UCL215085,97,202,4,18,17,78,3,12,94,383,116,496,10,35,7,26,39,117,51,182,170,676,0,0,4,10,0,3,15,35,20,59,3,6,0,0,14,34,18,42,43,106,0,8,319,988
UCL215086,415,834,10,39,36,196,8,46,248,974,296,1252,12,50,25,89,64,190,103,334,404,1584,8,35,21,77,12,27,78,206,110,341,12,30,23,51,54,120,86,200,205,547,16,32,1032,2990
UCL215087,180,360,6,41,22,95,13,58,117,489,158,683,9,35,8,38,64,199,78,273,239,956,0,0,0,7,0,10,16,39,19,56,3,11,10,11,18,35,21,62,46,118,4,13,468,1442
UCL215088,209,413,0,0,8,47,5,22,75,293,90,362,11,42,16,51,27,75,50,164,143,529,3,14,10,22,7,14,46,117,61,173,4,13,10,23,31,76,47,115,112,282,9,14,466,1237
UCL215089,290,567,3,14,16,77,5,23,87,350,109,461,3,11,10,23,32,102,43,138,154,598,0,0,9,33,7,15,45,126,59,174,4,13,9,23,36,77,50,113,106,289,15,21,558,1481
UCL215090,254,496,3,17,16,55,9,33,141,513,160,612,10,39,10,32,43,121,58,190,218,800,0,0,4,26,5,7,34,82,38,120,0,3,10,17,36,74,47,99,87,218,3,8,562,1529
UCL215091,174,348,5,26,27,137,3,11,89,361,129,535,21,102,26,99,66,235,121,434,242,970,0,0,0,3,5,9,9,12,8,24,0,3,6,15,10,21,18,39,27,63,5,8,445,1388
UCL215092,522,1051,3,25,53,239,8,38,355,1383,421,1682,13,61,52,175,72,216,135,451,559,2136,0,4,30,76,5,16,87,217,119,312,8,30,32,61,78,170,121,263,236,577,12,20,1331,3780
UCL215093,413,827,14,84,45,217,7,53,335,1312,403,1665,24,107,23,65,103,331,148,505,552,2169,0,12,16,61,5,20,72,188,98,281,15,51,13,32,73,167,105,249,200,529,14,36,1186,3554
UCL215094,115,231,0,7,11,45,0,17,62,266,81,331,7,28,15,53,20,80,48,162,128,496,0,0,0,4,0,4,22,56,21,63,0,0,3,11,15,38,20,46,39,110,0,5,282,840
UCL215095,117,237,0,3,9,40,4,28,67,264,81,334,8,24,9,17,21,78,34,117,115,455,0,0,4,15,0,3,22,50,26,74,0,0,6,10,26,54,25,64,51,136,3,4,289,837
UCL215096,267,528,0,9,31,140,10,49,184,701,223,904,12,67,14,50,70,225,103,344,327,1246,0,5,6,35,6,14,31,63,42,116,5,30,13,19,42,90,57,134,98,248,8,16,700,2040
UCL215097,331,661,6,35,39,199,8,45,198,754,254,1033,20,79,17,57,75,254,111,385,360,1416,5,12,6,30,7,22,71,178,88,245,5,21,6,24,56,122,72,165,164,409,6,17,864,2507
UCL215098,197,400,4,26,13,56,9,31,85,334,108,437,4,16,8,14,26,81,31,112,144,546,0,6,4,19,0,0,26,70,28,96,3,11,5,11,15,32,26,57,52,145,4,15,397,1106
UCL215099,210,419,4,12,19,69,0,14,53,223,76,316,4,10,12,40,31,93,45,136,116,459,0,0,5,19,3,7,38,94,43,126,6,21,5,4,39,81,45,110,93,237,10,22,430,1136
UCL215100,144,286,5,10,3,32,0,13,51,200,61,253,3,28,5,4,22,74,36,110,96,365,0,3,7,43,0,4,22,62,40,109,4,6,3,12,24,57,39,78,72,184,3,8,313,843
UCL221001,84,162,0,9,5,24,3,17,48,199,57,258,10,26,4,8,19,58,27,99,89,356,0,0,6,11,0,0,13,33,19,45,0,3,0,3,7,16,9,22,29,69,0,3,205,591
UCL221002,121,242,0,0,5,32,4,15,41,159,53,208,6,25,5,20,24,66,36,110,87,315,4,10,3,11,0,0,16,49,24,61,3,5,0,0,17,36,23,42,41,106,5,4,251,673
UCL221003,67,133,4,12,3,11,0,4,49,180,51,204,0,15,0,0,16,39,19,63,71,269,0,0,0,0,0,0,6,14,6,14,0,0,4,5,3,12,8,21,11,33,0,3,146,432
UCL221004,102,201,5,16,23,125,3,18,85,366,116,527,14,53,26,102,32,106,74,255,185,782,0,0,0,0,6,7,9,16,9,23,0,3,3,7,8,12,12,24,19,45,0,7,306,1036
UCL221005,78,156,6,12,4,15,0,4,33,150,40,180,5,9,9,32,16,47,29,77,68,264,0,4,0,0,0,0,12,31,10,37,0,0,0,3,12,21,9,26,23,60,0,6,168,483
UCL221006,77,154,0,3,8,27,0,4,47,181,54,220,6,21,0,9,12,30,17,63,72,282,0,4,0,11,0,0,5,26,12,33,0,0,0,0,8,15,7,17,15,55,0,0,164,485
UCL221007,62,124,0,3,9,39,0,8,21,100,33,153,4,12,0,3,5,24,11,39,47,187,0,0,0,3,0,6,12,23,13,31,0,0,0,4,10,19,16,22,23,51,0,6,134,364
UCL221008,96,185,0,7,4,22,0,0,36,139,43,167,0,9,0,9,5,19,12,33,53,201,0,3,0,10,0,0,10,35,16,52,0,0,0,6,15,24,14,30,27,86,4,3,183,473
UCL221009,72,144,3,18,6,30,4,14,30,126,42,185,3,11,4,22,7,25,17,57,65,242,0,7,6,12,0,3,9,32,14,57,0,7,3,0,9,20,11,24,28,78,0,0,164,470
UCL221010,62,117,0,0,0,5,7,24,37,143,45,175,0,7,3,11,15,42,23,58,66,235,0,0,0,0,4,10,16,35,25,46,0,3,3,10,5,10,15,22,34,69,4,4,161,431
UCL221011,66,133,7,31,11,54,0,14,34,147,53,246,6,35,11,31,18,52,33,120,91,362,0,0,0,0,0,0,7,25,10,25,0,0,3,8,3,11,7,14,13,39,0,4,177,540
UCL221012,62,121,0,0,9,46,3,14,33,125,45,186,4,23,6,14,14,33,20,69,63,256,0,3,3,9,0,0,9,19,15,32,0,0,0,8,4,10,10,13,17,52,0,3,147,426
UCL221013,67,131,0,3,7,26,0,15,36,139,45,189,0,3,3,19,20,71,28,87,73,280,0,0,0,0,0,0,15,40,15,40,3,4,0,0,6,18,8,28,23,62,3,3,163,483
UCL221014,142,281,0,0,9,50,3,20,38,154,57,222,8,29,8,13,25,77,37,120,94,341,0,0,3,7,0,3,9,16,15,30,0,3,3,3,10,26,14,31,28,61,0,0,264,689
UCL221015,91,182,0,3,7,26,5,14,27,95,31,138,0,11,7,18,7,32,17,59,49,199,0,0,0,0,0,0,4,6,4,6,0,4,0,0,4,10,3,16,9,13,0,3,149,391
UCL221016,63,134,5,30,16,73,11,34,98,409,125,544,6,24,10,26,13,44,29,97,154,646,0,0,4,12,0,0,12,40,17,60,0,11,0,9,4,17,17,31,32,88,0,0,254,866
UCL221017,107,225,4,17,11,41,4,20,48,217,67,292,4,19,6,19,24,83,38,117,101,409,0,0,4,8,0,4,18,42,19,51,0,0,0,0,15,32,15,32,32,83,3,6,246,720
UCL221018,150,294,0,5,8,38,0,0,28,121,39,162,4,15,8,19,14,55,24,83,59,245,0,0,0,5,6,13,14,29,18,45,0,4,5,8,16,36,23,46,36,87,9,20,259,642
UCL221019,129,256,0,0,4,24,0,0,36,144,42,171,0,0,5,8,15,53,20,62,65,230,0,7,0,0,4,14,21,50,30,67,3,11,4,13,17,44,28,64,52,137,10,12,256,637
UCL221020,108,218,0,0,0,13,0,0,27,110,27,128,3,15,3,10,21,59,24,79,53,208,0,0,0,5,4,13,12,45,19,53,4,9,0,3,24,48,31,58,46,114,4,6,217,541
UCL221021,91,179,0,4,5,26,3,8,50,180,53,213,0,4,3,9,9,40,13,50,72,264,0,0,0,0,6,15,19,48,21,66,0,0,0,3,6,19,9,24,35,87,0,6,196,539
UCL221022,67,139,0,8,15,47,0,0,27,113,43,166,5,7,0,4,8,20,10,34,53,200,0,0,0,3,0,0,3,9,8,16,0,0,3,7,7,12,7,17,17,35,0,0,138,376
UCL221023,81,157,0,0,0,6,0,12,19,74,20,89,0,0,5,13,9,34,14,47,38,132,0,0,0,3,0,6,18,54,22,63,0,4,3,8,21,38,25,55,46,117,5,8,168,419
UCL221024,204,402,7,15,5,26,3,13,27,114,42,166,0,0,7,21,16,53,23,77,62,243,0,0,3,15,0,0,11,24,15,40,0,0,0,3,21,46,24,49,41,86,3,5,310,738
UCL221025,90,175,0,0,0,8,0,6,36,132,33,146,0,4,0,8,8,30,10,32,44,175,0,0,4,6,4,5,6,18,11,26,0,6,0,4,11,30,19,36,22,59,5,8,164,425
UCL221026,93,182,0,9,4,12,3,6,22,79,27,114,0,0,4,14,4,10,7,23,32,131,0,0,5,16,0,4,10,25,13,43,0,6,0,6,19,30,19,43,34,87,5,7,163,409
UCL221027,98,193,0,0,6,7,4,15,33,133,37,158,0,0,3,7,15,41,15,42,54,203,0,8,0,3,0,0,19,52,23,58,0,0,3,6,19,37,23,37,42,99,0,9,190,498
UCL221028,149,293,0,0,5,20,0,8,19,83,25,106,0,4,6,29,15,54,26,86,52,192,0,0,0,0,0,0,6,13,10,21,0,0,4,14,3,11,12,20,19,46,0,9,221,538
UCL221029,76,159,3,13,7,49,0,5,57,231,70,293,3,21,10,21,21,64,33,111,104,401,0,0,3,10,0,0,5,19,7,26,0,0,0,0,11,22,9,24,19,52,0,0,204,612
UCL221030,105,215,0,0,0,0,0,0,9,35,9,35,0,4,0,3,9,28,7,36,19,66,0,0,0,3,0,0,6,7,7,9,0,0,0,0,8,11,8,11,12,21,6,15,141,310
UCL221031,67,132,0,0,8,42,4,8,49,191,56,236,0,7,11,29,15,43,23,77,77,315,0,0,0,0,0,4,10,28,9,31,0,4,0,4,7,18,14,22,21,57,0,5,172,513
UCL221032,66,134,5,6,5,19,3,10,33,122,44,162,4,12,0,4,11,45,20,61,60,229,0,0,5,11,0,5,16,40,20,63,3,5,0,7,6,12,14,25,31,82,0,5,163,449
UCL221033,90,183,0,6,3,12,0,0,17,57,20,76,0,0,0,8,7,25,15,37,28,109,0,0,0,0,0,3,10,22,8,20,0,0,0,4,5,14,7,19,12,35,5,6,139,336
UCL221034,70,140,0,18,22,98,12,45,81,330,114,491,11,50,11,48,30,88,52,187,167,674,0,3,0,0,0,7,3,19,8,27,0,3,0,0,3,6,4,9,10,34,5,5,253,855
UCL221035,91,187,0,8,7,30,0,6,33,130,41,166,3,10,5,13,13,44,20,63,58,233,0,0,0,11,0,0,8,31,8,40,0,4,0,4,19,38,21,49,32,87,3,8,185,507
UCL221036,82,169,5,14,9,60,4,11,57,221,76,303,13,43,13,32,22,60,41,139,113,445,0,0,0,4,0,3,9,19,9,24,0,0,9,6,6,12,9,23,22,46,0,4,216,664
UCL221037,99,201,3,6,7,34,0,0,23,106,39,143,4,13,4,11,13,33,18,59,51,200,0,0,0,5,3,9,13,26,13,44,0,8,0,0,17,32,15,35,28,77,6,4,186,488
UCL221038,88,176,3,17,8,35,4,17,65,270,82,338,10,25,4,24,31,104,51,155,130,490,0,0,6,21,0,0,6,19,12,38,0,5,5,8,17,32,22,45,29,78,0,0,251,746
UCL221039,90,181,0,0,8,45,0,3,43,164,53,211,5,11,4,5,17,56,21,74,74,286,0,0,0,3,6,10,7,18,14,32,0,0,0,0,12,21,16,27,27,60,4,13,193,542
UCL221040,98,196,0,15,10,40,3,16,26,88,38,157,4,12,5,17,13,38,18,62,56,225,0,0,3,6,4,8,13,31,14,40,4,7,0,11,15,21,20,41,29,76,0,0,190,505
UCL221041,73,145,0,16,11,41,3,18,48,199,62,271,3,11,6,22,14,53,28,89,90,358,0,0,0,3,0,0,9,23,10,29,0,3,0,3,4,16,9,19,20,53,0,3,188,553
UCL221042,86,164,0,0,3,8,3,7,24,110,27,133,0,6,0,6,11,37,14,48,44,177,0,0,0,8,0,0,5,17,11,22,0,4,3,4,8,7,10,24,14,44,0,5,149,393
UCL221043,199,390,0,0,6,20,0,5,12,37,14,63,0,7,0,4,4,15,6,34,29,92,0,0,5,8,0,5,5,18,10,27,0,0,0,8,22,47,25,49,38,78,3,17,264,578
UCL221044,179,358,0,0,6,27,0,5,46,178,53,217,0,7,6,13,20,52,24,72,81,291,0,0,0,7,0,0,5,20,10,24,0,0,4,13,19,37,25,49,30,68,0,0,291,721
UCL221045,106,206,0,0,7,32,0,6,57,219,69,252,0,8,7,20,11,34,16,70,85,321,0,0,4,6,0,0,13,22,13,32,4,6,0,0,7,11,9,15,17,51,0,3,206,581
UCL221046,135,281,9,36,17,76,3,24,187,717,212,852,3,21,11,43,14,46,34,114,243,968,0,0,7,10,0,8,19,52,20,70,0,0,0,5,10,27,13,30,33,97,5,9,420,1349
UCL221047,67,136,6,30,15,66,6,17,40,160,67,281,6,22,7,24,24,74,31,116,99,399,0,0,0,5,0,0,4,3,4,10,0,3,6,10,8,11,9,25,15,31,0,0,175,564
UCL221048,71,136,0,0,7,24,0,0,27,110,34,136,3,14,6,7,4,25,17,46,43,183,0,0,3,8,0,6,5,23,11,38,3,9,0,0,15,21,15,35,24,67,3,8,144,400
UCL221049,73,144,0,0,17,74,0,4,66,267,85,347,5,26,7,31,18,62,35,121,117,463,0,0,6,6,0,0,7,20,11,27,0,0,0,0,3,4,3,4,9,27,0,0,201,637
UCL221050,102,201,4,13,9,42,0,7,34,132,46,199,0,9,9,17,12,39,21,66,69,263,0,5,3,9,0,0,8,29,14,44,0,0,7,10,12,20,14,32,27,73,0,0,200,536
UCL221051,96,189,0,0,8,36,3,12,41,146,46,193,3,7,5,27,17,46,24,87,73,275,0,3,6,27,5,11,14,40,26,80,0,0,0,4,12,26,17,31,42,107,5,4,206,578
UCL221052,51,103,0,0,4,28,4,14,30,127,38,174,3,17,4,15,17,47,20,77,61,256,0,0,0,0,0,3,9,35,9,35,0,0,0,0,10,25,14,29,24,61,3,12,140,432
UCL221053,171,334,3,10,8,25,4,8,31,110,37,152,0,5,4,14,16,52,22,67,59,217,0,0,0,9,0,0,10,21,10,32,0,5,0,0,3,13,11,20,21,52,0,7,248,604
UCL221054,76,150,0,0,9,36,0,0,41,156,46,194,0,3,4,20,13,33,19,62,67,250,0,0,8,18,3,4,10,21,21,44,6,11,5,5,10,20,11,31,32,79,3,0,175,484
UCL221055,52,93,0,7,15,72,3,11,72,295,92,378,9,23,3,8,16,56,26,88,118,468,0,0,0,3,0,0,5,11,8,19,0,0,0,0,7,14,7,14,9,33,0,0,178,598
UCL221056,53,100,0,8,5,22,0,0,16,84,24,108,0,5,0,4,6,26,12,32,31,137,0,0,3,8,6,8,12,37,19,58,0,7,0,3,6,14,10,25,27,79,3,12,118,327
UCL221057,71,141,0,14,6,39,3,23,58,240,76,313,3,9,4,21,32,90,37,120,113,442,0,0,0,7,0,0,15,46,18,48,0,9,0,4,3,13,7,20,28,68,4,6,212,658
UCL221058,63,127,0,0,13,54,0,0,42,167,51,222,0,4,6,13,10,34,13,48,67,269,0,0,0,0,0,0,7,11,5,11,0,0,0,0,7,15,7,15,13,23,0,0,142,420
UCL221059,104,203,0,5,8,29,0,3,54,217,65,257,0,7,7,23,14,37,20,68,90,322,0,0,4,17,0,0,8,11,5,30,0,6,0,3,11,27,16,34,20,61,4,5,211,593
UCL221060,141,285,0,0,0,0,0,3,10,38,11,40,0,0,0,14,13,42,17,58,26,93,0,0,0,6,0,0,5,6,6,9,0,0,0,0,6,13,6,13,11,26,4,4,184,410
UCL221061,147,289,0,7,3,21,0,7,22,82,30,109,0,11,4,17,10,32,20,63,50,174,0,0,0,3,0,0,7,13,7,19,0,0,4,5,6,14,7,20,15,36,0,3,215,505
UCL221062,128,258,0,0,11,43,0,4,35,140,42,184,5,11,0,0,15,47,18,60,62,241,0,0,0,0,0,3,15,39,18,47,4,9,5,10,16,38,27,58,42,101,3,6,237,611
UCL221063,79,157,0,5,7,33,0,5,20,81,34,121,0,4,5,15,4,14,9,39,41,155,0,0,0,0,0,0,17,44,19,45,0,0,0,4,7,12,7,17,28,63,3,13,143,388
UCL221064,64,136,0,22,13,46,6,14,61,235,80,321,5,19,0,4,12,38,20,63,98,391,0,0,0,4,0,0,5,14,3,21,0,4,5,8,15,30,18,40,20,62,0,0,193,582
UCL221065,96,188,0,0,10,30,0,0,26,105,31,134,3,6,0,5,7,24,12,34,43,165,0,0,0,0,0,0,3,3,3,3,0,0,0,3,4,9,7,9,9,9,0,0,146,366
UCL221066,79,159,5,26,11,44,3,8,54,206,66,286,4,18,8,20,16,45,27,89,98,374,0,0,0,0,0,4,10,34,11,39,0,0,0,4,11,21,13,25,25,61,4,11,207,607
UCL221067,54,109,0,14,7,39,4,9,35,157,50,218,0,10,0,9,10,29,17,53,68,268,0,0,0,0,0,7,8,25,8,39,5,8,0,7,11,15,14,27,24,65,4,7,150,454
UCL221068,41,71,0,0,13,48,0,4,30,120,42,173,0,0,0,0,14,36,12,40,57,213,4,20,0,4,0,12,19,42,20,73,0,0,0,7,7,24,11,24,35,98,4,8,128,393
UCL221069,112,221,0,3,12,54,3,12,55,212,70,286,0,0,11,30,13,31,20,66,94,350,0,0,3,13,0,8,16,45,21,67,0,0,4,11,23,51,32,61,55,126,4,6,256,700
UCL221070,136,271,4,19,5,39,0,4,50,210,64,268,0,10,9,15,11,30,19,56,82,324,0,0,5,10,4,9,12,40,19,58,3,9,0,0,18,28,18,37,40,95,4,3,262,696
UCL221071,110,215,0,8,10,62,0,0,30,135,48,208,3,15,10,25,15,40,28,75,73,276,0,0,5,13,0,4,13,40,17,56,0,0,5,10,16,42,19,48,37,105,4,7,221,608
UCL221072,64,127,0,4,0,6,0,3,32,132,41,153,0,3,6,10,11,29,15,47,57,201,0,0,0,0,0,3,7,34,14,40,0,3,0,5,12,20,9,22,21,60,0,0,141,392
UCL221073,56,106,4,8,6,49,0,3,36,151,49,214,10,25,14,40,7,36,30,106,80,318,0,0,0,0,0,0,3,9,3,9,0,5,0,4,4,6,4,19,9,21,0,0,143,448
UCL221074,144,281,0,0,0,11,0,13,37,150,43,173,0,3,8,23,15,44,21,70,61,242,0,0,3,6,0,0,8,12,10,25,0,3,0,0,11,20,11,25,19,46,3,6,231,584
UCL221075,142,290,0,4,11,32,0,0,34,144,43,181,0,0,7,28,8,25,18,53,63,235,0,0,3,4,0,0,12,28,9,31,0,0,5,12,7,23,16,34,28,70,0,0,231,591
UCL221076,157,297,0,3,6,25,0,5,32,115,35,154,0,0,3,12,12,30,11,43,54,195,0,0,0,3,0,5,12,29,14,30,0,6,5,9,15,21,19,32,27,70,0,4,237,567
UCL221077,83,169,0,0,6,12,0,0,26,118,28,130,3,9,3,17,7,20,12,46,46,176,0,0,0,0,5,6,9,23,16,31,0,4,3,10,15,36,24,42,33,75,6,9,167,430
UCL221078,75,143,0,0,6,27,0,5,37,138,46,178,0,8,8,16,16,51,25,74,68,253,0,0,0,5,0,0,3,3,7,11,0,0,3,4,6,17,12,24,13,33,3,4,160,433
UCL221079,88,180,0,3,9,20,0,11,21,74,23,112,0,7,4,9,7,17,9,33,38,151,0,0,0,3,0,4,9,33,10,38,0,0,0,3,13,35,13,37,25,78,3,4,157,416
UCL221080,85,179,0,13,10,33,0,0,21,98,34,142,0,0,8,22,9,35,18,55,50,197,0,0,0,0,0,0,9,15,9,15,0,4,7,11,13,24,19,40,23,53,0,0,162,431
UCL221081,77,147,0,5,7,38,0,3,20,81,34,136,0,0,0,0,10,30,10,30,42,166,0,0,5,11,0,0,6,13,10,27,0,0,3,7,9,28,18,33,23,61,0,3,144,374
UCL221082,93,184,0,6,9,47,3,12,57,218,72,286,13,34,10,34,14,47,33,117,105,402,0,0,0,12,0,3,12,36,15,46,0,3,0,3,9,25,14,29,29,77,0,7,233,666
UCL221083,151,296,0,0,11,57,0,8,61,250,76,313,6,30,6,18,15,39,27,84,108,400,0,0,0,5,0,4,25,55,26,67,0,5,3,16,9,15,13,31,42,98,0,5,296,798
UCL221084,91,177,0,11,18,70,0,7,62,227,78,309,3,9,7,25,17,65,28,98,110,411,0,0,0,7,0,9,15,38,20,48,0,0,0,0,14,23,11,24,29,76,0,0,229,665
UCL222001,45,90,0,13,6,29,3,6,9,44,19,96,0,6,5,18,12,41,17,58,37,155,0,0,0,0,0,0,4,7,4,7,0,0,0,6,0,0,4,3,4,15,0,0,90,258
UCL222002,60,122,0,0,10,59,3,12,23,96,41,158,6,4,3,10,4,18,13,43,51,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,8,9,12,3,8,124,341
UCL222003,31,59,5,13,5,14,0,6,30,119,38,154,0,9,0,0,13,34,16,40,47,191,0,0,0,0,0,0,9,20,8,19,0,0,0,0,0,3,0,3,11,25,3,3,95,278
UCL222004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL222005,30,57,0,0,5,11,3,12,16,51,18,72,0,0,3,13,0,0,6,18,25,87,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,7,3,7,4,12,0,0,60,159
UCL222006,58,110,0,3,3,10,3,8,28,110,37,135,0,3,4,13,9,36,17,54,48,189,0,0,0,6,0,0,0,5,4,9,0,0,0,0,4,7,3,14,9,19,0,0,114,321
UCL222007,36,72,0,0,0,11,0,9,8,36,13,56,0,0,0,7,3,10,10,19,20,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,3,10,3,10,0,0,63,156
UCL222008,43,83,0,0,0,12,0,3,21,81,24,90,5,11,0,4,3,9,9,22,28,113,0,0,0,0,5,8,3,19,8,27,0,0,6,11,6,16,9,28,19,53,0,0,92,254
