UCL_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
UCL214015,17,13,12,0,4,0,0,60,22,17,19,9,3,0,0,67,24,21,9,8,6,0,0,66,171,209,119,85,107,33,5,730,3,5,4,3,3,0,0,14,240,266,162,97,126,38,5,932,0,6,0,6,0,3,0,14,0,14,0,3,3,0,0,21,0,9,8,3,4,0,0,21,28,63,36,28,49,7,0,222,4,0,3,0,3,0,0,11,34,88,48,38,58,13,0,285,275,356,208,140,186,51,8,1222
UCL214016,15,11,4,0,4,3,0,46,14,9,3,3,4,0,0,30,7,9,9,7,0,0,0,21,177,165,119,95,115,24,10,698,4,3,5,0,0,0,0,7,218,194,144,110,126,21,10,810,0,0,4,0,0,0,0,8,7,8,0,4,8,0,0,29,0,0,0,0,0,0,0,13,88,127,80,67,54,12,3,422,3,8,4,3,0,0,0,19,96,147,88,72,59,12,3,485,313,340,226,177,190,37,13,1293
UCL214017,3,5,7,4,0,0,0,21,12,14,10,3,10,0,0,61,11,17,9,4,0,3,0,46,126,147,66,53,66,25,12,502,0,0,0,0,0,0,0,3,153,181,98,67,82,34,15,631,0,0,0,0,0,0,0,9,0,0,8,0,9,0,0,15,0,0,0,3,0,0,0,8,8,14,18,11,15,7,4,74,3,0,0,0,0,0,0,0,10,15,22,12,25,5,7,103,159,197,121,78,106,40,26,733
UCL214018,19,12,7,5,8,7,4,63,24,21,19,9,4,0,0,82,17,18,8,10,8,3,5,56,151,175,127,83,81,24,10,646,6,3,5,4,0,0,0,12,213,230,160,98,102,34,14,858,0,0,0,0,0,0,0,0,7,10,4,8,4,0,0,28,0,3,6,0,0,0,0,8,33,58,24,23,32,10,4,183,0,0,0,0,0,0,0,6,45,68,33,31,37,11,4,228,258,297,198,134,140,47,16,1089
UCL214019,18,18,9,9,8,0,0,63,0,3,0,0,3,0,0,16,11,10,4,5,0,0,0,37,121,140,85,56,67,22,3,498,3,0,0,0,0,0,0,3,158,170,102,73,80,29,12,617,0,4,0,0,3,0,0,10,10,4,4,4,4,0,0,22,0,7,0,0,0,0,0,9,68,84,60,40,45,16,4,323,0,7,4,0,0,0,0,12,71,107,71,54,55,16,3,382,228,279,174,122,134,43,13,996
UCL214020,27,27,14,3,12,7,6,86,9,7,0,0,3,0,0,19,17,9,6,4,0,0,0,31,152,148,87,68,66,16,3,541,0,0,0,0,0,0,0,3,199,188,101,79,81,15,5,675,5,8,0,4,0,0,0,17,4,6,4,0,3,0,0,15,0,0,0,0,0,0,0,3,47,72,37,31,32,4,0,228,0,3,0,6,0,0,0,7,58,86,39,37,38,4,0,269,253,271,147,123,121,24,10,947
UCL214021,3,12,9,8,13,5,3,50,12,14,9,7,10,3,0,49,7,9,10,6,10,3,0,52,255,237,145,86,113,42,23,905,0,0,0,0,0,0,0,0,281,273,177,99,145,57,29,1058,0,0,3,0,3,0,3,13,0,5,3,0,3,0,0,18,0,4,4,3,10,3,0,22,17,57,47,28,50,11,8,216,0,0,0,3,4,0,0,4,28,66,55,35,71,17,8,276,305,343,233,138,213,76,35,1338
UCL214022,36,24,9,4,3,0,0,85,9,8,7,11,8,4,0,52,16,22,10,0,10,4,0,54,181,194,135,90,98,31,7,739,0,0,0,0,0,0,0,5,248,252,160,109,124,40,6,940,0,6,3,0,3,0,0,17,6,9,3,15,0,0,0,36,0,3,0,4,3,3,0,14,64,109,72,48,58,19,4,375,0,10,3,3,4,0,0,22,74,134,86,71,68,21,6,466,322,378,246,185,190,58,17,1405
UCL215001,4,5,3,0,3,0,0,15,3,3,0,0,7,0,0,16,8,7,3,0,3,6,0,19,23,24,13,20,19,12,4,112,0,0,0,0,0,0,0,0,41,37,20,19,27,15,8,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,5,9,4,11,0,0,31,0,0,0,0,0,0,0,0,0,7,15,4,11,0,3,38,41,45,33,22,32,19,6,193
UCL215002,4,3,5,4,3,0,0,23,0,3,5,0,0,0,0,11,3,3,0,4,0,0,0,9,84,73,39,27,43,9,5,277,0,0,0,0,0,0,0,0,95,79,55,31,50,9,5,322,0,0,0,0,3,0,0,3,0,0,3,4,0,0,0,12,0,0,0,0,0,0,0,0,14,19,18,7,15,4,0,82,0,0,0,0,0,0,0,0,20,18,25,12,17,4,0,92,112,95,77,44,68,10,3,418
UCL215003,5,0,3,0,0,0,0,14,11,17,5,5,0,6,0,43,29,17,8,0,4,0,0,59,84,88,49,39,44,22,11,340,0,0,0,3,0,0,0,9,132,127,67,47,51,24,12,457,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,10,0,0,0,0,0,0,0,0,7,5,3,5,13,3,0,40,0,0,0,0,0,0,0,4,7,10,8,12,9,9,0,64,140,136,79,60,62,31,15,518
UCL215004,0,6,0,5,4,0,0,20,4,0,7,0,3,0,0,13,8,8,9,0,0,0,0,30,23,19,14,17,21,3,0,93,0,0,0,0,0,0,0,0,38,34,24,19,28,6,0,148,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,10,0,0,0,0,0,0,0,3,4,15,0,3,7,0,0,35,0,0,0,0,0,0,0,4,11,13,7,9,14,3,0,56,52,50,33,24,36,7,0,205
UCL215005,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,5,0,0,7,43,39,24,10,16,5,0,137,0,0,0,0,0,0,0,0,43,44,24,13,21,5,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,16,6,7,0,5,51,0,0,0,0,0,0,0,0,8,14,16,8,7,0,5,51,56,51,40,23,27,5,5,196
UCL215006,10,7,0,0,0,0,0,17,7,10,4,10,3,3,0,38,3,4,6,4,0,0,0,17,117,103,51,38,35,11,5,363,0,3,0,0,0,0,0,0,131,127,64,49,44,10,9,439,3,0,0,0,0,0,0,5,3,6,5,0,0,0,0,11,0,3,0,0,0,0,0,6,21,36,17,11,11,4,0,102,0,0,0,0,0,0,0,0,22,43,23,15,15,0,0,122,154,171,90,61,55,13,9,556
UCL215007,10,10,6,6,5,3,0,30,7,18,13,4,4,0,0,45,13,13,3,5,0,5,0,33,88,119,46,38,35,17,6,358,0,0,0,0,0,0,0,0,113,160,72,45,49,20,6,467,0,5,0,0,0,0,0,3,0,0,5,0,6,0,0,4,0,0,4,5,5,0,0,12,4,14,13,7,10,0,0,52,0,0,0,0,0,0,0,6,4,25,18,14,16,3,0,80,121,178,93,62,60,24,6,546
UCL215008,3,12,3,0,0,0,0,19,5,14,13,4,0,0,0,38,3,6,5,0,5,0,0,25,115,121,82,63,65,11,6,449,0,0,4,0,0,0,0,3,131,146,104,71,78,9,0,531,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,8,15,9,5,4,3,0,52,0,0,0,0,0,0,0,0,8,17,10,12,8,3,0,56,139,161,115,76,85,17,3,590
UCL215009,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,27,33,14,4,15,0,5,101,0,0,0,0,0,0,0,3,31,35,13,4,15,0,5,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,7,5,4,0,0,32,0,0,0,0,0,0,0,4,8,6,10,5,10,0,0,39,39,50,23,10,18,0,5,145
UCL215010,0,5,10,7,3,4,0,24,5,8,9,6,14,5,4,45,3,17,11,4,11,5,0,58,95,129,67,58,84,32,11,477,3,0,0,0,0,0,0,5,118,155,91,77,110,46,14,613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,4,0,0,6,0,0,0,19,0,0,0,0,0,0,0,0,4,8,0,6,6,9,5,27,123,165,96,74,111,52,20,641
UCL215011,0,4,0,0,0,0,0,3,0,4,0,0,0,0,0,7,0,0,0,0,4,0,0,9,21,33,20,6,11,0,0,88,0,0,0,0,0,0,0,3,21,40,23,8,15,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,6,13,14,6,4,0,0,0,37,3,5,0,0,0,0,0,3,19,11,8,4,5,0,0,51,40,54,33,11,14,0,0,163
UCL215012,3,9,5,5,7,0,0,27,10,14,7,6,3,3,0,43,9,14,7,0,6,0,0,45,73,104,64,42,49,10,0,353,0,0,0,0,0,0,0,5,98,147,88,57,71,20,0,477,0,0,0,0,0,0,0,0,3,4,5,0,0,0,0,15,0,3,0,0,0,0,0,3,16,27,20,24,19,5,0,108,0,0,0,0,0,0,0,3,23,39,26,22,19,3,0,129,117,184,111,79,85,20,4,606
UCL215013,140,102,45,23,34,10,8,360,32,19,9,9,9,0,4,78,22,21,17,5,8,5,3,77,236,181,89,58,47,17,4,635,0,0,0,0,0,0,0,0,429,326,157,91,95,37,21,1150,0,14,11,0,6,5,0,38,3,0,4,0,0,0,0,6,0,0,4,0,0,0,0,8,29,38,18,12,15,4,0,113,0,3,0,0,0,0,0,3,35,54,35,14,19,5,0,167,460,379,188,106,119,43,19,1313
UCL215014,0,3,3,0,0,0,0,8,5,3,0,0,0,3,0,13,0,6,3,0,0,0,0,15,75,61,26,25,30,8,0,217,0,0,0,0,0,0,0,0,82,75,25,28,34,12,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,8,6,7,0,6,0,0,36,0,0,0,0,0,0,0,0,9,9,9,0,6,0,0,40,97,83,35,31,33,14,4,296
UCL215015,8,12,6,3,0,3,0,33,3,7,12,14,10,0,0,50,8,12,7,5,5,0,0,39,53,58,36,24,29,3,0,206,0,3,0,0,0,0,0,3,69,95,65,45,46,10,0,337,0,0,4,0,0,0,0,3,0,0,3,0,0,0,0,4,0,5,0,0,4,0,0,6,8,13,11,10,5,4,0,45,0,0,0,0,0,0,0,3,9,21,14,10,12,9,0,71,81,114,79,55,62,17,0,409
UCL215016,3,5,3,0,5,0,0,18,8,17,10,6,6,0,0,50,13,10,7,9,0,3,0,40,173,175,94,56,67,26,3,599,0,0,0,3,0,0,0,4,201,207,117,69,80,34,11,707,3,0,3,0,0,4,0,8,5,8,9,4,5,3,0,25,0,0,0,0,0,0,0,8,33,62,32,21,21,6,0,171,0,0,4,0,0,0,0,7,43,73,41,28,31,8,0,220,237,274,161,88,109,42,8,929
UCL215017,8,3,3,0,3,0,0,21,13,8,8,5,5,0,0,39,10,5,6,3,4,0,0,27,143,134,88,52,71,15,9,512,4,0,0,0,0,0,0,4,172,153,109,68,88,18,11,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22,20,15,9,16,4,0,83,0,0,0,0,0,0,0,4,27,18,15,9,16,4,0,99,201,177,116,75,101,21,14,706
UCL215018,0,0,0,0,0,0,0,10,9,6,0,0,5,0,0,20,0,6,0,3,0,0,0,14,75,92,64,43,46,9,0,320,0,0,0,0,0,0,0,4,91,105,64,51,52,5,0,372,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,10,0,0,0,0,0,0,13,17,22,21,19,13,6,0,92,0,0,0,0,0,0,0,0,24,25,23,22,21,5,0,119,114,132,88,67,68,16,6,488
UCL215019,5,4,0,0,0,4,0,13,10,10,3,0,8,4,0,38,13,6,4,0,4,0,0,26,83,103,37,35,35,12,4,310,0,0,0,0,0,0,0,4,109,127,50,41,47,14,5,393,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,11,0,16,10,6,8,3,0,50,3,0,0,0,0,0,0,0,9,26,17,12,16,3,0,70,117,147,63,48,56,23,5,466
UCL215020,5,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,31,19,14,18,3,0,114,0,0,0,0,0,0,0,0,33,27,22,14,22,3,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14,14,11,4,6,0,0,56,0,0,0,0,0,0,0,0,12,14,11,7,6,0,0,57,48,43,34,26,28,3,4,185
UCL215021,0,0,0,0,0,0,0,8,0,3,4,3,6,6,0,22,3,0,0,0,0,3,0,10,32,32,33,23,23,0,0,146,0,0,0,0,0,0,0,0,39,42,36,27,29,3,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,7,3,3,0,0,28,0,0,0,0,0,0,0,0,9,3,6,3,3,0,4,26,43,47,41,33,37,6,9,207
UCL215022,6,5,14,5,0,0,3,39,11,4,0,7,4,3,0,31,5,10,7,6,8,0,0,36,159,131,73,53,49,7,0,469,0,0,0,0,0,0,0,6,186,158,93,64,62,18,4,587,0,0,0,0,0,0,0,11,4,4,5,5,4,3,0,18,4,7,0,0,3,0,0,16,52,85,63,29,45,6,0,278,5,0,5,0,0,0,0,11,63,99,73,37,48,10,6,336,250,257,162,105,111,27,7,919
UCL215023,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,12,0,3,0,0,0,0,0,9,36,52,22,31,36,5,0,181,0,0,0,0,0,0,0,0,41,54,24,31,36,5,0,197,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,14,22,15,12,7,0,0,72,0,0,0,0,0,0,0,0,14,24,16,13,12,0,0,80,54,80,44,49,46,8,0,282
UCL215024,3,5,4,6,5,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,58,39,20,30,4,4,205,0,0,0,0,0,0,0,0,60,65,47,23,34,4,4,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,17,14,6,6,5,0,0,53,0,0,0,0,0,0,0,3,17,14,6,9,7,0,0,55,79,84,49,30,42,4,4,282
UCL215025,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,0,0,3,6,0,0,13,31,28,16,13,10,0,0,98,0,0,0,0,0,0,0,0,32,37,20,19,11,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,7,11,8,10,7,0,0,40,0,0,0,0,0,0,0,0,11,11,6,7,8,0,0,53,44,47,30,29,25,0,0,168
UCL215026,0,0,0,0,0,0,0,4,5,8,0,0,0,0,0,13,6,4,0,0,0,0,0,15,29,30,7,8,12,0,0,75,0,0,0,0,0,0,0,0,35,35,14,5,12,0,0,106,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,14,6,7,7,12,0,0,46,0,0,0,0,0,0,0,0,14,10,9,4,12,0,0,53,50,54,20,15,23,3,0,164
UCL215027,4,7,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33,33,20,16,11,3,0,117,0,0,0,0,0,0,0,0,40,38,23,15,11,7,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,10,6,11,5,0,44,0,0,0,0,0,0,0,0,8,10,10,6,12,5,0,50,46,46,31,25,24,9,0,185
UCL215028,7,5,5,4,3,0,0,24,3,3,0,6,3,3,0,17,3,7,0,0,0,0,0,14,92,87,51,31,34,5,0,298,0,0,0,0,0,0,0,0,105,96,56,33,45,11,3,354,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,18,24,20,10,19,0,3,94,0,0,0,0,0,0,0,0,18,30,25,14,24,0,3,108,125,129,79,49,66,10,6,462
UCL215029,13,6,4,0,0,0,0,27,0,15,3,0,3,0,0,21,3,8,9,0,0,0,0,26,53,62,44,32,49,9,0,259,0,0,0,0,0,0,0,0,75,89,60,36,54,16,4,334,0,3,0,0,0,0,0,7,4,7,10,8,5,0,0,34,5,6,9,0,0,0,0,13,13,27,12,18,16,0,0,87,0,0,0,0,0,0,0,6,21,46,27,29,25,4,0,155,99,130,89,69,75,16,5,487
UCL215030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,13,37,30,13,10,20,4,0,120,0,0,0,0,0,0,0,0,43,33,18,11,25,4,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,11,15,9,10,10,0,0,54,0,0,0,0,0,0,0,0,14,16,9,13,14,0,0,59,62,49,24,25,37,4,0,195
UCL215031,3,5,3,0,0,0,0,12,0,0,0,0,4,0,0,4,4,0,0,0,0,0,0,4,42,30,27,20,19,4,0,163,0,0,0,0,0,0,0,0,54,37,33,24,27,4,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,4,10,6,0,0,36,0,0,3,0,0,0,0,0,11,15,6,9,4,0,0,43,62,56,35,30,34,4,5,220
UCL215032,4,4,0,0,4,0,3,15,7,0,0,0,0,0,0,7,0,12,0,0,0,0,0,11,84,67,55,37,39,14,4,299,0,0,0,0,0,0,0,3,97,84,61,38,47,14,4,340,0,4,0,0,3,0,0,3,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,34,26,28,22,25,3,0,139,3,0,0,0,0,0,0,3,37,33,30,25,29,3,0,157,135,113,92,64,79,13,4,498
UCL215033,25,17,14,8,16,12,6,91,18,13,8,7,11,5,0,62,17,22,14,10,5,4,0,64,174,205,105,69,76,24,9,660,0,0,0,0,0,0,0,0,234,260,139,88,101,42,10,876,0,0,0,0,0,0,0,6,0,13,5,0,0,0,0,18,0,0,0,0,0,0,0,8,14,27,14,7,12,3,0,68,0,0,0,0,0,0,0,6,16,35,23,4,8,3,0,98,253,296,160,96,112,45,10,973
UCL215034,7,3,5,0,4,0,0,5,3,0,3,4,0,0,0,14,0,0,0,0,0,0,0,0,11,27,14,4,14,5,0,78,0,0,0,0,0,0,0,0,23,32,20,10,17,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,10,3,5,0,0,29,0,0,0,0,0,0,0,0,5,11,12,5,6,0,0,41,30,41,30,16,22,4,0,143
UCL215035,3,0,3,0,0,0,0,10,11,15,6,0,0,0,0,35,9,8,0,4,5,0,0,20,69,106,58,34,37,15,6,318,0,0,0,0,0,0,0,0,93,123,67,41,42,15,6,380,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,9,3,5,4,3,0,36,0,0,0,0,0,0,0,0,3,13,8,5,4,3,0,39,99,136,73,46,52,16,9,424
UCL215036,0,0,3,4,0,0,0,11,0,5,0,0,5,0,0,18,0,5,5,0,0,0,0,6,41,58,33,25,21,6,3,184,0,0,0,0,0,0,0,0,45,66,39,29,31,9,4,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,4,11,12,8,8,8,5,0,55,0,0,0,0,0,0,0,0,8,21,13,7,8,5,0,65,55,82,53,40,38,15,8,287
UCL215037,0,0,3,0,0,0,0,10,7,8,4,0,0,0,0,16,6,0,4,0,0,0,0,7,42,29,11,9,9,3,0,105,0,0,0,0,0,0,0,0,55,36,18,17,8,3,4,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,6,11,12,4,5,3,4,0,48,0,0,0,0,0,0,0,0,17,23,8,8,7,4,0,62,73,58,28,22,12,3,4,196
UCL215038,0,4,5,4,0,0,0,9,3,4,0,0,0,0,0,6,6,6,0,0,0,0,0,10,47,41,14,5,15,0,4,129,0,0,0,0,0,0,0,0,57,48,16,13,13,5,4,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,18,12,6,6,0,0,42,0,5,3,0,0,0,0,9,8,19,14,6,6,0,0,52,67,61,36,12,25,6,4,206
UCL215039,0,0,3,0,3,0,0,8,5,0,0,0,0,0,0,13,3,4,0,0,3,0,0,12,43,51,31,23,32,4,0,175,0,0,0,0,0,0,0,0,49,58,35,23,34,4,0,201,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,12,16,20,7,15,0,0,72,0,5,0,0,0,0,0,4,13,26,23,7,15,0,0,77,61,84,56,25,48,6,0,283
UCL215040,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,7,27,39,25,15,8,0,0,117,0,0,0,0,0,0,0,0,38,46,25,15,13,0,0,132,0,0,4,0,0,0,0,4,3,0,4,3,0,0,0,12,0,0,0,0,0,0,0,3,18,16,7,3,10,3,0,69,0,0,0,0,0,0,0,0,23,26,18,12,12,8,0,87,53,72,47,23,24,4,0,217
UCL215041,5,8,0,3,3,0,0,25,15,0,4,0,0,0,0,14,0,10,9,6,3,0,0,23,111,113,80,54,46,10,0,411,3,0,0,0,0,0,0,3,131,129,86,61,51,7,3,475,0,0,0,0,3,0,0,6,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,41,44,31,24,31,0,0,173,0,0,3,0,0,0,0,11,40,46,40,24,29,0,0,189,177,179,128,86,81,10,3,662
UCL215042,0,0,0,0,4,3,0,7,3,3,8,0,4,0,0,23,7,0,0,0,5,0,0,14,49,55,32,18,22,3,9,181,0,5,0,0,0,0,0,5,59,62,45,19,36,12,9,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,8,6,10,0,0,44,0,0,0,0,0,0,0,0,5,7,8,6,10,0,0,39,66,77,46,31,43,9,7,278
UCL215043,9,13,4,0,5,0,0,34,11,4,7,7,5,0,0,37,16,19,11,3,4,0,0,55,201,202,81,48,52,11,4,597,0,0,0,0,0,0,0,0,234,236,106,60,57,19,4,720,0,0,0,3,0,0,0,7,4,5,8,8,3,0,0,19,3,4,0,0,4,0,0,16,22,45,34,22,24,3,0,144,0,0,0,0,0,0,0,0,26,56,38,32,32,6,0,186,266,292,143,85,96,22,4,906
UCL215044,0,5,0,0,0,0,0,5,6,3,0,3,0,0,0,18,0,5,4,0,0,0,0,11,79,82,50,32,44,10,3,294,0,0,0,0,0,0,0,0,89,88,54,31,47,15,3,327,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,5,0,0,0,5,20,28,14,16,4,0,0,82,0,0,0,0,0,0,0,5,17,30,19,21,8,0,0,93,108,120,67,48,54,15,3,422
UCL215045,7,4,4,0,3,0,0,16,10,14,4,11,7,0,0,50,12,7,6,6,11,0,0,47,134,140,60,43,56,12,5,453,6,0,0,0,0,0,0,9,175,171,77,59,72,21,5,576,0,0,0,0,0,0,0,7,0,7,5,4,0,0,0,15,0,0,0,0,0,0,0,7,39,35,23,27,19,3,4,163,0,3,3,0,0,0,0,10,39,47,29,35,23,3,3,188,215,214,105,88,100,21,15,762
UCL215046,7,4,0,0,0,0,0,13,13,3,6,0,0,0,0,19,7,6,3,4,0,0,0,19,76,78,42,28,29,8,0,265,0,0,0,0,0,0,0,0,95,92,48,33,35,8,4,321,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,21,16,10,9,0,0,62,4,0,6,0,0,0,0,11,5,27,17,8,15,0,0,81,103,119,69,45,53,11,5,404
UCL215047,4,0,0,0,3,3,0,14,6,7,5,3,8,0,0,35,15,5,8,0,0,0,0,30,132,108,44,48,40,16,8,384,0,4,0,0,0,0,0,8,164,130,55,53,53,16,8,470,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,7,10,16,8,12,11,0,0,57,0,0,0,0,0,0,0,0,14,22,12,16,15,0,0,75,174,151,68,62,60,15,8,541
UCL215048,8,5,5,3,5,0,0,28,3,4,0,5,0,0,0,13,3,6,3,3,0,0,0,19,111,71,35,29,28,0,0,275,0,3,0,0,0,0,0,4,132,93,38,32,31,0,0,331,0,3,0,0,3,0,0,5,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,5,29,38,19,15,11,3,6,120,9,7,0,0,0,0,0,12,34,48,24,21,18,3,6,145,167,138,63,55,45,7,3,477
UCL215049,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,3,0,3,0,0,0,10,16,26,17,10,14,6,4,95,0,0,0,0,0,0,0,0,16,38,20,13,18,13,4,116,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,4,4,0,3,0,3,3,3,19,0,0,0,0,0,0,0,0,4,0,4,0,9,3,4,30,23,39,27,14,25,9,9,140
