UCL_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
UCL214019,23,11,13,7,3,0,80,0,15,19,20,18,10,5,0,79,36,71,65,59,65,43,13,13,362,23,75,58,67,92,53,14,0,390,84,183,155,186,182,123,40,12,956,15,20,5,13,7,13,0,0,80,0,7,7,16,6,6,9,3,63,103,210,168,215,196,139,52,16,1096,4,0,3,0,3,4,0,0,15,67,89,74,74,102,94,74,46,627,232,485,406,446,474,346,179,75,2644
UCL214020,21,9,10,6,3,0,77,3,9,14,12,16,14,5,0,68,18,94,71,58,35,53,27,8,368,16,56,48,76,64,53,29,5,356,71,191,143,134,174,124,57,6,899,12,9,6,5,16,12,0,0,57,4,5,7,6,11,12,6,0,54,86,208,152,149,194,145,56,13,1006,0,7,4,0,0,3,3,3,22,42,68,51,60,76,115,115,93,617,176,468,367,365,401,392,237,116,2523
UCL214021,17,31,14,16,3,0,96,0,19,18,11,17,19,3,0,91,25,93,88,64,30,42,10,8,356,27,85,86,89,67,49,12,11,429,91,226,221,235,136,106,43,14,1077,16,13,5,16,5,8,0,0,65,0,5,10,16,11,11,4,3,66,113,245,240,267,150,123,47,25,1204,0,0,0,6,0,0,5,0,15,30,26,30,39,40,53,47,40,303,207,484,484,503,319,295,125,79,2492
UCL214022,28,20,19,16,7,0,112,0,10,14,28,22,31,4,0,125,24,127,106,77,82,91,42,10,564,16,69,86,95,111,116,49,10,547,105,244,230,251,278,237,122,34,1505,7,20,18,16,14,14,4,4,91,9,10,9,10,19,22,9,0,95,122,273,260,274,309,280,138,44,1696,0,0,6,4,4,11,7,0,34,51,77,71,61,96,147,140,67,713,220,584,566,558,646,688,395,138,3792
UCL215001,15,14,42,39,19,0,134,0,4,9,16,23,20,3,0,79,4,43,41,58,99,76,25,3,350,8,6,13,20,32,39,14,5,137,11,14,12,38,47,28,10,5,155,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,6,0,11,8,14,12,36,62,30,16,5,172,0,0,0,0,5,0,0,0,3,9,9,10,23,15,27,13,3,104,35,84,98,168,271,232,85,22,980
UCL215002,10,10,4,11,0,0,45,0,10,7,16,9,15,4,0,55,7,24,45,36,38,46,11,7,208,6,19,35,37,41,52,20,9,214,25,55,75,77,68,70,24,9,410,3,3,0,0,4,9,0,0,23,0,5,0,9,12,9,0,6,35,31,64,73,85,84,86,31,8,470,0,0,0,0,0,3,4,0,10,27,20,15,23,41,30,34,16,199,70,144,189,206,215,230,108,40,1206
UCL215003,53,44,58,53,27,0,266,0,15,20,25,34,28,8,0,134,13,90,119,107,118,147,77,17,682,5,25,35,44,66,98,40,13,325,22,48,48,55,86,70,21,18,370,4,0,0,4,6,6,0,0,23,0,0,4,4,8,11,8,0,41,22,51,46,59,100,87,34,18,423,0,0,0,0,4,12,5,0,19,8,16,21,24,33,62,26,8,204,54,219,297,302,412,487,217,56,2051
UCL215004,10,7,13,10,0,0,61,0,0,4,6,17,12,6,0,46,0,27,28,31,23,27,14,0,155,0,23,17,24,26,30,18,0,132,11,36,44,38,40,38,7,0,224,3,3,0,3,0,0,0,0,13,0,0,0,3,8,6,0,0,15,11,37,52,45,51,47,11,0,248,0,0,0,0,0,0,0,0,3,12,26,16,23,31,35,21,17,175,31,120,132,135,153,159,66,22,818
UCL215005,4,7,0,10,0,0,24,0,4,6,0,5,8,0,0,18,5,10,8,7,13,12,8,0,67,0,7,15,17,10,12,3,4,70,16,32,24,32,32,30,6,3,173,6,5,0,0,0,6,0,0,6,0,0,5,0,3,4,0,0,13,17,36,27,32,37,39,6,7,200,0,0,0,0,0,0,0,0,6,14,6,13,14,15,32,23,8,120,34,63,64,86,80,109,41,20,492
UCL215006,14,15,12,7,4,0,62,0,13,17,11,14,11,3,0,77,6,46,72,38,33,29,6,5,244,10,36,49,40,40,27,16,8,211,28,108,95,76,87,45,21,6,469,7,5,6,0,0,6,0,0,24,0,3,4,5,10,3,0,0,31,33,122,108,86,101,52,24,10,532,0,6,0,0,0,0,0,0,13,9,25,16,19,21,28,26,12,160,59,257,283,206,217,157,78,30,1288
UCL215007,29,17,19,19,12,5,112,0,6,15,24,28,23,10,0,98,10,51,103,80,91,87,50,10,482,5,25,37,44,57,44,31,19,262,19,36,69,62,55,59,25,10,334,0,0,0,4,3,4,0,0,14,0,0,3,6,4,7,9,0,30,18,39,75,70,67,71,38,8,376,0,0,4,0,0,3,8,0,17,10,15,23,27,22,24,25,13,156,38,136,288,268,284,273,163,52,1494
UCL215008,11,11,13,6,0,0,51,0,13,13,11,19,9,5,0,67,5,33,60,46,27,16,10,0,193,6,25,41,53,37,11,0,0,188,32,94,92,80,49,30,4,0,382,3,0,4,5,4,3,0,0,18,0,3,3,10,5,3,0,0,29,37,98,102,91,63,34,4,0,429,0,0,0,0,0,0,0,0,3,11,7,11,5,3,11,8,0,52,55,191,236,228,168,91,17,0,993
UCL215009,0,0,0,0,0,0,3,0,0,3,4,0,0,0,0,11,0,10,11,4,3,9,0,0,41,0,4,12,10,9,4,0,0,40,7,21,29,21,45,28,10,0,163,4,0,4,0,0,0,0,0,7,0,0,0,5,0,6,0,0,7,14,21,35,23,48,31,10,0,183,0,0,0,0,0,0,0,0,0,11,6,13,6,17,27,12,5,99,27,42,75,46,73,75,30,5,371
UCL215010,25,26,16,3,9,0,84,0,8,7,12,12,6,0,0,46,16,32,60,67,51,34,9,0,268,4,20,52,44,38,21,10,0,201,26,56,96,89,78,39,5,3,393,4,3,3,3,4,0,0,0,18,0,0,0,3,7,3,0,0,24,30,55,101,100,89,40,7,3,430,0,0,0,0,0,0,4,0,8,24,7,17,25,20,22,9,5,135,79,123,276,272,232,132,49,15,1173
UCL215011,3,0,6,0,0,0,16,0,3,6,4,6,5,0,0,31,6,7,11,11,3,7,6,3,58,0,6,19,23,18,12,11,0,86,15,30,13,38,41,36,12,3,190,0,7,0,0,0,0,0,0,9,0,0,4,0,0,7,3,0,10,17,30,16,41,42,42,18,3,210,0,0,0,0,0,0,0,0,4,7,6,13,12,15,18,16,11,102,34,61,64,89,91,91,50,16,507
UCL215012,31,39,34,50,5,0,172,6,17,34,35,30,25,11,0,147,3,51,124,129,76,82,24,8,502,3,16,32,50,67,89,40,16,315,21,68,83,97,74,69,31,6,443,4,0,0,0,7,10,3,0,25,7,4,5,8,6,12,5,0,39,29,72,85,104,92,80,40,5,514,0,0,0,5,0,0,0,4,13,26,8,25,28,26,33,44,18,205,66,185,335,386,326,367,159,50,1877
UCL215013,63,17,4,0,0,0,143,3,21,21,16,3,0,0,0,70,22,166,112,49,13,12,0,0,378,18,139,125,55,32,12,0,0,385,49,206,179,97,66,17,3,0,624,3,5,14,9,6,0,0,0,33,7,15,16,8,10,3,0,0,55,60,227,206,114,74,25,3,0,709,0,4,8,4,3,0,0,0,21,28,37,35,35,18,7,4,0,168,126,653,574,295,149,59,9,0,1872
UCL215014,3,4,0,0,0,0,13,0,8,3,7,5,0,0,0,22,3,17,9,9,8,0,4,0,55,0,21,15,12,9,3,0,0,66,30,62,69,62,41,26,14,0,298,3,4,0,0,5,0,0,0,15,0,3,3,4,4,0,5,0,16,30,73,69,63,50,26,11,0,326,0,0,0,0,0,0,0,0,3,4,8,5,13,12,11,3,0,60,43,131,111,110,83,37,29,6,542
UCL215015,18,20,17,14,3,0,88,0,10,14,11,24,12,8,0,76,3,58,97,94,40,47,21,0,355,10,25,28,50,38,52,14,3,233,32,50,50,65,82,57,23,7,366,6,8,6,4,3,6,5,0,30,0,4,0,13,9,13,10,0,47,39,57,56,73,95,74,37,7,438,0,0,0,0,0,8,3,0,19,28,30,17,23,35,25,46,26,241,85,199,238,271,251,229,145,40,1460
UCL215016,16,11,6,0,0,0,50,11,13,6,10,7,5,0,0,57,13,69,55,38,24,20,7,0,230,17,61,62,54,51,30,11,0,289,64,195,153,148,112,83,20,4,779,13,15,6,8,4,3,0,0,48,5,5,12,8,9,6,3,0,49,81,212,165,160,126,92,23,4,872,0,5,0,5,5,6,0,0,15,31,35,41,42,41,30,31,20,261,146,412,346,324,257,187,74,27,1777
UCL215017,13,4,4,5,0,0,47,0,8,7,10,8,5,5,0,42,4,55,52,27,22,20,13,3,195,6,32,38,36,42,9,10,6,187,45,114,127,85,96,45,26,8,541,7,0,10,4,4,0,0,0,26,0,0,11,4,3,3,4,5,33,60,119,137,97,102,45,24,9,594,0,0,7,0,0,0,0,0,7,32,27,17,27,23,20,30,15,184,100,258,270,208,201,100,85,32,1250
UCL215018,9,13,7,12,0,0,52,0,9,8,5,7,15,0,0,46,20,50,42,37,22,33,11,0,219,3,11,18,25,42,40,22,7,177,36,87,85,85,91,58,40,7,490,7,5,8,3,10,4,0,0,31,3,0,3,7,3,7,3,3,26,44,97,97,88,102,69,43,10,550,0,0,0,0,0,5,0,0,5,24,21,12,25,31,46,48,37,253,98,202,189,195,216,221,126,50,1299
UCL215019,9,22,17,10,0,0,77,0,5,12,12,11,10,4,0,57,4,58,70,60,54,34,9,0,286,7,19,42,35,42,29,0,3,178,23,59,74,75,74,55,16,4,378,0,3,4,3,7,0,0,0,23,0,0,0,0,13,5,4,0,26,23,69,84,85,89,61,18,4,428,0,0,0,3,0,4,0,0,15,33,41,38,46,41,41,21,4,275,72,208,261,264,252,186,52,15,1314
UCL215020,4,3,4,0,0,0,18,3,4,4,0,3,4,3,0,18,5,14,7,12,14,17,10,0,86,3,9,9,7,15,19,9,0,75,16,25,29,24,47,30,9,3,202,4,0,3,0,0,3,0,0,18,0,0,0,6,4,4,0,0,18,22,30,34,32,58,38,12,3,231,0,0,0,0,0,0,0,0,6,10,6,5,4,21,34,41,19,140,49,67,61,58,119,117,74,29,573
UCL215021,6,4,7,4,0,0,14,0,3,0,11,0,10,0,0,28,0,9,10,19,24,15,6,0,82,0,11,20,27,18,10,0,0,91,14,42,39,54,42,41,13,0,243,0,4,3,0,6,0,0,0,16,0,3,0,0,0,3,0,0,13,20,49,43,55,47,46,16,0,276,0,0,0,0,0,0,0,0,6,7,7,8,23,18,14,15,0,103,27,84,91,136,116,97,42,9,593
UCL215022,21,11,22,10,0,0,86,0,11,19,14,15,11,4,0,70,37,86,45,36,48,34,7,0,288,22,51,51,44,63,53,20,0,300,75,181,141,121,143,110,53,7,836,13,14,8,6,7,3,6,0,60,4,6,12,11,15,10,7,0,60,95,202,162,138,158,126,67,8,954,0,0,0,0,5,0,4,0,8,108,57,59,45,47,49,30,12,413,267,426,357,286,350,274,134,22,2118
UCL215023,0,3,0,0,0,0,10,0,4,3,0,0,5,0,0,15,0,9,8,20,18,10,8,0,68,0,15,9,20,16,13,8,3,81,31,53,35,62,53,36,13,6,288,5,5,0,6,5,0,0,0,15,0,0,0,0,0,6,0,0,18,33,57,38,72,56,37,23,10,322,0,0,0,0,0,0,0,0,4,13,3,6,11,12,12,32,16,117,50,90,65,123,107,80,68,27,612
UCL215024,10,6,8,0,0,0,19,0,3,8,5,0,5,5,0,28,5,21,24,17,18,23,11,0,99,0,10,19,28,15,25,10,4,108,14,41,46,48,39,64,23,9,279,0,0,6,0,6,0,0,0,18,0,0,0,5,0,0,3,0,15,19,45,48,50,48,65,22,9,305,0,0,0,0,0,0,0,0,4,15,10,24,14,35,41,37,24,193,37,91,125,113,115,161,88,34,758
UCL215025,0,4,13,8,0,0,28,3,0,3,3,3,0,0,0,13,0,8,9,4,12,14,8,0,63,0,3,13,14,22,25,7,3,94,11,40,30,31,64,37,12,5,220,0,0,0,0,0,0,0,0,12,0,0,0,9,4,6,4,0,21,12,40,31,32,67,47,16,5,254,0,0,0,0,0,0,0,0,0,8,5,7,14,18,31,11,7,103,25,64,71,76,135,127,45,13,557
UCL215026,0,6,4,0,0,0,14,3,0,0,5,0,10,0,0,23,4,11,12,5,17,13,3,0,64,3,8,12,18,21,13,8,0,82,13,37,29,38,46,31,13,0,214,3,5,0,3,0,0,0,0,12,5,3,4,5,4,9,0,0,25,19,46,35,44,49,37,18,0,253,0,0,0,0,0,0,0,0,3,11,11,12,12,19,20,22,3,109,38,77,83,89,111,92,52,9,550
UCL215027,5,3,0,0,0,0,13,0,5,6,0,9,6,6,0,30,0,20,21,10,10,3,3,4,80,3,6,8,13,22,10,10,0,85,13,29,31,26,38,24,15,6,186,0,3,6,3,9,0,0,0,16,0,0,0,6,0,8,0,0,13,16,34,37,33,49,31,11,8,220,0,0,0,0,0,6,0,0,5,16,9,15,23,13,22,19,16,139,35,79,94,82,112,76,58,31,564
UCL215028,6,20,9,24,9,4,84,0,7,10,12,20,18,3,0,60,5,35,52,31,38,46,16,7,242,4,29,38,42,64,49,22,6,255,30,99,70,100,77,56,24,11,473,9,4,6,8,5,0,5,0,34,0,0,3,9,4,14,8,6,34,29,103,76,110,93,72,34,16,538,0,0,0,0,0,6,0,0,8,25,13,37,39,43,54,53,37,297,73,196,226,249,266,259,144,73,1480
UCL215029,32,44,66,40,10,0,230,0,5,14,29,44,38,12,0,137,10,70,99,132,143,107,35,10,597,7,50,50,71,89,77,35,4,382,17,54,72,76,94,59,26,12,413,0,3,6,5,3,3,0,0,33,3,4,4,11,11,24,0,0,59,21,63,81,90,112,86,32,15,506,4,3,0,4,0,4,3,0,27,20,28,25,34,58,78,48,39,330,55,246,299,411,520,435,175,80,2213
UCL215030,0,5,0,0,0,0,20,0,3,0,5,3,0,3,0,15,4,14,10,12,11,11,3,4,72,0,13,11,27,20,20,5,0,96,10,46,34,25,40,25,15,7,198,4,0,0,0,4,4,0,0,15,0,3,3,3,5,0,8,0,27,16,49,38,26,48,30,17,7,234,0,0,0,0,0,0,0,0,3,10,3,12,10,18,25,21,14,115,35,93,81,88,101,91,48,28,561
UCL215031,6,3,0,0,0,0,18,0,0,4,4,0,0,0,0,10,5,15,13,18,16,11,8,5,81,0,14,7,9,14,19,6,0,75,12,25,28,43,52,35,17,0,225,0,0,4,8,0,9,0,0,18,0,0,0,0,5,0,4,0,10,14,32,34,53,56,43,19,7,256,0,4,0,0,0,7,0,0,11,15,11,22,20,22,25,23,15,140,35,81,83,101,117,96,57,26,591
UCL215032,13,12,3,19,0,0,68,0,4,14,13,7,12,5,0,56,6,45,45,25,35,54,28,13,244,7,24,36,43,29,44,25,10,217,33,81,97,59,88,66,26,13,463,4,9,5,6,0,4,5,0,35,0,5,3,5,9,4,7,0,26,39,90,108,65,93,78,39,12,526,0,0,0,0,8,3,4,0,23,33,19,34,30,50,67,50,26,311,84,198,245,190,228,280,149,63,1443
UCL215033,32,23,11,3,0,0,93,3,9,28,17,3,7,0,0,70,11,63,105,69,20,5,5,0,289,13,35,89,63,31,21,3,0,248,22,106,152,98,52,42,4,0,477,0,4,7,3,0,0,0,0,19,0,0,10,7,10,7,0,0,32,28,115,173,108,62,43,7,0,528,0,0,0,0,0,0,0,0,7,9,13,13,12,8,7,0,0,59,61,251,445,299,142,88,17,0,1295
UCL215034,4,7,8,6,6,0,30,0,0,0,5,3,5,6,0,15,3,10,18,16,23,25,14,9,120,0,7,16,5,16,34,21,7,113,15,26,23,30,45,30,19,0,186,0,0,0,5,6,4,0,0,15,0,0,0,0,3,7,0,3,20,15,27,19,35,51,39,25,3,222,0,0,0,0,0,0,0,0,3,14,5,10,15,15,39,35,23,153,38,53,68,84,117,149,101,47,656
UCL215035,6,3,6,0,5,0,23,0,14,3,7,10,0,0,0,29,6,39,39,19,8,11,4,0,128,5,27,21,23,11,13,3,0,105,16,83,70,68,51,31,8,3,335,3,0,8,0,4,7,0,0,17,0,0,3,0,0,0,0,0,18,25,82,83,67,57,36,15,3,369,0,0,0,0,0,0,0,0,5,14,13,11,8,18,27,25,4,107,43,177,164,127,103,89,50,8,766
UCL215036,6,3,4,7,4,0,28,0,0,7,3,6,6,0,0,15,9,21,35,30,12,17,6,0,135,0,11,16,21,16,15,9,0,99,18,41,45,43,43,23,9,0,219,5,4,0,0,0,0,0,0,10,4,0,0,0,6,0,4,0,17,25,47,40,52,48,23,12,0,240,0,0,0,0,0,0,0,0,0,17,9,14,16,21,15,8,3,99,54,90,120,121,108,81,37,7,621
UCL215037,0,6,8,3,0,0,15,3,7,0,0,0,0,4,0,20,6,16,6,10,8,18,4,0,74,5,14,24,11,23,19,10,0,112,22,64,41,53,50,47,24,0,288,4,0,3,4,5,3,0,0,21,0,0,0,3,4,7,0,0,11,22,61,42,60,56,51,25,3,324,0,0,0,0,0,5,0,0,10,5,11,12,12,19,22,20,8,119,42,105,88,101,128,119,59,12,661
UCL215038,8,5,7,6,4,0,29,0,3,0,0,11,5,0,0,27,4,16,18,12,23,15,10,5,101,0,9,13,16,32,22,18,3,111,14,47,38,52,61,51,34,8,309,0,3,5,3,3,3,3,0,21,0,7,3,0,4,9,4,5,29,16,54,47,58,64,62,39,14,357,0,0,0,0,0,0,5,0,13,18,25,26,37,35,49,42,25,247,36,109,115,132,171,164,118,46,885
UCL215039,8,3,0,0,0,0,13,0,0,0,0,3,7,0,0,15,4,9,4,14,9,5,5,0,57,0,8,12,14,20,16,13,5,77,16,55,44,45,40,54,16,0,269,0,3,3,0,3,4,0,0,11,0,0,8,5,0,5,0,0,15,21,62,55,53,40,57,19,0,301,0,0,0,0,0,0,0,0,4,18,26,19,19,27,44,34,27,213,41,109,99,100,98,129,68,37,679
UCL215040,0,0,4,0,0,0,4,0,9,0,7,4,0,0,0,13,0,8,3,7,3,9,0,0,35,0,8,11,8,9,18,3,5,55,21,47,41,38,39,33,4,0,224,6,3,5,0,8,0,0,0,27,0,3,3,4,0,5,0,0,15,31,50,47,42,50,35,8,0,264,0,0,0,0,0,0,0,0,4,25,12,18,19,29,44,16,22,189,51,90,79,79,100,106,27,28,559
UCL215041,11,5,10,6,0,0,40,0,3,10,6,14,0,3,0,42,8,37,49,38,25,31,12,9,212,9,29,38,36,47,43,21,6,230,46,97,102,111,131,85,35,8,613,7,4,3,9,7,7,4,0,39,0,3,7,4,9,10,0,0,39,52,112,108,123,148,103,35,7,687,0,0,0,0,3,3,3,0,13,34,18,41,40,47,69,54,37,338,106,218,247,250,292,254,132,63,1551
UCL215042,3,10,5,9,0,0,31,0,3,5,5,9,3,0,0,29,8,19,23,21,12,13,0,0,99,5,16,19,31,39,11,10,0,132,28,53,46,50,50,28,7,0,262,3,0,9,0,0,0,0,0,11,0,0,5,3,0,8,0,0,16,35,53,55,58,57,32,7,0,286,0,0,0,0,0,4,0,0,3,8,9,8,23,14,16,5,3,84,56,102,113,149,133,83,21,4,660
UCL215043,10,4,0,3,0,0,23,0,10,8,4,4,0,0,3,35,8,69,35,29,8,5,6,0,164,20,70,49,29,23,9,4,0,207,57,227,150,102,83,41,15,8,695,12,7,9,3,10,3,0,0,44,8,6,13,3,7,4,0,4,38,73,242,163,112,94,47,21,13,774,0,0,3,3,0,4,3,0,16,13,19,25,8,12,35,22,22,157,112,412,294,198,148,109,58,37,1379
UCL215044,6,8,10,7,0,0,45,0,5,7,8,12,7,0,0,34,4,41,35,29,19,17,7,0,152,3,19,26,29,11,26,9,5,128,20,76,60,52,53,40,10,0,324,4,0,0,3,0,8,0,0,16,0,0,6,0,3,10,3,0,22,31,83,71,60,60,45,9,0,364,0,0,0,0,0,0,0,0,5,22,13,4,14,27,10,12,9,115,55,173,146,143,141,116,44,13,842
UCL215045,8,14,14,6,5,0,59,0,5,9,19,3,11,0,4,62,8,53,50,41,40,46,22,6,265,12,47,57,66,51,42,14,7,292,45,154,113,107,119,85,44,10,674,11,12,3,5,8,3,0,0,50,3,4,5,4,8,15,5,3,47,63,174,126,112,136,109,45,11,775,0,0,0,0,0,3,0,0,9,28,29,24,32,47,51,53,26,282,110,329,270,287,291,266,149,55,1748
UCL215046,12,8,6,5,5,0,37,0,9,8,10,10,3,0,0,42,12,60,36,19,30,19,3,0,170,8,25,32,20,28,33,8,0,154,24,61,63,61,44,30,8,0,297,0,6,0,0,4,0,0,0,5,0,4,8,0,3,3,0,0,25,25,69,70,61,49,39,10,0,327,0,0,0,0,0,0,0,0,0,7,15,11,7,22,16,14,6,104,54,181,162,128,141,114,35,8,833
UCL215047,0,0,0,3,0,0,18,4,18,3,6,0,0,0,0,30,9,32,15,12,5,5,0,0,91,9,58,42,21,7,7,3,5,155,37,182,80,63,56,30,19,7,468,5,10,6,5,3,0,0,0,22,0,4,6,3,5,3,0,0,28,41,193,95,74,61,30,19,7,518,0,0,0,3,0,5,0,0,5,17,21,24,17,15,25,14,5,131,77,328,184,132,97,77,31,13,943
UCL215048,9,0,0,5,0,0,21,0,6,4,0,0,3,0,0,15,3,33,16,11,6,8,5,0,89,6,57,35,17,20,3,4,0,138,32,102,88,54,55,28,9,6,373,0,12,0,0,4,4,0,0,25,4,6,3,5,5,0,4,0,28,41,122,95,57,62,30,13,6,422,0,0,0,0,3,0,3,0,3,17,32,26,16,25,18,12,8,145,60,251,188,104,124,64,33,10,841
UCL215049,8,6,13,17,3,0,67,0,5,7,3,6,17,4,0,39,4,47,30,30,52,50,24,3,236,4,16,11,15,19,28,18,5,120,11,25,19,20,42,27,14,0,152,0,0,0,0,0,0,0,0,8,0,0,0,0,5,7,4,0,23,11,30,22,20,43,35,14,4,180,0,0,0,0,4,0,0,0,5,14,10,12,11,25,38,18,17,147,35,129,80,87,161,185,74,40,799
UCL215050,60,54,58,32,8,0,238,0,3,12,26,33,28,5,0,111,12,43,145,128,93,71,32,5,525,3,17,36,59,46,56,23,5,248,10,28,57,68,67,45,17,8,298,3,0,5,3,5,0,0,0,18,0,0,0,8,8,7,3,0,36,11,31,67,82,78,57,27,8,357,0,0,0,5,6,0,0,0,12,17,9,16,37,25,51,19,3,183,46,132,334,394,347,309,110,17,1677
UCL215051,16,10,8,12,5,0,71,0,11,18,11,19,11,4,0,70,19,85,68,31,42,40,17,0,316,4,46,51,49,49,44,20,7,276,69,183,171,127,155,109,46,11,868,4,12,8,15,8,4,0,0,51,0,3,11,11,6,8,0,0,47,76,202,190,150,166,119,52,9,962,0,0,0,0,3,6,3,0,15,32,36,42,26,40,59,42,18,307,135,403,401,277,329,294,146,44,2025
UCL215052,9,20,25,24,13,0,106,0,0,3,10,20,15,5,0,54,0,18,26,41,52,56,23,3,211,5,13,9,16,27,48,26,3,141,17,26,23,37,52,47,16,6,209,0,0,3,0,3,5,0,0,14,0,0,0,3,0,4,4,0,14,14,26,26,38,52,58,22,3,240,0,0,0,3,4,0,8,0,11,0,4,9,11,18,33,15,12,95,27,69,81,132,199,231,104,24,856
UCL215053,20,15,16,9,6,0,90,0,14,20,16,16,13,6,0,96,13,75,104,48,43,60,14,5,368,4,52,76,62,61,61,33,14,362,39,149,122,121,132,96,49,13,725,4,5,7,7,10,3,4,0,38,5,7,8,7,11,14,10,7,64,48,163,132,134,155,115,56,22,823,0,0,7,0,0,5,4,0,15,25,28,51,30,44,52,52,29,303,93,353,407,311,343,310,172,64,2049
UCL215054,0,0,4,0,0,0,7,0,6,3,0,4,3,0,0,16,0,18,20,6,6,9,8,0,73,0,15,17,13,24,18,3,5,103,26,104,60,64,56,29,14,0,362,5,5,7,3,3,0,3,0,29,0,6,3,3,4,4,0,0,15,31,110,65,76,66,30,17,0,404,0,0,0,0,0,0,0,0,4,23,26,19,32,39,33,24,21,221,59,181,124,136,141,97,60,26,823
UCL215055,12,3,17,22,9,0,64,0,0,3,7,4,13,0,0,36,0,24,29,25,49,62,25,0,208,0,10,14,29,55,54,14,0,184,6,23,28,45,72,70,23,6,267,0,0,4,0,3,0,0,0,12,0,7,0,0,6,10,9,0,34,3,24,36,41,84,83,32,7,317,0,0,0,0,0,0,5,0,4,9,0,12,17,32,33,13,6,137,22,65,112,125,244,262,97,17,947
UCL215056,3,4,0,0,0,0,13,0,10,5,3,3,0,0,0,25,0,29,23,16,21,3,3,0,95,3,24,20,19,14,19,9,0,116,22,79,68,50,57,25,7,0,306,3,5,8,8,0,0,0,0,18,0,3,0,4,3,5,0,0,27,20,83,79,64,64,31,9,3,349,0,0,0,0,0,3,0,0,4,23,32,22,22,25,21,15,3,168,52,178,149,125,129,83,31,7,768
UCL215057,9,10,3,5,0,0,41,0,6,10,7,3,11,0,0,36,0,30,30,36,40,30,10,6,179,4,9,29,35,28,15,20,3,135,25,63,60,62,57,44,16,7,338,0,4,6,5,6,0,0,0,20,0,0,7,0,9,3,0,0,17,24,64,68,67,65,56,18,10,373,0,0,0,0,0,3,0,0,7,11,11,14,15,19,28,14,3,122,35,122,165,181,161,142,62,23,899
UCL215058,0,5,5,3,0,0,13,0,0,0,3,0,0,0,0,11,0,18,16,14,13,15,4,0,73,0,8,13,17,17,10,8,0,77,13,39,31,31,37,22,15,7,183,0,3,0,0,4,0,0,0,14,0,0,0,4,5,4,0,0,12,10,39,31,43,39,28,15,7,211,0,0,0,0,0,0,0,0,6,9,12,10,12,22,31,15,4,111,25,75,69,82,103,88,44,14,499
