SA2_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
206011109,..,808,808,1014,94,1102,621,44,666,834,20,854,237,0,245,57,0,61,2769,959,3734
206011495,..,1859,1859,1661,370,2027,657,249,909,520,133,654,119,21,144,38,10,46,2993,2633,5631
206011496,..,2116,2116,1785,413,2199,609,266,874,441,124,561,89,36,121,24,5,29,2955,2959,5911
206011497,..,1439,1439,1512,209,1725,709,179,883,648,74,715,177,26,200,87,5,91,3123,1933,5055
206011498,..,1143,1143,1439,197,1634,844,147,994,937,56,993,284,11,301,109,6,115,3611,1563,5177
206021110,..,1235,1235,974,106,1085,481,76,557,563,32,591,171,10,186,38,0,42,2232,1455,3690
206021112,..,2645,2645,2225,318,2541,1070,170,1241,1057,77,1133,270,21,293,79,5,81,4704,3234,7941
206021499,..,1834,1834,1625,250,1878,832,175,1007,934,76,1013,247,14,261,58,3,64,3699,2348,6049
206021500,..,1314,1314,1237,192,1429,556,144,707,556,50,606,138,12,157,34,8,39,2516,1728,4247
206031113,..,1717,1717,1710,233,1945,935,96,1032,867,34,901,272,8,280,77,0,80,3862,2099,5961
206031115,..,1741,1741,1172,214,1387,436,68,506,315,18,336,107,3,109,47,0,47,2085,2052,4137
206031116,..,2364,2364,2030,225,2250,853,93,947,877,48,925,293,10,300,76,5,77,4128,2733,6862
206031501,..,1691,1691,1616,120,1738,914,37,952,1171,8,1182,412,0,413,83,0,91,4197,1859,6055
206031502,..,1872,1872,1456,182,1641,666,48,716,628,15,641,250,3,257,63,3,71,3071,2126,5198
206041117,..,3225,3225,1776,860,2639,446,267,715,233,120,352,56,30,85,57,18,77,2582,4515,7099
206041118,..,2973,2973,2721,538,3255,808,91,899,284,43,332,49,13,65,15,0,11,3879,3665,7546
206041119,..,1035,1035,913,106,1019,156,35,190,80,22,101,38,4,38,10,0,7,1195,1202,2396
206041120,..,18,18,8,0,8,4,3,8,0,0,0,0,0,0,0,0,0,14,18,34
206041121,..,1648,1648,1446,234,1678,578,119,699,484,50,535,119,3,122,38,0,41,2663,2065,4727
206041124,..,776,776,609,178,787,218,74,292,136,47,184,43,31,74,19,13,32,1025,1120,2148
206041125,..,1366,1366,1054,151,1202,246,21,273,159,3,165,27,0,28,9,0,9,1498,1555,3049
206041127,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206041503,..,2328,2328,1254,494,1746,320,123,445,126,42,164,20,5,26,4,0,9,1726,2995,4720
206041504,..,4183,4183,2151,1414,3568,469,271,738,151,67,219,29,8,45,11,7,19,2807,5954,8767
206041505,..,3758,3758,2180,947,3121,546,276,831,165,93,266,19,24,47,7,8,15,2931,5112,8039
206041506,..,2779,2779,1931,530,2458,650,193,841,470,79,556,126,22,148,70,3,77,3238,3612,6855
206041507,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206041508,..,1432,1432,1106,244,1348,297,62,362,122,11,136,20,0,20,10,0,11,1554,1753,3309
206041509,..,3637,3637,2761,902,3667,661,246,909,230,43,272,32,3,36,11,0,11,3691,4838,8532
206041510,..,1356,1356,1150,311,1459,334,113,451,180,36,216,27,14,42,8,7,16,1705,1839,3542
206051128,..,2651,2651,2395,263,2663,806,56,862,724,9,728,196,4,201,44,0,44,4164,2985,7153
206051129,..,3140,3140,1995,369,2368,726,81,809,570,22,592,170,4,170,30,3,34,3494,3614,7104
206051130,..,2778,2778,2430,188,2618,838,37,871,753,6,757,215,5,217,42,0,42,4275,3012,7291
206051134,..,3204,3204,2110,532,2644,690,174,858,504,50,548,146,10,157,77,5,79,3526,3974,7502
206051511,..,271,271,255,47,297,87,39,123,57,15,73,8,3,15,4,3,5,414,370,789
206051512,..,2439,2439,1809,234,2043,555,63,619,399,15,412,102,3,108,22,0,22,2888,2748,5642
206051513,..,3359,3359,1813,432,2246,433,90,524,215,15,232,58,0,60,11,0,9,2532,3896,6426
206051514,..,3509,3509,1919,399,2317,513,80,592,312,18,333,76,4,78,17,0,12,2834,4010,6841
206061135,..,1720,1720,1389,190,1578,432,46,483,381,17,399,125,0,128,24,0,24,2357,1976,4336
206061136,..,4348,4348,2833,717,3552,766,281,1047,518,58,581,131,10,141,22,0,22,4267,5416,9684
206061138,..,1946,1946,1911,169,2081,576,95,675,521,17,540,238,9,241,57,0,57,3310,2234,5541
206061515,..,3231,3231,1870,456,2326,333,63,395,140,9,148,38,0,34,11,0,13,2394,3748,6150
206061516,..,2351,2351,1474,305,1782,418,108,526,244,29,278,58,4,60,24,3,27,2219,2802,5015
206071139,..,1790,1790,1393,320,1717,404,133,542,229,34,263,58,9,69,22,4,22,2108,2292,4398
206071140,..,980,980,1112,209,1320,415,212,628,320,90,409,85,25,108,18,3,22,1937,1524,3461
206071141,..,1914,1914,1468,306,1770,337,139,477,188,41,228,57,3,57,41,0,41,2093,2396,4489
206071142,..,1747,1747,1451,261,1710,413,182,602,280,76,352,83,30,111,37,8,45,2258,2306,4565
206071143,..,1886,1886,1588,315,1906,581,220,800,568,96,670,161,32,201,30,3,38,2933,2560,5489
206071145,..,1194,1194,1220,155,1370,526,112,635,528,43,572,153,8,152,26,4,29,2452,1505,3957
206071517,..,2831,2831,2508,562,3070,814,351,1167,614,110,727,146,13,163,27,4,33,4116,3872,7990
206071518,..,2770,2770,2003,417,2415,653,201,857,367,60,428,121,5,123,48,3,47,3197,3456,6645
207011146,..,539,539,692,41,737,510,15,524,639,8,648,210,0,216,52,0,50,2108,599,2714
207011147,..,1547,1547,1768,84,1855,1048,34,1079,1080,16,1102,369,4,373,128,3,131,4396,1690,6089
207011148,..,1180,1180,1821,73,1891,1275,29,1309,1754,13,1768,634,3,639,234,0,236,5718,1306,7021
207011149,..,1793,1793,2349,161,2511,1131,51,1183,1450,32,1483,516,15,527,156,10,163,5602,2061,7657
207011150,..,1211,1211,1699,91,1789,930,33,959,1386,17,1399,475,9,488,99,3,101,4583,1366,5952
207011152,..,2221,2221,1990,295,2286,751,92,848,855,28,880,323,6,330,60,3,66,3972,2656,6631
