SA2_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
203021043,22,28,90,77,72,47,16,3,0,355,17,38,99,83,77,49,14,0,0,370,605,814,2239,2304,2164,1450,328,31,6,9936
203021044,10,39,86,74,63,39,12,0,0,319,11,17,51,39,56,40,15,3,0,219,416,558,1360,1392,1398,1075,248,27,0,6464
203021045,6,29,73,58,46,50,19,6,0,300,13,33,56,30,60,55,18,8,0,279,369,678,1621,1135,1316,1175,309,41,5,6647
203021046,9,11,28,15,40,24,4,0,0,132,7,19,50,32,31,29,10,0,0,180,327,500,972,1113,1228,900,272,47,0,5376
203021047,10,32,67,51,40,25,8,4,0,238,13,28,99,65,57,41,17,7,0,322,356,692,1796,1448,1462,1064,314,42,3,7170
203021485,9,29,85,44,19,16,4,0,0,206,6,16,67,30,17,11,0,3,0,145,216,708,2135,1364,640,473,93,10,0,5648
203021486,10,39,83,51,43,32,6,0,0,264,23,68,113,99,91,66,14,0,0,465,439,839,1794,1330,1430,1184,219,22,0,7257
203021487,19,69,98,84,86,59,10,3,0,431,7,37,86,95,90,57,13,3,0,393,799,1513,3201,2779,2314,1579,404,33,3,12627
203021488,4,17,40,28,20,16,3,0,0,126,11,36,56,29,43,28,15,5,0,218,132,387,952,568,533,428,96,5,0,3106
203031048,11,35,85,67,53,48,21,4,0,326,10,16,43,75,54,38,12,0,0,249,451,588,1421,1599,1592,1460,406,39,6,7564
