SA2_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
211041273,3686,4044,7738,158,159,320,28,24,44,988,1053,2048,25,26,46,14,11,26,21,19,36,3,0,6,5,0,4,3,0,5,0,0,0,1075,1139,2217,360,358,721,8,5,16,1606,1667,3274,200,297,496,5492,6015,11505
211051274,3309,3298,6613,135,131,261,24,26,42,952,989,1945,14,16,29,3,4,6,8,11,20,5,10,14,10,9,16,0,0,3,0,0,0,1014,1057,2069,66,74,135,16,17,39,1231,1279,2511,185,154,335,4724,4731,9455
211051275,3152,3262,6415,176,193,378,25,16,39,1613,1710,3323,26,36,59,6,8,14,12,13,26,4,6,11,3,3,9,0,3,6,0,0,0,1694,1790,3482,135,125,258,26,29,60,2036,2140,4173,190,194,386,5372,5597,10970
211051276,4216,4389,8601,581,646,1227,32,44,79,1122,1206,2324,20,25,47,8,4,14,15,17,33,4,9,10,3,0,4,4,3,4,0,0,0,1208,1314,2516,70,76,146,29,35,61,1890,2062,3951,381,396,785,6490,6848,13334
211051277,2606,2797,5397,110,150,258,17,23,34,1332,1569,2906,12,18,32,3,4,3,9,7,19,3,3,9,3,0,4,0,0,0,0,0,0,1382,1630,3013,91,105,195,38,28,65,1623,1905,3530,141,154,295,4364,4863,9224
211051278,5734,6052,11785,408,509,916,42,40,85,2177,2290,4474,35,41,69,18,14,30,9,14,25,9,10,22,8,5,12,0,0,0,0,0,0,2299,2412,4707,122,158,280,45,28,72,2862,3112,5981,381,328,711,8982,9500,18480
211051279,1886,1827,3718,104,115,218,15,22,32,593,586,1185,8,17,22,7,3,5,0,3,7,4,0,3,0,0,0,5,6,5,0,0,0,628,639,1257,33,41,77,21,17,33,778,811,1588,120,101,218,2787,2739,5524
211051280,2235,2281,4517,65,77,141,4,3,4,696,759,1458,11,9,19,0,3,5,10,4,12,0,0,0,4,4,4,0,0,0,0,0,0,724,788,1507,32,27,60,20,26,48,839,921,1757,124,107,226,3191,3304,6496
211051281,6670,6734,13409,575,601,1172,40,43,80,2579,2723,5296,36,43,84,7,12,15,9,13,22,10,5,16,5,6,8,0,0,9,0,0,0,2683,2838,5524,298,330,624,53,59,110,3608,3819,7431,374,376,751,10658,10931,21587
211051282,3247,3166,6414,160,182,350,19,26,47,884,944,1830,22,23,41,6,3,17,14,17,29,0,5,5,5,6,9,0,4,3,0,0,0,957,1029,1979,71,77,148,24,8,30,1207,1298,2505,184,158,343,4637,4625,9264
211051283,3185,3183,6369,135,142,279,8,6,13,996,1054,2047,17,26,45,0,9,6,9,7,10,3,6,6,4,0,4,4,4,8,0,0,0,1041,1099,2143,37,50,90,22,15,34,1232,1309,2541,117,95,210,4537,4586,9121
211051284,3252,3280,6537,163,156,316,18,13,31,884,932,1813,15,22,35,0,5,5,4,3,8,6,12,13,6,0,3,0,0,8,0,0,0,933,984,1919,73,95,167,24,20,41,1191,1253,2441,135,103,242,4576,4637,9217
211051285,2536,2595,5133,146,146,294,11,11,25,747,815,1559,4,10,12,0,0,0,8,7,15,0,4,0,0,3,3,0,0,0,0,0,0,774,845,1621,29,25,55,19,13,28,962,1031,1993,154,142,296,3658,3776,7429
211051286,5066,4999,10063,699,714,1414,26,36,59,1353,1425,2778,28,31,62,3,0,5,17,19,36,6,4,12,9,8,8,3,0,9,0,0,0,1447,1522,2970,58,64,121,33,26,56,2231,2328,4559,646,607,1258,7949,7928,15881
212011289,5853,5582,11439,487,487,974,24,30,52,1796,1805,3602,43,51,90,12,18,24,14,18,31,5,5,16,6,13,16,7,4,14,0,0,0,1903,1946,3845,60,81,136,40,32,72,2485,2544,5029,564,545,1099,8902,8671,17571
212011546,3933,4010,7939,567,627,1189,77,82,156,4889,5115,10000,65,55,117,20,33,51,32,34,63,5,13,23,21,16,38,10,5,12,0,0,0,5114,5350,10462,508,556,1067,78,67,152,6269,6600,12870,394,384,780,10598,10996,21590
212011547,2737,2721,5454,239,251,492,7,10,18,1197,1217,2414,3,19,23,6,3,11,0,0,4,0,3,5,3,0,10,0,0,0,0,0,0,1225,1256,2483,32,34,66,24,11,37,1512,1557,3069,384,392,775,4637,4666,9302
212011548,2245,2274,4518,265,315,582,14,8,28,1638,1733,3375,24,16,39,3,9,10,11,13,23,8,7,16,5,0,3,0,0,0,0,0,0,1705,1786,3491,56,47,98,30,29,62,2056,2172,4230,290,292,588,4596,4745,9339
212011549,3273,3373,6647,326,355,678,55,60,119,2404,2589,4997,42,39,87,27,30,55,19,20,44,17,8,26,13,5,17,4,9,10,0,0,0,2579,2761,5341,209,250,465,62,50,108,3177,3419,6599,385,402,789,6837,7194,14031
212011550,1150,1254,2406,95,118,217,14,22,44,1613,1753,3368,21,24,47,12,5,18,10,18,25,4,3,7,3,5,8,0,0,0,0,0,0,1686,1839,3520,143,168,313,31,16,45,1951,2142,4097,126,119,247,3227,3522,6746
212011551,1234,1287,2525,56,58,118,29,32,57,1057,1150,2210,16,13,31,6,4,14,9,8,24,4,0,8,4,5,10,0,0,0,0,0,0,1125,1219,2344,214,238,451,27,10,45,1421,1533,2957,247,269,515,2903,3091,5986
212011552,6065,6520,12581,815,878,1690,76,84,159,3670,3714,7390,74,82,153,26,28,57,11,17,26,14,9,22,13,9,17,6,0,7,0,0,0,3891,3946,7839,575,629,1206,100,65,163,5384,5514,10899,573,612,1183,12019,12644,24665
212021293,6353,7048,13400,653,754,1400,56,48,103,2399,2642,5041,51,47,94,14,20,38,16,27,45,5,5,9,9,7,13,12,8,18,0,0,0,2550,2809,5362,295,359,651,43,57,99,3533,3974,7513,459,537,1001,10346,11560,21908
212021295,2718,2615,5331,311,232,539,54,19,79,1478,1164,2644,24,24,48,32,19,54,29,14,44,7,8,14,3,3,9,0,0,6,0,0,0,1628,1269,2893,529,598,1129,50,33,86,2525,2128,4653,559,450,1010,5795,5197,10993
212021297,3094,3208,6297,202,192,394,55,37,89,1177,1101,2282,19,21,45,27,9,37,13,18,37,5,0,6,0,0,0,6,0,0,0,0,0,1302,1192,2495,354,420,775,32,35,65,1889,1837,3728,350,325,678,5334,5372,10701
212021299,2739,2713,5447,79,88,169,8,7,13,885,905,1788,11,9,12,0,0,0,3,3,4,0,0,3,0,0,0,0,0,0,0,0,0,904,921,1825,47,73,122,8,11,19,1045,1090,2140,150,153,307,3937,3956,7896
212021453,3842,3937,7779,139,138,274,13,14,31,1132,1044,2167,18,20,33,12,3,17,11,9,22,3,4,7,0,0,0,0,4,4,0,0,0,1186,1091,2283,245,276,527,26,20,41,1597,1526,3123,274,267,536,5716,5725,11443
212021454,4273,4333,8605,206,224,432,18,19,39,1176,1077,2258,31,35,67,17,4,27,13,10,23,3,0,4,4,0,6,0,0,5,0,0,0,1276,1155,2426,249,283,537,35,17,47,1770,1676,3446,312,243,553,6352,6252,12599
212021455,4223,4280,8505,177,159,335,16,17,38,1313,1271,2582,19,18,35,16,9,27,9,6,8,5,4,9,7,5,8,0,5,4,0,0,0,1387,1329,2716,226,256,481,40,34,76,1823,1783,3612,280,277,562,6329,6338,12675
212021456,3798,3832,7632,202,214,416,70,77,150,1675,1654,3331,27,32,66,28,25,51,21,22,36,9,11,19,11,13,21,3,5,3,0,0,0,1838,1843,3680,427,496,926,63,39,104,2532,2598,5128,451,484,939,6784,6919,13702
212021553,4844,4909,9756,346,332,678,50,51,100,2200,2263,4458,40,57,97,25,28,50,21,17,39,8,14,18,6,3,14,3,4,10,0,0,0,2357,2436,4789,425,451,876,47,40,89,3172,3261,6430,286,280,566,8298,8456,16750
212021554,2530,2546,5075,161,183,346,46,38,85,1774,1818,3589,33,27,60,35,26,67,22,20,39,7,5,12,7,3,10,3,3,0,0,0,0,1919,1940,3860,333,348,680,30,28,55,2449,2502,4945,189,178,370,5166,5228,10389
212031300,5403,5391,10791,357,365,725,71,66,136,2525,2418,4944,56,51,113,29,22,52,27,25,50,19,31,49,13,6,23,4,0,4,0,0,0,2746,2617,5366,565,623,1187,85,52,140,3754,3668,7416,788,775,1563,9945,9831,19772
212031303,2791,2809,5600,244,256,498,78,81,158,3726,3942,7672,52,44,104,21,22,44,33,25,58,3,9,12,3,9,13,7,8,15,0,0,0,3933,4143,8075,273,372,646,95,93,190,4545,4863,9404,336,338,672,7670,8010,15679
212031304,4290,4350,8638,469,440,911,66,54,121,3534,3703,7233,48,43,88,27,26,55,20,11,28,3,6,9,6,8,11,7,3,8,0,0,0,3705,3856,7557,593,706,1300,78,51,131,4844,5051,9896,402,413,818,9537,9812,19352
212031306,4681,4668,9350,391,404,796,49,45,92,2114,2077,4190,18,23,41,13,15,33,19,29,51,0,9,5,5,14,19,3,0,3,0,0,0,2227,2207,4435,610,685,1301,53,37,90,3281,3339,6621,322,289,608,8278,8298,16582
212031308,2565,2395,4964,163,145,310,11,13,23,859,841,1705,12,14,29,0,3,3,7,0,10,3,0,0,3,4,3,0,0,0,0,0,0,893,880,1778,16,25,38,22,13,35,1101,1059,2158,242,183,422,3905,3647,7552
